[1.17-2.19] 哈喽 大家好
[2.19-4.31] 长夜漫漫 无心睡眠
[4.31-5.81] 晚上给大家录上一期
[165.51-168.13] 所以我一直处于有欲望没能力的状态
[168.13-170.31] 很郁闷不知道您能理解吗
[170.31-172.17] 一方面想要出去赚钱
[172.17-175.27] 另一方面想要接送小孩照顾家
[175.27-176.89] 而且在家闲得太久
[176.89-178.19] 也走不出现在的舒适
[178.21-180.33] 圈现在身份办下来了
[180.33-181.89] 就想去考证书
[181.89-182.95] 能在这边工作
[182.95-185.55] 最终把我父母接过来一起生活
[185.55-186.97] 这也是我现在的目标吧
[188.41-190.81] 这个值得表扬
[190.81-191.47] 但是呢
[191.47-193.83] 我怀疑你能不能执行下去
[193.83-195.83] 看你这个情况啊
[195.83-197.11] 说句不好听的话
[197.11-203.17] 你现在这种情况叫欲望与能力不匹配
[203.17-207.49] 就是你想要得到的和你能够做到根本就不匹配
[207.49-208.03] 所以带来了这种情况
[208.21-218.01] 因为 pencil IS good
[218.01-218.79] 为什么呢
[218.79-220.67] 因为你老公常年不在这边
[220.67-222.99] 公公婆婆人家有钱把你们带过来
[222.99-226.59] 人家公婆婆在这边享天年
[226.59-233.81] 享受儿子 масс थ保
[233.81-236.61] 你作为一个儿媳妇是这个家庭的附属品
[236.61-237.41] 我看出来了你也没什么钱
[237.41-238.13] 你们家婚姻不是很门当户对
[238.13-240.17] 高价总比下价强
[240.43-243.25] 所以你带着孩子在这边陪着孩子读书
[243.25-244.79] 你老公在国内不过来
[244.79-247.09] 夫妻双胞叫聚少离多
[247.85-248.63] 也就是说
[248.89-251.19] 你的性与婚姻并不美满
[251.45-252.73] 我说实话
[252.97-255.29] 你也不用挑我的理
[255.29-257.33] 你也不用有精神包袱
[257.33-259.13] 因为大家不知道你是谁
[261.69-262.45] 现在呢
[262.97-265.27] 你想把你父母接过来一起做
[265.27-266.55] 你唯一的解决之道
[266.55-267.83] 就是你自己出去工作
[267.83-268.85] 有一份薪水
[269.11-270.91] 不要在家做全职太太
[270.91-271.67] 这是唯一的可能
[272.19-273.71] 否则的话以你的能力
[273.71-275.51] 你作为家里边一个全职太太
[275.77-278.83] 那你有何德何能去把你父母接过来呢
[278.83-279.35] 这不可能
[279.61-280.11] 加拿大
[280.37-282.43] 对你的要求你也达不到
[282.93-286.01] 所以你说你办下来身份之后
[286.27-288.31] 去读一个学
[288.31-290.11] 然后上一个学找个工作
[290.35-292.15] 我倒是充分的支持你
[292.15-294.71] 说句不好听的都是闲的
[295.23-297.79] 刘姥姥从来不会得抑郁症
[297.79-297.81] 刘姥姥从来不会得抑郁症
[297.81-299.85] 都是林黛玉林妹妹才得
[300.63-301.91] 那你这种情况呢
[301.91-302.41] 你应该
[302.67-305.23] 迅速的去你温哥华所在那个城市
[305.23-306.51] 你去报一个成人高中
[306.77-307.53] 拿到学历
[307.79-309.59] 拿到成人高中的学历之后
[309.59-311.37] 你立刻去找一个工作
[311.37-312.15] 有的是工作
[312.41-314.45] 所以你就有自己的收入
[314.71-315.99] 你的心态也就不一样了
[315.99-317.27] 你公公婆婆肯定会开车
[317.53-319.05] 人家是富一代嘛
[319.05-320.59] 所以也不需要你天天的
[320.85-322.13] 围着孩子接送的问题
[322.39-322.89] 对不对
[323.15-324.43] 所以你有一份工作
[324.69-326.49] 婆婆公公和你丈夫呢
[326.73-327.77] 也会高看你
[328.03-328.79] 因为
[329.05-330.07] 什么叫
[330.33-331.09] 尊重
[331.35-333.15] 尊重来源于你自立
[333.41-334.43] 经济上自立
[334.69-337.25] 是女性得到尊重的前提
[337.49-340.31] 我来了五年有些观念还是接受不了
[340.57-342.37] 这些年来的中国人
[342.61-345.17] 很多不是因为在国内混不下去才出来的
[345.43-349.01] 你就直接说你不是因为国内混不下去而出来的就得了
[349.53-352.09] 而是为了一个更好的生活环境和教育环境
[352.61-354.39] 这话属实尤其是在温哥华
[354.65-355.93] 大部分中国人出来的
[356.19-357.73] 至少一半吧并不需要工作
[358.03-360.59] 这个这些人显然不是因为混不下去了
[360.85-364.17] 或者是因为穷正好相反是因为有足够的钱
[364.43-367.75] 需要一个更安全更法治的生活环境和教育环境
[368.27-370.83] 加拿大也有加拿大的问题
[371.09-373.13] 比如政治太左做事太慢
[373.39-374.93] 对错误的容忍度太高
[375.17-377.73] 或乎怀疑这边医疗的容错率也很高
[378.25-381.83] 毒品泛滥总之我这第一代移民是很多地方看不惯的
[382.35-385.93] 这个怎么讲的世界上没有国家是天堂
[386.69-387.47] 加拿大
[388.03-388.79] 一个普普通通的国家
[389.31-391.87] 所以呢加拿大的问题有加拿大的问题
[392.37-392.89] 但是呢
[393.41-398.53] 你说的这些东西什么怀疑这边医疗的犯错率很高这完全是一派胡言
[399.03-400.83] 凭空想象这怎么可能呢
[401.09-404.93] 加拿大的容错率高做事效率慢
[405.17-408.25] 和他这个国家资源充分人和人之间
[408.51-413.11] 没有内卷是有直接关系的硬币的两面
[413.37-415.93] 一方面你看着温哥华的人那么nice
[416.95-417.73] 在温哥华
[418.03-420.85] 每一个路人都会给你投来友善的微笑
[421.09-422.89] 开车大家都会互相礼让
[423.15-425.19] 你就感慨这个国家太好了
[425.45-426.47] 但是他另一方面
[426.73-427.49] 就是慢
[428.27-430.05] 做事的容错率高
[430.31-431.33] 就是经常出错
[431.59-432.87] 不是容错率高是
[433.13-433.89] 出错率高
[434.15-436.45] 确实这个情况但是这个情况本身
[436.71-439.01] 就是因为这个国家资源丰富人
[439.53-442.85] 变得很慵懒很闲散他是一个硬币两个方面
[443.11-445.17] 你不可能二者兼得
[445.41-446.19] 既要又要
[448.03-450.33] 你去趟洛杉矶你就知道什么叫效率高了
[450.59-451.35] 洛杉矶
[451.61-453.41] 上海这都是效率最高
[453.65-454.17] 地方
[454.43-458.27] 但是你愿意在那干吗卷的你又受不了了对不对
[458.53-462.37] 开车互相你在洛杉矶开车你看人家让你吗
[463.13-466.71] 你的车速稍微慢点你看后面那车滴滴滴
[467.23-469.79] 所以呢你的心态应该放慢
[470.29-472.35] 你现在啊就是一个比较
[472.61-475.17] 怎么讲了你就从中国过来以后吧
[475.41-477.21] 你还没有把自己的心态放下
[477.21-478.75] 大麻在这不叫毒品
[479.01-481.31] 立法人家既然说大麻不是毒品了
[481.57-484.37] 那你说的毒品泛滥这就不对了因为芬太尼呀
[484.89-486.17] 或者K粉啊
[486.43-488.21] 这儿的浓度并不比中国高
[488.73-492.05] 所以你说的毒品泛滥可能我怀疑你说的是大麻太多了
[492.57-494.11] 但是那没办法这是法律国家
[494.37-494.87] 他既然
[495.13-497.69] 通过了大麻合法化那你只能认
[497.95-499.23] 要不然你可以搬回去呀
[499.49-501.53] 中国大麻不合法呀你为什么不回去
[501.79-505.11] 还是因为你更好的教育环境和生活环境吗
[505.63-506.13] 那
[506.39-507.17] 总之我这点
[507.47-509.01] 第一代移民是很多地方看不惯的
[509.25-511.57] 而且总想着让孩子好好学中文
[511.81-513.61] 不能切断跟国内的联系
[514.13-516.69] 这个就是很奇怪的事这个我就
[516.93-519.49] 听到这个东西我就忍不住骂就是
[520.53-521.81] 包括我们家的孩子
[522.05-523.09] 也有我们家的
[523.33-524.87] 某些
[525.13-525.65] 长辈
[525.89-528.97] 试图push他们学中文但是在我这根本不可能
[529.49-533.07] 他我对他中文的唯一要求就是能听懂我在说什么
[534.09-535.89] 并且能跟我用简单的中文
[536.13-536.91] 进行
[537.47-538.75] 日常生活的交流
[539.25-541.31] 至于他们会不会写会不会读
[541.57-542.85] 全靠孩子自己
[543.35-545.91] 他愿意读愿意写愿意去学OK
[546.17-550.27] 你自己去YouTube上或者我们从图书馆给你拿几本书你自己学
[550.77-552.57] 或者从国内带点中国的
[552.83-555.13] 我们带的都是台湾版的民国版的
[555.39-556.93] 我不会送你们去
[557.17-558.97] 孩子去任何的中文学校
[559.99-560.51] 为什么
[561.01-562.55] 因为在可以预见的将来
[562.81-563.57] 共产党不会倒
[564.35-565.89] 共产党会越来越强
[566.15-568.19] 因为共产党现在有一个这个出现了
[568.71-569.99] 这个的年龄非常小
[570.25-571.27] 他50年代了
[571.53-573.83] 他还有二三十年的是阳寿
[574.09-577.67] 而且在他的这种推动下利用人性的阴暗面
[578.17-580.73] 利用人性的这种所谓的互斗
[581.25-585.09] 互踩的这种阴暗面把人的邪恶一面放出来
[585.35-588.93] 所以中国人尤其是年轻的中国人00后还好
[589.19-589.69] 10后
[590.21-592.01] 各个都是红卫兵都是小粉红
[593.03-594.05] 等他们长大了
[594.81-595.59] 中国的社会
[595.89-597.17] 道德会大幅度的
[597.69-598.19] 后退
[598.45-601.77] 这个国家会变得像今天的北朝鲜一样又臭又硬
[602.29-605.61] 那你在这样的一个可预见的30年未来中
[606.13-607.67] 你让你的孩子学中文
[608.43-609.97] 唯一的结果
[610.49-613.05] 就是共产党将来可以操你的孩子
[613.81-614.83] 因为他们骚扰
[615.35-616.89] 这些孩子的时候这孩子能听得懂
[617.39-618.93] 新冠病毒有一个受体
[619.45-621.49] 那个受体就像个钩子一样
[621.75-625.85] 只能勾在人类的这个呼吸道上皮细胞上
[626.15-627.43] 他这两个一扣
[627.69-628.19] 扣住了
[628.45-630.75] 奶头受体因为我不是专业生物的
[631.01-632.03] 但是我知道这个原理
[632.29-636.13] 就是他为什么不感染你的表皮为什么不感染你的眼睛呢
[636.39-640.73] 就因为你的眼睛表皮其他的人类的细胞里面没有那个跟他
[640.99-643.55] 严丝合缝的公母槽正好对上那钩子
[643.81-645.61] 但是在呼吸道上有所以他就
[645.85-646.89] 攻击你的肺部
[647.13-652.01] 将来共产党和文明世界必有一战我们所有的在这边的中国华裔
[652.25-653.53] 包括你包括我
[653.79-655.33] 我们必须要看得清楚
[655.59-657.13] 20年30年之后的未来
[657.37-658.91] 那将来
[659.17-660.71] 中国和西方的关系
[661.21-661.73] 发生
[661.99-664.29] 今天俄罗斯跟西方的状态的时候
[665.05-668.13] 全世界都在制裁中国的时候
[668.39-668.89] 中国
[669.15-671.45] 反抗的能力要比俄罗斯大得多
[671.97-673.77] 中国的这些高科技武器
[674.01-676.57] 高科技储备会忽然席卷
[676.83-677.35] 西方
[677.61-678.37] 忽然来一波
[678.63-680.17] 把西方打得措手不及
[681.19-682.47] 不是说中国有多先进
[682.97-684.25] 超过美国不是
[684.51-685.03] 是因为
[685.33-687.89] 西方国家在这样的体制下他没有做好准备
[689.17-690.97] 他必须得打懵一次
[691.21-691.99] 然后才能
[692.49-694.29] 崛起反击这是文明
[694.55-695.31] 法治
[695.57-698.13] 共和社会对极权独裁社会
[698.39-699.67] 出现对抗的时候的
[699.93-700.69] 必然
[700.95-701.97] 这样一个环节
[702.49-703.77] 所以呢我们中国人
[704.27-705.55] 在这边的华裔
[705.81-708.63] 你必须有加拿大人的意识
[709.13-710.93] 你不要做经分的人
[711.19-713.49] 你的痛苦源于你精神分裂了你知道吧
[713.75-715.29] 我就是你跟加拿大格格不一
[715.59-719.43] 在你的眼里你是看不惯加拿大的
[719.69-722.75] 为什么因为你现在这种状态你还不是一个加拿大人
[723.27-725.57] 也就是说如果真的开战你和我是敌人
[725.83-730.69] 你将来如果不能完成你的这个意识清醒
[730.95-732.49] 精神分裂治愈的话
[732.99-735.81] 你进入集中营或者被送回中国
[736.07-737.35] 只是一个时间问题
[737.61-739.65] 而且你有可能会连累我们
[739.91-740.41] 因为
[740.67-743.23] 搞不起保不起你就会站在共产党那边去
[743.75-745.29] 那到时候我们脸上又没有
[745.59-746.35] 贴字
[746.61-747.13] 所以
[747.37-748.65] 可能
[748.91-752.49] 这边的战争状态也没有那么多资源去一个一个甄别
[752.75-754.29] 完了全这么送进集中营了
[754.81-755.31] 所以呢
[755.57-757.87] 你对中国的这种什么
[758.13-759.67] 让孩子好好学中文呀
[759.93-762.49] 不能切断跟国内的联系呀
[762.73-763.77] 就糊里糊涂
[764.27-768.63] 你跟中国有什么关系你你如果是像文化上有联系的话
[768.89-770.41] 你应该让孩子
[770.67-772.47] 和台湾有联系
[772.73-775.29] 和新加坡有联系那儿的中文
[775.59-776.35] 那儿的
[776.61-777.37] 传统文化
[777.63-779.69] 保留的发育的比中国本土更好
[780.19-782.25] 如果你想唐宋之风你去日本
[783.53-787.11] 你今天的中国已经跟中国文化离得太远了
[787.37-788.89] 那是马列共产文化
[789.15-791.45] 所以你要是从文化上想留根的话
[791.71-792.73] 你这个不成立
[792.99-795.29] 你如果从亲情上想留根的话
[795.81-797.35] 我不认为你的孩子学好
[797.61-799.39] 中文和学不好中文
[799.65-801.69] 不能跟爷爷奶奶和姥姥姥爷交流
[801.95-802.47] 这不是
[802.97-804.01] 开什么国际玩笑啊
[804.25-805.29] 我在这已经待了十年了
[805.59-806.61] 我有三个孩子
[806.87-809.17] 我的孩子跟国内的亲属
[809.43-809.93] 微信
[810.71-811.73] 完全没有问题呀
[812.49-814.55] 说因为我们在家里就讲中文呀
[815.05-816.33] 所以接着念说
[816.85-818.65] 今天听您说
[818.89-821.97] 第二代第三代移民都被洗脑成加拿大人了
[822.23-824.79] 我就想那我们现在的坚持还有什么意义呀
[825.05-828.11] 逼孩子学中文就是想让他们还有一颗中国心呀
[828.37-829.65] 他们一派胡言
[829.91-832.47] 什么叫逼孩子学中文让他有一颗中国心
[832.73-834.77] 让他有一颗中国心来加拿大干啥
[835.03-836.31] 回中国去呀
[836.81-838.35] 你们家家庭条件那么好
[838.61-840.65] 你去北京上海那才有中国心
[840.91-842.97] 你这种人你分裂不分裂
[843.21-845.53] 你你喜欢我的频道
[845.77-846.81] 喜欢听我
[847.05-849.61] 骂人开车我告诉你你就是那个欠骂的
[849.87-850.39] 你知道吗
[850.65-853.21] 你的痛苦来源于你精神分裂
[853.45-855.25] 第一你性和婚姻是分裂的
[855.51-857.55] 第二你欲望和能力是分裂的
[857.81-860.63] 你很自私但你又没有完成自己自私能力
[860.89-862.17] 这个能力第三你的
[862.41-863.95] 你的中国心
[863.95-866.51] 和加拿大所在的这个国籍
[866.77-868.05] 这个地方是分裂的
[868.55-871.11] 你这种分裂会传递给你的子女的
[871.63-875.21] 让他们好好的学中文否则的话
[875.47-877.27] 被洗脑成加拿大人了
[877.77-880.85] 不用第三代我告诉你你的孩子就会被洗脑成加拿大人
[881.35-886.23] 因为你要的是一个更好的教育环境你自己讲的更好的生活环境
[886.47-887.25] 和教育环境
[887.51-890.83] 孩子一旦送到加拿大学校得到更好的教育环境
[891.09-893.91] 必然学会普世价值根本不认你那一套
[894.21-898.05] 你将来问你的孩子成年以后你是中国人还是加拿大人
[898.31-900.87] 他一定说我是中国裔的加拿大人
[901.89-903.43] 前提还是加拿大人
[904.71-906.23] 中国裔只是个定语
[906.75-910.59] 前面的修饰名词就像我是个女性男性的加拿大人一样
[910.85-911.61] 首先
[912.13-913.67] 根上他是个加拿大人
[913.91-918.01] 他必须站在这片土地上维护这片土地的利益
[918.27-921.85] 你如果不能接受这套东西你快趁早回去吧你是个中国人
[922.11-923.91] 你别在这儿赖着了所以这个就是
[924.21-925.99] 一个典型的
[926.77-929.33] 温哥华我们身边很多的
[929.59-931.63] 脑子精神分裂的中国人
[932.15-935.73] 我今天把这个人的来信拿出来当成一个样本
[935.99-937.01] 他不是个案
[937.27-939.31] 很多逼着这边的孩子
[939.83-941.87] 去参加各种中文学习班
[942.13-943.91] 甚至在小学的过程中
[944.17-945.71] 让孩子回国两年
[945.97-948.01] 与美其名曰打好基础
[948.53-949.81] 学好中文和数学
[950.07-951.85] 回来之后孩子全废
[952.37-953.13] 痛苦无比
[953.39-953.91] 在这儿本来是
[954.21-955.49] 阳光灿烂的小男孩
[955.75-957.79] 小女孩回去两年再回来
[958.55-959.83] 满眼的狐疑
[960.35-961.37] 满眼的戒备
[961.89-963.67] 就典型的那个中国小孩的眼睛
[965.73-967.77] 我不知道你们这些人到底怎么回事
[968.03-970.85] 你们既然那么喜欢中国那么爱中国
[971.11-972.39] 有一颗中国心
[972.63-974.17] 怕被洗脑成加拿大人
[974.43-976.47] 你们还来加拿大干什么呢
[976.73-979.03] 又要更好的教育要更好的生活
[979.29-982.11] 又怕人家洗脑成加拿大人把你孩子
[982.37-983.39] 下一个
[983.65-984.41] 下一个
[985.19-986.47] 但是下一个就正常多了
[986.71-988.51] 他是个正常人中的经典
[989.03-990.81] 首先
[991.07-993.63] 得说跟您的缘分始于翟山英
[993.89-998.23] 因为我毕业于中央财经大学08年前后在校读本科时
[998.49-1001.31] 学校曾请当时建英国际董事的他
[1001.57-1002.59] 开过讲座
[1002.85-1006.95] 后来某天不亦在油管上发现了他的频道
[1007.19-1009.25] 我更正一下他不是建英国际董事
[1009.51-1011.81] 他是建英国际中国公司的
[1012.07-1013.35] 一个部门的经理
[1013.65-1016.47] 那不是董事他自己给自己吹牛逼的建英国际董事
[1016.97-1019.27] 建英国际董事哪有他呀
[1019.53-1024.15] 不过他在大学里边这个演讲啊什么的
[1024.39-1028.23] 上课呀他喜欢给自己加很多默许有的title
[1028.49-1030.29] 这可能当时他就有这个毛病
[1030.55-1032.85] 后来他这个title就更多了最后就
[1033.11-1036.43] 现在连chart GDP都看不过去了
[1036.69-1038.73] 有好多我的热情观众
[1038.99-1042.83] 问chart GDP翟山英这些title啊什么
[1043.09-1047.43] 300尺大游艇到底怎么回事啊chart GDP都知道答案了
[1047.95-1051.53] 后来某天在油管上发现他的频道开始
[1051.79-1053.59] 有一搭没一搭的听然后又通过
[1053.83-1055.63] 油管的推送顺势关注了您
[1055.89-1059.99] 刷到您跟翟的纷争颇具有趣就一级一级的接着追
[1060.23-1062.55] 起料这一追就追成了脑残粉
[1063.57-1067.41] 听了您讲的几期干货我现在觉得当年翟在我们学校
[1067.67-1069.71] 卖弄的东西基本都是从这搬
[1069.97-1070.73] 从您这搬来的
[1070.99-1072.79] 没错就是啊
[1073.09-1074.63] 不是基本是全部啊
[1074.87-1077.43] 因为他除了我之外他没有资本上的任何人卖
[1078.47-1081.27] 而且还都是照猫画虎搬了点皮毛
[1081.53-1085.89] 相信您在油管频道里愿意透露的那些东西也仅仅是九牛一毛
[1086.39-1089.73] 但我们已经能够管亏当年一个意气风发的年轻人
[1089.99-1093.57] 在火热的资本上挥斥方球的景象还真是我跟你们说的
[1093.83-1094.85] 九牛一毛不至于
[1095.11-1096.89] 九牛一牛吧
[1097.41-1098.43] 一个人的一生
[1098.69-1102.79] 能有机会通过努力将自己的才华尽情挥洒做实在的
[1103.09-1103.59] 弄潮儿
[1103.85-1107.19] 这样的年华哪怕只有三五年也足以为此生了
[1107.43-1109.49] 我给你写这封信不仅仅是为了
[1109.99-1114.61] 向您在金融方面无与伦比的才学和实战经验表达景仰之情
[1114.87-1117.67] 更是想感谢您分享的人生观和价值观
[1117.93-1120.49] 帮我打开了预计多年的心结
[1121.77-1123.57] 那这是我的荣幸
[1123.83-1125.87] 能够通过我的节目
[1126.13-1129.19] 解开很多人的心结这是我最近这
[1129.45-1131.51] 两三个星期陆陆续续开始收到的反馈
[1131.75-1132.79] 因为我开油管频道
[1133.09-1133.59] 三个月了
[1133.85-1138.47] 有很多像你一样的朋友观众朋友在私信感谢我
[1139.23-1139.99] 这是我
[1140.25-1142.05] 最大的动力现在真的是
[1142.31-1143.83] 做油管最大的动力
[1144.35-1145.37] 我是独生子女
[1145.63-1147.67] 生于山西省一个小地方
[1147.93-1151.27] 父母都是农村家庭出身借77年恢复高考的机会
[1151.51-1154.07] 父母拿到了成树口做了公务员
[1154.33-1157.91] 靠自身努力实现了阶级跨越所以他们对我特别重视
[1158.43-1159.45] 希望我有朝一日
[1159.71-1160.73] 更上一层楼
[1161.25-1162.79] 我还算争气从小
[1163.09-1163.85] 宁列前茅
[1164.11-1166.67] 大学考进了心脏城市北京
[1168.47-1169.75] 中央财经大学
[1170.25-1172.05] 大学期间努力不错
[1172.31-1175.37] 大二大三托福和gmat都考了很高的分
[1175.63-1178.95] 大四申请并拿到了几个美国大学会计学
[1179.21-1180.23] 硕士的offer
[1180.49-1182.29] 有的还给了奖学金真是厉害
[1182.55-1183.57] 比我有出息
[1184.85-1187.41] 当时我那个大学毕业以后我就工作去了
[1187.67-1189.19] 我读书就不行
[1189.71-1190.99] 然而天有不测风云
[1191.25-1192.79] 我父亲在我大四那年
[1193.09-1194.11] 无幸查出肝患
[1194.37-1196.67] 食道癌发现时情况已经非常不妙
[1197.95-1200.25] 我的人生也因此落入至暗时刻
[1200.51-1204.35] 此时四线小城的医疗水平无力为我父亲手术
[1204.61-1205.37] 我们想办法
[1205.63-1208.45] 转至北京的中国医科院
[1208.71-1209.73] 肿瘤医院治疗
[1209.99-1211.27] 在诺大的京城
[1211.51-1214.33] 我们一家除了我在中彩本科宿舍的一张床
[1214.85-1215.87] 此外无依无靠
[1216.63-1219.97] 我一个人四处奔波为父母在医院附近租房子
[1220.23-1222.01] 天天上网查询各种资料
[1222.27-1224.31] 一次次的跑各大医院通桥达旦的
[1224.83-1226.11] 排队挂专家号咨询
[1226.37-1228.15] 最后父亲接受了当时
[1228.41-1230.97] 国内排名数一数二的顶级专家的手术
[1231.23-1233.53] 和当时最先进的放疗手段
[1233.79-1234.29] 治疗后
[1234.55-1236.61] 父亲趋于稳定复查结果很好
[1236.85-1238.13] 家人暂时松了口气
[1238.65-1239.67] 彼时正逢我毕业
[1239.93-1242.23] 人生的十字路口面临重大的抉择
[1242.49-1245.05] 学校保研和国内考研我都放了
[1245.31-1246.33] 放弃了
[1246.59-1250.17] 父亲病后又四处奔波耽误了找工作的黄金时间
[1250.43-1251.97] 当时年轻气傲的我
[1252.27-1254.31] 实在不愿意自己两三年
[1254.57-1257.13] 为了出国的努力付诸东流于是顶着
[1257.39-1261.49] 所有人的不理解毅然选择了出国读研那时候父亲病情稳定
[1261.73-1263.27] 所以家里也表示支持
[1264.29-1265.33] 真是不容易
[1265.57-1268.65] 因为你大四的时候又找工作又考研
[1268.91-1270.69] 又为了出国做准备因为
[1270.95-1272.75] 看你这个样子咱们应该是
[1273.01-1274.03] 差不多是同龄人
[1274.79-1279.65] 相差不会太远因为我的身边也有你这种情况
[1279.91-1281.97] 你像我这样的就是学腻了
[1282.27-1283.03] 大学
[1283.55-1286.61] 坚定不会再考研的我就直接找工作去了
[1286.87-1290.21] 我记得很清楚当时咱们差不多就是3月份都已经找好工作了
[1290.45-1291.73] 因为咱们7月毕业了
[1293.01-1295.07] 所以你父亲这个时候正好在这个时候
[1295.33-1296.35] 病了
[1296.61-1298.13] 而且你又是个女孩子
[1298.39-1302.23] 你又是个山西四县小城的虽然你父母从农村接济飞跃了
[1302.49-1304.79] 但是到北京在中国这样的一个
[1305.05-1307.09] 医疗资源高度稀缺的
[1307.35-1310.93] 全力分配资源的社会
[1311.19-1311.97] 当时你的父母
[1312.27-1314.83] 就感觉到自己什么叫被歧视了吧
[1315.33-1317.89] 你这种行为就是典型的被歧视的行为
[1318.15-1321.49] 你得不到医疗资源只能靠你这样一个当时的大学生
[1321.73-1323.53] 当时大学生还比较金贵呢
[1323.79-1327.63] 可能你去找人啊去查资料人家还会给你个好脸
[1327.89-1331.21] 你现在的话大学生都臭大街了你现在大学生去
[1331.47-1332.23] 也没戏了
[1332.49-1334.03] 所以当时还算是不错了
[1334.29-1336.85] 90年代2000年代初期可能是
[1337.87-1339.15] 所以你就走了而且你
[1339.41-1341.45] 学习这么好
[1341.71-1342.99] 托福都考得这么好
[1343.25-1344.01] 还有奖学金
[1344.77-1346.57] 而且你能给父母
[1347.09-1348.87] 在你那么年轻的时候
[1349.13-1350.93] 可以说刚刚成年的时候
[1351.17-1353.73] 给你父亲治病跑这么大
[1353.99-1354.77] 出这么大的力
[1355.01-1356.81] 真的是很好的孩子
[1357.83-1358.61] 非常孝顺的孩子
[1359.37-1361.41] 2009年我大学毕业
[1361.67-1365.25] 8月份背井离乡来到美国波士顿开启留学生涯
[1365.77-1366.79] 09年大学毕业
[1367.05-1369.09] 那就是2000年初起
[1369.87-1371.41] 起料只带了三个
[1371.71-1374.01] 三个多月就收到了父亲病情恶化的消息
[1375.29-1377.85] 我勉强读完了第1学期次年1月
[1378.11-1381.43] 便申请了休学匆匆回国一回就是一年半
[1381.69-1385.27] 这一年半我放弃了一切留在家乡与世隔绝全身
[1385.53-1386.55] 心陪父母
[1387.07-1388.85] 伺候父亲走完了人生最后的日子
[1389.37-1391.93] 又陪母亲待了几个月安抚好他的心情
[1392.45-1396.03] 真的是很了不起的孩子你比我强我没你这么
[1397.05-1397.57] 孝敬
[1397.81-1401.15] 如果出现这种情况的话我可能是不会陪他们那么长时间的
[1401.71-1402.47] 你简直是
[1402.73-1404.53] 中国古代的那些这个
[1404.77-1405.81] 丁忧的状态
