[1.26-2.14] 哈喽大家好
[215.57-217.17] 大写的一个囧字挂在脸上
[217.17-217.59] 我呢
[217.59-218.35] 昨天就看了一下
[218.35-220.05] 真的他他又忘了理发了
[220.05-221.01] 他又不忍着染头发
[221.01-222.39] 他又披头散发了
[222.39-223.47] 宅小鸟你复毕
[223.47-223.83] 你好吧
[223.83-225.99] 我穷逼你能不能注意一下你的形象啊
[225.99-227.39] 你看我的头发是不染的
[227.39-228.27] 我这胡子也不染的
[228.27-229.41] 你能不能染染发
[229.41-231.09] 你然后咱俩再再斗争
[231.09-232.01] 要不然的话
[232.01-234.29] 人家说我欺负老人好吧
[234.29-235.33] 他不穷啊
[235.33-237.93] 咱们呃以后就不愿意提他了
[237.93-239.65] 他现在已经疯掉了
[239.65-240.09] 呃
[240.09-243.59] 我爸爸一直做生意支撑我们家
[243.59-245.63] 2018年生意上资金周转的问题
[245.63-246.99] 他把房子抵了出去
[246.99-247.79] 但是还差一些
[247.79-249.55] 于是就像之前答应过办事
[249.55-250.67] 但迟迟没办成的
[250.67-252.55] 领导想把钱要回来
[252.55-253.73] 就找领导要钱去了
[253.73-255.71] 这个金额不算太大
[255.71-256.35] 有几个呢
[256.35-257.27] 很快就把钱还了
[257.27-258.19] 但另一个人呢
[258.19-259.29] 我们05年左右就认识
[259.29-260.09] 这个领导呢
[260.09-260.79] 只收现金
[260.79-261.95] 呃比较小心
[261.95-262.71] 认识十多年
[262.71-264.37] 前前后后给了他一百多万
[264.37-265.85] 开始这个人一直避而不见
[265.85-267.57] 于是我父亲去他家
[267.57-268.57] 试图找他聊
[268.57-270.19] 但这个人没有还钱的意思
[270.19-271.47] 还联合几个人做了个局
[271.47-272.31] 报警了
[272.31-273.13] 第二天
[273.13-273.61] 呃
[273.61-275.53] 给我父亲安上了个敲诈勒索的罪名
[275.53-277.49] 一审判了11点
[277.49-278.41] 被抓第二天早晨
[278.41-279.71] 我还在学校上课
[279.71-280.77] 我大学在北京
[280.77-281.61] 我妈给我打电话
[281.61-282.47] 让我先回家
[282.47-283.67] 说我父亲出事了
[283.67-284.67] 坐上出租车那一天
[284.67-285.89] 我感觉天都塌了
[285.89-286.99] 呃
[286.99-287.81] 长话短说
[287.81-289.25] 后来我父亲就想办法
[289.25-291.67] 给我身边认识的亲戚朋友们打电话
[291.67-292.69] 看谁有能力
[292.69-293.65] 也愿意帮忙呢
[293.65-294.41] 你看
[294.41-296.01] 这就是你母亲
[296.01-297.45] 没有眼界所致
[297.45-298.31] 你是个孩子
[298.31-298.83] 呃
[298.83-299.45] 不能挑你
[299.45-300.55] 但是你愿意给我写信
[300.55-301.15] 呃
[301.15-303.27] 问就说明你是上道了
[303.27-304.19] 你开始学习
[304.19-305.17] 开始进化了
[305.17-305.71] 但你母亲
[305.71-307.15] 她是本能
[307.15-308.53] 她是费拉本能
[308.53-309.41] 找人
[309.41-310.55] 这不是呃
[310.55-311.47] 贬低你母亲啊
[311.47-311.75] 呃
[311.75-312.87] 其实绝大部分人都是这样
[312.87-314.15] 我母亲也是这样的
[314.15-315.89] 就是因为他们没有见识
[315.89-317.05] 他们没有经历
[317.05-318.53] 所以他们第一本能
[318.53-319.11] 就是找亲戚
[319.11-320.25] 找信得过的朋友捞人
[320.25-321.63] 入套了
[321.63-323.89] 这个时候所有的捞你的人
[323.89-324.59] 记住我的话
[324.59-325.69] 所有的你找的
[325.69-325.99] 我母亲
[325.99-327.07] 无论认识你多少人
[327.07-328.05] 多少年子
[328.05-329.39] 捞你的这些亲戚好
[329.39-329.91] 朋友好
[329.91-331.91] 都会变成骗你的人
[331.91-334.11] 他们未必是主
[334.11-335.51] 主观意识上想骗你
[335.51-336.55] 但是其结果
[336.55-337.73] 客观结果一定是
[337.73-339.67] 在你伤口上再揉上一把盐
[339.67-341.99] 这种概率高达90%以上
[341.99-344.35] 我本人呢
[344.35-345.67] 有一个同学
[345.67-346.31] 啊
[346.31-347.23] 很漂亮的女同学
[347.23-348.41] 她老公呢
[348.41-348.81] 是
[348.81-352.27] 北京市最大的房地产开发商之一
[352.27-352.95] 年轻有为
[352.95-354.11] 你看我们这个同龄人吗
[354.11-355.67] 也是七零后吗
[355.67-355.97] 她老公呢
[355.97-356.27] 呃
[356.27-357.41] 六零末七零初吧
[357.41-358.09] 她老公
[358.09-358.75] 所以呃
[358.75-359.97] 在北京西城呃
[359.97-360.57] 嗯
[360.57-362.89] 海海店做房地产做的非常大
[362.89-364.49] 她老公是河北人
[364.49-366.63] 她老公的同村的老乡呢
[366.63-367.55] 就是卫健
[367.55-368.63] 就是中纪委的内鬼
[368.63-369.89] 王岐山上来抓的第一个内鬼
[369.89-370.73] 就是卫健
[370.73-372.95] 她老公是卫健的亲戚
[372.95-373.59] 所以呢
[373.59-375.29] 卫健多年做他的保护伞
[375.29-378.19] 他才能在北京做房地产做的那么大
[378.19-379.39] 结果没想到王岐山上来之后
[379.39-381.01] 先奔着卫健去了
[381.01-382.15] 打虎立威
[382.15-382.61] 呃
[382.61-383.75] 杀一儆百
[383.75-385.37] 那卫健就被捉了
[385.37-385.65] 卫健
[385.65-386.05] 卫健就被捉了
[386.05-387.13] 她老公就呃
[387.13-387.79] 得到信息快
[387.79-388.49] 啪就跑了
[388.49-389.03] 出国了
[389.03-390.87] 出国躲起来
[390.87-391.85] 因为也没有准备吗
[391.85-392.51] 呃
[392.51-393.23] 顺风顺水
[393.23-394.13] 人都是这样的
[394.13-394.91] 没有提前准备吗
[394.91-395.55] 呃
[395.55-396.81] 这说话大概是2011年
[396.81-398.15] 12年12年的是吧
[398.15-399.77] 那王岐山打卫健的时候
[399.77-400.37] 所以呢
[400.37-401.45] 她老公出去以后呢
[401.45-403.21] 就拿着旅游签证了
[403.21-403.93] 反正家里有钱
[403.93-404.79] 各地串
[404.79-407.73] 她当时本能也是想找人捞她老公
[407.73-409.81] 然后凭事让她老公回去给我打
[409.81-410.77] 打电话说这个事
[410.77-412.17] 我说你找我就对了
[412.17-414.43] 现在你找任何人都是错误的
[415.65-417.13] 只有我跟你说的是实话
[417.13-418.61] 任何人跟你说的话
[418.61-419.31] 跟我不一样
[419.31-420.89] 你都是同她在撒谎骗你
[420.89-422.93] 因为我是王岐山的部下
[422.93-425.91] 我跟王岐山是老领导和被领导的关系
[425.91-427.15] 我非常了解这个人
[427.15-429.57] 而且我当时2012年刚刚离开中国
[429.57-431.41] 我在国内那些关系网还都在
[431.41-433.25] 我知道王岐山和习近平
[433.25-434.23] 当时上来之后
[434.23-435.45] 他们要干什么
[435.45-437.69] 所以打卫健是开弓没有回头箭
[437.69-438.83] 是必杀无疑
[438.83-440.31] 这人必死无疑
[440.31-441.97] 那你老公跟卫健又是这种关系
[441.97-442.97] 所以你老公
[442.97-444.31] 任何人
[444.31-445.05] 任何事
[445.05-445.63] 都不可以
[445.65-446.79] 都不可能把他捞得出来
[446.79-447.33] 平得了事
[447.33-448.51] 那怎么办
[448.51-449.81] 我说就在外边等着
[449.81-450.85] 你就当他死了
[450.85-451.71] 就在外边等着
[451.71-452.67] 这还不挺好的吗
[452.67-454.43] 这总比在他们的看守所里边
[454.43-457.73] 给你扔到吉林的检察院打你强
[457.73-459.83] 你就在外边当度假
[459.83-460.83] 美国待半年
[460.83-461.91] 加拿大待三个月
[461.91-462.77] 然后日本待半年
[462.77-463.59] 再回美国待半年
[463.59-464.93] 反正你都有时间签证
[464.93-465.91] 你有钱
[465.91-468.33] 所以他老公就一直在外边飘着
[468.33-471.01] 中纪委的办案组把他们家抄了
[471.01-472.25] 然后又找他单独谈话
[472.25-474.47] 因为他也是一个有很高的身份的
[474.47-475.27] 这样一个职业女性
[475.27-475.49] 所以
[475.65-478.51] 他也确实没有涉及到他老公的公司
[478.51-479.65] 所以也就谈完话
[479.65-481.51] 也就12个小时
[481.51-482.73] 8个小时就放回家了
[482.73-483.51] 一直没有受影响
[483.51-484.71] 他老公就一直往外飘
[484.71-485.13] 在外飘
[485.13-485.69] 他问我
[485.69-486.93] 那什么时候我老公可以回去
[486.93-487.95] 我说很简单
[487.95-489.39] 以我对王岐山的了解
[489.39-490.95] 岐山领导的老领导
[490.95-491.25] 办事
[491.25-492.27] 七里咔嚓脆
[492.27-493.93] 抓大放小
[493.93-495.57] 解决问题往前走
[495.57-496.89] 不是那种黏会儿
[496.89-497.69] 所以王岐山把
[497.69-498.75] 你什么时候看新闻联播
[498.75-500.43] 未见宣判了
[500.43-501.31] 这个案子就结了
[501.31-502.11] 中纪委也就结案了
[502.11-503.71] 你老公就可以再找人回来了
[503.71-504.83] 那个时候就可以回来
[504.83-505.33] 果不其然
[505.33-508.63] 王岐山把未见判刑之后
[508.63-509.03] 两个月
[509.03-510.37] 他老公回来杀事命
[510.37-511.39] 因为这事已经过去了
[511.39-512.47] 再抓你没有意义了
[512.47-513.31] 因为那是王岐山
[513.31-514.51] 他今天不一样
[514.51-517.33] 我这话是有指代关系的
[517.33-521.42] 因为王岐山只要权不要钱
[521.42-522.30] 只要命不要钱
[522.30-522.78] 换句话说
[522.78-523.80] 他弄完之后
[523.80-524.94] 他就过去了
[524.94-526.86] 但是现在这帮人
[526.86-528.66] 他是既要钱又要命要权
[528.66-530.10] 所以你只要是有钱人
[530.10-530.82] 你现在要回去
[530.82-533.40] 他即使你的那个白手套
[533.40-534.06] 你是白手套
[534.06-534.90] 你的那个主家
[534.90-535.02] 背着你
[535.02-535.68] 被人判了
[535.68-536.94] 你现在回去还会抓你
[536.94-538.74] 因为要把你钱卡着干净
[538.74-539.16] 为什么呢
[539.16-540.06] 因为王岐山的时代
[540.06-540.90] 中国的钱多的
[540.90-541.92] 这花不完
[541.92-543.12] 他要你那点钱干什么呀
[543.12-544.68] 那三块两枣几个亿
[544.68-545.88] 对于王岐山来说
[545.88-547.74] 对于包括他的办案人员来说
[547.74-548.78] 都不是个事
[548.78-549.84] 但是今天不一样了
[549.84-550.68] 今天从上到下
[550.68-552.30] 饿得眼睛发蓝
[552.30-554.34] 所以你那几个亿都是油水
[554.34-555.78] 就不一样了
[555.78-556.02] 好了
[556.02-557.70] 我接着给你讲
[557.70-558.84] 小伙子
[558.84-559.34] 我接着给你讲
[560.86-561.54] 长话短说
[561.54-562.80] 后来我母亲就想办法
[562.80-564.70] 给身边认识的亲戚朋友们打电话
[564.70-565.72] 谁有能力愿意帮忙
[565.72-567.28] 这个领导他本人在北京
[567.28-568.42] 但却向河南报警
[568.42-570.10] 河南的警察来北京抓的人
[570.10-571.88] 后来打听到我姥姥那边一个亲戚
[571.88-572.92] 说认识公检法的人
[572.92-574.26] 或许能做检刑
[574.26-576.88] 后来这个亲戚带着我母亲和中间人约见了
[576.88-579.64] 说理想情况下可以改判成七年
[579.64-580.84] 再让我父亲表现好点
[580.84-582.28] 最多做个五年就出来了
[582.28-583.90] 后来一顿操作花了一百多万
[583.90-584.74] 全打了水漂
[584.74-585.70] 维持原判十一年
[585.70-586.96] 你看是不是这个道理
[586.96-587.86] 你姥姥的人
[587.86-589.36] 你姥姥都会骗你吗
[589.36-591.52] 就这么一个就是事实就是这样
[591.52-592.54] 河南警察抓人
[592.54-593.74] 那有只有三种可能
[593.74-596.26] 一你父亲就是嫌疑人
[596.26-597.36] 户口在河南
[597.36-600.94] 二这个领导就是被害人
[600.94-602.26] 举报人户口在河南
[602.26-603.96] 或这个事儿的发生地在河南
[603.96-606.02] 否则河南警察是没有权利抓人
[606.02-606.78] 来北京抓人的
[606.78-608.28] 一定是沾上了其中一个
[608.28-612.16] 就是案件发生地和涉事双方的户籍所在地
[612.16-612.88] 在河南
[612.88-613.86] 为什么他找河南警察
[613.86-615.10] 因为河南警察胡来啊
[615.10-616.18] 北京警察好得多呀
[616.18-619.66] 所以他是处心积虑要抓你吧
[619.66-620.64] 其可以这么讲
[620.64-621.52] 其心可诛
[621.52-623.68] 必须把你把呃弄到底
[623.68-624.14] 害到底
[624.14-626.20] 他才安排河南的警察干
[626.20-628.12] 所以你要是早认识我这样的人
[628.12-629.08] 你就省了钱了
[629.08-630.94] 把钱给河南的监狱
[630.94-631.72] 你爸服刑了
[631.72-632.14] 那个监狱
[632.14-633.16] 你爸未必在河南服刑
[633.16-633.88] 判了以后
[633.88-636.36] 你爸一般都会在他那个户籍所在地服刑
[636.36-639.04] 那你给他那个狱长打点好啊
[639.04-640.08] 就花不了一百万
[640.08-640.72] 那花个五十万
[640.72-641.24] 二十万
[641.24-644.68] 你爸就在里边舒舒服服的给你爸找一个伙服呃
[644.68-646.12] 工作干个两三年
[646.12-648.02] 然后就说你爸高血压了呃
[648.02-648.58] 糖尿病了
[648.58-649.52] 然后冠心病了
[649.52-651.80] 这些就就就出来陪着你和你妈呃
[651.80-653.90] 能保外了十一年吗
[653.90-654.68] 就熬呗
[654.68-657.14] 那就因为你人生就就经不了这个坎了
[657.14-657.80] 就只能熬了
[659.42-664.28] 然后巴拉巴拉巴拉就讲他跟他妈妈去见这个领导呃
[664.28-665.30] 求情结果呢
[665.30-666.38] 不但呃
[666.38-668.78] 这个领导装逼还他妈的羞辱他们娘俩
[668.78-669.46] 没错
[669.46-673.82] 就像王叔给你讲的在中国你你妈带你去求情下跪呃
[673.82-674.78] 哭泣呃
[674.78-676.28] 求对方心软一点用都没有
[676.28-677.36] 这个人只要是领导
[677.36-678.50] 这个人经历过事
[678.50-679.52] 办你爸办的这么利索
[679.52-681.02] 他一定不是第一次
[681.02-684.12] 他既然能下这个手心里边就早就硬了
[684.12-686.06] 你和你妈在他的眼里
[686.06-688.88] 要不是中国现在还有那么一点点法治就把你们咔嚓了
[688.88-689.72] 尤其是你
[689.72-692.52] 因为你是唯一的一个可能找他报复的人
[692.52-695.36] 那你现在找他跪在他面前
[695.36-697.54] 不但解决不了你的问题
[697.54-699.02] 不但不能让他心软
[699.02-701.84] 反而让他高枕无忧
[701.84-702.82] 你你要记住啊
[702.82-705.56] 小伙儿王叔重复一下
[705.56-709.02] 刚才的这个重点就是你是他唯一担心和害怕的人
[709.02-709.22] 因为
[709.22-710.96] 你只要不拔刀干他
[710.96-712.84] 他就永远要担心你报复他
[712.84-716.00] 你给他第一个眼神或者告诉他一句这个事
[716.00-719.24] 这个世界是有世界是有循环报应的因果报应的
[719.24-720.56] 他会永远睡不着觉
[720.56-721.70] 要么他干你
[721.70-723.98] 要么他担心永远担心你干他
[723.98-725.24] 但是你给他跪下了
[725.24-726.50] 你你你给他排卵了
[726.50-727.72] 你给他哭了
[727.72-730.72] 他干这个坏事就杀他妈的担心都没有了
[730.72-731.60] 这就是人界
[731.60-733.00] 这就是五浊乱世
[733.00-734.00] 这不光是中国
[734.00-734.94] 美国也一样了
[734.94-736.70] 有人的地方就有江湖
[736.70-739.22] 有江湖的地方就要用武侠的方式来解决
[739.22-741.66] 因为司法是不公平的
[741.66-745.04] 司法是解决上层人物之间的公平的
[745.04-747.16] 那你们之间咱们这种普通老百姓
[747.16-748.00] 包括这个小领导
[748.00-749.28] 其实他也不是上层人物
[749.28-751.60] 司法只是彼此之间对付的工具
[751.60-753.24] 我话点到这
[753.24-755.20] 你爸也一定不是省油的灯
[755.20-757.04] 他之所以能出手这么狠
[757.04-758.88] 一百万就干你爸干十一年
[758.88-760.04] 我跟你讲小伙子
[760.04-761.46] 你你未必知道真相
[761.46-763.20] 因为父亲和母亲不会告诉你真相
[763.20-764.66] 你叔今天告诉你真相
[764.66-766.08] 百分之九十的可能性是
[766.08-767.22] 你爸追他要债的时候
[767.22-768.28] 用狠招
[768.28-769.20] 弄弄
[769.22-770.40] 就疼他了
[770.40-771.86] 因为世界都是相互的
[771.86-773.48] 你爸也不是一个一般人
[773.48-775.32] 能做这么大的买卖
[775.32-776.60] 支撑你出国留学
[776.60-778.12] 支撑你在北京上大学
[778.12-779.78] 又支撑你们家全家
[779.78-781.34] 你爸爸是做这么大买卖
[781.34-782.84] 光给领导的送的礼
[782.84-785.40] 没办成的往回要能往回要回几百万来
[785.40-788.60] 所以你爸爸自然也懂江湖上的东西
[788.60-791.36] 所以你爸当时动他的时候动疼他了
[791.36-791.84] 明白吧
[794.34-795.40] 然后就开始打官腔
[795.40-796.22] 给人家求情
[796.22-797.06] 人家说交给警察了
[797.06-798.10] 他也没办法左右
[798.10-798.96] 那他是扯鸡蛋
[798.96-800.58] 他要撤案就能撤
[800.58-801.36] 但是他不肯撤呀
[801.36-801.96] 你们都跪下了
[801.96-802.98] 他一看你们无害
[802.98-806.52] 没有什么这个坏的结果
[806.52-807.72] 他当然就不会撤了
[807.72-809.28] 第二件就是关于我自己
[809.28-811.20] 如果这两件事占了太多时间
[811.20-813.34] 可以先将我父亲这个给给等您空闲了
[813.34-814.28] 我您再解答第二
[814.28-815.04] 我一块都给你念了
[815.04-815.82] 得了啊
[815.82-816.96] 我打小在北京长大
[816.96-817.86] 初中毕业后
[817.86-819.42] 父母为了让我开拓眼界
[819.42-820.98] 把我送去英国读书了
[820.98-824.10] 是不是你爸你爸妈妈妈都是河南原籍的
[824.10-825.54] 然后做生意做的比较大
[825.54-827.72] 把孩子送到北京念书的
[827.72-828.66] 在英国读书
[828.66-828.96] 当时
[828.96-829.80] 我可是个小粉红
[829.80-831.18] 刚到英国没俩星期
[831.18-833.08] 就因为有个香港人拿粤语
[833.08-834.16] 当我面说中国不好
[834.16-835.38] 顺便嘲讽我们听不懂
[835.38-836.34] 我还跟他干了一架
[836.34-838.68] 后来和内地的同学们经常待在一起
[838.68-839.56] 比较共同话题
[839.56-841.24] 期间有几个玩的不错的港人
[841.24-843.10] 跟我说天安门事件8964
[843.10-844.08] 我都没放在心上
[844.08-845.56] 我总觉得中国不会做那些事
[845.56-846.70] 对呀
[846.70-848.24] 中国真的是会做那些事
[848.24-849.52] 我们之所以是小粉红
[849.52-850.70] 我也有个小粉红的时代
[850.70-851.58] 我给大家讲过
[851.58-853.16] 我还拿墨水瓶砸过美国大使馆
[853.16-855.48] 因为他们炸了南斯拉夫中国大使馆
[855.48-858.44] 我去砸美国领事馆去了
[858.44-860.30] 那都是我年轻时候干的事
[860.30-863.92] 因为我们年轻人是很纯洁的
[863.92-864.84] 很善良的
[864.84-867.30] 我们不相信母亲能干出那样的一个
[867.30-868.46] 吓唆的事
[868.46-869.96] 就是你母亲如果是个鸡的话
[869.96-871.24] 你是不会相信的
[871.24-873.42] 你如果不是亲眼目睹她的卖淫的话
[873.42-874.58] 就是我们的母亲
[874.58-875.56] 祖国在我们心里
[875.56-876.78] 当时就是一个母亲
[876.78-877.68] 祖国母亲
[877.68-879.82] 他们祖国母亲怎么能在8964开枪
[879.82-881.12] 打死自己的人命呢
[881.12-883.12] 而且在天安门广场一派胡言
[883.12-884.28] 正常反应嘛
[884.28-885.38] 所以人不愿意相信
[885.38-885.46] 自己的母亲
[885.46-885.48] 所以人不愿意相信自己的母亲
[885.48-887.08] 不想相信的东西嘛
[887.08-889.36] 所以当小粉红
[889.36-891.44] 都是所有人的心路历程
[891.44-892.82] 然后铁拳砸在你身上
[892.82-893.98] 你这不就醒了吗
[893.98-897.16] 后来等我毕业申请大学时
[897.16-898.36] 文化成绩都达标了
[898.36-900.26] 但雅思差了0.5
[900.26-902.36] 于是上了国内2加2的大学
[902.36-903.98] 一样想去的英国大学可以
[903.98-906.44] 但我读完两年准备出国的时候
[906.44-907.22] 夫妻出事了
[907.22-908.10] 发生这种事
[908.10-909.76] 我到了英国读书也不踏实
[909.76-911.36] 而且每年的学费加上生活费
[911.36-912.20] 30多万
[912.20-914.24] 于是我向学校申请了GAP year
[914.24-914.88] 先缓一下
[914.88-915.46] 看看情况
[915.46-915.96] 再说
[915.96-918.54] 让家里先去操作我父亲的事
[918.54-919.82] 等好转了第二年
[919.82-920.60] 我再去读书
[920.60-921.56] 但结果不能如愿
[921.56-923.52] 于是我只好在国内先上班了
[923.52-924.96] 本以为三年疫情过去了
[924.96-925.90] 会好一点
[925.90-928.14] 结果等来的是各行业无休无止的内院
[928.14-930.24] 导致失业率出奇的高
[930.24-931.56] 出生率出奇的低
[931.56-932.80] 生活各种无嘴
[932.80-933.82] 感觉很难受
[933.82-935.08] 原先我有想过润
[935.08-936.78] 出来开卡车或者贴车衣
[936.78-938.48] 因为我个人比较喜欢汽车
[938.48-940.88] 小富二代都玩跑车
[940.88-941.42] 这边也是
[941.42-943.04] 护照里每天还在有效期
[943.04-944.24] 但不太了解那边的情况
[944.24-945.44] 所以就搁置了
[945.44-946.12] 您见多识广
[946.12-947.48] 像我这样的情况要不要出来呢
[947.48-950.36] 或者您感觉我过去先做什么好呢
[950.36-951.72] 转成公签
[951.72-953.86] 你这种情况
[953.86-954.80] 我觉得你还是出来吧
[954.80-955.32] 因为你爸
[955.32-956.68] 这是刚出的事
[956.68-957.20] 没几年吧
[957.20-957.86] 你爸就出这事
[957.86-959.30] 你爸且这还出不来呢
[959.30-960.94] 你们要是有闲钱的话
[960.94-963.54] 就给你爸把监狱里的情况打点打点
[963.54-966.04] 就跟林冲火烧草料厂一样
[966.04-967.32] 把草料厂打点打点
[967.32-970.04] 给林都头一个好一点的位置
[970.04-971.28] 看守一下草料厂
[971.28-974.72] 这每天林都头不就是林教头
[974.72-975.24] 林教头
[975.24-975.42] 不是
[975.42-975.44] 不是
[975.44-976.80] 但是生活也挺好的嘛
[976.80-979.68] 在苍州服刑还能喝点小酒
[979.68-979.96] 对不对
[979.96-981.98] 他挑着那个酒呼噜去打酒嘛
[981.98-984.68] 给你爸找一个草料厂的好工作
[984.68-986.96] 你就尽快出来吧
[986.96-987.68] 你帮不上忙
[987.68-989.48] 你爸的世界太复杂
[989.48-991.64] 你这样干净的小孩根本帮不上任何忙
[991.64-993.42] 你不帮倒忙就不错了
[993.42-994.28] 你也不用顾你爸
[994.28-995.12] 你爸不需要你顾
[995.12-997.44] 像我们这样的男士还都处在壮年
[997.44-998.60] 不需要你们顾我们
[998.60-999.98] 你们能自保
[999.98-1000.76] 我们这代人呢
[1000.76-1002.56] 就非常欣慰了
[1002.56-1004.00] 我们不希望在里边的话
[1004.00-1005.24] 不希望因为自己
[1005.24-1007.24] 使得你们在外边的人
[1007.24-1009.04] 子女们生活不如意
[1009.04-1011.28] 所以你能够到美国去自力更生
[1011.28-1012.80] 你美签不还在呢吗
[1012.80-1014.72] 你爸其实在里边也是最欣慰的
[1014.72-1016.88] 他一定会支持你出去的
[1016.88-1017.96] 你到了美国之后
[1017.96-1019.82] 你看看能不能申请个学签呀
[1019.82-1021.52] 或者来加拿大上学
[1021.52-1022.52] 或者到英国上学
[1022.52-1025.36] 总之你就是可以继续学习一下
[1025.36-1027.16] 一边学习一边打工也可以啊
[1027.16-1029.48] 因为你的家境已经不是原来那个样子了
[1029.48-1029.84] 所以呢
[1029.84-1031.70] 你就可以打打工
[1031.70-1033.00] 尤其如果你在美国的话
[1033.00-1035.22] 那打黑工的话也挺容易的啊
[1035.22-1037.98] 而且美国现在这么多润出去的人
[1037.98-1039.12] 你又会英语
[1039.12-1041.60] 那你又有出国留学的经验
[1041.60-1043.58] 家里边有一定的经济基础
