[0.59-2.35] 哈喽 大家好
[2.35-6.83] 接着今天白天没进行完的话题
[271.03-272.67] 你已经全力以赴在帮他
[272.67-273.07] 第二
[273.07-275.75] 其实他成了今天这个样子
[275.75-278.07] 就是100公斤的这样一种面目全非
[278.07-281.91] 这个样子已经不是你心目中想的样子了
[281.91-284.87] 所以去不去参加追悼会
[284.87-287.27] 这个并不能说明什么
[287.27-289.83] 那活着的时候尽力了
[289.83-294.07] 那总比死了的时候去那磨两下眼泪更有意义
[294.07-295.07] 所以你怎么能够
[295.11-296.99] 利用这样的一个机会
[296.99-300.43] 利用贝止成没有参加葬礼这件事情
[300.43-301.55] 去大肆炒作
[301.55-304.35] 进行进一步的攻击呢
[304.35-305.51] 这个事儿
[305.51-307.35] 作为我来说
[307.35-308.91] 我完全不能理解
[308.91-310.23] 我完全不能理解
[310.23-312.31] 我不知道他的行为模式
[312.31-313.63] 是不是这脱陷了
[313.63-315.35] 还是怎么回事
[315.35-316.31] 这是其一
[316.31-316.87] 其二
[316.87-317.91] 大家有没有注意到
[317.91-319.47] 今天我说过一个细节
[319.47-322.31] 就是胡锦涛跟江泽民在斗争的时候
[322.31-324.03] 就朱令案案发10年以后
[324.03-324.99] 其实有机会翻案了
[325.11-326.71] 大家记得吧
[326.71-328.27] 我提到一个细节
[328.27-330.15] 就是胡锦涛的亲闺女
[330.15-331.35] 胡锦涛一儿一女
[331.35-334.39] 他亲闺女就在朱令的同一个宿舍楼里住了
[334.39-337.35] 他们都是清华大学92级的
[337.35-340.23] 别跟我在这抬杠那些死逼杠精
[340.23-341.95] 我虽然不是清华的
[341.95-347.99] 但是清华和北理工民乐队军乐队联系非常紧密
[347.99-349.83] 我告诉你清华那一班
[349.83-351.55] 化学系那一班不超过30个人
[351.55-352.99] 就是不超过30个人
[352.99-354.55] 跟我抬什么杠啊
[354.55-356.47] 90年代那个时期
[356.47-357.51] 90年代初
[357.51-358.95] 重点高校
[358.95-361.79] 清华北大我们八大院校
[361.79-363.59] 北京的这些重点高校
[363.59-365.39] 一个班一个专业一个班
[365.39-367.51] 也就25个人左右
[367.51-368.67] 30个人之内
[368.67-369.83] 就这么点人
[369.83-372.11] 清华他那个叫化学系
[372.11-373.71] 就是朱令孙维他们那个班
[373.71-375.07] 就是20多个人
[375.07-377.03] 没有可能超过30个
[377.03-377.47] 为什么
[377.47-380.27] 这是一种基础的知识
[380.27-383.31] 你以为是扩招之后一个班几百人吗
[383.31-384.39] 一个系几千人吗
[384.39-387.23] 一个专业一个班的话
[387.23-388.83] 你像我们162专业
[388.83-392.23] 我们在北理工我们班也就二十几个人
[392.23-394.43] 25个人到30个人之间
[394.43-396.47] 他们清华化学系那叫化二班
[396.47-397.63] 化学二
[397.63-399.75] 他们也就那么二十几个人
[399.75-403.99] 所以大家想想二十几个人里边本身女生肯定就少
[403.99-404.95] 男生就多
[404.95-406.59] 能有几个女生
[406.59-408.79] 理工类的女生多少
[408.79-409.87] 你像我们班二十几个人
[409.87-411.51] 我们班只有八个女生
[411.51-413.99] 十六七个男生
[413.99-415.95] 剩下有一些系
[415.95-419.31] 像我们北理工的航空航天专业的一系
[419.31-422.63] 他们一个班里边能有两个女生就不错了
[422.63-424.79] 30个孩子里边一两个女生
[424.79-426.43] 二十七八个男孩
[426.43-429.95] 所以这个就是理工科工科院校的特点
[429.95-432.11] 特质清华也是工科院校
[432.11-432.91] 它是同样的
[432.91-434.87] 所以女生就那么几个
[434.87-435.75] 有点啥
[435.75-436.67] 谁不知道
[436.67-441.43] 那真的就是四里八乡邻居大妈全知道
[441.43-443.03] 所以小贝也好
[443.03-443.99] 什么张杰也好
[443.99-446.79] 就是他们同班同系那几个男生
[446.79-449.55] 他想知道这件事是非常容易知道的
[449.55-452.03] 是比警察多得多的渠道的
[452.03-453.75] 更是比你方舟子多得多
[453.75-455.11] 你方舟子那时候在哪
[455.11-456.43] 你跟我们抬杠
[456.43-459.23] 你是不是什么都知道
[459.23-460.87] 你方万知
[460.87-461.59] 方万能
[461.59-463.75] 所以这些东西你不知道
[463.75-466.99] 你不要去在这瞎发表评论
[466.99-470.99] 所以胡锦涛的女儿
[470.99-472.95] 亲闺女就在那个楼上
[472.95-473.87] 就是92级
[473.87-474.79] 清华的
[474.79-475.63] 也就是说
[475.63-480.19] 其实92级清华有很多同学是能搭上胡家的
[480.19-481.71] 是能搭上胡家的
[481.71-483.59] 那你想胡江斗的时候
[483.59-485.71] 如果通过胡家的闺女
[485.71-488.51] 胡家的闺女怎么可能不知道朱令案呢
[488.51-490.23] 你想我一北立宫的军乐队的
[490.23-490.99] 我都知道
[490.99-493.31] 他本身清华那个戏楼的
[493.31-494.75] 他太知道了
[494.75-495.15] 简直
[495.15-497.67] 所以胡锦涛的女儿胡公主
[497.67-501.11] 当时是对这个案子应该是了如指掌
[501.11-503.83] 你当时如果要是有机会的
[503.87-504.31] 的话
[504.31-507.43] 通过胡女儿到胡办
[507.43-509.35] 督办一下公安部这个案子
[509.35-510.55] 只要有一个签批
[510.55-512.27] 这个案子就能推动起来
[512.27-514.47] 所以就是阴错阳差
[514.47-515.95] 没有推动起来
[515.95-518.55] 是跟当时的舆论环境有关系
[518.67-523.51] 还是跟什么这些无良大威乱搅浑水有关系
[523.51-525.87] 还是小辈也好
[525.87-527.39] 朱家也好
[527.39-528.43] 父母
[528.43-529.51] 朱家父母也好
[529.51-531.91] 他不知道这个世界的规矩
[531.91-533.15] 我就不得而知了
[533.15-535.91] 因为我毕竟不是清华那个圈子的
[535.91-541.03] 所以其实通过今天咱们马后炮的话
[541.03-543.55] 2004年前后
[543.55-545.63] 胡锦涛如日中天的时候
[545.63-549.23] 你推动这个事不是没有渠道
[549.23-553.55] 因为胡公主她本身就是亲历者见证者
[553.55-557.83] 她不是完全没有这个概念的状态
[557.83-561.07] 那当然为什么发生
[561.07-562.79] 这就是我也有不知道的地方
[562.79-563.75] 我没有发言权
[563.75-567.75] 为什么没有按我设想合理的渠道去走
[567.75-568.35] 我不知道
[568.35-569.35] 该怎么说
[569.35-569.71] 怎么说
[569.71-570.19] 我不知道
[570.19-570.91] 解释不了
[571.39-572.91] 所以咱们朱令这个事
[572.91-573.83] 咱就说完了
[573.83-574.99] 咱们就说点玄学
[574.99-577.91] 因为科学的尽头是玄学
[578.75-581.19] 我还是先念念我们玄学的信
[581.19-581.79] 特有意思
[584.67-588.39] 这是朱令清华的同学
[589.71-590.95] 大老王你好
[590.95-592.63] 三周以来已经成为您的同学了
[592.63-592.75] 大老王你好三周以来已经成为您的同学了
[592.79-594.03] 我是个人的铁粉
[594.03-595.67] 每个视频都是第一时间看完
[595.67-597.35] 每次都觉得心有戚戚
[597.35-600.43] 尤其是关于子女教育方面的见解
[600.43-601.71] 我是北京土著
[601.71-604.11] 两年多前全家移民加拿大
[604.11-606.11] 越来越觉得加拿大真是好地方
[607.11-609.63] 娃们可以用远比国内低的价格
[609.63-611.55] 充分发展各种兴趣爱好
[611.55-613.11] 大人也可以敞开了玩
[613.11-615.67] 我在国内玩了多年的滑翔伞
[615.67-617.55] 到多伦多后带着俩玩
[617.55-619.23] 改学各种户外运动
[619.23-620.23] 赛艇
[620.23-622.59] 风冲水逸攀岩
[622.59-624.31] 另外刚考了飞行驾照
[624.31-625.71] 正在买小飞机
[625.71-628.39] 让娃们也能第一时间成为飞行员
[629.15-630.39] 你可真行
[630.39-631.59] 你太能玩了
[631.59-632.99] 这哥们姓张
[633.59-635.39] 所以老张
[635.39-635.71] 我操
[635.71-636.47] 咱们同龄人
[637.67-640.27] 你说的这些我都是心有戚戚
[640.27-642.23] 因为咱们几乎都是同龄
[642.23-643.83] 同时间经历过
[643.83-646.23] 我刚挣到人生第一个100万的时候
[646.23-648.91] 那大概是99年2000年前后的
[649.51-650.71] 我那时候有100万
[650.71-652.43] 我当时你想没结婚
[652.43-654.63] 年纪轻轻的长得又帅
[654.63-655.51] 身体又好
[655.51-657.43] 我也就是想放飞自我
[657.43-659.63] 因为你人有钱之后想追求自由
[660.23-663.31] 我当时在北京就想学滑翔伞
[663.31-667.47] 当时咱们北京滑翔伞是没有人管的
[667.47-669.71] 因为当时刚刚中国改革开放
[669.71-670.99] 就像今天的越南一样
[670.99-672.15] 这都是新事物
[672.15-673.43] 老江什么老猪
[673.55-674.51] 他们也跟不上
[674.63-676.35] 所以2000年前后
[676.35-677.31] 北京有个叫
[677.31-678.51] 我一说你肯定知道
[678.51-680.67] 在西直门有个叫飞儿俱乐部
[680.67-682.39] 就专门玩滑翔伞玩
[682.43-684.63] 就是动力滑翔伞还是
[685.19-688.99] 他们每周去昌平北山上去放伞
[688.99-690.39] 然后顺风
[690.67-691.95] 天气好的时候
[691.95-693.79] 就能飘到城里着陆
[694.43-696.07] 有一个傻逼
[696.07-698.03] 就是飞儿俱乐部的一个傻逼
[698.19-699.23] 他玩嗨了
[699.35-700.59] 他飞到哪去了
[700.59-701.47] 你们猜猜
[701.47-703.23] 他飞到天安门广场去了
[703.23-705.83] 他从天上飞
[706.27-707.23] 奔着紫禁城
[707.23-709.43] 奔着中南海绕了一大圈
[709.43-710.83] 着陆在天安门广场
[710.83-711.71] 这是真事
[711.71-712.35] 所有玩
[712.43-713.03] 滑翔伞的
[713.03-714.83] 我们那一代的老炮都知道
[715.15-718.31] 当时正是镇压法轮功的时候
[718.31-720.87] 天安门广场看到飞的飞过来
[720.87-722.03] 一个不明飞行物
[722.75-723.79] 然后在这着陆了
[723.79-725.67] 一大堆警察就把他摁住了
[725.75-728.11] 但是也不知道他是犯罪还是不犯罪
[728.11-729.03] 因为没有这条罪
[729.59-731.91] 所以就把他扭送派出所
[731.91-734.35] 后来就飞儿俱乐部就把他给瞅了
[734.35-736.07] 说对不起
[736.07-738.19] 是因为风把他吹过去的
[738.19-740.99] 其实屁动力滑翔伞就是他故意的
[741.39-742.23] 找理由
[742.43-743.95] 也没怎么触发他
[743.95-745.11] 你要搁今上
[745.11-746.31] 搁今天的环境
[746.31-746.91] 我操
[746.91-749.03] 估计那哥们比彭丽发死的还惨
[749.03-750.87] 所以从那以后
[751.55-754.59] 滑翔伞运动就开始被共产党关注到了
[754.59-756.83] 因为共产党发现人一旦会飞
[756.83-758.07] 不好控制
[758.07-760.87] 你这是承平日久的时候
[760.87-762.11] 人心向善的时候
[762.11-763.27] 他直接飞到天安门广场
[763.27-764.67] 没啥事玩了一下
[765.15-766.39] 如果他带俩手榴弹
[766.87-767.67] 他带个炸药包
[767.79-769.07] 那不是易如反掌
[769.31-771.55] 在中南海上面飞的时候扔下去
[771.55-772.39] 那不就给你炸一下了
[772.43-775.39] 所以以后
[775.59-778.03] 就是滑翔伞就受到了管制
[778.39-780.95] 我当时想学滑翔伞
[780.95-782.31] 我为什么没学
[782.31-784.15] 就是因为我去
[784.55-787.39] 那时候我们家孩子他妈在德国留学
[787.39-788.19] 没人管我
[788.19-790.23] 我去西直门
[790.59-792.75] 北京飞人俱乐部报名的路上
[792.75-793.59] 就这么寸
[794.39-796.83] 老北京都知道西直门有一个人民医院
[796.99-799.07] 人民医院有股商科
[799.07-802.39] 就在他就在飞人俱乐部的马路对过
[802.43-804.95] 那时候西直门西直门外
[804.95-806.39] 西直门街都不宽的
[806.39-807.43] 很窄的街
[807.43-811.27] 我正在找飞人俱乐部的路上
[811.27-814.63] 我就看见两个人
[814.63-816.67] 两个跟我年龄相仿的壮汉
[816.67-818.63] 互相扶着像一对gay一样
[818.63-819.79] 就这样出来了
[819.79-821.75] 从人民医院出来了
[821.75-824.63] 然后那个时代都喜欢穿文化衫
[824.63-827.87] 就是北京人都喜欢穿文化衫
[827.87-829.39] 就是白背心夏天
[829.39-830.59] 然后印着字
[832.43-834.35] 你们知道我那年的文化衫
[834.35-836.23] 我印这行字
[836.23-837.79] 我只有一个缺点
[838.11-839.11] 老实
[839.47-841.03] 这就是那个时代的特色
[841.79-844.83] 这哥俩文化衫也是印着蓝字
[844.83-846.39] 白底文化衫一层蓝字
[846.39-848.19] 北京飞人俱乐部
[849.27-850.55] 腿都断了
[850.95-853.19] 在那掺着从西直门医院出来
[853.23-856.35] 我当时虽然没有信玄学
[856.35-857.71] 但是我当时就知道
[857.75-859.39] 这不是我适合的运动
[859.39-861.31] 我当时陌生就走
[862.43-863.71] 当天不成我下海
[863.71-866.75] 我就去找了北京龙园潜水俱乐部
[866.75-867.95] 龙大龙的龙
[867.95-869.75] 园是缘分的缘
[869.79-871.75] 2000年99年的时候
[871.75-874.11] 全中国私人潜水俱乐部
[874.11-875.71] 老百姓可以随便报名的
[875.71-877.23] 只有北京有
[877.23-880.39] 上海边去上海真不行
[880.39-881.95] 上海人你别看他爱钱
[881.95-884.35] 但是上海人的解放思想玩上
[884.35-886.83] 照北京就是文化差一大截
[886.83-888.51] 上海没有潜水俱乐部
[889.07-890.03] 北京当时不但有
[890.03-891.35] 而且有两家
[891.35-892.31] 一家叫北京潜水俱乐部
[892.31-895.55] 一家叫北京龙园俱乐部
[895.55-896.83] 我两家都打电话了
[896.83-898.79] 他们也都当时就都有网站了
[898.79-900.99] 然后龙园的价格比较便宜
[900.99-901.87] 2000多块钱
[901.87-904.11] 学完所有的潜水课程
[904.63-906.99] 而且经过严格的考试
[906.99-910.59] 那会可不是现在你去三亚弄两天
[910.59-911.43] 然后就给你个证
[911.43-912.35] 扯他妈蛋
[912.35-915.11] 那个时候是要学整整两个星期
[915.11-916.51] 就跟开汽车是一样的
[916.51-922.27] 我记得课目有水下穿脱面积
[922.31-923.71] 穿脱设备
[923.71-924.43] 装备
[924.43-926.63] 就是把装备在水下给你扔到水下
[926.63-928.07] 然后你一个猛的扎下去
[928.07-930.79] 然后在水下穿脱面镜排水
[930.79-933.35] 然后水下使用伏地背心
[933.35-935.39] 就是BCD背心的管
[935.39-936.59] 应急上浮
[936.59-938.63] 因为你的假设你的气瓶坏了
[938.63-939.47] 或者没气了
[939.47-940.99] 你BCD伏地背心里边
[940.99-942.55] 实际上是有几口气的
[942.55-944.55] 那几口气是可以撑你10分钟
[944.55-945.31] 没问题
[946.11-949.19] 所以职业潜水员实际上是憋不死的
[949.19-950.87] 即使气瓶被关了
[950.87-952.15] 他靠他背心
[952.15-953.63] 伏地背心他也能上来
[953.63-955.43] 然后水下脱液
[955.43-957.31] 就是因为潜水
[957.31-959.23] 职业潜水一定要是两个人一起
[959.23-960.43] 不能单人潜水
[960.43-962.83] 其中一个人出问题的时候
[962.83-964.67] 你另一个人能给他拖回来
[964.67-965.23] 拖到船上
[965.23-967.59] 就是一个人完全处于一个失能的状态
[967.59-969.47] 另一个人怎么去把他拖回来
[969.47-972.47] 而且在过程中要交换呼吸
[973.15-975.95] 而且体能训练就是一口气
[976.39-977.35] 不喘气
[977.35-978.95] 潜泳25米
[978.95-980.07] 这个是及格标准
[980.07-981.59] 你做不到潜泳25米
[981.59-982.11] 你拿不到
[982.11-982.99] 潜水白照
[982.99-986.19] 所以我们当时都是这样做的
[986.19-988.71] 包括我当时做
[988.71-990.39] 就是scooba潜水
[990.39-991.71] 就是自由潜水
[991.71-993.19] 就只带三宝
[993.19-995.07] 知道什么叫潜水三宝吗
[995.07-997.75] 气管面镜和脚谱
[997.75-998.99] 只有这三样东西
[998.99-1000.71] 当然其实还有一样东西
[1000.71-1002.87] 就是腰间必须要系签块
[1002.87-1005.43] 我当时是体重很轻的
[1005.43-1007.27] 因为我那时候身材很好
[1007.27-1008.39] 没有长肚子
[1008.55-1011.39] 所以我那时候在淡水要带两块签
[1011.39-1014.51] 在海水里要带大概4到6块签
[1015.07-1015.79] 下去
[1015.95-1017.75] 一块签大概一公斤
[1018.07-1019.59] 下去
[1019.63-1020.63] 然后上来
[1020.67-1023.59] 我当时能到我一口气下去
[1023.63-1025.19] 就只带这几样东西
[1025.19-1026.03] 没有气瓶
[1026.03-1027.47] 大概能7到9米
[1027.51-1029.23] 就是二到三层楼深
[1029.23-1031.23] 我是可以下去拿钥匙出来
[1031.23-1032.07] 就是钥匙掉地
[1032.07-1033.03] 我掉到水底
[1033.03-1033.99] 我可以捡起来
[1034.19-1040.59] 所以我跟龙元俱乐部老板叫王刚
[1040.59-1041.35] 叫王刚
[1041.39-1042.99] 刚才的刚
[1042.99-1044.51] 就跟那个演员王刚一个名
[1045.15-1046.39] 老玩家
[1046.39-1047.87] 北京老胖全知道他
[1047.87-1050.91] 王刚的做北京龙元俱乐部
[1050.91-1051.87] 老也挣不着钱
[1051.87-1052.71] 后来一着急
[1052.71-1054.19] 就给自己改了名
[1054.19-1055.07] 叫王亦坤
[1055.07-1056.27] 现在叫王亦坤
[1056.27-1057.63] 艺术的亦坤
[1057.63-1059.03] 就是大棚展翅
[1059.03-1059.79] 那个坤
[1059.79-1060.99] 王亦坤
[1061.51-1063.39] 北京龙元潜水俱乐部到现在还有
[1063.39-1064.71] 我是他第一批会员
[1064.75-1066.03] 2000多块钱学的
[1066.07-1066.95] 然后学完之后
[1066.95-1068.07] 在北京买不着装备
[1068.07-1070.83] 因为北京当时王亦坤王刚
[1070.83-1072.15] 他们从香港带装备
[1072.15-1072.55] 我呢
[1072.55-1073.23] 因为我有钱
[1073.35-1074.35] 我就去香港
[1074.35-1075.91] 这因为我在理国练打工
[1075.91-1077.23] 我去香港太方便了
[1077.23-1080.31] 香港在重庆大厦有一家特别好的潜水
[1080.31-1080.71] 店
[1080.95-1082.39] 2000年99年
[1082.39-1084.51] 那家潜水店就没有大陆表叔
[1084.51-1085.27] 去那买设备
[1085.27-1087.55] 我大陆小表小表叔去了
[1088.43-1090.91] 那会你想2000年哥们儿笨帅
[1090.95-1092.03] 夸气宇轩
[1092.19-1093.83] 那老板就是我怀疑
[1093.83-1095.27] 今天我怀疑老板是个gay
[1095.27-1095.79] 我操
[1095.79-1096.79] 可喜欢我了
[1096.79-1097.43] 跟我那话
[1097.51-1098.55] 他又说不好普通话
[1098.63-1100.23] 那时候就是话多
[1100.23-1100.75] 给我
[1100.83-1102.71] 这么一大一大的照片让我看
[1102.71-1103.51] 什么照片
[1103.71-1104.87] 不是裸照了
[1104.91-1107.19] 他们当时在香港
[1107.39-1109.23] 他们香港人的潜水记录
[1109.27-1112.55] 利用器材装备和人员优势
[1113.19-1114.95] 他们在南海附近
[1114.99-1116.15] 就是沿着大陆架
[1116.15-1117.59] 找宋代的沉船
[1117.59-1118.31] 有很多
[1118.31-1120.11] 他们的潜点就在沉船附近
[1120.19-1121.87] 他们有的时候找到沉船以后
[1121.87-1123.07] 他们不上报的
[1123.07-1123.83] 那个时候
[1123.83-1126.95] 中国沿岸沿海管理非常的弱
[1126.99-1127.79] 设备也不行
[1127.79-1128.75] 也没有海警
[1128.79-1130.71] 所以他们知道潜水点
[1130.71-1131.03] 之后
[1131.03-1133.75] 他们拍那水下照片
[1134.11-1134.75] 我跟你讲
[1134.75-1137.03] 我亲眼见那一打一打的
[1137.03-1138.11] 从箱子里边
[1138.11-1139.95] 因为那沉船的箱子都没打开过
[1140.03-1142.99] 捞出来宋代的瓷盘子
[1143.39-1144.31] 都是完整的
[1144.31-1145.11] 你说多少钱
[1145.11-1146.39] 是2000年
[1146.39-1148.47] 那时候还没有开始改革开放
[1148.47-1150.15] 大潮没有有钱的
[1150.15-1151.91] 后来才有马卫都
[1152.79-1154.59] 有了马卫都他们之后
[1154.63-1156.71] 有了什么健保节目之后
[1156.71-1157.75] 我才看一个盘
[1157.75-1159.67] 后来能炒到几十万
[1160.03-1160.67] 我操
[1160.67-1161.43] 那个老板
[1161.43-1162.43] 重庆大厦的老板
[1162.63-1165.07] 他们偷捞了多少盘子
[1165.07-1168.51] 宋代的铜钱
[1168.51-1170.63] 从沉船里边捞出来
[1170.63-1172.51] 一瓮一瓮的铜钱
[1172.79-1176.79] 所以各种词是最多的
[1176.79-1179.39] 就各种宋代的那种
[1179.39-1181.03] 沉船里边的词
[1181.27-1185.67] 所以这就是我们当时玩
[1186.59-1188.55] 所以你说你玩滑翔伞
[1188.55-1190.31] 我马上就想到了
[1190.67-1192.23] 我的过往的经历
[1192.23-1195.99] 然后他接着问我
[1195.99-1197.31] 昨天看您视频讲到了
[1197.31-1199.15] 您练了多年的手枪射击
[1199.15-1200.03] 非常感兴趣
[1200.03-1202.11] 因为一直没有找到玩枪的朋友
[1202.11-1203.47] 所以还没开始
[1203.47-1204.67] 能不能系统的讲讲
[1204.67-1207.11] 在加拿大如何学习射击
[1207.11-1208.95] 有哪些法律方面的限制
[1208.95-1211.75] 另外您对小孩何时开始学习射击
[1211.75-1212.91] 有哪些建议
[1214.75-1216.91] 似乎我们这期聊到现在
[1216.91-1218.51] 还没有开始聊玄学的
[1218.51-1220.63] 不过我的朋友们已经都习惯了
[1220.67-1222.71] 反正今天就是晚上大家瞎聊
[1223.63-1225.07] 你要问打枪
[1225.07-1226.83] 你还真问对了人了
[1226.83-1229.07] 我刚来加拿大
[1229.07-1230.87] 我马上第一件事
[1230.87-1232.83] 立刻就靠枪牌去了
[1232.83-1234.27] 所以我是拿枪牌一块
[1234.27-1235.15] 拿10年了
[1236.15-1236.99] 10年多了
[1236.99-1238.95] 因为5年一更换
[1238.95-1241.27] 我这次已经第二次换枪牌了
[1242.75-1244.63] 法律我那就了如章
[1244.63-1246.51] 就是加拿大用枪的法律
[1246.51-1247.87] 跟美国是完全不一样的
[1247.87-1250.15] 我们总是以为加拿大跟美国一样
[1250.15-1250.51] 可以自由承受的
[1250.51-1250.95] 自由持枪
[1250.95-1251.63] 错
[1251.63-1254.27] 加拿大对于枪制的管理非常之严
[1254.27-1258.39] 你买枪或者你买枪的前提是必须有枪牌
[1258.39-1262.43] 你有枪牌的前提是必须严格的考试学习
[1262.43-1264.71] 你可以报任何一个枪械俱乐部
[1264.71-1267.23] 多伦多文化任何一个城市都有
[1267.23-1269.07] 你报了以后很便宜
[1269.07-1271.43] 几百块钱
[1271.43-1272.03] 就给你把
[1272.03-1273.27] 你可以自学
[1273.27-1275.15] 网上有自学教程
[1275.15-1276.79] 学完认认真真学完
