[1.90-2.88] 哈喽大家好
[373.28-377.06] 我希望我的经历能给其他的观众有所启发和帮助
[377.06-378.56] 关键在于执行力
[378.56-380.54] 所有的事情都是自己最清楚
[380.54-384.42] 必须要家庭成员一起做出人生的重大决定
[384.42-387.32] 不要让大老王替我们来做决定
[387.32-387.72] 哎呀
[387.72-388.66] 说的真好
[388.66-390.90] 你怎么说到我的心坎里了
[390.90-395.04] 最后送上一张我前天在北京出差拍的昆仑饭店的照片
[395.04-398.70] 我公司总部就在旁边的昆沙中心
[398.70-399.60] 艳沙中心吧
[399.60-399.96] 大哥
[399.96-401.34] 昆沙中心
[401.34-403.38] 我不知道还有个昆沙中心啊
[403.38-404.60] 也算是缘分了
[404.60-405.06] 哈哈
[405.06-407.58] 作为YouTube一方一万新粉之一
[407.58-408.94] 祝您新年快乐
[408.94-409.60] 家庭幸福
[409.60-410.64] 一切顺利
[410.64-412.02] 等我顺利登录后
[412.02-413.64] 请王兄到卡尔加里玩
[413.64-414.96] 一起喝酒
[414.96-415.50] 吹牛逼
[415.50-415.98] 好啊
[415.98-416.88] 哈哈
[416.88-417.50] 卡尔加里也是很好玩的
[417.72-419.76] 很年轻
[419.76-421.62] 年轻人的比例是加拿大第一
[421.62-422.52] 加拿大大城市里
[422.52-424.38] 卡尔加里的年轻人比例最多
[424.38-425.28] 因为什么呢
[425.28-426.30] 因为那是经济好
[426.30-427.74] 他给石油城市嘛
[427.74-428.46] 呃
[428.46-429.58] 经济条件好
[429.58-430.26] 工资高
[430.26-431.34] 工资呃
[431.34-431.94] 给的高
[431.94-433.74] 然后物价又低
[433.74-435.96] 房价尤其是可负担房价非常低
[435.96-437.16] 三四十万加币
[437.16-439.02] 买大house在卡尔加里
[439.02-440.22] 所以大家都去了啊
[441.48-441.98] 嗯
[441.98-443.06] 废物点心
[443.06-444.74] 关于脑肿瘤的重要信息
[444.74-446.90] 然后又给我发了一个怎么治那个
[446.90-447.58] 因为有一期
[447.58-449.92] 我念一个姓孙的女士啊
[449.92-452.98] 孙颖女士的那个女儿得了脑肿瘤的信息
[452.98-459.76] 然后就我前前后后已经收到了差不多四十到五十封来信
[459.76-460.30] 呃
[460.30-465.02] 都声称自己有治疗呃恶性晚期脑肿瘤的秘方
[465.02-465.70] 嗯
[465.70-467.20] 毫无疑问的
[467.20-469.06] 以以我铁粉对我的了解
[469.06-472.18] 我没有把任何一封信转给孙颖呃
[472.18-472.72] 女士
[472.72-475.54] 因为就像我说的那个话
[475.54-477.58] 人得了脑肿瘤晚期
[477.58-480.50] 就像爸爸被公安抓走
[480.50-482.70] 判十一年的那个富二代家庭一样
[482.70-485.86] 或者老公被公安抓走的那个女士的家庭一样
[485.86-487.18] 富裕女士的家庭一样
[487.18-489.22] 这个时候所有的人都是骗子啊
[489.22-492.90] 那当然我不排除这里边有百分之零点一的人
[492.90-495.82] 真的能治好他女儿的晚期脑瘤
[495.82-498.14] 就是当美国的医生
[498.14-502.34] 波士顿的医生都说你可以去安排安乐死了
[502.34-504.46] 去安乐死合法的地方安排安乐死
[504.46-506.42] 就这样的一个呃时期的肿瘤
[506.42-506.46] 我不排除有瘤瘤的时期的肿瘤
[506.46-506.50] 我不排除有瘤瘤的时期的肿瘤
[506.50-508.66] 我不排除有万分之一
[508.66-512.50] 十万分之一的这些配方里面是有一个真能治好的
[512.50-513.38] 我不排除
[513.38-515.02] 但是我的问题是
[515.02-517.82] 我不知道哪一个人说的是真的
[517.82-519.86] 女孩的妈妈也不知道
[519.86-520.46] 更不知道
[520.46-522.22] 而且关心则乱
[522.22-524.98] 这个时候只要我把这50封邮件
[524.98-526.98] 40封邮件转给他妈妈
[526.98-530.02] 可能会有99.9%的概率
[530.02-533.22] 让他妈妈悲惨的人生再惨上一次
[533.22-534.46] 就是已经走投无路
[534.46-535.62] 再被骗一笔钱
[535.62-536.46] 然后再把女儿
[536.46-539.58] 临死之前本来已经放下的情怀
[539.58-541.90] 再把人家的欲望勾起来
[541.90-543.18] 形成期待
[543.18-544.42] 然后期望越高
[544.42-545.66] 失望越深
[545.66-549.46] 所以我不会把大家的所谓治疗
[549.46-553.98] 晚期绝症脑肿瘤的秘方转给患者家庭的
[553.98-556.98] 这就是我的人生经验
[556.98-557.46] 明白吗
[557.46-558.66] 不是我冷血
[558.66-561.86] 而是我经历了太多这样的骗局
[561.86-562.98] 这个时候这50个
[562.98-566.42] 这50位人呃人士毫无疑问都是热心观众啊
[566.46-569.46] 他们真的是发自内心的想帮忙
[569.46-571.90] 但是你们的这些所谓的偏方
[571.90-575.62] 99.9%都是骗局
[575.62-577.50] 程先生王老师您好
[577.50-581.06] 最近在油管上看您讲玄学毛色顿开
[581.06-581.98] 您讲的真好
[581.98-583.02] 很佩服您
[583.02-585.50] 所以应该称您是大师一点也不为过
[585.50-588.38] 我今天冒昧向您讨教一个问题
[588.38-590.50] 希望得到您的回答
[590.50-593.46] 呃原有我认识的一位女性朋友
[593.46-594.38] 50岁出头
[594.38-595.58] 阔胡离异单身
[595.58-599.30] 两年前她认识一位男士比她小五岁的样子
[599.30-600.46] 阔胡离异单身
[600.46-601.94] 现在还没结婚
[601.94-604.06] 女的多次向她提出结婚要求
[604.06-604.94] 男的很怪
[604.94-606.02] 就是不同意
[606.02-610.22] 男的与前妻离婚是因为被她当场抓住
[610.22-613.10] 前妻在床上与其他男人私混
[613.10-613.94] 哦
[613.94-615.10] 就抓奸离婚呢
[615.10-617.82] 现在这个男人变得很怪异了
[617.82-619.42] 睡眠很浅一醒
[619.42-621.10] 被吵醒会头疼狂躁
[621.10-623.18] 偶尔晚上会异常兴奋
[623.18-624.30] 一个人躲在卫生间
[624.30-625.54] 小声的又唱又跳
[625.54-627.54] 有时会像小猫小狗一样
[627.54-630.02] 捉住女人的衣服或者裤子
[630.02-632.02] 好像需要保护一样
[632.02-636.50] 一年会有一次两次为一点小事情而暴躁
[636.50-641.26] 比如那次男的爸爸给她植物撒了肥料
[641.26-644.42] 女的给她衣服定商标少缝了几针
[644.42-645.82] 她生气的批评说
[645.82-647.22] 这点事情也做不好
[647.22-648.26] 女的回了她一句
[648.26-650.10] 她就捡碎了那件衣服扔掉
[650.10-651.46] 然后几个月不理女的
[651.46-654.66] 整天一个人躲在门窗紧闭的房间里
[654.66-655.46] 只有晚上
[655.46-656.82] 去她妈妈家吃饭
[656.82-658.78] 吃完晚饭又把自己关在屋里
[658.78-659.78] 拉上窗帘不开灯
[659.78-660.42] 不见任何人
[660.42-661.82] 现在越来越严重了
[661.82-663.70] 人憔悴至极睡不着
[663.70-666.22] 还有幻觉总觉得背上有虫子
[666.22-668.26] 上次他还说
[668.26-670.02] 南天竹上全部是虫子
[670.02-672.10] 给他们全部拔出来烧掉了
[672.10-674.82] 我想问的是这个男人是不是入魔了
[674.82-677.10] 能不能用玄学去解释他的情
[677.10-678.50] 大师给指条路吧
[678.50-682.10] 程先生你就是那个女士
[682.10-685.22] 我在我的人生阅历中
[685.46-690.18] 有很多所谓的给我讲一个朋友的隐晦往事的人
[690.18-691.86] 讲的都淋漓尽致
[691.86-693.66] 后来有一天我终于缓然大悟
[693.66-695.98] 那个朋友就是他自己的一个分身
[695.98-697.90] 只不过他碍于面子不承认
[697.90-700.50] 那就是我干的那个丢人的事
[700.50-702.14] 或者我经历的这些丢人的事
[702.14-703.54] 所以他说我的朋友的事
[703.54-705.06] 事无巨细
[705.06-708.14] 这些细节那不是一个朋友能够知道的
[708.14-711.46] 那这位程先生也好
[711.46-712.30] 程女士也好
[712.30-715.10] 就是你已经人生够不容易的离婚的了
[715.10-715.26] 你找一位女士也好
[715.46-717.62] 这么个你还嫌你的人生不够乱吗
[717.62-718.70] 她是个神经病
[718.70-719.34] 就这么讲
[719.34-720.82] 神经病是一种病
[720.82-723.30] 心理上的病你看不出来
[723.30-725.82] 你看着她五官四肢俱全
[725.82-727.66] 所以你以为她不是病人
[727.66-728.46] 其实她是病人
[728.46-729.70] 她要去治病
[729.70-731.06] 而不是跟你结婚
[731.06-732.78] 第一件事是给她治病去
[732.78-733.42] 明白吧
[733.42-735.10] 所以你愿意照顾她一辈子
[735.10-736.22] 你不在乎这些东西
[736.22-736.98] 那你就跟她结婚
[736.98-737.70] 那是真爱
[737.70-739.34] 我看你是非常在乎
[739.34-741.86] 你还是很在乎自己的人生质量的
[741.86-742.50] 生活质量
[742.50-744.58] 那你找这么个病人干什么玩意
[744.58-745.42] 老王你好
[745.42-747.54] 之前在油管留个言
[747.54-751.34] 可能是您老人家太忙没忙够
[751.34-753.26] 叫曼尼咖啡孙俊丽
[753.26-755.66] 孙俊丽问我的问题
[755.66-758.10] 孙俊丽是曼尼咖啡的老板
[758.10-760.50] 在国内创业
[760.50-761.94] 然后还有名
[761.94-764.70] 然后就疫情倒闭了
[764.70-766.58] 赔了很多的钱
[766.58-768.14] 负债了800多万
[768.14-772.38] 然后经过了袁丽大姐
[772.38-774.54] 就是特别好的演员
[774.54-775.26] 袁丽女士
[775.42-777.14] 的帮助
[777.14-781.14] 现在做了一个新的品牌
[781.14-782.78] 叫茂菜
[782.78-784.38] 开业了两个月
[784.38-786.54] 现在盈亏基本平衡
[786.54-788.10] 然后问我
[788.10-789.58] 我的问题是我这个年龄
[789.58-790.42] 这样的大环境
[790.42-791.74] 是不是没有机会了
[791.74-793.78] 想再做到10年以前
[793.78-794.94] 是不是不可能了
[794.94-795.94] 一句话回答
[795.94-797.02] 你是不可能了
[797.02-799.78] 因为人不可能往回活
[799.78-802.82] 京晨
[802.82-805.10] 大老王祝你合家快乐
[805.10-807.22] 2024平安喜乐
[807.22-808.38] 在地中海的
[808.38-809.82] 给我发的这照片
[809.82-811.46] 好漂亮的大灯
[811.46-812.66] 好漂亮的
[812.66-814.94] 两只大前灯
[814.94-815.90] 晶晶晨晨女士
[815.90-816.54] 你是故意的
[816.90-818.98] 你故意穿这样的衣服
[818.98-819.66] 给我
[819.66-820.42] 你就是故意的
[820.42-821.38] 所以我就说
[821.38-822.62] 女人女士
[822.62-825.02] 一旦到了过了30岁
[825.02-826.86] 骚气
[826.86-829.74] 那真的是男人都望尘莫及
[829.74-833.70] 然后我只注意你照片了
[833.70-834.90] 我看你给我写的内容
[835.10-835.98]  т�اا está boy 和ro park
[835.98-836.46] y teams
[836.46-837.38] 此时此刻
[837.38-838.94] 我正在飘在地中海里
[838.94-840.06] 享受人生美好的
[840.06-840.90] 孤独和自由
[841.18-842.94] 2023年最大的收获
[842.94-844.10] 就是隔空认识了
[844.10-845.38] 你这样一个有趣的灵魂
[845.38-846.42] 认识你之前
[846.42-847.30] 我还要纠结
[847.30-849.06] 要不要在不惑之年
[849.06-850.58] 去加拿大讨生活
[850.58-851.98] 又一次开始新的人生
[851.98-853.14] 看完你的视频
[853.14-853.86] 我豁然开朗
[853.86-854.98] 在地中海的小城
[854.98-856.52] 这个小城是有
[856.52-857.62] 我要的一切
[857.62-858.94] 相亲相爱的家人
[858.94-859.86] 彼此珍惜的好朋友
[859.86-861.82] 随时可以奔赴的大海
[861.82-862.82] 不要'远走
[862.82-864.06] 就可以看到的雪山
[864.26-864.82] 我完全可以
[864.82-867.38] 完全可以安下心来享受生命馈赠的这一切
[867.38-868.14] 我不折腾了
[868.40-869.18] 谢谢大老王
[869.42-871.74] 有时人生真的需要一个明镜
[871.98-874.04] 而你就是我2023年最好的预见
[874.54-876.86] 欢迎你们有机会来阳光海岸
[877.10-877.88] 地中海度假
[878.14-880.70] 小而美的世界里有很多有趣的灵魂
[881.20-882.74] 世界的精彩有许多种
[884.02-885.04] 陈晶晶女士
[885.56-886.32] 真的好感谢你
[886.58-887.60] 真的是好感谢你
[888.38-892.98] 你的这个回信虽然没什么实质性的问题
[892.98-895.02] 但是你就是治愈了我的心
[895.54-899.64] 因为我很多时间担心我在对着屏幕自说自话是自嗨
[900.14-902.46] 但是看到你的这种reaction这种反应的话
[902.70-905.26] 能真的能帮助到朋友们的话
[905.52-906.80] 我就是特别的满足
[907.06-907.58] 特别满足
[907.82-909.62] 那种赠人玫瑰
[909.88-911.16] 手有余香的那种满足
[911.42-912.70] 真的是超级满足
[913.72-914.22] 谢谢你
[914.48-916.78] 陈晶晶女士和你的伴裸照
[917.04-917.82] 谢谢你
[918.06-919.10] 多发多发
[919.34-920.38] 不用客气
[920.62-921.40] 这个
[921.66-922.94] 我老婆看见一眼
[923.24-924.78] 也没有什么感觉
[925.02-926.30] 因为你在地中海嘛
[926.56-932.46] 可有一点我们家去地中海玩的时候呢我估计我老婆不会去你那个小城啊
[932.70-934.24] 没事我们就做比友
[936.04-936.80] 地中海多美啊
[937.06-939.36] 真的是人间先进人类文明最早的地方
[939.62-942.70] 你还折腾啥呀加拿大真的不如南欧
[943.20-943.72] 真的不如南欧
[943.98-945.26] 气候条件
[945.50-946.28] 人文历史
[946.54-948.06] 这儿毕竟是一个新大陆
[948.32-949.34] 有史的
[949.60-951.14] 历史只有100多年
[951.40-952.16] 你想想我们这边
[952.42-956.00] 所谓的历史文物温哥华的历史文物就是188几年
[956.26-957.02] 这就是历史文物啊
[957.28-959.58] 这在中国在南欧这不都是笑话
[959.84-963.42] 拿兴嘛都是拿兴啊188几年叫什么历史文物
[963.68-965.22] 满街都是历史文物
[965.48-969.82] 所以来这边呢就是和去你们家各有千秋
[970.08-970.84] 不用折腾了
[971.10-971.88] 这是围城
[972.64-974.68] 忠实听众再次来信
[977.13-978.91] 王叔好我是天津听众
[979.43-982.75] 给您去过信觉得您的内容太有知识性了所以
[983.01-983.79] 想把您讲的内容
[984.09-987.41] 跟英语能有关系的自己整理资料后讲给自己班的学生
[987.93-992.03] 看您没有回复我就先自己整了没事整吧无所谓的啊讲学生别让
[992.27-994.07] 别让学生举报你就行啊
[994.33-996.89] 我关于巴以冲突我今后
[997.15-999.71] 从到今天我已经听了40多遍了
[999.95-1005.07] 我发现讲到吉安的时候说到英语中做子宫讲但是我查了很多字典
[1005.33-1006.35] 我都查不到这个
[1006.61-1008.15] 意思后来我查了
[1008.41-1011.23] Gian来自于希伯来语是独立魅力
[1012.25-1012.75] 大概
[1013.01-1015.05] 犹太人觉得吉安是他们的应许之地
[1015.31-1018.89] 是他们可以世世代代生活的独立王国大概是取自这个意思
[1019.15-1020.17] 不是你理解错了
[1020.43-1024.27] 这两天听了王叔关于朱令案的分析我觉得您最大的优点
[1024.53-1026.31] 并不只是脑子清洗而是
[1026.57-1027.35] 是而且
[1027.59-1028.11] 头脑
[1028.37-1029.39] 逻辑非常有
[1029.91-1031.43] 逻辑性和正义感
[1031.69-1033.23] 善良我会一直关注您的视频
[1033.49-1034.51] 太感谢您的频道了
[1035.03-1036.81] 如果开会员我一定买
[1037.07-1039.37] 祝王叔身体健康万事如意
[1039.63-1041.43] 他是一个天津的英语老师
[1042.75-1048.63] 教孩子们英语给孩子们讲我的视频中的与英语有关的可以啊那以后我多说英语
[1049.15-1053.25] 你说的这个吉安啊就是我跟你讲你你百度就可以
[1053.51-1055.03] 西金银铜铁西的西
[1055.55-1057.35] 安是安全的安西安
[1057.59-1060.15] 而不是吉安不是我那个王继洲的吉
[1060.41-1062.71] 是西安这个西安是最早的
[1062.97-1063.99] 中文音译
[1064.25-1066.31] 西安的英语是Zion
[1066.81-1067.59] 不是G
[1067.83-1068.35] 是Z
[1068.61-1069.37] Zed Zebra
[1069.89-1071.17] Zion
[1071.67-1072.19] Zian
[1072.75-1076.07] 有英语大拿们如果我拼错了的话给我更正啊
[1077.11-1077.61] Z打头的
[1078.13-1078.63] 西安
[1078.89-1079.41] 子宫
[1079.67-1080.43] 子宫后来
[1081.19-1082.99] 延伸的意思就是根据地
[1083.25-1084.27] 就是堡垒
[1084.79-1085.29] 就是
[1085.55-1086.57] 原出之地
[1086.83-1088.37] 这个就是后来的衍生意思
[1088.87-1090.15] 所以有一部英文大片
[1090.93-1091.69] 叫
[1091.95-1093.23] 黑客帝国
[1093.49-1095.27] 中文叫黑客帝国英文叫Matrix
[1096.05-1100.15] Matrix就是巨振的意思就是那个数学里面的巨型的巨
[1100.39-1100.91] 巨振
[1101.17-1102.19] 就是Matrix
[1102.75-1105.05] 所以你看Matrix里面那个大片里面
[1105.31-1108.89] Matrix里人类躲在地底下深处的一个基地里面
[1109.41-1110.17] 那个基地就叫
[1110.69-1111.19] Zian
[1111.71-1112.73] 你可以看那个
[1113.25-1113.75] 电影
[1114.01-1116.83] 他不断不断的出现这个词Zian Zian Zian
[1117.09-1118.63] 因为那个是他们基地的名字
[1119.65-1120.93] 全部都是有指代的
[1121.19-1123.49] 因为那是人类复兴的唯一的希望
[1123.75-1126.05] 深埋在地底深处躲避机器章鱼
[1126.31-1127.83] 躲避机器人的这个AI
[1128.09-1130.39] 统治的这个地球外表表皮世界
[1130.65-1132.45] 所以人类的希望在那
[1132.75-1134.03] 所以才有Neo
[1134.55-1135.83] Neo这个英文词
[1136.07-1137.87] Neo是零
[1138.39-1139.67] 是太极的意思
[1140.17-1145.55] 就是中国的太极如果精确的翻译成英文那个概念太极无极就是Neo
[1146.31-1148.11] Neo在那个里面
[1148.37-1149.65] 觉醒
[1149.91-1151.19] 吃了红蓝药丸
[1151.43-1156.81] Morphis给了他红蓝药丸然后他忽然就看透了宇宙的真相
[1157.07-1159.89] 那个就是西方导演眼中的
[1160.15-1160.65] 顿悟
[1160.91-1162.71] 禅定之后
[1163.01-1164.29] 开了天眼
[1164.55-1166.59] 这个过程用视觉给你呈现出来
[1167.35-1170.69] 那个Metrics那个电影你应该让孩子们不停的看
[1170.95-1173.51] 那是学习英文的一个特别好的
[1174.01-1175.03] 题材影片
[1175.29-1177.59] 它可以解放孩子们对真实世界的
[1177.85-1178.37] 了解
[1178.63-1180.15] 并且每看一遍
[1180.41-1183.23] 每隔一个年龄层看一遍你会得到
[1183.49-1183.99] 新的东西
[1184.25-1185.79] 最后你会意识到共产党
[1186.31-1187.07] 建立的这个
[1187.33-1188.09] 所谓的
[1188.35-1189.11] 中国
[1189.37-1190.65] 这个独裁中国
[1191.17-1192.71] 那就是Metrics AI世界
[1193.01-1194.79] 几乎是可以一一对应的
[1195.05-1197.35] 史密斯探员是谁机器章鱼是什么
[1197.87-1201.71] 全都能一一对应包括你觉醒了的人你在那要么逃
[1202.23-1203.25] 要么逃就是像
[1203.51-1204.53] 尼奥一样跑
[1204.79-1205.55] 跑到西方去
[1205.81-1206.31] 要么
[1206.57-1207.09] 不说话
[1207.35-1209.13] 为什么不能说话不能去
[1209.39-1209.91] 我在那
[1210.15-1210.93] 传福音吧
[1211.19-1211.69] 为什么
[1212.47-1212.97] 因为
[1213.23-1214.25] 每一个在
[1214.77-1218.09] 机器世界里面的人在Metrics就是矩阵里面的人
[1219.11-1219.63] 都是
[1220.39-1221.67] 这个AI的一部分
[1223.01-1225.83] 也就是说每一个在中国现在还在中国人包括你身边的人
[1226.07-1227.11] 他们都是共产党这个
[1227.35-1228.89] 独裁极权政权的一部分
[1229.15-1230.69] 只不过他们自己都没有认识到
[1230.95-1232.23] 他们分分钟会变身
[1232.47-1233.75] 那个里面Morphs
[1234.01-1235.29] 培训尼奥第一次
[1235.55-1238.37] 在Simulate的Metrics里面
[1238.63-1239.91] 培训他的时候
[1240.15-1241.69] 性感的红衣女郎
[1241.95-1243.75] 一瞬间就变身成
[1243.99-1244.77] 史密斯探员
[1245.03-1247.33] 手枪直接顶在尼奥的脑袋上
[1247.59-1248.61] 打死他的那一瞬间
[1249.63-1250.15] 就是告诉你
[1250.65-1252.45] 你在中国宣扬民主
[1252.75-1253.27] 的价值
[1253.51-1254.29] 像彭丽发
[1254.55-1255.57] 他的必然下场
[1256.33-1256.85] 就是
[1257.11-1258.13] 你肯定要死掉
[1258.39-1258.89] 你肯定要死掉
[1259.15-1260.69] 然后你这个时候你
[1261.19-1264.53] 所谓的去举张白纸去用嘴说全是无效的
[1264.79-1266.57] 唯一有效的就是以德服人
[1267.09-1267.59] 就
[1267.85-1269.13] 史密斯能听懂的
[1269.39-1269.91] 是这个东西
[1271.19-1273.75] 啊好了不说了说成又成反贼频道了
[1279.72-1281.26] 小秋油管咨询
[1281.76-1284.32] 家里面很有钱富二代小康家庭
[1284.32-1288.16] 第一就是问我他是个孩子他爸爸妈妈跟我年龄差不多
[1288.42-1291.24] 爸妈妈都很有钱在可能在江南一带
[1292.26-1293.54] 上海周边
