[0.00-2.40] 哈喽 大家好 老汪又来了
[2.80-5.28] 今天白天跟我儿子钓鱼
[547.97-549.17] 你们家那入户门
[549.17-551.61] 就是就在你屁股后边不到5米
[555.01-556.57] 混得真不错
[557.09-558.09] 我也不说你了
[558.09-559.53] 因为不能落井下石
[559.53-560.49] 我不想落井下石
[560.49-560.89] 你
[561.29-563.09] 快进入老王说的第二阶段了
[563.09-563.97] 咔小
[563.97-564.73] 不值得回复
[564.73-565.45] 就是我咔小
[565.45-566.37] 他不值得回复
[566.37-566.97] 行
[566.97-569.01] 因为我粉丝确实不如他多
[569.01-570.37] 但是我粉丝质量高
[570.65-571.41] 没有脑残
[571.61-573.25] 他粉丝全是脑残
[573.25-574.73] 十个顶不了我这一个
[575.25-576.33] 不反共其强
[576.33-576.85] 只有利益
[576.85-576.97] 哎
[576.97-577.69] 这说的好
[577.73-579.89] 这是今天他逗我的
[579.93-581.09] 我们今天重点说说
[581.45-583.33] 就说他说不反共的
[583.33-584.21] 不跟他一个战友
[584.29-585.25] 他绝对不捧
[585.29-587.61] 他要蹭也得蹭大V什么文昭之类的
[587.61-588.33] 他去蹭
[588.37-589.65] 他坚决不捧我
[589.65-591.33] 因为我不跟他一块反共
[591.33-591.81] 那意思
[591.81-593.89] 只要我跟他一起反共
[593.93-595.05] 他就要捧我
[597.22-598.30] 他什么时候反过共
[598.70-599.82] 我怎么不知道
[600.74-601.94] 我问大家一个问题
[601.94-603.22] 大家想过没想过
[603.50-605.74] 如果你有一个女儿
[605.78-607.18] 或者你有一个儿子
[607.22-608.14] 他长大了
[608.18-608.54] 他要结婚
[608.54-608.62] 他要结婚
[608.62-608.66] 他要结婚
[608.66-609.30] 他要结婚了
[610.26-612.02] 他给你带过来的另一半
[612.06-613.54] 心仪的结婚对象
[613.70-615.94] 你是不是要查一查这个小伙子
[615.94-617.22] 或者小姑娘的
[617.42-619.34] 祖孙几代的人品
[619.70-621.54] 你是不是要用那一句话叫
[621.58-623.14] 不但要听他说什么
[623.38-625.50] 还要看他做过什么
[625.94-626.90] 是不是这句话
[626.94-628.22] 为什么放到你闺女
[628.22-629.42] 你儿子身上
[629.42-630.30] 你全明白
[630.34-632.82] 死宅粉的放到你们自己的钱包身上
[632.82-634.26] 放到你们自己的脑子身上
[634.26-635.86] 你啥他妈都忘了
[635.90-637.58] 你们这帮蠢驴
[637.78-638.46] 翟山英
[638.46-640.78] 在跑到迪拜之前反过供吗
[640.78-642.30] 这十四五年中
[642.46-644.34] 我没见过他一天反过
[644.38-647.14] 我是2012年移的民
[647.50-649.74] 我移民之前就开过新浪微博
[649.74-651.22] 你看我挺过供吗
[652.06-653.10] 老王这个人
[653.14-654.30] 不是我吹牛逼
[654.34-656.74] 我的三观和世界观极其稳定
[656.74-658.82] 我有一套稳定的价值系统
[658.86-660.94] 你要是能在15年
[660.98-663.82] 10年之前的我某一篇文章里
[663.86-665.70] 找到我的政治观点
[665.70-667.46] 和我现在不一样的
[667.50-668.38] 你是我哥
[668.38-669.46] 你是我爹
[669.46-670.34] 我没有这样的
[670.34-672.34] 因为我说的全是一致的
[673.74-676.62] 翟山英是不是在中国
[677.06-679.54] 巴拉巴拉讲共产党如何厉害
[679.58-681.26] 统治如何合理
[681.30-682.74] 美国如何崩溃
[682.78-683.90] 中国如何崛起
[683.90-684.94] 他讲了多少年
[685.42-687.82] 他现在又摇身一变
[687.82-689.54] 变成反共大咖
[689.58-690.82] 试问你这样
[691.14-694.14] 如果这个人做事如此反复无常
[694.18-696.02] 精神如此之不稳定
[696.06-698.26] 你能保证他今天说的是内心的
[698.26-699.30] 实话吗
[699.34-702.26] 他的行为使我认为
[702.30-704.94] 他价值观不稳定
[705.18-707.42] 因为他能在大庭广众之下
[707.78-709.98] 去散播他的美崩论
[710.02-711.54] 他出来以后
[711.54-713.58] 又完全180度相反
[713.98-715.70] 你们觉得正常吗
[715.90-717.82] 这种人带着你们反共
[717.86-719.70] 你们敢跟他走吗
[720.78-722.70] 我是肯定不敢跟他走
[723.38-724.70] 他叫伪君子
[724.70-725.90] 我是真小人
[725.94-726.94] 他说他是真小人
[726.94-727.70] 他不一定
[727.70-729.10] 但我肯定是真小人
[729.10-729.82] 因为什么
[729.82-731.06] 我言行一致
[734.13-737.21] 陈晋南和魏小宝在那房间里说
[737.73-739.21] 外面是一群蠢人
[739.93-742.29] 其实我们反清复明
[742.29-743.29] 只是个借口
[743.77-744.57] 真正的原因
[745.01-745.85] 小宝抢过来
[745.85-747.09] 真正原因就是
[747.45-749.17] 达子抢了我们的钱和女人
[749.17-750.65] 我们把他抢回来
[751.41-753.09] 小宝你果然是聪明人
[753.73-756.21] 所以反清复明的大任就交给你了
[757.65-758.85] 反共也是一样
[758.85-761.53] 宅山英就是韦小宝
[762.05-763.97] 宅山英在房间里面
[764.33-765.73] 说的跟陈晋南说的
[765.73-766.81] 和他在外边喊
[766.81-768.93] 青木堂堂主说的话是不一样的
[769.29-771.33] 你们就是那帮屋外的傻子
[771.57-773.81] 反清复明
[773.81-775.29] 韦小宝没车出来
[775.45-776.89] 是要割你们的韭菜
[778.49-780.81] 典型你们骂行你们死宅粉
[780.89-781.93] 爱过来不过来
[781.93-783.17] 你们这20万里面
[783.17-784.49] 如果有18万脑残
[784.49-785.53] 最好别过来
[785.57-786.89] 2万聪明人
[786.89-788.81] 2万真正的聪明人
[789.05-790.41] 小宝级别的
[790.65-792.25] 听了老王的舒畅之后
[792.25-795.09] 大概看得出来宅山英的破绽了
[795.09-797.01] 或者感觉出来宅山英不对的
[797.01-797.89] 你们就过来
[797.89-799.09] 咱们是一个屋里了
[799.09-800.73] 咱们在屋里边谈一谈
[800.77-802.69] 反清复明的真正办法
[802.73-804.49] 老王一定不让你们去修炼
[805.17-806.93] 九死一生的武功绝学
[806.93-808.69] 去偷42章经
[808.69-809.97] 老王告诉你们
[810.41-812.01] 真正要做点事
[813.61-814.33] 的办法
[815.53-816.17] 不说了
[816.97-818.65] 这个网友说有点忍不住了
[818.65-819.69] 但是还在拼命忍
[819.69-820.37] 说老宅
[820.89-822.57] 证据确凿的视频都在
[822.57-824.17] 还这么硬撑着不道歉
[824.93-825.33] 无名
[826.05-828.09] 宅妇谈的中国电动车没有未来
[828.09-828.89] 还是有道理的
[828.89-829.77] 没有技术积累
[829.77-832.21] 就是想梦想弯道超车很危险
[832.21-833.17] 老王啥时候也聊聊
[833.65-835.05] 电动车我聊不像他聊
[835.05-836.49] 他能聊三个月电动车
[836.49-837.53] 5个月电动车
[837.57-839.57] 我他妈5分钟就聊完了
[839.57-839.93] 你知道吧
[839.93-842.13] 因为这事说5分钟就说透了
[842.13-844.17] 我不知道聊三个月聊什么
[844.77-846.09] 每天电动车
[846.21-847.89] 它不就是一个电动车产业吗
[847.97-848.45] 你5分钟就聊完了
[848.45-850.61] 5分钟把说完了不就得了吗
[850.61-851.57] 我会5分钟说
[851.77-852.61] 我今天没有时间了
[852.61-853.45] 今天不说
[854.13-856.53] 哪天我把电动车产业在干什么
[856.77-857.85] 为什么这么干
[857.89-860.05] 将来会怎么样说清楚
[861.25-861.61] 对了
[861.61-862.73] 我又挖了个坑
[862.73-863.25] 两个坑了
[863.25-864.73] 今天第三个坑
[864.93-867.25] 我这几天我会录
[867.25-868.85] 股市为什么跌破3000点
[868.89-871.17] 为什么习大傻一开一路一带峰会
[871.17-872.61] 咔一剪彩一照合影
[873.13-875.21] 股市碰破3000点而去
[875.85-877.05] 我也跟大家说一下
[877.05-878.21] 这个专题绝对好玩
[878.21-878.41] 但是
[878.41-879.45] 我也说不了三个月
[879.45-882.05] 我大概也就5分钟10分钟
[882.25-883.93] 干货说完了
[883.93-885.81] 剩下就是戏材秀扯淡了
[887.01-889.25] 宅的直播间充满了压抑
[889.25-890.61] 沮丧和一股怨气
[890.61-892.05] 这里却恰恰相反
[892.09-893.77] 你俩一阴一阳相辅相成
[893.77-894.65] 相得益彰
[894.69-897.25] 宅的直播间确实是压抑
[897.25-899.13] 沮丧如同地狱
[899.45-901.57] 就是你如果在中国活的憋屈
[901.57-903.17] 你在宅山营直播间里坐着
[903.17-904.85] 我觉得你会更憋屈
[905.61-906.77] 它并没有解决问题
[907.09-907.69] 它是在这
[908.41-910.33] 喷中崩
[910.33-912.77] 然后你他妈又是爬墙出来的
[912.77-914.57] 你呀就是中崩
[914.57-916.65] 就是你屁股底下山要崩
[917.17-919.81] 你们都被宅山营同志放在火山口上
[919.81-922.73] 你们不就一个都在炼狱里边吗
[922.89-924.85] 所以它里边就像地狱一样
[925.33-925.85] 为什么
[925.85-926.85] 因为宅山营假
[927.13-929.65] 因为宅山营自己处于地狱中
[929.77-931.09] 你看他的面相
[931.13-932.49] 你再看老王的面相
[932.49-933.69] 我俩岁数差不多
[933.69-934.89] 我是不是可以叫他叔叔
[934.89-936.05] 现在我们俩
[936.05-937.21] 你看我的身材
[937.45-938.17] 我们俩走在街上
[938.17-938.37] 我们俩走在街上
[938.37-940.53] 差辈
[940.97-942.01] 他是叔叔
[943.17-944.33] 我是90后
[944.37-945.73] 你这为什么
[945.73-946.93] 相由心生
[947.45-948.77] 他整天要
[949.37-951.41] 处心积虑的去骗你们
[951.45-953.85] 撒了那么多谎要去圆
[954.05-955.89] 然后又怕债主追他
[955.93-957.37] 又得把别人稳住
[957.61-958.49] 我都替他累
[958.49-959.01] 你知道吧
[959.01-961.01] 他整天说什么钱被共产党拿走了
[961.01-962.69] 被共产党谁拿走了
[962.85-964.85] 咱们不要喷习近平了
[964.85-965.85] 习近平太遥远
[965.85-967.09] 你喷他太安全了
[967.13-968.13] 你喷点具体的
[968.13-970.01] 是北京市公安局局长拿走了
[970.01-972.01] 还是朝阳区经侦局局长拿走了
[972.01-973.25] 你说个人名
[973.25-975.33] 我把他的电话给你贴出来
[975.33-976.61] 这些人电话都有
[976.65-977.09] 宅山
[977.09-977.93] 你说一个人名
[977.93-979.05] 老王明天就给你贴出来
[979.05-979.85] 大家骂死他
[979.85-980.53] 给他打电话
[980.53-981.25] 给他黑死
[981.25-983.09] 国外的人还不敢给他打电话吗
[983.09-983.85] 给他爆料
[983.85-984.29] 宅山
[984.29-985.33] 我给你平反
[985.33-987.89] 你的钱被哪个领导拿走了
[987.93-988.89] 你说出来
[988.93-990.25] 你受了这么大的委屈
[990.25-991.73] 你为什么不说出来的
[992.25-993.25] 如果你不说出来
[993.25-994.21] 只有一个原因
[994.33-996.09] 就是没有领导拿走你的钱
[996.13-997.17] 是他妈大太监
[997.17-998.09] 把你的船
[998.09-998.57] 开走了
[998.57-999.69] 你当然说不出来了
[999.69-1000.81] 你能哑巴被驴操
[1000.81-1002.05] 有恐说不出吧
[1002.37-1003.29] 对不对
[1004.21-1004.81] 别生气
[1004.97-1005.69] 山英
[1006.01-1007.41] 尽快进入第4阶段
[1007.41-1008.13] 主动来喷我
[1013.78-1016.50] 老宅目前这个特有意思
[1016.54-1018.74] 老宅目前缺少一个大舞台
[1018.78-1020.62] 现在每天在这么一个小屋里
[1020.62-1022.06] 憋憋屈屈的坐着
[1023.38-1025.46] 对着视频这么喷来喷去
[1025.50-1027.86] 根本发挥不出他的语言天赋
[1027.90-1029.38] 老宅最大的天赋
[1029.38-1030.78] 不是视频直播
[1030.82-1033.06] 而是在台上演讲控场的能力
[1033.18-1034.98] 看来这个哥们还是老宅的
[1035.02-1037.22] 当时听过的现场的
[1037.42-1040.34] 我还真没听过他百人千人的现场
[1040.62-1042.86] 只要给老宅几天时间备课
[1042.90-1045.06] 老宅就可以在台上给你来一场
[1045.06-1047.38] 一个半小时精彩绝伦的演讲
[1047.42-1049.34] 我把那个时期的老宅演讲
[1049.34-1050.26] 分为4个阶段
[1050.26-1051.34] 你是真爱他
[1051.38-1053.26] 分别是前戏入戏
[1053.26-1054.38] 高潮和收尾
[1054.42-1057.38] 如果有人真的在国内大会上
[1057.38-1058.70] 听过老宅的演讲
[1058.98-1059.62] 他一定知道
[1059.62-1060.46] 那感觉比看
[1060.46-1062.06] A片过瘾这么牛逼
[1063.14-1064.54] 老宅在前戏的时候
[1064.54-1066.34] 通常不会过多的介绍自己
[1066.34-1067.58] 而是直奔主题
[1067.58-1069.90] 比如进行分析一下行业现状
[1070.02-1071.42] 和目前行业的困境
[1071.42-1074.58] 这个阶段的老宅会刻意压低嗓音
[1075.14-1078.54] 让自己的嗓音尽量显得富有磁性
[1078.86-1081.90] 身体的动作也会非常缓慢
[1082.42-1084.18] 让人觉得很沉稳
[1084.98-1086.78] 目的是稳住观众
[1086.78-1087.78] 暖暖场
[1087.98-1090.10] 此阶段老宅一般都会说一下
[1090.10-1091.26] 睡衣案例
[1091.62-1092.42] 什么睡衣案例
[1092.42-1093.34] 我还真不知道
[1093.38-1094.74] 请大家给我贴出来
[1094.74-1097.10] 什么是翟副主席的睡衣案例
[1098.34-1100.10] 进入中戏的时候
[1100.38-1102.30] 老宅就开始正式介绍自己
[1102.30-1103.54] 此阶段的老宅
[1103.58-1105.46] 以疯狂吹捧自己为主
[1105.50-1108.22] 声音也会慢慢的由低转高
[1108.22-1109.62] 由粗变细
[1109.66-1113.54] 声线也会从央视主持人萨贝宁的风格
[1113.54-1116.58] 过渡到著名相声演员江坤风格
[1117.26-1119.66] 身体的动作幅度和速度
[1119.66-1121.18] 也开始慢慢提高
[1121.22-1123.78] 此阶段老宅最经典的语录是
[1124.42-1126.66] 我是建行最年轻的副行长
[1128.62-1130.54] 快拿大虫喷来
[1132.38-1136.42] 他什么时候干过建行最年轻的副行长
[1138.06-1140.86] 巴菲特每次来中国都要请我吃饭
[1142.69-1144.17] 巴菲特来过中国吗
[1145.13-1146.13] 请你吃饭
[1146.13-1147.01] 我们怎么不知道
[1147.29-1148.25] 巴菲特请谁吃饭
[1148.25-1149.49] 不都是花钱的吗
[1149.49-1152.13] 金融这个领域
[1152.13-1153.09] 我敢说第二
[1153.09-1154.61] 没有人敢说第一
[1160.34-1161.42] 肖建华是谁
[1162.34-1163.70] 老闸你也太能吹了
[1164.50-1166.02] 他都吹到这些东西
[1167.70-1169.26] 你们能听下去吗
[1169.26-1169.90] 怎么会信
[1170.14-1172.22] 你们这全场都被他催眠了吗
[1174.10-1175.94] 我没有看过任何金融书记
[1175.94-1177.10] 这句话是真的
[1178.14-1180.98] 我是中国最有可能获得诺贝尔奖的中国人
[1185.11-1189.79] 你是中国最有可能获得奥斯卡奖的
[1189.95-1190.55] 中国人
[1191.95-1194.19] 到第三个高潮阶段的时候
[1194.83-1197.95] 老宅就彻彻底底的过渡到江坤风格
[1198.23-1199.95] 嗓音变得又尖又细
[1199.95-1201.11] 语速非常快
[1201.11-1202.79] 肢体动作开始增多
[1203.15-1206.47] 而且在这个时候老宅基本都会来一段贯口
[1206.47-1208.59] 就是企业的18个重要环节
[1208.59-1210.03] 相当于报菜名
[1210.03-1212.03] 包括财务税务等等菜名
[1212.03-1213.23] 总之就是告诉你
[1213.23-1216.79] 所有的这些复杂的东西
[1216.79-1218.39] 老宅他都可以帮你解决
[1218.39-1219.79] 只要买了BSC云
[1219.79-1222.35] 盒反正那就是臭傻逼盒子
[1222.35-1224.19] 就可以解决所有的问题
[1224.19-1226.23] 而且一年可以翻200倍
[1226.59-1228.11] 老宅说完这些
[1228.11-1230.91] 下面的观众都已经设了爽的不行
[1230.91-1233.75] 恨不得把兜里的所有的钱都交给老宅保管
[1234.07-1236.39] 但这也就到了老宅最高明的地方
