[1.94-3.94] 哈喽 大家好 今天是周末
[3.94-7.20] 今天咱们的主题是聊孩子
[218.24-219.02] 然后呢
[219.02-220.80] 就是只留这个小圈子里这个
[220.80-223.12] 夸你的他们之间互相激荡
[223.12-224.14] 最后就变成邪教
[224.14-227.46] 大家看到最近这几年都
[227.46-229.26] 在互联网上都有吧
[229.26-231.30] 就是之前那就更多了
[231.30-233.86] 这是一个千字崇拜也好
[233.86-235.66] 就是名人崇拜效应也好
[235.66-236.94] 再有一个特点呢
[236.94-238.22] 就是灯下黑
[238.22-239.24] 什么意思呢
[239.24-241.04] 就是你看我说东西
[241.04-243.84] 我老婆和我孩子未必信
[243.84-246.16] 但是外人陌生人人家就信
[246.16-246.92] 为什么呢
[246.92-248.20] 这叫灯下黑
[248.20-249.48] 我有一个好朋友
[249.48-253.06] 在中国他是个东北人叫庞中华
[253.06-256.40] 庞中华是写硬笔书法很早的一个老师
[256.40-258.70] 大概80年代末他就出名了
[258.70-260.74] 叫庞中华字体
[260.74-261.76] 到处卖
[261.76-264.32] 庞中华教谁写字都没问题
[264.32-265.86] 他唯独教不了他闺女写字
[265.86-267.14] 他孩子
[267.14-268.94] 不愿意跟他学写字
[269.24-271.04] 孩子写的字一点都不行
[271.04-273.08] 为什么呢就是觉得
[273.08-274.62] 那不就我爸嘛
[274.62-277.44] 其实我爸他还会写字吗
[277.44-278.46] 这就是原因
[278.46-280.24] 因为你跟他离太近了
[280.24-282.30] 吃喝拉撒拉屎放屁
[282.30-284.08] 他都能听得见能看得见
[284.08-286.64] 他在心里面对你没有这个崇拜感
[286.64-290.24] 那就是一旦有了这种影响力
[290.24-292.54] 其实对一个人的考验才真正来
[292.54-294.58] 因为你一旦有了影响力之后
[294.58-296.38] 你是干好事还是干坏事
[296.38-298.42] 你是洗脑割韭菜
[298.42-299.20] 成立什么
[299.24-301.80] 什么这个组织租纸那个什么党
[301.80-302.82] 然后就
[302.82-304.88] 你知道吧就弄他妈的几个亿
[304.88-306.66] 还是他妈卖你这个什么
[306.66-307.94] 币
[307.94-308.72] 还是
[308.72-312.30] 老老实实就挣点油管的这个
[312.30-313.84] 买菜钱不干别的
[313.84-315.12] 这个不是我自吹
[315.12-317.42] 我觉得我做的比很多我的
[317.42-318.96] 同行们做的好
[318.96-320.48] 全靠同行衬托
[320.48-322.54] 咱硬瞧硬码不买粉丝
[322.54-324.08] 咱慢慢的做
[324.08-326.12] 你说老王什么要割韭菜啊
[326.12-327.92] 等着什么有机会啊
[327.92-329.20] 时间是简单真理的
[329.24-330.00] 唯一标准
[330.00-331.28] 你最后你就看吧
[331.28-333.84] 你再看两年还是这么状态
[333.84-335.12] 你再看三年四年
[335.12-336.66] 又可能老王把油管关了
[336.66-337.68] 不玩了干别的去了
[337.68-339.48] 但是绝对不会出现
[339.48-341.28] 某些人
[341.28-342.56] 曾经干过的事
[342.56-344.86] 包括我的同行们
[344.86-346.40] 哎呀都是挺
[346.40-348.70] 挺有这个家庭背景的
[348.70-350.24] 就是起点其实比我高的
[350.24-352.28] 我挺佩服的原来一些人
[352.28-354.08] 现在都六七十岁了
[354.08-356.12] 我看又弄什么币呢
[356.12-358.16] 什么元币啊
[358.16-359.20] 到了美国了
[359.20-360.22] 他出来论出来了
[360.22-361.76] 还不干那个正经事
[361.76-363.04] 今天写信
[363.04-366.62] 想听听您对大龄丁克的看法
[366.62-369.18] 我和对象在美国读书认识的
[369.18-370.72] 已经结婚十几年了
[370.72-371.74] 一直在美国
[371.74-373.80] 从本科读到博士
[373.80-375.58] 在很多个州都居住过
[375.58-379.16] 前两年由于多次美国公签抽签未中
[379.16-380.20] 我们移民了加拿大
[380.20-382.24] 现在从事教育和IT工作
[382.24-383.26] 终于定居了
[383.26-385.06] 但也马上40岁了
[385.06-386.84] 我们一直没打算要孩子
[386.84-388.12] 原因有很多
[388.12-389.16] 要读书啊
[389.16-389.68] 工作啊
[389.68-391.72] 要拿永居啊
[391.72-393.76] 这些外部因素就不赘述了
[393.76-395.30] 但主要原因还是觉得
[395.30-397.36] 生养一个孩子
[397.36-400.16] 并养好他的责任太大
[400.16-402.72] 需要花费的时间精力太多
[402.72-406.32] 而我们又非常享受目前的二人世界
[406.32-408.10] 所以就一直没要孩子
[408.10-409.12] 这些年
[409.12-410.92] 除了节假日有点冷清
[410.92-412.20] 别的没毛病
[412.20-413.48] 但这也不是问题
[413.48-415.28] 闲冷清可以出去玩吗
[415.28-417.58] 只是最近开始思考一个问题
[417.58-419.12] 不生孩子为啥要
[419.16-421.46] 结婚
[421.46-424.80] 丁克小家庭在我周围也有不少
[424.80-429.14] 我身边经常我去接触的温和的朋友就有丁克家庭
[429.14-431.96] 形成丁克的原因有两类
[431.96-433.50] 我们今天分着说
[433.50-437.08] 第一类就是气质性的物理性的因素
[437.08-438.36] 不是不想要
[438.36-440.92] 是一方或者两方
[440.92-443.22] 身体有问题生不出来
[443.22-447.32] 今天咱们就不做细数
[447.32-449.12] 因为它这是解决不了的问题
[449.12-452.44] 是否能够通过高科技解决呢
[452.44-454.24] 有些是可以的
[454.24-455.78] 尤其是女方的因素
[455.78-458.34] 通过一些调理
[458.34-462.18] 或者通过西医的一些直接性的干涉治疗
[462.18-464.74] 能够取出卵子来的可能性非常大
[464.74-467.30] 男性的精子成活率不高
[467.30-468.58] 或者
[468.58-470.36] 有一些气质性问题的话
[470.36-471.40] 这个不好解决
[471.40-473.44] 解决不了
[473.44-474.98] 如果是这样的话
[474.98-479.08] 我倒建议你就直接正儿八经的去买一颗好一点的精子
[479.12-480.66] 你说
[480.66-483.22] 有的男人会说
[483.22-485.00] 买的精子毕竟不是我的
[485.00-486.04] 生出来的孩子
[486.04-487.56] 孩子虽然叫我父亲
[487.56-488.34] 叫我爸爸
[488.34-490.38] 但是我总觉得他不是我的种
[490.38-492.18] 就觉得没劲
[492.18-493.96] 就比较抗拒买精子
[493.96-495.76] 或者戒精子的这种
[495.76-496.78] 行为
[496.78-499.86] 这个事今天我给你
[499.86-501.64] 包开了说透了
[501.64-503.18] 我其实考虑过这个问题
[503.18-504.72] 不是说我遇到过这个问题
[504.72-507.28] 我是个爱考虑
[507.28-508.56] 瞎考虑问题的人
[508.56-509.08] 我
[509.12-511.94] 认认真真的研究过这个话题
[511.94-512.70] 什么问题呢
[512.70-513.72] 你想我没想过
[513.72-515.52] 成吉思汗
[515.52-517.82] 他对他的大儿子视如己出
[517.82-519.10] 大儿子不是他的
[519.10-520.12] 而且不但不是他的
[520.12-521.66] 还是他对手的
[521.66-524.22] 而且在古罗马有很多皇帝
[524.22-525.50] 因为没有子嗣
[525.50-528.32] 他宁可去选一个干儿子
[528.32-530.12] 继承自己的王位
[530.12-531.90] 叫自己父亲的话
[531.90-532.42] 而且
[532.42-533.96] 他看基因都好
[533.96-534.72] 品德也好
[534.72-535.48] 这品种好
[535.48-538.30] 他就直接让他继承罗马皇帝的位置
[538.30-539.08] 西欧
[539.12-541.42] 都也有这样的王室传统
[541.42-543.72] 那这个是什么情况呢
[543.72-546.54] 后来我翻然大悟
[546.54-547.56] 大家你想想
[547.56-548.34] 我问你们
[548.34-550.38] 在座的观众所有问题
[550.38-551.92] 你们我估计你们都答不出来
[551.92-552.94] 就是你们告诉我们
[552.94-556.02] 你们的爷爷的父亲的名字
[556.02-557.30] 说得出来吗
[557.30-560.12] 爷爷的母亲的名字说得出来吗
[560.12-562.42] 老爷的父亲的名字说得出来吗
[562.42-565.24] 老爷母亲的名字说得出来吗
[565.24-566.26] 姥姥的呢
[566.26-567.80] 就更说不出来了
[567.80-568.82] 这才几福啊
[568.82-570.86] 这才是四代
[570.86-572.66] 你从你往上倒
[572.66-575.48] 你父母名字你都了解
[575.48-579.06] 父母的父母就是爷爷奶奶老爷你可能也了解
[579.06-582.14] 但是他们第三代上边的
[582.14-584.94] 这四个老人的爸爸妈妈这八个人
[584.94-586.22] 你一定说不出来
[586.22-589.56] 你要能说出来就基本上是1%的可能
[589.56-591.34] 反正我是肯定说不出来
[591.34-593.14] 我知道我爷爷我奶奶叫什么
[593.14-595.18] 我知道我姥姥姥爷叫什么
[595.18-596.22] 他们的父母
[596.22-597.50] 我压根不知道
[597.50-598.78] 我们家也没有族谱
[598.78-601.08] 有族谱刘阿姨号号称话
[601.08-602.10] 你说的很有道理
[602.10-603.90] 有族谱也八成都是假的
[603.90-604.92] 中国人族谱
[604.92-607.48] 最远上述到清朝
[607.48-609.78] 明朝以前的都要打个问号了
[609.78-612.86] 除非特别少的地区有明朝以前的
[612.86-615.68] 再往前的就是越古老越是假了
[615.68-618.50] 如果说我们家的族谱是从宋朝开始
[618.50-620.80] 基本上他们家就晚清的
[620.80-623.36] 如果说我们家族谱是从
[623.36-624.64] 周朝开始
[624.64-626.42] 汉以前的
[626.42-627.70] 秦以前的
[627.70-628.74] 基本上他们家就没有了
[628.78-630.58] 明夺才编的族谱
[630.58-631.34] 这就是
[631.34-634.42] 没办法中国就是这么个状态
[634.42-635.44] 所以呢
[635.44-637.74] 但是你想过没想过
[637.74-640.04] 所有的中国人都自称自己是什么
[640.04-641.58] 炎黄子孙
[641.58-643.38] 自己自称自己什么
[643.38-644.14] 是
[644.14-646.18] 孔子儒家
[646.18-647.22] 学子
[647.22-649.26] 这个老子的学子
[649.26-650.28] 对不对
[650.28-651.30] 那为什么呢
[651.30-652.58] 你认他们
[652.58-654.64] 而且你知道他们的名字
[654.64-657.46] 但你不认是你自己四代以前的生物
[657.46-658.48] 祖先呢
[658.78-660.32] 就是说明人类的进化
[660.32-661.86] 其实已经到了
[661.86-664.16] 文化生命的状态
[664.16-666.20] 已经不再是自然
[666.20-668.00] 肉体生命的状态了
[668.00-671.58] 就是人类的进化已经有了灵魂有了文化之后啊
[671.58-674.40] 他的文化认同以及文化传承
[674.40-677.46] 要超过DNA传承
[677.46-679.78] DNA你都说不清楚自己是哪来的
[679.78-681.30] 那DNA乱的不得了
[681.30-683.10] 每个人都是一个大杂合体
[683.10-684.90] 但是文化上
[684.90-686.18] 非常鲜明
[686.18-688.74] 所以你要想明白这个之后那你不就晃然
[688.74-691.04] 我四代以前都记不住了
[691.04-693.10] 你还惦着你能传四代吗
[693.10-696.16] 你以为四代之后你的子孙还记得你的名字吗
[696.16-696.94] 不记得
[696.94-699.50] 连你的DNA是谁的完全不记得
[699.50-702.56] 不但不记得甚至否定
[702.56-703.84] 就像希特勒一样
[703.84-706.92] 希特勒不是雅利安人你看他那个小黄样他哪像雅利安人
[706.92-708.70] 但是他就说他是雅利安人
[708.70-710.24] 他在否定
[710.24-711.78] 包括一些犹太人
[711.78-715.10] 大家看有一些美国好莱坞大片就有这样的情节
[715.10-716.38] 其实这是真实的
[716.38-718.70] 就是有些自称是犹太人的
[718.74-720.02] 不是犹太人
[720.02-722.06] 有些自称是蒙古人的
[722.06-726.42] 他其实是张家港的纯汉人
[726.42-728.22] 大家知道我说的是谁吗
[728.22-730.26] 那也是一个现象级的人
[730.26-731.02] 名人
[731.02-733.08] 自己是蒙古大汉的后代
[733.08-734.10] 其实你去瞥
[734.10-735.90] 他DNA肯定是张家港
[735.90-737.42] 纯三幽的后代
[737.42-738.20] 那为什么呢
[738.20-738.96] 就是因为
[738.96-740.50] 文化上他认同
[740.50-743.32] 他老说老说老说老说别人就真的以为他是
[743.32-745.10] 他自己也以为是
[745.10-746.90] 所以文化认同非常重要
[746.90-748.18] 你知道这个
[748.18-748.70] 情况下
[748.70-750.24] 你去买一颗精子
[750.24-751.78] 买一颗好精子
[751.78-755.36] 那你不就等于偷来了好的DNA的肉体基础吗
[755.36-758.68] 然后文化的不就是你自己给他灌的吗
[758.68-760.98] 你告诉这个小朋友是什么人
[760.98-762.78] 小朋友哪懂啊
[762.78-764.06] 他他妈的白纸一张
[764.06-766.36] 他长大了你给他怎么画就是怎么画
[766.36-768.16] 所以你看你偷别人的钱包啊
[768.16-769.44] 偷了别人的钱
[769.44-770.20] 赚了别人的钱
[770.20-771.48] 你就觉得自己美
[771.48-772.50] 自己成功
[772.50-775.06] 那你赚了别人的优质DNA那不是更好吗
[775.06-776.60] 所以作为男性来说
[776.60-778.66] 丁克尔一方的话大家想开点
[778.70-782.54] 作为女性那就更想开了
[782.54-783.30] 卵子
[783.30-786.38] 那你要是没有你就帮你老公借一个
[786.38-787.92] 或是帮你老公去买一个嘛
[787.92-789.70] 这样的话有了孩子
[789.70-791.24] 自己怎么说怎么行
[791.24-793.54] 因为他毕竟是个文化上的传承
[793.54-795.60] 这一点白人要比我们好
[795.60-798.16] 中国人那就是报来的都不敢告诉人家
[798.16-799.18] 你是报的啊
[799.18-801.48] 怎么都不告诉人家真话
[801.48-802.76] 不告诉孩子真话
[802.76-803.54] 没有意义
[803.54-806.60] 因为你一旦知道这个文化基因的
[806.60-808.14] 人类进步的状态之后
[808.14-811.46] 你就不再拘泥于生物基因了
[811.46-813.00] 那么作为中国
[813.00-814.28] 尤其是东亚洼地
[814.28-816.34] 中国日本
[816.34-817.62] 韩国台湾
[817.62-819.92] 为什么这么多的人选择丁克尔
[819.92-822.98] 他选择丁克尔的比例甚至超过西方发达国家
[822.98-824.78] 你别看富的时间不长
[824.78-827.08] 你看欧美富的时间很长
[827.08-828.10] 没有那么多丁克尔
[828.10-829.90] 而且欧美的传统国家
[829.90-833.22] 传统文化他是崇尚多子的
[833.22-835.28] 很多老外要么就不生晚婚
[835.28-837.32] 一旦开始生我们身边就有
[837.32-838.10] 大量的
[838.14-839.42] 五六个
[839.42-841.22] 一个接一个一个接一个
[841.22-843.78] 那个妈妈抱着一个
[843.78-845.56] 胸上还喂着一个
[845.56-846.34] 这边抱着一个
[846.34-847.86] 然后推车里边推着两个
[847.86-848.90] 爸爸
[848.90-850.68] 拎着一个抱着一个
[850.68-853.50] 经常我们能看到这样的这个出行场面
[853.50-855.04] 那就是白人啊
[855.04-856.32] 没有华人没有亚裔
[856.32-857.86] 不是华人没有韩国
[857.86-860.42] 还是华
[860.42-861.44] 为什么呢
[861.44-865.78] 其实就是刘阿姨教导我们说的这个原理是真的
[865.78-866.56] 就是
[866.56-867.58] 这些
[867.58-868.10] 地方的
[868.14-868.90] 这些
[868.90-869.68] 文明
[869.68-872.50] 发展到了近现代之后
[872.50-874.02] 他使用
[874.02-876.58] 他追西欧文明他追不上
[876.58-878.12] 他就使用来
[878.12-880.18] 断子绝孙的方式
[880.18-884.52] 来达到目前这一代人的生活水平的伪提升
[884.52-887.08] 就是他达到了一个非常高的生活水平
[887.08-888.10] 比如说
[888.10-890.92] 这位给我写信的这个丁克父母
[890.92-892.20] 比如说日本人
[892.20-894.00] 少子化的家庭
[894.00-897.06] 台湾的少子化家庭他们的生活水平都特别高
[897.06-897.58] 还有就想环球的家庭都特别高
[897.58-899.62] 想环球旅游什么的
[899.62-900.66] 时间有大把
[900.66-901.68] 但是这是假的
[901.68-903.22] 这是虚幻的
[903.22-905.26] 他以为我真的有这么多钱
[905.26-906.02] 我真的这么自由
[906.02-907.06] 其实是什么
[907.06-908.84] 其实是你砍掉了
[908.84-909.62] 牺牲了
[909.62-911.40] 你子孙的支出
[911.40-912.94] 这支出既有金钱上的
[912.94-915.24] 更有生命和时间上的
[915.24-916.26] 精力上的
[916.26-917.54] 因为你的时间
[917.54-918.58] 非常的宝贵
[918.58-919.86] 就像你现在遇到的
[919.86-921.90] 如果你真的生了孩子
[921.90-923.94] 你和你的太太也好丈夫也好
[923.94-925.48] 就不可能再出现
[925.48-927.54] 想去哪玩去哪玩的状态了
[927.58-928.34] 为什么
[928.34-930.66] 因为这样的东亚洼地这样的文明
[930.66-932.96] 包括你们移民过来这样的状态
[932.96-936.80] 你们是没有一个社区没有一个共同体概念的
[936.80-939.86] 也就是说你们的孩子只能靠你们自己带
[939.86-942.68] 你们的父母都不可能过来帮忙
[942.68-944.22] 黄论社区
[944.22-946.26] 而传统的细人社会
[946.26-948.58] 尤其是一些乡村社会
[948.58-950.10] 有教区的社会
[950.10-953.44] 他的教堂里面就有十三四岁的孩子
[953.44-955.48] 在带着六七岁的孩子玩
[955.48-957.54] 六七岁的孩子在带着两三岁的孩子玩
[957.58-958.86] 三岁的孩子玩
[958.86-960.90] 也就是说父母之间
[960.90-964.74] 他是更像一个古代原始聚落状态
[964.74-967.06] 饲养自己的幼崽
[967.06-969.62] 并不是靠夫妻两个的一己之力
[969.62-972.18] 而是靠整个社区的力量
[972.18-975.50] 在这方面一个极端例子就是摩门教
[975.50-977.04] 摩尔门教那就更是了
[977.04-978.82] 摩尔门教大长房子里面
[978.82-981.14] 那个就是一个学校
[981.14-983.18] 都是一家的孩子
[983.18-984.20] 所以
[984.20-987.02] 这样的状态就使得我们
[987.02-989.06] 东亚这样的文明
[989.06-990.60] 或者
[990.60-994.70] 移到了北美的这样的新移民的这样文明家庭
[994.70-998.80] 为了保持他的生活水平所谓的不下跌
[998.80-1001.86] 这种不下跌其实是不原形毕露
[1001.86-1003.14] 不现原形
[1003.14-1006.22] 就砍掉了自己的子孙
[1006.22-1009.54] 其实是用断绝子孙服的方式
[1009.54-1014.42] 来满足自己这一代的物质水平
[1014.42-1015.94] 真相就这么残暴啊
[1015.94-1016.98] 就是很残酷
[1017.02-1018.56] 接着念他的感受
[1018.56-1020.10] 对于我们俩人来说
[1020.10-1023.16] 两个人合适、相爱、能互助、能玩到一块
[1023.16-1024.44] 那就结婚呗
[1024.44-1025.98] 但对于双方的家庭来说
[1025.98-1028.28] 瀑湖特别是南方的家庭
[1028.28-1030.34] 结婚就是要组建一个小家庭
[1030.34-1032.38] 小家庭里默认都有个孩子
[1032.38-1034.42] 不然结婚干啥呢
[1034.42-1036.22] 单纯谈恋爱就得了呗
[1036.22-1039.54] 还不用涉及父母、财产等一系列问题
[1039.54-1042.36] 虽然我们有很多道理可以反驳这个观点
[1042.36-1044.42] 且我们不跟父母同住
[1044.42-1046.46] 父母也都是大城市的知识分子
[1046.46-1048.00] 思想不算太狭隘
[1048.00-1049.54] 但对于很多人来说
[1049.54-1051.58] 结婚等于承诺生孩子
[1051.58-1053.88] 家人同意且祝福我们的婚姻
[1053.88-1056.44] 就意味着他们要为我俩结婚
[1056.44-1059.52] 做更多的物理准备和心理准备
[1059.52-1060.54] 不生孩子的话
[1060.54-1062.08] 这些准备他们都白做了
[1062.08-1063.36] 你看这位观众朋友
[1063.36-1064.64] 你的信写到这
[1064.64-1066.42] 你的思路还没有整理清楚
[1066.42-1068.74] 但你的笔已经开始告诉你答案了
[1068.74-1070.52] 你谈到了你的家人
[1070.52-1073.34] 谈到了你父之这边
[1073.34-1076.42] 就是男性这边的家庭的重视程度
[1076.46-1079.54] 甚至在做全方位的准备
[1079.54-1080.04] 为什么
[1080.04-1081.32] 这就是我说的
[1081.32-1085.68] 东亚家庭在进入现代化阶段之前
[1085.68-1087.22] 实际上它是有共同体
[1087.22-1089.00] 它是有宗族概念的
[1089.00-1089.78] 也就是说
[1089.78-1091.82] 人类在这个状态下
[1091.82-1092.58] 实际上
[1092.58-1095.14] 在之前实际上是有无意识的
[1095.14-1095.92] 进化
[1095.92-1097.46] 自组织能力的
[1097.46-1099.76] 人类其实那个时候并没有意识
[1099.76-1101.04] 不知道是为什么
[1101.04-1104.36] 但是它无意识状态下已经形成了这样的概念
[1104.36-1105.14] 多子多福
[1105.14-1106.42] 传宗接代必须有
[1106.46-1109.02] 结了婚之后必须要生很多孩子
[1109.02-1110.30] 并且把这个责任
[1110.30-1111.32] 这个
[1111.32-1112.60] 监督
[1112.60-1115.68] 执行的这个权利交给了男方的家庭
[1115.68-1118.24] 这就是人类在漫长的进化过程中
[1118.24-1120.80] 形成的无意识自我保护的状态
[1120.80-1122.08] 就是它这种
[1122.08-1123.36] 机制一旦建立
[1123.36-1125.14] 使得人类这个种群
[1125.14-1127.20] 不至于越来越少
[1127.20-1128.22] 少子化
[1128.22-1131.30] 最后断子绝孙最后灭绝
[1131.30-1132.06] 但是
[1132.06-1133.60] 进入了现代之后
[1133.60-1136.42] 原来形成的这个自我保护的进化机制
[1136.46-1138.00] 社会机制解体之后
[1138.00-1139.78] 就出现了这种纠结
[1139.78-1141.06] 一方面
[1141.06-1142.34] 如果你的自我意识觉醒
[1142.34-1144.14] 你的自私的基因开始
[1144.14-1144.90] 膨胀
[1144.90-1146.70] 然后你就开始
[1146.70-1147.22] 不想生了
[1147.22-1148.50] 因为你意识到
[1148.50-1149.78] 你一旦生了之后
[1149.78-1151.30] 你的生活水平
[1151.30-1152.58] 急转直下
[1152.58-1153.86] 但是另一方面
[1153.86-1156.68] 你原来的那个祖先保留下来的那个记忆
[1156.68-1157.46] 又在struggle
[1157.46-1158.98] 又在跟你斗争
[1158.98-1162.80] 这就是你现在遇到的问题
[1162.80-1166.61] 那么
[1166.61-1167.63] 虽然
[1167.63-1169.41] 我俩不是什么孝子孝女
[1169.41-1171.45] 也不跟家人生活在一起
[1171.45-1174.79] 但总有一种承诺了人家却不做的骗子既是感
[1174.79-1176.57] 对呀你看是不是这道理
[1176.57-1177.61] 但话说回来
[1177.61-1178.63] 结婚的时候
[1178.63-1180.41] 谁都不知道以后生不生
[1180.41-1181.45] 以及什么时候生
[1181.45-1183.23] 都是走一步看一步啊
[1183.23-1184.25] 你看你呀
[1184.25-1186.05] 在给自己在宅
[1186.05-1188.09] 其实你就像你信里边写的是
[1188.09-1190.15] 你们双方父母也是高知识分子
[1190.15-1193.47] 他们其实虽然心里边本能
[1193.47-1197.05] 有进化的这种集体无意识保护的机制在催他们
[1197.05-1198.33] 催你们生但是
[1198.33-1199.37] 但是他们本人
[1199.37-1201.17] 本身也不知道为什么
[1201.17-1202.45] 他们也是无意识的
[1202.45-1205.51] 所以他们的本能和他们的理性也是有struggle的
[1205.51-1210.13] 那父母一定是在不经意中会流露出来催你们生孩子的状态
[1210.13-1211.15] 给你们施加
[1211.15-1214.47] 无形的压力但是当他们理性的时候当他们清醒的时候
[1214.47-1219.09] 你问他们这个概念的时候他们就说啊这个尊重你们自己的选择是不是这样
[1219.09-1220.37] 双方
[1220.37-1222.41] 就是上一代和子一代双方
[1222.41-1223.95] 都是在这种
[1223.95-1226.51] 这种矛盾的状态
[1226.51-1229.07] 纠结
[1229.07-1230.35] 时机合适
[1230.35-1231.63] 好不好就生了
[1231.63-1235.47] 谁也不会在结婚的时候就跟家人说我们可不承诺生孩子啊
[1235.47-1235.99] 于是
[1235.99-1241.86] 就好像接受了结婚等于承诺生孩子这个默认前提
[1241.86-1242.88] 另一方面
[1242.88-1244.94] 抛开家人的愿望
[1244.94-1247.24] 单说我们两人的想法我们的计划是
[1247.24-1248.78] 工作到60岁就退休
[1248.78-1250.32] 到时候把房子一卖
[1250.32-1253.38] 周游世界游不动了就搬去养老院
[1253.38-1255.44] 咱也没啥遗产继承的烦恼
[1255.44-1260.66] 就俩人高高兴兴的过完这一生就得了
[1260.66-1262.96] 我给大家讲一个小故事
[1262.96-1263.48] 我这两个人
[1263.48-1265.28] 两天不开始上成人高中了
[1265.28-1266.80] 到目前为止我还没有辍学呢
[1266.80-1269.88] 我大概还能坚持个十几二十天都没有问题
[1269.88-1272.18] 然后呢我在成人高中的过程中呢
[1272.18-1274.48] 我的班里面一共有
[1274.48-1277.04] 11个同学
[1277.04-1278.58] 老师叫Randy
[1278.58-1279.60] 老师呢
[1279.60-1281.14] 中文翻译叫兰迪
[1281.14-1282.94] Randy是一个
[1282.94-1285.50] 第三代的日裔美国人
[1285.50-1288.06] 全日裔美国人日裔加拿大人
[1288.06-1290.36] 完全不会讲日语的那种
[1290.36-1291.64] 日本人
[1291.64-1292.92] 完全已经
[1292.92-1297.02] 本地化了就是个白人的这个思维
