[1.62-7.96] Hello,大家好,今天是老王日程非常爆满的一天
[662.06-663.80] 各种人都要来
[663.80-668.06] 不要说变成一个他妈的老王的同文层都是老王的铁粉
[668.06-669.20] 然后外人都进不来
[669.20-670.52] 进来说句不好听的话
[670.52-672.26] 就让人就把人家给删了
[672.26-673.16] 打出去
[673.16-674.24] 那就没意思了
[674.24-677.24] 不是来这收割对我的赞美的呃
[677.24-683.44] 而是呃希望也能够学到呃不同的思想接触到不同的人
[683.44-688.00] 我相信很多看我评论区的呃墙内翻出来的观众也好
[688.00-689.02] 还是肉身论出来的观众也好
[689.02-698.16] 呃就是希望找到一个自己也能参与进来说话的一个比较大影响力的平台
[698.16-701.28] 呃我相信随着我的影响力进一步扩大
[701.28-703.54] 如果有一天我能到十万粉的话
[703.54-706.44] 那底下的评论区真的就蔚为可观啊
[706.44-715.14] 这个评论区本身甚至会超过我我的价值就是老王书厂的价值在于评论区真的是这样
[715.14-718.56] 这是西单民主墙的电子版太好太好了
[718.56-718.72] 对
[718.72-721.00] 这是我特别努力做的方向
[721.00-722.86] 我希望大家跟我共同努力
[722.86-723.16] 嗯
[723.16-724.30] 在互相骂的时候呢
[724.30-726.46] 用用脑子提炼提炼
[726.46-727.56] 我操你都骂了
[727.56-730.00] 你就别那个那么简单了
[730.00-730.98] 那么粗暴了
[730.98-731.20] 呃
[731.20-732.90] 而且油管还会删你
[732.90-734.26] 你就多写几句
[734.26-740.28] 把你的内心深处真实的想法说出来尽可能的互相影响形成记忆是吧
[740.28-740.92] 好吧
[740.92-742.28] 这个玄学是有道理的
[742.28-744.88] 所以我们同学学能看王专案这个事儿啊
[744.88-752.80] 我们有机会通过这个我这个油管频道的评论区呃观察到中国人人心的百态
[752.80-755.76] 我觉得这个是非常宝贵的一块儿
[755.76-756.46] 所以呢
[756.46-758.52] 我不会把这个东西改掉啊
[758.52-759.58] 我还会继续保留
[759.58-760.72] 而且发扬光大
[760.72-764.50] 我会也许我会忘了告诉大家点赞呃关注
[764.50-771.10] 但是我一定会尽可能的提醒大家多发评论多来信让我们呃观察
[771.10-773.48] 那么第三就是为什么越有争议的事情
[773.48-774.52] 我就越要蹭了
[774.52-774.74] 嗯
[774.74-774.86] 嗯
[774.88-778.84] ,因为这个时候你才能穿透同温层
[778.84-783.80] 也就是说当呃大家看到1000条评论里边短短12个小时
[783.80-786.46] 1000条评论里边有500条是骂我的
[786.46-789.88] 那就说明我们这个频道在穿透同温层
[789.88-794.08] 穿透同温层对于民主社会的民智开化
[794.08-795.28] 对你们没听错
[795.28-800.44] 民主社会的民智一样需要开化是非常难能可贵的
[800.44-803.14] 因为以前你在呃
[803.14-804.74] 因为我的观众朋友有很多是
[804.74-806.84] 年轻的或者网名不太长的
[806.84-814.94] 所以我就多说一句以前大概是20多年以前在还没有呃这么先进的呃网络蜘蛛
[814.94-817.22] 抓取信息和大数据能力的时候
[817.22-823.34] 在技术上呃互联网还处于一个HTML阶段的时候
[823.34-825.32] 同温层很容易穿透
[825.32-828.52] 因为他就像那个呃大字报一样
[828.52-832.52] 就是所有的人都可以往上贴呃那所有的人贴所有的人看
[832.52-834.60] 所以同温层你很快就穿透了
[834.60-836.64] 呃也没有那么深
[836.64-837.30] 但是呢
[837.30-848.70] 后来随着九十年代呃技术的进步嗯二十一世纪初技术的完善呃互联网呃这个互联网这个行业呢
[848.70-857.52] 出现了呃抓取数据定点投投放广告以及定点吸引人群的这种技术
[857.52-863.70] 而且这种技术在所有的BBS所有的呃社交媒体上广泛运用
[863.70-864.60] 以使
[864.60-868.32] 呃其运营方获得最大利益
[868.32-878.22] 在这样的一种呃生态进化下呃迅速形成了同温层呃所有的观众都被包裹在自己的同温层里
[878.22-882.72] 比如说如果我要是天天骂共产党
[882.72-893.04] 我就会在油管上或者在呃推特上看到大量的骂共产党的这样的呃信息呃反过来
[893.04-894.18] 我如果是小粉红
[894.18-894.60] 我也会
[894.60-897.82] 看到大量的小粉红的信息
[897.82-907.98] 而几乎看不到与我意见相左的呃我的任何一句留言任何一句评论都会被系统抓取之后进行数据分析
[907.98-912.66] 把我们进行自动的进行人群归类
[912.66-916.14] 并且根据对我们的归类进行定点的投送信息
[916.14-916.98] 投位信息
[916.98-917.44] 这样的话
[917.44-921.52] 我们每一个人都变成了信息检访里的北京填鸭
[921.52-922.08] 所以呢
[922.08-924.18] 穿透信息检访非常的重要
[924.18-938.20] 那穿透信息检访对于我来说最简单的方法就是我在我的频道里面勇敢的不为呃吸引所谓的这个粉丝的目的呃进行蹭热点
[938.20-939.90] 就是我蹭了这个热点之后
[939.90-942.24] 我呃公开的亮明我的观点
[942.24-943.78] 比如说王专这件事情
[943.78-946.82] 第一王专这个事儿就是错了啊
[946.82-953.16] 因为他呃模仿残疾人的这个戏剧的动作和轻浮的呃语言啊
[953.16-954.12] 支持王王
[954.12-957.54] 一什么那个呃这种表情
[957.54-966.24] 但凡是一个在西方文明世界呃接受了价值观呃重塑的人都会第一时间都会不舒服
[966.24-967.80] 这个我说的是实话
[967.80-969.24] 如果你没有不舒服
[969.24-970.16] 你觉得无所谓啊
[970.16-972.00] 那你还是中国价值观
[972.00-977.82] 你我呃我并没有在这里边对任何一方进行贬损或者抬高
[977.82-979.86] 那我只是说大家三观不一样
[979.86-982.38] 但这样就会刺激很多人啊
[982.38-982.74] 呃
[982.74-983.74] 我觉得大概
[984.12-991.44] 大概率都是从呃中国翻墙出来保持中国呃这个世界观的这些人啊
[991.44-992.28] 他们非常敏感
[992.28-992.88] 觉得老啊
[992.88-994.62] 你就是羊狗
[994.62-995.76] 你就是个羊舔狗
[995.76-996.84] 你去了西方几年
[996.84-997.74] 你就忘了本
[998.94-999.38] 为什么呢
[999.38-1000.80] 因为为什么你难受了呢
[1000.80-1003.52] 因为我刺破了你的同温层呃
[1003.52-1005.60] 其实在12年以前15年以前
[1005.60-1007.34] 我和你们是一样的呃
[1007.34-1009.32] 我看赵本山的那个卖拐
[1009.32-1013.46] 我也不觉得为什么要封杀赵本山呃赵本山卖拐
[1013.46-1013.70] 他
[1014.12-1017.42] 在学呃身障人士啊
[1017.42-1018.98] 身障这个词用的好啊
[1018.98-1024.74] 残障也是有个残字还是不太礼貌的身障人士的这种特征和行为学的特别像而已
[1024.74-1025.00] 呃
[1025.00-1026.54] 大家有必要上纲上线吗
[1026.54-1029.72] 我是发自内心这么这么认为的
[1029.72-1033.74] 那后来在西方呃生活时间长了之后啊
[1033.74-1035.18] 我是真的啊
[1035.18-1037.16] 听到这个东西之后不舒服啊
[1037.16-1039.32] 你问为什么我不舒服呃
[1039.32-1039.98] 我也不知道
[1039.98-1041.60] 我不能说是我进步了吧
[1041.60-1043.62] 也许是我退步了吧
[1043.62-1047.34] 也许是我进了荣国府之后变矫情了吧
[1047.34-1049.92] 那总之就是不舒服呃
[1049.92-1052.98] 因为我们更能共情更能理解
[1052.98-1057.42] 如果是真的我也是一个身障身障人士的话
[1057.42-1060.24] 我会在这一点上非常敏感
[1060.24-1065.28] 我会超出正常呃身体健全人士的敏感度很多
[1066.50-1072.08] 当有一个人可能很不经意的说了这么一些一个词之后
[1072.08-1073.58] 我就会一下子啊
[1073.62-1074.46] 呃
[1074.46-1075.44] 被踩了尾巴啊
[1075.44-1082.66] 就是明眼起来变得内心呃非常慌张或者非常暴怒或者非常恐惧
[1082.66-1083.94] 所以呃
[1083.94-1085.98] 设身处地来讲呃
[1085.98-1090.24] 模仿身障人士的这种行为就是错了啊
[1090.24-1091.88] 这是我第一个观点
[1091.88-1098.56] 第二个观点就是王志安点评台湾大选这个事情本身就是他这个过程本身就是专业记者
[1098.56-1100.08] 他做的是非常专业
[1100.08-1103.60] 这我在视频里和在我推文里一再强调就是王志安的专业记者啊
[1103.62-1106.68] 程度是秒杀所有大V秒杀
[1106.68-1108.48] 我不算大V我没说大V啊
[1108.48-1110.24] 你不要往我身上贴呃
[1110.24-1114.60] 我是小V秒杀我们这些粗制烂造的业余人士的
[1114.60-1115.74] 因为这是他的专业
[1115.74-1116.88] 这是他的职业
[1116.88-1119.76] 我们不要用我们的爱好去挑战人家的职业
[1119.76-1120.82] 他的机位设置
[1120.82-1123.60] 他的文思构思
[1123.60-1125.40] 他的这个提问设计
[1125.40-1127.20] 无论你喜欢还是不喜欢
[1127.20-1128.04] 他就是专业
[1128.04-1129.06] 他弄出来的东西
[1130.32-1132.36] 就是接着地气啊
[1132.36-1133.32] 这是个事实
[1133.32-1133.62] 你
[1133.62-1135.12] 你不喜欢王志安
[1135.12-1135.90] 你也得承认
[1135.90-1137.10] 如果你不承认
[1137.10-1138.42] 你说我不喜欢王志安
[1138.42-1140.16] 所以王志安做的东西都狗屎
[1140.16-1140.90] 屎都一样
[1140.90-1141.30] 我操
[1141.30-1145.36] 那是就是你又跟共产党有什么区别呢
[1145.36-1146.22] 那你不就反共
[1146.22-1148.88] 你就是另一个侧面的水中倒影共产党吗
[1148.88-1153.06] 所以王志安的职业能力专业素养
[1153.06-1156.42] 你这个不用不用去挑战他这个东西
[1156.42-1158.42] 或质疑他这个他做的就是好啊
[1158.42-1161.10] 第三个我的观点就是王志安
[1161.10-1162.72] 你们这些专业记者
[1162.72-1163.50] 你们做的东西
[1163.50-1163.96] 非常好
[1163.96-1167.28] 你们能不能不加自己的那个最后那个盖棺定论
[1167.28-1170.70] 就不要把自己放在一个采访什么
[1170.70-1172.44] 你就是什么方面专家的意见上
[1172.44-1174.06] 就我觉得没必要
[1174.06-1178.44] 因为你声称的是自己做一个记者
[1178.44-1180.36] 如果你的定位是记者
[1180.36-1184.80] 你就应该不参不加入自己那个盖帽阶段
[1184.80-1187.44] 其实他这个糟粕主要是在他那个盖帽阶段
[1187.44-1189.26] 因为盖帽就是你自己的意见
[1189.26-1190.92] 你你是记者的话
[1190.92-1192.38] 你应该留白
[1192.38-1193.20] 你要给你的观众
[1193.20-1196.64] 观众提供一个思考的机会
[1196.64-1199.34] 而不是迫不及待的把你的观点说出去
[1199.34-1201.02] 因为你不是意见领袖
[1201.02-1203.58] 如果你是意见领袖无可厚非
[1203.58-1206.16] 或者你说你就定位我一个我
[1206.16-1210.30] 你就定位你为一个这个所谓的这个互联网界的up主
[1210.30-1212.16] 就是我自己的一个油管频道
[1212.16-1214.56] 我就讲讲王志安论天下
[1214.56-1216.08] 或者王志安看天下
[1216.08-1218.80] 那这就是盖帽应该的
[1218.80-1220.20] 为什么就是你的特色
[1220.20-1223.02] 因为这就是你王专的论天下呢
[1223.02-1225.26] 吸引过来自然就都是你的粉丝
[1225.26-1227.82] 不是你粉丝也不会看你来看天下
[1227.82-1228.90] 这就是我的观点
[1228.90-1231.56] 我我觉得我的观点很简单
[1231.56-1232.40] 没有什么复杂
[1232.40-1233.02] 哇
[1233.02-1235.66] 就像一个石头扔进了茅坑里
[1235.66-1239.26] 炸出来了一堆的粪崩的
[1239.26-1240.06] 我也满脸都是
[1240.06-1240.86] 但是我无所谓
[1240.86-1243.00] 因为我这个人没有洁癖
[1243.00-1243.86] 而且相反
[1243.86-1246.42] 我还有瓶瓶屎屁
[1246.42-1249.06] 就是因为这更真实嘛
[1249.06-1251.82] 就像王专采访田野调查的时候
[1251.82-1253.02] 王专的问问题
[1253.02-1253.78] 的方式
[1253.78-1254.82] 他讲
[1254.82-1257.90] 他说我是王专的阔胡
[1257.90-1259.50] 我是王专的中粉
[1259.50-1262.50] 我王专台湾大学每一期节目我都看
[1262.50-1266.46] 说王专最近一期节目说我问问题的特点
[1266.46-1268.06] 就是我压迫式问
[1268.06-1268.50] 为什么
[1268.50-1271.90] 我就是我一定要让他逼他说出他内心深处
[1271.90-1274.54] 极端的那个自己那个极端的话来
[1274.54-1275.54] 这样的话才是样本
[1275.54-1278.58] 如果我顺着观众说采访对象说
[1278.58-1279.74] 他说什么我也说什么
[1279.74-1281.82] 那最后他说的都是假话
[1281.82-1283.02] 他未必把他心底里边
[1283.02-1284.26] 藏的那一面翻出来
[1284.26-1287.74] 这个是挺挺正确的
[1287.74-1291.42] 我觉得从作为一个新闻从业人士来说
[1291.42-1293.98] 他这一招也确实是杀气
[1293.98-1296.10] 确实就跟吵架一样
[1296.10-1298.18] 你是A观点
[1298.18-1299.66] 我故意说我是B观点
[1299.66-1300.66] 就是反A观点
[1300.66-1304.50] 这样就会把你这个A观点人的这个社会面纱撕下去
[1304.50-1306.98] 把你心里边深处的那个A观点
[1306.98-1311.94] 最原始最赤裸裸的那个A观点说出来
[1311.94-1312.78] 这个是一种很好的观点
[1313.02-1314.14] 这是一个技巧
[1314.14-1317.14] 这个也是我从王志安频道里学习到的东西
[1317.14-1317.86] 我以前不知道
[1317.86-1320.82] 我以前觉得大家应该是不是应该彬彬有礼一些
[1320.82-1326.46] 那说话不要那么那么压迫感十足
[1326.46-1328.94] 挑衅性十足
[1328.94-1332.34] 但是我觉得王志安作为一个田野调查记者来说的话
[1332.34-1337.14] 这应该是他几十年功力最后的总结的秘籍
[1337.14-1339.30] 他也不吝的给大家分享
[1339.30-1341.62] 而且解释前因后果
[1341.62-1343.00] 所以王志安是一个人
[1343.02-1346.70] 王志安他的这种态度
[1346.70-1352.38] 他的这种工作方式倒是确实是能激起大家的这种
[1352.38-1355.90] 所谓的评论和参与热情
[1355.90-1358.94] 这个跟我异曲同工啊
[1358.94-1360.94] 我不是说我我往他身上贴
[1360.94-1362.62] 他往我身上靠
[1362.62-1365.42] 我们就是有同样的想法
[1365.42-1368.46] 就是让大家你甭管是石也好
[1368.46-1369.50] 是水也好
[1369.50-1370.30] 是金子也好
[1370.30-1371.94] 你一起犯上来
[1371.94-1372.90] 呃什么东西呢?
[1373.02-1375.74] 这个东西最宝贵就是变化的东西
[1375.74-1377.54] 动态的东西最宝贵
[1377.54-1379.90] 当一个东西一一旦形成同温层
[1379.90-1381.94] 一旦结成厚厚的冰
[1381.94-1385.70] 呃不再有任何新的事物出来的话
[1385.70-1388.46] 那就没意思了啊
[1388.46-1389.94] 那这个东西真的是没意思
[1389.94-1392.54] 那你就你就一银子嗨呗
[1392.54-1394.54] 那你就一一群人抱团取暖
[1394.54-1397.50] 那你上网的意义何在呢?
[1397.50-1401.34] 呃你上网的意义不就是看你不知道的世界吗?
[1401.34-1406.78] 呃去了解不一样的灵魂深处的想法吗?
[1406.78-1409.82] 呃如果大家都带着厚厚的社交面具
[1409.82-1410.98] 那你没什么没什么意思了
[1410.98-1414.06] 所以一千条评论里边五百条骂我
[1414.06-1417.14] 呃对我伤害为零反弹
[1417.14-1419.06] 反弹反弹哈哈
[1419.06-1419.98] 对我伤害为零
[1419.98-1422.46] 呃而且我还挺高兴的
[1422.46-1425.82] 呃终于出了一次圈
[1425.82-1429.06] 呃穿透了一次同温层
[1429.06-1429.34] 呃跟大家聊这些问题之后呢?
