[1.36-3.36] 哈喽 大家好
[3.36-4.44] 大家好
[219.75-220.43] 这可怎么办
[220.71-222.07] 万一人家挣了钱
[222.11-223.51] 人家他妈翻了三番
[223.51-224.87] 上这说我清空
[224.87-225.75] 给我卖
[225.79-227.59] 你哥俩他妈的倾家荡产
[227.59-228.43] 也还不起
[231.06-231.86] 没事
[231.90-232.66] 为什么
[232.82-234.10] 刚才老王说了
[234.50-236.02] 人的本性是什么
[236.06-237.70] 挣了钱他不拿走
[238.22-238.94] 赔了钱
[238.94-240.10] 他认了赔
[240.42-241.70] 所以这哥俩
[241.74-244.58] 实际上等于开了个小交易所
[244.62-245.06] 只不过
[245.06-246.30] 这个交易所的行情
[246.66-249.02] 显示的是上交所的行情
[249.06-249.78] 实际上
[249.78-253.66] 这俩哥们根本就没有给上交所当会员
[253.70-255.90] 只是接了上交所的行情图
[255.90-257.30] 在那假装显示
[257.34-260.98] 但是他们哥俩本着极其诚信的精神
[261.02-262.10] 真的有牧民来买
[262.10-264.42] 他们真的按当时的上交所的价格
[264.42-265.62] 结算就可以了
[266.90-269.22] 这个就是我跟张伟兴当时搞
[270.30-272.38] 有的内行说是高德黄金
[272.38-272.94] 我告诉你
[272.94-273.94] 你们仔细查一下
[274.06-274.90] 可能不知道
[274.90-277.42] 现在工商记录还能查得到
[277.82-282.38] 高德黄金的全称是高德怡和金银制品
[282.38-283.42] 有限公司
[283.62-284.94] 怡和就是这个
[284.98-286.82] 高德就是张伟兴起的
[287.66-288.62] 我们要弄个新公司
[288.82-290.06] 就是高德怡和
[290.10-290.94] 高德
[290.94-291.90] 为什么叫高德
[292.10-293.34] 跟地图没关系
[293.70-296.30] 高德是gold的音译
[296.34-298.42] 就是金怡和的意思
[298.50-300.06] 黄金怡和的意思
[300.78-302.74] 高德怡和成立了以后
[303.14-304.38] 学会了这个
[304.90-306.62] 另有懂行的观众讲
[306.66-307.58] 叫MT4
[307.62-308.22] 对
[308.26-309.34] 太懂了
[309.78-311.70] 拿MT4试的手
[312.50-313.62] 开电子盘
[313.62-315.78] 接到布伦伯格和路透的数据
[315.82-317.14] 咔咔咔
[317.18-318.42] 开始吧
[318.70-320.14] 就跟那两兄弟一样
[320.18-321.46] 很认真的
[321.90-323.94] 帮大家真的去下单
[326.25-328.05] 很认真的做对冲
[328.49-329.49] 做敞口对冲
[329.49-330.65] 为什么要做敞口对冲
[330.85-332.21] 因为我们是先行者
[332.33-334.29] 我们怕黄金价格真的涨着
[334.33-335.09] 真的上涨
[335.09-336.85] 我们又天天在这做多头宣传
[336.85-338.65] 人家万一真都买了
[338.65-339.85] 然后黄金价格上涨了
[339.85-341.25] 人家说卖出集体套现
[341.25-341.97] 我们怎么办
[341.97-345.01] 所以我们必须做敞口对冲
[345.33-346.65] 开始我们这样做的
[347.05-347.89] 非常规范
[348.57-349.53] 挣不着钱
[349.97-352.13] 因为你要养很多团队去做促销
[352.73-354.65] 你要跟那些卖保险的一样
[354.69-358.45] 跟老头老太太在楼底下讲
[358.57-359.61] 你们要投资黄金
[359.89-360.81] 这个东西有杠杆
[361.13-363.05] 什么T加0跟人家讲
[363.49-365.09] 老太太说这是不是骗子
[365.17-366.21] 跟买股票有什么区别
[366.21-366.61] 啊
[366.61-367.93] 远离股票远离毒品
[367.93-369.09] 我们不想碰股票
[369.09-370.77] 你们不要担心
[371.13-371.97] 这不是股票
[372.05-372.77] 这是黄金
[373.13-375.21] 黄金是硬通货
[375.41-378.57] 这玩意是现货黄金展期交易
[378.57-379.21] 是合法的
[379.21-380.09] 不是期货
[380.21-381.45] 因为当时老太太们
[381.77-382.77] 老头们都知道
[382.77-384.29] 中国有个期货危机
[384.45-385.45] 红小豆什么的
[385.45-386.37] 有机会我去讲
[386.41-388.17] 苏州红小豆危机
[388.21-390.21] 这期货一团乱马
[390.21-392.81] 比他们股市的名声还臭
[392.93-395.73] 所以黄金现货展期交易
[395.73-396.57] 那么试试吧
[396.61-399.05] 我们还真的做了金条
[399.05-399.81] 在那摆着
[399.81-400.77] 装模作样的
[400.77-402.45] 其实不想让人家买金条
[402.45-404.53] 想让人家买电子盘入金
[404.53-405.21] 然后好
[405.21-407.53] 进我们盘子里边炒金
[409.09-410.13] 炒着炒着
[410.41-412.61] 就发现不用做敞口对冲
[413.73-415.45] 再炒着炒着就发现
[415.89-419.61] 干脆把交易数据线拔了都没事
[419.65-422.69] 只要行情数据线还在显示就可以
[422.73-425.45] 也就是说自己用签加信
[425.49-426.37] 开发了
[426.37-427.41] 交易软件
[427.93-430.57] 这就是颐和黄金和高德黄金
[430.57-433.41] 分道扬镳的重要历史节点
[434.93-436.69] 有我的铁网友说
[436.85-438.73] 当年我给张伟青写过金瓶
[438.77-440.25] 你肯定是第一波黄金分析师
[440.25-443.01] 我们做这个事
[443.17-444.97] 我们俩产生了分歧
[445.01-445.85] 为什么
[446.13-447.09] 因为我一看
[447.09-448.41] 如果要是这么玩的话
[448.41-449.77] 你这不是骗局吗
[450.37-452.05] 如期弄骗局
[452.05-453.97] 因为我是从铁盖北出来的
[454.17-455.85] 我认识好多领导
[455.85-457.69] 他们是期货业协会的领导
[457.69-459.49] 或者证券业协会的领导
[459.49-461.61] 我知道这个东西一旦出了事的话
[461.89-462.73] 这是重罪
[462.85-464.17] 我们好歹都是大学生
[464.69-466.17] 我们犯不着
[466.21-467.77] 犯这个风险
[468.33-469.41] 所以我跟魏星讲
[469.41-470.09] 我说我们
[470.69-473.09] 咱们现在弄明白黄金了
[473.13-474.25] 那咱们就这么着
[474.25-476.37] 咱们用这套软件
[476.41-477.65] 把它变一个性
[477.69-482.09] 做成柜台买卖黄金的是实时交易系统
[482.09-483.29] 并且实时回购
[483.81-485.77] 也就是说我们给蔡柏做对手
[485.77-485.81] 盘
[485.85-487.65] 我们竞争蔡柏
[488.25-488.89] 我什么意思
[489.13-490.45] 就是蔡柏卖黄金
[490.45-491.73] 当时卖金银首饰
[491.77-494.09] 它都是一个月两个月更新一次报价
[494.13-496.01] 它报价牌都是金属牌
[496.01-497.85] 那个字都是印上去抠上去的
[497.89-499.69] 所以它金价基本上不变的
[499.85-502.05] 老百姓买了蔡柏的金首饰
[502.09-504.29] 首先他一克给人家三四十块钱
[504.45-506.73] 那时候黄金价格才100块钱
[506.77-509.25] 他一克手续费就给人家30块钱
[509.41-510.41] 30%
[511.61-513.81] 而且他买给人家黄金首饰之后
[513.81-514.81] 他不回购
[514.85-515.77] 国际金价涨到
[515.77-516.33] 什么程度
[516.33-517.25] 蔡柏不管你
[517.25-518.29] 跟你没关系
[518.89-519.45] 我说卫星
[519.45-520.81] 咱现在懂这个了
[521.01-522.97] 咱们开金店
[523.13-524.85] 就在蔡柏对面开
[525.01-526.57] 按国美的模式开
[526.73-528.21] 泼水价卖金条
[528.21-529.65] 泼水价卖黄金
[529.69-531.29] 就他妈打这种广告
[531.33-532.65] 买黄金不后悔
[532.65-534.17] 倒计一盒买黄金
[535.05-536.05] 黄金的价格
[536.05-537.73] 就随时就像股票一样
[537.73-538.93] 在店里显示
[538.97-540.33] 老百姓买金子
[540.37-541.49] 老百姓买黄金
[541.53-542.37] 买首饰
[542.41-544.65] 就每克给他加12块钱公费
[544.69-545.25] 回购
[545.25-545.69] 每克减少
[545.69-546.37] 减2块
[546.41-548.09] 中间收14块钱差价
[548.09-549.13] 就泼水价卖
[549.13-549.93] 走流水
[549.97-551.01] 为什么走流水
[551.05-552.81] 因为你在配合五方拉伙仗
[552.81-554.33] 你销售额能一飞冲天
[554.33-555.85] 四五十个亿一年的销售额
[555.89-557.69] 你就可以控股一个上市公司
[557.73-559.25] 咱们挣股票的钱多好
[559.45-560.33] 咱们没有风险
[561.81-562.73] 卫星不同意
[562.85-564.25] 为什么卫星不同意
[564.81-566.13] 我们要分道扬镳
[566.37-568.61] 因为这个时候就是2004年
[568.61-570.01] 2005年中间了
[570.01-572.13] 我就攀上了大哥
[572.17-573.73] 找到了剑英国际
[573.77-575.17] 拉着翟山英做了
[575.17-576.21] 银河资本
[577.25-578.41] 这就接上了
[578.69-580.37] 翟山英这个时候就出现了
[581.33-582.89] 张卫星坚决不干
[582.89-583.69] 为什么
[583.73-584.89] 吸毒上瘾
[585.49-586.21] 吸毒上瘾
[586.21-586.93] 就这句话
[588.01-588.89] 我告诉你
[588.89-590.33] 我们为什么误打误撞
[590.33-591.33] 踢断了网线之后
[591.33-593.33] 发现不用做对冲
[593.33-594.81] 不用做敞口对冲
[594.85-596.41] 不用真正交易
[596.77-597.65] 它没有风险
[598.37-600.21] 因为当你这个盘子里面
[600.21-602.29] 当你这个游戏盘子里面
[602.33-605.13] 它的游戏参与者超过1000人
[605.17-607.17] 甚至超过1万人的时候
[607.17-609.21] 它自己就形成了市场
[609.97-612.17] 你根本不用干任何事情
[612.17-613.41] 你不用作弊的
[613.69-615.77] 你只要把国际五大经商的行情
[615.77-616.49] 接进来
[617.45-618.93] 年底你会发现
[619.33-620.37] 无论这个池子里
[620.37-621.13] 大家入金
[621.13-623.09] 老百姓投资者存了多少钱进来
[623.09-624.65] 咱们假设存了10个亿进来
[624.69-626.21] 当时他大概存了
[626.21-627.85] 真的是5-10个亿进来
[628.09-629.29] 卫星跟我分开的时候
[629.41-630.53] 我就忘了具体数了
[630.53-631.65] 大概5-6个亿进来
[631.69-632.57] 当我们分开的时候
[632.57-633.81] 他就存了最高峰的时候
[633.81-635.01] 他存了将近10个亿保证金
[635.01-635.13] 保证金
[635.17-635.77] 进来
[636.01-638.37] 这10个亿人民币存进来
[639.05-639.97] 到年底
[640.01-642.05] 到年底记住我这重点细节
[642.17-643.81] 有4个亿没有主的钱
[644.61-646.21] 利润是40%
[648.60-651.36] 这就是老王有一集讲
[651.36-653.68] 浑浊的水晶球的赌场原理
[654.00-657.48] 所有的金融市场全是赌场原理
[657.56-659.04] 四六分成
[659.12-661.48] 六成拿去奖励投资者
[661.48-663.88] 四成就是你庄家的利润
[664.24-666.96] 全世界金融市场全是这个路
[666.96-667.56] 路子
[667.84-673.00] 伦敦金市的五大金商也是赚40%
[674.16-675.56] 说白了
[675.60-677.48] 简单讲
[678.48-681.16] 就是意大利一甲赌球
[681.24-682.88] 中国这边也跟着开盘
[683.28-685.20] 盘口AC米兰
[685.56-688.44] 国际米兰谁比谁压多少
[689.08-690.08] 几赔几
[690.64-691.84] 中国这开盘口了
[691.84-694.56] 根本不去意大利总庄家那交钱去
[694.56-695.76] 他们就跟着人家来
[695.76-696.72] 人家是什么规矩
[696.72-697.56] 他就是什么规矩
[697.56-698.76] 他最后他一定赢
[699.40-702.08] 因为这全部都是做庄的
[702.48-704.12] 全部都是有操盘的
[704.52-705.84] 什么市场都一样
[707.44-709.60] 这个时候张卫星
[710.76-711.56] 气我
[712.28-713.16] 给我打电话
[713.16-715.16] 那比翟主席气我厉害多了
[715.16-716.48] 人家是他妈真正大咖
[716.84-717.76] 吉兽
[717.88-719.20] 你那一和资本上市公司
[719.20-720.36] 你弄咋样了
[721.08-722.68] 听说你收购邱林去了
[722.68-723.76] 弄一屁股屎
[723.80-724.48] 真的假的
[725.32-725.92] 我说怎么了
[725.92-726.52] 卫星
[729.34-731.46] 我吉兽
[731.66-734.62] 我现在账上有4个亿的现金
[735.14-737.54] 我保证金池子里有10个亿的现金
[738.34-740.82] 你写黄光玉首付
[740.82-741.50] 我看了
[741.70-743.10] 我告诉你吉兽
[743.58-744.98] 黄光玉没有我有钱
[744.98-745.74] 你信不信
[745.74-748.10] 黄光玉就是105亿财富帝国
[748.10-749.02] 没屌用
[749.02-750.06] 因为他那是存货
[750.06-750.58] 是股票
[750.58-751.50] 是虚的
[751.50-754.26] 我老子有他们10个亿的现金
[754.26-755.22] 趴在账上
[755.78-756.66] 我说你好厉害
[756.66-757.54] 我能借我点
[757.54-757.98] 不行
[757.98-759.02] 我这个是
[759.34-760.54] 马上保证金什么的
[760.54-761.46] 还有各种理由
[761.74-762.66] 我说你怎么着
[762.66-763.38] 你打算怎么着
[763.38-764.06] 下一步
[764.70-767.02] 他说下一步我要进军国际金融市场
[767.26-768.94] 我要进军国际黄金市场
[768.94-771.94] 因为我看透了黄金的上帝密码
[772.26-773.90] 我要去国际金银厂
[773.90-776.06] 我先去香港黄金交易市场
[776.10-779.30] 我要跟杨寿成玩对手盘
[781.10-782.26] 我他妈当时跟卫星说
[782.26-783.54] 我你他妈疯了
[783.90-786.18] 何鸿升是开普京的
[786.50-787.02] 老板
[787.02-789.38] 你听说过何鸿升去拉斯维加斯
[789.38-790.58] 跟永利玩对手盘的吗
[790.58-794.98] 你他妈在北京有一个高德的大盘子
[794.98-796.46] 没有竞争对手
[796.62-798.30] 西汉志也被你收了
[798.46-800.70] 只有一个同行做得起来的
[800.70-802.78] 就是杭州的世纪黄金张勇
[802.94-803.86] 张勇怎么学会的
[803.86-804.50] 我也不知道
[804.50-806.94] 但是张勇跟我们做的几乎是同步
[807.38-808.34] 规模也差不多
[809.50-810.42] 我张卫星
[810.58-812.10] 你这么去玩杨寿成
[812.10-814.38] 你知道杨寿成是黑白两道的吗
[814.74-815.38] 你赢了
[815.38-816.70] 你以为你能走得了吗
[817.62-818.58] 你就不懂了
[818.58-818.86] 操
[818.86-820.26] 这个世界是讲法治的
[820.38-820.58] 所以
[820.58-823.70] 你张卫星就真的拿着保证金
[823.90-826.42] 去了香港跟杨寿成做对赌
[827.66-828.50] 撂下一句话
[828.50-829.58] 极洲我告诉你
[829.94-833.34] 我的三线开花到今天根本不是三线开花
[833.34-834.62] 股市我看得透
[834.82-836.66] 黄金我一样看得透
[836.66-839.06] 什么东西在我眼里全是公开的
[839.06-841.18] 五维四维世界看三维
[841.18-843.70] 上帝的黄金密码全在我脑子里
[843.70-845.46] 所以你就等我瞧好吧
[845.46-845.74] 极洲
[845.74-848.58] 我让你知道100亿现金是什么概念
[849.38-850.34] 胃口大得很
[850.58-852.86] 杨寿成给他开出25倍的杠杆
[852.86-855.30] 张卫星不同意继续加杠杆
[855.30-856.14] 加到比率
[856.14-857.10] 我跟你去对赌
[857.10-858.86] 带着他的10个亿就去了
[858.86-866.34] 2008年奥运会开幕式那一天
[866.34-867.74] 我记得特别清楚
[867.74-870.78] 俄罗斯进攻格鲁吉亚
[870.78-873.50] 就跟今天俄罗斯打乌克兰一样
[873.50-874.46] 非常突然
[874.46-876.46] 普京就在那看着开幕式
[876.46-878.10] 那边格鲁吉亚导弹就过去了
[878.10-880.18] 摧枯拉朽
[880.18-882.22] 美国和北约当时要跟他干
[882.22-883.18] 就跟他后来的乌克兰一样
[883.18-884.10] 一模一样
[884.10-887.06] 唯一的区别是格鲁吉亚没有泽连斯基
[887.06-887.70] 没扛住
[887.70-889.30] 这个时候
[889.30-892.30] 按照我们所有人的经济学理论
[892.30-895.18] 黄金价格一定要暴涨
[895.18-897.66] 因为当时战争一开
[897.66-900.18] 黄金价格永远是上涨
[900.18-902.30] 因为黄金是对冲人类风险的
[902.30-903.50] 你那要打仗
[903.50-904.78] 黄金价格要上涨
[904.78-907.94] 那次打格鲁吉亚那天
[907.94-909.14] 开火那天
[909.14-910.34] 黄金暴跌
[910.34-914.22] 其跌幅历史罕见
[914.42-916.06] 24小时跌下去
[916.06-918.22] 我当时正在看奥运会开幕式
[918.22-920.54] 我看到了国际黄金报价
[920.54-923.14] 我就知道张伟星输定了
[923.14-925.22] 因为那个叫黑天鹅
[925.22-927.98] 什么叫黑天鹅
[927.98-930.34] 在人类探索澳大利亚以前
[930.34-933.58] 全世界的天鹅都是白色的
[933.58-935.74] 没有人见过黑色的天鹅
[935.74-938.42] 所以在西方有一句话叫黑天鹅
[938.42-939.86] 对照的中国的那句话
[939.86-942.18] 就是太阳从西边出来了
[942.18-944.22] 太阳不可能从西边出来
[944.22-947.54] 其实黑天鹅不可能有
[947.54-950.46] 当人类的探险队登陆到澳大利亚的时候
[950.46-951.62] 看见了黑天鹅
[951.62-952.10] 我操
[952.10-953.90] 这世界上真的有黑天鹅
[953.90-956.90] 黑天鹅在金融行业的教训就是
[956.90-959.34] 所有的历史数据与经验
[959.34-962.18] 全部都是看着倒车镜在开车
[962.18-965.94] 倒车镜显示路口一直是左转弯
[965.94-967.26] 但只要有一个右转弯
[967.26-968.98] 你全军覆没
[968.98-971.58] 因为你在看着历史数据开车
[971.58-973.98] 所有的金融知识金融规律都是基于
[973.98-976.38] 总结历史数据归纳基础上
[976.38-981.23] 所以张伟兴真的破产了
[981.23-984.51] 2008年8月高德黄金破产
[984.51-986.03] 他买了元茂井的保险大厦
[986.03-987.15] 站在上面要跳楼
[987.15-989.55] 他小老婆什么的都走了
[989.55-991.31] 太监都把大船开走了
[991.31-994.19] 剩下张伟兴站在楼底上跳楼
[994.19-995.95] 妹妹不计前嫌
[995.95-997.27] 因为他都已经找小老婆了
[997.27-998.51] 然后妹妹又把他拉下来
[998.51-999.51] 他回家去了
[999.51-1002.55] 你想他有债主
[1002.55-1004.51] 因为那些大的投资者
[1004.51-1005.27] 是
[1005.27-1006.99] 不许他做自营的
[1006.99-1008.47] 比如说我是个大房地产开发商
[1008.47-1010.31] 我在卫星你这放了一个亿
[1010.31-1012.59] 你是看透了世界黄金密码
[1012.59-1012.75] 对吧
[1012.75-1014.43] 你每年给我15%的利润
[1014.43-1015.03] 我挺高兴
[1015.03-1016.11] 我给你存一个亿
[1016.11-1017.75] 你他妈告诉我你爆仓了
[1017.75-1018.75] 什么意思
[1018.75-1020.87] 一个亿去哪了
[1020.87-1021.87] 真的有这样
[1021.87-1024.55] 天津人至少一个亿
[1024.55-1026.63] 大户存在他那
[1026.63-1028.63] 人家要杀他
[1028.63-1030.59] 卫星当时满脑门关死
[1030.59-1031.39] 给我打电话
[1031.39-1034.64] 说怎么办
[1034.64-1035.88] 我说你我直说
[1035.88-1036.92] 你是不是想做
[1037.16-1038.68] 共产重组协议
[1038.68-1039.88] 他说是
[1039.88-1041.84] 我说你这样
[1041.84-1043.24] 你是不是想借我办公室
[1043.24-1043.92] 是
[1043.92-1044.96] 因为我当时在建行
[1044.96-1047.44] 翟老师当时是建行
[1047.44-1048.20] 建国际副总
[1048.20-1049.08] 他不知道这个事
[1049.08-1050.04] 因为我没告诉他
[1050.04-1050.64] 他嘴大
[1050.64-1051.12] 我一告诉他
[1051.12-1052.20] 他都告诉上面大哥
[1052.20-1052.60] 王国亚
[1052.60-1053.32] 我就完蛋了
[1053.32-1056.28] 我跟卫星讲
[1056.28-1058.32] 我说你下午下班以后来
[1058.32-1060.04] 我提前把人都支走
[1060.04-1062.24] 我留下我集资营的亲兄弟们
[1062.24-1063.60] 给你撑场面
[1063.60-1065.56] 你在我建行这边的办公室
[1065.56-1067.00] 跟他们签重组协议
[1067.00-1068.76] 我王金周给你做背书
[1068.76-1070.16] 保证你还钱
[1070.16-1073.24] 感恩戴德做了这个事
[1073.24-1074.84] 这个事到今天建行
[1074.84-1076.64] 和我那大哥和山英都不知道
[1076.64-1079.20] 所以张卫星才能活着
[1079.20-1079.80] 否则的话
[1079.80-1081.64] 当时就会把他逼死
[1081.64-1084.24] 签完了以后
[1084.24-1086.76] 张卫星吉人自有天相
[1086.76-1087.48] 弟兄们
[1087.48-1088.72] 签完了之后
[1088.72-1090.20] 天津出事了
[1090.20-1092.72] 天津有一个不是武昌顺
[1092.72-1095.00] 武昌顺之前的天津市领导
[1095.00-1096.32] 政法委书记出事了
[1096.32-1097.84] 房地产大哥
[1097.84-1098.16] 就是张卫星
[1098.16-1098.24] 那个房地产大哥就是张卫星
[1098.24-1098.28] 那个房地产大哥就是张卫星
[1098.28-1099.76] 整天追杀卫星的
[1099.76-1100.84] 他最大的苦主
[1101.36-1102.88] 是那个哥们的白手套
[1102.88-1104.80] 消失于人间
[1104.80-1106.36] 直到今天不知道去哪了
[1106.36-1107.72] 所以就没有人追卫星了
[1107.72-1108.92] 卫星就无债一身轻了
[1108.92-1110.56] 他轻松多了
[1110.88-1113.40] 然后卫星又多次试图东山再起
[1113.40-1115.32] 就像翟副主席
[1115.32-1116.56] 现在在迪拜躲着那样
[1116.56-1117.92] 多次试图东山再起
[1117.92-1119.12] 但是都不行了
[1119.12-1120.92] 因为气韵过去了
[1121.76-1122.72] 卫星去哪了
[1123.28-1125.20] 卫星就天天研究周易
[1125.20-1128.24] 天天研究江靖川师傅的哨子
[1128.24-1129.04] 神术
[1129.04-1130.56] 黄鸡精是说
[1130.56-1133.80] 他试图进一步参破上帝的密码
[1134.12-1135.12] 他疯了
[1135.52-1136.76] 他真的可能疯了
[1136.80-1139.24] 他到现在还没有从周易里边出来了
[1139.28-1140.88] 你这掐指一算
[1140.88-1142.12] 已经15年了
[1142.16-1143.72] 他还在天天研究呢
[1144.92-1146.44] 我不知道现在成仙了没有
[1146.44-1147.88] 我们已经15年没有联系了
[1147.88-1149.64] 因为我们已经没有共同语言了
[1149.64-1151.08] 他动不动就是周易
[1151.44-1152.80] 就掐指就干这个了
[1154.53-1155.45] 弄完了
[1156.33-1157.45] 张卫星这个叫
[1157.49-1158.49] 一惊落
[1158.53-1159.45] 万物生物
[1160.45-1163.21] 2008年张卫星破产的同时
[1163.21-1167.09] 同时中信泰富做期货的部门也破产了
[1167.13-1170.01] 所有的人都是遮在了黑天鹅里
[1170.01-1171.69] 因为打仗石油价格要暴涨
[1171.69-1172.89] 黄金价格要暴涨
[1172.89-1174.49] 这都是概念
[1174.65-1175.85] 这都是基本ABC
[1176.13-1177.21] 全他妈反着来
[1177.21-1179.33] 那次全被扔进去了
[1179.65-1181.69] 所以张卫星本来站在天台上要跳楼
[1181.69-1183.45] 本来是中国范围的大新闻
[1183.45-1184.41] 没人看他了
[1185.33-1187.85] 所以这事就过世了
[1187.85-1190.53] 一惊落万物生怎么说的
[1191.37-1194.73] 卫星当时做了大量的代理
[1194.73-1195.97] 各地广告代理
[1195.97-1196.89] 他没什么竞争对手
[1197.57-1198.89] 那不是2000人
[1198.89-1200.93] 翟主席加个零吓唬我
[1200.93-1202.13] 普华有2000人
[1202.13-1205.13] 2008年卫星就至少有2000人
[1205.13-1207.09] 各地的代理不计其数
[1207.29-1208.33] 他这一倒
[1208.45-1210.17] 各地代理死的死逃的逃
[1210.17-1213.05] 聪明的就把MT4抄过去
[1213.05-1214.13] 自己开发系统
[1214.13-1215.29] 自己做盘去了
[1215.85-1217.41] 因为你张卫星这个秘密
[1217.41-1218.89] 毕竟会有人知道
[1218.89-1221.49] 他底下毕竟是有些技术人员的
[1221.53-1222.93] 那些技术人员小孩
[1222.93-1225.85] 他是知道我们不做对冲和我们不做
[1225.85-1227.29] 掺口对冲和实际交易的
[1228.73-1229.77] 老板一倒
[1229.77-1231.77] 这些小孩不就都出去了吗
[1232.93-1235.53] 后来的天津贵金属交易所的创始人
[1235.85-1239.85] 今天所谓中国黄金投资最大的交易商
[1239.85-1240.97] 姓陈的小孩
[1241.09-1244.21] 都是高德一和黄金原来的小孩
[1245.95-1248.51] 包括廊坊的老娘们
[1248.51-1250.35] 整天去韩国做美容的
[1250.35-1251.43] 原来也是
[1252.23-1256.07] 卫星高德这边在廊坊的代理做挺大的
[1256.11-1257.35] 自己弄盘子弄了什么
[1257.35-1258.39] 将近100个亿
[1258.39-1259.15] 100个亿
[1259.91-1261.23] 大概10年左右
[1261.23-1262.51] 自己他报的仓
[1262.51-1264.87] 那个廊坊那老娘们报的仓
[1265.19-1268.91] 我一和黄金去收购丘陵
[1268.95-1270.47] 我石家庄金店
