[1.68-5.82] 哈喽,大家好,今天跟大家谈一期经济学的话题
[489.49-491.47] 然后管仲也要被咔嚓
[491.47-492.13] 这时候呢
[492.13-492.79] 鲍叔牙就说
[492.79-494.09] 你可别杀他
[494.09-495.19] 那江小白说他射我
[495.19-495.97] 他往死里干我
[495.97-497.23] 我能够杀他吗
[497.23-498.25] 他说鲍叔牙说
[498.25-498.97] 你真不能杀他
[498.97-503.49] 因为这个人的才能是我的十倍智商IQ是我的五倍
[503.49-504.55] 这是我的老领导
[504.61-506.05] 如果你要杀他的话呢
[506.05-507.91] 我也能帮你把这个国家治理的很好
[507.91-508.75] 但是呢
[508.75-510.29] 我们这国家就是个普通的国家
[510.29-512.51] 但如果你用他做宰相的话呢
[512.51-515.77] 咱们的国家就能变成诸侯国里最强大的
[515.77-516.67] 真的是
[516.67-517.93] 举荐他
[517.93-519.89] 这小白可不是一般的人
[519.89-521.79] 小白就是著名的齐桓公
[521.79-522.81] 那时候他很年轻
[522.81-524.21] 那小白一听呢
[524.21-525.19] 齐桓公一听呢
[525.19-526.23] 爱财如命
[526.23-528.99] 就真的让管仲做了自己的宰相
[528.99-533.13] 从此跟管仲进入了没羞没臊的既有生活
[533.99-534.59] 他哪
[534.59-535.79] 性格很像
[535.79-537.11] 都非常要脸
[537.11-539.69] 非常的注重自己的生活细节
[539.69-540.95] 品位极高
[540.95-542.39] 自古以来男人品位高呢
[542.39-543.47] 体现在两个方面
[543.47-545.21] 一个是泡妞的水平
[545.21-546.83] 你看泡什么样的妞
[546.83-547.49] 你看老高
[547.49-548.07] 人家小默
[548.07-549.41] 人家那么漂亮
[549.41-550.85] 老王看都流口水
[550.85-551.27] 为什么
[551.27-553.13] 这就是水平高
[553.13-553.55] 对不对
[553.55-555.65] 老王的媳妇当然也更好了
[555.65-556.59] 然后呢
[556.59-558.13] 你看有的人的媳妇呢
[558.13-559.31] 他就是唱歌的
[559.31-560.69] 哼哼
[560.69-561.17] 对不对
[561.17-575.79]  examined
[575.79-581.33] 哼哼啊啊啊啊啊就水平就那样啊
[581.33-583.23] 山东大葱味还没显
[583.23-584.03] 不说了啊
[584.03-586.93] 那管仲和齐桓宫两个人
[586.93-588.97] 去攻打楚国的路上
[588.97-590.23] 走的磨磨叽叽的
[590.23-590.97] 因为他们的军队
[590.97-592.49] 这么有才能的人
[592.49-595.53] 居然没听懂这诗歌的内容
[595.53-597.81] 管仲这个房车里边
[597.81-598.37] 对了
[598.37-601.37] 房车是管仲和齐桓公发明的
[601.37-603.37] 那个是真的是那个时代的房车
[603.37-606.09] 他们在里边是泡房睡觉
[606.09-608.33] 这一路非常舒服的
[608.33-611.49] 管仲这个房车里边就有美女
[611.49-613.69] 美女跟管仲在一起听见了
[613.69-618.93] 这美女就给管仲解释这个老头唱的是什么诗
[618.93-621.05] 什么典故 什么意思
[621.05-622.97] 你就通过这个细节
[622.97-625.77] 你就知道管仲泡的妞是什么水平
[625.77-627.41] 那从文化角度上来说
[627.41-629.21] 从音律角度来说
[629.21-632.65] 那是要比管仲水平高的
[632.65-635.37] 管仲当时就把这个老农民叫过来
[635.37-637.73] 说我问问你到底什么水平
[637.73-639.69] 结果一看卧槽比自己水平还高
[639.69-642.21] 就把这个老农民推荐给了齐桓公
[642.21-644.41] 齐桓公也不愿意去真打仗
[644.41-646.13] 因为打仗还是苦嘛
[646.13-647.05] 然后就问这老头
[647.05-648.89] 你有本事把楚国给我说降了吗
[648.89-650.25] 老头就真去了
[650.25-652.01] 真把楚国给说降了
[652.01-653.05] 说服了
[653.05-655.25] 这个是另一段故事
[655.25-660.25] 大家有兴趣的可以去扩展阅读
[660.25-664.45] 就是以此证明管仲和齐桓公泡妞水平之高
[664.45-667.77] 另一方面就是吃的水平
[667.77-671.29] 大家知道这个齐国古代是在山东的
[671.29-673.29] 山东有两条河
[673.29-676.81] 这两条河就是夹着他那个都城流过去的
[676.81-678.61] 管仲和齐桓公
[678.61-679.49] 这个厨子里边
[679.49-682.77] 这个厨房里边的御厨叫一牙
[682.77-684.57] 容易的一牙齿牙
[684.57-686.33] 一牙是总厨
[686.33-688.65] 行政总厨一牙牛逼到什么程度
[688.65-690.45] 一牙喝一口水
[690.45-695.05] 就知道这个水是从齐国的哪条河里打出来的
[695.05-696.57] 尝一口这个饭
[696.57-700.65] 就知道这个柴火用的是哪一年的木头烧出来的
[700.65-702.53] 对食物的经济求精的要求
[702.53-704.97] 也可以窥见一般
[704.97-706.37] 言归正传
[706.37-708.45] 他们两个在经营国家的过程中
[708.61-711.37] 使用了大量的轻重理论
[711.37-714.65] 就是后世的治国的经济方略
[714.65-716.33] 什么叫轻重论呢
[716.33-718.21] 就是天下皆轻
[718.21-719.13] 我为重
[719.13-720.05] 天下皆重
[720.05-721.17] 我为轻
[721.17-723.13] 也就是说用今天的话讲
[723.13-727.69] 就是国家以有形之手操控市场价格
[727.69-730.89] 获得垄断性的经营收益
[730.89-734.09] 代替对全民进行的税收
[734.09-737.21] 并且通过市场价格的变化
[737.21-738.53] 割邻国的
[738.61-739.49] 韭菜
[739.49-743.05] 使邻国的人民不停的向我国移民
[743.05-747.85] 我国的人口红利和资源红利越发丰厚
[747.85-751.01] 取得对邻国的货币战争的优势
[751.01-753.13] 这个就是轻重论的核心
[753.13-754.57] 管子里边有个经典的案例
[754.57-756.21] 就是恒山之谋
[756.21-756.73] 大家知道
[756.73-758.41] 齐国和鲁国一直在打仗
[758.41-762.01] 曹贵论战说的就是齐国和鲁国之间的战争
[762.01-762.45] 那个时候
[762.45-763.61] 齐国比较强大
[763.61-765.13] 鲁国比较弱小
[765.13-765.73] 但是呢
[765.73-767.21] 鲁国的军人也很能打
[767.21-767.97] 所以齐国呢
[767.97-769.49] 一直干不过鲁国
[769.49-771.17] 在齐国和鲁国之间呢
[771.17-775.37] 夹着一个影响两国战争胜负关键点的国家
[775.37-777.05] 叫恒山国
[777.05-777.81] 恒山呢
[777.81-779.85] 就是张恒的恒
[779.85-780.81] 山岳的山
[780.81-783.01] 恒山国按今天的话讲呢
[783.01-785.01] 就是他生产坦克
[785.01-786.81] 叫工程器械
[786.81-788.41] 这些工程器械呢
[788.41-789.17] 在当年呢
[789.17-790.25] 是重装备
[790.25-793.97] 只有恒山国的人民和工厂能造出这样的东西来
[793.97-795.41] 他有独门技术
[795.41-797.37] 其他的国家要打仗之前
[797.37-797.85] 都要
[797.85-801.73] 先向恒山国订购工程机械
[801.73-803.97] 所以恒山国在这个位置呆着呢
[803.97-807.33] 就影响了齐鲁两国的胜负天平
[807.33-810.33] 那必须把恒山国弄到手搞定
[810.33-812.13] 才能取得对鲁国
[812.13-817.17] 以及去对其他国家作战的军事技术上的绝对优势
[817.17-818.61] 可是硬打呢
[818.61-820.13] 齐国也干不过恒山国
[820.13-822.53] 因为恒山国自己就是军事强国
[822.53-824.61] 他的军事科技天下第一
[824.61-825.69] 齐国干不过他
[825.69-827.25] 何况后边还有个鲁国
[827.85-831.17] 所以齐桓公就问管仲怎么办
[831.17-839.45] 管仲说咱们先去恒山国订购他的工程机械
[839.45-841.73] 他的工程机械无论要多少钱
[841.73-843.17] 咱都不问价格
[843.17-844.29] 三倍的价格定
[844.29-845.85] 而且把他订单排满
[845.85-847.61] 而且咱给他涨价
[847.61-850.09] 涨价完了之后
[850.09-851.49] 排满订单之后
[851.49-853.33] 鲁国肯定害怕
[853.33-854.61] 鲁国听说之后
[854.97-856.29] 鲁国也会来定
[856.29-857.81] 因为他怕我们打他
[857.85-861.85] 这个时候赵国和秦国也会害怕
[861.85-863.61] 赵国跟我们也接壤
[863.61-865.69] 赵国也怕我们打他
[865.69-868.85] 赵国势必也跑恒山过来抢单
[868.85-871.61] 赵国跟秦国又是世仇
[871.61-874.81] 秦国听说这个事之后也会来抢单
[874.81-876.93] 这个时候大家一抢单
[877.09-880.81] 他恒山国的战争机械会涨10倍
[881.53-883.29] 他涨了10倍之后
[883.73-886.41] 整个国家就不会忙别的事
[886.41-888.57] 全部都会干这一件事
[888.57-890.93] 一定会缺少工人
[890.93-892.17] 缺少劳动力
[892.17-895.69] 他的产业工人和劳动力集中到他兵工厂之后
[895.93-897.57] 就没有人种粮食
[897.57-900.09] 这个时候咱们在差不多半年以后
[900.09-901.21] 10个月左右的时候
[901.21-902.81] 咱们再去人
[902.81-905.45] 去赵国定粮食
[906.01-907.49] 这里边就来细节了
[907.49-909.73] 为什么去赵国定了粮食
[909.89-912.21] 为什么他不说去秦国定粮食
[912.41-914.53] 所以从这个细节你就能判断
[914.53-915.97] 在春秋时代
[916.41-918.97] 赵国是天下的粮仓
[918.97-921.81] 是天下的芝加哥粮食交易所
[922.65-924.17] 所以就在赵国邯郸
[924.17-927.57] 他们就在10个月之后跑到邯郸
[927.57-930.17] 去派了他们的经济大臣
[931.37-932.61] 去买粮食
[932.97-934.77] 粮食无论什么价格
[934.77-937.21] 在赵国当时援助上讲的是
[937.21-938.21] 15个钱
[938.21-941.73] 一旦经济大臣下单全是50
[942.01-943.37] 50个钱要一旦
[943.37-945.17] 就是价格抬了3倍多
[945.53-946.37] 那赵国的粮食是什么价格
[946.37-948.09] 这粮食一下子被摆光了
[948.09-949.21] 因为齐国很有钱
[950.33-952.65] 所以齐国把赵国的粮食这么一拉
[952.93-955.37] 全天下的粮食供应商
[955.41-957.61] 都听说齐国在囤粮
[957.81-961.01] 于是大车小伙就把现货
[961.33-963.57] 粮食往齐国都城运
[964.65-968.45] 天下的粮食都集中到了齐国手里
[968.49-969.93] 用了三个月的时间
[969.97-971.73] 齐国堆满粮食
[971.77-974.09] 全天下的粮食都涨了三倍
[976.05-977.57] 这个时候已经过去了
[977.57-978.77] 一年半的时间了
[979.13-980.73] 下一个春天到了
[982.73-986.13] 管住让齐桓公立马撤回
[986.13-988.13] 在恒山国派驻的
[988.49-990.53] 兵工厂的随军代表
[991.05-992.89] 而且撤回经济大使
[993.45-994.49] 我不要了
[994.49-994.89] 对不起
[994.89-996.05] 那订金我也不要了
[996.41-996.77] 订单
[996.77-997.53] 我不要了
[997.81-998.93] 尾款不付了
[999.69-1001.13] 我用不着工程机了
[1002.45-1004.49] 齐国的工程机订单一取消
[1004.77-1006.09] 后边还没排着的
[1006.09-1006.93] 没排到的
[1006.93-1008.93] 鲁国的工程机自然也取消
[1009.17-1010.45] 鲁国和齐国也取消
[1010.45-1011.41] 赵国也取消了
[1011.41-1012.57] 秦国也取消了
[1012.61-1015.85] 全恒山国的工程机没有人要了
[1015.89-1017.65] 造了一半都停在那了
[1018.53-1020.01] 可是这个时候是春天
[1020.21-1021.21] 需要粮食了
[1021.25-1023.17] 粮食价格已经涨了10倍
[1023.57-1024.53] 齐国
[1024.89-1026.85] 这个时候就趁人之危
[1026.89-1028.29] 跑到恒山国
[1028.33-1029.49] 说您要不要粮食
[1029.77-1030.37] 要粮食
[1030.37-1031.85] 我用10倍的价格卖给你
[1032.01-1034.93] 整个恒山国的老百姓逃亡一空
[1034.97-1037.37] 全部逃到齐国做移民去了
[1037.53-1038.93] 那个时候也没有海关
[1038.93-1039.69] 挪过去
[1039.69-1041.01] 人家就变成齐国人了
[1041.05-1043.37] 所以恒山国的年轻人
[1043.41-1044.53] 跑了一多半
[1044.53-1046.29] 人民之间也闹起饥荒
[1046.45-1048.29] 恒山国的国军一看
[1048.33-1050.49] 开始跟齐桓公做外交谈判
[1050.85-1053.29] 这时候管仲又派使节到鲁国去
[1053.33-1055.45] 说他们有好多工程机
[1055.49-1056.53] 还没有卖出去
[1056.53-1057.77] 但是已经生产了七七八八
[1057.77-1058.17] 差不离
[1058.61-1059.89] 要不咱们两家
[1059.93-1060.85] 你从南边打
[1060.85-1061.65] 我从北边打
[1061.65-1062.69] 咱们把它吃解了
[1062.69-1063.81] 50 50怎么样
[1064.81-1066.33] 鲁国不知道是计就同意了
[1066.33-1068.81] 鲁国就在那边边境南边发兵
[1068.93-1071.21] 齐国在边境北边不发兵
[1071.25-1073.65] 跟恒山国的国军谈判
[1073.97-1075.33] 说你不行
[1075.33-1077.37] 你就投降吧
[1077.41-1078.29] 投降输一半
[1078.29-1079.89] 我还给你爵位
[1079.89-1080.89] 给你封地
[1080.89-1082.85] 但是你国家版图并到我这里边
[1082.85-1083.25] 怎么样
[1085.21-1086.41] 恒山国国军一想
[1086.41-1087.21] 那边是鲁国
[1087.21-1088.77] 大兵压境要干自己
[1088.81-1090.57] 这边又富
[1090.69-1092.17] 也相当于今天的美国
[1092.17-1093.29] 给我全民国籍
[1093.29-1096.45] 还给我一个美国州长的待遇
[1096.85-1098.33] 想了想也就认了
[1098.33-1099.17] 从那以后
[1099.17-1101.53] 恒山国就变成了齐国的一部分
[1101.65-1103.81] 这就是历史上的恒山之谋
[1103.81-1105.65] 感兴趣的大家可以去扩展
[1105.65-1107.05] 阅读恒山之谋
[1107.37-1110.69] 你们很可能会阅读到我当年的文章
[1110.93-1113.25] 因为第一个翻不出来恒山之谋的人
[1113.25-1114.85] 大概就是我在2010年
[1114.85-1117.29] 2008年到2010年干的事
[1117.57-1120.85] 恒山之谋搞定了恒山国
[1120.85-1124.97] 并且因此取得了对鲁国的绝对优势之后
[1125.09-1126.53] 有一个国家不服
[1127.01-1128.25] 就是楚国
[1128.25-1132.17] 因为楚国是王
[1132.45-1134.61] 而齐国是侯
[1134.65-1135.89] 公侯伯子男
[1135.89-1138.57] 齐国当时齐桓公继位的时候
[1138.61-1140.01] 连公爵都不是
[1140.45-1142.81] 他必须得让主要的大诸侯国
[1142.81-1144.77] 尤其是楚国要同意
[1144.93-1146.53] 但楚国不同意怎么办
[1146.93-1148.73] 他决定干楚国去
[1149.13-1151.37] 楚国经济被他搞了一下
[1151.37-1153.65] 楚国的人民逃亡到齐国的很多
[1153.77-1156.25] 这个就叫楚国之路
[1156.25-1157.37] 这次经济战争
[1157.37-1157.97] 是
[1158.25-1160.73] 重抬楚国山里边的路的价格
[1160.77-1161.45] 造成的
[1161.69-1162.97] 因为楚国的山里边
[1162.97-1164.69] 盛产一种漂亮的梅花路
[1165.05-1166.29] 这个路皮很精美
[1166.73-1168.57] 齐桓公和管仲
[1168.61-1171.21] 就拉抬楚国梅花路的价格
[1171.25-1173.45] 楚国的老百姓也不愿意种地了
[1173.45-1175.37] 都跑到山上去打梅花路
[1175.41-1176.77] 过了不到半年
[1176.77-1179.09] 梅花路的价格囤积俱齐
[1179.25-1181.25] 而粮食没有人生产
[1181.93-1183.65] 古代没有粮食调剂系统
[1183.65-1185.13] 到了春天就都挨饿
[1185.77-1187.89] 而齐国又按老方法
[1188.25-1189.49] 出了足够的粮食
[1189.53-1191.09] 齐国的经济往上走
[1191.13-1192.89] 楚国的经济往下走
[1193.33-1195.49] 齐国突然不要路皮之后
[1195.81-1198.29] 楚国的经济就进入危机状态
[1198.33-1201.05] 大量的楚国人向齐国移民
[1201.09-1202.93] 视为楚国之路
[1203.21-1205.49] 楚国也就服了软
[1206.37-1208.89] 类似的还有代国之湖
[1208.89-1210.45] 代国之湖就更荒唐了
[1210.65-1212.85] 代国的山里边盛产狐狸皮
[1213.09-1215.41] 其中传说中有一种白色的狐狸
[1215.45-1216.97] 极为稀少
[1217.13-1218.13] 所以齐桓公
[1218.13-1219.05] 昭告天下
[1219.05-1221.81] 要高价收购代国的白虎
[1221.85-1223.13] 一袭白虎皮
[1223.13-1225.57] 齐国给的价格价值连城
[1225.93-1227.77] 以至于代国是个小国
[1227.81-1229.41] 不但老百姓上山打猎
[1229.41-1230.33] 找白狐狸
[1230.97-1232.61] 连代国的国君
[1232.65-1234.09] 都亲自带着卫队
[1234.13-1235.01] 去找白狐狸
[1235.01-1236.45] 为了发这笔财
[1236.85-1238.29] 折腾了两年
[1238.33-1240.17] 一只白狐狸毛都没抓着
[1240.21-1241.85] 但是整个国家变得刁
[1241.89-1243.01] 刁逼无比
[1243.05-1245.33] 从此变成了齐国的附庸
[1246.77-1248.01] 他怎么得到
[1248.01-1249.57] 周天子的青睐
[1249.61-1251.37] 给自己加官晋爵
[1251.41-1253.49] 在周天子的辅助下
[1253.65-1255.49] 成为春秋五霸之首呢
[1256.41-1258.09] 这个里边就涉及到了
[1258.09-1259.29] 殷礼之谋
[1259.33-1261.21] 和精毛之谋
[1261.21-1262.97] 殷礼这个地方是个地饼
[1263.45-1265.17] 殷礼盛产一种美誉
[1265.57-1267.37] 殷礼小山上的美誉
[1267.41-1269.81] 能造出来一种漂亮的壁
[1270.09-1271.37] 在周礼中
[1271.37-1273.33] 一块殷礼产的原币
[1273.49-1275.69] 加一个铜弓
[1275.73-1276.85] 就是一个单
[1276.89-1277.69] 三个撇的
[1277.69-1277.89] 那个铜弓
[1277.89-1279.77] 一个铜字加一个铜弓
[1279.81-1281.33] 是所有的诸侯王
[1281.33-1284.13] 觐见周天子朝拜的礼器
[1284.17-1285.13] 必备礼器
[1286.94-1289.50] 可是因为春秋
[1289.54-1291.06] 周天子势危
[1291.30-1293.30] 其经济实力还不如当时的一个
[1293.34-1294.62] 中等的诸侯国
[1294.66-1298.02] 所以也没有人再去朝拜周天子了
[1298.06-1298.62] 这个时候
[1299.30-1300.54] 观众就派人
[1300.58-1303.14] 先把殷礼围成了一个圈
[1303.18-1305.30] 造了一个三层的大城
[1305.66-1309.22] 把所有生产的美誉的原石
[1309.22-1310.58] 全运进城里
[1310.62-1312.78] 把玉宫都集中在城里
[1312.82-1314.42] 事先加工好了
[1314.46-1315.78] 各种尺寸
[1315.82-1316.90] 各种面值的
[1316.94-1319.70] 带着王家符号的美誉
[1320.14-1320.94] 玉壁
[1321.26-1324.18] 然后从周天子那儿拿到license
[1324.58-1325.86] 跟周天子说
[1325.90-1328.06] 我齐国现在是诸侯国里面
[1328.10-1329.58] 最强大最富有的
[1329.62-1332.10] 我现在要带头恢复到
