[0.40-5.20] 这就是温哥华今天的天气
[617.84-619.80] 这边的老师也是这样的
[619.80-621.88] 但是当我有了小孩的时候
[621.88-624.36] 我发现中国的教育体制变化了
[624.36-628.24] 老师开始公然索要孩子家长
[628.24-630.24] 过节过年送的购物
[630.40-631.16] 卡
[631.16-633.84] 在北京就送一些家乐福购物卡
[633.84-635.32] 他们欣然接受
[635.32-636.96] 而且这个面额还不小
[636.96-638.00] 500元
[638.00-639.04] 300元
[639.04-639.88] 谁给的少
[639.88-642.32] 老师还会给这个孩子穿小鞋
[642.32-644.40] 这使我非常的诧异
[644.40-645.96] 因为在我的心里
[645.96-646.92] 教育行业
[646.92-647.84] 教师行业
[647.84-649.36] 是一个很神圣的行业
[649.36-651.80] 它是点燃自己照亮别人的行业
[651.80-653.96] 因为我的母亲就是中学老师
[653.96-655.48] 我看得见我母亲
[655.48-656.84] 每天晚上批改作业
[656.84-659.08] 她并不要求什么索取
[659.08-660.36] 怎么到了我
[660.40-660.88] 长大了
[660.88-662.00] 我有了孩子
[662.00-664.72] 中国的教育体制变成了这个样子
[664.72-665.52] 更有甚者
[665.52-667.64] 我的大女儿是出生在北京的
[667.64-670.04] 我送孩子上幼儿园的时候
[670.04-672.44] 他们不知道孩子的背景
[672.44-675.24] 所以我的孩子备受霸凌
[675.24-677.36] 老师就不太喜欢她
[677.36-679.48] 她不太愿意去上幼儿园
[679.48-683.60] 后来老师家访的时候到了我家
[683.60-684.40] 不用说
[684.40-686.08] 肯定被shock了一下
[686.08-687.32] 从那天起
[687.32-689.16] 我女儿在幼儿园班里
[689.16-690.16] 又得到了很大的费用了
[690.16-692.20] 很多的优待
[692.20-697.32] 这使我觉得必须趁女儿在上小学之前
[697.32-699.72] 离开那个教育环境
[699.72-701.56] 所以说孩子的教育
[701.56-703.76] 子女教育可能是我们润人
[703.76-708.20] 或者想润的人最关心最头疼的问题
[708.20-710.48] 今天老王就用我亲身的感受
[710.48-712.28] 来谈一谈这个问题
[712.28-714.64] 希望能够抛砖引玉
[714.64-716.56] 引起大家的思索
[716.56-718.32] 谈起带孩子出来移民
[718.32-720.04] 带孩子出来上学
[720.16-721.72] 最常见的一个问题
[721.72-724.92] 就是我的孩子多大的时候出去比较好
[724.92-726.76] 很多在国内的朋友
[726.76-731.76] 他们想的是让我的孩子完成小学教育或初中教育
[731.76-738.48] 甚至上高中上到一年级二年级到高二高三再出国
[738.48-739.56] 理由是这样
[739.56-741.60] 他们能学好中文
[741.60-744.16] 有一个扎实的中国文化基础
[744.16-745.96] 即使在加拿大和美国
[745.96-747.80] 也有大量的家长这么想
[747.80-749.08] 我看到过很多这边的家长
[750.16-751.64] 在这边的移民
[751.64-752.92] 在孩子上小学的时候
[752.92-754.88] 让孩子回去上两三年
[754.88-757.44] 理由也是学好中文
[757.44-760.28] 但是这样是绝对错误
[760.28-763.56] 因为我们在这边的小学或者中学
[763.56-765.60] 我们一眼就可以看出来
[765.60-767.88] 哪个孩子是从中国来的
[767.88-770.16] 哪个孩子是在本地出生的
[770.16-772.48] 即使他们都长着一张中国人的脸
[772.48-774.52] 但是你看他们的气质和行为
[774.52-775.72] 不超过10秒钟
[775.72-777.68] 你就能判断出来
[777.68-779.72] 因为在本地接受教育的孩子
[779.72-781.76] 眼神里是纯净的是干净的
[781.76-786.00] 就像西藏那种晒着太阳红的藏族小孩的
[786.00-787.96] 那种天真烂漫的眼神
[787.96-791.64] 完全是你一眼就能看到他灵魂的感觉
[791.64-795.40] 但是从中国接受了两三年小学教育的孩子
[795.40-797.84] 过来之后眼睛是猥琐的
[797.84-801.52] 唯唯诺诺甚至有一些外强中干
[801.52-806.68] 就像小狗一样很容易暴躁或者胆怯
[806.68-809.32] 他的眼神里边是看不见灵魂的
[809.32-812.64] 他年纪虽小但是学会了隐藏灵魂
[812.64-817.12] 我们还可以在小学高年级或者中学可以清晰的看见
[817.12-821.48] 白人小孩和ABCCBC小孩混一圈
[821.48-826.48] 华人小留学生和在国内所谓的接受过中文小学教育的
[826.48-830.92] 这些ABCCBC混一圈井水不犯河水
[830.92-834.88] 小小的班级20个孩子居然会分成两伙人
[834.88-838.00] 这两伙人之间说的话也不一样
[838.00-839.28] 谈的天也不一样
[839.32-843.48] 玩的手机游戏和话题追的剧全是不一样的
[843.48-844.96] 这就是文化割裂
[844.96-848.40] 你既然把孩子带出来了
[848.40-850.04] 你既然决心润出来
[850.04-852.40] 你既然觉得那个洼地是个垃圾场
[852.40-853.60] 你待不下去了
[853.60-855.28] 你不想你的孩子再沉沦
[855.28-856.20] 你出来了
[856.20-858.16] 你为什么要这么分裂呢
[858.16-862.68] 你难道真的相信中国人和共产党能够分开吗
[862.68-866.56] 中共不等于中国这句话你真的相信吗
[866.56-868.36] 我们回忆一下
[869.32-870.92] 黑客帝国里边
[870.92-875.44] 尼尔在接受莫菲斯第一次穿越教育的时候
[875.44-877.84] 莫菲斯跟他说了这样一句名言
[877.84-878.52] 在举证里
[879.64-883.60] 你要默认每一个你对面的人都是一个史密斯探员
[884.88-887.28] 因为在他们觉醒之前
[887.28-889.68] 他们的利益和metrics是一体的
[890.64-893.80] 感兴趣的可以扩展阅读看这段经典的对白
[893.80-895.64] 这完全适用于今天的中国
[896.76-898.60] 每一个今天的中国人
[898.60-902.00] 从小到大他们被绑架在共产党的战车上
[902.00-904.12] 如果人生享有飞黄腾大
[904.12-908.72] 他们必须依靠于共产党所建立的社会拓扑结构
[908.72-910.84] 在里边找到自己的位置
[910.84-912.92] 除非他们已经觉醒
[912.92-913.92] 否则的话
[913.92-917.48] 你向他们传播这种西方普世价值
[917.48-919.72] 你就是他们默认的敌人
[919.72-921.56] 我不敢说100%这样
[921.56-923.96] 但至少95%是这样的
[923.96-927.56] 而且令人沮丧的是年龄越低
[927.56-928.56] 孩子越小
[928.60-930.44] 越红越专
[930.44-931.92] 把洗脑教育
[931.92-935.60] 共产主义教育的重点放在了中小学学生身上
[935.60-938.24] 而这些孩子是最容易被喜红的
[938.24-943.26] 所以你把孩子从这边放回中国去
[943.26-944.82] 这是绝对错误的
[944.82-947.42] 你除了让孩子造成了精神分裂
[947.42-949.66] 没有任何好的结果
[949.66-953.02] 这些孩子来了这以后会各种不适应
[953.02-957.54] 人都有自己的舒适区选择和趋利避害的本能
[957.54-959.82] 他们会自然而然的形成团体
[959.98-962.02] 在学校偷偷的说中文
[962.02-964.34] 有的学校管不让说中文
[964.34-966.90] 他们就在小圈子里自己说中文
[966.90-968.42] 有的公校并不管
[968.42-970.98] 大家非常free非常自由
[970.98-973.30] 孩子们就会公然的说中文
[973.30-977.90] 所以自然而然就形成了中文圈的小流的小圈子
[977.90-986.10] 和本地教育的老外及中国cbcabc华裔小孩的这么一个小圈
[986.10-987.38] 另一个圈子
[987.38-989.94] 这是我看到的
[989.98-993.06] 每天都发生在我身边的现实
[993.06-995.62] 我再给大家读一封观众来信
[995.62-996.38] 这样的话呢
[996.38-997.40] 可能大家
[997.40-1000.48] 有一个感性认识
[1000.48-1001.76] 我把他的名字引去
[1001.76-1003.54] 因为涉及到一些隐私
[1003.54-1004.32] 本人
[1004.32-1005.34] 某某
[1005.34-1008.16] 半年前经常看翟山英的视频
[1008.16-1009.44] 感觉挺有料
[1009.44-1012.00] 最近一阵看的少了因为实料不多
[1012.00-1013.28] 都是观点
[1013.28-1016.10] 前一阵在x上看到你的推文
[1016.10-1017.62] 天天挠翟山英
[1017.62-1019.94] 开始以为就是蹭小名人
[1019.98-1021.52] 博取眼球的
[1021.52-1022.80] 没有太在意
[1022.80-1025.62] 最近有点空看了看你的视频
[1025.62-1027.66] 忽然发现非常有意思
[1027.66-1030.48] 北京理工还是比北京服装学院厉害
[1030.48-1033.54] 也再次印证了山外有山天外有天
[1033.54-1034.82] 捧我几句啊
[1034.82-1036.36] 出于向你学习
[1036.36-1039.18] 有问题想向你请教的原因
[1039.18-1040.98] 先与您套一套近乎
[1040.98-1044.04] 搜尝寡度和你套近乎的材料是
[1044.04-1046.10] 1本人是北京工业学院毕业
[1046.10-1047.38] 刚毕业离开
[1047.38-1049.68] 学校改名北京理工大学了
[1049.68-1050.96] 3183级
[1050.96-1053.78] 87年毕业应该是比你高几届
[1053.78-1054.80] 是的
[1054.80-1057.88] 北京理工大学的前身叫北京工业学院
[1057.88-1060.68] 是八大学院之一
[1060.68-1061.96] 三系
[1061.96-1066.06] 就是31831就是83年的三系第一专业对不对
[1066.06-1066.84] 老师兄
[1066.84-1068.62] 三系应该是车辆工程学院
[1068.62-1070.92] 是吧车辆工程系你那时候叫
[1070.92-1075.02] 3183级应该是31831或者31832班的
[1075.02-1076.04] 我呢
[1076.04-1077.32] 比你小10岁
[1077.32-1079.12] 我是93级的
[1079.12-1080.92] 我是102931的
[1080.92-1082.20] 我说出这个黑话来
[1082.20-1084.24] 您一定知道我是哪个系的了
[1084.24-1087.54] 哪个专业的了
[1087.54-1089.08] 2020年
[1089.08-1091.38] 54岁北京福田汽车离职
[1091.38-1093.42] 果然他干了本行
[1093.42-1094.96] 进入退休状态
[1094.96-1096.24] 润到南非
[1096.24-1099.32] 目前定居南非约翰内斯堡
[1099.32-1100.60] 三系车辆工程系
[1100.60-1101.88] 其实
[1101.88-1104.44] 第一专业是坦克装甲车专业
[1104.44-1107.50] 这个老哥呢在福田汽车算是军转民了
[1107.50-1109.04] 没有在兵工系统工作
[1109.04-1110.84] 因为北京理工大学其实前身
[1110.88-1112.42] 是延安自然科学院
[1112.42-1113.44] 他是一个
[1113.44-1115.74] 兵器工业部的这样一个高校
[1115.74-1116.52] 他都是
[1116.52-1117.54] 军工类的
[1117.54-1118.30] 专业
[1118.30-1120.36] 你比如说一系的话就是火箭系
[1120.36-1122.40] 二系的话就是
[1122.40-1123.68] 炮兵官苗
[1123.68-1124.70] 指挥
[1124.70-1126.24] 三系就是
[1126.24-1128.04] 车辆就是坦克装甲车
[1128.04-1130.34] 四系就是光学
[1130.34-1132.64] 光学也是军用光学为主
[1132.64-1134.18] 五系就是无线电
[1134.18-1136.48] 其实就是军用雷达相控阵雷达
[1136.48-1138.28] 六系是化工
[1138.28-1139.56] 就是爆炸
[1139.56-1140.84] 火药
[1140.88-1142.92] 七系是机械
[1142.92-1143.96] 枪械
[1143.96-1145.24] 炮弹
[1145.24-1147.54] 枪管炮管
[1147.54-1150.10] 这个都是北京理工的传统
[1150.10-1151.88] 所以老王这么强的动手能力
[1151.88-1153.68] 跟北理工是有直接关系的
[1153.68-1156.24] 车前电焊毛我们经实习都学过
[1156.24-1157.78] 所以来了加拿大之后不触
[1157.78-1159.82] 虽然没摸过但是上手很快
[1159.82-1162.38] 脑子里还有记忆
[1162.38-1163.40] 五年的遗粉
[1163.40-1165.96] 听阿姨的视频经常感到醍醐灌顶
[1165.96-1167.50] 好多视频都听了N遍
[1167.50-1169.04] 跟老王是一样的
[1169.04-1170.84] 跟阿姨那儿学了很多历史知识
[1170.88-1173.44] 对国内的各种生态
[1173.44-1174.20] 生物痛绝
[1174.20-1175.24] 包括政治生态
[1175.24-1176.00] 环境生态
[1176.00-1176.76] 食品生态
[1176.76-1178.04] 社交生态
[1178.04-1181.12] 处处露出挖地特质
[1181.12-1185.22] 咱们观众里边数据统计显示70%是翻墙出来的
[1185.22-1186.24] 不要这么说
[1186.24-1187.78] 伤大家的心
[1187.78-1191.62] 但是呢确实是即使是北京上海广州深圳的一线城市
[1191.62-1192.90] 他的人口素质
[1192.90-1194.44] 距离加拿大
[1194.44-1196.48] 最中国区的列治文相比
[1196.48-1197.76] 都差了一大截
[1197.76-1199.80] 不说别的就说开车就知道了
[1199.80-1201.08] 你既是在列治文开车
[1201.08-1202.62] 你也听不见喇叭声
[1202.62-1204.92] 开一天的车你听不见喇叭声
[1204.92-1205.94] 在北京
[1205.94-1208.00] 和上海
[1208.00-1209.28] 不要说喇叭声
[1209.28-1211.06] 高速公路出口我回去
[1211.06-1212.86] 都开不出去
[1212.86-1213.88] 谁也不让谁
[1213.88-1214.90] 一点规矩都没有
[1214.90-1216.18] 是一群野蛮人
[1216.18-1217.20] 见微知著
[1217.20-1219.26] 所以你所说的挖地特质
[1219.26-1222.32] 可能在国内翻墙出来的朋友们
[1222.32-1224.64] 并不能有设身处地的感受
[1224.64-1228.48] 他们已经久闻不知其臭了
[1228.48-1229.76] 目前在南非
[1229.76-1230.78] 有个小农场
[1230.78-1232.84] 只出资不参与管理
[1232.84-1234.62] 满足基本糊口状态
[1234.62-1237.18] 日常的生活就是看看书钓钓鱼
[1237.18-1238.46] 健身房教堂
[1238.46-1240.76] 偶尔南非境内周边国家走一走
[1240.76-1242.30] 去美国看看儿子
[1242.30-1246.40] 您的生活老师兄也好滋润呀
[1246.40-1247.42] 比老王滋润
[1247.42-1248.70] 因为老王的孩子还没长大呢
[1248.70-1252.04] 老婆是在新疆的中学同班同学
[1252.04-1253.56] 是亲老婆没换过
[1253.56-1254.60] 高中时代
[1254.60-1256.12] 我是学校的学神
[1256.12-1256.90] 她是小花
[1256.90-1258.44] 我可以吹得最大的牛逼
[1258.44-1259.20] 到此为止
[1259.20-1259.72] 不像你
[1259.72-1264.58] 吹牛逼的材料一抓一大把
[1264.58-1265.60] 好吧好吧
[1265.60-1268.16] 你这个把屁我收下了
[1268.16-1269.44] 关于养孩子
[1269.44-1271.76] 我的理念与你完全相同
[1271.76-1273.04] 我一个儿子
[1273.04-1274.82] 从小到大没有打过他
[1274.82-1276.88] 而且早早就对我
[1276.88-1278.66] 全家和我爱人全家
[1278.66-1279.94] 画了一个红线
[1279.94-1282.24] 我家这个儿子你们谁都不许打他
[1282.24-1283.78] 谁打和谁翻脸
[1283.78-1284.30] 还好
[1284.30-1286.08] 大家都执行的不错
[1286.08-1287.62] 至少在我知道的范围内
[1287.62-1289.16] 家人没有人打过他
[1289.16-1290.70] 孩子是上帝的礼物
[1290.70-1293.00] 养孩子是一个太快乐的过程
[1293.00-1294.28] 完全没有期望
[1294.28-1296.32] 他孝顺养老的念头
[1296.32-1298.12] 上帝也眷顾过他
[1298.12-1299.66] 考上了加州伯克利
[1299.66-1300.68] 目前已经毕业
[1300.68-1303.76] 在旧金山San Francisco工作
[1303.76-1305.04] 老哥我很羡慕你
[1305.04-1306.06] 有这么一个好儿子
[1306.06-1307.08] 你真是有福啊
[1307.08-1308.36] 孩子有出息
[1308.36-1310.40] 你是个福报满满的人
[1310.40-1312.20] 你说到打孩子呢
[1312.20-1313.48] 老王也是
[1313.48-1314.76] 感同身受
[1314.76-1315.78] 我在中国
[1315.78-1316.80] 我的童年
[1316.80-1318.60] 是被我妈妈打大的
[1318.60-1320.64] 三天两头的打我
[1320.64-1322.44] 而且是我妈妈打我
[1322.44-1324.24] 所以我成年之后呢
[1324.24-1326.54] 受这个烙印很深的
[1326.54-1328.32] 所谓中国人有句话叫
[1328.32-1329.86] 欲不捉不撑气
[1329.86-1330.88] 妈妈打完你
[1330.88-1331.66] 还要告诉你
[1331.66-1332.94] 打你是为了你好
[1332.94-1334.72] 是为了你健康成长
[1334.72-1337.28] 我不打你能有今天吗
[1337.28-1339.08] 我是深信不疑
[1339.08-1340.88] 直到我自己有了孩子
[1340.88-1342.40] 我的大女儿出生
[1342.40-1344.46] 当大女儿开始淘气的时候
[1344.46-1345.74] 我都带着这个恶习
[1345.74-1347.28] 打过我大女儿
[1347.28-1348.56] 打她巴掌
[1348.60-1350.14] 我后来
[1350.14-1351.42] 当我觉悟了以后
[1351.42-1353.46] 我是非常的忏悔
[1353.46-1354.74] 我对我大女儿
[1354.74-1356.02] 认认真真的
[1356.02-1357.56] 一对一面对面的
[1357.56-1359.10] 两个平等的灵魂那样
[1359.10-1360.38] 请求她宽恕我
[1360.38-1376.70] 请求她原谅我
[1376.70-1388.32] 她原谅我了
[1388.32-1389.60] 大女儿非常懂事
