[1.74-3.74] 哈喽 大家好
[3.74-5.74] 大家好 大家好
[5.74-7.74] 牙缝王又来了
[219.76-221.76] 为了庆祝我的万人粉丝这一天
[221.76-223.76] 我又换了一件新衣服
[223.76-225.76] 我臭美
[225.76-227.76] 我这个衣服
[227.76-229.76] 又是刚打开的
[229.76-231.76] 冷还在
[231.76-233.76] 私人定制私人定制
[233.76-235.76] 我的姓给大家特写
[235.76-237.76] 我的姓名
[237.76-239.76] 私人定制
[239.76-241.76] 遮着点扣
[241.76-243.76] 私人定制不要炫富
[243.76-245.76] 这叫什么呢
[245.76-247.76] 这叫衣品
[247.76-249.76] 看老王的胸大机有很多女观众说
[249.76-251.76] 喜欢我的胸
[251.76-253.76] 你们可能摸不着
[253.76-255.76] 等我十万粉的时候
[255.76-257.76] 我弄一个女性粉丝群
[257.76-259.76] 然后你们可以来摸
[259.76-261.76] 可以让你们摸一下
[261.76-263.76] 但是只能摸不能干别的
[263.76-265.76] 这肘子这肩膀
[265.76-267.76] 我老婆可喜欢了
[267.76-269.76] 我这把岁数
[269.76-271.76] 能保持这么好的状态
[271.76-273.76] 能保持这么好的身材
[273.76-275.76] 比那个在迪拜
[275.76-277.76] 处心积虑弄电子盘
[277.76-279.76] 骗人的那个小骗子
[279.76-281.76] 被我清理门户的小东西
[281.76-283.76] 你看他那八字奶
[283.76-285.76] 那个唯唯秋秋的衣领
[285.76-287.76] 288块钱淘宝货的衣领
[287.76-289.76] 你看他那个头发
[289.76-291.76] 毛茸茸的
[291.76-293.76] 白发苍苍
[293.76-295.76] 披头散发
[295.76-297.76] 你染的头发跟自然黑它不一样的
[297.76-299.76] 看看我这头发
[299.76-301.76] 这都长起来了
[301.76-303.76] 老王今年49了
[303.76-305.76] 你看我这头发
[305.76-307.76] 黑曲曲的可没有染过
[307.76-309.76] 我开油管的没两天
[309.76-311.76] 我就是理了头发了
[311.76-313.76] 弄的那个大家看着
[313.76-315.76] 就觉得我像司马南那期
[315.76-317.76] 你看这不到一个月二十多天
[317.76-319.76] 长起来了就长的这么快
[319.76-321.76] 黑的黑茬
[321.76-323.76] 十年以前我的白头发多少
[323.76-325.76] 我十年以后的今天白头发还是那么多
[325.76-327.76] 都没有增加
[327.76-329.76] 这就是什么
[329.76-331.76] 心宽体胖
[331.76-333.76] 所以呢如何hold住我的身材
[333.76-335.76] 如何hold住我的大肘子
[335.76-337.76] 大手
[337.76-339.76] 这个叫什么霸王冠长
[339.76-341.76] 有朋友们也看到了
[341.76-343.76] 所以抓小鸟一抓一个准
[343.76-345.76] 横文一道
[345.76-347.76] 不是骑马就是做教
[347.76-349.76] 我从小我们家的那个
[349.76-351.76] 亲戚老太太就看着
[351.76-353.76] 大老王小小的baby大老王的手
[353.76-355.76] 说这句话
[355.76-357.76] 没什么主题
[357.76-359.76] 就是万人感言不感兴趣
[359.76-361.76] 可以不看了
[361.76-363.76] 今天早上我血压升高
[363.76-365.76] 给我气坏了
[365.76-367.76] 小罗纳德
[367.76-369.76] 小东西跟我斗智斗勇把我给气坏了
[369.76-371.76] 小罗纳德不是里根总统
[371.76-373.76] 是我们家那个小罗纳德
[373.76-375.76] 纪念里根总统给他起的名
[375.76-377.76] 这个小罗纳德王
[377.76-379.76] 给我气死了
[379.76-381.76] 他火力壮
[381.76-383.76] 上学他不喜欢穿厚衣服
[383.76-385.76] 耍单
[385.76-387.76] 今天温哥华特别冷
[387.76-389.76] 在温哥华本地的人都知道
[389.76-391.76] 今年的温哥华冬天特别不正常
[391.76-393.76] 哪有十月份就结冰结霜
[393.76-395.76] 已经连续三天
[395.76-397.76] 晚上我看有结冰
[397.76-399.76] 有结霜
[399.76-401.76] 从来没有过
[401.76-403.76] 我刚从丹佛回来
[403.76-405.76] 丹佛都没这么冷
[405.76-407.76] 所以呢
[407.76-409.76] 我就想让他多穿一件
[409.76-411.76] 我爸爸怕他冷
[411.76-413.76] 我说你穿上厚衣服
[413.76-415.76] 你穿上书包里了
[415.76-417.76] 然后到学校门口
[417.76-419.76] 我给他招泼
[419.76-421.76] 我说你穿上衣服
[421.76-423.76] 他说我的衣服明明装在书包里不见了
[423.76-425.76] 小东西给我设局弄套
[425.76-427.76] 我一眼就看穿了
[427.76-429.76] 这小子肯定把衣服
[429.76-431.76] 偷偷藏起来
[431.76-433.76] 我就吓唬他
[433.76-435.76] 我说你现在跟我回家拿衣服
[435.76-437.76] 拿不到衣服
[437.76-441.39] 你今天就走着上学
[441.39-443.39] 吓坏他了
[443.39-445.39] 他还是嫩的
[445.39-447.39] 一年级的小豆包
[447.39-449.39] 罗纳德现在是一年级的小豆包
[449.39-451.39] 哎呀
[451.39-453.39] 在路上跟我
[453.39-455.39] 坚持他找不着
[455.39-457.39] 明明放进书包里
[457.39-459.39] 再一打开不见了
[459.39-461.39] 坚持这个说法
[461.39-463.39] 坚持了四分钟
[463.39-465.39] 在路上最后四分钟一直给我坚持
[465.39-467.39] 到第五分钟看坚持不住了
[467.39-469.39] 因为我已经把他姐姐放到学校门口
[469.39-471.39] 我已经让他不许下车
[471.39-473.39] 要跟我回家找衣服
[473.39-475.39] 要让他自己走到学校
[475.39-477.39] 我撒谎了
[477.39-479.39] 我撒谎了
[479.39-481.39] 我把衣服藏起来了
[481.39-483.39] 我呢
[483.39-485.39] 这老爸呢
[485.39-487.39] 做了个U-turn掉了个头
[487.39-489.39] 把他放到学校门口
[489.39-491.39] 因为我看那时间
[491.39-493.39] 他也可以直接走进教室了
[493.39-495.39] 因为加拿大的小学里边特别暖和
[495.39-497.39] 他确实可以穿背心裤衩
[497.39-499.39] 是可以的
[499.39-501.39] 但是我怕他在外边
[501.39-503.39] 等开门这五分钟他冻着
[503.39-505.39] 我再问个话没仇人
[505.39-507.39] 我住在王忠军家邻居
[507.39-509.39] 王忠军跟我借饼
[509.39-513.06] 你知道吧
[513.06-515.06] 翟晓英这个傻逼
[515.06-517.06] 听到这个又该崩溃了
[517.06-519.06] 这个
[519.06-521.06] 说哪了
[521.06-523.06] 所以呢
[523.06-525.06] 老王呢
[525.06-527.06] 就在这样的十一年的时间里边
[527.06-529.06] 伴随着孩子们出生长大
[529.06-531.06] 我的老二老三在这边出生长大
[531.06-533.06] 跟他们每天
[533.06-535.06] 过着这样的父慈子孝的生活
[537.06-539.06] 一晃过了十一年
[539.06-545.82] 一晃就过了十一年
[545.82-551.38] 直到开开了这个油管
[551.38-553.38] 才有了一些
[553.38-555.38] 二次创业的冲动
[555.38-557.38] 灭宅小鸟
[557.38-559.38] 只是我的三板斧
[559.38-561.38] 后边有很多话
[561.38-563.38] 很多知识要传授给大家
[563.38-567.10] 要跟大家共享
[567.10-569.10] 有很多人说
[569.10-571.10] 随着粉丝增多
[571.10-573.10] 我发现老王的评论里边
[573.10-575.10] 就开始出现
[575.10-577.10] 比较低智商的
[577.10-579.10] 回应了
[579.10-581.10] 他跟我三千铁粉不一样
[581.10-583.10] 从新浪微博追过来的这个三千
[583.10-585.10] 江东子弟铁粉
[585.10-587.10] 个个都是高手
[587.10-589.10] 他们回的他们评的一步到位
[589.10-591.10] 不用我多说
[591.10-593.10] 就像那个学习里边那个快班一样
[593.10-595.10] 我们上高中的时候那个快班一样
[595.10-597.10] 重点班
[597.10-599.10] 今天新来的这几千人
[599.10-601.10] 我看这里边有不是快班的孩子
[601.10-603.10] 所以
[603.10-605.10] 更给了我
[605.10-607.10] 很大的勇气和支持
[607.10-609.10] 有很多人说
[609.10-611.10] 老王老郭没了
[611.10-613.10] 老宅倒了
[613.10-615.10] 反共的大旗就由你来扛吧
[615.10-617.10] 你别给我这个套
[617.10-619.10] 第一我还不想上红通呢
[619.10-621.10] 第二反共的大旗这个旗杆太沉了
[621.10-623.10] 我一个人根本扛不起来
[623.10-625.10] 需要千千万万个人一起扛
[625.10-627.10] 为什么
[627.10-629.10] 真正要在中国推行民主和自由
[629.10-631.10] 反共
[631.10-633.10] 不是目的
[633.10-635.10] 反共只是过程
[635.10-637.10] 最终的结果是在中国建立一套
[637.10-639.10] 普世价值观的
[639.10-641.10] 民主自由法治体系
[641.10-643.10] 这需要民智大开
[643.10-645.10] 我不知道这个过程要有多长
[645.10-647.10] 但是无论它有多长
[647.10-649.10] 我们都要在这个过程中
[649.10-651.10] 去开启民智
[651.10-653.10] 去让大家明白事
[653.10-655.10] 去让大家全部都有独立思考的能力
[655.10-657.10] 都有吐出来自己喝掉的狼奶的能力
[657.10-659.10] 才有机会
[659.10-661.10] 真正的建立民主和法治
[661.10-663.10] 推翻某个性习的
[663.10-665.10] 或者某个性理的
[665.10-667.10] 都没有用
[667.10-669.10] 根本解决不了问题
[669.10-671.10] 你换一个会上来另一个
[671.10-673.10] 全都是一路货
[673.10-675.10] 好像有人说
[675.10-677.10] 我骂李克强
[677.10-679.10] 我没有骂他
[679.10-681.10] 我哪骂李克强了
[681.10-683.10] 他去世了
[683.10-685.10] 我还要尊重他的
[685.10-687.10] 我只不过说了他一些实话
[687.10-689.10] 就是他昏庸无能嘛
[689.10-691.10] 他不懂经济嘛
[691.10-693.10] 克强是三天打我们一次的人
[693.10-695.10] 他能做到的
[695.10-697.10] 就是说几句实话
[697.10-699.10] 但是他的能力
[699.10-701.10] 照治理一个大国的总理
[701.10-703.10] 他差很多
[703.10-705.10] 所以我不是骂他
[705.10-707.10] 我是实话实说
[707.10-709.10] 这一实话实说都得罪很多人
[709.10-711.10] 我们不要找爹了
[711.10-713.10] 没有人是我们的爹
[713.10-715.10] 我们的爹一定是我们自己
[715.10-717.10] 中国人如果戒不了找爹的毛病
[717.10-719.10] 就永远是个独裁者在治理你们
[719.10-721.10] 永远是个独裁者在收拾你们
[721.10-723.10] 所以呢
[723.10-725.10] 但是呢
[725.10-727.10] 我在这个频道节目里面
[727.10-729.10] 跟大家交流
[729.10-731.10] 给大家开掷
[731.10-733.10] 增长一些大家的知识
[733.10-735.10] 这是我的真正的目的
[735.10-737.10] 这也是这个频道存在的价值所在
[737.10-739.10] 所以我不着急
[739.10-741.10] 慢慢涨粉就慢慢涨粉吧
[741.10-743.10] 对不对
[743.10-745.10] 我就露露胸大机
[745.10-747.10] 我承诺在十万粉的时候
[747.10-749.10] 我一定亲自跳到后面抠图的那个大游泳池里面去
[749.10-751.10] 十万粉老王绝不食言
[751.10-753.10] 给大家秀一下我的肌肉
[753.10-755.10] 那么一万粉这一天的数据
[755.10-757.10] 我跟大家做个汇报
[757.10-759.10] 观看时长
[759.10-761.10] 11万小时
[761.10-763.10] 一个月
[763.10-765.10] 观看次数46.4万次
[765.10-767.10] 平均观看时长14分06秒
[767.10-769.10] 这是老王youtube studio的一些
[769.10-771.10] 数据
[771.10-773.10] 我跟大家做一个总结和汇报
[773.10-775.10] 大家也帮我长长眼
[775.10-777.10] 帮我渐渐易
[777.10-779.10] 什么东西可以加强
[779.10-781.10] 观看时间的重点时间
[781.10-783.10] 在加拿大时间
[783.10-785.10] 下午5点到凌晨4点
[785.10-787.10] 这是观看集中时间
[787.10-789.10] 也就是说
[789.10-791.10] 根据这个时间判断
[791.10-793.10] 我的大部分观众
[793.10-795.10] 60%以上的观众
[795.10-797.10] 是来自于中国大陆翻墙出来的
[797.10-799.10] 30%的观众是
[799.10-801.10] 北美洲的
[801.10-803.10] 本地观众
[803.10-805.10] 年龄
[805.10-807.10] 18岁以下
[807.10-809.10] 没有18岁到24岁
[809.10-811.10] 25岁到34岁
[811.10-813.10] 21.3%
[813.10-815.10] 35岁到44岁
[815.10-817.10] 33.5%
[817.10-819.10] 45岁到54岁
[819.10-821.10] 27.3%
[821.10-823.10] 55岁到64岁
[823.10-825.10] 11.1%
[825.10-827.10] 65岁以上2.2%
[827.10-831.34] 性别男性观众86.1%
[831.34-833.34] 女性观众18.3%
[833.34-835.34] 地理位置
[835.34-837.34] 美国21.6%
[837.34-839.34] 中国19.5%
[839.34-841.34] 香港12%
[841.34-847.74] 中国 Prisonies
[849.34-851.34] 逻辑院
[851.34-853.34] 中国MKO
[853.34-855.34] 非装�ей
[855.34-857.34] 美国
[857.34-861.34] 中国
[861.34-863.42] 中国
[863.42-865.02] 中国
[865.02-866.86] 中国
[866.86-867.34] 中国
[867.34-869.34] 中国
[869.34-871.18] 中国
[871.18-875.06] 然后我估计在1万到2万的观众人数的时候
[875.22-879.06] 直播人数我大概猜大概能在1000人左右
[879.34-881.62] 就是翟副主席的1%
[883.26-885.42] 翟副主席直播间里边大概能传1万人
[886.26-888.54] 我直播间里面差不多应该有1000人
[889.02-890.58] 如果能到1000人直播的话
[890.62-891.66] 那么我们就开启直播
[891.70-893.10] 因为直播会轻松一点
[893.42-894.50] 不用后期剪辑
[895.58-896.90] 我们先尝试一下
[897.18-897.98] 15分钟的直播
[897.98-898.82] 大家试一试
[899.02-901.06] 朗读观众来信的那一部分
[901.06-902.66] 就会变成直播时段
[903.46-905.14] 观众来信信箱又满了
[905.18-905.82] 谢谢你们
[906.18-907.54] 包括给我爆料
[907.58-909.74] 小红鸟的这些黑料的
[909.94-911.02] 我也收到了很多
[911.02-911.78] 大家继续来
[912.10-913.22] 有备无患
[913.22-914.26] 有备无患
[914.30-916.22] 要做好持久战的准备
[916.26-919.02] 咱们不能把他打击到一下子关了油管
[919.38-921.34] 但是咱们也不能让他舒服了
[921.38-922.86] 因为这种人你让他舒服了
[922.86-923.98] 他就会反弓倒钻
[923.98-926.22] 而且他会继续弄他电子牌
[926.22-928.10] 因为他完全没有意识到
[928.10-929.98] 自己骗人会有什么下场
[930.02-930.54] 他就觉得
[930.54-933.66] 不骗自己这一身武艺就浪费了
[934.58-936.66] 所以咱们要盯着他
[936.66-938.38] 一直摸他
[938.42-939.46] 摸他到
[939.50-941.54] 幡然毁物为止
[941.54-942.66] 如果不幡然毁物
[942.66-944.50] 就把它摸到18层地狱里面去
[945.94-947.66] 那么说到整牙
[948.30-949.34] 老王已经50岁了
[949.34-950.14] 不能再整了
[950.14-950.50] 为什么
[950.90-951.78] 牙缝就牙缝
[951.90-952.78] 我老婆都会挑
[952.78-953.46] 你们挑什么
[955.78-957.06] 如果是年轻的时候
[957.06-957.82] 整牙是对的
[957.82-960.10] 15岁以前孩子牙齿不整齐
[960.10-960.52] 一定要戴牙
[960.54-961.86] 牙套把它整齐了
[961.86-963.66] 所以人家老外的牙都特别好
[963.66-965.30] 因为人家从小就整齐
[965.30-967.06] 我们中国人毕竟是富一代
[967.06-968.18] 你想我小时候
[968.18-970.58] 连买个肉都要拿个票去排队去
[970.58-971.82] 我整他们什么牙
[971.98-973.58] 我有个中牙齿中缝的话
[973.58-975.38] 爸爸妈妈也不会当回事的
[975.38-978.50] 所以这正是我们中国人成长的痕迹
[978.50-979.78] 我跟这些老白男讲
[979.78-980.50] 我说
[980.90-982.70] 你看我阿甘正转了
[982.70-984.14] 阿甘打乒乓球
[984.14-985.86] 回美国的那一天
[985.86-987.26] 他跟美国的记者说
[987.26-988.18] 中国好穷
[988.18-990.34] 他们穷的意思是他们什么用
[990.54-991.46] 什么都没有
[991.46-993.14] Nothing
[993.54-994.50] 什么都没有
[994.50-995.98] 他不是说你有一个自行车
[995.98-996.70] 你有个汽车
[996.70-997.70] 它是什么都没有
[997.70-999.18] 而且每个人都什么都没有
[999.18-1000.78] 我们的父母那一代
[1000.82-1001.90] 就是我们出生的
[1001.90-1002.66] 70年代末
[1002.66-1003.74] 80年代初的时候
[1003.74-1005.02] 真的是什么都没有
[1005.10-1007.54] 家里边有一块上海牌手表
[1007.58-1009.42] 都已经是最大的财产了
[1010.06-1011.46] 和整什么牙
[1011.78-1012.74] 整不了牙
[1012.86-1015.06] 当我们到了四五十岁
[1015.10-1016.22] 有钱了以后
[1016.22-1018.10] 你这个时间已经错过了
[1018.10-1020.06] 你再整牙就会伤你的根
[1020.06-1021.46] 它就长不严了
[1021.46-1022.30] 长不好了
[1022.30-1024.34] 你咬东西都会使不上力
[1024.34-1027.18] 你包括贴片都会咬东西影响
[1027.18-1028.58] 而且到你70岁的时候
[1028.58-1029.54] 80岁的时候
[1029.58-1032.98] 你整牙的对牙根的创伤是很大的
[1033.02-1033.86] 所以我们就认了
[1035.46-1036.50] 历史的痕迹
[1036.74-1038.02] 富一代就是这样
[1038.30-1040.02] 这些老白男的爷爷
[1040.34-1041.86] 太爷爷也是这样
[1042.06-1043.06] 中凤也不整
[1043.10-1045.26] 泰森富一代他也是这样
[1045.38-1046.58] 所以anyway
[1046.62-1047.58] 没见过世面的人
[1047.58-1048.66] 才觉得这是个事
[1049.10-1050.02] 我无所谓
[1050.06-1051.66] 我没有偶像包袱
[1051.66-1052.98] 我他们就是师傅一代
[1052.98-1054.02] 就这么接地气
[1054.02-1054.90] 我就有大牙缝
[1054.90-1056.14] 怎么了牙缝男牙缝王
[1056.14-1056.46] 叫我
[1056.82-1058.46] 叫我老宅
[1058.46-1061.02] 小心我把张萌的事给你抖露出来
[1061.02-1062.74] 小心我抖了张萌
[1063.98-1064.98] 我可没有偶像包袱
[1064.98-1065.66] 我什么都说
[1066.42-1068.18] 无耻起来
[1068.22-1069.54] 我比你要无耻
[1070.30-1072.14] 要不怎么当你老板压得住你
[1073.86-1074.94] 你个骚小红苗
[1077.34-1082.43] 然后说几分钟干货
[1083.15-1088.63] 昨天我做了电子盘金融骗局的揭秘视频之后
[1089.27-1091.91] 有很多网友走上歧途
[1092.55-1094.43] 进行怀疑一切的
[1095.23-1096.19] 进化树发展
[1096.19-1097.67] 你点外进化树了
[1097.71-1099.07] 不要怀疑一切
[1099.55-1101.63] 如果你按照怀疑一切
[1101.63-1102.95] 所有的都是骗局
[1103.23-1104.59] 所有的都是骗局
[1104.59-1105.67] 是没有一个好人
[1105.67-1107.03] 你都要怀疑的话
[1107.03-1108.19] 那你别用钱了
[1109.19-1110.47] 纸币是不是叫纸币
[1111.35-1112.31] 你回到一
[1112.31-1113.63] 山顶动人时代
[1113.63-1115.07] 以物易物比较好
[1115.87-1118.59] 你自己去弄一个石刀
[1118.63-1121.27] 去换你们家邻居的一个野兔
[1121.31-1122.63] 这他妈是真的
[1123.19-1124.39] 除此之外
[1124.91-1126.63] 恐怕都是假的
[1126.83-1128.59] 因为人类的社会发展
[1128.63-1129.87] 金融的出现
[1129.87-1130.75] 资本的出现
[1130.75-1132.63] 是其中重要的一环
[1132.71-1135.07] 其异不亚于图腾的出现
[1135.07-1135.91] 宗教的出现
[1135.91-1137.15] 文字的出现一样
[1137.55-1140.07] 人类之所以能大群的聚在一起
[1140.11-1141.75] 打败尼安德特人
[1141.75-1142.27] 尼安德特人的出现是一件很重要的事情
[1142.27-1143.39] 尼安德特人更壮
[1143.43-1144.83] 更强
[1144.87-1147.23] 但是他聚集不了大群的人群
[1147.79-1148.91] 就是人类
[1148.91-1150.63] 现代人类的祖先
[1151.03-1153.63] 具有了语言能力和宗教能力
[1153.75-1155.43] 我们可以变夏花了
[1155.55-1156.63] 变什么夏花
[1156.87-1158.27] 为什么不怕狮子
[1158.27-1159.39] 敢去打狮子了
[1159.43-1160.59] 因为我们说
[1161.07-1163.23] 狮子是我们部落的图腾
[1163.27-1164.79] 狮神是我们的保护神
[1164.79-1166.43] 所以我们在水源边上
[1166.43-1167.79] 跟狮子去PK一下
[1167.79-1169.27] 我们是有神明护体的
[1169.27-1171.11] 所以大家就信了
[1171.11-1172.07] 就真敢去了
[1172.27-1174.11] 这是文明进化
[1174.11-1175.31] 重要一环
[1175.31-1176.31] 你不能不信
[1176.31-1177.19] 所有的虚的东西
[1177.19-1177.71] 你都不信
[1177.71-1178.43] 那还行
[1178.43-1181.35] 思想文化就是虚的东西
[1181.39-1183.19] 所以你这个东西要信的
[1183.23-1185.23] 你信它真的会存在
[1185.91-1187.23] 金融也是一样
[1187.55-1189.43] 我们能够凝聚在一起
[1189.59-1192.51] 我们能够把预期透支到今天
[1192.67-1194.23] 形成巨大的购买力
[1194.23-1195.31] 经济实力
[1195.35-1197.87] 摧枯拉朽的碾压落后文明
[1197.91-1199.23] 就是这个原因
[1199.23-1201.39] 所以我们要向先进看齐
[1201.39-1202.11] 不要否定
[1202.11-1202.87] 一切
[1203.79-1205.43] 什么电子盘是假的
[1205.47-1206.59] 我细说
[1206.59-1208.59] 就是翟山英那种SEC
[1208.59-1209.83] 云盒是假的
[1209.87-1212.15] 因为它根本没有任何数据支撑
[1212.19-1213.59] 它是在后边用电脑
[1213.59-1215.43] 用操盘手生成数据
[1215.43-1216.55] 这当然是假的
[1216.55-1218.99] 因为他看你买多了
[1218.99-1219.71] 他就做空
[1219.71-1220.51] 看你买空了
[1220.51-1221.47] 他就做多
[1221.51-1222.43] 你一定输
[1222.43-1224.03] 因为它是你对手盘
[1224.95-1227.11] 但是其实赌场都不是假的
[1227.15-1227.87] 为什么
[1227.91-1229.71] 因为赌场是有规矩的
[1229.75-1231.31] 翟山英这种SEC云盒
[1231.31-1231.95] 是不讲规矩的
[1231.95-1233.99] 它是人为控制的
[1233.99-1237.19] 赌场用概率大数原理
[1237.19-1239.35] 用随机理论去控制概率的时候
[1239.35-1241.07] 它就是可以去玩的
[1241.07-1242.59] 为什么赌场不怕人赢钱
[1242.59-1243.31] 就怕人不来
[1243.67-1247.15] 因为赌场它是严格的遵守概率论的
[1247.15-1249.87] 它只赢你概率多那么一点点
[1249.87-1252.03] 庄家50.5%
[1252.03-1253.95] 闲家49.5%
[1253.99-1254.87] 这是赢面
[1254.87-1256.27] 然后大家一起玩
[1256.27-1258.31] 庄家就赢你0.5%就够了
[1258.31-1260.51] 因为你只要来的人足够多
[1260.79-1261.91] 都是散碎音量的
[1261.95-1262.47] 来赌
[1262.75-1265.51] 概率和数学就会产生它的威力
[1265.55-1267.55] 庄家就一定会笑到最后
[1267.59-1269.19] 但是翟山英他们为什么是骗子
[1269.51-1271.63] 因为他们完全不讲这个规律
[1271.67-1273.59] 他们就想相当于玩百家乐的时候
[1273.59-1274.71] 把他偷看牌
[1274.75-1275.59] 庄家偷看牌
[1275.59-1277.31] 一看你闲家兜押
[1277.31-1277.95] 哼哼
[1277.99-1278.71] 兜押
[1279.15-1280.23] 我就给你反着来
[1280.23-1280.63] 哈哈
[1280.63-1281.39] 我赢了
[1281.43-1282.51] 这可不行
[1282.51-1284.47] 这就是不讲规矩的赌场
[1284.47-1285.31] 他一定会黄
[1285.31-1286.47] 大家就发现
[1286.51-1287.87] 我在这挣不了钱
[1287.91-1289.31] 这些王八蛋是骗子
[1289.31-1290.75] 我揭露的是这些人
[1290.79-1291.55] 我不揭露
[1291.55-1291.91] 那些
[1291.95-1294.63] 遵循大数原理
[1294.67-1299.35] 及严格按照概率论出牌的那些市场
[1299.51-1300.87] 譬如说赌场
[1300.87-1301.83] 我认为
[1301.87-1302.99] 澳门的赌场
[1303.03-1304.35] 拉斯维加斯的赌场
[1304.35-1305.15] 大牌赌场
[1305.15-1306.35] 绝对不会出现
[1306.35-1306.99] 你放心
[1306.99-1309.75] 因为他一次只让你赌5万10万
[1309.75-1311.39] 顶天了赌5万10万
[1311.43-1313.03] 他不让你一次赌5000万
[1313.03-1313.59] 一个亿
[1313.59-1314.07] 为什么
[1314.23-1315.83] 因为你一次赌一个亿的时候
[1315.87-1317.39] 49%对51%
[1317.39-1317.91] 这个概率
[1317.91-1319.31] 庄家真的有可能会输
[1319.35-1320.39] 你他妈拿走一个亿
[1320.39-1321.31] 陌生就走
[1321.35-1321.91] 庄家就玩不完
[1321.95-1322.63] 玩不下去了
[1322.63-1326.11] 所以庄家是要限定你散户的规模的
[1326.11-1327.67] 顶天5万10万
