[0.00-0.76] 大家好
[175.66-177.72] 他也是创业阶段
[177.72-179.64] 他可能是05年搞的公司吧
[179.64-182.24] 我看网上说他是05年搞的公司
[182.24-185.96] 那么他之前是在因为他学习成绩非常好
[185.96-187.26] 他英语也非常好
[187.26-189.12] 他之前是在摩根斯坦利的
[189.12-190.56] 那在摩根斯坦利大摩的话
[190.56-191.34] 那不用说了
[191.34-193.26] 那确实都是高手云集的地方
[193.26-194.34] 做的也都是大项目
[195.78-198.54] 他在摩根斯坦利扮演这么一个小弟的角色
[198.54-198.98] 所以呢
[198.98-202.26] 也是在前台的这么一个非常聪明
[202.26-204.24] 非常有灵气能力
[204.24-206.28] 也非常学习能力也非常强
[206.28-207.54] 处事能力也非常强的
[207.72-209.10] 一个人设
[209.10-211.14] 所以他学了很多的本事
[211.14-213.90] 他人生中的贵人叫田肃宁
[214.86-216.74] 田肃宁是网通的老大
[216.74-222.12] 田肃宁当时要去美国做美国上市境外上市
[222.12-231.30] 田肃宁的红筹结构搭建和整个的IPO过程是摩根斯坦利的包繁团队做包繁
[231.30-232.20] 在这个过程中呢
[232.20-235.44] 就跟田肃宁处出来了急升的关系
[235.44-235.92] 所以呢
[235.92-236.76] 这种东西呢
[236.76-237.60] 在我们投资银行
[237.72-243.78] 那里经常出现的就是你这个投行的特别机灵鬼的这么一个小伙子
[243.78-247.22] 那某个大老板在上市过程中相中你了
[247.22-251.58] 因为所有的老板都知道企业家的最终目标是变成资本家
[251.58-253.20] 用手赚钱叫挣
[253.20-254.96] 用钱赚钱叫赚
[254.96-255.86] 所以呢
[255.86-256.92] 进入资本市场之后
[256.92-258.18] 海阔天空
[258.18-260.96] 但是海阔平渝月天高任鸟飞的话
[260.96-266.16] 也需要有一个懂行的人做你的马仔和参谋
[266.16-267.70] 朱元璋身边有刘伯温
[267.72-270.18] 刘备身边要有诸葛亮
[270.18-278.40] 所以投资银行中的做得非常好的这样的年轻人往往会被企业家挖到自己公司里面做他的副总裁
[278.40-279.90] 或者是董事长助理
[279.90-280.74] 董事会秘书啊
[280.74-282.16] 这样的位置
[282.16-283.26] 所以呢
[283.26-283.86] 包繁呢
[283.86-285.18] 就是在田肃宁身边呢
[285.18-286.50] 就做了一段的副总
[286.50-288.00] 跟老田合作之后呢
[288.00-289.80] 他就通过老田的关系呢
[289.80-294.12] 就认识中国IT圈的几乎是所有的人脉
[294.12-296.28] 这为他日后给京东做融资啊
[296.28-297.54] 给当当
[297.54-298.06] 网啊
[298.06-300.12] 什么快递呀
[300.12-301.02] 滴滴呀
[301.02-303.30] 大家会发现他全是围绕IT业
[304.62-305.94] 就是因为这个原因
[305.94-306.76] 包括携程啊
[306.76-309.18] 他其实都是IT有关的
[309.18-317.10] 那么跟他入行的时候做的第一个服务的第一个老板田总是中国互联网界的教父是有直接关系的
[318.40-323.28] 包繁创业05年开始起家腾飞开始就是10年11年
[323.28-326.42] 我就已经做完了加拿大的移民走了
[326.42-327.30] 11年
[327.30-330.12] 做移民12年的时候
[330.12-333.66] 整个中国的经济形势还是在往上蓬勃发展的
[333.66-335.54] 习那时候刚刚接班
[335.54-338.46] 所有的人对习都是充满了期望
[338.46-340.68] 因为他有一个好父亲习仲勋
[340.68-349.92] 习仲勋的人缘和口碑以及在改革开放这个潮流中扮演的这么一个比较激进和比较开明的角色是深入人心的
[349.92-352.62] 所有的人都知道有其父必有其子
[352.62-357.00] 所有的人都怕博一波家的博三习近平
[357.00-359.58] 那大家是非常非常期待的
[359.58-363.84] 他带领中国在改革开放的路线上再走一程小高潮的
[365.18-368.18] 所以当时中国的国运到底是上还是下
[368.18-369.84] 我们都是要打一个问号
[369.84-374.22] 所以老王说老王在温哥华也心里没底落寞了几年
[374.22-377.22] 不是想今天这么游刃有余指点江山的
[377.22-379.08] 因为我也怕自己选错了
[379.08-380.28] 是不是走早了
[380.28-384.24] 有人说李嘉诚先生说不挣最后一块铜板
[384.24-385.86] 关键你设身处地的时候
[385.86-386.64] 你就不知道
[386.64-390.30] 对于你利益意味着究竟是人生的最后一个铜板
[390.30-392.28] 还是他妈的你这个鱼头
[392.28-395.28] 你刚刚吃完鱼身鱼尾还没出现呢
[395.28-398.42] 你您吃完鱼沉鱼头高高兴兴走了
[398.42-399.18] 不知道的
[399.18-400.92] 因为只有过来了
[400.92-403.44] 你事后诸葛亮马后炮的时候才牛逼
[403.44-405.00] 我早就想到了
[405.00-409.98] 我们这个频道主打一个真实是实际上从一二年到一七年
[409.98-412.14] 这五年老王心里边也没想到
[412.14-413.46] 真正老王踏实了
[413.46-414.48] 开始踏实了
[414.48-415.60] 那是从一七年
[415.60-416.62] 一八年之后
[416.64-418.92] 习近平坐稳江山
[418.92-420.12] 栗战书开始胡闹
[421.30-424.74] 习家开始露出这个獠牙之后
[424.74-426.96] 我们才知道我们的选择是对的
[428.04-428.94] 那包凡呢
[428.94-431.70] 怎么包凡发家呢
[431.70-434.04] 是包凡真正发家呢
[434.04-436.08] 是10年发家之后呢
[436.08-436.92] 他没走啊
[436.92-442.04] 所以他10年到15年是他人生的特别高峰的五年
[442.04-443.60] 绝对的高光时刻
[443.60-445.82] 那真的是赚的盆满钵满
[445.82-446.28] 可以说
[446.64-449.88] 这本草草官章一年一二年官章之后
[449.88-454.98] 人家跟我们基本上是同步的华星字本
[454.98-457.98] 在10年以后就是流光一彩
[457.98-461.52] 变成了中国投行界的一哥
[461.52-462.78] 那你想一五年以前
[462.78-465.12] 我在温哥华的天天挠墙皮呀
[465.12-468.30] 那就是觉得自己简直是错过了
[468.30-470.10] 不是错过了最后一个铜板
[470.10-472.74] 是他们错过了整个银行
[472.74-474.26] 我是去抢银行
[474.26-478.52] 结果把银行门口停车场的那个密表里边的硬币抢走了
[478.52-480.82] 然后高高兴兴跑了的人
[480.82-481.38] 所以呢
[481.38-483.62] 就一五年之后呢
[483.62-485.18] 包凡也移民了
[485.18-487.02] 包凡和他老婆姓许吧
[487.02-488.12] 他老婆和他呢
[488.12-489.46] 就在温哥华
[489.46-492.46] 他们也选温哥华作为他们落脚地
[492.46-494.18] 欧老板来了温哥华之后呢
[494.18-501.20] 也进入了一个相妻教子的这样一个人生后半场的这样一个阶段
[501.20-503.80] 所以这个是一个走得非常漂亮的棋局
[504.26-506.54] 可以说比我漂亮的多
[506.54-510.38] 因为我没有抓住那个一二年到一五年
[510.38-514.40] 这一波这一波最后的疯狂也是最大的高潮
[514.40-518.54] 那让包老板就是完美的抓住了这五年移民之后呢
[518.54-523.58] 也开始在他的华星推所谓的这个去包繁化
[523.58-526.94] 就是希望华星资本的没有包繁也能正常运作
[527.94-529.52] 那这一切看起来都很正常
[529.52-533.30] 直到被一次意外彻底打断了包老板的人生轨迹
[533.30-534.20] 这次意外
[534.20-541.52] 是我们所有的温哥华大老板都经历的都亲身经历不久前的一次一次事变
[541.52-543.70] 那就是孟晚舟被捕
[543.70-549.92] 所以今天我们点睛之笔就是包繁在某种程度上是亡于孟晚舟的
[549.92-552.70] 可以说导火索是亡于孟晚舟
[552.70-555.98] 包繁的人生本来是一个完美的抛物线
[555.98-556.76] 结果呢
[556.76-560.18] 孟晚舟就中间就把他击落了
[560.18-560.72] 所以呢
[560.72-564.18] 孟晚舟在包繁的人生里扮演了这么一个关键人物
[564.20-565.10] 关键一环的角色
[566.58-568.28] 跟孟晚舟有什么关系呢
[568.28-574.46] 因为当年孟晚舟飞到加拿大的时候过境加拿大去墨西哥开会
[574.46-579.32] 突然被皇家骑警在温哥华机场逮捕
[579.32-581.20] 这个新闻是爆炸性的
[581.20-585.16] 因为那个时候中美之间并没有撕破脸
[585.16-587.60] 中加之间也没有撕破脸
[587.60-589.48] 川普在跟中国搞贸易战
[589.48-593.24] 大家以为川普也就是闹一闹撒撒娇
[593.24-594.18] 目标也不过
[594.20-596.18] 就是deo一下人生啊
[596.18-597.02] 做一个deo
[598.28-599.42] 做个交易
[599.42-600.50] 没想到呢
[600.50-601.82] 加拿大这边来真的
[603.14-603.68] 所以呢
[603.68-605.60] 所有人都非常意外
[605.60-606.98] 当时我还记得特别清楚
[606.98-610.22] 那天这边的红通第一人
[610.22-611.12] 我就不点他名了
[611.12-613.04] 陈老板特别高兴
[613.04-614.54] 跟我在一起吃饭
[614.54-616.16] 碰杯干杯
[616.16-618.32] 他这么多年从来没有没有那么高兴
[618.32-622.40] 因为他这么多年一直受党国的打压
[622.40-623.62] 跑出来这么多年之后
[623.62-623.64] 屁啊!
[623.64-623.78] 屁啊!
[623.78-623.88] 屁啊!
[623.88-624.02] 屁啊!
[624.02-624.12] 屁啊!
[624.12-624.18] 屁啊!
[624.20-627.02] 屁大点事给他弄到了红通第一人
[627.02-628.88] 他简直是压力山大
[628.88-629.90] 所以一直很消沉
[629.90-630.32] 很低调
[630.32-631.76] 那天高兴坏了
[631.76-635.84] 原话是没想到加拿大这个老羊尾忽然雄起了
[635.84-637.34] 来干一杯
[637.34-640.58] 世界将往另一个方向发展
[640.58-642.62] 陈老板看得非常准
[642.62-643.46] 非常远
[644.72-646.82] 你想这都是多少年以前
[646.82-648.14] 四五年以前的事吧
[648.14-649.52] 人当时就看到了这一点
[651.50-653.88] 孟晚舟被捉住以后
[653.88-655.98] 被投入了温哥华的看守所
[657.14-660.84] 那个时候他还没有那个漂亮的电子手环啊
[660.84-664.60] 电子脚环还不能出来啪啪走
[664.60-668.46] 因为他需要交保释金完成一个保释的程序
[668.46-669.64] 一对从无嘛
[669.64-672.84] 是任何一个嫌疑犯都有权利被保释
[672.84-674.10] 但是法官呢
[674.10-679.68] BC这边的法官给孟晚舟开了一个法官脑子里的天价
[679.68-681.36] 一千万加元保释金
[682.74-683.70] 注意这一千万加元
[683.70-685.80] 不能是孟晚舟付
[685.80-687.84] 也不能是孟晚舟的亲戚
[687.84-690.84] 就是他身边的这些人付是无效的
[690.84-692.40] 这是法律严肃所在
[692.40-694.32] 因为你本身就是亿万富翁
[694.32-696.96] 你那么一千万美金或者一千万加币
[696.96-698.88] 你自己付了怎么办
[698.88-702.18] 必须是孟晚舟认识的朋友
[702.18-702.72] 而且呢
[702.72-707.68] 这个朋友又不能跟他有经济上的往来和血缘上的关系
[707.68-711.30] 还必须有加拿大的永久居民身份
[711.30-713.46] 就是枫叶卡或公民身份
[713.70-716.88] 还能向孟晚舟案支付保释保释金
[717.96-723.24] 当时我还是温哥华北京理工大学校友会的会长
[723.24-727.50] 就有些人通过温哥华校友会找到我说
[727.50-727.92] 王总
[727.92-732.18] 你能不能给孟晚舟出他的保释金做他的保释人
[732.18-733.80] 我说不行
[733.80-734.82] 为什么
[734.82-737.22] 因为我不认识孟晚舟
[737.22-739.08] 我作为一个加拿大的公民
[739.08-743.46] 我必须在加拿大的法律赋予我的权力面前保证我的诚实
[743.70-745.74] 这样我才对得起加拿大给我的权力
[745.74-748.50] 我不能撒谎保释协议上
[748.50-751.14] 我要保证我认识孟晚舟
[751.14-753.30] 并且我保证孟晚舟是个诚信的人
[753.30-756.78] 他不会在保释期内跑回中国
[756.78-758.34] 那么作为一个加拿大公民
[758.34-758.82] 第一
[758.82-759.90] 我不认识孟晚舟
[759.90-760.98] 我不想撒谎
[760.98-761.40] 第二
[761.40-764.58] 我更不了解孟晚舟的人性和人品
[764.58-765.12] 第三
[765.12-768.84] 我不知道孟晚舟是否会跑回中国
[768.84-769.98] 他只要上了游艇
[769.98-771.96] 开出二十海里找一个远洋渔船远航后轮一上去
[771.96-775.08] 谁能找得回来他
[775.08-777.24] 然后我们就在新闻中看到了
[778.22-784.68] 两个神秘的中国富豪为孟晚舟支付了一千万加元的保释金
[784.68-787.02] 其中一个五百万就是包含负的
[787.02-788.04] 另一个是谁
[788.04-789.78] 我今天不点名
[789.78-790.80] 我也知道
[790.80-791.46] 但是呢
[791.46-795.20] 我认为这两位从人品上来说
[795.20-796.02] 我看不起他们
[796.98-801.00] 因为他们在这里边表现出了强烈的投机性
[801.00-801.96] 和马基雅维利
[801.96-803.10] 属性
[803.10-805.44] 我不相信他们俩认识孟晚舟
[805.44-810.82] 他们俩只不过是想在这个过程中博取新的政治资源
[810.82-812.78] 因为孟晚舟和华为的背景
[812.78-814.56] 我们都知道从第一天起
[814.56-816.42] 他也不是任正非的华为
[816.42-818.04] 他是军方背景的
[818.04-819.06] 而且是安全背景
[819.06-821.16] 他在习氏王朝之后
[821.16-822.82] 真正的老板是白宇
[822.82-823.86] 习家的
[823.86-826.86] 如果当时救了孟晚舟一命
[826.86-828.52] 可以说是雪中送炭
[828.52-829.44] 毫无疑问
[829.44-831.30] 你能博取孟晚舟的
[831.30-831.94] 充分的
[831.96-833.76] 感恩和信任
[833.76-835.50] 孟晚舟一定会投桃报李
[835.50-836.22] 对你进行
[836.22-838.08] 为了对你进行补偿和报答
[838.08-840.06] 所以老王一再通过我的频道
[840.06-840.98] 告诫大家
[840.98-842.52] 大家一定要守正
[842.52-843.90] 一定要做好人
[843.90-844.80] 不能撒谎
[844.80-846.90] 不能耍小聪明
[846.90-847.86] 不能做坏事
[847.86-849.54] 不能做昧良心的事
[849.54-853.22] 真的是我的亲身经历所感所言
[854.48-855.46] 你设想
[855.46-859.80] 如果当时我真的替孟晚舟付了另外五百万
[859.80-861.54] 我今天还能坐在这儿
[861.54-863.58] 给大家讲故事吗
[863.58-866.18] 我怎么可能全身而退呢
[866.18-868.20] 我做我做正确的事情
[868.20-869.40] 做诚实的事情
[869.40-870.06] 事实证明
[871.38-872.64] 上帝给了我回报
[873.78-876.96] 而上帝也给了包凡回报
[876.96-879.00] 包凡之所以打了鸡血
[879.00-880.42] 回去再次创业
[880.42-884.76] 跟孟晚舟对他的报答和承诺是有直接的关系的
[884.76-886.08] 因为孟晚舟的老板
[886.08-887.16] 孟晚舟的大哥
[887.16-888.78] 那是皇上家的人
[889.82-891.00] 所以
[891.00-893.76] 老包回去攀上皇上这个大树
[893.76-895.56] 而且老包是个上海人
[895.56-896.16] 是个商人
[896.16-898.00] 他没有任何的政治属性
[898.00-899.46] 没有什么政治倾向
[899.46-900.72] 有人说他是江家的
[900.72-902.50] 有人说是王岐山一派胡言
[902.50-907.32] 他不是包凡真的是一个互联网的投资银行企业家
[907.32-910.44] 也许跟各个权贵人家都打过交道
[910.44-912.72] 但是跟所有的人都打交道的意思
[912.72-914.94] 就是他跟所有的人都不是一家
[914.94-917.82] 所以包凡攀上了圣上的大腿之后
[917.82-919.68] 他就充满了信心
[919.68-920.98] 打了鸡血回去
[921.00-922.50] 回去了
[922.50-927.24] 本身人家是个人设是个没有政治野心
[927.24-932.58] 只想把投资银行和金融资本好好干起来的这么一个人
[932.58-934.56] 那应该理论上来说
[934.56-937.32] 是不是应该是圣上家族需要的
[937.32-939.72] 觉得文武艺祸犯帝王家吗
[939.72-941.44] 所有的人都是这么想的吧
[941.44-943.74] 我觉得包老包老板也是这么想的
[943.74-945.42] 包老板媳妇可能也是这么想的
[945.42-946.74] 所以他媳妇才让他回去
[948.34-950.58] 但是事实证明他想错了
[951.00-953.94] 一个扒杆子扯不着的事都能把他给弄进去
[953.94-954.90] 为什么
[954.90-958.26] 因为圣上家族要对中国的资本市场
[958.26-962.34] 要对中国的金融市场进行全面的封杀整理
[962.34-963.72] 现在清晰的指向
[963.72-967.76] 圣上要把整个中国引入战时体制
[967.76-973.74] 那么战时体制的中国计划经济的中国没有资本家和所谓的投资银行的位置
[973.74-976.32] 你包老板在未来三十年的中国
[976.32-980.88] 你就相当于一九五零年的上海股票交易所的经纪人红马家
[980.88-982.62] 你必死无疑
[982.62-984.78] 你就再也没有政治野心
[984.78-987.68] 再没有政治抱负秋天了
[987.70-990.72] 你在这个农田里拨一拨下一粒种子
[990.72-993.06] 你这粒种子都注定夭折
[993.06-997.08] 说是东工行当年那个丛林丛总出事
[997.08-998.76] 把他给咬出来了
[998.76-1000.98] 一七年带了一笔两亿美金贷款
[1000.98-1004.76] 而且按时的连本带息还上了一七年出事
[1004.76-1007.04] 二三年这都多少年了
[1007.04-1008.30] 六年了
[1008.30-1010.24] 还都还了五年了
[1010.24-1010.58] 连本
[1010.58-1013.70] 带息还还完不构成任何的损失
[1013.70-1017.34] 只是因为在这个过程中没走规范流程
[1017.34-1019.32] 从总拿了他的佣金之后
[1019.32-1021.80] 又在他那挂了高管的职位
[1021.80-1023.70] 从工行系统离开
[1023.70-1026.76] 就这点事就把包房抓起来
[1026.76-1031.34] 那你想想孟晚舟真的在里面起到了什么正面的作用吗
[1031.34-1034.76] 即使捞的出来是不是也要把钱都交了
[1034.76-1035.78] 人才能出来啊
[1037.16-1039.26] 几十年的积累
[1039.26-1040.58] 不让他吐个干干净净
[1040.58-1042.74] 他是出不来了
[1042.74-1044.90] 他能出来和他不能出来
[1044.90-1047.62] 五十对五十是老王的判断
[1047.62-1051.50] Fifty他被公开宣判洗钱罪也好
[1051.50-1052.44] 行贿罪也好
[1052.44-1054.66] 反正总之是给他找一个罪名
[1054.66-1056.70] 判了十年以上
[1056.70-1058.40] 这是Fifty
[1058.40-1061.04] 还有Fifty就是配合调查结束
[1061.04-1062.18] 再过个一年半载
[1062.18-1063.32] 把他放出来
[1063.32-1064.46] 他像个没事人一样
[1064.46-1066.86] 就跟王健林被抓起来半年
[1066.86-1069.08] 然后放出来一样瘦了一大圈
[1069.08-1070.46] 包盘本身就瘦了
[1070.58-1071.54] Fifty这回就更瘦了
[1071.54-1073.40] 行销鼓励把他放出来
[1073.40-1074.96] 然后毫无疑问
[1074.96-1077.60] 他的钱就全被咔嚓走了
[1077.60-1081.32] 这就是包老板折戟沉沙的过程也没多复杂
[1081.32-1082.90] 那么从这个过程中
[1082.90-1085.68] 就孟晚舟看似是神来一笔
[1085.68-1088.04] 抓住命运之神给他的机会
[1088.04-1089.96] 但实则就是牛逼吹大了
[1089.96-1091.34] 牛逼吹肿了
[1091.34-1092.42] 看错了形式
[1092.42-1093.98] 整个全搭进去
[1093.98-1097.90] 那么大家说为什么中国的企业家那么难与割舍
[1097.90-1100.42] 跟故国的关系都赚了那么多钱了
[1100.58-1101.52] 赚种了
[1101.52-1105.62] 难道不够你在国外安安生生的活后半辈子吗
[1105.62-1109.82] 为什么还要天天琢磨着换着花样想着回去
[1109.82-1113.46] 抓紧一切机会给自己打到回去的山板呢
[1113.46-1118.04] 杜月生说过人世间最难吃的就是三碗面
[1118.04-1121.36] 情面场面体面
[1121.36-1124.96] 今天的企业家移民出来也有三碗面
[1124.96-1128.84] 这三碗面是三根锁在心头的铁链
[1128.84-1130.28] 第一根铁链
[1130.28-1131.96] 就是生意
[1131.96-1136.82] 这生意哪一个都做了二三十年都是白手起家
[1136.82-1143.04] 灌注了自己的青春灵魂才华积累了几十个亿几百个亿的财富
[1143.04-1145.36] 而且在经济形势正常的年代
[1145.38-1146.72] 这些买卖
[1146.72-1152.36] 这些生意还是真正都在运作的机会是层次不穷
[1152.36-1154.34] 犹如同万花筒一般
[1154.34-1155.60] 每一天都在旋转
[1155.60-1158.04] 每一天都在发生新的机会
[1158.04-1159.62] 这钱摆在桌面上
[1159.62-1160.26] 你不去转
[1160.28-1161.54] 干嘛
[1161.54-1163.88] 这就是生意的新锁铁链
[1165.40-1171.38] 第二个铁链就是弟兄的江湖义气的新锁铁链
[1171.38-1173.96] 每一个企业家像我也是这样
[1173.96-1176.48] 身边都有十几号几十号
[1176.48-1178.90] 跟跟你打拼多年的兄弟姐妹
[1179.90-1185.12] 这些哥们姐妹跟你白手起家江东铁技
[1185.12-1186.60] 如今你挣足了钱
[1186.60-1190.16] 你说你潇洒回首去加拿大养老
[1190.16-1192.62] 人家未必挣足了钱
[1192.62-1194.72] 你的财务总监挣足了钱了吗
[1194.72-1196.94] 你的办公室主任挣足了钱了吗
[1196.94-1201.26] 甚至跟跟了你五年十年的司机整天风餐露醋的
[1201.26-1203.30] 早晨起来七八点钟就起床
[1203.30-1204.68] 上你家门口等着你
[1204.68-1206.90] 晚上十一二点才送你回家
[1206.90-1208.10] 人家自己回家睡觉
[1208.10-1210.74] 第二天又来司机挣得了钱吗
[1210.74-1211.92] 挣得足钱吗
[1211.92-1214.82] 你走司机后半辈子怎么办
[1214.82-1216.82] 这些保镖怎么办
[1216.82-1220.78] 这些兄弟姐妹们都是你放不下的人情债
[1222.46-1227.98] 你要走他们一个个的哭的真的是如丧家之犬
[1227.98-1229.12] 不愿意让你走
[1229.12-1231.52] 你想到这一点你也舍不得走
[1231.52-1233.80] 你甚至想把他们都带出来
[1233.80-1235.36] 但是你能做得到吗
[1235.36-1238.84] 你一家一民都要断这么大的舍离
[1238.84-1241.00] 你把几十家人都带出来
[1241.00-1241.84] 这现实吗
[1241.84-1242.68] 这是第二道铁链
[1243.68-1246.70] 第三道铁链就是债务上的铁链
[1246.82-1249.10] 什么叫债务呢
[1249.10-1250.48] 所有的中国企业
[1250.48-1252.10] 无论是资本运作的企业
[1252.10-1253.54] 就是资本类的企业
[1253.54-1255.28] 还是实业类的企业
[1255.28-1259.14] 它都是有那句老话叫泥鳅钻豆腐
[1259.14-1261.04] 泥鳅有多粗多大
[1261.04-1264.52] 泥鳅掉下来豆腐里边留的那个洞就有多粗多大
[1264.52-1268.84] 所有的企业在它扩张期和上升期都是负债运行的
[1268.84-1270.28] 即使是资本企业
[1270.28-1272.86] 也有些名股实债的潜在负债
[1273.92-1276.14] 你今天说不玩就不玩了
[1276.14-1276.78] 没了你
[1276.78-1277.80] 没了包繁
[1277.80-1280.44] 这个资本公司是运作不下去的
[1280.44-1282.42] 所谓去包繁是扯淡
[1283.80-1285.06] 那你不干了
[1285.06-1287.66] 这些项目都会胎死腹中
[1287.66-1291.60] 所有的本来可以画得非常圆的好端端的项目
[1291.60-1294.36] 全都会把投资人盖在里面
[1294.36-1295.40] 你想想这些投资人
[1295.40-1296.02] 这些金主
[1296.02-1299.94] 这些信任你多年的朋友会不会变成你的敌人
[1299.94-1300.78] 会不会怨你
[1300.78-1302.06] 会不会恨你
[1302.06-1304.82] 你就是把他们的本金还了
[1304.82-1306.56] 他们还是会恨你
[1306.56-1306.78] 因为
[1306.78-1309.54] 因为他们预期的两倍三倍的收益没拿到
[1309.54-1310.74] 投资人还好
[1310.74-1312.30] 毕竟是钱的事
[1312.30-1315.54] 还有好多是在里面倾注了感情和信任的
[1315.54-1316.86] 你得罪不起的人
[1317.90-1321.54] 官员老大哥红色家族
[1321.54-1323.64] 这些人你说走就走
[1323.64-1325.28] 人家答应吗
[1325.28-1327.18] 你的保护伞答应吗
[1327.18-1332.10] 保护伞一转眼就可以变成雷霆之机
[1332.10-1335.64] 雷震子的那个大锤子把你击的粉碎
[1335.64-1339.90] 所以这就是潜在债务上的第三道铁链
[1339.90-1345.40] 这三道铁链能够摆脱你不掉层皮是不可能的
[1345.40-1349.32] 这种掉皮不是肉体上的掉皮是精神上掉层皮
[1349.32-1350.94] 你不进行蜕变是不可能的
[1352.44-1355.32] 显然包凡这个蜕变完成的不好
[1355.32-1358.92] 没及格命运就给了他这么大的惩罚
[1358.92-1361.44] 他目前的状态非常之惨
[1361.44-1362.34] 非常之惨
[1363.60-1363.86] 哎
[1363.86-1364.82] 比肖老板当年是有过之而不及的
[1364.82-1364.84] 比肖老板当年是有过之而不及的惩罚
[1364.84-1365.06] 比肖老板当年是有过之而不及的惩罚
[1365.06-1366.14] 比肖老板当年是有过之而不及的惩罚
[1366.14-1367.40] 而无不及
[1367.40-1369.80] 代价何其之大
[1369.80-1372.62] 包凡可以说是人中龙凤
[1372.62-1374.90] 他对于资本市场的了解
[1374.90-1376.88] 对资本运作的暗熟
[1376.88-1379.34] 对于企业家心理的掌控
[1379.34-1383.62] 可以说境界远在我之上
[1383.62-1385.78] 如今落得这么个下场
[1385.78-1387.52] 我也是兔死虎
[1387.52-1388.60] 我不是兔死虎呗
[1388.60-1389.34] 因为我也不是虎
[1389.34-1390.52] 就是同类相悲吧
[1391.52-1392.58] 一个兔死了
[1392.58-1393.52] 另一只兔在这
[1393.52-1394.12] 哈哈哈哈
[1394.12-1394.84] 吓得够呛
[1394.84-1396.34] 幸亏我没去吃那根草
[1396.40-1397.90] 就这种心态
[1397.90-1402.82] 那为什么老包通过孟晚舟跟圣上建立这么紧
[1402.82-1405.10] 这么紧密的纽带关系
[1405.10-1407.68] 他还不为圣上所重用呢
