[0.14-11.42] 好
[269.69-270.55] 所以我认为
[270.57-272.69] 所以你这一辈子没碰过
[272.69-274.07] 这肯定是不对的
[274.07-276.23] 无论如何你是吃亏了的
[276.23-280.67] 所以那么我们要告诉大家的是
[280.67-283.27] 可惜主要责任在男方
[283.27-285.03] 女性没有达到性高超
[285.03-286.51] 主要责任是男方
[286.51-289.51] 如果把性爱的女性高超
[289.51-291.09] 比如说挖出金矿来的话
[291.09-292.71] 那你矿工不给力
[292.71-294.31] 你没挖到位
[294.31-297.35] 那你说是不是主要责任在金矿
[297.35-299.23] 金矿埋得太深了
[299.23-300.55] 那你换个矿工
[300.57-303.11] 所以换个会挖的
[303.11-307.19] 我今天要教给大家是真知灼见
[307.19-308.31] 这是真正的东西
[308.31-311.23] 就是怎么学到挖矿的技巧
[311.23-313.51] 30岁的一个教友分享过来的
[313.51-314.23] 非常好
[314.23-316.53] 他分别从男性和女性两个视角
[316.53-317.85] 来分析这个问题
[317.85-319.29] 这我之前也没见过
[319.29-322.07] 因为我也是只是从男性视角来讲
[322.07-324.63] 包括我们中国古典的皇帝内经
[324.63-325.31] 素女经
[325.31-327.11] 他也是只说男性的视角
[327.11-329.63] 包括日本的A篇
[329.63-330.83] 印度的爱经
[330.83-334.79] 所有的有关于性知识的这种点
[334.79-337.37] 所有的点击都是男性视角
[337.37-338.67] 都是男的写的
[338.67-341.47] 我第一次见到从女性视角分析
[341.47-343.41] 还真就是我们教友的首创
[343.41-345.57] 再次给大家分享出来
[345.57-347.85] 我上次分享了男性的部分之后
[347.85-350.03] 女性部分我就戛然而止了
[350.03-353.39] 今天我就跟大家讲
[353.39-355.07] 好了
[355.07-359.13] 我先预热一下上次的
[359.13-359.61] 因为毕竟是男性视角
[359.63-360.99] 毕竟有些人是第一次听
[360.99-362.49] 今天我们就是非常干
[362.49-363.35] 讲完干货
[363.35-364.79] 今天星期天加班
[364.79-366.51] 咱们就散场
[366.51-369.03] 争取控制在一个小时之内
[369.03-372.95] 我们这个教友经常在这跟我们互动
[372.95-375.23] 他就是男性叫大镖客
[375.23-376.41] 非镖的镖
[376.41-377.91] 大镖客经常在这互动
[377.91-379.45] 聊天室里大家都见到过
[379.45-382.89] 男性大镖客30多岁了
[382.89-383.83] 今年30多岁
[383.83-387.87] 他看到了我们20多岁的小教友
[387.87-388.89] 马来西亚小教友
[388.89-389.61] 给我们写信息
[389.63-392.75] 说他第一次让女性到性高潮了
[392.75-396.99] 根据我们的男性教的这些男女性爱的这些知识点
[396.99-399.05] 然后加以融会贯通
[399.05-399.83] 终于达到了
[399.83-402.05] 然后高高兴兴的写了一封信
[402.05-404.67] 我也给他全文念出来了
[404.67-405.85] 包括他的email地址
[405.85-406.85] 我给大家留下了
[406.85-408.65] 非常真实
[408.65-411.59] 之前为什么让女生达不到性高潮
[411.59-414.85] 为什么越弄自己越早泄
[414.85-416.41] 甚至出现了阳尾
[416.41-418.67] 前兆20多岁
[418.67-419.29] 大纲毕业
[419.63-421.59] 甚至好像还没大学毕业
[421.59-422.41] 才上大三
[422.41-424.65] 你说这不是身体就完了吗
[424.65-425.91] 心理也完了吗
[425.91-429.49] 他终于通过我们男性教的性爱教学
[429.49-431.83] 突破了自己的内心的心魔
[431.83-435.27] 达到了真正男性的高度
[435.27-438.81] 对于女性的服务意识到位了
[438.81-441.71] 那么这个哥们就赶紧写
[441.71-442.89] 他也认为
[442.89-448.07] 他说他做了30多岁的男人
[448.07-449.61] 在他最近十几年
[449.63-452.19] 探索女性性高潮的心得
[452.19-453.43] 是颇有的
[453.43-456.21] 他也走了一个完整的过程
[456.21-457.73] 所有男性都会走这个完整的过程
[457.73-458.77] 就是开始早泄
[458.77-459.49] 无能
[459.49-462.45] 然后就开始借助什么A篇
[462.45-463.65] 然后修行
[463.65-466.89] 然后最后还是不行
[466.89-469.63] 然后最后有一次偶尔达到了
[469.63-471.41] 然后就开始摸索
[471.41-472.37] 然后换女伴
[472.37-473.11] 再摸索
[473.11-473.79] 再换女伴
[473.79-477.33] 最后达到了天人和一屋
[477.33-477.81] 我两望
[477.81-478.53] 所有的女人
[478.53-479.61] 无论她认识还是不认识的女人
[479.63-481.27] 到手里全部摆平
[481.27-482.25] 这个阶段
[482.25-484.97] 这个就是她最近的状态
[484.97-489.03] 而且她也通过她的嘴
[489.03-489.69] 她的视角
[489.69-491.09] 给我证明
[491.09-493.37] 性爱时间在一个小时以上
[493.37-495.01] 女性在高潮的时候
[495.01-495.93] 口眼歪斜
[495.93-497.77] 然后胡言乱语
[497.77-498.63] 银瓷浪语
[498.63-501.35] 然后浑身大汗抽搐
[501.35-502.77] 都是真实的
[502.77-503.53] 这个是真的
[503.53-505.33] 不是我在夸张
[505.33-507.21] 我说一个小时性爱
[507.21-507.79] 然后她说
[507.79-509.43] 一个小时不就磨坏了吗
[509.43-510.99] 不都干出
[510.99-511.97] 就是干
[511.97-513.19] 拉出火来了吗
[513.19-515.01] 就是磨短了
[515.01-515.63] 磨断了吗
[515.63-517.21] 就是给女的弄出血来
[517.21-518.67] 这就是说这话的人
[518.67-521.25] 就是都是不合格的男人
[521.25-523.13] 只要说出这句话
[523.13-524.27] 说干一个小时以上
[524.27-525.79] 那就干出血来了
[525.79-528.17] 这个全是不合格的男人
[528.17-528.83] 为什么呢
[528.83-531.67] 昨天这个教友给我们总结
[531.67-535.27] 就是男性的这种性能力
[535.27-538.21] 为什么会犯错误
[538.21-540.85] 就是因为我们从小到大
[540.85-542.13] 看的那些A片
[542.13-543.53] 都是看着A片
[543.53-544.41] 打手枪
[544.41-545.09] 看着A片
[545.09-546.21] 学姿势
[546.21-546.67] 然后
[546.67-548.11] 就是
[548.11-549.05] 针刀
[549.05-549.69] 上针
[549.69-551.35] 上针章的时候
[551.35-552.45] 全错了
[552.45-553.53] 为什么呢
[553.53-554.49] 因为A片
[554.49-556.23] 是假的
[556.23-558.43] A片是让你
[558.43-559.93] 小男孩也好
[559.93-560.67] 宅男也好
[560.67-561.47] 打手枪的时候
[561.47-561.97] 拿纸巾
[561.97-562.91] 打手枪的时候用的
[562.91-564.91] 所以他上来之后
[564.91-565.13] 他就
[565.13-566.73] 基本上就是
[566.73-568.07] 各种姿势
[568.07-568.83] 变换之后
[568.83-571.11] 都是大规模的动作
[571.11-572.81] A片的动作幅度都很大
[572.81-575.91] 我话讲到这儿
[575.91-577.07] 就是所有的男性
[577.07-579.11] 都走进了误区
[579.11-582.69] 就是所有的A片里边的动作幅度
[582.69-583.87] 他认为是一开始
[583.87-585.35] 就应该是那种幅度
[585.35-585.85] 错了
[585.85-588.11] A片是剪辑copy paste的
[588.11-591.73] 真正的女性的性高潮的过程
[591.73-595.23] 如果是现场直播成一个A片的话
[595.23-596.81] 比如说
[596.81-598.05] 有人开玩笑
[598.07-598.83] 说大老王
[598.83-603.07] 20万粉你来直播
[603.07-605.19] 我说我肯定不会干这事
[605.19-607.43] 但是我跟谁干
[607.43-609.01] 我跟张教授肯定
[609.01-610.51] 我不愿意
[610.51-610.97] 对不对
[610.97-612.55] 漂亮小少妇
[612.55-613.91] 张教授肯定不愿意
[613.91-615.23] 所以这事
[615.23-617.15] 我就描述一下
[617.15-618.31] 假装我干了
[618.31-619.93] 跟你们直播了
[619.93-624.87] 你们会发现在一小时中的前15分钟左右
[624.87-626.33] 特别无聊
[626.33-627.61] 动作
[628.07-628.83] 幅度非常小
[628.83-630.51] 以至于在镜头
[630.51-632.19] 除非拉近了
[632.19-635.71] 就是镜头对着交战地点
[635.71-636.99] 进镜头
[636.99-638.43] 你如果拉远了
[638.43-639.59] 远镜头的话
[639.59-641.95] 你就看两个人的动作幅度很小
[641.95-643.31] 几乎是蠕动
[643.31-644.19] 或者畏动
[644.19-646.43] 或者是抖动
[646.43-648.11] 或者是轻轻摆动
[648.11-650.43] 这才是真实的
[650.43-651.27] 这不好看
[651.27-653.03] 这一点都不刺激
[653.03-654.75] 这在两个人在干什么
[654.75-656.11] 就跟两只鱼一样
[656.11-657.59] 在那滚来滚去
[657.59-658.07] 搅来搅去
[658.07-658.55] 干什么
[658.55-659.71] 不好看
[659.71-661.03] 没有世界冲击力
[661.03-664.51] 所以这个就是所有男生全都掉这个坑里了
[664.51-665.45] APR也好
[665.45-668.35] 上来的时候就打装机
[668.35-671.35] 小男生也就学
[671.35-673.93] 全错
[673.93-675.41] 全错
[675.41-676.43] 按这路子走的
[676.43-678.31] 所有的男孩不是早泄
[678.31-679.91] 就是扬尾最后的下场
[679.91-683.51] 而且女生并没有什么感觉
[683.51-683.91] 为什么
[683.91-685.75] 就是昨天他讲的很清楚
[685.75-688.03] 就是你开始的过程中
[688.07-690.23] 几个重要的知识点
[690.23-690.55] 第一
[690.55-692.15] 男生
[692.15-694.31] 男生开始的过程中
[694.31-695.29] 一定要轻柔
[695.29-696.49] 为什么
[696.49-697.51] 你男的呀
[697.51-698.09] 是阳
[698.09-698.91] 女的是阴
[698.91-700.93] 男的热血沸腾
[700.93-702.91] 男的就登就起来了
[702.91-703.85] 你是不热血沸腾
[703.85-704.37] 你起不来
[704.37-705.89] 热血沸腾以后
[705.89-706.27] 卡
[706.27-707.47] 勃起了
[707.47-708.27] 扯齐了
[708.27-710.69] 甚至你年轻的时候都流鼻血
[710.69-712.69] 我年轻的时候就好几次
[712.69-714.23] 我就流鼻血了
[714.23-716.23] 然后这个
[716.23-717.19] 就是
[718.07-720.03] 叫什么
[720.03-721.33] 血脉喷张
[721.33-723.09] 你在这个时候
[723.09-725.75] 你男的打桩是没事的
[725.75-726.77] 因为你那个东西
[726.77-728.59] 一旦进入到那种温暖
[728.59-730.35] 潮湿湿润又紧绷的
[730.35-731.89] 小穴里边之后
[731.89-733.19] 就是你故乡一样
[733.19-736.67] 那比你用手那边强太多了
[736.67-737.87] 这谁张丁顶
[737.87-738.61] 谢谢你
[738.61-739.29] 祝你发大财
[739.29-740.85] 生日快乐
[740.85-741.95] 那么这个事
[741.95-742.65] 这个时候
[742.65-745.01] 男人就很容易早泄
[745.01-746.29] 很容易早泄
[746.29-747.13] 因为你一上来就
[747.13-747.61] 嘎嘎嘎
[747.61-749.09] 热血飞灯啪就出去了
[749.09-751.31] 所以正规的知识点
[751.31-751.95] 就是一定
[751.95-753.19] 对于男性这个视角
[753.19-755.89] 一定要给自己一个麻木大火箭的过程
[755.89-757.81] 什么叫麻木大火箭呢
[757.81-759.29] 就是让这个大火箭
[759.29-761.57] 这个敏感度降下来
[761.57-763.05] 你一干进去之后
[763.05-763.87] 你兴奋
[763.87-764.89] 然后又血脉喷张
[764.89-766.43] 你烟能不早泄
[766.43-769.29] 因为他比你手舒服多了
[769.29-770.43] 男孩知道
[770.43-771.65] 男孩打手枪
[771.65-772.67] 看A片打手枪
[772.67-774.13] 男孩没有超过五分钟的
[774.13-776.47] 两三分钟结束战斗
[776.47-777.01] 为什么
[777.01-777.59] 因为打手枪
[777.61-779.33] 打手枪很直接
[779.33-781.87] 所以因为所有的男孩都打手枪
[781.87-783.19] 所有的男孩都手印
[783.19-783.87] 所有的
[783.87-785.67] 十四五岁懂事以后
[785.67-787.79] 所有的男生在见女人之前
[787.79-788.75] 第一次动女人
[788.75-789.85] 全是打手枪的
[789.85-792.09] 有的身体好的
[792.09-793.13] 兴奋旺盛的
[793.13-793.61] 一天一次
[793.61-794.51] 这正常
[794.51-796.79] 那么这样的话
[796.79-798.69] 他形成了一个肌肉记忆
[798.69-800.43] 就是两三分钟之内就得射
[800.43-801.95] 因为他用手打手枪
[801.95-802.51] 看A片
[802.51-804.77] 然后又是一个错误的导向
[804.77-806.77] 进去之后就打桩
[806.77-807.59] 你想
[807.59-809.69] 女体总而言之
[809.69-810.71] 她比手舒服
[810.71-813.03] 你怎么可能不是一分钟缴线
[813.03-815.07] 你就一分钟就完了
[815.07-816.65] 一分钟就完了
[816.65-818.13] 你自己也觉得不好意思
[818.13-820.25] 就像我们马来西亚小教友一样
[820.25-821.97] 强忍精神
[821.97-823.93] 五分钟之内进行第二次
[823.93-825.89] 但是第二次
[825.89-828.79] 顿感力就很强了
[828.79-829.91] 没有感觉了
[829.91-832.07] 而且时间长了以后
[832.07-833.15] 每次都弩第二次
[833.15-834.97] 他虽然只有二十多岁
[834.97-835.97] 二十出点头
[835.97-837.29] 二十一二十岁的小女孩
[837.29-837.57] 小小的小女孩
[837.59-838.27] 年纪
[838.27-840.97] 但是这么几个月以后
[840.97-842.33] 他开始扬尾了
[842.33-844.11] 第二次就不行了
[844.11-844.83] 第二次起不来
[844.83-845.35] 那不叫扬尾
[845.35-845.95] 那叫正常
[845.95-847.25] 你跟王叔今天
[847.25-849.19] 比如说我刚弄第一次
[849.19-850.55] 然后你就说王叔加油
[850.55-853.57] 你怎么多少人在这喊
[853.57-854.37] 王叔加油
[854.37-855.31] 没戏了
[855.31-855.57] 为什么
[855.57-858.21] 因为你不再是血白盆仗状态
[858.21-860.69] 所以就是第二个问题的关键点
[860.69-862.75] 就是第二个知识点
[862.75-863.49] 关键点就是
[863.49-864.33] 第一个知识点就是
[864.33-866.03] 进去之后先别大动
[866.03-867.43] 前15分钟不要大动
[867.59-870.81] 让双方小弟弟小妹妹要互相熟悉一下
[870.81-872.09] 洗洗头就行了
[872.09-873.53] 就别在里边洗澡了
[873.53-874.67] 第一
[874.67-875.83] 慢点动
[875.83-878.37] 然后他的一个小经验
[878.37-880.51] 就是按你不喜欢的体位干
[880.51-883.89] 但是如果你喜欢对方的男体
[883.89-884.45] 或者女体
[884.45-886.79] 长在你的生理兴奋点上
[886.79-888.55] 那没有姿势是不喜欢的
[888.55-889.41] 那最好
[889.41-891.43] 其实最好的就是别动
[891.43-892.89] 或者少动点
[892.89-894.67] 别是咔咔咔这么干
[894.67-897.47] 就是用太极拳的打法
[897.59-899.71] 别是哈哈哈哈这种打法
[899.71-900.11] 这是第一
[900.11-900.67] 第二呢
[900.67-903.39] 就是前15分钟这个过程
[903.39-906.29] 就是不断的让自己的龟头
[906.29-908.83] 让自己的火箭冷却下来
[908.83-912.13] 让他的兴奋度不停的降低
[912.13-913.81] 让他的法质不停的上去
[913.81-915.59] 这样的话你不会早泄了
[915.59-918.49] 然后他给我们一个重要的知识点
[918.49-920.27] 就是男性的80%
[920.27-922.29] 这个重要的不可回头点
[922.29-924.11] 这个之前我还真不知道
[924.11-926.81] 但是我一想他说的完全对
[926.81-927.57] 我没有这么走过去
[927.59-929.69] 就是男性的性欲
[929.69-931.39] 如果是开始没有性欲是零
[931.39-934.59] 然后最后射精到高潮是100
[934.59-936.39] 那个男性的
[936.39-937.91] 如果是一个上山的过程的话
[937.91-939.69] 男性的这个80的位置
[939.69-941.05] 就是80%兴奋点
[941.05-942.45] 叫不可回头路
[942.45-945.13] 过了80%兴奋点之后
[945.13-945.89] 你回不来了
[945.89-950.71] 就是男性的那个80%到100%的
[950.71-951.89] 那个20%
[951.89-953.69] 是惯性能上去的
[954.39-956.51] 就是你大火箭关燃料没戏
[956.51-957.57] 一样会在上山
[957.59-958.13] 为什么
[958.13-959.31] 不知道
[959.31-960.97] 这就是男女之间不同
[960.97-962.31] 记住一会我会说女性
[962.31-964.11] 正好相反
[964.11-966.03] 正好相反
[966.03-969.23] 因为我的观众现在1000多人在线了
[969.23-971.35] 你们至少有七八百人是男性
[971.35-973.35] 你们每一个都男性
[973.35-974.65] 只要你们有性经验
[974.65-976.33] 你们全都能扪心自问
[976.33-978.41] 屏幕里边摳
[978.41-980.31] 是不是80%的时候
[980.31-982.43] 真的你们回想你们是处男
[982.43-984.63] 你们第一次第二次第三次
[984.63-986.13] 那种刚刚有性经验的时候
[986.13-986.73] 特别明显
[986.73-987.57] 是不是有性经验的时候
[987.59-989.47] 有一个点是不可回头点
[989.47-993.21] 你们每一个人打真枪之前都要演习
[993.21-993.53] 对不对
[993.53-994.15] 看A片
[994.15-995.39] 看什么的黄书
[995.39-997.41] 都告诉你
[997.41-1003.43] 说是一股浓浓的射精的欲望来的时候
[1003.43-1004.57] 要拔出来
[1004.57-1006.25] 或者放在外边晾一晾
[1006.25-1008.29] 或者想一想别的东西
[1008.29-1009.25] 我想想习近平
[1009.25-1011.17] 想想什么你老板
[1011.17-1012.63] 想想明天要加班
[1012.63-1014.99] 就让自己的兴奋度降下来
[1014.99-1017.23] 还有说属羊的
[1017.59-1020.67] 总之就是都没戏
[1020.67-1021.91] 没戏
[1021.91-1022.43] 为什么
[1022.43-1026.13] 就是80%那个点你已经过了
[1026.13-1026.91] 你这个时候
[1026.91-1028.51] 你就别说想
[1028.51-1029.13] 就拔出来
[1029.13-1029.75] 完全出来
[1029.75-1031.23] 然后你再进去
[1031.23-1032.19] 你就发现那一下
[1032.19-1033.23] 你进去冲一下
[1033.23-1035.27] 就等于你零到八十的时候
[1035.27-1036.81] 冲十下的敏感度
[1036.81-1039.87] 很快就两三下就又不行了
[1039.87-1042.67] 这个时候女孩就觉得你好奇怪
[1042.67-1043.99] 你怎么干两下拔出来
[1043.99-1044.89] 干两下拔出来
[1044.89-1045.71] 你在干什么
[1045.71-1046.99] 你这干两下
[1046.99-1047.47] 就扒出来
[1047.59-1047.91] 出去了
[1047.91-1049.11] 然后晾半天
[1049.11-1049.83] 为什么
[1049.83-1053.11] 过早的达到了80%的不可回头点
[1053.11-1055.09] 之后就这一局
[1055.09-1057.67] 这一局男女天人大交战
[1057.67-1059.67] 你败局已定
[1059.67-1061.15] MC谢谢你
[1061.15-1061.91] 祝你发大财
[1061.91-1063.75] 生日快乐
[1063.75-1064.57] 新生活愉快
[1064.57-1066.83] 就是你败局已定
[1066.83-1068.91] 因为你已经到80%那个点
[1068.91-1070.43] 你无论如何回不了头了
[1070.43-1072.71] 所以男性的关键点就是
[1072.71-1075.21] 一定不让自己到80%的点
[1075.21-1076.51] 一定就是
[1076.51-1077.85] 开始
[1077.85-1081.31] 比如说15分钟以后开始大动作的时候
[1081.31-1083.89] 开始双方的大动作的时候
[1083.89-1086.05] 一定要及时拔出来
[1086.05-1087.43] 不要到80%拔出来
[1087.43-1089.69] 就是差不多的时候
[1089.69-1092.11] 就甚至还没有感觉的时候
[1092.11-1094.03] 你用我的个人经验就是数数
[1094.03-1095.17] 50下的时候
[1095.17-1099.31] 12345678910
[1099.31-1102.07] 而且要行极浅一身之法
[1102.07-1104.93] 就是比如说也不用一定是九浅一身
[1104.93-1105.51] 三浅一身
[1105.51-1105.93] 四浅一身
[1105.93-1106.95] 就是玩吧
[1106.95-1107.65] 就是等于是
[1107.65-1111.51] 因为你这个时候已经过了那个兴奋点了
[1111.51-1113.41] 就是你已经10分钟以后了
[1113.41-1116.63] 那个男性的那个血脉喷嚓劲已经过去了
[1116.63-1118.63] 麻木阶段已经完成了
[1118.63-1119.43] 你这个时候就是
[1119.43-1121.65] 你就像玩耍一样
[1121.65-1128.45] 就这样
[1128.45-1130.89] 你就数50下就亮出来
[1130.89-1132.13] 或者换个姿势
[1132.13-1133.93] 或者亮出来干点别的
[1134.57-1135.43] 别等着说
[1135.43-1135.73] 哎呀
[1135.73-1136.13] 不行了
[1136.13-1137.25] 有感觉来不及
[1137.25-1140.37] 然后这里边还有个小经验
[1140.37-1142.93] 就是女上位比较省事
[1142.93-1148.53] 为什么女上位比较比较容易达到长时间的男女时间
[1148.53-1148.93] 比如说
[1148.93-1150.93] 就比如说你要干一小时以上
[1150.93-1152.93] 你必须是主要采取女上位
[1152.93-1154.01] 为什么呢
[1154.01-1155.69] 因为女生啊
[1155.69-1156.23] 没有劲
[1156.23-1157.25] 说白了
[1157.25-1158.53] 女生的体能特别弱
[1158.53-1160.85] 女生被你咔大会间一顶
[1160.85-1162.27] 她就浑身瘫软了
[1162.27-1162.73] 所以呢
[1162.73-1164.13] 你就很容易控制节奏
[1164.13-1165.55] 如果是男上
[1165.55-1168.49] 男生的那个腰力多厉害啊
[1168.49-1173.43] 你那一下等于女上三五下的那个冲击力度
[1173.43-1174.19] 所以呢
[1174.19-1175.65] 就是不到最后关头
[1175.65-1176.75] 不要用男上位
[1176.75-1178.93] 开始当然也可以男上一会儿
[1178.93-1180.71] 然后主要就是以女上位
[1180.71-1182.47] 作为双方嬉戏的一个主要体位
[1182.47-1184.63] 这是我个人的经验
[1184.63-1186.17] 当然每个人有自己的爱好
[1186.17-1187.29] 反正怎么都都是
[1187.29-1188.67] 总之总而言之
[1188.67-1189.23] 言而总之
[1189.23-1189.71] 就是第一
[1189.71-1191.31] 开始的15分钟
[1191.31-1191.87] 不要大动
[1191.87-1193.03] 啊
[1193.03-1194.19] 然后把那个
[1194.19-1194.91] 呃
[1194.91-1195.17] 归
[1195.17-1195.39] 呃
[1195.39-1195.55] 归
[1195.55-1197.65] 归头火箭麻木柱以后啊
[1197.65-1199.27] 这个兴奋度没了以后
[1199.27-1200.45] 可以大动了
[1200.45-1200.77] 大动
[1200.77-1202.05] 但是你一定要记住
[1202.05-1203.67] 不要到80%点啊
[1203.67-1205.95] 百分之六七十拔出来玩一会儿
[1205.95-1207.27] 或者想想你老板
[1207.27-1208.69] 或者想想习主席啊
[1208.69-1210.35] 或者想想伟大的社会主义建设
[1210.35-1211.33] 然后呢
[1211.33-1213.03] 你再再开始第二轮
[1213.03-1213.91] 这样的话呢
[1213.91-1216.05] 双方的加以什么语言呀
[1216.05-1216.95] 什么啊
[1216.95-1217.53] 姿势啊
[1217.53-1218.13] 这种啊
[1218.13-1219.13] 就非常好玩啊
[1219.13-1219.83] 场景啊
[1219.83-1221.35] 因为又是在沙发上玩一会儿
[1221.35-1222.81] 在卫生间玩一会儿
[1222.81-1225.39] 就这个时间不知不觉就过去了
[1225.39-1226.95] 不知不觉过去了
[1226.95-1228.63] 而且你这时候你会发现
[1228.63-1230.39] 你女伴的那个
[1230.39-1232.55] 下面就像开了水管一样
[1232.55-1233.45] 就还是真
[1233.45-1234.93] 真不会出火星了
[1234.93-1237.13] 就是真不会出火星了
[1237.13-1238.77] 而且那越弄水越多
[1238.77-1240.63] 最后那个水声啊
[1240.63-1242.71] 就真的是能听见的
[1242.71-1245.35] 就是两个人的水声是能听见的
[1245.35-1246.09] 叭唧叭唧叭唧
[1246.09-1247.35] 这是能听见的
[1247.35-1248.71] 而且是是是
[1248.71-1249.91] 很容易就听见的
[1249.91-1251.55] 这挺大声的
[1251.55-1252.25] 呃
[1252.25-1254.91] 比你洗手那个
[1254.91-1256.59] 有两只手的那个水声
[1256.59-1257.05] 见那声
