[0.00-1.52] 下一位 这个特别有意思
[1.56-3.36] 我就把他的信整个念一下
[291.46-293.90] 你不光是你要良心冒险
[293.90-296.34] 你更是顶着头的时候
[296.34-297.82] 因为你卖白粉的事
[297.82-298.54] 你怕东方
[298.54-299.10] 是方
[299.10-300.02] 你没少捞钱
[300.02-300.70] 对不对
[300.70-303.42] 因为你也怕鸡尾抓你吗
[303.42-304.34] 这可以理解
[304.34-304.86] 没事
[304.86-305.62] 大家都一样
[305.74-306.42] 都能理解
[306.42-308.58] 因为那个是个大型共谋犯罪现场
[308.58-309.86] 没有一个人是干净的
[310.94-312.62] 我和老婆是初中同学
[312.62-314.10] 一直陪伴我到现在
[314.10-315.42] 我们俩的爱好相同
[315.42-316.50] 家里管得很严
[316.50-317.38] 也比较叛逆
[317.38-317.86] 反体制
[317.86-318.70] 唯一不同的是
[318.70-319.70] 他爱英语
[319.70-320.98] 并且是专业八级
[320.98-321.86] 上海外贸毕业
[321.86-322.26] 真厉害
[322.26-323.38] 这老婆专业八级
[323.38-324.66] 十四行诗的水平
[325.02-326.26] 所以他不加思索
[326.26-327.54] 就答应我的提议了
[327.54-328.10] 那时
[328.10-329.26] 我们的孩子两岁半了
[329.26-330.10] 他说了一句话
[330.10-332.02] 让我到现在都非常感激他
[332.14-332.46] 他说
[332.46-333.74] 我这辈子都不想让我的孩子
[333.74-335.02] 受一天的中国教育
[335.06-336.86] 不想让他再走我们一样的老路
[336.86-337.74] 哪怕是幼儿园
[337.74-338.90] 于是17年底
[338.94-340.98] 我们以低于市场价的价格
[340.98-342.34] 卖掉了天津的房子
[342.42-344.42] 来到了加拿大的曼省
[344.42-345.86] 就是马尼托巴省
[346.98-347.86] 出国之前
[347.86-349.38] 我在国内找了两个中介
[349.38-350.94] 第一个忽悠我去魁北克
[350.98-352.34] 发现被忽悠后
[352.38-353.58] 又找了一个去曼省的
[353.58-354.70] 结果又被忽悠了
[354.70-356.74] 前后损失了四五十万人民币
[356.78-357.58] 具体如何
[357.58-358.18] 被忽悠的
[358.18-358.98] 我也不想说了
[358.98-360.74] 就是中国人骗中国人
[360.74-361.74] 海外也一样
[362.34-363.94] 最后他们连省提名
[363.94-365.14] 都忘了给我们提交了
[365.14-366.62] 整整拖了我们半年
[366.86-368.42] 我老婆用出来混
[368.42-369.66] 迟早是要还的这句话
[369.66-370.46] 安慰了我
[370.50-372.14] 我回想到在建行那几年
[372.14-372.74] 造的一念
[372.74-373.86] 心里也平和多了
[373.86-375.10] 因为对兄弟
[375.10-377.54] 你也没找在建行搂钱
[377.54-378.46] 行了
[378.46-379.94] 不能做批修
[379.94-380.94] 只进不出
[380.98-383.42] 小骗子搂你点钱
[383.42-384.10] 搂你点钱
[386.18-387.38] 我平时也这么想
[387.58-390.42] 直到我知道有一天机缘巧合
[390.70-391.94] 阴错阳差的知道了
[391.94-393.66] 我老婆已经在加拿大工作一年
[393.66-395.46] 是可以直接走联邦一役的
[395.50-397.02] 她考了个思培
[397.26-398.14] 听说读写
[398.14-399.02] 久久实实
[399.02-400.50] 自己DIY提交
[400.70-402.26] 19年9月18日那天
[402.26-403.38] 就拿到了PR身份
[403.38-404.22] 所谓的国耻日
[404.22-405.70] 成我们家喜庆的大日子
[405.74-407.66] 出国一年半就拿到枫叶卡了
[407.66-408.86] 真是感谢神的帮助
[408.86-409.98] 让我在那段日子里
[409.98-411.62] 经历了人生各种反转
[411.66-413.34] 学习了不少人生的宝贵经验
[413.34-415.22] 真是冥冥之中自有天意
[415.54-416.42] 这个过程中
[416.42-416.90] 小兄弟
[416.90-417.74] 你注意没注意
[417.74-418.62] 其实你也完成了
[418.62-420.14] 你人生的蜕变和升华
[421.26-422.34] 中国社会
[422.62-424.98] 中国社会和加拿大社会
[425.10-426.46] 最大的区别是什么
[427.18-428.94] 中国社会是一个高度
[428.94-430.26] 以来分工的
[430.42-433.14] 类似于蜜蜂或者蚂蚁的社会
[433.54-434.50] 单个的中国人
[434.50-435.78] 无论他有多么显赫
[435.78-437.26] 哪怕他是习近平
[437.30-438.98] 只要把他放在单独
[438.98-440.98] 需要处置某些事情的地方的时候
[440.98-441.98] 场景中的时候
[441.98-443.54] 他就像个傻逼一样
[443.58-445.06] 就进退无措
[445.26-446.46] 生存能力为零
[446.46-446.82] 所有的
[446.82-448.22] 中国人几乎都是这样了
[448.38-450.54] 除了底层的极底层的劳动人民
[450.54-451.42] 大部分中国人
[451.42-453.50] 尤其是混得比较好的中产阶级上
[453.54-454.70] 全是饭来张口
[454.70-455.22] 依赖身手
[455.22-456.98] 什么都要依赖中介
[457.02-458.66] 这是中国最大的特点
[458.90-460.22] 因为依赖中介
[460.22-461.42] 所以习惯找人
[461.42-462.30] 脱关系
[462.34-464.46] 各种乱七八糟的也就都来了
[465.26-466.22] 而加拿大这边
[466.42-468.66] 它是一个真正的
[468.66-471.66] 一个蜂王组成的社会
[471.70-472.78] 它每一个主体
[472.78-474.42] 都是个人机动性
[474.42-476.26] 主观能动性非常强的
[476.26-477.62] 今天还是市长
[477.62-478.74] 明天市长
[478.98-480.82] 脱了这件官服
[480.82-482.22] 他敢去开Uber
[482.74-485.14] 咱们石青石老先生
[485.18-487.82] 是市议员市长
[487.86-490.34] 但同时他也会开中餐厅
[490.38-491.54] 中餐馆的老板
[491.58-492.54] 这是加拿大
[493.06-494.66] 所以在加拿大办事
[494.66-496.18] 没有脱关系走后门
[496.18-496.98] 这一说
[497.58-499.14] 所有的公事
[499.18-500.54] 所有的条例
[500.58-501.86] 都是公对公的
[501.90-503.18] 你只要语言过关
[503.18-504.34] 了解这个社会
[504.54-505.50] 符合条件
[505.50-506.22] 你自己去
[506.26-508.06] 按照程序DIY
[508.10-509.42] 是完全可以的
[509.42-511.22] 完全没有必要找中介
[511.26-512.02] 移民也好
[512.02-512.90] 什么也好
[512.94-513.70] 移民也好
[513.70-514.54] 办签证也好
[514.54-516.18] DIY都是可以的
[517.02-518.90] 但是我们中国人全都要找中介
[518.94-520.54] 你看你都已经到了加拿大了
[520.54-522.58] 还让两拨中介骗了你四五十万
[522.74-525.42] 所以你在国内你没办法
[525.62-526.50] 你到了加拿大
[526.50-528.50] 你看你老婆最后人家DIY
[528.62-529.82] 你们全家没有花钱
[529.82-530.74] DIY不用花钱
[530.74-531.58] 收你点工本费
[531.58-532.42] 几十dollar
[532.62-534.70] 百八十dollar的印枫叶卡的钱
[534.70-535.50] 收你一点
[535.50-537.18] 处理文件的钱
[537.18-537.74] 收你一点
[537.74-540.14] 政府收你点手续费
[540.14-541.42] 就给你枫叶卡了
[541.42-543.82] 什么几十万全都是骗你的
[543.82-545.46] 把你的材料都忘了交了
[545.46-546.94] 你说这多不靠谱的中介
[546.94-548.42] 你应该把他的名字说出来
[548.42-549.58] 我在我的频道里面
[549.58-550.18] 把他喊一喊
[550.18-551.02] 把他搞臭
[551.06-552.30] 对于这种小骗子来说
[552.30-553.66] 咱们不能让他继续在骗人了
[553.66-554.18] 你知道吗
[554.90-557.22] 所以恭喜你
[557.30-559.06] 你能自己做下来DIY
[559.06-560.82] 说明你跟你老婆真的是已经
[560.82-561.86] 叫我们叫local了
[561.86-563.58] 就是都已经非常本地化了
[563.58-566.42] 经历了疫情之后
[566.42-567.90] 我老婆找了一份不错的工作
[567.90-569.34] 在加拿大非常有名的律师
[569.34-570.54] 事务所当法律助理
[570.74-571.98] 于是我们搬了家
[571.98-572.86] 在爱德蒙顿
[572.86-574.06] 我是全职奶爸
[574.06-575.62] 在家里边照顾媳妇儿孩子
[575.62-578.02] 由于媳妇儿没时间做饭
[578.06-579.02] 每天做饭买菜
[579.02-580.06] 我的必备任务
[580.10-580.86] 时间久了
[580.86-582.78] 我就在超市找了一个兼职工作
[583.54-584.66] 上午上班
[584.70-585.82] 下午回家做饭
[585.82-586.86] 我本身就爱做饭
[586.98-588.10] 日子过得非常充实
[588.10-588.98] 尤其是孩子
[589.02-590.86] 现在在法语陈金市的公立学校
[590.86-591.90] 念四年级了
[591.90-593.54] 平时各种课外活动
[593.54-594.94] 我们从来不强迫他
[594.94-595.70] 他想学就学
[595.70-596.98] 不想学就不学
[597.18-597.86] 三门语言
[597.86-598.98] 现在可以随时切换
[598.98-600.18] 中文说的稍微差点
[600.18-601.34] 但是听力没问题
[601.46-603.54] 我儿子还是非常聪明和敏感的孩子
[603.54-606.22] 特别善于观察和注重细节
[606.38-608.86] 他绝对是上帝赐予我们夫妻的礼物
[609.58-610.54] 小兄弟
[610.58-611.82] 听老王大哥一句话
[611.82-612.50] 赶紧生
[612.82-614.42] 85后向老王学习
[614.42-615.26] 你比我小十岁
[615.74-617.26] 我来这还又生俩
[617.42-618.18] 你也赶紧生
[618.42-619.26] 一个不够
[619.30-621.98] 咱们对加拿大第一代移民最大的贡献
[621.98-623.50] 这个国家对我们这么好
[623.54-624.30] 最大贡献
[624.30-625.66] 就给他们贡献人口
[625.90-626.46] 真的
[626.46-628.06] 你和你媳妇
[628.30-629.22] 你去生俩
[629.22-629.98] 生三个
[629.98-630.66] 再生两个
[630.66-631.26] 再生三个
[631.26-631.78] 没事
[632.42-633.46] 这种公司
[633.46-634.54] 加拿大讲人权
[634.54-636.58] 不会因为你老婆怀孕生孩子
[636.58-639.14] 就不跟你老婆签雇佣合同了
[639.82-641.54] 你老婆又是法律事务所的
[641.54-642.90] 生完了继续上班的
[643.78-644.74] 孩子这么好
[644.74-645.34] 多有福
[645.62-646.22] 这是好人
[647.22-650.82] 咱们虽然是大型犯罪共谋现场的参与
[650.82-653.26] 但是咱们都是良心为民
[653.26-653.50] 而且
[653.50-654.62] 能及时收手
[654.62-655.54] 你看17年
[655.54-657.06] 17年中国并没有坠毁
[657.18-658.74] 17年老习也没有疯狂
[658.94-660.10] 老习还比较正常
[660.14-662.50] 还属于翟山英老师
[662.50-665.58] 在中秋节感恩的那个时间
[665.58-666.42] 他比较正常的
[666.82-668.34] 老王蹭我在推特上
[668.34-669.50] 写了那么多我的文章
[669.50-670.42] 我好得意
[670.54-671.98] 我20年没有联系他了
[671.98-674.02] 我生活在他的世界里
[674.02-676.18] 他在我的世界里毛都不剩了
[676.18-677.62] 因为那还都是特别正常的
[677.62-678.42] 老翟那时候
[678.78-680.38] 但是后来老翟就
[680.38-680.90] 哇操
[680.90-683.46] 就现在你看这个状态面目也催了
[683.50-685.62] 什么老领导基因压制他
[685.66-687.50] 隔半个地球把他喷疯了
[687.54-688.66] 现在你就看出来了
[688.66-689.18] 是吧
[689.22-690.94] 我们内心有善念
[691.06-694.78] 我们还有回头是岸的意识
[694.78-696.50] 并且我们能做到回头是岸的
[696.50-698.46] 这一把转弯
[698.46-700.34] 你这个转舵转的也挺快的
[700.38-702.02] 建行那么好的单位
[702.02-703.98] 个代说不干就不干了
[703.98-704.82] 你干了那么多年
[704.82-706.66] 都干成个代的小领导了吧
[706.66-708.26] 都是说不干就不干了
[708.26-710.02] 带着老派去加拿大
[710.02-710.74] 回北客去了
[710.74-713.22] 这是个爷们儿
[713.22-714.14] 有担当
[714.18-716.54] 而且上的厅堂下的厨房
[716.58-718.94] 去找工作做饭
[718.94-720.06] 给家里买菜
[720.18-720.98] 不亦乐乎
[720.98-721.42] 多好
[721.86-723.46] 感谢老王看我得不这么久
[724.02-725.98] 接着我标题的问题
[725.98-727.18] 在大洪水之前
[727.18-727.94] 我要入籍吗
[727.94-730.38] 我媳妇孩子在女王事实之前就入籍了
[730.58-732.10] 因为我们的父母都在国内
[732.10-733.78] 他们岁数一天天的在变大
[733.82-735.14] 身体天天的变差
[735.14-736.38] 一旦大洪水来了之后
[736.82-737.86] 持有外国护照
[737.86-739.26] 还能不能回国照顾他们
[739.26-740.06] 很遗憾
[740.34-741.86] 他们都不太喜欢加拿大
[741.86-742.74] 我当时的想法
[742.74-743.18] 就是保留一天天的家庭
[743.22-744.82] 一个人持有中国护照
[744.82-746.62] 好回国办一些紧急的事务
[746.62-748.02] 但是现在看到包子
[748.06-749.26] 边开倒车
[749.26-749.94] 边踩油门
[749.94-751.98] 还有没有必要保留中国国籍呢
[753.22-754.30] 没有必要
[755.22-755.58] 小哥
[755.58-756.34] 你今天这个问题
[756.34-757.58] 问我算问对人了
[757.58-759.22] 千万别再保留中国国籍了
[759.22-759.94] 为什么呢
[759.98-760.34] 第一
[760.34-761.94] 你所谓的孝敬
[761.94-762.62] 孝敬
[762.98-764.26] 这个是你脑子里
[764.30-767.06] 被重入的DNA毒素
[767.06-768.42] 就是中国人特别讲究孝敬
[768.42-770.38] 如果毒素是真理
[770.74-772.78] 人类到今天不会走出非洲的
[772.78-773.82] 你懂吗
[773.82-775.10] 落叶归根
[775.10-775.90] 它是肥料
[775.90-776.86] 我们是种子
[776.86-777.42] 落在哪
[777.42-779.50] 要长出一片新的草原和森林
[779.94-781.22] 人类是只有这样
[781.22-782.98] 才能真正荣耀神和上帝
[783.58-784.30] 对不对
[784.30-787.70] 你必须得有一飞冲天的阳气的精神
[788.42-790.66] 你不能必须照顾老人
[790.66-791.62] 我就必须要回去
[791.62-792.26] 我都因此
[792.26-794.26] 我甚至改变我未来的人生走向
[794.26-795.62] 我要留着中国国籍
[795.62-797.10] 所以孝敬这个理由
[797.10-797.86] 首先不成立
[797.86-798.74] 这是第一
[798.78-799.66] 第二
[800.54-802.10] 你自己都把自己的答案
[802.10-802.74] 其实已经讲了
[802.74-805.02] 如果中国跟美国真的开战
[805.02-807.06] 加拿大跟中国真的划清界限
[807.10-808.94] 你是有一个护照能回去
[808.94-809.30] 不假
[809.30-810.90] 你老婆孩子回不去了
[811.22-812.94] 但是你还能出得来吗
[812.94-813.38] 兄弟
[813.38-814.94] 你有没有想过这个问题
[814.98-816.50] 你他们拿着你那中国护照
[816.50-816.98] 枫叶卡
[816.98-818.26] 进了北京海关
[818.26-819.50] 就要把你枫叶卡收走
[819.50-820.18] 剪掉
[820.22-821.86] 你和你老婆孩子
[821.86-823.62] 从此就变成南北朝鲜
[823.62-824.90] 你是不是傻
[824.94-826.34] 你的爷爷奶奶
[826.34-827.10] 姥姥姥爷知道
[827.10-828.54] 你要走这条人生道路
[828.54-829.86] 都不会让你回去的
[830.94-832.30] 再不喜欢加拿大
[832.74-835.06] 他们也不会让你回去干这个事
[835.06-837.42] 既委了屈又不能求全
[838.06-838.78] 懂吧
[838.78-840.10] 所以完全没有必要
[840.10-840.70] 赶紧入籍
[840.86-841.34] 赶紧填
[841.50-844.18] 现在入籍都排队排很长时间
[844.22-846.30] 你够条件都要排个半年一年的了
[846.30-848.62] 所以你就赶紧换成蓝本护照
[848.78-849.54] 有了蓝本护照
[849.54-850.62] 走哪都特别方便
[850.82-851.38] 牛逼死了
[851.38-852.54] 我告诉你真的
[852.58-854.10] 中国很快就会打败了
[854.10-855.70] 然后等他们打败了之后
[855.74-857.46] 又开二次改开
[857.46-858.58] 你拿不蓝本护照
[858.58-859.74] 回去还可以装弹去
[859.86-862.22] 所以你留个猪肝护照
[862.22-862.70] 一点
[862.74-863.78] 屌用都没有
[863.78-864.74] 就回去之后
[864.74-865.50] 他欺负你
[866.38-866.86] 欺负你
[866.86-867.58] 不让你走
[868.18-868.98] 就这点用
[870.82-871.46] 谢谢老王
[871.46-873.06] 能听到你讲的东西真是缘
[873.06-874.02] 你也让我看清了
[874.02-874.86] 这世界两种人
[874.86-876.10] 一个是做好事的好人
[876.10-877.54] 另一个是做坏事的坏人
[877.74-879.10] 瀑湖王和宅
[879.26-881.18] 祝您节目订阅越来越多
[881.18-881.98] 办的越来越好
[881.98-882.38] 谢谢你
[883.10-885.46] 我倒没有什么着象的地方
[885.46-887.26] 我这节目我就踏实办
[887.98-888.86] 越来越多
[888.86-891.22] 是在我心里认为是正常现象
[891.54-892.94] 至于能做到多大
[892.94-893.58] 我也不去想
[893.58-894.02] 我也没有
[894.02-895.58] 什么人生预设前提
[895.74-896.18] 对吧
[896.18-899.06] 就是我这种状态
[899.90-900.98] 就10万粉
[901.30-902.02] 50万粉
[902.02-902.90] 100万粉
[902.94-903.90] 对我个人来说
[903.90-904.54] 有什么区别
[904.54-905.58] 我没有任何区别
[905.74-907.30] 可能唯一的区别就是
[907.50-908.98] 可能未来
[908.98-909.62] 冥冥之中
[909.62-911.82] 上帝还安排我一些什么任务
[911.82-912.54] 也许
[912.58-914.26] 所以我也是本着
[914.26-915.86] 我给大家讲少子神术
[915.90-918.30] 算出来人生所有前途之后
[918.42-919.78] 并不是躺平
[919.78-920.82] 等待人生的结果
[920.86-923.02] 就是认真地去扫雷
[923.06-923.78] 我即使有
[923.78-925.10] 8×8的一个大
[925.30-926.34] 地雷棋盘
[926.34-927.90] 我也认认真真判断
[927.90-929.38] 每一个格里边有没有地雷
[929.42-931.18] 尽可能地做到最好
[931.22-933.54] 去荣耀神和造祖
[933.54-934.66] 还有上帝之类的
[934.66-935.74] 对不对
[935.74-937.66] 谢谢你给我写这么长的信
[937.70-939.46] 而且有这么多的细节
[939.46-941.18] 我特别喜欢读这种细节
[941.22-942.30] 有个经历的
[942.30-943.42] 哪怕你是缅甸
[943.42-945.06] 电展园区的这种经历
[945.70-947.26] 那个小伙已经给我回信了
[947.26-947.86] 我已经看了
[947.86-948.94] 谢谢你小伙子
[949.46-950.42] 电展园区的小伙子
[950.42-951.82] 那个信我就不给你读了
[951.82-953.74] 因为这涉及到了太多的
[953.78-955.46] 你的细节
[956.18-958.02] 人家会按图索迹
[958.02-958.70] 把你找出来的
[958.70-959.94] 所以你接着给我写
[959.94-961.06] 想到哪写到哪
[961.06-962.30] 我会攒着你的信的
[962.30-963.38] 电站园区的小朋友
[965.46-966.38] 王总你好
[966.38-967.62] 我是你的观众
[967.62-968.26] 说来惭愧
[968.26-969.46] 我们年龄差不多
[970.14-970.90] 见识经历
[971.02-972.26] 这个就是开始疯我了
[972.26-973.26] 就直接问问题
[974.10-976.22] 我想请教您两个问题
[976.26-977.06] 第一
[977.10-979.10] 是我在北京海淀中关村的房子
[979.10-981.58] 目前价格比年初降了20%
[981.58-982.82] 卖掉心有不甘
[983.30-983.62] 但是
[983.62-984.62] 我的基本判断是
[984.62-986.06] 未来一年除非大放水
[986.06-987.54] 否则房价稳不住
[987.58-990.26] 但是大放水汇率必然受冲击
[990.30-993.14] 对我这种要卖房子换美元的人来说
[993.14-994.22] 还是受冲击
[994.22-995.78] 大概率是双重打击
[995.82-996.94] 房价持续走低
[996.94-997.94] 叠加汇率走低
[997.94-999.86] 未来会蒙受更明显的损失
[999.90-1000.82] 按照这样的推断
[1000.82-1001.74] 就应该立即抛
[1001.74-1003.18] 不知道判断是否准确
[1003.18-1004.46] 想听听您的建议
[1005.70-1007.34] 第二是相关联的问题
[1007.38-1008.86] 能否推荐您打个交道
[1008.86-1010.34] 信得过的换汇公司
[1010.34-1011.70] 还是那句话换汇公司
[1011.70-1013.06] 我不会推荐的
[1013.06-1015.18] 如果你有能力去美国
[1015.18-1016.62] 或者加拿大旅游的话
[1016.62-1018.22] 你自己就亲眼看见了
[1018.22-1019.78] 很多换汇公司
[1019.82-1021.02] 你就自己去换
[1021.22-1021.94] 还是那句话
[1021.94-1023.82] 如果是30万美元以内
[1023.82-1025.90] 你没有必要找换汇公司
[1026.38-1028.10] 因为你们家这几个亲戚
[1028.14-1030.38] 直系亲属就够了
[1030.38-1032.46] 5万乘以6不就是30吗
[1032.46-1033.62] 足够了
[1033.66-1035.66] 然后第二年就可以换60
[1035.66-1038.38] 所以如果你要是说比较大
[1038.62-1039.94] 你是得找换汇公司
[1039.94-1040.82] 就是那个比例
[1040.98-1042.62] 2%到3%的手续费
[1043.06-1044.38] 以前是1.5
[1044.38-1045.06] 现在是多少
[1045.06-1045.38] 不知道
[1045.38-1046.22] 大概2到3
[1046.22-1047.94] 我看我猜2.53
[1047.94-1048.54] 这样的话
[1048.66-1050.90] 你就1000万的话
[1050.90-1052.10] 就是3万
[1052.10-1053.26] 不1000万的话
[1053.26-1054.78] 就是付30万手续费
[1054.98-1055.78] 人民币
[1055.78-1057.82] 那你就把钱都换过来了
[1058.54-1059.42] 换汇公司
[1059.42-1060.58] 你记住一条
[1060.58-1061.26] 就是换汇公司
[1061.26-1062.82] 你不要一次给他
[1063.82-1066.58] 你一次给他100到200万人民币
[1066.74-1067.74] 如果你不熟
[1067.74-1069.54] 你一次100万人民币开始市
[1069.54-1071.18] 或者50万人民币开始市
[1071.18-1071.74] 这样的话
[1071.74-1072.58] 即使有风险
[1072.58-1073.90] 你就损失这50万
[1074.86-1077.70] 而且因为50万小不敲的
[1077.74-1078.54] 打枪都不要
[1078.54-1079.66] 也没有人注意
[1079.66-1082.10] 你的风险也会大幅度下降
[1082.14-1084.22] 你切记不要一次把500万千万
[1084.22-1085.62] 都给他们一把换
[1085.62-1086.22] 这不行
[1086.46-1090.58] 这个对你和对他们都是一种风险
[1094.84-1095.72] 海淀的房子
[1095.72-1097.08] 我觉得你自己分析的很好
[1097.68-1099.80] 最高点降了20%
[1099.92-1100.68] 你咋不说
[1100.68-1103.28] 从你入手的最低点到最高点
[1103.28-1104.68] 又涨了百分之多少
[1104.72-1106.48] 你怎么能只考虑涨
[1106.52-1107.28] 只考虑跌
[1107.28-1108.12] 不考虑涨
[1109.24-1111.60] 房地产价格是根本撑不住的
[1111.96-1113.12] 根本撑不住
[1113.16-1116.48] 因为他一旦放开限购
