[7.73-11.19] 又要到饭了 兄弟们 又要到饭了 兄弟们
[11.19-15.87] 今天又到我们的心理按摩时间
[215.93-215.95] 丁胖
[215.95-215.97] 丁胖
[215.97-217.47] 丁胖的金牌奖是一个案例
[217.47-219.89] 可以答复你们所有的人的问题
[219.89-220.81] 就是那个
[220.81-222.27] 干就得了弟兄们
[222.27-223.85] 就干就得了弟兄们
[223.85-226.89] 就是你不要想那么多
[226.89-228.43] 前怕狼后怕虎
[228.43-230.51] 什么东西都要想到
[230.51-233.13] 什么东西都要推敲清楚
[233.13-234.67] 这是什么情况呢
[234.67-237.47] 这是你们读书读太多了的情况
[237.47-240.01] 你们是一个一个的小镇答题家
[240.01-241.43] 或者是一个
[241.43-243.09] 当然有可能是大镇答题家
[243.09-245.09] 可能是北京上海的台北的
[245.09-245.93] 你们也是打
[245.93-250.93] 你们在你们人生成功的答题路线中
[250.93-253.93] 每次考试都能斩获成绩
[253.93-256.93] 所以你们就形成了一个考试型人格
[256.93-259.93] 就是考试之前一定要好好的去复习
[259.93-261.93] 好好的去准备
[261.93-265.93] 然后进行一次人生的答卷
[265.93-267.93] 然后往上升级
[267.93-270.93] 可是真实的世界和真实的人生
[270.93-272.93] 它不是一个考场
[272.93-275.89] 没有既定的一定之规
[275.89-278.89] 没有人给你出统一格式的考卷
[278.89-281.89] 所以你所做的这种准备是否充分
[281.89-284.89] 其实因人而异不依而足
[284.89-288.89] 确切的说可能你永远也做不好充分的准备
[288.89-290.89] 中国有一句话讲叫
[290.89-293.89] 读万卷书行万里路
[293.89-297.89] 其实读万卷书不如行万里路
[297.89-300.89] 读万卷书你只能把自己读成个书呆子
[300.89-304.89] 而你勇敢的走出舒适圈去行万里路
[304.89-307.89] 才是你认识这个世界了解存在的意义
[307.89-312.14] 和时间的价值的关键
[312.14-314.14] 所谓的成功学也好
[314.14-316.14] 所谓的如何获得成功也好
[316.14-322.14] 所谓老王当年总结的人生的达到成功的四个阶段也好
[322.14-326.14] 其实无外乎都是第一个开局就是要走出去
[326.14-328.14] 如果你走不出去
[328.14-329.14] 裹足不前
[329.14-330.14] 蹉跎过去
[330.14-335.14] 到了你的这个秋分冬至的人生时刻的时候
[335.14-337.14] 那这一生也就过去了
[337.14-341.14] 书读太多了就百无一用
[341.14-343.14] 好了我们开始念
[343.14-346.14] 第一个观众是一个小美女
[346.14-348.14] 叫考考张
[348.14-351.14] 考考张说我是从老宅那边来的
[351.14-355.14] 我是游戏资深3D艺术开发者
[355.14-359.14] 考考你给我做的超级赛亚人的AI我收到了
[359.14-360.14] 我很喜欢
[360.14-362.14] 但是我不打算用了
[362.14-363.14] 为什么呢
[363.14-365.14] 因为我发现超级赛亚人不太适合我
[365.14-371.14] 你们看看贝吉塔或者比克大魔王是不是比较适合我
[371.14-373.14] 因为小悟空眼睛特别大
[373.14-375.14] 我是小眼睛所以不太像
[375.14-378.14] 非常喜欢您的视频和老宅的区别就是
[378.14-381.14] 您的视频是带着光和正面信息的
[381.14-382.14] 听了老宅的视频
[382.14-384.14] 我了解了金融的皮毛
[384.14-385.14] 但也陷入了深深的绝望
[385.14-387.14] 很想移民
[387.14-390.14] 我联系他聊星座周易人类图
[390.14-391.14] 他没理我
[391.14-393.14] 提到王子聚会
[393.14-394.14] 他马上加了我语音
[394.14-396.14] 还有他的合伙人也加了
[396.14-398.14] 我当时感觉有点不对劲
[398.14-399.14] 就没去
[399.14-402.14] Coco是个很漂亮的姑娘
[402.14-403.14] 应该是
[403.14-405.14] 所以才有王子聚会
[405.14-407.14] 我的观众可能有的不太了解翟山英
[407.14-410.14] 翟山英现在在提迪拜拉皮条
[410.14-412.14] 就是中国的年轻漂亮的姑娘
[412.14-414.14] 她要拉到迪拜去
[414.14-419.14] 陪所谓的王子去做淫乱大party
[419.14-423.14] 这个就是翟山英现在正在做的丧尽天良的事
[423.14-425.14] 这个姑娘就是没去
[425.14-426.14] 没去就对了
[426.14-428.14] 为什么呢
[428.14-430.14] 因为所有的姑娘
[430.14-432.14] 我跟你们说的是敲黑板画重点
[432.14-434.14] 今天为什么第一个念这个事
[434.14-435.14] 就是在开局的时候
[435.14-438.14] 我希望这个信息尽可能多的扩散出去
[438.14-439.14] 拯救更多的人
[439.14-440.14] 就是所有的漂亮姑娘
[440.14-443.14] 你们到迪拜参加这种所谓的王子聚会
[443.14-444.14] 海天盛宴聚会
[444.14-445.14] 你们只要是足够漂亮
[445.14-449.14] 你们只要入了那个助理的视频面试那一关
[449.14-452.14] 你们到那以后第一个环节
[452.14-453.14] 就是请你们吃饭
[453.14-454.14] 晚上去唱歌
[454.14-457.14] 唱歌的时候全都给你们打K
[457.14-459.14] 打K不是打K死
[459.14-460.14] 是打K
[460.14-461.14] 老K的K
[461.14-463.14] 什么意思
[463.14-465.14] 你王叔就是见多识广
[465.14-466.14] 黑道白道我都通知
[466.14-469.14] 我告诉你打K就让你吸毒
[469.14-471.14] 每一个姑娘都必须吸毒
[471.14-472.14] 进那个圈子里
[472.14-473.14] 黑道的圈子
[473.14-475.14] 你只要沾上那个圈子
[475.14-476.14] 那个圈子里的人
[476.14-479.14] 不会没有人不打K
[479.14-480.14] 就包括翟山英
[480.14-481.14] 只要他想进那个圈子
[481.14-483.14] 他一定是已经开始了
[483.14-484.14] 那个场景
[484.14-485.14] 我给你们描述一下
[485.14-487.14] 为什么打K吃4号
[487.14-489.14] 是4号是什么
[489.14-491.14] 我怎么变成他妈的科普频道了
[491.14-492.14] 4号是海洛因
[492.14-494.14] 最新的一种海洛因品种
[494.14-495.14] 但是吃不死
[495.14-496.14] 你只要营养充分
[496.14-497.14] 休息充分
[497.14-498.14] 你不会死
[498.14-499.14] 但是上瘾吗
[499.14-501.14] 肯定上瘾
[501.14-505.14] 症状就是你吃了4号以后状态非常好
[505.14-506.14] 但是你不吃的时候
[506.14-509.14] 就会就是这样律动自己的身体
[509.14-511.14] 乌克兰总统泽连登
[511.14-515.14] 斯基或者那个缅北的四大家族里边
[515.14-516.14] 有个姓刘的
[516.14-517.14] 他就是典型的这种状态
[517.14-521.14] 这就是吃4号人的状态
[521.14-522.14] 都是这样的
[522.14-523.14] 为什么呢
[523.14-527.14] 你正行的人或者正常人无法想象
[527.14-528.14] 就是在黑道上
[528.14-530.14] 因为大家都在做犯法的勾当
[530.14-535.14] 都在做违背内心深处潜意识良心的勾当
[535.14-536.14] 所以呢
[536.14-537.14] 在这样一个圈子里
[537.14-539.14] 就更像一种投名状
[539.14-541.14] 就是我这个人不再练习我自己了
[541.14-542.14] 哥们拼了
[542.14-544.14] 所以我才能跟你们是一伙人
[544.14-546.14] 那有点像什么呢
[546.14-548.14] 有点像在酒桌上
[548.14-550.14] 就是是不是哥们喝了
[550.14-553.14] 他这种绑架就必须逼着你喝酒
[553.14-555.14] 为什么你敢喝酒感应对方修
[555.14-557.14] 你就是我的哥们
[557.14-559.14] 黑道上不是酒
[559.14-562.14] 因为酒这个level太低了
[562.14-563.14] 是个人都敢喝
[563.14-565.14] 因为酒对人体的伤害没那么大
[565.14-566.14] 所以呢
[566.14-570.14] 他让你们打K吃海洛因吸毒
[570.14-571.14] 为了什么
[571.14-573.14] 为了让你下海
[573.14-575.14] 为了好控制
[575.14-578.14] 女士吃了这个东西之后
[578.14-580.14] 你很放开了
[580.14-583.14] 在中东小王子的一对一
[583.14-585.14] 一对多的大party上
[585.14-586.14] 你就非常的放开了
[586.14-588.14] 你就完全不是个人了
[588.14-591.14] 完全变成一个母畜生了
[591.14-592.14] 那他当然了
[592.14-593.14] 他们是也是公畜生
[593.14-595.14] 他们也会做同样的事
[595.14-599.14] 那就是大家就干这些很很不好的事情
[599.14-600.14] 和负面的事情
[600.14-603.14] 我相信没有一个真正的女孩
[603.14-604.14] 是好女孩
[604.14-607.14] 或者素质够高够漂亮的女孩
[607.14-608.14] 愿意干这个
[608.14-609.14] 知道这些事的时候
[609.14-610.14] 如果你真的愿意干这个
[610.14-611.14] 那你就去吧
[611.14-612.14] 那这个谁也挡不住你
[612.14-615.14] 也许你的人生真的是需要这个
[615.14-617.14] 需要这个快钱
[617.14-618.14] 但是这个快钱第一
[618.14-619.14] 他有数你能不能拿得到
[619.14-621.14] 这是个大大的问号
[621.14-623.14] 别像那个姓赵的个大傻逼一样
[623.14-625.14] 去俄罗斯当兵打仗打死自己
[625.14-627.14] 一分钱的抚恤金也没拿到
[627.14-628.14] 对不对
[628.14-630.14] 再有一个你有没有命拿
[630.14-631.14] 这是第一个问题
[631.14-632.14] 第二个问题呢
[632.14-635.14] 就是你女孩子吃了这个毒品之后
[635.14-637.14] 你将来生的孩子会受影响
[637.14-639.14] 孩子没有一个正常的
[639.14-641.14] 轻是兔唇三瓣嘴
[641.14-642.14] 重的话呢
[642.14-646.14] 就是这个孩子将来会有各种各样的脑子上的问题
[646.14-650.14] 所以欢场的娱乐场所的妓院呀
[650.14-652.14] 什么这这种的女孩
[652.14-655.14] 从凉了之后生孩子往往会出
[655.14-657.14] 出现各种小孩的问题
[657.14-658.14] 你说是不可能
[658.14-659.14] 就是报应也好
[659.14-664.14] 你科学的讲是这种毒品或者性病
[664.14-666.14] 对这个生育造成的影响也好
[666.14-667.14] 这都有可能
[667.14-669.14] 所以今天这个作为第一个
[669.14-671.14] 这跟咱们移民没啥关系
[671.14-672.14] 就是劝他一下
[672.14-674.14] 千万别去
[674.14-676.14] 下一个网友呢
[676.14-678.14] 是问我关于美国股票的事
[678.14-681.14] 他看了我的每一期视频几乎是
[681.14-683.14] 然后真的是相见恨晚
[683.14-685.14] 如果早几年认识你的频道
[685.14-687.14] 我也不会那么天真的去相信
[687.14-689.14] 你这边政府有法制这件事了
[689.14-691.14] 听王哥说您几十亿都被抢
[691.14-692.14] 您都放下了
[692.14-693.14] 我那一个多亿的土地房产
[693.14-695.14] 我也不算啥了
[695.14-697.14] 另外就是你说的关于移民的事情
[697.14-700.14] 视频更加坚定了我离开中国的信心
[700.14-703.14] 虽然早年在新西兰读书的时候有绿卡
[703.14-705.14] 回去也比大多数新移民要好
[705.14-708.14] 但最近这几年新西兰的房子也翻了好几番
[708.14-712.14] 在浪费大量的时间精力金钱去祈求政府
[712.14-714.14] 发慈悲还给我们土地和房子后
[714.14-716.14] 回去要从一开始了
[716.14-718.14] 现在看起来真的很可笑
[718.14-720.14] 人生有多少个12年
[720.14-722.14] 我猜他的意思他没写清楚
[722.14-725.14] 我猜他的意思就是他曾经在新西兰待过
[725.14-726.14] 然后拿到绿卡
[726.14-728.14] 他又回深圳做了12年
[728.14-730.14] 但是赚了一个多亿
[730.14-732.14] 都被深圳政府扣下了
[732.14-736.14] 所以他现在祈求市政府拿回来一点东西之后
[736.14-738.14] 回去要从一开始
[738.14-740.14] 还不是从零开始
[740.14-742.14] 从我读书的时候就已经认识到了
[742.14-744.14] 金融是万人敌的学问
[744.14-746.14] 但是如果没有家族
[746.14-747.14] 或者关系
[747.14-749.14] 金融总有物理看花的感觉
[749.14-752.14] 看到王大哥在打网友论
[752.14-753.14] 翟山英刘仲敬
[753.14-754.14] 王林大金人
[754.14-755.14] 程沐阳
[755.14-756.14] 曹查理
[756.14-757.14] 卢网代打台湾
[757.14-758.14] 论不出来怎么办
[758.14-760.14] 这一期里面谈到的研究上市公司
[760.14-762.14] 这件事情可以写email问你
[762.14-764.14] 所以斗胆向您请教
[764.14-766.14] 如何研究上市公司
[766.14-767.14] 特别是美股的
[767.14-769.14] 目前本金很小
[769.14-771.14] 我也选择了您提到的方法
[771.14-774.14] 把上市公司的5年内的公告打出来
[774.14-775.14] 然后逐一的看
[776.14-777.14] 我打印的是特斯拉
[777.14-778.14] 目前正在看
[778.14-781.14] 但看起来还是有点物理看花的感觉
[781.14-783.14] 从各种指标
[783.14-784.14] 什么PE
[784.14-785.14] Net Profit Margin
[785.14-786.14] PEB
[786.14-787.14] ROIC
[787.14-788.14] ROA
[788.14-789.14] ROE
[789.14-790.14] DE
[790.14-791.14] DTI
[791.14-792.14] Current Ratio
[792.14-793.14] Quick Ratio
[793.14-795.14] 这些指标里判断公司的好坏
[795.14-797.14] 但总觉得这些都只是皮毛
[797.14-798.14] 就感觉
[798.14-800.14] 和我目前使用高导一段的占卜一样
[800.14-801.14] 有时准
[801.14-802.14] 时不准
[802.14-803.14] 总觉得哪里不对劲
[803.14-806.14] 再看了老王哥的第四期炒股陪同
[806.14-807.14] 这些的钱被谁赚走了
[807.14-808.14] 有种模糊的认识
[808.14-810.14] 那就是如果能够提早知道
[810.14-812.14] 主力市场资金的布局
[812.14-814.14] 那不就解决问题了吗
[814.14-816.14] 资金进入的股票不就是牛市了吗
[816.14-818.14] 于是又看了K线图和
[818.14-821.14] Point and Figure Charting的图
[821.14-823.14] 书来进行进修
[823.14-824.14] 他就是问我
[824.14-826.14] 指点一二如何研究上市公司
[826.14-827.14] 感激不尽
[827.14-828.14] Wilson
[828.14-830.14] Wilson我跟你讲
[830.14-832.14] 你就是物理看花感觉
[832.14-834.14] 问题越看越多
[834.14-835.14] 这就对了
[835.14-836.14] 嗯
[836.14-838.14] 你们这叫积一成物
[838.14-842.14] 你不是一个有特别大天赋的人
[842.14-844.14] 所以你需要积一成物
[844.14-846.14] 实际上我也不是有天赋的人
[846.14-848.14] 每一个人就是我们现实世界中
[848.14-850.14] 真正能够无师自通
[850.14-852.14] 与生俱来天赋的人
[852.14-853.14] 我是没怎么见过
[853.14-855.14] 我我身边真的没有
[855.14-859.14] 也许也许
[859.14-863.14] 真正能够称得上与生俱来的这种天赋的
[863.14-866.14] 我可能只知道一个人就是肖建华
[866.14-870.14] 他真的是开吧他就会
[870.14-871.14] 这个就是不知道为什么
[871.14-873.14] 这可能只能用天赋解释了
[873.14-876.14] 剩下的包括谢志坤都是一步一步打拼起来的
[876.14-880.14] 包括我们都是有积一成物
[880.14-883.14] 在战争中学习战争的这个过程的
[883.14-885.14] 没有人天生就会
[885.14-888.14] 所以你连积一成物的耐性都没有
[888.14-890.14] 你他妈他看了几天
[890.14-893.14] 你从我开油管到今天
[893.14-895.14] 还不到他妈的四个月
[895.14-896.14] 一百天
[896.14-898.14] 你看到的才有一百天
[898.14-899.14] 你就开始在这坐不住了
[899.14-901.14] 你就别玩金融了
[901.14-902.14] 我跟你讲
[902.14-905.14] 我当时打斗他们都做了一年多
[905.14-907.14] 而且我的基础比你们好得多
[907.14-909.14] 我在这个圈子里面
[909.14-912.14] 我又天天工作在这个投行里面
[912.14-914.14] 我还要一年多才能参透
[914.14-917.14] 你们一百天你何德何能啊
[917.14-920.14] 所以我骂你就是要教育你
[920.14-921.14] 塌下心去
[921.14-923.14] 至少要准备一年的时间
[923.14-925.14] 你才能够进入金融界
[925.14-926.14] 进入金融之门
[926.14-928.14] 积一成物这个一越大
[928.14-930.14] 你悟的时候就越透
[930.14-933.14] 如果积一成物这个过程不能做得到
[933.14-936.14] 你是不可能有金融成就的
[936.14-938.14] 老王您好
[938.14-940.14] 我22年看翟山英的视频
[940.14-944.14] 从您频道建起来一个月左右开始粉您
[944.14-947.14] 22年翟山英就有视频了
[947.14-950.14] 我还以为他是23年就是我看的呢
[950.14-952.14] 没想到他这么早就出来了
[952.14-953.14] 越看越上头
[953.14-956.14] 以我每天大量的时间泡在油管上来看
[956.14-958.14] 您的频道应该是目前简中油管
[958.14-959.14] 为数不多
[959.14-961.14] 仔细念粉丝的信
[961.14-963.14] 耐心帮粉丝解答问题的up主
[963.14-966.14] 难得的是您没有爹味的说教
[966.14-970.14] 也没有上层人士居高临下的装逼范儿
[970.14-972.14] 而且您的单口相上讲的太有意思了
[972.14-975.14] 还有一些观点真的是醍醐灌顶
[975.14-978.14] 比如说加拿大对待难民的那一期
[978.14-980.14] 我听到热泪盈眶
[980.14-981.14] 这次是关于我自己的问题
[981.14-982.14] 希望听您的建议
[983.14-985.14] 关于逆天改命
[985.14-987.14] 我是84年的女
[987.14-988.14] 今年40岁
[988.14-989.14] 单身未婚
[989.14-991.14] 我本身是无神论者
[991.14-993.14] 但是对于算命
[993.14-995.14] 巴拉巴拉就开始说算命
[995.14-997.14] 我应该算是地狱门口的开局
[997.14-999.14] 出生在东北的一个小镇上
[999.14-1000.14] 父母都是普通工人
[1000.14-1003.14] 但祖父母辈在当地有点小关系
[1003.14-1004.14] 在我5岁之前
[1004.14-1005.14] 我爸开了个饭店
[1005.14-1008.14] 能承包婚礼那么大的规模
[1008.14-1009.14] 我爸是个酒懵子
[1009.14-1010.14] 再加上家暴
[1010.14-1011.14] 再加上出轨
[1011.14-1013.14] 饭店也不好好经营
[1013.14-1015.14] 有一天他喝酒抽烟睡着了
[1015.14-1017.14] 就把饭店给点着了
[1017.14-1018.14] 人也受了伤
[1018.14-1019.14] 在我5岁的时候
[1019.14-1020.14] 把我妈打离婚了
[1020.14-1021.14] 饭店后来也关掉了
[1021.14-1023.14] 我被判给了我爸
[1023.14-1024.14] 从我记事起
[1024.14-1025.14] 跟着我爸不是被打
[1025.14-1027.14] 就是他一个人喝多了
[1027.14-1028.14] 倒在地上
[1028.14-1031.14] 我把他拖到床上安顿好他
[1031.14-1033.14] 他再也没有办法做正经事
[1033.14-1035.14] 我从小就必须照顾自己
[1035.14-1038.14] 跟我爸要个五毛钱
[1038.14-1040.14] 一块钱的零钱都要看颜色
[1040.14-1042.14] 那个年代离婚
[1042.14-1043.14] 我妈有心无力
[1043.14-1044.14] 读到小学五年级
[1044.14-1045.14] 我被打得急眼了
[1045.14-1046.14] 自己收拾好行李
[1046.14-1048.14] 跑我老家那边去了
[1048.14-1052.14] 就是潦草的中国人中的家暴环节
[1052.14-1053.14] 我以后省了
[1053.14-1055.14] 我以下就省去500字
[1055.14-1057.14] 这简直是太惨了
[1057.14-1062.14] 反正就是他自己说的地狱门口的开局
[1062.14-1066.14] 然后他就跑去深圳去了
[1066.14-1070.14] 从给房地产端盘子
[1070.14-1072.14] 做礼仪小姐
[1072.14-1075.14] 端盘子剪彩开始打拼
[1075.14-1077.14] 然后还在夜场做过
[1077.14-1080.14] 差点被诱惑到坐台
[1080.14-1084.14] 因为坐台一个月能挣3万
[1084.14-1089.14] 而他当模特端盘子一个月只能挣4000
[1089.14-1090.14] 所以就这么个女孩
[1090.14-1092.14] 一步一步的漂亮女孩子
[1092.14-1094.14] 是穷人家出来的
[1094.14-1097.14] 在社会上各种的诱惑与冷眼
[1097.14-1099.14] 我真的那时候就是个花瓶
[1099.14-1101.14] 所以会被一些职场人士看不起
[1101.14-1103.14] 我也感觉自己知识太低
[1103.14-1105.14] 想找工作都找不着
[1105.14-1107.14] 然后他就开始转运了
[1107.14-1110.14] 总结我的四不改命法
[1110.14-1112.14] 他说就是转运了
[1112.14-1114.14] 因为他一次一次的改变
[1114.14-1118.14] 都是物理空间改变开始的
[1118.14-1121.14] 2006年我回到老家开始做淘宝店
[1121.14-1125.14] 我自己做模特拍照也能有点生意
[1125.14-1128.14] 因为我家附近有两所大学
[1128.14-1129.14] 英语补习班多
[1129.14-1130.14] 价格又便宜
[1130.14-1132.14] 我闲暇了就去学英语
[1132.14-1133.14] 考了四六级
[1133.14-1134.14] 这很厉害
[1134.14-1136.14] 顺便又学了韩语
[1136.14-1138.14] 有留学中介来我这招生
[1138.14-1139.14] 我就动心了
[1139.14-1141.14] 开始申请韩国大学
[1141.14-1142.14] 最后通过07年
[1142.14-1145.14] 我到韩国大学开始学语言学
[1145.14-1148.14] 那个时候中韩物价的差距给我惊到了
[1148.14-1151.14] 一颗包心菜人民币24
[1151.14-1153.14] 在学校吃顿饭也得20多
[1153.14-1155.14] 那时我妈一个月工资才4000
[1155.14-1156.14] 学费都是家里帮忙的
[1156.14-1158.14] 没钱的滋味非常不好受
[1158.14-1159.14] 放假同学都回国
[1159.14-1161.14] 我就用憋脚的韩语
[1161.14-1165.14] 在韩国人用的网站上找临时工
[1165.14-1167.14] 我真佩服我自己的勇气
[1167.14-1170.14] 最后一个非常好的酒吧老板
[1170.14-1173.14] 把打扫卫生的工作让我去面试
[1173.14-1175.14] 我一个人独自坐地铁
[1175.14-1178.14] 找不到地点差点放弃
[1178.14-1181.14] 多亏韩国大叔帮我指路
[1181.14-1183.14] 我找到一份工作
[1183.14-1185.14] 第一天是四个小时
[1185.14-1186.14] 一小时4500韩币
[1186.14-1188.14] 大概相当于35人民币
[1188.14-1189.14] 大概相当于35人民币
[1189.14-1191.14] 打扫卫生扫厕所
[1191.14-1193.14] 后来老板看我工作不错
[1193.14-1195.14] 就把我调去酒吧
[1195.14-1197.14] 刷啤酒杯
[1197.14-1199.14] 一个小时给5000韩元
[1199.14-1202.14] 这样一天我工作8到9个小时
[1202.14-1204.14] 一个月我挣7000人民币
[1204.14-1206.14] 对于还在学语言的我来说
[1206.14-1208.14] 已经相当不错了
[1208.14-1211.14] 500cc的啤酒杯刷到我手指都伸不直
[1211.14-1214.14] 长期站立导致我小腿静脉曲张
[1214.14-1216.14] 你看多辛苦啊
[1216.14-1217.14] 所以就是丁牌子
[1217.14-1218.14] 丁胖子
[1218.14-1220.14] 丁胖子是金牌讲师
[1220.14-1222.14] 他表面风光在那要饭
[1222.14-1224.14] 他身上的病痛也不会少
[1224.14-1226.14] 因为他整天风餐露宿的
[1226.14-1228.14] 怎么可能不留病呢
[1228.14-1230.14] 但是你开局在地狱口
[1230.14-1232.14] 你还能省劲吗
[1232.14-1233.14] 对不对
[1233.14-1235.14] 我一边打工一边学
[1235.14-1237.14] 比其他同学更早进了大学本科
[1237.14-1238.14] 读服装设计
[1238.14-1241.14] 大学期间换了家餐馆打工
[1241.14-1243.14] 做到每天晚上11点
[1243.14-1244.14] 中间都没饭
[1244.14-1246.14] 没时间吃口饭
[1246.14-1248.14] 只能吃客人剩下的食物
[1248.14-1251.14] 韩国的大学为了做国际排名
[1251.14-1253.14] 对留学生非常宽容
[1253.14-1254.14] 我们只要达到一定的成绩
[1254.14-1257.14] 就可以拿个人奖学金减免学费
[1257.14-1258.14] 三分之二
[1258.14-1259.14] 第一次期末考试
[1259.14-1260.14] 前为了复习
[1260.14-1262.14] 我连续几天不沾床睡觉
[1262.14-1264.14] 考前困得睁不开眼
[1264.14-1266.14] 就跑去洗手间冲凉水
[1266.14-1268.14] 扇自己嘴巴子
[1268.14-1271.14] 庆幸我每个学期都能拿到这种个人奖学金
[1271.14-1273.14] 免三分之二学费
[1273.14-1274.14] 那时韩国兴代购
[1274.14-1276.14] 我就开始做代购
[1276.14-1278.14] 时间上也自由了一些
[1278.14-1280.14] 也接触了一些韩国商家
[1280.14-1282.14] 后来我在国内开了天猫店
[1282.14-1283.14] 我妈退休了
[1283.14-1285.14] 我也不想再花家里的钱
[1285.14-1287.14] 我就回国经营我的天猫店
[1287.14-1289.14] 在国内待了两年
[1289.14-1292.14] 申请了韩国大学的修学
[1292.14-1294.14] 赚了不少钱
[1294.14-1297.14] 就回去复学了
[1297.14-1298.14] 但是足够挣的钱
[1298.14-1301.14] 足够我在韩国的学费和生活开销
[1301.14-1302.14] 日子过得宽多了
[1302.14-1304.14] 一年可以在韩国中国之间
[1304.14-1306.14] 来来回回好几次
[1306.14-1310.14] 2015年我在韩国顺利硕士毕业
[1310.14-1312.14] 回来继续经营我的小城
[1312.14-1316.14] 18年我通过留学生身份落户在了上海
[1316.14-1317.14] 你看他就彻底改运了
[1317.14-1320.14] 18年他居然落户了在了上海
[1320.14-1323.14] 因为生意在一个浙江小城
[1323.14-1325.14] 我在那里买了车房
[1325.14-1326.14] 有时也会感慨
[1326.14-1328.14] 我像个打不死的小强
[1328.14-1330.14] 我几次倔强的出逃
[1330.14-1333.14] 都是为了我后面的命运铺了路
