[0.18-2.82] 哈喽 大家好 又见面了
[2.82-7.74] 晚上又无心睡眠 继续给大家录一期
[7.74-14.34] 今天白天比较忙 跑到列治文去跟考拉喝杯酒
[14.34-18.52] 网友见了一面 吃了个老北京铜锅涮肉
[18.52-22.82] 非常爽 喝了两杯啤酒 这就是温华的慢生活
[22.82-27.24] 结果这杯啤酒下肚 今儿一天基本上啥事没干
[27.24-31.84] 到半夜三更了 天黑了 你看这灯只要是亮着
[31.84-35.60] 就是晚上给大家录 聊聊天 放放松
[35.60-39.94] 老王的频道一晃一百多期了
[415.16-417.74] 如果你们在美国洛杉矶或者美国其他城市买房
[417.74-420.80] 你们一定要选择浮动汇率
[420.80-423.56] 因为美联储会议迅雷不及掩耳盗铃
[423.56-425.36] 铃儿响叮当的速度降息
[425.36-426.44] 他可不是慢慢讲的
[426.44-428.66] 夸夸夸夸就给你降下去
[428.66-430.82] 那么在这种降息潮下
[430.82-433.22] 美元就会出现贬值的倾向
[433.22-437.50] 那美元类的资产配比就会降低
[437.50-440.00] 而去配置对冲美元类的资产
[440.00-442.40] 人民币就是他们重要的选项
[442.40-443.96] 人民币资产
[443.96-444.96] 所以如果不是
[445.16-446.24] 他出来了
[446.24-448.70] 其实这个潮是非常大的
[448.70-449.54] 这是其一
[449.54-451.10] 其二呢
[451.10-451.52] 注意啊
[451.52-452.44] 大家好好听啊
[452.44-453.46] 其实虽然是补充
[453.46-455.12] 但是可能会非常重要
[455.12-455.62] 其二呢
[455.62-457.28] 中国的对外出口
[457.28-459.86] 尤其是中国基础商品的出口
[459.86-461.08] 比如说日用品
[461.08-462.56] 比如说新能源
[462.56-464.12] 比如说电池、锂电池
[464.12-465.02] 这些东西的出口
[465.02-471.10] 目前是越南、菲律宾、印度无法替代的
[471.10-474.02] 那么这些出口哪怕是转口
[474.02-475.06] 它最后
[475.16-478.48] 还是会有资金外汇进入中国
[478.48-480.32] 就是在黑箱在不停的流入
[480.32-483.40] 随着对外贸易的逐渐趋于正常
[483.40-486.24] 人民币升值的压力再现
[486.24-487.92] 这种升值压力来源于两方面
[487.92-488.68] 刚才我说清楚吧
[488.68-490.32] 一个是美联储降息
[490.32-492.60] 美元下降
[492.60-494.38] 自然的其他货币自然就
[494.38-496.28] 这就是水涨船高
[496.28-497.68] 什么水落石出的道理
[497.68-498.82] 就是美元下去了
[498.82-500.32] 你别的货币都在升值
[500.32-503.12] 包括加元、澳元都会跟着升
[503.12-504.24] 那么人民币也会在这里升值了
[504.24-504.74] 那么人民币也会在这里升值了
[504.74-505.14] 那么人民币也会在这里升值了
[505.16-505.70] 那么人民币也会在这里升值了
[505.70-507.28] 甚至是领升
[507.28-509.12] 因为人民币是不多的
[509.12-511.12] 国际五大货币里边
[511.12-514.12] 唯一的一个跟美元强对冲的货币
[514.12-515.76] 你比如说日元、加元
[515.76-518.68] 跟美元没有那么强的对冲性
[518.68-519.16] 好了
[519.16-521.12] 这是一个因素
[521.12-523.44] A因素
[523.44-527.32] B因素就是正常国际贸易状态下
[527.32-531.72] 大量的中国制造商品销售出去之后的结汇
[531.72-533.48] 所以与此相比
[533.48-534.74] 中国的
[534.74-536.88] 公民对外消费
[536.88-540.24] 对外的什么买菜、吃饭
[540.24-543.98] 这个小头流出的可以忽略不计几乎是
[543.98-547.14] 那么在这样两个因素安排之下
[547.14-550.74] 人民币就会出现小牛市
[550.74-552.58] 目前人民币已经小牛市了
[552.58-554.82] 迅速的升到接近7了
[554.82-556.28] 就是滋滋就上去了
[556.28-558.74] 从接近8往接近7
[558.74-560.18] 快速上行
[560.18-562.88] 宅小鸟说年底不破8
[562.88-564.32] 它吃屎
[564.32-567.00] 我们看看它吃不吃屎
[567.00-568.36] 我估计它不会吃屎的
[568.36-569.00] 它不要脸了
[569.00-570.14] 现在已经
[570.14-570.56] 因为什么
[570.56-571.46] 这就是水平
[571.46-573.64] 它不知道人民币汇率的形成机制
[573.64-575.48] 所以它是情绪化的
[575.48-576.86] 它跟摇滚青年一样的
[576.86-579.92] 就是你们爱听什么
[579.92-581.36] 反共的反贼
[581.36-583.88] 因为你翻墙出来一定是对社会不满
[583.88-585.06] 你想听什么
[585.06-586.24] 我来说什么
[586.24-590.24] 这是他们的大概齐的这样一个定位
[590.24-590.90] 但我这不是
[590.90-591.94] 你可能不爱听
[591.94-593.30] 你可能觉得说我是反贼
[593.30-594.32] 但是我这儿是什么
[594.32-595.28] 真东西
[595.28-596.78] 你听完了时间长了之后
[596.78-598.52] 你会形成自己的独立思维能力
[600.52-602.48] 这是我们今天插播的第一个事
[602.48-608.14] 就是进一步讲清楚人民币的中短期12个月之内的走势
[609.38-613.28] 但是大家要知道人民币汇率还有一个因素
[613.28-615.50] 还有一个因素就是它的内源性因素
[615.50-618.50] 就是人民币在我说的这两个前提下
[618.50-621.68] 它产生强大的升值压力的同时
[621.68-623.30] 升值力的同时
[623.30-624.14] 这就像飞机一样
[624.14-625.04] 它有地球重力
[625.04-626.00] 地球重力是什么
[626.00-627.38] 就是它自身的重力
[627.38-628.52] 如果人民币升值
[628.52-629.60] 它是个生力的话
[629.60-630.50] 还有重力
[630.50-631.28] 重力是什么
[631.28-634.02] 重力就是人民币的贬值趋势
[634.02-636.02] 人民币在国内大量的印钞
[636.02-638.84] 它出出出现了贬值压力
[638.84-643.42] 这个压力跟人民币升值的压力形成一对对应对抗力
[643.42-652.64] 那么这对对抗力作用的结果就是人民币最终体现在黑箱之上的这个做市商报出来的人民币报价的结果
[654.14-657.86] 在人民币重力下坠的压力下
[657.86-658.58] 重力下
[658.58-660.74] 这个因素非常之大
[660.74-662.24] 就是换句话是什么呢
[662.24-664.16] 就是你这么强吧
[664.16-666.38] 我看看能不能给你们讲清楚啊
[666.38-667.28] 比如说啊
[667.28-669.76] 比如说咱们用物理思维啊
[669.76-672.98] 头脑风暴实验人民币本来应该升到一比三
[672.98-674.60] 跟美元的购买力是持平的
[674.60-677.88] 就是购买力评价是衡量货币的真正的指标
[677.88-679.26] 就是一篮子货品
[679.26-683.24] 一篮子同样的货品商品
[683.24-684.12] 在美国生活中
[684.14-687.14] 需要的这些商品和在中国生活需要的商品
[687.14-690.02] 然后同样数量的人民币和美元去买
[690.02-692.02] 看最后你一个吨大小
[692.02-694.40] 那美元是一
[695.64-699.76] 人民币是多少能买到在美国的美元买到同样的商品呢
[699.76-700.82] 比如说是一比三
[700.82-702.26] 那人民币的最终的
[703.26-706.04] 自由市场的自由兑换的
[706.04-709.00] 它的这个均值就应该是一比三啊
[709.00-711.74] 如果这是一个强大的升值需求的话
[711.74-713.24] 那特朗普吃压你
[713.24-714.36] 人民币升到一比三
[714.36-715.30] 这就是平衡了
[715.30-716.84] 中美之间就平衡了
[716.84-717.98] 就没有贸易战了啊
[717.98-719.36] 非常非常平衡
[720.62-722.00] 两个货币可以自由兑换
[722.00-723.44] 水面是齐平的
[723.44-725.06] 没有落差
[725.06-726.38] 但是大家想啊
[726.38-728.90] 这个这是升值人民币升值
[728.90-732.14] 但是我人民币没有没有升值
[732.14-734.50] 这种两两两点五倍没有升值两点五倍
[734.50-735.64] 不止升值到一比三
[735.64-738.52] 我在国内我多印两点五倍人民币
[738.52-741.22] 我人民币等于是我在国内是贬值了
[741.22-742.94] 所以我对你美元的话
[743.24-745.28] 保持目前一比八
[745.28-746.30] 我也不用升值了
[746.30-748.10] 我们我们同样也平了
[748.10-749.06] 大家懂吗
[749.06-751.52] 回头好好翻翻这一段啊
[751.52-752.48] 好好翻这一段
[752.48-754.82] 就是人民币不多印
[754.82-756.38] 或者相对美元不多印
[756.38-759.42] 那如果购买力实际只差两点五倍
[759.42-762.50] 但是币值差了一比八是八倍
[762.50-766.26] 那我们有两两点五呃实际购买力三倍
[766.26-768.26] 我们币值是一一比七八之间
[768.26-770.16] 那么我们有两点五倍的升值压力
[770.16-771.50] 但是我不升值
[771.50-773.00] 我多印两点五倍的人
[773.00-775.16] 人民币之之间也能平衡
[775.16-776.24] 我就不用升值了
[776.24-777.08] 我还是一比八
[777.08-779.48] 这时候我一比八就非常合理
[779.48-781.10] 因为我在国内钱毛了
[781.10-784.40] 目前中国采取这样的一个策略
[784.40-785.54] 如果是人民银行
[785.54-788.06] 如果是懂经济的总理
[788.06-791.66] 采取这个策略要比人民币升值有利的多
[791.66-792.74] 大家懂吗
[792.74-794.54] 就是我在国内
[794.54-796.64] 比如说我本来对美元
[796.64-799.28] 其实人民币对美元是有购买力优势的
[800.30-802.58] 因为你在国内买同样东西花的
[802.58-802.98] 就是在美元上的购买力优势的
[803.00-808.24] 比美国花的一比八美元要花的钱要金花的多
[808.24-810.68] 那么我不升值
[810.68-811.62] 我坚决不升值
[811.62-812.66] 我贬值
[812.66-814.06] 我贬值
[814.06-814.94] 我多印钱
[814.94-816.92] 最后我买的我人民币不值钱了
[816.92-817.46] OK
[817.46-819.32] 你满意了
[819.32-823.34] 这种模式对美国非常不利
[823.34-825.20] 而对中国非常有利
[825.20-827.90] 这就相当于池子理论外汇管理
[827.90-829.46] 为什么建了一个黑箱
[829.46-830.80] 建了一个黑箱放在香港
[831.80-832.58] 为什么
[832.58-834.20] 因为它不让外汇
[834.20-836.18] 因为正常的贸易开放
[836.18-838.46] 对外开放而冲击实体经济
[838.46-842.24] 实体经济里面只有封闭的人民币一种货币
[842.24-843.96] 其他外币一律进不来
[843.96-847.02] 在960万平方公里这个范围内没有外币
[847.02-848.66] 全他们给你结汇了
[848.66-851.30] 什么WTO全部耍赖
[851.30-854.72] 这个就是实体经济得到了空前的保护
[854.72-856.58] 它就相当于一个温室一样
[856.58-858.20] 把你的花朵保护起来
[858.20-861.38] 等你长大长粗长得胸毛乱撞的时候
[861.38-862.36] 啪门一开
[862.36-863.62] 卧槽
[863.62-867.46] 温室外的那些小瓜小菜不是你的对手
[867.46-868.54] 这就是贸易
[868.54-871.12] 这就是金融战的不平等之处
[871.12-873.46] 这实际上是一种不平等战争
[873.46-875.14] 如果美国总统靠谱
[875.14-877.96] 罗斯福那样的总统绝不会让你干这个事
[877.96-879.08] 当今的地球很乱
[879.08-886.46] 没有一个特别清楚的领导人和特别进取的这样一个民主国家领军
[886.46-887.92] 这是一个特别大的悲哀
[887.92-888.94] 拜登那么老了
[888.94-890.12] 他们走路都不稳当了
[890.12-892.26] 川普要上来太可怕了
[892.36-894.52] 整个地球还要再重新翻篇
[894.52-896.62] 治大国如烙大饼
[896.62-898.54] 这是咱们今上的口头禅
[898.54-901.32] 但是特朗普要上来跟拜登这么来回上
[901.32-903.82] 就是治地球如抡大饼
[903.82-905.68] 我他这个地球会非常乱
[905.68-906.52] 特朗普如果上来
[906.52-909.92] 第一件事就从乌克兰撤军断了泽连斯基的后路
[909.92-910.68] 那他妈的
[910.68-913.36] 这个地球不彻底乱乱求的了吗
[913.36-915.64] 那搞不好特朗普还要退退出北约
[915.64-916.78] 那你这这个哎哟
[916.78-919.72] 这个简直就是把红运送给中国
[919.72-921.58] 所以这个我们都不能想太多了
[922.36-924.10] 想想地球到底发生了什么
[924.10-928.06] 所以我们我们不谈那么宏伟的宏伟的这个景象
[928.06-930.34] 我们只谈我们这个人民币经济
[930.34-931.84] 那么也就是说
[931.84-933.52] 按我说的这个原则
[933.52-937.74] 人民币多印海量印钞是有道理的
[937.74-939.24] 海量印钞是有道理的
[939.24-941.26] 当然我不认为他们是故意的
[941.26-942.72] 他们是歪打正着
[942.72-946.42] 那么海量印钞会解决中美汇差的问题
[946.42-949.24] 逐步的把中美两国的购买力
[949.24-952.26] 本币购买力拉到同一个水平线
[952.36-956.30] 那这对于中国经济的保护是非常有有力的
[956.30-957.76] 好了
[957.76-959.62] 我们只是站在月球看地球
[959.62-962.70] 不站在任何一个一方去说这个问题
[962.70-967.10] 那进入今天的主题
[967.10-971.06] 就讲一讲温哥华的那些抑郁症
[971.06-974.06] 这是一个特别大的问题
[974.06-975.94] 就是大家都说我是家吹嘛
[975.94-977.80] 就我老说加纳这儿好那儿好
[977.80-978.84] 温哥华这儿好那儿好
[978.84-979.68] 但是呢
[979.68-981.82] 我来了温哥华以后
[981.82-983.94] 我发现在华人的
[984.08-986.38] 移民群体中精神不正常的
[986.38-988.04] 比一比皆是
[988.04-992.02] 当然我精神不正常是带有相对性的
[992.02-993.74] 相对于本地的白人
[993.74-995.72] 或者本地的其他民族
[995.72-999.28] 华人的压力要大
[999.28-1004.44] 是不是说相对于国内就正常
[1004.44-1006.06] 就更不正常
[1006.06-1006.56] 不是
[1006.56-1011.40] 因为国内精神病的比例更多
[1011.40-1013.60] 因为内卷的压力太大了
[1013.60-1015.02] 一个一个的都火爆
[1015.02-1016.00] 力气十足
[1016.00-1018.40] 国内的情况我不谈
[1018.40-1021.04] 我只谈加拿大应该的情况
[1021.04-1022.90] 和实际的情况之间的落差
[1022.90-1026.16] 大家记不记得成龙那个灯说过一句话
[1026.16-1029.10] 就是中国人是要管的
[1029.10-1029.92] 所以这个就是
[1029.92-1031.52] 其实他说的是问题关键
[1031.52-1033.84] 我们中国人从中国
[1033.84-1035.32] 特别积极
[1035.32-1036.48] 特别卷的环境
[1036.48-1037.54] 一到了加拿大
[1037.54-1038.92] 一下子没人管的时候
[1038.92-1039.78] 不会了
[1039.78-1041.24] 就不会了
[1041.24-1042.94] 没人管我了
[1042.94-1044.66] 没人管
[1044.66-1046.10] 从夹击的状态
[1046.10-1048.22] 一下子进入到野化野鸡的状态
[1048.22-1050.10] 出现各种各样的问题
[1050.10-1055.26] 成人和小孩都会出现问题
[1055.26-1056.34] 我先说小孩的
[1056.34-1057.82] 因为我特别担心
[1057.82-1059.06] 特别关心小孩
[1059.06-1060.42] 我有个校友
[1060.42-1063.50] 孩子已经休学了
[1063.50-1065.02] 孩子很小
[1065.02-1065.74] 没有多大
[1065.74-1070.66] 因为孩子是在中国上完了小学过来的
[1070.66-1072.10] 因为他们都有这么个理论
[1072.10-1072.94] 叫打好基金
[1072.94-1074.66] 打好基础再过来
[1074.66-1076.14] 完全错误
[1076.14-1078.50] 打好基础就别过来了
[1078.50-1082.42] 因为两国的教育体制完全是不同的教育体制
[1082.42-1085.42] 我们中国人有一个错误的认识
[1085.42-1088.18] 就是欧美加澳
[1088.18-1091.18] 是包括日本这个基础教育不扎实
[1091.18-1092.50] 完全错误
[1092.50-1095.46] 人家这个边的基础教育是另一个体系
[1095.46-1097.46] 不是不扎实
[1097.46-1101.30] 就是说你看这边小孩整天在划水摸鱼玩
[1101.30-1102.18] 但是其实他有
[1102.18-1104.02] 非常扎实的一面
[1104.02-1106.94] 就是他的critical thinking
[1106.94-1108.66] 就是辩证思维
[1108.66-1111.94] 辩证思维法和他的写作能力
[1111.94-1115.74] 以及他的从小就培养的信息
[1115.74-1119.78] 攫取能力是远远超过中国学生的
[1119.78-1121.82] 中国学生强的是什么
[1121.82-1123.46] 算
[1123.46-1125.54] 99惩罚表
[1125.54-1126.90] 口算心算
[1126.90-1127.90] 背下来公式
[1127.90-1129.62] 这个中国强
[1129.62-1130.26] 确实强
[1130.26-1131.58] 基本功特别扎实
[1131.58-1133.06] 算草纸做的特别扎实
[1133.06-1134.86] 这边不是很重视这个
[1134.86-1137.14] 但是这边重视的东西
[1137.14-1138.22] 中国也不重视
[1138.22-1142.58] 比如说这边孩子到四年级就要写论文了
[1142.58-1143.78] 而且老师比如说老师
[1143.78-1145.70] 这星期跟你说
[1145.70-1148.26] 我们写一个因纽特人的历史
[1148.26-1151.66] 及因纽特人在加拿大发展过程中
[1151.66-1152.74] 对加拿大的贡献
[1152.74-1156.34] 以及加拿大政府对因纽特人的迫害
[1156.34-1158.54] 以及赔偿的正确思路
[1158.54-1161.06] 这是四年级五年级的孩子要写的
[1161.06-1162.78] 而且老师讲讲因纽特历史之后
[1162.78-1164.18] 就不再往下说了
[1164.18-1165.66] 孩子们要自己去谷歌
[1165.66-1166.94] 自己去YouTube
[1166.94-1169.06] 自己去找知识
[1169.06-1170.30] 然后形成这个东西
[1170.30-1171.10] 站到班里
[1171.10-1173.34] 叭叭叭叭讲
[1173.34-1175.26] 五年级六年级会这样
[1175.26-1177.94] 我们今天我们这个班里就是联合国
[1177.94-1179.66] 你们两个是印度
[1179.66-1180.90] 你们两个是中国
[1180.90-1182.10] 你们两个是俄罗斯
[1182.10-1183.30] 你们两个是乌克兰
[1183.30-1184.34] 扮演各自的角色
[1184.34-1187.26] 现在我们要开联合国安全理事会
[1187.26-1187.94] 我们要开会了
[1187.94-1190.26] 联大开会了
[1190.26-1190.90] 然后老师
[1191.06-1192.62] 先讲完国际形势之后
[1192.62-1193.74] 然后大家开会
[1193.74-1196.50] 每个孩子都要扮演自己扮演的国家
[1196.50-1197.98] 之前你要查资料的
[1197.98-1202.42] 你不能他妈的俄罗斯人站在乌克兰这边说话
[1202.42-1204.14] 所以你要扮演的像
[1204.14-1207.14] 你想中国可以让孩子们干这事吗
[1207.14-1209.34] 中国是绝对不会让孩子干这事的
[1209.34-1210.50] 因为你干这事
[1210.50-1211.86] 你不就都反共了吗
[1211.86-1213.98] 你这不就把他唬不住你们了吗
[1213.98-1216.86] 所以中国的孩子在这方面简直是零
[1216.86-1217.94] 也就是说
[1219.50-1220.78] 你上完了小学
[1220.78-1222.10] 上完了初中
[1222.10-1223.30] 上这上高中来
[1223.30-1225.46] 你以为你能占便宜
[1225.46-1227.50] 其实你是吃亏了
[1227.50-1231.18] 我这个校友的孩子退学休学
[1231.18-1232.10] 不能上了
[1232.10-1233.86] 就是因为这个原因
[1233.86-1236.38] 他爸爸妈妈鸡他
[1236.66-1238.34] 因为中国人选
[1238.34-1240.26] 你看给我网友写信也说
[1240.26-1245.34] 南苏里和高桂林哪个中学好
[1245.34-1248.02] 然后我一说哪个中学好
[1248.02-1249.22] 一定把孩子送到有IB课程的中学里
[1249.22-1250.18] 一定把孩子送到那个有IB课程的中学里
[1250.18-1250.74] 一定把孩子送到那个有IB课程的中学里
[1250.78-1252.90] IB课程就是国际通用的
[1252.90-1254.30] 美国都认的IB课
[1254.30-1256.54] 中学里边这叫IB
[1256.54-1257.70] IB是哪两个缩写
[1257.70-1258.22] 我也不清楚
[1258.22-1260.70] 但是孩子他妈整天IBIB的
[1260.70-1262.34] 所以我知道IB很牛逼
[1262.34-1262.98] 很重要
[1262.98-1263.90] 很牛逼
[1263.90-1265.18] 你有IB课程的话
[1265.18-1267.42] 你可以全球大学都认你
[1268.18-1269.10] 好了
[1270.30-1273.14] IB课程里边有三科是文科
[1273.26-1274.34] 历史
[1274.98-1276.10] 你会吗
[1276.22-1278.10] 英语你行吗
[1278.34-1279.82] 类似于文学
[1279.82-1281.18] 你行吗
[1281.18-1284.70] 你他妈在国内上的初中小学
[1284.70-1287.54] 你以为你的英语能跟得上本地的节奏吗
[1287.54-1289.14] 你根本跟不上
[1289.42-1295.50] 所以历史政治英语语文这类的相应的
[1295.50-1298.18] 就是社会学相应的
[1298.18-1301.58] 在加拿大基础教育里边对应的学科
[1301.82-1304.86] 在IB中学里边你是根本跟不上
[1305.30-1307.26] 而IB你要想有竞争力的话
[1307.26-1308.26] 你平均分是怎么样
[1308.26-1309.54] 85 90
[1309.82-1312.54] 这个level你才能够申请名校
[1312.54-1315.42] 完成你鸡娃的梦想和自己的梦想
[1315.42-1316.62] 可是你想没想过
[1316.62-1318.46] 你连听都听不懂
