[11.12-13.18] 哈喽大家好又见面了
[383.92-386.74] 所以第一次住院进的是同仁医院
[386.74-389.04] 因为同仁医院是治眼睛的专科医院
[389.04-391.34] 最好的医院
[391.34-394.68] 94年12月这次第一次中毒是进的同仁医院
[394.68-396.72] 95年4月25号
[396.72-397.74] 他再次中毒
[397.74-401.58] 那么他进的是就是我们后来知道的协和了
[401.58-402.62] 那协和医院
[402.66-403.42] 诊不出来
[403.42-405.74] 或者他眼这个
[405.74-408.04] 情报呢协和医院
[408.04-409.82] 根本就不当回事
[409.82-411.36] 那最后呢是
[411.36-413.92] 贝志诚他们几个热心同学呢给他
[413.92-418.78] 把他的什么血样啊什么头发拿到了北京市劳动卫生职业病防治所
[418.78-420.06] 这才
[420.06-422.12] 鉴定出来是他眼中毒
[422.12-422.88] 他中毒
[422.88-425.44] 并且呢公安写
[425.44-428.78] 他眼体内的朱令当时就是
[428.78-430.30] 4月25号
[430.30-432.62] 朱令体内的他眼已达医学致死量
[432.66-434.70] 就是已经是可以让他
[434.70-435.98] 死掉的一刻
[435.98-437.02] 那
[437.02-440.86] 大家不要忘了其实4月25号朱令已经入院
[440.86-441.88] 有几天了
[441.88-444.18] 应该是都快一个星期了
[444.18-447.76] 他的这个中毒的这个情况其实已经开始
[447.76-449.30] 往外代谢了
[449.30-453.40] 他的他眼中毒的峰值应该是他上吐下泻
[453.40-457.50] 送进协和医院的时候那个时候是他最高值
[457.50-458.26] 也就是说
[458.26-461.58] 他这个体内的他眼代谢出去了这么长时间
[461.58-462.62] 还在致死寒凉中
[462.66-464.46] 但是他还没有达到寒凉以上
[464.46-467.78] 北京市这个劳动卫生职业病房之所
[467.78-469.82] 还能测出来他是致死寒凉以上
[469.82-473.66] 所以那孙他下手那是相当狠啊
[473.66-474.70] 那基本上
[474.70-476.48] 像放盐一样往里面放
[476.48-479.82] 那这个量才能达到这个效果
[479.82-481.10] 就是非得让
[481.10-482.62] 让他废掉不可以
[482.62-485.70] 不达目的是不罢休的毒他
[485.70-487.74] 然后警察接着写
[487.74-488.78] 经工作
[488.78-492.62] 排除了朱令令自杀和误食太盐的可能性
[492.66-494.20] 被人为投毒所致
[494.20-495.74] 这句话非常关键
[495.74-499.32] 这句话公安部回函明确告诉大家就是投毒
[499.32-503.66] 没有什么误食啊什么自杀的可能性
[503.66-506.74] 但由于事发两个月后才报案
[506.74-508.02] 证据已经灭失
[508.02-509.82] 案件终未侦破
[509.82-512.38] 这句话信息满满
[512.38-513.40] 公安部
[513.40-515.96] 成功的把责任就推开了
[515.96-517.74] 就是不是我们的事不是
[517.74-520.56] 我们无能而是敌人太狡猾
[520.56-522.62] 由于事发两个月后才报案
[522.66-524.20] 这句话的
[524.20-526.24] 没有主语
[526.24-526.76] 大家发现了吗
[526.76-528.54] 这就是中央文件在
[528.54-531.62] 中央文件的高明所在地
[531.62-533.42] 你看不出他有什么问题来
[533.42-534.70] 但是实际上
[534.70-536.22] 他有语病
[536.22-538.78] 谁事发两个月后才报案
[538.78-540.06] 关键所在
[540.06-542.12] 清华大学
[542.12-543.66] 有报案权利的
[543.66-545.96] 一清华大学二朱令的父母
[545.96-547.74] 这都是可以报案的
[547.74-550.06] 那作为刑事案件来说呢
[550.06-552.62] 任何一个公民也都有义务和权利的
[552.66-553.94] 可以进行报案
[553.94-557.26] 但是呢实际上公安在受理的时候任何一个公民
[557.26-558.30] 比如说小贝
[558.30-560.08] 去报案公安是不理他的
[560.08-562.14] 那也就是说父母
[562.14-563.42] 以及
[563.42-565.98] 清华大学是可以报案的
[565.98-569.30] 那父母和清华大学为什么在事发
[569.30-570.58] 两个月后
[570.58-571.60] 才报案
[571.60-573.66] 这就是关键所在
[573.66-575.70] 为什么拖了这么长时间
[575.70-579.02] 公安部呢也不能因为这个事得罪清华大学
[579.02-582.10] 毫无疑问这个主要责任在清华大学
[582.10-584.92] 次要责任在朱令令的父母身上
[584.92-587.74] 父母作为当事人家长来说呢
[587.74-591.32] 前期对朱令令中毒这个事的认识
[591.32-592.60] 并不够
[592.60-594.90] 甚至我们看到同学回忆
[594.90-597.72] 当有同学说他是他人中毒有人投毒的时候
[597.72-601.82] 有一个细节就是朱令令的父亲还哭哧一笑
[601.82-604.88] 就是觉得这帮孩子可能是
[604.88-608.46] 好莱坞电影看多了的这种反应
[608.46-610.00] 实际上呢
[610.00-612.06] 也证明这个
[612.10-612.86] 父母
[612.86-614.40] 他的这个警惕性
[614.40-616.96] 和他的社会经验是高度不足的
[616.96-621.06] 以后来朱令令父亲表现的那种懦弱
[621.06-623.10] 那种
[623.10-624.64] 消极
[624.64-625.92] 那种
[625.92-626.94] 苦笑
[626.94-627.98] 无奈
[627.98-631.56] 其实前因后果都能屡上
[631.56-633.86] 所以事发两个月后才报案
[633.86-636.68] 证据已经灭失
[636.68-638.22] 这个是公安部的
[638.22-640.52] 告诉你的原因就是我为什么破不了案
[640.52-641.02] 第一
[641.02-642.06] 你把两个月之后
[642.06-643.08] 最后才报案
[643.08-645.38] 你应该马上24小时之内就要报案
[645.38-646.66] 我马上拉线
[646.66-647.94] 去侦查现场
[647.94-650.50] 两个月以后人来人往的
[650.50-652.30] 上他们哪找这种现场
[652.30-653.06] 这是第一
[653.06-654.10] 第二呢告诉你
[654.10-655.12] 证据已经灭失
[655.12-656.14] 没有证据
[656.14-657.42] 没有物证
[657.42-661.00] 那不要说中国公安部就是美国FBI去
[661.00-664.88] 他也没有办法破案
[664.88-666.16] 对此
[666.16-670.26] 朱令令的家长多次致信中央领导和有关部门
[670.26-672.56] 中央和有关部门领导同志
[672.56-674.10] 均对此案做出批评
[674.10-676.14] 批示要求加强办案力量
[676.14-677.42] 尽快办解此案
[677.42-679.22] 这个呢是公安部给
[679.22-681.02] 自己的领导和中央领导
[681.02-682.54] 下了台阶
[682.54-684.60] 中央领导
[684.60-685.36] 就是
[685.36-688.18] 当年的中央领导能用这个词只有两个人
[688.18-690.22] 一个是江一个是朱
[690.22-692.78] 有关部门就不用说了就是公安部
[692.78-695.60] 有关部门的领导就是公安部的领导
[695.60-697.40] 北京市公安局的领导
[697.40-699.70] 1997年10月23日
[699.70-704.06] 时任市委政法委书记的强卫同志
[704.06-707.14] 组织召开了市高级人民法院市检察院
[707.14-708.92] 市公安局的三长会议
[708.92-710.72] 这个就是公检法
[710.72-711.74] 聚在一起了
[711.74-715.32] 这个就是最大力度了1997年10月23号
[715.32-718.90] 也就是说他们报案之后的五个月
[718.90-721.46] 而且这一句话里面点出了一个人的名字
[721.46-723.78] 这个在中央文件里面很少见
[723.78-725.56] 就是具体指出这个名字
[725.56-728.38] 就是强卫实际上他们把强卫同志给推出去了
[728.38-729.14] 就是
[729.14-730.42] 像刘胡兰一样
[730.42-734.02] 大家都往后退了一步刘胡兰就是往前走了一步
[734.06-736.36] 这个文件里面就说强卫
[736.36-737.90] 是主要负责人
[737.90-740.20] 当时这个案子朱令这个案子
[740.20-741.74] 北京市的
[741.74-743.02] 主要负责人
[743.02-747.37] 或者说是第一负责人就是强卫
[747.37-748.65] 重要信息
[748.65-750.69] 你知道骂谁了
[750.69-752.49] 你怪你也知道怪谁了
[752.49-754.53] 强卫同志也没有办法
[754.53-757.35] 所以前面那句话也说得很清楚
[757.35-758.63] 强卫也不是没使劲
[758.63-760.93] 公检法都来了
[760.93-763.75] 强卫组织也往前推进
[763.75-764.51] 但是
[764.51-765.55] 听着接着说了
[765.55-767.09] 这个会议怎么回事呢
[767.09-769.65] 强卫开这个会什么结论呢
[769.65-770.93] 会议认为
[770.93-772.97] 公安机关前期做了大量工作
[772.97-775.27] 鉴于直接证据不足
[775.27-777.59] 案件继续侦查难度大
[777.59-780.91] 应就前段工作向上级机关汇报
[780.91-782.71] 此案关系社会稳定
[782.71-785.27] 需妥善处理
[785.27-787.05] 重要的信息在里面含着
[787.05-788.59] 为什么我说
[788.59-790.13] 这个文件要给大家念
[790.13-792.43] 因为老郎在中央国家机关干嘛
[792.43-795.51] 公安部负责这个案子的人
[795.51-796.27] 站井
[796.27-798.59] 以及回函的这个
[798.59-800.63] 这个主要的警官
[800.63-802.17] 他不愿意承担责任
[802.17-805.49] 所以他在写这种文件的时候他一定是
[805.49-806.51] 骑强
[806.51-809.85] 他并不会旗帜鲜明的站在孙维一方
[809.85-812.91] 当然也不会旗帜鲜明的站在朱令一方
[812.91-816.75] 而是骑强他把两边该说的话我全说掉
[816.75-818.29] 我叫什么
[818.29-820.35] 两头两面光
[820.35-822.13] 这就是官场
[822.13-823.41] 衙门
[823.41-825.47] 但是呢你如果是从衙门来的
[825.47-826.75] 你就能读明白了
[826.75-828.55] 我给大家解释一下这句话
[828.55-831.11] 包含了丰富的信息
[831.11-832.39] 惠毅认为
[832.39-834.17] 公安机关前期做了大量的工作
[834.17-836.47] 我公安局你别怪我
[836.47-838.01] 我做了大量的工作
[838.01-839.55] 鉴于直接证据不足
[839.55-841.09] 这句话有意思啊
[841.09-843.13] 他为什么说不说鉴于证据不足
[843.13-845.43] 或者鉴于证据蔑视都可以
[845.43-847.49] 鉴于直接证据不足
[847.49-852.09] 另外的硬币的另一面就是有间接证据
[852.09-853.89] 什么叫直接证据
[853.89-855.17] 直接证据就是
[855.17-856.97] 隐形眼镜药水啊
[856.97-859.01] 这个指纹啊
[859.01-861.05] 孙伟的指纹啊
[861.05-862.59] 他言的那个瓶子上
[862.59-864.65] 有没有投毒者的指纹啊或者
[864.65-865.67] 朱令饭盒
[865.67-867.21] 里边抹着没抹着
[867.21-869.25] 他言和犯罪分子的指纹
[869.25-871.55] 这个就叫直接证据
[871.55-873.35] 直接证据不足
[873.35-874.11] 那
[874.11-876.17] 间接证据可没有提
[876.17-878.21] 为什么要说直接证据不足
[878.21-880.51] 言外之意就是间接证据是有的
[880.51-881.79] 间接证据是什么
[881.79-882.81] 人证
[882.81-884.09] 口供
[884.09-885.13] 这也就
[885.13-888.45] 这句话就呼应了孙伟被公安局
[888.45-891.01] 十四处文保处给抓起来那天
[891.01-893.83] 孙伟的那个笔录一定有内容
[893.83-895.11] 一定有内容
[895.11-897.17] 贝志诚和朱令令家长
[897.17-898.19] 后来讲的
[898.19-901.01] 他什么都招供了的那些话
[901.01-902.03] 不是
[902.03-903.05] 空穴来风
[903.05-904.59] 包括张杰律师说的
[904.59-907.15] 警察当时记笔录用
[907.15-909.45] 签笔记啊什么的都是
[909.45-911.25] 有所指有出处
[911.25-912.27] 因为这是
[912.27-913.81] 正式的国家文件
[913.81-915.09] 发到全国政协文件
[915.13-916.93] 公安不敢胡写
[916.93-918.97] 这里面任何一个字都不会是多余的
[918.97-922.05] 他不会没事说鉴于直接证据不足
[922.05-925.99] 而不直接说鉴于证据不足
[925.99-927.77] 案件继续侦查难度大
[927.77-931.11] 应就前段工作向上级机关汇报
[931.11-932.63] 你看这又来了啊
[932.63-933.67] 这又来了
[933.67-937.25] 就是不是强谓说这事就不查了结案了
[937.25-938.79] 说难度大
[938.79-940.57] 但是呢
[940.57-942.87] 怎么办呢也不是说不能办
[942.87-945.43] 你要是中央领导说难度大也得办
[945.43-946.47] 那么我们也有办法
[946.47-947.49] 但是呢
[947.49-948.27] 我们先
[948.27-950.31] 向上级机关汇报
[950.31-951.33] 上级机关是啥
[951.33-954.41] 上级机关汇报此案关系社会稳定需妥善处理
[954.41-955.95] 那就是听
[955.95-956.71] 一把手
[956.71-957.73] 朱江
[957.73-959.53] 中央领导的意见
[959.53-960.81] 1998年1月
[960.81-963.63] 世贡局将此案办理情况
[963.63-966.69] 逐级上报中央领导同志
[966.69-967.71] 这就呼应上了
[967.71-972.33] 98年1月就是前位开完会之后大概三个月的时间
[972.33-973.87] 北京世贡局把这个
[973.87-974.63] 具体情况
[974.63-976.43] 上报逐级上报了
[976.47-977.75] 中央领导同志
[977.75-980.57] 也就是说通过官部上去的
[980.57-982.87] 中央领导同志的名字没有提
[982.87-984.41] 注意这里面又有细节了
[984.41-986.97] 根据中央领导同志批示
[986.97-989.01] 中央领导同志是谁
[989.01-990.81] 在这个文件里面非常重要
[990.81-992.09] 我个人判断
[992.09-995.93] 当时在全国政协能够提到中央领导同志的
[995.93-996.95] 名字
[996.95-998.99] 应该不是江就是朱
[998.99-1000.79] 其他几个常委的可能性不大
[1000.79-1002.83] 根据中央领导同志批示
[1002.83-1006.17] 经强卫同志批准
[1006.17-1009.25] 1998年8月25日
[1009.25-1010.53] 市局文保处
[1010.53-1012.83] 结办此案结案了
[1012.83-1015.39] 也就是说结案是强卫
[1015.39-1016.41] 批准的
[1016.41-1017.69] 中央领导
[1017.69-1021.01] 某个中央领导我们现在怀疑他是江
[1021.01-1022.05] 批示的
[1022.05-1024.61] 也就是说中央领导同志不是江
[1024.61-1026.65] 绝对的一把手就是
[1026.65-1028.45] 相对的分管一把手
[1028.45-1030.23] 就是中央政法委书记
[1030.23-1032.79] 1998年8月25日
[1032.79-1034.33] 结案
[1034.33-1035.87] 并妥善答复了
[1035.87-1036.89] 当事人家属
[1036.89-1038.69] 所以这就是朱玲玲父亲一直
[1038.69-1039.97] 讲没有办法的原因
[1039.97-1041.75] 因为这是中央领导批的
[1041.75-1045.32] 强卫批的而且正式结案了
[1045.32-1047.10] 关于朱玲玲的医药费
[1047.10-1047.88] 问题
[1047.88-1053.00] 市委教工委与市团委协商从北京市青少年发展基金会中
[1053.00-1057.86] 筹措资金20万元清华大学在前期已付60万元医疗费用
[1057.86-1059.90] 1.2万元生活困难补助
[1059.90-1064.52] 再次筹备20万元合计40万元作为一次性困难
[1064.52-1065.54] 补助
[1065.54-1067.08] 交付朱玲玲家长
[1067.08-1069.90] 给了朱玲玲家长40万现金
[1069.90-1073.74] 同时又给朱玲付了60万的医疗费
[1073.74-1075.52] 当然还有一万二的生活补助
[1075.52-1077.84] 这个就小钱了
[1077.84-1079.88] 大钱只付了40万
[1079.88-1082.96] 40万里面北京市青少年发展基金会拿了20万
[1082.96-1084.24] 清华大学拿了20万
[1084.24-1086.54] 一家出了一半
[1086.54-1091.14] 特此函告2007年9月17日
[1091.14-1096.00] 这个文件出来之后大家基本上也知道前因后果是怎么回事
[1096.00-1096.78] 第一
[1097.08-1099.90] 确实是有中央领导同志压这个案子
[1099.90-1101.18] 确实是有
[1101.18-1105.28] 因为中央领导同志多次批示这个案子就可以结了
[1105.28-1106.30] 可以结了
[1106.30-1108.34] 强卫同志也是
[1108.34-1110.64] 刀切豆腐两面光
[1110.64-1115.00] 强卫同志一方面表示直接证据缺失
[1115.00-1116.02] 办案有困难
[1116.02-1117.82] 但另一方面又表示
[1117.82-1121.14] 此案关系社会的稳定
[1121.14-1122.16] 趋向
[1122.16-1123.96] 各方面予以妥善交代
[1123.96-1127.04] 所以要请示中央领导同志的意见
[1127.04-1130.36] 所以最后这篇回函明确告诉大家
[1130.36-1133.18] 中央领导同志要求结案
[1133.18-1134.72] 1998年
[1134.72-1137.80] 大概中毒是95年
[1137.80-1139.84] 98年中央领导同志是谁
[1139.84-1141.38] 不言自明
[1141.38-1144.44] 所以这个就是朱令案子在中国
[1144.44-1147.26] 这套司法体制现在处于的这个问题
[1147.26-1149.32] 也就是说按照我的判断
[1149.32-1152.38] 在中国如果再次重新启动这个案子
[1152.38-1154.68] 还得是中央主要领导同志
[1154.68-1156.74] 中央政法委书记甚至是
[1157.04-1158.84] 中央总书记
[1158.84-1160.62] 亲自去推动这个案子
[1160.62-1163.18] 才有可能再次
[1163.18-1164.20] 重新立案
[1164.20-1166.00] 重新复查
[1166.00-1167.28] 为什么呢
[1167.28-1168.30] 因为
[1168.30-1170.10] 中国是个人治国家不是法治国家
[1170.10-1172.66] 按照法治这个事已经过去了
[1172.66-1174.44] 但是中国从来不是法治
[1174.44-1177.78] 所以朱令这个案子有没有可能在中国再次起来
[1177.78-1179.06] 当然是有可能
[1179.06-1182.64] 这也就是孙维一而再再而三的要逃的重要原因
[1182.64-1183.92] 他逃到澳洲去
[1183.92-1185.72] 逃到美国也好逃到澳洲也好
[1185.72-1187.00] 他不愿意在中国待着
[1187.04-1188.58] 就是因为他们家也知道
[1188.58-1190.88] 中国不是一个法治国家
[1190.88-1193.18] 一朝天子一朝臣
[1193.18-1195.74] 那这个天子要求结案
[1195.74-1196.76] 压下去了
[1196.76-1198.30] 如果政治斗争
[1198.30-1200.36] 你死我活的状态下另一朝天子
[1200.36-1202.66] 下一朝天子要反这一朝天子
[1202.66-1205.22] 那拿起来重审拿起来这个
[1205.22-1207.26] 翻案
[1207.26-1209.06] 这不就是翻案吗
[1209.06-1210.60] 那有什么不可能呢
[1210.60-1213.16] 经历过文化大革命的人都知道
[1213.16-1214.44] 那有什么不可能
[1214.44-1215.72] 所以呢他们要跑
[1217.04-1220.12] 那么有一个我的网友
[1220.12-1221.14] 澳洲的那个
[1221.14-1223.18] 我念过他的信的哥们
[1223.18-1226.52] 写了一个给澳洲移民局的举报信
[1226.52-1228.56] 公布了举报的地址
[1228.56-1232.14] 那我呢会把举报地址的贴在我的这个
[1232.14-1233.42] 字幕上
[1233.42-1237.26] 但是呢客观的说澳洲移民局他没有这个
[1237.26-1238.54] 办案的权利
[1238.54-1239.82] 他只能就
[1239.82-1242.64] 孙维移民的这个事情是否有欺诈
[1242.64-1243.92] 进行彻查
[1243.92-1244.94] 他没有
[1244.94-1246.74] 说查朱令令中毒这个事儿
[1246.74-1248.28] 那个跟澳洲一点关系都没有
[1248.28-1251.10] 澳洲是不可能查这个事的
[1251.10-1253.90] 好了接着念下一个
[1253.90-1255.96] 朱令的事儿呢我们就到此为止了
[1255.96-1258.26] 那个大家有什么问题可以问啊
[1258.26-1260.82] 但是作为我来说系统讲了
[1260.82-1262.10] 就结束了
[1262.10-1264.92] 课都已经讲完了
[1264.92-1267.48] 老王您好素昧平生打扰了
[1267.48-1271.32] 看了您的一期又一期的节目深深被您的
[1271.32-1273.88] 博学胆识纯粹而蛰伏
[1273.88-1275.16] 思虑再三
[1275.16-1276.44] 甚觉鲁莽
[1276.44-1278.74] 但还是大胆一搏请见谅
[1278.74-1281.82] 我国国宝大熊猫的悲惨遭遇不知您
[1281.82-1283.36] 是否耳闻
[1283.36-1285.66] 他们的悲惨无法想象
[1285.66-1287.44] 熊猫界的黑暗
[1287.44-1291.54] 榨取熊猫的资源已经到了丧心病狂的程度
[1291.54-1294.36] 这个我还真是第一次听见这个事
[1294.36-1295.64] 电击取经
[1295.64-1296.66] 抽骨髓
[1296.66-1297.68] 活体实验
[1297.68-1300.76] 近亲繁殖无法想象的残暴
[1300.76-1307.58] 也是我活了这把岁数闻所未闻的当然除了日本的731活体实验
[1307.88-1308.64] 这个东西
[1308.64-1310.96] 这个信息对我来说简直就是
[1310.96-1313.76] 晴天霹雳我就压根没想到过
[1313.76-1316.08] 所以呢我也是闻所未闻
[1316.08-1318.38] 大熊猫不是
[1318.38-1321.20] 都说大家下辈子投胎
[1321.20-1322.48] 都要投成熊猫吗
[1322.48-1324.00] 怎么他们
[1324.00-1326.06] 在731的实验室里活着呢
[1326.06-1327.60] 这个我还真不知道
[1327.60-1329.90] 知道您忙长话短说
[1329.90-1331.68] 想请您在百忙之中
[1331.68-1333.22] 关注一下咱们的大熊猫
[1333.22-1336.04] 特别是刚从美国返回四川的美香
[1336.04-1337.84] 天天和他们的小孩
[1337.88-1338.90] 小奇迹
[1338.90-1341.20] 似乎他们又准备对小奇迹下黑手了
[1341.20-1341.98] 那可是一条
[1341.98-1343.52] 一条鲜活的生命啊
[1343.52-1346.08] 尊敬的老王请允许我这样称呼您
[1346.08-1348.12] 您是名人结交广泛
[1348.12-1352.98] 拜托您用广泛的人脉资源通过各种渠道为我们的国宝呼吁施压
[1352.98-1357.84] 以让猴戎为首的四川大熊猫繁育基地
[1357.84-1359.38] 停止残暴
[1359.38-1362.91] 彰显文明
[1362.91-1365.71] 大熊猫是生存在这个地球上800万年的神兽
[1365.71-1369.31] 他们躲过了无数次的自然灾难却躲不过人间的血雨
[1369.35-1370.37] 腥风
[1370.37-1373.45] 真的不能让大熊猫灭在我们手里
[1373.45-1374.73] 我之所以这样做
[1374.73-1378.31] 就是想为那些可爱的生灵不会说话的
[1378.31-1379.59] 孩子做点事
[1379.59-1382.91] 网上有很多他们被五花大绑送上电击台
[1382.91-1384.71] 嘴上还绑着棒子
[1384.71-1385.73] 因为
[1385.73-1389.57] 没有上麻药
[1389.57-1393.15] 一个爱自然爱动物的普通人2024年元旦
[1393.15-1396.99] 这个信息对我来说就是我虽然说是
[1396.99-1398.53] 活了这么大也是活久见
[1398.53-1399.31] 我是第一次
[1399.31-1401.87] 听说大熊猫怎么五花大绑
[1401.87-1404.69] 被弄到电击床上电击
[1404.69-1408.27] 我以为只有我王小猪上过电击床被电击
[1408.27-1411.59] 怎么大熊猫也在被电击嘴上还绑着个棒子
[1411.59-1415.69] 所以我特意做了一下科普
[1415.69-1417.23] 我刚才去查了一下
[1417.23-1418.51] 猴戎是谁
[1418.51-1421.33] 关键字猴戎电击
[1421.33-1423.37] 取经大熊猫
[1423.37-1425.67] 四川原来是这样的
[1425.67-1428.49] 猴戎是一个女的是个女人
[1428.49-1430.03] 姓猴的猴
[1430.03-1432.33] 荣成的荣就是成都那个荣成的荣
[1432.33-1434.13] 曹子头叠一个
[1434.13-1435.41] 荣毅的荣
[1435.41-1440.01] 猴戎据说是中国大熊猫人工繁育之母
[1440.01-1442.83] 她老公是中国大熊猫人工繁育之父
[1442.83-1444.87] 她老公姓张
[1444.87-1450.51] 猴戎的官方的职务是成都大熊猫人工繁育基地的主任
[1450.51-1451.27] 这么一个人
[1451.27-1455.11] 应该算是一个大熊猫繁育领域的中国的第一把
[1455.11-1455.89] 专家
[1455.89-1458.45] 也是全国人大还是政协的人
[1458.49-1462.85] 这个可以说是干这行应该是干到头
[1462.85-1464.89] 干到这个顶尖Top1
