[1.65-3.33] 哈喽 大家好
[3.33-6.13] 这两天我被一个新闻吸引
[177.21-180.27] 而二十年以前的中国的房地产刚刚起步
[180.27-180.55] 所以
[180.55-181.15] 房地产价格
[181.15-182.41] 那时候天天往上涨
[182.41-185.29] 开发商不会出现交楼的问题
[185.29-187.17] 顺利的拿到了第一套房子
[187.17-187.81] 然后呢
[187.81-188.77] 吃尽了甜头
[188.77-190.17] 因为整天在涨
[190.17-191.29] 相同的场景
[191.29-193.41] 完全不同的情节
[193.41-196.03] 完全相反的走势
[196.03-196.99] 那边是喜剧
[196.99-198.49] 二十年以前是喜剧
[198.49-199.39] 二十年以后呢
[199.39-200.83] 就变成了悲剧
[200.83-204.73] 我在中国房地产形式预测一文中
[204.73-206.31] 我发现这个事儿不对
[206.31-208.63] 因为每个人都在买房
[208.63-210.55] 国家的财政收入全部都寄托在房地产上
[210.55-214.69] 卖楼卖地的这样一个大形势下
[214.69-217.33] 这对于国家经济是完全不正常的
[217.33-220.33] 整个国家的发展就会变成一种变态的形式
[220.33-224.53] 就是四肢和腿的马杆那么细
[224.53-225.73] 然后胸大肌呢
[225.73-226.57] 这么大
[226.57-227.83] 那你说这个人健康吗
[227.83-228.81] 这个胸大肌是什么呢
[228.81-230.05] 就房地产吧
[230.05-232.09] 然后就觉得好壮啊
[232.09-233.55] 但是其实呢
[233.55-235.17] 手脚就是实业啊
[235.17-236.65] 制造业啊
[236.65-238.51] 消费啊
[238.51-239.37] 居民消费啊
[239.37-240.43] 这个都是马杆
[240.55-241.73] 社保啊
[241.73-244.37] 教育医疗相应的都没有跟上
[244.37-246.47] 所以2010年的时候呢
[246.47-251.83] 我写的那篇文章就是中国房地产一定会在2020到2025年的某一天进入拐点
[251.83-255.67] 其根本的原因就是人口出现拐点
[255.67-256.99] 没有新增人口
[256.99-259.07] 那国家政策又不加以调节的话
[259.07-266.85] 那么势必使得中国的房地产价格在2020到2025年的某一天进入到历史最高点
[266.85-269.11] 而且这个最高点太可怕了
[269.11-269.93] 因为没有人接盘
[270.55-273.19] 那进入拐点之后呢
[273.19-274.87] 一切向相反方向发展
[274.87-277.57] 也就是说房地产要进入一个长期的熊市
[277.57-279.67] 其带来的摧毁效应
[279.67-283.21] 就是可以说是大一万级的氢弹
[283.21-285.33] 根本不是广岛原子弹级别的
[285.33-287.29] 所以你不要老拿日本人来比
[287.29-289.15] 虽然我个人老拿日本来比
[289.15-292.45] 那是因为我知道我的观众里面一多半都在墙内
[292.45-295.89] 而且这一半在墙内的观众中
[295.89-300.43] 可以说80%甚至更高的资产是在房地产上
[300.55-301.69] 这不怪你们
[301.69-303.05] 因为整个中国都是这样
[304.09-308.29] 这是一个发展了三十年的这样一个大毒瘤
[308.29-310.33] 大毒瘤雄大计
[310.33-312.19] 所以当它要溃烂的时候
[312.19-314.89] 没有人能够独善其身
[314.89-320.05] 亮亮和丽君这对小夫妻成为金丝雀是因为这样几个原因
[320.05-320.77] 第一
[320.77-322.17] 他们年轻
[322.17-324.07] 所以他们是那个最小的金丝雀
[324.07-326.53] 他们对于瓦斯的耐受力最差
[326.53-326.93] 第二
[326.93-328.11] 他们是网红
[328.11-329.95] 他们能够发出甜美的叫声
[329.95-330.39] 能够让
[330.39-330.53] 所
[330.55-331.39] 的人听见
[331.39-332.93] 第三
[332.93-334.09] 他们在郑州
[334.09-336.17] 郑州的融创最low
[336.17-337.69] 因为那两万块钱
[337.69-338.75] 郑州的融创都不会给
[338.75-339.41] 宁可打人
[339.41-340.93] 郑州融创的底线
[340.93-342.69] 就是十八层地狱
[342.69-345.79] 所以这三个条件叠加在一起
[345.79-347.37] 小金丝雀先死了
[347.37-349.55] 大家觉得有的兔死狐悲
[349.55-351.39] 有的同病相怜
[351.39-354.77] 有的人觉得这两个小夫妻是不是没有大局官
[354.77-356.39] 因为总之还要保交楼
[356.39-360.03] 所以亮亮和
[360.03-362.65] 丽君这一对小夫妻
[362.65-366.91] 人生就此毁灭换灭回老家了
[366.91-371.41] 因为他们的收入已经不足以支撑银行贷款产生的利息了
[371.41-372.41] 他们必然断供
[372.41-375.47] 那收得了收不了楼
[375.47-376.71] 这是第一个问号
[376.71-378.53] 即使收得了楼的话
[378.53-384.07] 这个楼价还能不能保他们俩未来的贷款余额
[384.07-385.53] 这是第二个问号
[385.53-388.83] 当这个楼收楼以后
[388.83-389.87] 未来再运行
[389.87-390.79] 再运作几年
[390.79-396.17] 这个楼的二级市场价格低于他们俩的贷款余额的时候
[396.17-398.03] 断供就是他们的理性选择
[399.49-403.49] 这才是共产党真正担心的问题
[403.49-405.23] 至于打了亮亮和丽君
[405.23-406.43] 共产党根本不担心
[406.43-408.99] 因为可以把他们俩直接闭嘴
[408.99-414.35] 那么如果丽君亮亮小金丝雀预斥着煤矿即将发生瓦斯爆炸
[414.35-417.99] 清晰的传达出来中国房地产要完蛋
[417.99-419.69] 要崩盘的这样一个信号的时候
[419.87-421.01] 作为中央政府
[421.01-422.21] 作为共产党来说
[422.21-423.53] 他怎么去应对呢
[424.75-426.41] 他在进行如下的应对策略
[426.41-427.25] 首先
[427.25-428.15] 央行
[428.15-432.83] 证监会还有新成立的金管局最近在密集开会
[433.79-438.35] 他们搞出来了50家大型头部房企的白名单
[438.35-440.21] 什么叫白名单呢
[440.21-448.49] 就是所有的银行都要优先向这50家房企进行无抵押贷款试点
[448.49-449.87] 这是个核弹级的新政
[449.87-456.35] 以前从来没有过非常巧合是这个新政正好跟亮亮和丽君同时发生
[456.35-459.23] 我不相信这个事是由亮亮和丽君引起的
[459.23-460.83] 但它确实是同时发生
[460.83-465.03] 这种巧合预示着其实瓦斯泄露这件事情
[465.03-466.67] 中央已经发生了
[466.67-467.87] 中央已经发现了
[467.87-469.55] 共产党已经知道了
[469.55-472.13] 只不过亮亮和丽君作为小金丝雀一喊
[472.13-473.65] 老百姓也知道了
[473.65-474.77] 同时知道了
[474.77-477.11] 因为共产党不希望老百姓知道的这么多
[477.11-479.55] 所以他们把亮亮和丽君给封杀了
[479.55-479.65] 什么情况呢?
[479.65-485.39] 为什么说这50家房企优先救市无抵押贷款
[485.39-487.69] 白名单是核弹级救市呢?
[487.69-488.87] 从来没有过
[488.87-490.81] 因为它是无抵押贷款
[490.81-493.45] 无抵押的流动性资金支持
[493.45-495.79] 换句话就是现金直接给房地产企业
[497.11-499.53] 不是给所有的房地产企业
[499.53-502.81] 它是挑了50家给优先给
[502.81-505.69] 这50家是什么样的50家呢?
[505.69-506.65] 第一
[506.65-507.55] 这50家
[508.59-509.49] 是不是
[509.49-511.95] 因为他们要暴雷要破产
[511.95-514.49] 而入主这个名单的第一批呢
[514.49-515.37] 不是
[515.37-516.15] 为什么呢
[516.15-518.67] 因为所有的房地产公司都要暴雷
[518.67-519.57] 都要破产
[519.57-521.13] 所以我要死了
[521.13-522.03] 快救救我
[522.03-523.83] 我觉得我最后还有一口气
[523.83-525.45] 我觉得我还可以抢救一下
[525.45-526.95] 这句话你白喊
[526.95-528.87] 因为地下躺了一片
[528.87-531.81] 全是人全躺在那都在流血
[531.81-532.89] 蹊跷流血
[532.89-535.17] 所以央妈已经救不过来了
[535.17-536.19] 怎么办呢
[536.19-539.37] 就是50家是最大的50家
[539.49-543.33] 就是这一地躺的这一地人里边
[543.33-547.59] 地位最高的领导我先救这50家
[547.59-551.21] 所以这50家基本上都是上市公司
[551.21-553.65] 头部的大型的上市公司
[553.65-554.85] 像万科呀
[554.85-556.47] 融创这样的50家
[556.47-559.25] 而且他们基本上都在美国有发行企业债
[559.25-563.13] 有多少家在美国发行的企业债呢
[563.13-564.09] 有40家
[564.09-565.17] 40多家
[565.17-567.37] 这50家里边有40多家企业在美国发行的美国企业债呢
[567.37-567.39] 这50家里边有40多家企业在美国发行的美国企业债呢
[567.39-568.39] 这50家里边有40多家企业在美国发行的美国企业债呢
[568.39-570.07] 这50家里边有40多家企业在美国发行的美国企业债呢
[570.07-573.67] 而且这发行的这40家美国企业债
[573.67-577.03] 明年的这个时候全部都会爆雷
[577.03-579.51] 这个你们不搞金融可能不知道这意味着什么
[579.51-582.43] 这个要比房地美和房地美厉害多了
[582.43-587.53] 房地美和房地美跟这40家中国的房地产公司发了外债
[587.53-589.83] 发了企业债要爆雷相比啊
[589.83-590.89] 就是撒撒随
[592.71-595.29] 那么这40家里边的代表性呢
[595.29-597.49] 就是代表人物的就是万科
[597.49-598.37] 万科的企业债
[598.37-601.85] 在美国发的100美元价格发行价
[601.85-603.83] 现在已经跌到了40美元
[604.97-606.41] 也就是说到期之后
[606.41-608.09] 万科现在如果回购的话
[608.09-613.25] 到期之后他就不用还100美元美金的本金
[613.25-615.17] 他净赚60美元
[615.17-617.15] 但是万科呢不回购
[617.15-619.79] 如果是正常企业一定会回购的
[619.79-623.27] 因为没有什么比这更赚钱的了
[623.27-624.59] 到期你要给人100美元
[624.59-627.23] 但是现在你只要拿出40这事就了了
[627.23-628.35] 他为什么不拿出40
[628.35-629.61] 了一百的债
[631.11-632.55] 对了太简单了
[632.55-635.31] 所有的观众都知道他拿不出40来了
[635.31-635.85] 他完了
[635.85-638.43] 他躺在地下蹊跷流血
[638.43-640.11] 有出的气没进的气
[640.11-644.06] 他他妈工资他都发不出来了
[644.06-647.98] 建筑队的工钱都都不能再拖了
[647.98-651.62] 你还让他去拿钱到美国去赎企业债
[652.62-653.16] 没有了
[654.28-658.20] 那你想想这40家企业债全部爆雷
[658.20-659.40] 啪啪啪啪啪一爆雷
[659.66-661.16] 他是意味着什么
[661.16-663.02] 他意味着银行全部完蛋
[663.02-668.72] 因为他这个全部在后后边是银行金融类企业给他做的担保
[669.90-671.72] 美国人不会怪你毛病
[671.72-674.12] 直接就会把中科银行工商银行建设银行
[674.12-678.38] 民生银行招商银行的这些银团担保全部诉讼
[679.52-681.02] 这是不可承受之重
[681.02-682.96] 不可承受之重
[682.96-684.62] 这是第一大雷
[684.62-689.46] 就是小小金丝雀放出的那后边那个瓦斯后边
[689.46-691.20] 还拴着三块大雷
[691.20-694.14] 第一大雷就是企业债的通天大雷
[694.14-696.66] 而且是美债的通天大雷
[696.66-697.70] 第二大雷什么呢
[697.70-699.54] 第二大雷是个贷违约
[700.64-701.72] 个贷违约是什么
[701.72-704.16] 个贷违约就是亮亮和立军不还贷款了
[704.16-705.24] 就这么简单
[705.24-706.62] 我他妈还个屁呀
[706.62-709.74] 我这房子我300万买的
[709.74-711.12] 我从银行贷了150万
[712.22-715.26] 那你现在房子在二手房市场上只能挂80万
[716.76-718.34] 我还你150万的贷款
[718.34-719.08] 我有病啊
[719.08-720.32] 我肯定不还
[720.32-722.26] 这个翟主席说的是对的
[722.26-723.82] 绝对会断供
[723.82-724.96] 为什么
[724.96-727.06] 因为我断供是最理性的
[727.06-729.96] 我扛这150万对我来说有什么好处呢
[729.96-732.70] 除非我是一个特别有reputation
[732.70-734.34] 特别有口碑
[734.34-736.60] 特别在乎我的信誉的人
[737.70-739.84] 可是亮亮立军这样的小孩
[739.84-743.62] 这样的小家庭才代表着中国老百姓的绝大部分
[743.62-747.04] 这些人虽然不愿意上黑名单
[747.04-748.72] 但是法不责众
[748.72-752.72] 当这个社区里边一百户人家有一家人上黑名单的时候
[752.72-754.00] 所有的人都鄙视他
[754.00-756.16] 他儿子上学都抬不起头来
[756.16-758.80] 当这个社区有十个人上黑名单的时候
[758.80-763.30] 大家觉得可能上黑名单也是人生的一种选项
[763.30-764.48] 不再鄙视了
[764.48-766.06] 而采取中性态度
[766.06-769.46] 当这个社区有50家人上黑名单的时候
[769.46-771.34] 断供的时候剩下50家人
[771.34-772.90] 第一选择是我也不给了
[772.90-774.46] 我哪怕现在给得起
[774.46-776.40] 我的房子还没有跌到银行贷款
[776.40-778.06] 我也不交了
[778.06-778.72] 为什么
[778.72-780.28] 谁交谁傻逼
[780.28-781.50] 谁供是楼谁傻逼
[782.76-785.48] 这是必然会发生的第二大雷
[785.48-787.00] 各代一旦断供
[788.08-790.42] 翟山英在他早期做视频中
[790.42-795.10] 所有吓唬你们的这些东西都会变成真的
[795.10-798.64] 那整个中国的银行是追债追不过来的
[798.64-799.96] 他有追债部门
[799.96-801.12] 有催收部门
[801.12-805.84] 他催收部门的有效度是在于整个小区里只有一个是黑名单
[805.84-806.72] 他可以催债你
[806.72-808.08] 他可以法拍你
[808.08-809.94] 他可以各种方式折磨你
[810.94-811.78] 不让你坐高铁
[811.78-812.76] 不让你坐飞机
[812.76-814.50] 让你让你臭掉
[814.50-820.92] 可是如果这小区一百家人里边他妈85家都在黑名单上
[820.92-823.20] 剩下五十五家没在黑名单上
[823.20-824.90] 唯一原因他们全款买的
[824.90-826.80] 他们当年有钱买的早
[826.80-827.82] 他们现在好后悔
[827.82-828.60] 当年没贷款
[829.92-834.48] 整个银行的催收系统坏账处理系统全部瘫痪
[834.48-835.92] 没有办法去处理了
[835.92-836.94] 他的资源崩溃
[836.94-837.60] 他荡积了
[839.69-842.73] 这是中国房地产即将发生的第二大雷
[842.73-847.35] 中国房地产在这两大雷下必然发生的第三大雷
[847.35-850.11] 就是在建工程全部停工
[850.11-850.89] 全部停工
[850.89-851.73] 无一例外
[851.73-854.43] 因为整个银行系统失能性瘫痪
[855.63-856.83] 一旦停工之后
[858.15-863.07] 亮亮和李军就不是催那个百分之二的那个提成了
[863.07-864.57] 就不是两万块钱了
[864.57-869.39] 是他妈我整个身家三个家庭小家庭
[869.39-876.35] 爸爸妈妈公婆婆的家庭和呃岳父岳母女方的家庭三个家庭
[876.35-877.55] 供这么一个楼
[878.63-882.95] 尾款首款交了贷款交了利息给你还了几几年了
[884.01-887.13] 你他妈给我一个半阶子工程
[887.13-890.45] 连电梯都没有连窗户都没有
[890.45-891.47] 甚至给我个坑
[892.79-893.81] 那老百姓会干什么
[894.91-896.45] 老百姓不会白纸革命
[896.45-898.71] 老老百姓会进行真的革命
[898.71-898.95] 是吧
[898.95-900.77] 是吧
[900.77-900.87] 是吧
[900.89-904.01] 上海为什么紧急封城之后紧急放开
[904.01-904.91] 就是因为白纸革命
[905.87-908.37] 当年轻人拿着一张白纸
[908.37-909.17] 拿着一张白纸
[910.25-915.65] 捂着自己的嘴站在北京的三环站在上海的人民广场的时候
[916.61-918.77] 习近平知道自己搞不定
[918.77-920.93] 为什么就是那个问题
[920.93-923.03] 只有一个人上街的时候
[923.03-925.57] 只有一个彭丽发在三环的时候
[925.57-928.81] 他一秒钟就把彭丽花弄到死无葬身之地
[928.81-930.77] 但是当有十万个彭丽发站在
[930.77-931.85] 三元桥的时候
[931.85-933.15] 他就没有办法
[933.15-934.33] 不用多十万人
[934.33-935.43] 他就没有办法
[935.43-940.37] 为什么十万个彭丽发需要你有二十万个警察过来
[940.37-942.59] 这是北京上海呢
[942.59-943.39] 深圳呢
[943.39-944.75] 广州呢
[944.75-946.07] 所有的城市呢
[946.07-947.39] 你调动都过来
[947.39-948.35] 调动不过来
[948.35-949.27] 这是其一
[949.27-953.09] 接二还记得老王讲过六四的时候
[953.09-958.45] 四月到六月河南省省委省政府不接中央中南海的红旗子电话
[958.45-960.01] 真的出现了这种情况的时候
[960.01-960.65] 你以为你还掉头了吗
[960.65-961.85] 掉得动兵吗
[961.85-966.89] 你能你能调动的兵马只是你身边的这些亲信一牙
[966.89-970.43] 那这些一牙能调动的兵马可能只有五万十万人
[971.41-975.39] 而且一牙的兵马一动一牙究竟是奔着彭丽发十万
[975.39-977.41] 彭丽发去还是奔着你中南海去
[977.41-979.31] 你都要打一个大大的问号
[979.31-982.33] 所以他赶紧把上海放开
[983.53-985.93] 赶紧把这个捅嗓子眼不让大家下楼
[985.93-987.65] 这个这个邪症
[987.65-988.01] 歪症
[988.01-989.39] 恶症废掉
[989.39-990.47] 因为这个已经
[990.65-993.41] 他已经探测出来了统治者的底线
[993.41-995.81] 就是他在探测人民的底线的同时
[995.81-997.37] 他也暴露了自己的底线
[998.87-1004.33] 就是他面对排山倒海的群众运动的时候
[1004.33-1007.21] 他是根本没有力量对付对付大家的
[1007.21-1011.05] 所以他要紧急的推荐什么推行什么武装部啊
[1011.05-1012.41] 人武部啊
[1012.41-1013.57] 什么风桥经验啊
[1013.57-1015.49] 但是风桥经验需要时间呀
[1015.49-1017.65] 他没有个两三年布局的话
[1017.65-1019.15] 他是做不到的
[1019.15-1020.41] 甚至两三年他也做不到啊
[1020.65-1021.37] 怎么办
[1021.37-1025.69] 所以他必须要把这三大雷赶紧堵上
[1025.69-1029.19] 有多少在建的居民住房处于烂尾的边缘
[1029.19-1031.87] 这是中国的最大的国家机密
[1031.87-1034.93] 你在任何地方你也不可能看到这样的统计数据
[1034.93-1036.25] 这只有共产党自己知道
[1037.71-1039.77] 野村证券猜了一下
[1039.77-1042.19] 野村证券很保守
[1042.19-1047.23] 日本人他说有两千万套在建的商品房有可能烂尾
[1047.23-1048.07] 如果出现
[1049.21-1050.05] 正常的
[1050.65-1052.09] 银行危机的话
[1052.09-1053.47] 是两千万套烂尾
[1053.47-1056.35] 如果是非正常的
[1056.35-1060.43] 猝死性的金融危机发生的话
[1060.43-1063.45] 野村没敢说
[1063.45-1067.15] 这两千万个房子后面是两千万个亮亮和立军
[1067.15-1068.29] 两千万个家庭
[1069.73-1073.59] 两千万个家庭至少有四千万个亮亮和立军会站出来
[1073.59-1076.81] 这个是你任何风桥经验和维稳都做不到的
[1076.81-1079.43] 而且这只是野村证券很保守的说
[1079.43-1081.31] 正常的危机会出现
[1081.31-1081.73] 就是按着
[1081.73-1083.59] 目前的正常曲线
[1083.59-1085.75] 他会出现两千万个这样的问题
[1085.75-1086.71] 就是保交楼
[1086.71-1087.79] 你得保两千万套
[1088.99-1090.71] 但是他可没说
[1090.71-1091.21] 哎呀
[1091.21-1093.19] 如果四十个美债都崩了
[1093.19-1097.63] 然后好多人看了这个情况之后就不再还贷款了
[1097.63-1099.87] 然后二手房你撑不住了
[1099.87-1100.51] 那你怎么办
[1100.51-1101.95] 那可不是两千万
[1101.95-1103.89] 那是现有的存量楼盘
[1103.89-1106.51] 就像我说刚才说的第二大雷跟着回报
[1106.51-1110.95] 他这三个连环雷三个连环雷爆炸之后灰飞烟灭
[1110.95-1111.55] 他不是美债盘了
[1111.55-1113.65] 是美国房地美房地美那个规模的
[1113.65-1120.01] 所以他出台了紧急救市政策就是无抵押贷款
[1120.01-1126.19] 保交楼保交楼的意思就是先把三个大炮弹中的第三个最大的
[1126.19-1130.81] 那个最可怕的那个两千万个家庭直接上街的那个咱先给他捂住
[1130.81-1134.07] 就是无论如何得交楼就这个房子
[1134.07-1135.01] 我要是给你了
[1136.21-1137.95] 保这个是要死保的
[1137.95-1138.61] 这个你放心
[1138.61-1139.99] 共产党会死保交楼
[1139.99-1141.37] 我今天给你告你
[1141.55-1142.69] 话给你放在这儿
[1142.69-1145.03] 所有的亮亮和立军你们都会拿到钥匙
[1145.03-1145.87] 拿到房产证
[1145.87-1146.71] 你们放心
[1146.71-1148.55] 这是共产党能做到的
[1148.55-1150.45] 而且他可以玩命
[1150.45-1152.17] 他也会给你们做到
[1152.17-1154.03] 因为他知道做不到意味着什么
[1154.03-1158.73] 这五十家试点房企无抵押贷款就是要全国推进推进这个项目
[1158.73-1160.69] 这个是全国一盘棋
[1160.69-1163.57] 一定要全部都解决所有的已经交了房
[1163.57-1166.31] 已经还了贷款的孩子们小年轻了
[1166.31-1169.63] 你们不用担心重蹈亮亮和立军的覆辙
[1169.63-1170.35] 亮亮和立军
[1170.35-1171.53] 你们如果没退得了
[1171.55-1173.29] 房子你们也不都不用担心
[1173.29-1176.53] 你们安居一个一盏灯为你们点亮
[1176.53-1178.31] 这个是能做得到的
[1178.31-1179.31] 绝对能做到
[1180.55-1182.77] 但是他做不到的是什么
[1182.77-1184.39] 他做不到的是价格
[1184.39-1184.93] 他做不到
[1186.33-1188.67] 他保得了你拿到钥匙住进去
[1188.67-1191.35] 他保不了你二手房的价格不往下走
[1192.67-1195.45] 大面积的出现日本的情况
[1195.45-1197.07] 日本也许离你们太太远
[1197.07-1201.43] 你们想不到大面积的出现北京燕郊的房子的情况
[1201.55-1205.15] 香盒房子的情况是会发生的
[1205.15-1206.71] 那他怎么办呢
[1206.71-1211.33] 他要应对的方式就简单多了
[1211.33-1213.75] 他叫保楼不保价
[1213.75-1214.37] 这是第一
[1214.37-1217.49] 第二就是如果你断供
[1217.49-1220.19] 银行处理不了你
[1220.19-1221.03] 法拍不了你
[1221.03-1222.17] 因为法拍也拍不出去了
[1222.17-1222.79] 那怎么办
[1222.79-1224.79] 就是大面积的银主股
[1224.79-1227.13] 所以他优先资助上市公司
[1227.13-1229.71] 优先资助大型企业
[1229.71-1230.47] 因为他的优先资助上市公司是大型企业的
[1230.47-1230.61] 所以他优先资助上市公司是大型企业的
[1230.61-1230.71] 因为他的优先资助上市公司是大型企业的
[1230.71-1230.91] 因为他的优先资助上市公司是大型企业的
[1231.55-1232.43] 他的证券化很容易
[1232.43-1235.45] 那么中小型的民营房地产公司
[1235.45-1237.35] 如果在这个过程中也破产
[1237.35-1239.19] 因为拿了银行的贷款之后还不起了
[1239.19-1240.01] 也破产
[1240.01-1242.29] 那就被大的房地产公司去收购
[1242.29-1244.45] 首先是大的吃小的
[1244.45-1247.85] 在二线城市三线城市的那些边缘房地产公司
[1247.85-1249.27] 可能只有一个项目两个项目
[1249.27-1251.01] 他们率先撑不住了
[1251.01-1253.15] 由当地的绿地
[1253.15-1254.01] 当地的万科
[1254.01-1256.71] 当地的大的房地产公司
[1256.71-1257.45] 把他们收掉
[1257.45-1260.27] 大的很快也撑不住
[1260.27-1261.21] 撑不住怎么办
[1261.21-1265.35] 因为你整个银行全部都给你做债转股
[1265.35-1267.33] 反正你欠钱都是共产党的
[1267.33-1269.17] 肉烂在锅里全是共产党的
[1269.17-1273.83] 最后都变成了银行的银团的大量的股权
[1273.83-1277.81] 也就是说把债权全部消化成股权
[1277.81-1278.83] 明白吧
[1278.83-1281.65] 不良资产的进入股权就不用再还利息了
[1281.65-1283.19] 就不再是不良资产了
[1283.19-1284.97] 就变成了大规模的股权
[1284.97-1288.83] 股权进入不良资产公司也好
[1288.83-1289.81] 进入银行也好
[1289.81-1291.19] 这些房地产公司也好
[1291.21-1295.45] 公司最后的妈都变成了国家
[1295.45-1296.77] 都变成了共产党
[1296.77-1300.13] 也就是说房地产行业
[1300.13-1302.61] 进入30年的胡乱发展之后
[1302.61-1303.99] 最后
[1303.99-1305.89] 几乎传花
[1305.89-1308.77] 从江泽民手里传给了
[1308.77-1309.37] 胡锦涛
[1309.37-1310.17] 胡锦涛
[1310.17-1311.89] 胡锦涛又传给了习近平
[1311.89-1313.85] 现在习近平手里要报了
[1313.85-1315.41] 所以习近平是挺委屈的
[1315.41-1317.53] 这个事跟习近平一点关系都没有
[1317.53-1320.41] 房地产崩盘是跟老习一点关系没有
[1320.41-1321.21] 老习是接到了
[1321.21-1322.53] 这个烫手的山芋
[1322.53-1323.53] 而且他很委屈
[1323.53-1324.45] 这跟他没关系
[1324.45-1326.45] 他上来就喊住房不炒
[1326.45-1327.45] 但是已经晚了
[1327.45-1329.25] 已经炒了20年了
[1329.25-1331.49] 你他妈这时候喊已经翻了10倍了
[1331.49-1333.37] 北京有些小区翻了15倍
[1333.37-1334.53] 你这时候喊晚了
[1334.53-1338.55] 所以最终的解决方案一定是大规模的
[1338.55-1339.45] 银主股
[1339.45-1342.15] 大规模的债转股进行国有化
[1342.15-1345.63] 纯最后全社会接盘
[1345.63-1347.91] 所谓的国有化就是全民承担
[1347.91-1349.33] 14亿人承担
[1349.33-1351.17] 必然带来人民币的
[1351.21-1352.49] 大规模的颠覆
[1352.49-1354.59] 要重新估值
[1354.59-1356.53] 这种估值
[1356.53-1358.13] 币值后边是加一个零
[1358.13-1359.37] 还是加两个零
[1359.37-1361.61] 我目前无法判断
[1361.61-1364.73] 但是从其他国家的经验来看
[1364.73-1368.43] 如果币值不加一个零
[1368.43-1370.15] 是解决不了问题的
[1370.15-1373.96] 也就是说数字人民币换新钞
[1373.96-1377.04] 可能是最后一波
[1377.04-1379.68] 企业债券爆雷
[1379.68-1381.24] 个人断供
[1382.52-1384.74] 企业宣布破产
[1384.74-1386.92] 银行宣布债转股
[1386.92-1388.40] 做破产重组
[1388.40-1391.82] 最后全部并入几大行
[1391.82-1393.86] 资产管理公司成为国企
[1393.86-1394.88] 央企
[1394.88-1396.98] 然后人民币重新估值
[1396.98-1399.74] 这是这一轮的完整的波次
