[3.28-4.48] 哈喽 大家好
[4.48-6.20] 又到周末读信时间了
[427.40-431.40] 他安全感和青春期的状态都会不一样
[431.40-436.48] 希望我的这些信息能够给我的观众朋友们
[436.48-438.72] 感觉到有用
[438.72-441.00] 是个真材实料的干货
[441.00-442.56] 怎么去选小学
[442.56-443.40] 怎么去选中学
[443.40-445.80] 怎么去在小学中学附近买房子
[445.80-447.68] 另外告诉大家一个好消息
[447.84-449.60] 告诉大家一个好消息
[449.60-450.80] 绝对的好消息
[450.92-453.68] 这是我昨天孩儿他妈告诉我的
[453.72-455.44] 这个应该不是假的
[455.44-457.52] 大家可以扩展阅读一下谷歌一下
[458.24-462.20] 加拿大可能有史以来第一次要大赦非法移民了
[463.08-465.84] 大家知道美国隔几年就会大赦一次
[465.84-467.52] 所以只要走线到美国
[467.52-469.48] 在美国服下来
[469.52-471.40] 拿到美国难民卡也好
[471.40-473.96] 拿到美国的给你一个
[473.96-475.16] 就是你走线过来
[475.16-475.96] 润过来
[476.08-477.40] 翻墙过来
[477.40-479.72] 美国会给你一个类似身份证的东西
[479.84-480.80] 然后隔几年
[480.80-481.40] 就大赦
[481.40-483.68] 你只要在这个过程中符合大赦条件
[483.68-486.80] 你就是美国的合法的拘留
[486.80-489.36] 美国六七年七八年十来年
[489.36-490.32] 就来这么一次
[490.84-492.84] 加拿大从来没有过大赦
[492.88-494.12] 也许我孤陋寡闻
[494.12-495.72] 但是据我所知
[495.76-497.44] 反正在我这几十年里边
[497.44-499.04] 就是没见过加拿大大赦
[499.40-501.68] 但是这次加拿大要大赦
[502.08-504.32] 所以这简直是我操破天荒了
[504.52-507.44] 这个加拿大老古板老古董
[507.44-508.56] 大洋伟
[508.56-510.16] 怎么忽然雄起了呢
[510.16-511.12] 我也不知道
[511.12-512.48] 可能特鲁多
[512.48-513.60] 可能移民部
[513.64-516.72] 觉得反正这玩意儿长此以往
[516.72-517.92] 这么多人黑在加拿大
[517.92-518.84] 也不是个事
[518.88-522.08] 而且加拿大又缺乏劳动力和劳工
[522.56-524.88] 所以所有问我能不能在加拿大
[524.88-527.16] 加坚持下来的这些中国人
[527.20-528.00] 我告诉你们
[528.00-529.16] 你们都是垃圾
[529.16-530.68] 我不是在羞辱你们
[530.72-532.96] 我是在羞辱你们在座的所有人
[532.96-534.04] 你们都是垃圾
[534.08-534.52] 为什么
[534.52-536.76] 因为加拿大缺乏劳工
[536.96-538.96] 缺乏体力工人
[539.44-540.12] 这个意思
[540.12-542.08] 就是你不可能找不着工作
[542.08-543.44] 你要有手有脚
[543.44-546.72] 有合理合法进入加拿大的工作签证
[546.72-549.32] 你是不可能坚持不下来的
[549.32-552.12] 除非你急要又要
[552.56-555.44] 你就跟广西小偷哥似的
[555.44-558.48] 这辈子打工是不可能了
[558.56-559.72] 打工是不可能了
[559.84-560.64] 你会什么
[560.64-561.72] 我什么都不会
[561.72-565.44] 你他妈不是说在加拿大苟不下来
[565.44-566.88] 你在哪你也苟不下来
[566.88-569.52] 你在中国你不是也只能是靠啃老吗
[570.12-572.92] 所以加拿大要大设了
[572.92-575.00] 这是我今天给大家一个好消息
[575.00-577.12] 是不是
[577.16-579.72] 润到美国翻墙进入美国之后
[579.72-581.24] 因为从美国到加拿大
[581.24-582.76] 简直要是走过来的话
[582.76-584.60] 简直太容易了
[584.64-586.08] 美国和加拿大的边境
[586.08-587.60] 几乎是不设防的
[587.60-589.08] 四五千公里
[589.08-592.28] 咱就不说那些深山老林的草原三省
[593.04-594.16] 就说温哥华
[594.60-596.32] 有个地方叫和平门
[596.32-598.80] 然后往东部走
[598.80-599.84] 走不了
[599.84-601.12] 一公里两公里
[601.44-603.48] 我就没看见有边界警察
[603.48-607.36] 我也没见着有边境的巡逻
[607.36-609.60] 确实两边是有警察
[609.60-611.20] 但是巡逻怎么讲
[611.92-614.08] 就跟咱们小时候玩捉迷藏的
[614.36-616.00] 不敬业的小朋友一样
[616.20-618.12] 他妈的他半个小时20分钟
[618.12-619.00] 他也不来一次
[620.08-623.36] 而整个两边全是人家
[623.36-624.00] 知道吗
[624.00-625.56] 两边全是社区
[625.68-629.80] 然后就一棵6米宽7米宽的这么一条马路
[629.84-631.12] 特别普通的马路
[631.12-632.92] 如果不是有旁边有个戒备
[632.92-634.32] 那戒备也不起眼
[634.32-636.00] 你根本不知道那边是美国
[636.00-636.92] 这边是加拿大
[636.92-638.08] 完全一样
[638.08-639.44] 街景什么完全一样
[639.60-641.20] 那么走过来就过来了
[641.44-642.80] 疫情的时候
[642.96-644.40] 两边的亲属
[644.40-647.28] 我看每个人拿一个小太阳椅
[647.40-649.68] 在边界这边放两三个椅子
[649.68-650.84] 那边放两三个椅子
[650.84-654.52] 距离就跟我和各位摄像头这么远
[654.52-656.88] 然后在这聊天烤肉
[657.40-659.48] 你说跨一下不就进来了吗
[659.48-660.32] 是啊
[660.32-661.40] 疫情的时候
[661.40-663.32] 和平门公园有好多帐篷
[663.32-666.56] 都是两边的分居的男女
[666.56-668.28] 青年男女无法泄火
[668.28-670.44] 因为那个时候这边境封锁了
[670.44-670.92] 疫情
[671.12-672.48] 美国人不许来加拿大
[672.48-674.52] 加拿大人不许来美国
[674.52-676.28] 然后他们就在和平门公园
[676.28-679.36] 和平门公园是完全不设防的一个公园
[679.44-681.76] 美国那边可以把车停在美国停车场
[681.76-684.48] 加拿大那边可以把车停在加拿大停车场
[684.48-687.80] 然后你就可以随便穿越和平门公园的国界
[687.80-689.20] 没有任何的
[689.20-692.72] 关于行人的检查岗
[693.16-696.32] 所以他们就打扮成一个游客
[696.32-698.60] 然后他们就住在帐篷里
[698.60-700.60] 真的就住在那一住好长时间
[700.60-701.48] 尤其是周末
[701.48-702.88] 有几百个帐篷里边
[702.88-709.60] 晚上都是威廉马弄坏三块草坪的状态
[710.60-714.00] 这就是加拿大和美国的边界的真实情况
[714.00-717.08] 据说以前更松
[717.08-718.32] 就是911之后
[718.32-718.96] 美国那边
[718.96-720.28] 稍微的严了一点
[720.28-722.56] 但是依问如此
[722.56-723.44] 即便如此
[723.44-726.80] 对于美墨边境和阿什比的话
[726.80-729.20] 那简直就不较边境
[730.20-732.92] 所以是否可以过来
[732.92-734.48] 从美国过来加拿大
[734.48-735.76] 我不知道
[735.76-738.40] 大家发散思维
[739.88-742.24] 希望能够帮助到大家
[742.24-744.16] 具体大赦的条件
[744.16-747.16] 大赦的门槛还没有出来
[747.32-748.24] 只是开始了
[748.24-748.84] 研究这个事儿
[748.84-749.68] 要干这个事儿
[749.68-752.68] 应该这边大赦也是有条件的
[752.68-754.92] 下一位老王您好
[754.92-757.80] 我是生活在北京的一个80后纪录片导演
[757.80-758.72] 为什么念你
[758.72-759.80] 因为你是北京人
[759.80-761.00] 我就这么讲
[761.08-762.68] 我特别喜欢我的北京观众
[762.68-765.24] 如果是不论是北京哥们还是北京大妞
[765.24-768.04] 你们给我的信我都会尽可能的念
[768.04-769.84] 因为特别的亲切
[769.84-772.24] 每逢佳节被私亲
[772.24-773.72] 好了
[773.72-774.92] 老王你好
[774.92-778.12] 我是生活在北京的一个80后纪录片导演
[778.12-781.08] 最近在油管上经常刷您的节目
[781.08-782.60] 您谈的一些话题
[782.60-783.72] 尤其是玄学的内容
[783.72-784.56] 我很感兴趣
[784.56-785.80] 希望您多聊聊
[785.80-786.72] 说说我的情况
[786.72-788.16] 我多聊聊掉粉
[788.16-790.16] 因为好多人他不信这个
[790.16-793.60] 我是北京广播学院中国传媒导演系研究生毕业
[793.60-795.64] 毕业后一直做广告片和纪录片
[795.64-796.96] 给央视做的居多
[796.96-798.28] 英语交流没问题
[798.28-799.96] 也经常做海外拍摄的工作
[799.96-801.68] 那是高知识分子挺厉害的
[801.68-802.92] 疫情期间的封控
[802.92-805.00] 是我下决心移民的重要推手
[805.00-806.80] 我办的是加拿大自雇
[806.80-807.96] 比较小众的类别的工作
[807.96-810.52] 类别20年5月和中介签约
[810.52-811.36] 准备材料
[811.36-813.92] 到今年9月份下了体检补料通知
[813.92-816.24] 估计春节前后就可以下大信封了
[816.48-817.84] 你只要通知体检
[817.84-820.36] 这事就基本上板上钉钉肯定过来了
[820.36-821.88] 恭喜老乡
[822.96-823.64] 半个老乡
[823.76-825.00] 因为我不是真北京人
[825.00-826.32] 我是河北压风王
[826.32-828.80] 宅小鸟不是把我的祖籍都给我翻出来吗
[828.80-829.64] 我祖籍河北人
[831.00-835.28] 我其实对以后的移民生活
[835.88-836.44] 插一句
[836.44-837.36] 我他妈心里不平衡
[837.36-837.88] 这个王八蛋
[837.88-838.76] 翻我河北鸡
[838.76-840.12] 河北怎么了
[840.32-842.32] 河北人除了蠢一点
[842.44-845.96] 商河四省河北的口碑还不是最好的
[845.96-847.36] 你一个宅山鹰宅小鸟
[847.36-848.68] 你不是河南老家吗
[848.68-850.36] 你爹不是挤园的吧
[850.36-851.28] 还是挤哪儿的
[851.28-852.44] 就是河南的
[852.96-854.32] 你他妈河南人
[854.32-856.16] 你翻我一个河北人地狱歧视我
[856.16-858.64] 我我我鄙视你
[858.92-860.16] 死宅小鸟
[861.64-864.24] 我其实对以后的移民生活
[864.24-865.64] 并没有清晰的规划
[865.68-867.48] 其实内心还是希望能够从事
[867.48-868.56] 纪录片行业的
[868.60-870.24] 但对加拿大的影视行业
[870.24-871.40] 没有太多的了解
[871.44-875.28] 华人移民一代进入这个行业
[875.28-876.84] 是否比较难
[876.88-878.68] 去温哥华还是多伦多更合适
[878.68-881.08] 希望老王在节目里对我指点一二
[881.20-884.04] 有机会希望能在温哥华和老王
[884.04-884.64] 喝酒聊天
[884.64-885.08] 说好了
[885.56-887.76] 你温哥华登陆以后
[887.76-888.84] 你给我发Email
[889.40-890.20] 留个电话号码
[890.20-890.96] 我给你打电话
[890.96-892.20] 咱俩做周一辈
[892.68-894.36] 到时候咱们做个小节目
[894.52-895.64] 因为您是专业的
[895.76-897.12] 你拍的肯定比我拍的
[897.48-898.32] 太多了
[899.96-901.36] 我不能指点你
[901.36-902.60] 因为我也不是10万个
[902.60-905.60] 为什么什么都知道的
[906.08-907.56] 大尾巴狼王老师
[907.60-909.92] 我只是咱们的邻家隔壁老王
[909.92-912.60] 我说说我的感受抛砖引玉
[914.20-915.96] 我在加拿大知道
[916.00-918.52] 温哥华是加拿大的北方好莱坞
[919.16-922.04] 温哥华有一个别称叫北方好莱坞
[922.40-923.68] 温哥华的影视行业
[923.68-925.12] 是远远超过多伦多的
[925.16-927.44] 因为温哥华的城市定位
[927.44-927.88] 有关系
[927.88-930.08] 温哥华有点像中国的杭州
[930.12-931.04] 或者昆明
[931.08-932.40] 它是个风景秀美
[932.40-933.24] 人口稀少
[933.24-934.52] 老龄化严重
[934.68-936.96] 都来退休一居地的这么一个城市
[936.96-939.36] 所以它发展重工业是不现实的
[939.44-944.04] 它发展美国和多伦多那种工业企业
[944.56-946.52] 大型商业企业
[946.52-947.76] 它没有人口支撑
[947.80-949.40] 它也没有环境支撑
[949.56-951.12] 但凡有点污染
[951.12-952.40] 你可不知道温哥华这边
[952.88-954.44] 环境保护的意识有多强
[954.44-956.64] 也就是说任何有盐工业
[956.64-957.32] 在温哥华
[957.32-959.28] 几乎都是没有可能的
[960.20-962.08] 所以温哥华和BC省
[962.12-963.44] 省政府和市政府
[963.52-965.72] 特别重视影视行业
[966.16-967.72] 政府补贴
[967.72-968.56] 倒贴
[968.64-969.80] 倒贴嫖资
[969.84-972.76] 让你们开设自己的公司和行业
[972.80-974.48] 所以你这行业在加拿大
[974.48-975.56] 温哥华地区
[975.60-978.40] 应该算是你来这儿
[978.40-979.20] 你就来对了
[979.40-982.08] 然后好莱坞的大量的工作室
[982.08-985.16] 都在温哥华有它的分布
[985.60-987.28] 甚至总部都在温哥华
[987.32-990.36] 我们看到的好莱坞大片中的外景
[990.64-991.96] 街景
[992.28-994.28] 包括后期制作
[994.28-995.80] 都是在温哥华发生的
[996.08-998.48] 比如说目光之城系列
[998.68-1001.72] 比如说人缘星球系列
[1002.04-1006.04] 比如说漫威系列
[1007.24-1008.84] 它的外景地取景地
[1008.84-1010.32] 你只要看到森林
[1011.12-1012.44] 只要看到吸血鬼
[1013.00-1014.32] 烟雾缭绕的林子里
[1014.32-1015.36] 冲出狼人海
[1015.36-1016.60] 都是温哥华
[1016.60-1018.48] 还有海滨城市
[1018.88-1021.24] 然后大桥炸断了
[1021.56-1023.32] 基本上都是温哥华的狮子门大桥
[1023.32-1024.08] 被炸断了
[1024.20-1026.92] 然后当然它会后期处理成别的
[1026.92-1028.60] 什么旧金山之类的大桥
[1028.64-1029.72] 所以温哥华的
[1029.72-1031.84] 因为他政府重视这一点
[1032.36-1034.80] 所以这些拍摄团队愿意来
[1034.80-1037.00] 因为你在洛杉矶或者旧金山
[1037.00-1038.16] 你想封街
[1038.20-1040.48] 在市中心搞爆炸场面的大拍摄
[1040.48-1041.64] 去你妈滚
[1041.84-1044.12] 洛杉矶市政府绝不怪你毛病
[1044.72-1046.16] 但温哥华市政府不是
[1046.16-1047.60] 马上批给你
[1047.84-1049.60] 哥们你想炸哪条街
[1050.72-1053.84] 说全帮你清场
[1053.88-1055.76] 准备好炸吧
[1055.80-1056.96] 然后追车吧
[1056.96-1058.52] 枪战吧
[1059.00-1060.88] 这就温哥华的电视产业
[1060.92-1061.84] 确实挺厉害的
[1061.84-1062.56] 周边电视产业
[1062.56-1064.24] 我知道好多中国人也在做
[1065.12-1066.84] 但是做起来的中国人
[1066.84-1068.48] 我还真不知道有几个
[1068.88-1069.36] 为什么
[1069.48-1070.84] 就是水土不服
[1072.28-1074.16] 您这个情况能不能在这落下来
[1074.48-1076.12] 本专业我不知道
[1076.16-1080.08] 但是我觉得有这么一个空白市场
[1080.12-1085.76] 就是海外华人的剧纪录片市场
[1085.80-1087.00] 海外华人不少的
[1087.00-1088.08] 你看我这个小油管
[1088.08-1090.12] 都有3万多的年轻用户
[1090.16-1091.36] 海外华人
[1091.36-1093.96] 如果要是有统计数字的话
[1093.96-1097.64] 我估计几千万是肯定有地球各地的
[1097.68-1099.40] 可以任意访问油管
[1099.40-1100.48] 和任意访问
[1101.08-1102.88] 国际互联网的海外华人
[1102.92-1104.64] 海外是没有中宣部的
[1104.68-1105.96] 所以我们说中文的节目
[1105.96-1109.56] 真正能做出来品牌
[1109.68-1111.32] 我觉得一家都没有
[1111.32-1114.56] 除了法轮功那些媒体做一些什么小短剧
[1114.68-1116.44] 但是基本上都是沾政治的
[1116.60-1118.72] 都是要骂共产党的
[1118.76-1121.40] 那种生活类的纪录片类的没有
[1121.44-1123.92] 而加拿大的大好河山
[1124.32-1127.24] 太多纪录片可拍了
[1127.76-1129.20] 美国的大好河山
[1130.28-1131.80] 世界的大好河山
[1132.16-1134.28] 你说我觉得抛砖引玉
[1134.28-1135.52] 我胡说一句
[1135.52-1136.08] 未必对
[1136.44-1138.16] 大家有没有这个概念
[1138.36-1139.56] 反正我有这个概念
[1139.56-1142.40] 我特别喜欢看荒野求生类的节目
[1142.40-1143.28] 但是你有没有发现
[1143.28-1144.28] 荒野类求生类
[1144.28-1145.40] 全他们是老外
[1145.44-1146.64] 全说英文
[1146.68-1148.00] 你换成中国的
[1148.72-1150.88] 中国的大妞和中国的小伙
[1150.92-1151.84] 去野外求生
[1151.84-1153.24] 岂不是更好玩
[1153.28-1153.76] 对不对
[1153.76-1155.64] 或者找一些会说中文的老外
[1155.68-1156.84] 去做野外求生
[1156.84-1159.60] 咱温哥华什么北极阿拉斯加
[1159.64-1160.84] 给他们扔那去
[1160.84-1162.80] 让他们活个25天
[1162.84-1165.12] 然后给他们10万美元
[1165.12-1165.28] 啊
[1165.28-1166.08] 20万美元
[1166.08-1167.00] 100万美元
[1167.00-1169.52] 我觉得国内和国外的赞助商
[1169.52-1171.72] 都可能会愿意给你掏赞助
[1171.76-1173.36] 只要你这个品牌做起来
[1174.00-1177.92] 然后你纪录片导演
[1177.92-1179.04] 你有这个本事
[1179.52-1182.48] 场地什么演员
[1182.64-1184.16] 我觉得根本有的是
[1184.36-1187.20] 所以都是很好的题材
[1187.20-1187.80] 没有人做
[1187.92-1189.24] 现在一片空白
[1189.36-1192.04] 然后电视剧也是
[1192.08-1193.12] 电影电视剧也是
[1193.16-1194.84] 当然电影可能投资太大
[1194.84-1195.88] 但是电视剧
[1195.88-1196.88] 尤其是情景喜剧
[1196.88-1197.72] 室内剧
[1198.64-1200.60] 你国内你现在能拍得了吗
[1200.60-1201.44] 什么都拍不了
[1201.44-1203.52] 因为这样来了
[1203.52-1204.08] 我操
[1204.08-1205.36] 今天小扇子没有了
[1205.36-1206.52] 因为我要出去玩了
[1207.20-1208.00] 衣服都换了
[1208.00-1208.32] 所以
[1210.92-1212.00] 你可以在国外拍
[1212.44-1215.88] 然后国内的哥们们也可以翻墙过来
[1215.88-1216.84] 看你的短剧
[1217.32-1221.12] 我想这个视频收入应该也不少
[1221.16-1222.64] 如果认认真真的干
[1222.68-1223.76] 你要感兴趣过来
[1223.76-1224.68] 咱们真的可以好好谈的
[1224.68-1226.92] 温哥华这方面人才济济
[1226.92-1228.80] 大量的名演员
[1228.80-1229.72] 大导演
[1229.72-1231.16] 包括影视行业的同业者
[1231.16-1232.12] 像您这样的
[1232.16-1233.56] 认出来的人才
[1233.56-1235.00] 在这憋着的闲着的
[1235.00-1235.64] 有的是
[1235.80-1237.80] 搞不好他们都免费帮你
[1237.80-1240.08] 真的好吧
[1240.24-1242.40] 希望我瞎逼逼
[1242.40-1243.96] 能够给您产生共鸣
[1244.44-1245.44] 过来咱们喝酒
[1245.44-1246.96] 坚持不下来的话
[1248.52-1249.88] 我请你喝酒
[1250.04-1251.96] 我给你误导到温哥华来了
[1251.96-1252.56] 不好意思
[1252.56-1254.64] 你没坚持下来改行了
[1254.68-1256.52] 这样我请你喝半年的啤酒
[1256.52-1256.80] 好吧
[1256.80-1257.68] 你想不喝
[1258.12-1259.16] 咱们哥俩出去喝去
[1262.59-1263.27] 第三
[1263.51-1264.47] 老王你好
[1264.47-1267.71] 我是来自长三角体制内金融业的一个晚辈
[1267.71-1268.75] 今年40多了
[1268.79-1271.51] 听您说的培养武德和阳刚之气的想法
[1271.51-1272.43] 非常赞同
[1272.47-1274.23] 我日常健身加拳击
[1274.23-1276.47] 现在身材堪比彭于晏
[1276.47-1277.99] 比他维度大一些
[1277.99-1280.99] 我够自恋的哥们
[1281.59-1283.35] 我觉得你说的阳刚之气
[1283.35-1286.23] 就是生理学上的搞同素
[1286.23-1287.95] 它会让男人更积极进取
[1287.95-1288.79] 气场强大
[1288.79-1289.35] 是的
[1289.35-1290.39] 是没错
[1290.91-1293.47] 也让我更能知行合一的理解到
[1293.51-1295.23] 美国国歌中的自由之地
[1295.23-1297.67] 勇士之乡的深刻内涵
[1297.79-1299.19] 幸福源于自由
[1299.19-1300.67] 自由源于勇气
[1300.71-1302.71] 一群猪组成的国家
[1303.23-1304.91] 政府必定像屠夫一样
[1304.91-1306.79] 一群牛仔组成的国家
[1306.79-1308.55] 政府就像绵羊一样
[1309.15-1311.03] 一群家猪组成的国家
[1311.03-1311.91] 野猪很厉害
[1311.91-1313.59] Hog很厉害
[1313.63-1316.07] 你说中国是一群家猪组成的国家
[1316.07-1319.99] 我目前的问题是
[1319.99-1321.15] 一我只有一个女儿
[1321.15-1322.67] 我很担心一个女人
