[2.06-3.04] 哈喽 大家好
[3.04-5.34] 今天是早晨
[390.56-391.68] 我不也说过吗
[391.68-393.36] 除非我刮了胡子了
[393.36-395.36] 那倒有可能啊
[395.36-397.44] 但是我刮了胡子
[397.44-399.60] 我必须在两年之内刮
[399.60-402.12] 如果两年之后我还没刮
[402.12-404.76] 我刮完胡子我都不回去了
[404.76-405.16] 为什么
[405.16-407.04] 因为不回头点已经到了
[407.04-408.80] 你想为什么是两年时间节点
[408.80-411.72] 因为川普的第二任期
[411.72-413.68] 已经是两年过半了
[413.68-415.60] 川普有个特点
[416.20-417.48] 川普是解构者
[417.48-419.52] 川普是解构者
[419.52-421.32] 他不是一个建立者
[421.32-423.64] 他这个解构的可不是美国
[423.64-425.68] 他解构的是美国二战之后的
[425.68-427.72] 整个的世界秩序
[427.72-429.76] 他解构的是罗马帝国的
[429.76-431.56] 整个的世界秩序
[431.56-434.88] 所以他一旦进入到那个位置上
[434.88-437.96] 这个不要以为是川普一意孤行
[437.96-440.00] 他代表着的是一种趋势
[440.00-442.32] 有任何人类历史上一个帝国
[442.32-443.60] 走到末期的时候
[443.60-446.16] 进入到衰退状态的时候
[446.20-449.28] 他的内部都是有瑞士化倾向的
[449.28-450.56] 什么叫瑞士化
[450.56-457.72] 这都是刘阿姨的自身学徒才能学会的
[457.72-460.54] 就是美国国内的中坚力量
[460.54-463.36] 包括我曾经讲过的老白男们
[463.36-465.40] 虽然他们讨厌川普
[465.40-468.72] 但是当川普祭出瑞士化的大旗的时候
[468.72-472.32] 就是退守美洲大岛
[472.32-475.64] 做一个自己自足的
[476.20-477.74] 成员班的
[477.74-479.78] 大美洲这样的一个计划的话
[479.78-481.84] 那美国人是会支持川普的
[481.84-483.36] 他是得民心的
[483.36-486.96] 美国人当加油的时候
[486.96-490.02] 看到加油机上的那个邮表数字的时候
[490.02-491.56] 就对全球化
[491.56-492.84] 恶向打边声
[492.84-495.14] 这才是真正的催票器
[495.14-498.22] 如果今天的美国的
[498.22-500.26] 股票不让大家赔钱
[500.26-502.06] 美国的加油
[502.06-503.60] 价格在
[503.60-505.12] 怎么讲呢在
[505.12-506.16] 1美金
[506.20-513.12] 在1美金一加仑到2美金一加仑这个范围之内
[513.12-515.16] 建制派还是有希望
[515.16-517.46] 全球化建制派都是有希望的
[517.46-519.26] 但是现在这种情况的话
[519.26-521.56] 其实投票
[521.56-526.16] 在美国这样的民主国家投票选择总统的
[526.16-528.48] 不是那个双方的
[528.48-530.52] 铁票仓的那两部分人
[530.52-532.82] 而是中间摇摆区的这部分人
[532.82-534.88] 其实就是那么几个州的几个县
[534.88-536.16] 是特别关键的
[536.20-539.02] 所以风吹草动的一点很
[539.02-541.32] 荒唐的原因有的时候甚至是
[541.32-543.62] 就可以改变这个国家的走向
[543.62-546.96] 那帝国的走向很可能会180度大转弯
[546.96-549.52] 不再支撑全球秩序的输出
[549.52-551.82] 全球秩序的输出带来的红利也
[551.82-553.86] 戛然而止
[553.86-554.88] 就是
[554.88-556.42] 美军
[556.42-557.70] 美国的
[557.70-560.52] 世界秩序的这种高度的这种
[560.52-562.82] 对美国经济的负担
[562.82-565.64] 停下来的同时硬币的另一面就是
[565.64-567.94] 全球化给美国输入的
[567.94-569.48] 通货紧缩的
[569.48-572.30] 大量的商品廉价商品也会
[572.30-573.84] 随之而停
[573.84-577.68] 也就是说这个国家的经济会逐步的走回正常
[577.68-580.48] 就是低利息甚至负利息时代
[580.48-582.02] 在美国
[582.02-584.58] 在加拿大再也不会出现了
[584.58-587.14] 哪还有零利息呀没了
[587.14-589.96] 就是它的利息会回复到正常状态
[589.96-591.50] 就是大概3%
[591.50-594.56] 到8%之间来回调整这样一个状态
[594.56-595.60] 那美国的经济会回复到正常状态
[595.64-598.20] 经济就会慢慢的变成正常经济
[598.20-601.02] 就不会是每四个人都会去买房子
[601.02-602.56] 四个人都会去买股票
[602.56-606.40] 美国的实际的这种工人制造
[606.40-607.68] 真的会回流
[607.68-610.74] 真的会这不是尤其是高端中高端制造
[610.74-611.52] 这不是开玩笑
[611.52-614.08] 因为我们正在从事把中国的
[614.08-616.12] 锂电池行业
[616.12-619.20] 和电动车行业的某些区块
[619.20-621.50] 挪到加州的这样的一个工作
[621.50-623.54] 这是个趋势
[623.54-624.56] 所以呢
[624.56-625.34] 川普
[625.34-627.14] 两年任期的时候
[627.14-629.44] 这些动作就都结束了
[629.44-631.74] 不能拐了就像川普
[631.74-633.28] 第一次任期之后
[633.28-636.34] 对华的这种经济制裁对华的这种
[636.34-637.38] 围堵
[637.38-639.94] 没有改你看拜登上来他并不能改
[639.94-641.72] 因为趋势已成
[641.72-644.02] 那么川普的第二任期之后
[644.02-646.08] 这种东西方割裂
[646.08-648.64] 世界重回丛林时代
[648.64-651.96] 重回基本上属于
[651.96-654.02] 战国时代的状态
[654.02-655.30] 就会抬头
[655.34-658.16] 那么作为美帝国主义的资深爱好者们
[658.16-658.92] 就会
[658.92-660.72] 像死了爹一样难受
[660.72-665.32] 但是我们还是用宇宙观看地球的话
[665.32-667.62] 作为美国人和加拿大人
[667.62-670.70] 其实是应该感到高兴的
[670.70-673.00] 你想想瑞士就知道了
[673.00-675.06] 瑞士是一个典型的罗马共和国
[675.06-676.58] 能打非常能打
[676.58-677.86] 但是你看瑞士打吗
[677.86-678.38] 不打
[678.38-679.66] 他就关上门做生意
[679.66-681.46] 形成了欧洲战国时代
[681.46-683.76] 最稳定的一块山地
[683.76-685.30] 山地标记兵们在
[685.34-687.38] 在瑞士存在的时候
[687.38-690.46] 瑞士重击步兵存在的地方
[690.46-694.56] 任何一个利益集团都不会轻易的把瑞士作为敌人
[694.56-695.84] 而正好相反
[695.84-699.68] 所有的人都会把瑞士当成隐藏家眷
[699.68-701.22] 和资金的
[701.22-702.50] 这个后花园
[702.50-705.82] 美国和加拿大未来扮演在地球上的角色
[705.82-708.64] 如果是川普方向的话就是这个方向
[708.64-712.48] 毫无疑问美国会放弃台湾日本等等
[712.48-714.26] 美国现在在
[714.26-715.30] 韩国
[715.34-716.36] 出绝
[716.36-720.20] 韩国压根就不在传统美国的势力范围之内
[720.20-725.84] 韩国的民主是一个脆弱而虚幻的民主
[725.84-728.90] 它是美国二战之后强制去输出
[728.90-732.50] 在跟共产党世界进行冷战的过程下
[732.50-735.30] 帷幕下的这么一个
[735.30-737.10] 小前沿调保
[737.10-738.64] 当帝国收缩的时候
[738.64-740.42] 乌克兰和韩国就会
[740.42-741.46] 第一时间消失
[741.46-744.26] 乌克兰和韩国的民主会第一时间消失
[744.26-747.08] 整个世界会进入战国时代
[747.08-750.92] 进入战国时代对于世界其他地方的人
[750.92-754.76] 尤其是在二战美国输出秩序的前沿的人
[754.76-761.42] 日本、韩国、东南亚、东欧、中欧
[761.42-766.54] 这些国家自求多福
[766.54-768.32] 但是相应的来说呢
[768.32-770.88] 随着战国的时代的推进
[770.88-773.18] 地球的混乱化
[773.18-777.28] 美国和加拿大反而会呈现瑞士的状态
[777.28-778.30] 就是
[778.30-780.10] 更多的人冷静下来
[780.10-782.14] 会喜欢来这儿
[782.14-782.90] 或者
[782.90-783.94] 梦寐以求的来这儿
[783.94-786.74] 当然那个时候美国的边境的墙是很高的
[786.74-789.56] 跟墨西哥之间的那个铁丝网是一层叠一层
[789.56-790.34] 别想
[790.34-792.64] 这么轻轻松松的走进去
[792.64-794.94] 所以呢这样的美国呢
[794.94-796.74] 大概就是时间节点
[796.74-799.54] 不回头点就是2026年
[799.54-801.08] 12月31日
[801.08-802.10] 就是不回头点
[802.10-803.14] 或者2027年1月1日
[803.18-805.22] 前后
[805.22-806.50] 你这个事就是
[806.50-809.32] 未来50年100年的地球格局
[809.32-810.60] 就是这个方向了
[810.60-814.70] 不再是那种一个老大什么大英啊大美啊这个方向了
[814.70-818.02] 川普是一个小美国主义
[818.02-819.56] 他不是大美国主义
[819.56-822.12] 他也不是美帝国主义
[822.12-823.66] 他是美共和国主义
[823.66-824.68] 所以
[824.68-825.96] 这就是事实
[825.96-827.50] 我既不挺川也不扁川
[827.50-828.78] 因为我是个加拿大人
[828.78-830.58] 我又不是美国人
[830.58-833.14] 我就是站在月球看地球
[833.18-837.28] 川普第二任连任这不是我说了算的
[837.28-838.56] 这也不是你说了算的
[838.56-840.34] 你恨川普也没有用
[840.34-842.14] 那怎么办
[842.14-845.72] 我觉得能否阻止川普连任的只有两个可能
[845.72-847.26] 一次杀他
[847.26-849.06] 这在美国历史上多次出现
[849.06-851.10] 美式民主是一个很直接的民主
[851.10-855.20] 干不了问题就干掉
[855.20-856.22] 提出问题的人
[856.22-858.52] 川普很可能会被刺死
[858.52-860.58] 这是一个可能性
[860.58-862.62] 还有一个可能性就是发生战争
[862.62-863.64] 不是美国内战
[863.64-865.70] 美国内战无法阻止川普上台
[865.70-868.76] 是指发生对外战争
[868.76-871.84] 美国会在哪发起对外战争
[871.84-872.86] 以阻止
[872.86-874.66] 川普的崛起和上台
[874.66-876.44] 这个不得而知
[876.44-879.78] 而且看时间似乎也来不及安排
[879.78-883.36] 2014年11月就大选了
[883.36-885.14] 所以只有这两个可能
[885.14-886.94] 除这两个可能之外
[886.94-890.78] 那川普能够连任
[890.78-892.58] 是一个大概率事件
[892.62-899.78] 所以如果地球是按照我们设想的一个方略去滚
[899.78-901.06] 去前进的话
[901.06-905.16] 那中国就会进入到一个极其可怕的乱世状态
[905.16-907.72] 他如果死了我刮了胡子了
[907.72-909.26] 不回头点之后
[909.26-911.82] 我说不回头点之前我刮了胡子我肯定回去了
[911.82-914.38] 因为谁上来我们现在屈指可数
[914.38-916.94] 上来接替他的人
[916.94-918.48] 他现在躲起来
[918.48-919.50] 怕别人想起来
[919.50-921.04] 不要看见我不要看见我
[921.04-922.06] 因为他是唯一
[922.06-924.88] 一个能把全球化继续接起来的人
[924.88-928.98] 这个人起来之后才能够对抗川普的小美国主义
[928.98-931.78] 这个人起来之后会勾引着川普
[931.78-934.60] 川普也不是什么很那个
[934.60-936.14] 川普也是滑头嘛
[936.14-938.18] 这个人勾引川普
[938.18-941.00] 因为他会向川普输出
[941.00-943.82] 极其丰厚的无法回绝的
[943.82-945.62] 廉价中国制造
[945.62-947.40] 就是让川普
[947.40-948.68] 没法说不
[948.68-950.48] 也舍不得抬高关税
[950.48-952.02] 因为他给川普
[952.06-953.60] 交的罚款
[953.60-956.66] 就是所谓的这个另一种类型的关税
[956.66-958.46] 就是人民币的那个币值变化
[958.46-959.74] 通过货币
[959.74-961.54] 调整来满足川普的要求
[961.54-963.06] 以及让川普
[963.06-966.66] 作为美国的大企业家把中国的金融行业整个接盘
[966.66-967.94] 整个
[967.94-969.22] 真的变成嫉妒
[969.22-972.02] 那美帝国主义虽然进入
[972.02-975.86] 命丧皇权的这样一个
[975.86-977.40] 慕绝状态但是
[977.40-980.48] 中国的这个廉价劳动力
[980.48-981.50] 拱手让你
[981.50-983.54] 给你美帝国主义全球化
[983.54-987.38] 罗马帝国再给你续命30年50年是啥问题没有
[987.38-989.94] 还会带来一波大的全球荣景
[989.94-991.48] 如果这个人上来之后呢
[991.48-993.02] 历史会发生改变
[993.02-994.56] 但这前提是他死了
[994.56-996.60] 都觉得他不会死吧
[996.60-999.94] 就是大家讲他们的癌症啊什么一线癌
[999.94-1001.22] 我觉得这可能性不大
[1001.22-1003.52] 真的不大因为他们的医疗条件
[1003.52-1007.10] 一线能够发生癌变的这个可能性不大
[1007.10-1011.20] 因为他们的医疗条件非我常人能想象了
[1011.50-1014.32] 贫穷限制我们的想象力
[1014.32-1017.64] 那么所以那个能接替他的人呢
[1017.64-1019.70] 躲起来藏着为什么呢
[1019.70-1024.82] 就怕游泳啊就怕吃了河豚了
[1024.82-1027.38] 所以这个
[1027.38-1029.16] 目前这个乱世
[1029.16-1032.24] 我们就观察到2024年11月
[1032.24-1033.52] 这是第一次节点
[1033.52-1035.06] 第一次节点那川普上来之后
[1035.06-1037.36] 宇宙就地球就按着那个方向走了
[1037.36-1038.38] 站过方向走了
[1038.38-1040.18] 然后2026年1月1号
[1040.18-1041.46] 2027年1月1号之前
[1041.46-1043.50] 他没死
[1043.50-1047.10] 那就中国就是
[1047.10-1047.86] 只有两条路
[1047.86-1048.88] 一
[1048.88-1051.18] 回复计划经济军管时代
[1051.18-1051.96] 他没死了
[1051.96-1053.50] 他打台湾去了吧
[1053.50-1055.54] 然后B呢就是他死了
[1055.54-1057.08] 然后
[1057.08-1057.58] 就是
[1057.58-1058.86] 张献忠来了
[1058.86-1060.66] 张献忠崛起
[1060.66-1063.22] 因为那个年代
[1063.22-1066.54] 不黑头点一过能够接替他的人
[1066.54-1067.82] 价值也就没有了
[1067.82-1070.64] 这是我的判断一加之言是否代表正确
[1070.64-1073.20] 引发大家思考
[1073.20-1075.76] 王哥我买了A股的ST宏达
[1075.76-1077.04] 他是有很多优秀的资产
[1077.04-1078.84] 但是目前已经面临退市
[1078.84-1080.88] 他的情况和您今天讲的几乎差不多
[1080.88-1082.92] 所有的面临退市的都是一样的
[1082.92-1084.98] 您能否帮忙分析一下这个股票
[1084.98-1086.26] 他还会不会重启
[1086.26-1088.04] 因为他的资产状况很不错
[1088.04-1089.32] 净资产3元一股
[1089.32-1091.38] 但是现在面临退了实在太
[1091.38-1092.14] 可惜了
[1092.14-1093.16] 我是您的中粉
[1093.16-1094.96] 能否帮忙分析一下这个股票
[1094.96-1096.76] 几乎所有的积蓄都在里头了
[1096.76-1098.04] 万分感谢大老王
[1098.04-1100.60] 我不太清楚啊但是
[1100.60-1103.16] 像这种情况
[1103.16-1108.80] 面临退的ST这种公司没有我们这样的高手
[1108.80-1109.56] 是玩不转的
[1109.56-1112.88] 这个大部分人都是
[1112.88-1115.20] 比如说我带了很多徒弟
[1115.20-1116.48] 怎么讲呢
[1116.48-1118.52] 后来我们有一个
[1118.52-1121.34] 合作伙伴的大型的央企的金融公司
[1121.34-1122.88] 跟我们合作了以后呢
[1122.88-1124.66] 在深圳的
[1124.66-1125.94] 他老板
[1125.94-1128.50] 看了一下我手下几个马仔
[1128.50-1130.56] 因为我走了之后把东西都交给他们了
[1131.12-1132.90] 他对他们的形容是这样的
[1133.16-1135.98] 说你们都跟王总学会了画龙
[1136.24-1137.00] 都会画龙
[1137.26-1139.04] 但是点睛的一笔你们谁也不会
[1139.56-1140.58] 这就是问题的关键
[1140.84-1141.36] 关键
[1141.60-1143.92] 点睛的一笔是什么意思就是要
[1144.42-1148.78] 知其然知其所以然荣慧贯通举一反三之后你才能点睛
[1148.78-1152.10] 否则的话你只是会画龙但是问题是每一个龙都不一样
[1152.36-1155.44] 所以你画着画着就画变形了最后就僵在那
[1155.68-1159.28] 那又是我说的另一个铁律就是三个月
[1159.52-1160.56] 必须见分晓
[1160.86-1163.68] 所以三个月一拖因为这种在
[1163.92-1165.72] 破产重整状态
[1165.98-1168.02] 各方的心态都不稳定了
[1168.54-1170.84] 所以这个就相当于两军交战
[1171.10-1172.64] 中世纪的那种状态
[1172.88-1176.48] 两军交战队员互射弓箭一轮之后
[1176.72-1179.80] 搅在一起这个时候双方的士兵
[1180.06-1183.64] 心里都是很脆弱的因为人都在生死一线之间
[1183.90-1185.94] 这个时候只要有人在那乱喊
[1186.72-1188.00] 国王死了
[1188.50-1190.56] 那个或者什么曹操没了
[1190.86-1191.12] 然后
[1191.36-1192.14] 你别看
[1192.40-1195.72] 一秒钟之前还在相似状态一秒钟之后
[1195.98-1198.80] 这边就会扭头就跑然后大势已去
[1199.30-1199.82] 肥水之战
[1200.08-1201.36] 就是这么一个
[1201.60-1202.64] 状态所以必须快
[1202.88-1204.16] 就是你这种仗
[1204.68-1206.48] 它不像IPO可以一点一点的走
[1206.72-1208.26] 真正的发展企业
[1208.52-1210.06] 像破产重整这种仗
[1210.82-1213.38] 必须打十为一的
[1213.64-1214.66] 维艰之战
[1214.92-1215.44] 就是
[1216.20-1217.22] 枪声响起来
[1217.48-1218.76] 就是平行观的
[1219.02-1219.52] 决定
[1219.96-1220.56] 你这个自重决定
[1220.86-1221.88] 军队就走不了了
[1222.14-1223.16] 这才叫战神
[1223.42-1223.92] 否则
[1224.18-1227.76] 我为什么是中国资本市场重组界的战神
[1228.02-1230.32] 只要是我亲自操盘的企业无一不成
[1230.58-1231.36] 就是因为
[1231.60-1233.92] 每次打仗我都是林彪的打法
[1234.16-1236.22] 因为我可以不打呀
[1236.48-1239.04] 没有人逼着我一年打两次对不对
[1239.28-1241.84] 因为你躲在山沟沟里谁他妈知道你啊
[1242.10-1243.38] 日本人才懒得去教你呢
[1243.64-1244.66] 所以我们
[1245.18-1246.46] 真正要干这种企业
[1246.72-1249.52] 这个ST宏达的操盘者的话也应该听我这句话
[1249.78-1250.30] 就是
[1250.60-1252.64] 要把方方面面全都准备好
[1253.42-1253.92] 然后
[1254.18-1256.48] 宏达自重队进山的时候再消灭它
[1256.74-1258.80] 那你这个股票我没有兴趣研究
[1259.04-1260.32] 如果你要是有兴趣研究
[1260.58-1261.60] 按照我这思路你看看
[1261.86-1263.14] 你就知道他成不了成不了
[1263.66-1265.20] 你只要看看他公告的时间
[1265.44-1265.96] 那个
[1266.22-1267.24] 动作是否连贯
[1267.76-1268.78] 你心里边就清楚了
[1269.04-1270.82] 不行的话不行的话你就
[1271.34-1272.10] 你就所有的
[1273.64-1276.72] 积蓄都在里边化为乌有呗
[1277.22-1279.78] 就是我讲那个帝国艰辛艰的拾荒者
[1279.78-1282.34] 你不是拾荒者你是帝国艰辛艰的一部分
[1282.86-1284.90] 你就是坠毁的那一部分
[1285.16-1285.66] 真的是这样
[1285.92-1287.46] 所以归零呢
[1287.72-1288.48] 也得认啊
[1288.74-1290.02] 因为你凭本事挣的钱
[1290.54-1292.32] 要凭本事再输回去嘛
[1293.34-1294.12] 老王大哥
[1294.38-1295.90] 成为股东捐赠资产
[1296.16-1296.94] 贿赂全部股东
[1297.18-1298.22] 资本公积金定向
[1298.46-1299.50] 发行股票
[1299.74-1300.26] 这不是
[1300.52-1301.80] 我教给你的招数吗
[1302.06-1305.12] 您重组上市公司的时候把自己比喻成卖二手车子
[1305.38-1307.94] 那么我的问题是如何把车变得焕然一新
[1308.20-1309.22] 很简单破产
[1309.22-1311.02] 破产是最根本的
[1311.52-1312.54] 就是最好的办法
[1312.80-1313.32] 这个企业
[1313.58-1314.60] 破过产之后
[1315.10-1316.64] 所有的隐患都没有了
[1317.16-1318.44] 所有的隐患都没有了
[1318.70-1320.74] 所有的债权债务全部清零
[1321.26-1324.32] 我为什么说破烂可以捡出很多好东西
[1324.58-1325.86] 因为你别看它现在是破烂
[1326.12-1327.66] 你破了产之后啊
[1327.90-1330.46] 你跟债主达成了这个和解协议之后啊
[1331.74-1334.30] 你这个权证包括土地证
[1334.56-1335.34] 房产证
[1335.58-1336.86] 包括你的股权
[1337.38-1338.92] 全都是干净的
[1339.48-1340.50] 那你还不会玩吗
[1340.76-1341.52] 你他妈不会玩
[1341.78-1342.80] 比如说我们举个例子
[1343.06-1345.10] 比如说恒大有一个五星级酒店
[1345.36-1346.90] 或者万达有个四星级酒店
[1347.66-1348.70] 他现在是不行
[1348.94-1350.48] 因为他欠上游的钱
[1350.74-1353.04] 连他妈的小毛巾、小手巾板
[1353.30-1358.16] 小牙膏和拖鞋的供货商的钱他都欠着50万、100万的
[1358.42-1359.18] 那他是不行了
[1359.96-1361.50] 但是你破产重整之后
[1362.78-1363.80] 零啊
[1364.82-1365.84] 他那块地可是真的
[1366.10-1367.38] 他那个building可是真的
[1367.64-1369.18] 他那个酒店只要开门
[1369.48-1369.98] 还是营业
[1370.24-1371.52] 稍微装修一下
