[2.99-4.99] Hello 大家好
[4.99-6.99] 我回来了
[114.99-116.99] 我答应翟山英了
[116.99-118.99] 翟山英又给我写email了
[118.99-119.99] 我也不知道是真的假的
[119.99-120.99] 我怀疑是假的
[120.99-121.99] 翟山英
[121.99-124.99] 但是他们用的语言跟翟山英说话平时一模一样
[124.99-127.99] 今天我被翟山英抓住搞完了
[127.99-129.99] 我被翟山英抓住搞完了
[129.99-130.99] 什么意思
[130.99-131.99] 他说王继洲
[131.99-133.99] 今天这个email
[133.99-134.99] 我相信是他自己写的
[134.99-135.99] 王继洲
[135.99-136.99] 你个王八蛋
[136.99-137.99] 我破口大骂
[137.99-139.99] 你是因为你说我小孩的事
[139.99-141.99] 这是抓住我的搞完了
[141.99-142.99] 因为大家都知道
[142.99-144.99] 我对小孩特别重视
[144.99-147.99] 我确实在10月10号那期节目里边
[147.99-149.99] 说了翟山英小孩高兴了
[149.99-150.99] 高功能自闭症
[150.99-153.99] 这是我的短处
[153.99-155.99] 我咱们光兵磊落
[155.99-157.99] 做事咱们不要端着藏着
[157.99-158.99] 不要装逼
[158.99-159.99] 错了就是错了
[159.99-161.99] 我说人家翟山英孩子高功能自闭症
[161.99-163.99] 这点对我不好
[163.99-164.99] 这点对他不好
[164.99-165.99] 不是对我
[165.99-166.99] 这点对他不好
[166.99-167.99] 没有任何借口
[167.99-168.99] 没有任何理由
[168.99-169.99] 就是错了
[169.99-171.99] 我已经向翟山英道过一次歉了
[171.99-173.99] 但是可能他没看见
[173.99-176.99] 因为我把那次道歉夹杂在我节目里头
[176.99-177.99] 我估计翟山也不太看我的节目了
[177.99-178.99] 现在
[178.99-179.99] 那么
[179.99-180.99] 我就在这次节目之前
[180.99-182.99] 正式向翟山英道歉
[182.99-184.99] 有好事之徒可以给我传过去
[184.99-186.99] 我就怕他又没看见
[186.99-187.99] 翟山英对不起
[187.99-190.99] 我在10月10号左右的那一期节目里
[190.99-191.99] 说了你孩子
[191.99-193.99] 你儿子高功能自闭症这件事情
[193.99-195.99] 这是绝对有错误的
[195.99-197.99] 我在此诚恳的道歉
[197.99-198.99] 我以后再也不会说了
[198.99-199.99] 想都不会想这个事
[199.99-200.99] 错了就是错了
[200.99-201.99] 没有借口
[201.99-202.99] 没有理由
[202.99-204.99] 就是我的道德修养不够造成的
[204.99-205.99] 我那个嘴欠
[205.99-207.99] 我当时想挠个挠个你
[207.99-208.99] 气气你
[208.99-209.99] 看看你翻不翻脸
[209.99-210.99] 结果你当时没有翻脸
[210.99-212.99] 今天给我发email才翻脸
[212.99-213.99] 才告诉我原因
[213.99-215.99] 你要早说这个原因的话
[215.99-219.99] 后边我就不说你其他的事了
[219.99-221.99] 这个事过去了
[221.99-222.99] 这个确实是我搞完
[222.99-224.99] 他抓的真准
[224.99-226.99] 因为我砸翟山英整个过程中
[226.99-227.99] 其实没有
[227.99-229.99] 可以说没有任何的逻辑漏洞
[229.99-231.99] 唯一的逻辑漏洞就是
[231.99-232.99] 说他小孩这些事
[232.99-235.99] 这个是我的内心深处的一个愧疚
[235.99-238.99] 其实你要真正了解我的人
[238.99-239.99] 实际上能看得出来
[239.99-240.99] 其实我对这个事来说
[240.99-242.99] 自己是非常的心虚的
[242.99-245.99] 确实是不对
[245.99-246.99] 确实是不对
[246.99-251.99] 确实是以后要进一步的提高
[251.99-253.99] 自己的人生修养
[253.99-254.99] 虽然我是个臭流氓
[254.99-255.99] 但是做什么
[255.99-256.99] 说什么
[256.99-258.99] 还是应该有个分寸的
[258.99-259.99] 说山英是骗子
[259.99-260.99] 绝对没有问题
[260.99-261.99] 他就是骗老百姓的钱
[261.99-263.99] 骂他绝对是没有问题的
[263.99-264.99] 砸他蹭他
[264.99-265.99] 这都可以
[265.99-267.99] 因为我这频道有三宝
[267.99-268.99] 第一宝就是山英
[268.99-271.99] 山英刘阿姨和一根鸟
[271.99-273.99] 就是比较经济学
[273.99-274.99] 山英阿姨一根鸟
[274.99-276.99] 是老王频道三件宝
[276.99-278.99] 三件宝的首宝
[278.99-280.99] 翟山英我还是要留着的
[280.99-284.99] 但是以后砸挂翟山英不提家人
[284.99-286.99] 这是一个原则
[286.99-289.99] 这就像郭德纲跟于谦说相声一样
[289.99-291.99] 郭德纲敢砸挂于谦
[291.99-295.99] 于老爷子和他媳妇睡衣床上
[295.99-297.99] 关键的原因在于于老爷子跟于谦
[297.99-300.99] 王老爷子跟于谦的媳妇没睡过一张床
[300.99-302.99] 所以你这么砸没问题
[302.99-303.99] 但是如果要是真的是这样
[303.99-305.99] 那于谦也急了
[305.99-308.99] 因为人家山英的孩子真有这个问题
[308.99-309.99] 高工资比这个问题
[309.99-311.99] 所以我说这个确实不合适
[311.99-312.99] 这个已经超出了砸挂
[312.99-313.99] 对不起对不起
[313.99-314.99] 翟山英对不起
[314.99-315.99] 向你道歉
[315.99-316.99] 向你道歉
[316.99-318.99] 希望你能接受我的道歉
[318.99-320.99] 并且能看到我这个节目
[320.99-323.99] 咱们俩以后还隔空互喷
[323.99-324.99] 你要想喷我
[324.99-325.99] 我先给你攒着
[325.99-327.99] 因为我现在也不愿意再喷你了
[327.99-331.99] 蹭你粉的卑鄙的目的已经达到了
[331.99-333.99] 所以以后我说我的
[333.99-336.99] 然后你可以在我这个视频里找毛病
[336.99-337.99] 挑毛病辅证我
[337.99-343.99] 然后也可以在我的观点基础上加以论证和延伸
[343.99-345.99] 就像我们15年以前在公司
[345.99-347.99] 从我这儿学走的猛牛伊犁
[347.99-349.99] 然后你到处去说一样
[349.99-350.99] 这可以啊
[350.99-353.99] 欢迎我们继续说金钟相声以后
[353.99-357.99] 那么老王的频道里面有些观众
[357.99-359.99] 动不动就要干货
[359.99-360.99] 动不动就要干货
[360.99-362.99] 这表现出来了特别市块的一面
[362.99-365.99] 这个频道再次重申
[365.99-367.99] 它不是金融授课平台
[367.99-369.99] 我也没有收你们的学费
[369.99-371.99] 无非就是让你们看了点广告
[371.99-373.99] 妈的挣几个买菜钱
[373.99-375.99] 这对我来说对你来说重要吗
[375.99-376.99] 都不重要
[376.99-379.99] 看我这频道有什么好处呢
[379.99-382.99] 实话实说我们还得再次感谢翟山英
[382.99-385.99] 不是他当时说我作风淫荡
[385.99-387.99] 是色情狂
[387.99-389.99] 行业的这个翘楚
[389.99-392.99] 在北京跟他一起做公司的时候
[392.99-394.99] 玩了那玩女人
[394.99-395.99] 出入色情场所
[395.99-397.99] 乃是行业中的佼佼者
[397.99-399.99] 还给我做了罐口
[399.99-401.99] 说我一男对一女
[401.99-402.99] 一男对多女
[402.99-403.99] 一男对一半男半女
[403.99-404.99] 一男对多半男半女
[404.99-406.99] 然后说完了我之后
[406.99-407.99] 紧接着就说肖建华
[407.99-409.99] 他他妈的搁着我
[409.99-412.99] 其实这都无所谓
[412.99-414.99] 因为不是怎么就无所谓
[414.99-415.99] 我给自己掉坑里了
[415.99-416.99] 有所谓
[416.99-417.99] 因为我不是色情狂
[417.99-421.99] 我没有录黄色录像给他看过
[421.99-422.99] 为什么把我给弄出来
[422.99-423.99] 感谢翟山英
[423.99-424.99] 他这么一说
[424.99-425.99] 我老婆不干了
[425.99-429.99] 我老婆恰恰没掐死我
[429.99-432.99] 所以我当时刚做这视频的时候
[432.99-433.99] 初衷就是报复他
[433.99-434.99] 就是骂回他
[434.99-437.99] 结果这一骂不得了
[437.99-440.99] 这骂出了一片新天地
[440.99-442.99] 本来是报私仇的
[442.99-444.99] 结果就找到了一个超级好玩的东西
[444.99-445.99] 我算是了解
[445.99-447.99] 为什么那么多名人
[447.99-448.99] 为什么那么多大V
[448.99-451.99] 现在开始做自媒体youtube了
[451.99-452.99] 我真了解了
[452.99-453.99] 他妈真爽
[453.99-454.99] 你不给我钱
[454.99-455.99] 你倒贴我钱我都干
[455.99-456.99] 为什么呢
[456.99-458.99] 相当于自己有个自己的电视台
[458.99-459.99] 怎么摆货怎么摆货
[459.99-461.99] 怎么说怎么说
[461.99-462.99] 非常轻松
[462.99-465.99] 而且关键是我这种不藏掖着
[465.99-467.99] 这种不打草稿
[467.99-468.99] 信口就来
[468.99-471.99] 全部都是根据自己以往的经历
[471.99-473.99] 根据自己对世界的观感
[473.99-475.99] 跟大家直接聊天的这种
[475.99-478.99] 形式深受观众的好评
[478.99-481.99] 有很多尤其是咱北京人特别爱听我这口
[481.99-483.99] 上头上瘾
[483.99-484.99] 我就更加的高兴
[484.99-485.99] 为什么
[485.99-487.99] 因为于伯牙需要中子期
[487.99-491.99] 所以高山流水一听就懂
[491.99-494.99] 越这样就越鼓励我的创作欲和表演欲
[494.99-497.99] 使我内心深处隐藏多年的表演型人格
[497.99-498.99] 充分的发挥出来
[498.99-500.99] 你想我在温哥华憋了12年
[500.99-501.99] 退休了12年
[501.99-502.99] 无所事事
[502.99-504.99] 天天憋着
[504.99-507.99] 我脑子里的这记忆再不说都快忘了
[507.99-510.99] 现在要说点关于谢志坤的当年的老记忆
[510.99-512.99] 我都得这么想
[512.99-514.99] 眼神都得往上撇
[514.99-516.99] 调用脑子里面的记忆
[516.99-517.99] 这我还没老
[517.99-518.99] 我才50岁左右
[518.99-519.99] 等我到60岁70岁
[519.99-520.99] 如果还不说
[520.99-521.99] 我真的就可能忘光了
[521.99-522.99] 就开始胡说八道了
[522.99-524.99] 就是跟那些老红军一样
[524.99-525.99] 回忆战争年代
[525.99-526.99] 他妈皮全忘了
[526.99-527.99] 后来我才知道
[527.99-528.99] 我开始做油管
[528.99-531.99] 我才知道他们的口述什么长征历史
[531.99-532.99] 口述什么遵义会议
[532.99-533.99] 全基本一多半都是扯鸡蛋
[533.99-534.99] 为什么
[534.99-535.99] 因为他们真的是亲历过
[535.99-537.99] 但是他们真可能忘了细节
[537.99-539.99] 所以你千万别跟他们揪细节
[539.99-540.99] 跟他们揪细节
[540.99-541.99] 一个人说一个版本
[541.99-543.99] 他们那次会议明明有五个人参加的
[543.99-545.99] 这五个王八蛋真的参加了
[545.99-547.99] 但这五个王八蛋回来说的
[547.99-549.99] 居然是五个不同的故事
[549.99-551.99] 就是原因于此
[551.99-553.99] 所以你们也别挑老王的理
[553.99-555.99] 有的时候说的东西不是很精确
[555.99-558.99] 有的东西说的不是一次全给你们道出来
[558.99-559.99] 为什么
[559.99-560.99] 因为我有策略
[560.99-561.99] 我这是我的书厂
[561.99-562.99] 我得招人
[562.99-563.99] 我得勾引你们
[563.99-564.99] 我得让你们继续学习
[564.99-565.99] 继续上头
[565.99-567.99] 我也得有我的策略
[567.99-568.99] 所以
[568.99-569.99] 我说老谢
[569.99-570.99] 一点一点说
[570.99-571.99] 一星期说一段
[571.99-572.99] 一星期说一段
[572.99-573.99] 恨我也没有用
[573.99-574.99] 这才能上瘾
[574.99-576.99] 你想想郭德纲是不是这么干的
[576.99-578.99] 德云社是不是干的
[578.99-579.99] 为什么能容忍郭德纲
[579.99-581.99] 不能容忍金融界的郭德纲
[581.99-582.99] 对不对
[582.99-584.99] 所以请观众朋友还继续容忍我
[584.99-586.99] 喜欢这口的多多来
[586.99-588.99] 不喜欢这口的理送出镜
[588.99-590.99] 如果在这胡说八道的
[590.99-591.99] 在评论里胡说八道
[591.99-592.99] 我绝不删评论
[592.99-593.99] 这是第一
[593.99-594.99] 第二
[594.99-595.99] 我会骂回
[595.99-596.99] 如果是傻逼的话
[596.99-598.99] 我会真的骂回你们的
[598.99-599.99] 比如说
[599.99-601.99] 我说二元文化体系
[601.99-602.99] 今天这个主题
[602.99-604.99] 说中国的二元文化体系
[604.99-606.99] 在司法层面之下
[606.99-608.99] 还有一个隐形层面
[608.99-610.99] 就是武侠层面
[610.99-611.99] 中国二元文化体系
[611.99-613.99] 造成了中国诸多的社会问题
[613.99-615.99] 它是诸多中国经济问题
[615.99-617.99] 甚至政治问题的
[617.99-620.99] 深层次的底层代码原因
[620.99-622.99] 就有人说我的水
[622.99-623.99] 还有人说
[623.99-624.99] 我超过了
[624.99-625.99] 我超刘仲敬的东西
[625.99-627.99] 说我超刘仲敬超乱了
[627.99-630.99] 上午我说的有点急
[630.99-631.99] 是属实
[631.99-633.99] 但是说你说我超刘仲敬
[633.99-634.99] 我超刘仲敬
[634.99-635.99] 我会隐瞒吗
[635.99-636.99] 我致敬刘阿姨
[636.99-637.99] 那是公开的
[637.99-639.99] 当众羞辱他
[639.99-640.99] 对不对
[640.99-642.99] 那么我公开承认
[642.99-643.99] 我是刘阿姨的粉丝
[643.99-644.99] 这有什么了
[644.99-646.99] 我把刘阿姨的话
[646.99-647.99] 翻译成人话
[647.99-648.99] 给你们讲
[648.99-649.99] 她说的不是人话
[649.99-651.99] 她说的没几个人能听得下去
[651.99-653.99] 乃是功德一件
[653.99-655.99] 刘阿姨她还得给我发稿费呢
[655.99-656.99] 给我打钱
[656.99-660.99] 但是玩笑归玩笑
[660.99-662.99] 我二元层次文化
[662.99-664.99] 真跟刘阿姨没关系
[664.99-666.99] 我08年就在我博客里写
[666.99-669.99] 我3000江东老铁一定能够给我证明
[669.99-670.99] 在我博客时代
[670.99-672.99] 追随我的这些老铁们一定能够证明
[672.99-676.99] 我确实是在2008年就说过
[676.99-679.99] 中国的二元文化体系下的武侠文化
[679.99-682.99] 对于资本市场的影响
[682.99-686.99] 你不信你们好事之徒一定能找着
[686.99-687.99] 我自己已经找不着了
[687.99-689.99] 过了15年了
[689.99-690.99] 自己找不着了
[690.99-694.99] 新浪博客的密码我也忘了
[694.99-695.99] 我自己也找不回来了
[695.99-699.99] 然后我给新浪发email发过
[699.99-700.99] 大概10年以前发过
[700.99-701.99] 说你能不能够帮我找找密码
[701.99-703.99] 新浪说你得证明你自己是你
[703.99-705.99] 我又证明不了我是我
[705.99-706.99] 因为我当时是匿名注册的
[706.99-708.99] 所以这事只得作罢
[708.99-710.99] 好吧
[710.99-711.99] 我们
[711.99-712.99] 我们
[712.99-713.99] 接着说
[713.99-715.99] 我这个视频让你们上瘾
[715.99-716.99] 这就对了
[716.99-717.99] 为什么呢
[717.99-719.99] 因为我真的是很真诚
[719.99-720.99] 有些王八蛋说
[720.99-723.99] 我在中国资本市场是运作黑幕挣钱来的
[723.99-725.99] 我呸
[725.99-726.99] 胡说八道的
[726.99-728.99] 你真的是他妈鼠目寸光
[728.99-729.99] 为什么呢
[729.99-731.99] 其实我在博客时代还写过
[731.99-733.99] 王石跟小田唱的是哪一出
[733.99-735.99] 那篇文章里面
[735.99-737.99] 其实我就已经精确说到
[737.99-741.99] 中国人仇富的根源在于文化劣根性
[741.99-743.99] 为什么有钱人
[743.99-747.99] 首先这些王八蛋就会认为人家有钱人都是坏人
[747.99-751.99] 就认为人家挣来的钱全是阴暗操作内幕操作
[751.99-755.99] 对于有钱人对于富人没有起码的尊重
[755.99-756.99] 不否认
[756.99-760.99] 在乱世在改革开放初期确实有很多坏人
[760.99-763.99] 利用游戏规则的这种不健全
[763.99-765.99] 和利用法治的不健全
[765.99-767.99] 得到了他人生中的第一统计
[767.99-769.99] 确实是骗了别人害了别人
[769.99-770.99] 这是存在的
[770.99-773.99] 但是还有一部分人
[773.99-777.99] 他赢到钱是利用法律和规则的不健全
[777.99-780.99] 在这个过程中实现了创新及突破
[780.99-783.99] 造成了win-win的多赢局面
[783.99-784.99] 我就是第二种
[784.99-786.99] 我一点都不客气
[786.99-788.99] 我就敢说我是第二种人
[788.99-791.99] 我没有在我原始积累的过程中
[791.99-795.99] 在中国资本上重组的过程中
[795.99-797.99] 我老王做的案例
[797.99-799.99] 我亲自参与重组的
[799.99-800.99] 和我主导重组的
[800.99-803.99] 没有一个股民被闷里头的
[803.99-805.99] 至少挣了三倍走人
[805.99-807.99] 甚至翻了七倍走人
[807.99-809.99] 否则的话直到今天
[809.99-811.99] 为什么在网上没有人骂我呢
[811.99-813.99] 玩这么大
[813.99-814.99] 谷歌 百度
[814.99-816.99] 我又不去评控 控评
[816.99-817.99] 我又不是习近平
[817.99-819.99] 禁止的禁
[819.99-820.99] 王进平
[820.99-822.99] 为什么没有人骂我是骗子呢
[822.99-825.99] 这也是中国人另一方面的悲哀
[825.99-826.99] 今天中午
[826.99-831.99] 我跟本地老外投行的老哥吃饭
[831.99-833.99] 他给我讲了一个故事
[833.99-835.99] 他说
[835.99-840.99] 他的岳父是温哥华本地的一个非常有知识
[840.99-843.99] 有钱的这么一个老富翁
[843.99-846.99] 当年发明了一个特别关键的零部件
[846.99-848.99] 一下子变成有钱人了
[848.99-850.99] 是个机械类的船上用的零部件
[850.99-852.99] 很重要的一个
[852.99-854.99] 卡特比勒都买了他的专利
[854.99-856.99] 他的零部件当年公开的设计
[856.99-860.99] 让很多老外copy零部件赚到了钱
[860.99-861.99] 他爸爸现在退休了
[861.99-864.99] 就住在温哥华北边的一个城市里面
[864.99-865.99] 在那养老
[865.99-868.99] 经常有老外不认识的开车到他们家门
[868.99-870.99] 当当当敲门
[870.99-872.99] 他爸爸今天已经92岁了
[872.99-873.99] 岳父
[873.99-874.99] 说您是谁
[874.99-875.99] 他说他叫Stan
[875.99-876.99] 您是Stan
[876.99-877.99] Mr.Stan
[877.99-879.99] 我是Stan先生
[879.99-880.99] 谢谢你
[880.99-881.99] 谢谢你
[881.99-884.99] 你当时的哪一样发明让我挣了多少钱
[884.99-885.99] 我今天来看你
[885.99-886.99] 就是想对你表示
[886.99-887.99] 一声谢谢你
[887.99-888.99] 你是个伟大的人
[888.99-889.99] 你改变了我的一生
[889.99-894.43] 我王金周做资本运作
[894.43-896.43] 做上市公司重组
[896.43-899.43] 让无数的中国股民挣到过钱
[899.43-900.43] 无数的
[900.43-902.43] 没有一个人
[902.43-903.43] 哪怕登门也好
[903.43-905.43] 哪怕给我正式发封email
[905.43-906.43] 说谢谢我
[906.43-907.43] 没有一个
[907.43-911.00] 我当时记得特别清楚
[911.00-912.00] 我重组丘陵的时候
[912.00-914.00] 有一个老哥翻了7倍走
[914.00-915.00] 上海老哥
[915.00-918.00] 他在我博客里留了一句言
[918.00-920.00] 这是唯一的一个感谢我的
[920.00-921.00] 是因为我在博客里说
[921.00-923.00] 至少股民挣了3倍走
[923.00-924.00] 他说老王
[924.00-925.00] 你太小看我了
[925.00-926.00] 我挣了你这个单子
[926.00-927.00] 我挣了7倍
[927.00-928.00] 几个月
[928.00-931.38] 但是在语言中
[931.38-934.38] 表示的是他自己聪明
[934.38-937.38] 是他抓住了这么一个历史机遇
[937.38-938.38] 赚到了7倍的钱
[938.38-943.94] 他没有一句感谢我的直接的话
[943.94-945.94] 这就是中国人
[945.94-948.94] 所以我对那片土地充满了失望
[948.94-950.94] 不光是对独裁者充满了失望
[950.94-952.94] 更是对造成他生气的
[952.94-955.94] 因为他基础人群造成了失望
[955.94-958.94] 基础人群是非常燥烂的基础人群
[958.94-959.94] 我不排除里面有好人
[959.94-961.94] 但好人是少数
[961.94-966.94] 肥沃的土壤造就了伟大的独裁者
[966.94-967.94] 有什么土壤
[967.94-971.48] 结出什么恶果
[971.48-972.48] 相反
[972.48-973.48] 只要我重组的股票
[973.48-975.48] 其实我都已经退出了
[975.48-977.48] 只要往下跌
[977.48-978.48] 个个的那时候有古巴
[978.48-980.48] 在古巴里面骂我祖先三代
[980.48-981.48] 让我老婆和女儿
[981.48-982.48] 那时候我有大女儿
[982.48-983.48] 他们都知道
[983.48-984.48] 股民都知道
[984.48-987.48] 让我大女儿和老婆去做鸡
[987.48-989.48] 什么清明节给我烧纸
[989.48-990.48] 大有人在
[990.48-991.48] 其实我都已经退出了
[991.48-992.48] 他妈的还骂我
[992.48-994.48] 因为他们唯一知道的就是我
[994.48-995.48] 别的人在后边的
[995.48-997.48] 全躲着藏着掖着
[997.48-1001.48] 包括我的这些合作伙伴
[1001.48-1003.48] 跟我一桩桩一件件
[1003.48-1004.48] 包括谢老板
[1004.48-1005.48] 谢志坤
[1005.48-1006.48] 东耀武
[1006.48-1007.48] 王志伟
[1007.48-1009.48] 李建新
[1009.48-1011.48] 屏卫杰
[1011.48-1012.48] 包括刘红桥
[1012.48-1013.48] 这些人
[1013.48-1014.48] 人多了去了
[1014.48-1017.48] 我可以说出至少他们一页纸的人名
[1017.48-1019.48] 跟我合作的时间
[1019.48-1021.48] 都是他们人生最高光时刻
[1021.48-1022.48] 包括翟山英
[1022.48-1024.48] 都是他挣钱挣得最舒服的时刻
[1024.48-1025.48] 他在建行
[1025.48-1026.48] 他不就是我给他运作进去吗
[1026.48-1028.48] 他难道能否认这一点吗
[1028.48-1029.48] 他确实否认这点
[1029.48-1030.48] 他真不要脸
[1030.48-1031.48] 那不是一颗资本
[1031.48-1032.48] 鼎力相助
[1032.48-1033.48] 他进什么建行
[1033.48-1036.48] 但是这些人回过头来
[1036.48-1038.48] 全认为是自己的能力
[1038.48-1041.48] 甚至有些人为了让我闭嘴
[1041.48-1042.48] 雇凶杀我
[1042.48-1043.48] 李建新王八蛋
[1043.48-1044.48] 天津的雇凶杀我
[1044.48-1048.48] 就是怕我二股东在丘陵案子上站出来说
[1048.48-1052.48] 丘陵百货大楼是丘陵公司的
[1052.48-1054.48] 不是杭州肖山高老板家的
[1054.48-1057.48] 他们做的那次
[1057.48-1059.48] 所谓的司法诉讼失败是假的
[1059.48-1060.48] 我要站出来说
[1060.48-1061.48] 宁可杀我
[1061.48-1063.48] 逼着我出走加拿大
[1063.48-1064.48] 我不走不行了
[1064.48-1065.48] 因为当时周永康没倒
[1065.48-1067.48] 他们找到李东称周永康收拾我
[1067.48-1068.48] 那就分分钟的事
[1070.48-1071.48] 所以
[1071.48-1072.48] 我这些故事
[1072.48-1074.48] 你们不用担心我说完
[1074.48-1076.48] 我经历的东西不像咱们翟副主席
[1076.48-1078.48] 说一年就水了
[1078.48-1079.48] 我只要想说
[1079.48-1081.48] 我可以说好多年
[1081.48-1084.48] 充满了曲折故事性
[1084.48-1086.48] 我做资本运作的规模
[1086.48-1089.48] 不是中国资本运作金融行业的天花板
[1089.48-1090.48] 我规模不是
[1090.48-1093.48] 但是我的锐度和坚度
[1093.48-1095.48] 我觉得是天花板级
[1095.48-1096.48] 这个级别的
[1096.48-1097.48] Top级的
[1097.48-1101.48] 能跟我创新能力和
[1101.48-1103.48] 建好就收的分寸能力
[1103.48-1106.48] 以及把身边的合作伙伴代付的能力
[1106.48-1108.48] 能跟我相提并论的
[1108.48-1110.48] 一定只有个位数
[1110.48-1112.48] 绝对没有两位数
[1112.48-1114.48] 我敢今天吹牛逼
[1114.48-1115.48] 吹牛逼摆在这
[1115.48-1116.48] 这是第一个牛逼
[1116.48-1117.48] 第二个牛逼就是
[1117.48-1119.48] 能像我这样全身而退的
[1119.48-1120.48] 今天敢开油管的
[1120.48-1122.48] 连第二个都没有
[1122.48-1123.48] 有一个算一个
[1123.48-1125.48] 没有人敢开油管
[1125.48-1127.48] 没有人敢这么讲
[1127.48-1129.48] 哪怕不如我玩的大的都没有
[1129.48-1130.48] 自己想想
[1130.48-1131.48] 自己想想为什么
[1131.48-1133.48] 我真的是骗子吗
[1133.48-1134.48] 我如果是骗子
[1134.48-1137.48] 我如果是运作了不堪的钱出来的
[1137.48-1139.48] 我他妈会干这事吗
[1139.48-1140.48] 这是其一
[1140.48-1141.48] 其二
[1141.48-1144.48] 我一定有政治诉求才干这个事
[1144.48-1146.48] 比如说老郭
[1146.48-1148.48] 郭总统他出来搞油管
[1148.48-1149.48] 他有他的目的
[1149.48-1151.48] 非常明确的政治目的
[1151.48-1152.48] 对吧
[1152.48-1153.48] 报仇保财
[1153.48-1156.48] 什么保钱保命
[1156.48-1158.48] 翟山英
[1158.48-1159.48] 他有明确的政治目的
[1159.48-1160.48] 他要
[1160.48-1161.48] 政治庇护
[1161.48-1164.48] 他们老王蓝本护照已经拿了12年了
[1164.48-1165.48] 他们有什么目的
[1165.48-1167.48] 我屌目的都没有
[1167.48-1168.48] 我就闲得蛋疼
[1168.48-1169.48] 骂翟山英
[1169.48-1171.48] 他分头蹦迪把我蹦出来了
[1171.48-1173.48] 蹦出来我发现这东西好玩了
[1173.48-1174.48] 开始经营油管
[1174.48-1176.48] 可以说全油管界
[1176.48-1177.48] 全中文油管界
[1177.48-1178.48] 全金融界
[1178.48-1180.48] 像我这样开始油管之路
[1180.48-1182.48] 并且认真经营油管的
[1182.48-1183.48] 我孤陋寡闻
[1183.48-1184.48] 我是唯一一个
[1184.48-1185.48] 如果有第二个
[1185.48-1186.48] 请大家给我贴出来
[1186.48-1187.48] 打我的脸
[1187.48-1188.48] 好吧
[1188.48-1189.48] 咱不是吹牛逼
[1189.48-1191.48] 咱们就是他们实话实说
[1191.48-1193.48] 你就给我上行
[1193.48-1195.48] 我说出来也是这个版本
[1195.48-1196.48] 你说我图什么
[1196.48-1198.48] 我收割什么淡酒
[1198.48-1200.48] 说我第四阶段收割韭菜
[1200.48-1202.48] 我收割什么韭菜
[1202.48-1203.48] 真是的
[1203.48-1205.48] 我真的不会收割韭菜的
[1205.48-1207.48] 我收割点油管的广告费
[1207.48-1209.48] 就是我的目的
[1209.48-1211.48] 我他们目的就这么简单
[1211.48-1212.48] 你们真是的
[1212.48-1214.48] 这是受不了你们了
[1214.48-1217.48] 然后跟大家聊聊天
[1217.48-1219.48] 享受大家的热情
[1219.48-1221.48] 大家的善忽和鼓掌
[1221.48-1223.48] 我站在灯光下
[1223.48-1225.48] 我又回到了聚光灯下
[1225.48-1227.48] 这就是我的目的
[1227.48-1229.48] 照传那首歌
[1229.48-1231.48] 照传那首老歌
[1231.48-1233.48] 唱的就是我的心声
[1233.48-1236.48] 我终于失去了你
