[3.44-5.08] 哈喽大家好啊
[416.97-418.25] 去做
[418.25-419.27] 兵役登记
[419.27-420.29] 把他吓坏了
[420.29-421.33] 王总下图说是
[421.33-422.87] 不是我上海朋友收到的
[422.87-424.15] 我也接到了电话
[424.15-424.91] 这个情况下
[424.91-425.69] 我还让儿子
[425.69-426.97] 三月份放假回国吗
[426.97-428.49] 六月份的机票也买了
[428.49-429.27] 需要退票吗
[429.27-430.29] 盼望您的回复
[430.29-430.81] 谢谢您
[430.81-432.33] 一个焦虑的母亲
[432.33-433.11] 你不用着急
[433.11-434.39] 退票啊
[434.39-436.43] 三月份放假回国
[436.43-437.45] 六月份回来
[437.45-438.23] 这个
[438.23-439.25] 时间来得及
[439.25-440.01] 是要打仗了
[440.01-440.53] 不假
[440.53-442.07] 但是不会这么快就打仗的
[442.07-443.09] 2024年
[443.09-444.37] 六月之前不会打仗的
[444.37-444.89] 因为
[444.89-446.17] 11月美国大选
[446.17-447.19] 我都再说了吗
[447.19-448.97] 打不打也是11月以后的事
[448.97-450.51] 看选上来是谁
[450.51-451.29] 选上来
[451.29-452.31] 谁他就
[452.31-454.61] 敢打选上来那个谁他就不敢打
[454.61-456.41] 所以呢这个事呢就是
[456.41-457.69] 打仗这个事
[457.69-459.99] 他是认认真真的在做准备啊
[459.99-462.29] 这个是认认真真的在做准备
[462.29-463.07] 所以
[463.07-467.17] 征兵办给你们发士林男女青年的
[467.17-468.95] 兵役登记
[468.95-469.97] 这个是
[469.97-472.03] 一个正常国家的正常行为
[472.03-473.57] 之前一直是这样的
[473.57-475.09] 之所以没有这样了
[475.09-476.13] 就是因为改革开放
[476.13-477.41] 以经济建设为中心
[477.41-478.93] 把这些东西都放下了
[478.93-480.21] 以前呀
[480.21-481.25] 不光是士林
[481.29-482.83] 男青年要登记兵役
[482.83-486.15] 以前连各个单位都有武装部的
[486.15-488.21] 每个村都有即干民兵的
[488.21-489.73] 那是他妈枪就放在
[489.73-490.77] 单位里面
[490.77-491.53] 这个
[491.53-494.35] 叫去那个上海市征兵办登记去
[494.35-495.89] 不是参军
[495.89-497.67] 不是应征
[497.67-499.21] 什么时候应征
[499.21-501.01] 他宣战兵不够了
[501.01-501.77] 他才应征
[501.77-503.05] 就像乌克兰那样
[503.05-505.87] 所有的18岁以上的什么35岁以下的
[505.87-509.71] 身体健康的男青年都要去当地的征兵办
[509.71-510.99] 去应征入伍
[510.99-512.53] 那个叫应征
[512.53-514.07] 那是木兰词里面那个
[514.07-515.09] 鸡鸡复鸡鸡那个
[515.09-517.39] 克罕大点兵
[517.39-518.41] 兵书12卷
[518.41-519.43] 卷卷有爷名
[519.43-520.47] 那个是
[520.47-521.99] 你要害怕了
[521.99-523.27] 这个不是啊
[523.27-524.05] 这个只是
[524.05-526.35] 开始造兵书了
[526.35-527.63] 兵书12卷
[527.63-528.65] 卷卷有爷名
[528.65-530.19] 那是征兵办的人来了
[530.19-531.73] 点名要让人去
[531.73-533.51] 现在是在造册
[533.51-534.79] 现在因为
[534.79-536.59] 承平日久
[536.59-539.15] 中国改革开放经济建设为中心
[539.15-539.91] G2
[539.91-540.95] 共治世界
[540.95-544.03] 加入美国秩序之后认为不需要打仗了
[544.03-546.59] 所以中国叫五倍松弛
[546.59-547.61] 过去的20年
[547.61-550.17] 没有征兵办的兵书12卷了
[550.17-551.45] 一男到底有多少
[551.45-552.73] 一女到底有多少
[552.73-553.49] 不知道了
[553.49-555.55] 所以他们现在在做这个工作
[555.55-556.83] 你这个你怕什么呀
[556.83-558.61] 如果举个例子的话
[558.61-559.63] 如果唱完一首歌
[559.63-560.91] 岛然兵发骚拉西的话
[560.91-562.19] 西那就打仗了
[562.19-563.47] 现在是岛然兵
[563.47-564.25] 岛然兵没事
[564.25-565.27] 岛然兵你还可以
[565.27-566.03] 随便放
[566.03-567.07] 不要那么焦虑啊
[567.07-568.85] 我这不是翟山英的频道啊
[568.85-569.87] 不会唬你们
[570.95-572.99] 尊敬的大老王
[572.99-574.79] 您可能是我唯一能交流的
[574.79-576.59] 顶级段位中的大咖了
[576.59-577.61] 我不是顶级段位
[577.61-578.89] 如果我是顶级段位
[578.89-580.93] 肖老板、谢老板算什么呀
[580.93-581.95] 谢谢您
[581.95-585.29] 在下中部农村出身
[585.29-587.33] 毕业后一直在深圳
[587.33-588.35] 年龄40
[588.35-589.13] 育有二子
[589.13-591.43] 目前在深有一套住宅
[591.43-592.19] 一套公寓
[592.19-593.73] 反复看了您的视频
[593.73-594.51] 总结了
[594.51-596.03] 类似普通人的计划
[596.03-596.55] A
[596.55-597.31] Plan A
[597.31-599.63] 卖掉房产取得旅游签去北美
[599.63-600.91] 然后转学签货
[600.91-603.21] 公签拿枫叶卡
[603.21-605.01] Plan B
[605.01-608.85] 新加坡开美金账户取得10年的旅游签
[608.85-611.15] 等大洪水到来时随时润
[611.15-612.17] Plan C
[612.17-616.27] 准备大洪水来临时的粮食、白糖、蜂蜜、罐头、抗生素、净水片
[616.27-619.35] 由于双方父母都在农村老家没有社保
[619.35-620.11] Plan A
[620.11-621.65] 我们不能忍心留下老人
[621.65-622.67] 关于Plan B
[622.67-624.71] 您目前有没有推荐的方案或中介
[624.71-625.23] 谢谢您
[625.23-625.99] 没有
[625.99-627.53] 自己决定
[627.53-629.07] 你是个成年人
[629.07-630.87] 你既然都已经看完了我所有的事
[630.87-631.63] 视频
[631.63-633.17] 甚至看了翟副主席的视频
[633.17-634.19] 翟小鸟的视频
[634.19-635.23] 那你当然知道
[635.23-636.75] 什么叫趋势
[636.75-639.57] 趋势就像我昨天讲的
[639.57-640.85] 趋势定了
[640.85-642.39] 剩下的就是行动力了
[642.39-645.21] 那你没有行动力你能让我替你行动吗
[645.21-645.97] 这不可能啊
[645.97-646.99] 我又不是你的腿
[646.99-648.03] 所以这个事
[648.03-650.33] 这个我也不想骂你了
[650.33-652.37] 已经骂的够多了
[652.37-653.15] 下一个
[653.15-654.43] 老王哥您好
[654.43-657.75] 最近通过散人和考拉霸的视频关注了您
[657.75-659.29] 您的视频轻松幽默
[659.29-660.83] 又有许多人生经验
[660.83-661.85] 我也是一个70后
[661.85-663.13] 比您小几岁
[663.13-664.93] 现在做着一个普通的销售工作
[664.93-666.47] 但是我最开心的一点是
[666.47-667.23] 大女儿
[667.23-668.51] 可能受我的一些影响吧
[668.51-670.55] 有了很强的普世价值世界观
[670.55-672.87] 高二开始受不了学校的硬式教育了
[672.87-674.15] 休学在家自学英语
[674.15-675.17] 去年已经
[675.17-676.45] 考出雅思六分
[676.45-678.75] 和多邻国115
[678.75-687.19] 并且去年底已经报了加拿大SASAIT
[687.19-688.23] 幼教专业
[688.23-690.53] 等待offer中
[690.53-691.81] SAIT
[691.81-693.09] Saskatchewan IT
[693.09-694.63] 我们这有个BCIT
[694.63-695.91] 估计我明白了
[695.91-697.19] 刚才没看明白
[697.19-698.97] 刚开始我老婆也是
[698.97-700.01] 不希望她去留学
[700.01-701.53] 不过现在倒也很支持
[701.53-704.35] 然后我就在考虑如何带8岁的小女一起出去
[704.35-706.41] 特别是听了您的一些节目之后
[706.41-708.71] 更不想可爱的孩子再受荼毒
[708.71-709.99] 所以来信咨询一下
[709.99-712.29] 我自己考虑的路径是否可行
[712.29-714.59] 大女儿申的学院今年9月份开学
[714.59-715.87] 顺利的话学签入境
[715.87-717.15] 这肯定很顺利呀
[717.15-718.69] 然后我自己想
[718.69-719.97] 在25年申请
[719.97-720.49] 探亲
[720.53-721.81] 旅游签入境
[721.81-723.35] 再转学签进入college
[723.35-723.85] 这样的话
[723.85-725.91] 童年老婆和小女也可以入境
[725.91-727.69] 现在我学习英语也有半年多了
[727.69-731.53] 再学一年肯定能考到雅思六或多林国115
[731.53-734.35] 资金方面只有20万加币左右
[734.35-736.41] 大女儿上学我自己上学费用
[736.41-737.69] 不知道是否够用
[737.69-741.27] 还有现在加拿大探亲签证是否容易下签
[741.27-744.59] 45岁以上加拿大college入学难度
[744.59-745.37] 会增加吗
[745.37-746.65] 你去问考拉爸吧
[746.65-747.41] 你别问我
[747.41-749.71] 我真不懂这些东西
[749.71-750.49] 只要大家有了
[750.53-751.05] 行动力
[751.05-753.85] 人真的能改变自己的人生
[753.85-756.17] 起步就是他们一抛屎
[756.17-759.49] 你都能最后长成他们一株向日葵
[759.49-762.81] 所以金牌讲师告诉你在自由的世界里
[762.81-764.61] 行动力有多么的重要
[764.61-765.89] 只要你肯干
[765.89-766.65] 你勤劳
[766.65-767.93] 你咬定一件事
[767.93-768.97] 方向只要没错
[768.97-770.75] 不用有太多的细节
[770.75-772.03] 而且
[772.03-774.33] 哎呀这个到处都缺劳工啊
[774.33-777.15] 加拿大缺很多的劳工啊
[777.15-779.45] 你也可以考一个你45岁
[779.45-780.23] 其实你
[780.23-782.03] 真的也可以考一个男护工
[782.03-783.81] 如果你的英语够好的话
[783.81-785.61] 大量的缺男护工
[785.61-787.91] 真的是45岁根本不算什么
[787.91-789.95] 因为你能抱得动老太太
[789.95-791.75] 从那个轮椅上抱到床上
[791.75-793.03] 从床上抱到轮椅上
[793.03-796.87] 那你说你这你这种男人的护工在加拿大有多么
[796.87-798.41] 紧缺啊而且
[798.41-803.53] 找个工作辛苦的归辛苦但是钱挣得踏踏实实的真金白银啊
[803.53-806.09] 而且加拿大对于穷人的话
[806.09-808.91] 政策非常多的这补贴那补贴的
[808.91-810.19] 你也不用交什么税
[810.23-812.03] 因为年收入在
[812.03-816.11] 4万加币以下我看基本上不用交什么税
[816.11-817.15] 在这边
[817.15-819.71] 我可以很负责的告诉你们
[819.71-822.01] 吃是很省钱的
[822.01-828.15] 住在萨省也很便宜萨省的房子非常便宜
[828.15-829.69] 除了吃和住
[829.69-831.47] 医疗和
[831.47-833.01] 教育都是免费的
[833.01-837.11] 我前两天在推特上又跟
[837.11-838.91] 一群傻逼在那吵架
[838.91-840.19] 就是你们过来之后
[840.23-841.25] 一定要脱脂
[841.25-843.31] 这种脱脂不是说自黑自恨
[843.31-848.17] 这种脱脂是要洗掉我们身上潦草的这些毛病
[848.17-849.71] 我们在中国
[849.71-852.51] 全部都有一个什么东西呢
[852.51-853.55] 我告诉你们
[853.55-855.85] 我一说你们就懂了
[855.85-858.67] 你们鄙视不鄙视河南老太太去抢饭呀
[858.67-860.71] 就是那个自助餐泰国自助餐
[860.71-865.07] 人家那个瞎只要一上来一群老太太就像一个无秩序的野狗一样
[865.07-865.83] 扑上去
[865.83-869.41] 然后哗瞎就没了一秒钟瞎就没了然后
[869.41-870.19] 瞎的铝盘了
[870.23-871.77] 铝盆子都在转
[871.77-873.31] 为什么因为他们
[873.31-875.87] 穷怕了饿怕了只要见着蛋白质
[875.87-877.39] 就要去抢
[877.39-879.45] 这是实
[879.45-882.01] 医疗的医治也是一样
[882.01-883.79] 因为没有医生
[883.79-885.33] 怕了
[885.33-888.67] 全他们有病这个病叫什么过度医疗病
[888.67-889.69] 就是
[889.69-891.23] 只要是感冒发烧
[891.23-894.03] 他在自己的静脉上不插根针
[894.03-897.87] 不弄个大瓶子挂上一个瓶子的水
[897.87-899.15] 他就觉得自己啊
[899.15-900.19] 属于很可怜
[900.99-904.59] 很没有人照顾被世界遗忘的这样一个凄惨人生
[904.59-907.15] 所以所有的中国人
[907.15-909.95] 一生了病大把大把的吃药
[909.95-911.75] 一定要让医生给自己开
[911.75-913.29] 极致的药方
[913.29-916.35] 所有的抗生素都像没有副作用一样往嘴里塞
[916.35-918.15] 往身体里边打
[918.15-919.95] 这叫过度医疗
[919.95-923.27] 就跟抢饭是他们一个一个套性
[923.27-924.03] 所以
[924.03-926.59] 所有的中国人来了加拿大之后知性十足
[926.59-928.65] 所以他就觉得
[928.65-929.15] 哎呀
[929.15-932.99] 加拿大的医疗体系一派胡言说好
[932.99-933.75] 一团乱麻
[933.75-935.29] 我们都快等死了
[935.29-937.09] 死在楼道里了都要
[937.09-939.91] 我呸就没有一个加拿大病人真的死在楼道
[939.91-941.69] 你们这帮傻逼
[941.69-943.99] 真正的原因是你们已经在中国
[943.99-945.53] 习惯了过度医疗
[945.53-947.59] 而加拿大是一个正常社会
[947.59-950.39] 他没有过度医疗这种概念
[950.39-954.23] 所以当你用过度医疗的标准去要求过度医疗服务的时候
[954.23-958.33] 全民免费医疗的健保体系下不尿呢
[958.33-959.11] 他不像美国
[959.11-961.15] 美国还有私人诊所你有钱人
[961.15-965.25] 你浪你去花钱买过度医疗美国是会卖给你
[965.25-967.31] 但是加拿大没有
[967.31-970.63] 加拿大是社会主义滚你妈逼你浪你快滚
[970.63-971.65] 所以呢
[971.65-974.21] 会遭受医生和护士的白眼
[974.21-976.77] 因为你他妈语言又不通
[976.77-980.11] 卫生习惯又不好你又提出不合理的要求
[980.11-983.17] 因为你要抢对虾抢龙虾
[983.17-985.73] 那服务员和餐厅领班能好好看你吗
[985.73-989.07] 所以你要要求你过度医疗你觉得医院的医生
[989.07-990.87] 会他们尿你吗
[990.87-992.39] 是一个道理的
[992.39-993.17] 所以呢
[993.17-997.51] 你们所所不知道的是加拿大的医疗是分级医疗
[997.51-1000.33] 所有的人来了之后要找一个家庭医生
[1000.33-1003.15] 家庭医生不是说你有病了去找他
[1003.15-1005.97] 而是你没事你要定期去找他
[1005.97-1009.03] 要干什么要让他给你开体检单子
[1009.03-1011.85] 你可以拿着体检单子去lifelive
[1011.85-1013.65] 去免费体检的
[1013.65-1016.21] 你就知道自己血压怎么样
[1016.21-1017.99] 各个血指标怎么样
[1017.99-1019.03] 身体怎么样
[1019.07-1022.91] 这样的话呢你叫上医治胃病你没有什么
[1022.91-1025.99] 病的时候就能提前的找出来你
[1025.99-1031.87] 你的毛病比如说我的医生就查出来我有一些高血脂和高血压
[1031.87-1036.23] 医生那个时候我没有任何的感觉我认为医生叫
[1036.23-1038.01] 医治好治不病以为功
[1038.01-1040.31] 然后我的家庭医生就吓唬我
[1040.31-1045.19] 说王你这样你这种情况最好的如果你还是这种态度
[1045.19-1047.23] 不是说你最坏的结局是什么
[1047.23-1049.03] 我说最坏的结局就是我一年早失
[1049.07-1053.17] 医生说王那是很好的结局
[1053.17-1056.75] 我说怎么还有比这个还糟糕的结果吗
[1056.75-1060.33] 王你如果不听我的话吃药
[1060.33-1063.91] 你会坐在轮椅上度过你的下半生
[1063.91-1069.03] 因为你会梗阻住然后他妈死又死不了活又活不了
[1069.03-1072.11] 家庭医生在吓唬我但是他很负责任
[1072.11-1075.43] 我就乖乖的去量血压测血脂
[1075.43-1079.03] 开药吃药然后把所有的指标都调好
[1079.07-1087.01] 我就不会在未来受到心脑血管突发疾病的冲击
[1087.01-1091.11] 这是加拿大的医疗体系的正确打开方式
[1091.11-1094.69] 而当你真的有了疾病的时候
[1094.69-1097.25] 比如说
[1097.25-1098.79] 我有个很好的朋友
[1098.79-1101.09] 在双钻石黑道上
[1101.09-1102.11] 滑雪
[1102.11-1102.87] 跳
[1102.87-1104.15] 跳悬崖
[1104.15-1105.19] 一块大石头
[1105.19-1106.47] 他摔倒了
[1106.47-1109.03] 是石头还是他自己拿的这样
[1109.07-1111.11] 照相机好多年以前他自己有一个
[1111.11-1113.17] 特别大的照相机跨在胸前
[1113.17-1115.73] 那个时候没有gopro
[1115.73-1121.11] 他说不清楚把他的肚子硌了一下硌断了他两条肋骨
[1121.11-1123.41] 硌裂了他的脾脏
[1123.41-1124.43] 开始那出血
[1124.43-1125.45] 他不知道
[1125.45-1128.79] 坚持着自己走下来雪场自己开车去
[1128.79-1130.83] 医院
[1130.83-1131.85] 到医院
[1131.85-1132.63] 急诊室
[1132.63-1134.41] 自己走进去
[1134.41-1138.51] 走进急诊室大门的同时医生就护士就看见他了
[1138.51-1139.53] 护士问他你怎么了
[1139.53-1141.33] 他说我刚才
[1141.33-1142.35] 滑雪
[1142.35-1146.19] 摔了一跤我赶紧过来我觉得我的骨头可能断了
[1146.19-1147.21] 护士说
[1147.21-1148.75] 你的车停在哪
[1148.75-1149.51] 他说
[1149.51-1152.33] 我的车停在停车楼啊我走过来的
[1152.33-1155.15] 护士问他你自己走过来的吗他说是
[1155.15-1158.99] 护士当时就在大门说你马上躺下马上
[1158.99-1160.53] 命令你马上躺下
[1160.53-1162.07] 不许再跟我说话了
[1162.07-1163.85] 他还觉得自己没事
[1163.85-1167.19] 躺下整个医院瞬间从急诊室
[1167.19-1168.47] 冲出来五六个人
[1168.51-1171.32] 把他拉走
[1171.32-1173.88] 根本一分钟都不需要你等
[1173.88-1176.18] 这就叫分级医疗
[1176.18-1179.00] 享受最优先的服务
[1179.00-1180.28] 从他
[1180.28-1181.30] 身体里边
[1181.30-1183.62] 流出来了叫
[1183.62-1186.18] 你知道你自己流了多少血他说我不知道
[1186.18-1189.76] 你流了1.3个pint的血
[1189.76-1190.52] 在
[1190.52-1191.30] 身体里
[1191.30-1194.88] 如果再晚一个小时后果不堪设想
[1194.88-1196.92] 匹配了吗
[1196.92-1197.94] 所以呢
[1197.94-1198.98] 把他给救过来
[1198.98-1201.28] 他现在又生龙活虎了
[1201.28-1204.86] 还有我之前讲过就是从楼上忽然翻下来的一个老先生
[1204.86-1206.14] 就是我们从中国
[1206.14-1209.22] 朋友刚刚过来家庭团聚的
[1209.22-1209.98] 父亲
[1209.98-1213.82] 来的第一个星期就从楼上翻过来脑梗阻
[1213.82-1216.38] 第一时间9195车拉走
[1216.38-1217.42] 全程
[1217.42-1218.18] 给他治好
[1218.18-1222.02] 一分钱没花老头回来感激替灵
[1222.02-1225.60] 还有一声天天过来帮助他做心理健康
[1225.60-1228.16] 和这个行动康复按摩
[1228.16-1230.46] 因为他要做轮椅吗要做一段时间轮椅
[1230.46-1232.00] 怕他有心理压力
[1232.00-1233.80] 这就是加拿大的
[1233.80-1236.60] 公费医疗制度免费医疗制度他他妈无微不至
[1236.60-1240.20] 但是一定不会给你提供过度医疗如果你没病
[1240.20-1243.52] 你就想让医生他妈的伺候伺候你那你真的是会被
[1243.78-1245.06] 会被人家骂出去
[1245.06-1246.84] 会让你在楼道里等
[1246.84-1248.90] 三个小时你病都快好了
[1248.90-1250.44] 医生也不会来看你
[1250.44-1254.02] 为什么就是你头疼脑热你发烧感冒了看你个屁呀
[1254.02-1256.06] 医生认为你发烧感冒了
[1256.06-1258.12] 尤其是病毒性的感冒你不用吃药
[1258.16-1262.00] 你自己回家喝热水躺7天自愈
[1262.26-1265.84] 不会给你开药的除非你有明显的感染痕迹
[1266.10-1268.40] 才会给你用抗生素我这开抗生素
[1268.66-1269.68] 比买枪还难
[1270.96-1274.54] 所以呢这个就是加拿大的医疗体系啊
[1274.80-1276.60] 不是你们想的那样
[1276.84-1279.40] 我今天又跑题了回来都回来
[1281.90-1282.92] 大老王你好
[1283.18-1284.46] 你比我大8岁
[1284.72-1286.26] 妥妥的前辈
[1286.50-1289.06] 我是从你讲大师为你算命
[1289.06-1290.34] 避祸
[1290.60-1291.62] 内疾入坑的
[1292.14-1297.00] 结果对你的景仰犹如滔滔江水连绵不绝又如新冠泛滥一发不可收拾
[1297.76-1302.88] 这该死的病毒改变了很多人的生活很多人无辜死去对那些作恶的人我一直相信
[1303.14-1308.78] 老天一定会降下天罚的我也是在这几年终于放下了脚步
[1309.02-1310.82] 开始思考一些吃饭以外的问题
[1311.34-1315.42] 大老王说过用手是挣钱用钱生钱才是赚钱
[1315.68-1318.24] 我非常同意我到今天还在挣钱的阶段
[1319.06-1320.34] 但是我也知足了
[1321.10-1323.16] 我是来自内地的一个普通城市
