[4.62-6.88] 就是还有很多孩子不适应
[494.78-497.46] 甚何一个小区楼底下那个超市
[497.46-498.82] 他就搬到这儿了
[498.82-501.08] 全都有一一对应啥都有
[501.08-502.82] 他们彼此之间也不讲英文
[502.82-506.07] 全讲广东话
[506.07-508.19] 他们在这儿克隆了香港
[508.19-510.45] 怀念香港的生活
[510.45-511.57] 那他们老了以后
[511.57-512.41] 他们就出现了判断层面了
[512.41-514.03] 他们要回香港
[514.03-519.72] 他们当时以100万到150万之间的价格卖掉
[519.72-523.48] 他们当时在列治文30万50万买的别墅
[523.48-525.52] 赚了100万现金
[525.52-528.22] 2011年12年他卖掉
[528.22-529.60] 然后他们回了香港
[529.60-533.72] 你到今天你说他们在香港后悔不后悔
[533.72-537.22] 这就是他们人生做了错误的选择
[537.22-538.42] 带来的代价
[538.42-539.84] 没有无辜的
[539.84-541.68] 全部都是有代价的
[541.68-543.68] 你的所有的眼泪
[543.68-547.26] 都是你曾经装在脑子里的水
[547.26-550.64] 所以这些人当时回流了香港
[550.64-553.56] 他现在又在回流回来
[553.56-557.06] 他再想买回他的房子
[557.06-558.56] 再加100万
[558.56-560.44] 就变成250万了
[560.44-562.18] 他买不起了
[562.18-564.84] 所以这些老一代的香港人
[564.84-570.26] 就是典型的这种身在曹营心在汉
[570.26-572.48] 你既然入籍这个国家
[572.48-573.56] 你既然决定了
[573.56-576.14] 决定要移民走
[576.14-577.40] 再次投胎
[577.40-581.80] 你就要做全身心的准备
[581.80-583.10] 除非你拿着枫叶卡
[583.10-584.32] 一直保持中国国籍
[584.32-585.44] 你是为了在这工作
[585.44-587.56] 然后你最后还要落叶归根
[587.56-590.26] 如果你真的受不了中国共产党
[590.26-593.18] 受不了中国那套儒家文化
[593.18-596.56] 5000年的那套腐朽的东西
[596.56-600.18] 其实共产党是奇葩
[600.18-602.94] 土壤才是让你真正受不了的
[603.56-604.94] 我跟你说有什么土壤
[604.94-607.18] 什么人民就会长出什么奇葩来
[607.18-608.22] 所以你如果受不了
[608.22-609.06] 你决定要走
[609.06-609.98] 斩钉截铁走
[609.98-610.98] 越早越好
[610.98-611.68] 不要考虑
[611.68-612.40] 哎呦
[612.40-615.18] 我要带着200万美金走
[615.18-616.10] 哎呀
[616.10-616.76] 你真想好了
[616.76-618.22] 2000人民币
[618.22-618.90] 2000美金
[618.90-620.56] 你也一样能走
[620.56-622.90] 那你过来之后
[622.90-624.10] 就作为一个加拿大人
[624.10-625.10] 老老实实待五年
[625.10-626.40] 换蓝本护照
[626.40-627.94] 向女王宣誓
[627.94-629.48] 你像我们是向女王宣誓
[629.48-631.68] 现在是向查尔斯国王宣誓
[633.56-635.60] 还是想想办法
[635.60-637.06] 这个法制的过程中
[637.06-640.22] 你会学系统的学加拿大的法律
[640.22-641.80] 和加拿大的历史
[641.80-643.98] 学完了加拿大的法律和历史之后
[643.98-645.56] 你不会再做两面人
[645.56-648.48] 你会知道这个国家的可贵和伟大
[648.48-651.90] 这个国家能变成今天这样的一个法治体系
[651.90-654.26] 它绝对不是偶然现象
[654.26-655.52] 它是一代又一代加拿大人
[655.52-656.56] 从188几年
[656.56-658.10] 186几年开始
[658.10-663.52] 就一直在维持昂萨的贵族的尊严法制
[663.56-667.64] 一步一步的谈 谈不好就打一架 打一架继续谈
[667.64-670.28] 然后以契约精神
[670.28-671.60] 当然也走弯路
[671.60-674.12] 但是那个弯路跟我们中国那些弯路比
[674.12-675.38] 什么红袖拳呀
[675.38-676.76] 什么他妈逼的
[676.76-678.80] 孙中山搞这个辛亥北伐
[678.80-679.76] 袁世凯搞复辟
[679.76-682.04] 什么共产党搞红色独裁
[682.04-684.68] 那这个就差太远了
[684.68-684.94] 那
[686.60-687.80] 走到今天啊
[687.80-689.12] 真的是来之不易
[689.12-693.34] 是地球上特别宝贵的这样一个文化和法治
[693.34-694.78] 都健全的国家
[694.78-696.52] 那你如果要是认识到这一点
[696.52-697.54] 当你宣誓的时候
[697.54-700.84] 你是发自内心的去维持维护这个体制
[700.84-703.10] 我们进来我们要成为他的一份子
[703.10-704.34] 必须达到这个高度
[704.34-704.86] 否则的话
[704.86-706.78] 你一定就像我刚才说的朋友一样
[708.40-709.48] 疯了
[709.48-712.18] 然后这个家里人也损丁
[712.18-712.84] 损丁之后
[712.84-716.94] 然后一个接一个的精神出问题
[716.94-718.60] 最后不得不回流
[718.60-719.30] 不得不回流
[720.64-721.86] 回到中国去
[721.86-722.64] 回到中国
[722.64-723.32] 他也是两面
[723.32-723.74] 人呀
[723.74-727.00] 因为他毕竟十多年务是人非了
[727.00-728.84] 你熟的那些人要么退休了
[728.84-730.04] 要么抓起来了
[730.04-732.98] 你也再难以再现你十多年以前的辉煌
[732.98-734.36] 所以依然不快乐
[734.36-737.30] 所以我就就其实你看他眼里你急在心里
[737.30-738.02] 你知道吗
[738.02-739.44] 就是你这种不靠不快乐
[739.44-740.56] 你怪谁了
[740.56-742.78] 其实快乐有那么难吗
[742.78-743.90] 很很简单
[743.90-744.50] 一念
[744.50-746.12] 但那一念转不过来的话
[746.12-747.42] 那一念转不过来的话
[747.42-749.30] 就是万水千山
[750.50-751.22] 天人永乐
[752.48-752.90] 所以
[754.04-757.10] 这个成年人的这个精神状态
[757.10-758.24] 在加拿大
[758.24-759.98] 在这样一个自由世界里面
[759.98-761.48] 为什么大量的爆发
[762.50-764.00] 是不是那句话
[764.00-764.70] 说实话
[764.70-766.22] 可能大家不爱听
[766.22-767.36] 就红楼梦
[767.36-770.18] 那个贾府里面精神病抑郁症最多
[770.18-771.42] 那个刘姥姥
[771.42-773.30] 那个村里就没有抑郁症
[773.30-774.86] 为什么他饿呀
[774.86-777.38] 早上起来耕地日出而作
[777.38-777.98] 日落而息
[777.98-779.00] 他把累的给吸碎
[779.00-781.08] 连他们洗脸的时间都没有
[781.08-783.30] 整天只能吃红薯吃他妈的
[783.32-786.02] 这个吃康宴菜过日
[786.02-789.14] 到了冬天连他们冬冬凉都不够
[789.14-790.64] 你让他得抑郁症
[790.64-792.20] 他就没有抑郁症
[792.20-792.98] 你知道吧
[792.98-793.88] 阿里纳瑜
[793.88-797.42] 我擦那个茄子的做法都要做出一百种的做法来
[797.42-798.26] 他就抑郁症
[798.26-799.28] 文化也是一样的
[799.28-800.36] 这个地方太好了
[800.36-801.44] 我操抑郁症了
[802.94-804.86] 呃有多好养活自己啊
[804.86-806.06] 我给大家举个例子
[806.06-810.02] 那个呃你在这儿
[810.02-811.64] 你开Uber
[811.64-812.12] 或者你开一个项目吧
[812.12-813.30] 或者你开一个项目吧
[813.32-814.46] 熊猫送餐
[814.46-816.86] 就是呃外卖小哥
[816.86-817.94] 你勤劳一点
[817.94-821.12] 一个月五千加币是妥妥能挣到现金
[822.14-823.52] 你要是熬夜
[823.52-824.78] 你能干七八千加币
[826.58-827.48] 就这样的收入
[828.50-829.44] 而且这是加拿大
[829.44-833.84] 这不是美国七八千加币意味着小孩上学不上去
[833.84-834.68] 不用花钱
[834.68-836.18] 医疗不用花钱
[836.18-838.10] 你就说你除了买房租房子
[838.10-839.18] 你不用花什么钱
[840.86-842.90] 租房子买房子
[842.90-844.22] 是非常大的压力
[845.72-846.74] 租房子没有压力
[846.74-848.18] 但是买房子特别大的压力
[848.18-850.58] 因为我温哥华的房子实在是太贵了
[850.58-853.90] 但相对于其他加拿大城市来说太贵了
[853.90-855.62] 为什么贵有贵的道理
[855.62-857.42] 因为这个世界上没有价值洼地
[857.42-864.92] 也没有不合理的什么让你让你捡到的滔天的财富光华人来的就多少波了
[864.92-867.62] 修铁路的台山老来过一批啊
[867.62-869.18] 一百年以前
[869.18-870.26] 然后呢
[870.26-872.60] 这个蒋介石国民党跑路来了一批了
[872.60-873.98] 来了一批
[873.98-879.32] 然后这个香港人六十年代来了一批六十年代说香港人为什么来了一批呢
[879.32-881.96] 是因为香港人在六十年代的时候
[881.96-883.40] 周恩来写大字报
[883.40-885.08] 鼓励香港闹工人运动
[885.08-886.36] 罗家英啊
[886.36-888.92] 什么这个汪明荃呀
[888.92-889.52] 罗文啊
[889.52-890.66] 他们都是共产党
[890.66-894.80] 当时都是青年学生是在香港中环地铁站放波罗蛋的
[894.80-895.96] 就是放炸弹的
[895.96-897.68] 把香港有钱人六十年代下来了
[897.68-898.70] 加拿大一批
[898.70-899.98] 然后八十年代
[899.98-901.22] 九十年代
[901.22-902.48] 港英和中国大陆
[902.48-904.34] 大陆签署香港回归协议
[904.34-906.86] 九十年代移民潮来了一大批
[906.86-910.10] 然后朱镕基摁导弹吓唬台湾人
[910.10-911.66] 台湾人又来了一批
[911.66-912.38] 陈水扁时代
[912.38-914.24] 台湾人吓跑来了一批
[914.24-916.70] 这些都是我们同文同种的
[916.70-918.56] 全他们知道投资房地产
[918.56-921.44] 你能在温哥华找到便宜减吗
[921.44-923.32] 然后中国大陆表叔有钱了
[923.32-925.58] 两千年以后有钱了量
[925.58-927.32] 2010年之后正是有钱
[927.32-927.98] 又来了一批
[929.48-931.88] 能炒的全炒过了
[931.88-932.48] 我还说的
[932.48-933.92] 那只是中国文化圈
[933.92-935.66] 你不要忘了俄罗斯一样有钱
[935.66-937.28] 伊朗一样有钱
[937.28-938.48] 印度一样有钱
[938.48-939.50] 中东一样有钱
[939.50-942.50] 他们也在不停的往加拿大跑
[942.50-944.06] 所以来了加拿大
[944.06-945.32] 有钱人都往温哥华扎
[945.32-947.18] 那文化房子怎么可能便宜呢
[947.18-948.82] 现在文化房子各种收税
[948.82-950.92] 外国买家税25%
[950.92-952.54] 什么空置税7%
[952.54-953.78] 10%
[953.78-957.02] 所以你就光交税都
[957.02-958.52] 你租这个房子根本靠不住
[958.52-962.00] 而且你贷款买房子利息6%起跳
[962.48-966.86] 所以温哥华你不买房子
[966.86-968.72] 其实可能没有那么大压力
[968.72-970.28] 因为老外就不想买房子的事
[970.28-972.08] 老外租房子
[972.08-974.44] 只有中国人一定要买房子
[974.44-975.72] 不买房子我心里不安全
[975.72-977.32] 你这就要既要又要
[977.32-979.40] 你又要享受世界上最好的城市
[979.40-981.16] 你要买到便宜的房子
[981.16-982.44] 能有这个天理吗
[982.44-983.36] 没有这个天理
[983.36-986.60] 你可以去租口奥
[986.60-987.60] 口奥就是很便宜
[987.60-988.80] 800块钱1000块钱
[988.80-990.76] 一个月的连排别墅可以租给你
[990.76-992.04] 而且不涨房租的
[992.48-993.60] 连租屋
[993.60-994.88] 但是中国人就觉得我操
[994.88-996.28] 我住连租屋是不是没面子
[996.28-998.48] 这就是既要又要当力两难
[998.48-999.88] 所以这样的话
[999.88-1002.44] 你就那你不抑郁谁抑郁
[1002.44-1003.24] 我操
[1003.24-1005.60] 所以你不能眼高手低
[1005.60-1008.28] 你能不能重新投胎来
[1008.28-1009.16] 说句不好听的
[1009.16-1010.48] 开Uber掉价吗
[1010.48-1011.28] 不掉价
[1011.28-1012.44] 这都是劳动人民
[1012.44-1019.12] 大家看有一个文化小哥叫Peter户外
[1019.12-1021.44] 就是滑雪的一小哥
[1021.44-1022.36] 他这一期做了
[1022.36-1027.08] 一个在惠斯勒的专访
[1027.08-1029.40] 有些二代的华裔小哥
[1029.40-1032.32] 在和能想明白的中国小哥
[1032.32-1034.84] 在惠斯勒当滑雪教练
[1034.84-1036.56] 在惠斯勒滑雪场打工一个月
[1036.56-1039.04] 才也就几千加币
[1039.04-1041.64] 三千五四千加币
[1041.64-1043.24] 在惠斯勒小城住着
[1043.24-1044.12] 也很快乐
[1044.12-1046.16] 也是能攒钱
[1046.16-1048.72] 然后每年还要出去玩一趟
[1048.72-1050.76] 因为你作为一个加拿大人来说
[1050.76-1051.96] 本地的加拿大人是这样的
[1052.36-1053.40] 不攒钱
[1053.40-1054.04] 攒钱干嘛
[1054.04-1055.88] 买房也买不起
[1055.88-1057.08] 然后小孩上学
[1057.08-1059.12] 结婚也不用去花钱
[1059.12-1061.96] 小孩上学不用花钱
[1061.96-1064.00] 生老病死不用花钱
[1064.00-1064.92] 就玩呗
[1064.92-1065.56] 就吃呗
[1065.56-1066.80] 吃能花几个钱
[1066.80-1067.52] 打工呗
[1067.52-1073.80] 所以我们中国人把这些身上的负担放下
[1073.80-1076.72] 把那些不切实际的欲望放下
[1076.72-1078.28] 持时勤赴事
[1078.28-1079.48] 随时与时俱进
[1079.48-1081.88] 才能摆脱抑郁症的困扰
[1081.88-1082.36] 否则的话
[1082.36-1083.40] 你说我家吹
[1083.40-1083.76] 好了
[1083.76-1085.96] 我今天就讲加拿大不好的一面
[1085.96-1087.96] 就是他妈抑郁症太多了
[1087.96-1088.36] 抑郁症
[1088.36-1090.04] 他有全他们是闲的
[1090.04-1091.24] 一是闲的
[1091.24-1092.04] 二一个是什么
[1092.04-1092.56] 他妈的
[1092.56-1093.88] 就是属于眼高手低
[1093.88-1095.16] 我操当力
[1095.16-1096.00] 军药
[1096.00-1097.28] 我又要这么大钱
[1097.28-1098.96] 我想在温哥华重复北京
[1098.96-1100.36] 我错过的机会
[1100.36-1102.24] 北京买了一套房子
[1102.24-1103.52] 是涨了10倍
[1103.52-1106.40] 我觉得我应该在温哥华找去
[1106.40-1107.64] 那一个价值洼地
[1107.64-1109.20] 我贷款啪入手
[1109.20-1110.84] 我10年以后翻10倍
[1110.84-1111.80] 不可能
[1111.80-1113.20] 这是发达国家
[1113.20-1113.96] 我刚才讲
[1114.12-1115.76] 华人都来了五六波
[1115.76-1117.60] 咱就不说乌克兰人
[1117.60-1118.32] 地球各地
[1118.32-1119.72] 华人只是小部分
[1119.72-1121.24] 华人没你想的那么厉害
[1121.24-1122.00] 那是共产党
[1122.00-1123.00] 5000年文化
[1123.00-1124.04] 给你洗脑
[1124.04-1125.20] 告诉你华人有多厉害
[1125.20-1127.80] 其实你可能是个拿性
[1127.80-1130.08] 你跟伊斯兰文明比
[1130.08-1131.84] 你都是个弱势群体
[1131.84-1133.16] 你跟印度差不多
[1133.16-1134.88] 如果你有多瞧不起印度
[1134.88-1136.88] 白人就有多瞧不起你
[1136.88-1137.32] 就是你
[1137.32-1138.20] 因为在他们眼里
[1138.20-1139.20] 印度还比你强
[1139.20-1141.64] 因为印度人在西方主流社会的位置
[1141.64-1141.76] 是
[1141.76-1141.80] 比较强的
[1141.80-1142.80] 比华人要高的
[1142.80-1148.36] 所以真相就是让人那么残忍
[1148.36-1151.88] 所以你不要想着你一口吃个胖子
[1151.88-1153.72] 你在中国得不到的东西
[1153.72-1155.12] 你在加拿大一样得不到
[1155.12-1156.32] 在中国得到的东西
[1156.32-1158.32] 在加拿大要做好准备失去
[1158.32-1160.52] 因为你得到最重要的东西
[1160.52-1163.80] 自由和安全
[1163.80-1165.56] 你晚上睡觉
[1165.56-1166.96] 你不用担心
[1166.96-1168.60] 你在油管上说了什么话
[1168.60-1170.56] 你在推特上
[1170.56-1171.76] 你发表了一个
[1171.76-1173.08] 骂金上的话
[1173.08-1173.92] 金上
[1173.92-1174.40] 啊
[1174.40-1175.40] 金
[1175.40-1175.92] 特鲁多
[1175.92-1177.00] 你就是个傻逼
[1178.56-1182.04] 特鲁多不会派皇家骑警把你抓走的
[1182.04-1183.64] 你放一万个心
[1183.64-1184.96] 那么特鲁多干了这事
[1184.96-1185.96] 你可玩大了
[1185.96-1186.88] 你中载了
[1186.88-1188.68] 你可以索赔
[1188.68-1190.20] 你真的报复了
[1190.20-1190.80] 就
[1190.80-1195.36] 所以我们要调整好我们的心态
[1196.80-1197.88] 有私人定制西装
[1197.88-1200.68] 同时要穿这个
[1200.68-1201.72] 要开皮卡去
[1201.72-1205.32] 不要先脏了你的阳春手
[1205.32-1207.76] 你那个阳春手叫夹鸡之手
[1207.76-1210.60] 你他没有龙骑兵之命
[1210.60-1212.04] 你要是万宝宝
[1212.04-1213.12] 你夹鸡也行
[1213.12-1214.32] 你要是姚庆
[1214.32-1215.20] 你夹鸡也行
[1215.20-1217.40] 你他妈不是不姓姚吗
[1217.40-1219.52] 你不是不姓万吗
[1219.52-1222.72] 你不是不姓北京王家吗
[1222.72-1223.92] 你装什么大呀
[1223.92-1227.80] 你如果不是红色家族200家
[1227.80-1229.64] 你全是韭菜
[1229.64-1231.00] 你只有两种
[1231.00-1231.56] 就是
[1231.56-1234.44] 自以为自己是镰刀的韭菜和韭菜
[1234.44-1237.44] 没有镰刀
[1237.44-1239.84] 那你来了加拿大
[1239.84-1241.36] 你说加拿大是完美的
[1241.36-1241.88] 不完美
[1241.88-1244.48] 但是他比那儿简直就是他妈
[1244.48-1246.44] 他的地板都比那儿的天花板高
[1246.44-1247.52] 作为韭菜来说
[1247.52-1249.88] 所以你他妈还得了这么抑郁症
[1249.88-1250.76] 你简直是
[1250.76-1252.60] 哎呀
[1252.60-1253.28] 这么讲呢
[1253.28-1254.80] 你没几乎那个病吧
[1254.80-1256.36] 你就是没命想那个服务啊
[1256.36-1256.72] 我呀
[1256.72-1260.36] 就是还有好多
[1261.56-1263.12] 我不愿意提的
[1263.12-1265.52] 就是说起没命想服的
[1265.52-1266.96] 就在我身边发生的
[1266.96-1270.80] 就是从中国千辛万苦的移民过来的
[1270.80-1271.68] 很快就死了
[1271.68-1273.20] 比我年纪还轻
[1273.20-1275.72] 或者跟我年纪相仿了
[1275.72-1279.32] 来加拿大没几年就挂了
[1279.32-1281.36] 有的是作死的
[1281.36-1283.16] 有的是病死的
[1283.16-1285.88] 无论病死还是作死
[1285.88-1287.60] 其实都是没那个福报
[1287.60-1288.92] 真的是没那个福报
