[2.58-3.78] 哈喽 大家好
[3.78-5.58] 长夜漫漫无心睡眠
[763.88-767.70] 那个华界总探长和黑社会
[767.70-770.52] 互相杀伐最后结为兄弟的那个
[770.52-772.06] 九龙城寨
[772.06-773.08] 就在那
[773.08-775.12] 现在还有一站叫九龙城
[775.12-777.18] 那个地方以前是大清的废地
[777.18-778.20] 所有的妓女啊
[778.20-781.16] 大清绿一直到196几年代
[781.16-783.10] 鱼龙混杂
[783.10-785.38] 总化探长雷洛的故事
[785.38-787.36] 就是从那出来的
[787.36-790.78] 那他在九龙城寨给大家算命
[790.78-793.16] 那个城寨里边赚钱最容易
[793.16-795.12] 又最喜欢算命的就是一些妓女
[795.12-797.44] 所以他就结交了很多妓女朋友
[797.44-798.92] 妓女姿色甚好
[798.92-802.46] 他又识得铁板神书这个秘技
[802.46-805.34] 所以他就看中了其中一个
[806.36-807.70] 就是他后来的老婆
[807.70-810.80] 那他为了跟后来这个老婆结婚
[810.80-813.90] 就要跟他前妻离婚
[813.90-816.60] 他前妻是跟着他从上海跑路到香港的
[816.60-818.08] 那前妻就不同意
[818.08-820.02] 他就各种虐待他的前妻
[820.02-822.88] 就上演了最近在香港的
[822.88-824.54] 最近在香港
[824.54-827.48] 最近在旧金山杀妻案的那个情节
[827.48-831.90] 那就是董老先生在年轻的时候
[831.90-833.24] 荒唐往事
[833.24-834.46] 人非送贤
[834.46-835.20] 孰能无过
[835.20-836.40] 当然后来他
[836.40-839.34] 随着他道行的日益深厚
[839.34-841.44] 他完全不再是那种状态了
[841.44-841.94] 不再是那种
[841.94-844.90] 但是都要在红尘俗世里滚一圈
[846.16-848.70] 才能够真正的得道成仙
[848.70-849.66] 各位扩展阅读
[849.66-851.02] 不是我对董老先生不敬
[851.02-853.50] 大家看一下今天你扩展阅读
[853.50-856.92] 你都能谷歌百度到董慕杰先生的照片
[856.92-858.48] 你看看什么叫赫法童年
[858.48-860.04] 先锋道骨
[860.04-861.80] 那你能想象他在三十多岁
[861.80-863.24] 四十岁的时候打老婆
[863.24-864.24] 家暴老婆
[864.24-866.24] 为了娶二奶
[866.24-868.08] 把大奶打得半死
[868.08-871.16] 这种事就是发生在同一个人身上
[871.16-873.56] 所以今天我说的第二个
[873.56-876.38] 我那个朋友问我为什么学玄学
[876.38-877.12] 第二个话题
[877.12-878.84] 第一个话题我说完了
[878.84-879.92] 就是学玄学的
[879.92-880.84] 你从哪开始
[880.84-881.68] 他问我第一个问题
[881.68-882.60] 从哪开始
[882.60-884.24] 就是入哪一门
[884.24-886.04] 看你的自己的道行
[886.04-887.72] 你自己的秉性
[887.72-888.88] 你自己的特点
[888.88-889.72] 第二个问题
[889.72-893.48] 他问我你学玄学的终极目标是什么
[893.48-894.92] 是给别人算命
[894.92-895.92] 还是得道成仙
[895.92-896.20] 我说
[896.24-896.96] 不是
[896.96-900.08] 我说我推荐你参考我的想法
[900.08-903.84] 学玄学的目标是在你一生中活两辈子
[903.84-907.12] 就是真正跳到月球看地球
[907.12-909.24] 跳出自己看自己
[909.24-912.72] 这是学玄学特别大的收获
[912.72-917.64] 当你的一生了如指掌摊在纸上的时候
[917.64-920.20] 你会重塑你的三观
[920.20-922.24] 你会放下你的执着
[922.24-924.76] 这是我们学玄学特别重要的收获
[924.76-925.92] 我相信
[925.92-930.96] 我相信玄学师傅们也有同感
[930.96-934.96] 就是当我们有我执迷在自我中的时候
[934.96-937.16] 总是觉得自己不是NPC
[937.16-939.52] 总是觉得自己是世界的中心
[939.52-940.80] 通过自己的努力
[940.80-942.60] 如何如何得得成功
[942.60-945.64] 如何如何得别人对自己的尊重
[945.64-946.80] 对自己的认可
[946.80-950.40] 在社会上在家族中取得地位
[950.40-954.32] 这是一般的所有人的思维定势
[954.32-955.64] 不愿意承认自己不行
[955.64-957.36] 不愿意承认自己是傻逼
[957.36-960.16] 不愿意承认自己曾经失败过
[960.16-963.12] 甚至自己曾经啪啪啪这样的
[963.12-966.00] 像傻逼一样的失败
[966.00-968.44] 因为你有偶像包袱吗
[968.44-970.40] 那差一句就是那个Daisy
[970.40-972.80] 我说我对你屁股上的花纹都不感兴趣
[972.80-975.40] Daisy我让他打碎自己重塑自我
[975.40-976.64] Daisy没有抑郁
[976.64-977.48] 没有自杀
[977.48-979.96] 你们不用担心好多评论的弟兄们
[979.96-981.72] 担心说老汪你这样说Daisy
[981.72-984.04] Daisy会不会就毁了自己
[984.04-984.60] 不会的啊
[984.60-985.48] Daisy今天给我回信了
[985.64-988.16] 而且我已经知道他长什么样了
[988.16-989.96] 可有福分
[989.96-992.20] 很丰满的一个女士
[992.20-993.24] 面相非常好
[993.24-994.48] Daisy你不用啥
[994.48-995.40] 我会看相
[995.40-996.60] 你福报满满
[996.60-999.60] 那差的Daisy
[999.60-1000.76] 我们就跳回原来
[1000.76-1004.08] 接着说我们通过这种命书
[1004.08-1005.88] 这种真正的科学式的算命
[1006.00-1008.00] 不是那种瞎猜的那种算命
[1008.00-1009.60] 这种我们我不知道为什么
[1009.60-1010.64] 就有这样的东西
[1010.64-1011.72] 真的是有
[1011.72-1013.08] 你们要相信老汪的人品
[1013.08-1015.04] 要不就是我是傻逼
[1015.04-1015.64] 我被别人骗了
[1015.64-1018.40] 你们觉得你们的IQ和社会阅历都超过我
[1018.40-1019.40] 我无话可说
[1019.40-1021.76] 如果你们觉得我能做这么大的事
[1021.76-1023.48] 我在35岁就退休
[1023.48-1025.08] 我还是挺聪明的一个人
[1025.08-1029.80] 社会阅历和我的IQ都不在平均线以下的话
[1029.80-1031.84] 请你们接受我的诚恳
[1031.84-1033.00] 我真的没有骗你们
[1033.00-1037.80] 世界上真的存在像铁板神术这种奇怪的东西
[1037.80-1040.52] 就像你们说存在中医
[1040.52-1041.24] 我说我不信
[1041.24-1042.36] 其实我那个时候
[1042.36-1045.48] 完全的放放弃弃
[1045.48-1046.16] 放弃自我的时候
[1046.16-1047.24] 我就说我不信中医
[1047.24-1049.92] 其实我是不信绝大部分中医
[1049.92-1051.12] 因为他们都是傻逼
[1051.12-1052.80] 但是我不排除
[1052.80-1054.52] 因为一无同源
[1054.52-1057.00] 真的有些人真的厉害中医
[1057.00-1058.44] 但是我不知道是谁
[1058.44-1060.84] 但是在算命过程这个行业里边也是一样的
[1060.84-1061.64] 大部分都是傻逼
[1061.64-1062.52] 都是骗子
[1062.52-1064.56] 但是真的有人会
[1064.56-1066.48] 董木杰就会
[1066.48-1068.64] 香港姜师傅也会
[1068.64-1070.36] 姜师傅很小年轻
[1070.36-1072.32] 但是姜师傅的道行有没有董师傅那么高
[1072.32-1073.64] 那就是人者见人
[1073.64-1074.84] 智者见智
[1074.84-1079.36] 那我就是说这些东西是我接触过的
[1079.36-1082.72] 那我这一生中接触过的算命的多了去了
[1082.72-1085.60] 就是最令我崇拜了
[1085.60-1087.84] 尼筐先生也是见多识广吧
[1087.84-1088.48] 你们不信我
[1088.48-1089.40] 你们还不信尼筐吗
[1089.40-1091.60] 你们觉得尼筐不如你们是吧
[1091.60-1093.40] 秦晓不如你们是吧
[1093.40-1094.88] 招商局董事长
[1094.88-1096.84] 黄瞻不如你们还是金庸不如你们
[1096.84-1098.84] 这些人都是董先生的
[1098.84-1102.12] 这个董半仙的这个尊敬
[1102.12-1104.20] 尊敬VIP客户
[1104.84-1106.20] 那我讲的是什么呢
[1106.20-1109.24] 就是真的是存在替换神术
[1109.24-1111.28] 那他算出来你这个命数之后
[1111.28-1113.72] 你知道自己一生之后呢
[1113.72-1115.64] 你好多东西就放下了
[1115.64-1118.16] 你可以说你很难再抑郁
[1118.16-1122.52] 因为你知道你自己就是真的是万般皆由命
[1122.52-1124.20] 万般不由人
[1124.20-1126.28] 世事皆由命万般不由人
[1126.28-1129.00] 所以一切都有定数
[1129.00-1132.16] 你的未来扑朔迷离的那个珊瑚树
[1132.16-1133.60] 真的有一根主枝
[1133.60-1135.56] 你亏得了这个亏欠了这个组织
[1135.56-1136.76] 你在哪摔跟头
[1136.76-1138.28] 在哪有可能摔倒
[1138.28-1139.48] 你非常清楚
[1139.48-1140.72] 当然你回避了之后
[1140.72-1142.44] 你再早懂董先生再去算
[1142.44-1144.36] 他又会出现一支组织
[1144.36-1145.56] 那你知道了这个之后
[1145.56-1149.88] 你说你你还有什么绕不过去的坎
[1149.88-1151.68] 你这一生中能有多大的本事
[1151.68-1154.32] 你自己心里边也就清楚了
[1154.32-1156.68] 所以我想董先生有董半仙
[1156.68-1157.88] 有这样的人生变化
[1157.88-1160.96] 也是源于此
[1160.96-1162.48] 就是他给无数的人算过
[1162.48-1163.60] 当然他会不停的
[1163.60-1164.80] 给自己推算
[1164.80-1166.40] 他就慢慢的会放下
[1166.40-1166.92] 放下什么
[1166.92-1168.04] 放下女色
[1168.04-1169.76] 放下金钱
[1169.76-1172.72] 放下名利
[1172.72-1174.16] 放下之后
[1174.16-1176.20] 就是先锋道伍自然来
[1176.20-1177.16] 你看那个状态
[1177.16-1178.48] 那个合法童言
[1178.48-1180.80] 那个状态真的不得了
[1180.80-1182.72] 得道之人真人
[1182.72-1183.72] 但是即使这样的人
[1183.72-1185.56] 也不可能长生不死
[1185.56-1187.92] 他该没那天他也会没
[1187.92-1190.60] 所以你知道这些东西之后
[1190.60-1193.56] 你就真的是在自己的人生
[1193.60-1196.68] 经验和历练上上升一个大台阶
[1196.68-1199.52] 这是我们全学的真正的原因
[1199.52-1201.88] 不是说我们为了窥视天机
[1201.88-1202.60] 走捷径
[1202.60-1204.84] 无捷径可走
[1204.84-1206.40] 这世界上无捷径可走
[1206.40-1207.72] 你似乎在这走了捷径
[1207.72-1210.16] 但是在未来的某一个拐角处
[1210.16-1211.76] 拐角就是老虎
[1211.76-1214.20] 等着你今天所有的走捷径的
[1214.20-1216.76] 连本带息在那一起还
[1216.76-1218.36] 你在这今世走了捷径
[1218.36-1219.80] 来时一起还
[1219.80-1221.52] 所以知道这个东西就放下了
[1221.52-1223.44] 放下就修行的是什么
[1223.60-1225.12] 不行的就是当下了
[1225.12-1227.28] 当下我们做好事做好人
[1227.28-1229.72] 把对得起的人
[1229.72-1230.76] 我们该对得起的人
[1230.76-1232.20] 方方面面都照顾好
[1232.20-1234.08] 都安排好
[1234.08-1235.96] 也同时也划好界限
[1235.96-1238.24] 不是需要那么偶像包袱重的人
[1238.24-1239.84] 该断就断
[1239.84-1242.00] 该断舍离的也要断舍离
[1242.00-1245.60] 这个就是放下之后轻装前进吧
[1245.60-1247.96] 然后我就想起了一个故事
[1247.96-1248.68] 这个故事
[1248.68-1251.24] 兴许大家每一个人都听过
[1251.24-1252.92] 但是今天听我娓娓道来之后
[1252.92-1254.28] 一定有新的感悟
[1254.28-1256.88] 就是吕洞宾在年轻的时候
[1256.88-1259.76] 一心一意考取功名
[1259.76-1260.72] 非常痛苦
[1260.72-1263.40] 汉中离决定点化他
[1263.40-1265.24] 就约他在一起吃饭
[1265.24-1266.32] 喝两杯
[1266.32-1269.12] 然后他喝了汉中离的酒
[1269.12-1270.64] 就睡着了
[1270.64-1272.08] 睡着了之后
[1272.08-1275.84] 他就进入到他的虚拟现实环境里边去了
[1275.84-1277.24] 认认真真学习
[1277.24-1278.24] 考取了功名
[1278.24-1280.36] 先娶了丞相的闺女
[1280.36-1281.64] 然后生了孩子
[1281.64-1282.44] 老婆死了之后
[1282.44-1284.00] 续娶了首富的闺女
[1284.00-1285.56] 然后一路平步青云
[1285.56-1288.12] 直到丞相
[1288.12-1289.72] 最后皇上重用他
[1289.72-1290.60] 就是一人之下
[1290.60-1292.72] 万人之上
[1292.72-1293.72] 权倾朝野
[1293.72-1295.40] 门生满朝
[1295.40-1297.68] 子孙也是非常有出息
[1297.68-1299.32] 简直过完精彩的一生
[1299.32-1301.04] 但是皇上忽然就死了
[1301.04-1301.76] 新皇继位
[1301.76-1303.52] 第一个就把他咔嚓了
[1303.52-1306.12] 把他发配到边疆
[1306.12-1308.08] 一路年纪又大了
[1308.08-1309.88] 一路病痛苦寒
[1309.88-1311.68] 就死在路上
[1311.68-1312.40] 发配的路上
