[1.97-4.45] 哈喽大家好又见面了啊
[313.81-315.59] 因为我必须粉碎你的价值观
[315.59-318.05] 因为事实证明你的价值观一文不值
[318.05-319.73] 你的价值观使你失败
[319.73-321.97] 而且没有找到失败的原因
[321.97-324.23] 所以只要打碎你的价值观
[324.23-326.21] 让你知道自己的渺小和不足
[326.21-327.93] 让你知道自己并不是
[327.95-329.69] 一个品行高尚的人
[329.69-332.09] 你才能够重塑适应社会
[332.09-335.03] 学会跟人和人之间交易
[335.03-338.35] 就是使用利用呃交换资源
[338.35-342.17] 呃形成凝结合互相帮助呃花花轿子
[342.17-344.13] 大家才形成小团体
[344.13-347.53] 并且积极的成为小团体中的核心骨干力量
[347.53-350.39] 这才能在人世间取得成就
[350.39-352.13] 你就是到加拿大来
[352.13-353.83] 你就是到美国去
[353.83-357.15] 也是一样的社会一样的人文
[357.15-357.93] Humanity
[357.93-361.89] 也就是人性全天下都是一样的
[361.89-365.85] 刘刘阿姨的英语就是I wish you both拿性啊
[365.85-370.35] 这个还有一个我的频道的这个状态呢
[370.35-371.39] 就我跟大家讲讲
[371.39-374.25] 我为什么现在不不骂他了
[374.25-378.63] 这个因为真的是我的频道虽然只有不到四万粉丝
[378.63-382.81] 但是这个四万粉丝里面非常高的高高端人群
[382.81-384.33] 就按照阶级金字塔的话
[384.33-386.67] 怎么卡加上那些人在看呃
[386.67-387.27] 而且呢
[387.27-391.65] 就是我明确的知道在国内在北京这个圈子里
[391.65-400.51] 呃他们就通过微信的音频和谷歌的那个移动硬盘呃存我的视频
[400.51-401.19] 而且呢
[401.19-402.21] 越传越高
[402.21-405.91] 他妈的我不排除什么呃
[405.91-407.13] 彭雷啊呃
[407.13-410.85] 白语之类的身边那些人有可能看所以呢
[410.85-412.11] 我在骂他的时候呢
[412.11-413.97] 我要温柔一点呃
[413.97-417.23] 我要用一些这个春秋手法呃
[417.27-420.81] 争取呢能够呃骂得他们舒服啊
[420.81-423.21] 然后让他们觉得有所收获
[423.21-425.55] 而不是第一时间派一个杀手来把我灭了啊
[425.55-426.33] 所以这个呢
[426.33-427.15] 就请大家了
[427.15-427.85] 谅解啊
[427.85-429.51] 我要送胜啊
[429.51-431.25] 再有一个这这是真的
[431.25-432.09] 他们真的看了
[432.09-433.77] 而且说上交所停电话交易
[433.77-435.93] 这事也是真的呃
[435.93-439.43] 之所以证监会出来辟谣是因为这事一出来之后呃
[439.43-440.79] 批了啪啦开始跌嘛
[440.79-442.03] 然后就是量化交易
[442.03-443.55] 把傻逼都在清仓
[443.55-444.53] 然后交易所急了
[444.53-447.23] 赶紧辟谣辟谣的意思就是这些人呢
[447.23-448.73] 这是遥遥领先的预言
[448.73-449.33] 呃
[449.33-452.99] 我估计是上边的身边的人
[453.99-455.11] 看了这个之后啊
[455.11-459.05] 知道了有这块肉目前还没有人分啊
[459.05-460.97] 或者还没以前他们不知道啊
[460.97-464.63] 早不知道交易所中央机房原来就擦里边藏着这么一天
[464.63-466.07] 就这么几百页操
[466.07-467.93] 所以这个事儿啊
[467.93-468.29] 呃
[468.29-468.89] 不多说了
[468.89-469.35] 不得说
[469.35-469.91] 还有呢
[469.91-472.25] 就是有些昨天我讲难民之后
[473.35-475.43] 有些老移民啊
[475.43-477.01] 就连篇累读的
[477.01-484.57] 看来是波动了他们的记点触到了他们的神听神经连篇累读的在我评论区有一个傻逼
[484.57-488.35] 姓陈的至少发了五条以上评论啊
[488.35-489.85] 就是反对我啊
[489.85-492.25] 就说这个难民如何不好啊
[492.25-493.61] 如何挤占资源啊
[493.61-497.59] 他们如何工作劳动交了多少多少税
[497.59-500.47] 但是乌克兰难民一家一个月领个工资呃
[500.47-501.97] 难民补助就三千块
[501.97-503.11] 如何心理不平衡啊
[503.11-506.91] 什么穆斯林难民迟早有一天会把加拿大人都变成穆斯林
[507.01-508.75] 嗯
[508.75-509.79] 你别给我装逼
[509.79-510.91] 你他妈的犯了罪
[510.91-511.75] 你犯了哪条罪
[511.75-512.83] 你犯了装逼罪
[512.83-514.01] 你是个装逼犯
[514.01-515.41] 就你这种世界观
[515.41-516.61] 我一点不是吹牛逼
[516.61-517.81] 你就你这种世界观
[517.81-519.01] 你交个屁税
[519.01-520.07] 我没说错吧
[520.07-522.43] 你他妈一年交过一万刀的税吗
[522.43-525.25] 我因为我在温哥华身边的是中国人
[525.25-526.03] 就你这种中国人
[526.03-531.01] 我见多了去他妈一趟星巴克都恨不得把人家唐包偷光了的
[531.01-535.15] 你们这帮孙子就是他妈就是就是便宜
[535.15-536.65] 你们都要占够
[536.65-538.45] 然后别人占点你们的便宜
[538.45-541.97] 就是他妈跳的比他妈这个猴还穿的高
[541.97-544.03] 就你们这些人根本就不交税
[544.03-546.89] 为什么人家会定这种政策呢
[546.89-549.21] 就是因为加拿大就是个难民国家
[549.21-550.87] 说白了就是呃
[550.87-552.13] 第几代难民的孩子
[552.13-555.97] 那第二代第三代孩子就是长得非常好
[555.97-559.01] 至于穆斯林能不能把加拿大洗成穆斯林国家
[559.01-560.77] 这个洗成德国那样的状态
[560.77-561.57] 我不知道
[561.57-565.11] 因为我身边并没有发现任何这这类现象
[565.11-565.85] 呃
[565.85-566.49] 以我的
[566.49-566.63] 呃
[566.63-566.65] 呃
[566.65-574.39] 平均知识来说就是穆斯林的浓度达到百分之二十以后才会对这个国家产生影响
[574.39-577.01] 如果我都是能认识到这一点
[577.01-580.03] 那么加拿大的移民部就不可能认识不到这一点
[580.03-583.81] 所以我相信对于各个族裔的平衡
[583.81-585.07] 他们是有想法
[585.07-588.07] 事实证明呃也我说的也是对的
[588.07-589.55] 你看加拿大的移民也好
[589.55-590.35] 难民也好
[590.35-591.79] 他是分族裔平衡的
[591.79-595.33] 他不会把某一个单一族裔的人呃广泛的引入
[595.33-596.23] 包括中国人
[596.23-596.63] 你不要以为啊
[596.63-597.77] 因为中国人素质高
[597.77-601.55] 中国人如果加拿大敞开大门来五千万中国人的话
[601.55-604.37] 加拿大现在四千万人不到你来五千万中国人
[604.37-606.95] 整个加拿大全完了全完了
[606.95-608.69] 就是资源耗节
[608.69-611.81] 然后就是基本上就是内斗不止
[611.81-615.35] 所以他必须用时间去换空间
[615.35-619.13] 必须给两到三代人的繁衍时间去给你洗脑
[619.13-620.83] 洗成一个加拿大人
[620.83-621.77] 至少两代
[621.77-624.47] 就说我们包括我都不是真正的加拿大人
[624.47-626.57] 其实脑子里边还是中国的
[626.57-629.31] DNA还是基因文化基因还中的
[629.31-632.51] 但是我的小孩他们已经变成加拿大人了
[632.51-636.35] 这我能深刻的感觉到你像我的一个朋友
[636.35-637.67] 我在这边一朋友啊
[637.67-639.23] 也是也是富豪啊
[639.23-639.83] 很有钱
[641.21-642.35] 传统中国家庭吗
[642.35-643.43] 非常有钱
[643.43-644.75] 然后呢
[644.75-646.43] 给儿子送到最好的学校
[646.43-649.13] 然后儿子现在已经上高中了
[649.13-650.51] 变成了一个真的加拿大人
[650.51-652.45] 回回家有三观了呀
[652.45-655.49] 回家经常跟爸爸妈妈谈一些这个烧
[655.49-656.27] 他们三观的
[656.27-659.57] 这个普世价值的理念
[659.57-660.47] 最近说了一句话
[660.47-662.43] 把他爸的心都击碎了
[662.43-666.83] 因为他爸人生最大的目的就是攒好多好多的钱
[666.83-668.75] 传百传承三代
[668.75-669.51] 而负三代
[669.51-670.43] 负四代
[670.43-672.23] 他儿子说爸爸
[672.23-673.79] 我们家不需要那么多的钱
[673.79-676.25] 因为我将来呢
[676.25-678.35] 可以自食其力啊
[678.35-679.73] 我看得很清楚
[679.73-681.55] 我将来可以上很好的大学
[681.55-683.99] 我的收入也足够养活我的家庭
[683.99-685.61] 所以我们家不需要这么多钱
[685.61-686.25] 我们应该吧
[686.27-690.89] 把这些钱捐捐了给世界上需要那些钱的人
[690.89-692.57] 这个就是真的是加拿大人
[692.57-693.83] 好多都这么想
[693.83-695.21] 越是主流家庭的孩子
[695.21-696.53] 他们越这么想
[696.53-698.45] 所以当他们长大了之后
[698.45-703.43] 可能会慢慢的对其金钱有了切身的体会之后
[703.43-705.47] 他们可能会不那么左
[705.47-707.27] 因为他年轻的时候是最左的
[707.27-709.25] 他会慢慢的往右往保守发展
[709.25-711.29] 但是他们一定会捐
[711.29-713.75] 只不过是现在这些十几岁的状态
[713.75-715.19] 他觉得还那几个亿
[715.19-716.17] 我都捐了吧
[716.17-716.83] 我们不要
[716.83-718.33] 但是可能到他三十岁的时候
[718.33-720.01] 他就捐个几十万几百万
[720.01-721.73] 这是一定会发生
[721.73-723.85] 加拿大是一个马赛克社会
[723.85-727.93] 并没有刻意的去推进各种族融合
[727.93-732.43] 相反还以各种族相对保持独立性引以为荣
[732.43-736.63] 所以我们在加拿大可以看到清晰的看到意大利区
[736.63-742.57] 中国区韩国区希腊区伊朗区都是分着片住了
[742.57-745.69] 然后这个给我们带来了非常好的体验
[745.69-746.01] 因为
[746.17-748.45] 你要想吃最正宗的伊朗菜
[748.45-749.71] 你在加拿大温哥华的话
[749.71-751.03] 你就去北温哥华哦
[751.03-753.91] 你要想吃最正宗的意大利披萨
[753.91-756.93] 你就去泡目的
[756.93-761.21] 我给大家推荐一下碰泡目的有一个意大利餐厅
[761.21-766.39] 1937年开的你吃了他家的大钢钢炉子
[766.39-769.93] 那个木柴炉烤披萨先做现烤
[769.93-772.93] 你就能理解披萨为什么能风靡全球了
[772.93-774.55] 否则的话你吃必胜客呀
[774.55-775.63] 你你永远不理解
[775.63-776.65] 披萨是怎么回事
[776.65-779.47] 这个就是这个破东西怎么能风靡全球
[779.47-794.29] 他跟必胜客的区别就像一个正宗的米其林法式餐厅和麦当劳的差距或者咱们中国的那种大厨做的那个精美的中餐和沙县小吃的差距
[794.29-795.97] 就是你就马上理解了
[795.97-798.91] 泡目的那套那道主街上
[798.91-799.75] 店名忘了
[799.75-801.25] 意大利名太长了
[801.25-802.57] 你不难搜得到啊
[802.57-803.77] 因为那是套不完
[803.77-805.59] 就是第一等在那个网上一找
[805.63-810.67] 你找到了呃也不贵这样的顶级意大利馅饼
[810.67-814.39] 他得呃获得呃加拿大大奖的金奖的
[814.39-819.49] 他有两个产品的披萨饼加拿大所有烤披萨饼的大师都都去比赛
[819.49-821.83] 然后他们得了两次冠军
[821.83-834.79] 呃那两张披萨饼的一个二十五刀了一张一个二十四刀的一张呃一个是西红柿口味的发面了这么厚的面饼发面了一个是死面的黑松露口味
[835.63-840.55] 呃我建议所有的在温哥华的人或者来温哥华旅游的人
[840.55-842.65] 你们都可以去尝一尝呃
[842.65-846.67] 绝对是安利给你们绝对不枉此行啊
[846.67-848.31] 哎呦我今天要说女性话
[848.31-849.91] 你怎么说起意大利馅饼了
[849.91-855.59] 我操又又又走远了啊呃女性话题里面呢
[855.59-859.81] 哦对了呃还有一个骂我骂我集全体大V的
[859.81-863.29] 我来先插一下大老王你好
[863.29-864.83] 我是强了一个小屁民
[864.83-865.47] 唯唯诺诺
[865.47-866.19] 不敢发声
[866.19-869.97] 仅限自己全线范围内做一些对得起自己良心的事
[869.97-874.35] 有几个问题想向你请教通过你发生第一
[874.35-879.19] 最近看到很多人在为朱令案发生啊
[879.19-881.67] 就包括我咱们意思就是没点我的名
[881.67-885.87] 但发生在眼前的商丘宁玲学生死亡案件
[885.87-888.51] 比之前者更为恶劣和触目惊心
[888.51-892.05] 却先有大V提及内心觉得甚为悲凉
[892.05-895.47] 如果在国外民主社会依然存有人命贵贱的观念
[895.47-897.59] 你们岂不是沐猴而观
[897.59-899.75] 就是其实是在骂我啊
[899.75-904.71] 呃第二还有很多人大骂不敢反抗
[904.71-907.71] 我想这些人在国内实施把头插在沙子里
[907.71-909.13] 差的比谁都是深吧
[909.13-913.65] 倡导起民智应该是保持人性的前提下理性的思考问题
[913.65-916.15] 不同的环境做出不停不同的决定
[916.15-917.91] 而不是成为你所说的二级管
[917.91-922.41] 第三乡村老百姓的贫穷与无奈是环境与政策所迫
[922.41-925.31] 换成任何一个人长期在这样的环境下也会逐步同步
[925.31-925.45] 所以我认为这是一个很重要的事情
[925.47-925.95] 哇
[925.95-926.97] 谁不比谁高尚
[926.97-929.01] 许多时候都是迫不得已的无奈选择
[929.01-930.03] 你说太对了
[930.03-931.49] 我分别回答你第一
[931.49-936.03] 为什么不为这个凝灵呃中学生的死亡事件发生
[936.03-937.11] 我不知道别的大卫
[937.11-940.77] 但我知道我我为什么只字未提这个事呢
[940.77-944.03] 就是因为我不了解到底发生了什么
[944.03-945.45] 你我为什么敢说诸令
[945.45-950.79] 我为什么敢呃直接点名说方舟子呃说啊
[950.79-952.01] 那个孙维佳的人
[952.95-955.31] 因为我了解这个事的前行
[955.31-955.45] 后
[955.45-958.99] 我是那个朱令那个同时代的人
[958.99-961.81] 我跟朱令之间只隔着一个女女孩
[961.81-964.51] 那所以我又见过朱令
[964.51-967.09] 所以他从他中毒啊
[967.09-971.17] 被毒翻了到他一步一步的试图翻案试图
[971.17-975.05] 这个推呃这个推动这个案子呃到最后不了了之
[975.05-977.23] 不到最后他死亡全过程
[977.23-979.65] 这将近三十年了
[979.65-981.63] 可以说我是一个亲历者
[981.63-984.59] 我很清楚朱令是被谁堵死了
[984.59-985.29] 或最大嫌疑是谁啊
[985.29-986.79] 所以我敢出来
[986.79-989.01] 我不怕我不怕他们告我
[989.01-991.41] 他们告我郑重我下怀
[991.41-993.99] 为什么因为我就希望把这事弄大
[993.99-994.71] 你告诉我吧
[994.71-995.67] 我又有实力
[995.67-997.35] 我怎么请得起加拿大最好的律师
[997.35-998.73] 我陪你告到底
[998.73-999.79] 而且每次告完了
[999.79-1001.73] 我都会出来做新闻发布会
[1001.73-1006.95] 所以这我就知道方舟子和所谓的这个呃投毒家族
[1006.95-1008.69] 他无论他全是多么滔天
[1008.69-1011.03] 他不敢在这事儿跟我叫板
[1011.03-1012.71] 但是明明不一样
[1012.71-1013.57] 为什么呢
[1013.57-1015.27] 我真的不认识那孩子的家庭呢
[1015.27-1017.27] 我也是通过网络看的
[1017.27-1020.27] 细节我不敢把把握
[1020.27-1021.27] 我如果乱说
[1021.27-1023.27] 如果我说错了呢
[1023.27-1028.27] 我们不知道那个孩子跳楼到底是被扔下去的
[1028.27-1029.27] 还是他自己跳的
[1029.27-1033.27] 这个从外外人就是隔几几千里
[1033.27-1034.27] 嗯
[1034.27-1035.27] 这我真的不知道
[1035.27-1037.27] 那我相信呢
[1037.27-1039.27] 就是如果在他身边的人
[1039.27-1041.27] 如果知道的话呢
[1041.27-1044.27] 那也传递不出来一手信息
[1044.27-1045.27] 因为中国人呢
[1045.27-1047.27] 是经过这种高压社会
[1047.27-1049.27] 所以他就形成了一个信息减防
[1049.27-1051.27] 那我们不好说我们不了解的东西
[1051.27-1054.27] 我们如果要是不负责任的说
[1054.27-1056.27] 去去那儿起哄的话
[1056.27-1058.27] 呃那翟山英比较适合干这个事儿
[1058.27-1061.27] 我呢就是喜欢我要干
[1061.27-1062.27] 我就把这事干到底
[1062.27-1063.27] 就是干透了
[1063.27-1066.27] 就是看完我这东西就是呃就是官纸
[1066.27-1069.27] 我我是追求一个官纸级的这样一个评论
[1069.27-1071.27] 所以我这个事儿我没有说啊
[1071.27-1072.27] 没有没有说
[1072.27-1074.27] 为为不像铁链女铁链女
[1074.27-1075.27] 那时候我没开油管
[1075.27-1077.27] 但是我一直在说铁链女
[1077.27-1078.27] 因为那个玩意儿就
[1078.27-1080.27] 就是你在外界你都知道发生了什么
[1080.27-1082.27] 因为他的录像清清楚楚
[1082.27-1084.27] 访谈清清楚楚
[1084.27-1086.27] 大铁链子捆在身上
[1086.27-1087.27] 包括他的面相
[1087.27-1088.27] 一看就不是当地人
[1088.27-1089.27] 口音
[1089.27-1091.27] 然后那个时候早期铁链女的视频
[1091.27-1092.27] 还可以出得来
[1092.27-1094.27] 大家都能看得见
[1094.27-1095.27] 所以我是说了
[1095.27-1096.27] 我说了
[1096.27-1097.27] 但是那时候我只有推特
[1097.27-1098.27] 而且锁着推
[1098.27-1099.27] 影响力非常小
[1099.27-1100.27] 只有3000多个人
[1100.27-1103.27] 那我当时就是攻击呃
[1103.27-1104.27] 王志安
[1104.27-1106.27] 我之前对王志安不知可否
[1106.27-1108.27] 因为我也不知道王志安是谁
[1108.27-1110.27] 他在一央视也不是一线的记者
[1110.27-1112.27] 你想一线的财经记者有陈伟红啊
[1112.27-1113.27] 有水军艺啊
[1113.27-1114.27] 王志安是谁啊
[1114.27-1115.27] 我操
[1115.27-1116.27] 没人知道王志安啊
[1116.27-1118.27] 所以他出来之后
[1118.27-1119.27] 他叫王菊志安
[1119.27-1120.27] 我当时骂过他
[1120.27-1121.27] 那时候我所推
[1121.27-1122.27] 影响力很很小
[1122.27-1124.27] 因为我看这名
[1124.27-1126.27] 我就觉得这个这是个装逼犯了
[1126.27-1128.27] 什么叫叫王菊志安
[1128.27-1129.27] 菊你妈个菊
[1129.27-1130.27] 你还菊极吗
[1130.27-1131.27] 呃
[1131.27-1132.27] 但是后来他自己解释
[1132.27-1133.27] 他说
[1133.27-1135.27] 他在央视主持的局面呃局面栏目
[1135.27-1137.27] 他那个栏目叫局面
[1137.27-1138.27] 所以呢
[1138.27-1141.27] 他引这个呃栏目的名字叫王菊志安
[1141.27-1145.27] 但是我觉得他在把大家当傻逼
[1145.27-1148.27] 因为所有在京城混的人都知道王处王菊
[1148.27-1149.27] 意味着什么
[1149.27-1150.27] 哈哈哈
[1150.27-1151.27] 对不对
[1151.27-1152.27] 王董
[1152.27-1153.27] 他们后来就叫我王董
[1153.27-1155.27] 这个就是一种尊称嘛
[1155.27-1156.27] 就是一种奉承嘛
[1156.27-1158.27] 所以你叫王菊
[1158.27-1160.27] 你完全是因为局面吗
[1160.27-1162.27] 你真的没有这个菊极的
[1162.27-1163.27] 这个听菊极的
[1163.27-1165.27] 这种自自满吗
[1165.27-1167.27] 所以这个就是你的价值观吗
[1167.27-1170.27] 你他妈逼的想被招安想死了吗
[1170.27-1172.27] 你这边你都基本快坐地排卵了
[1172.27-1173.27] 共产党要处你一下
[1173.27-1175.27] 你马上就呃就要就要给共产党亏点
[1175.27-1176.27] 就是这样一个三观
[1176.27-1177.27] 所以我骂过他
[1177.27-1179.27] 但是那个时候没有什么太大影响
[1179.27-1180.27] 后来呢
[1180.27-1181.27] 就是铁链女
[1181.27-1182.27] 他就彻底把我给惹急了
[1182.27-1183.27] 为什么
[1183.27-1184.27] 他说那个董志明那个事儿啊
[1184.27-1185.27] 可以理解
[1185.27-1188.27] 因为那个村子如果不这么干的话呢
[1188.27-1189.27] 他们就灭绝了
[1189.27-1190.27] 呃
[1190.27-1192.27] 这个是我绝对不能原谅的容忍的
[1192.27-1194.27] 就是在我的价值观体系下
[1194.27-1195.27] 说这种话的人
[1195.27-1196.27] 如果是我家的人
[1196.27-1197.27] 我会动手揍他的
[1197.27-1198.27] 就是我们我
[1198.27-1200.27] 我就已经不用用语言跟你辩论了
[1200.27-1203.27] 有这个时候你唯一能听得懂的就是你肉体呃
[1203.27-1205.27] 神经给你传递来的疼
[1205.27-1207.27] 就是为什么
[1207.27-1209.27] 你他妈放在鲨鱼上
[1209.27-1211.27] 你们怎么都装逼都明白
[1211.27-1212.27] 你问王志安
[1212.27-1213.27] 我们应不应该吃鱼翅
[1213.27-1215.27] 王志安一定说没有买卖
[1215.27-1216.27] 就没有伤害
[1216.27-1218.27] 我们不能吃鱼翅
[1218.27-1219.27] 因为我们要吃鱼翅
[1219.27-1222.27] 就会有渔民为了利益把鱼翅给给了
[1222.27-1223.27] 鱼翅割下来
[1223.27-1224.27] 呃
[1224.27-1225.27] 鲨鱼就会死在海底
[1225.27-1226.27] 然后鲨鱼就很痛苦
[1226.27-1227.27] 又呃
[1227.27-1228.27] 不能马上死
[1228.27-1229.27] 所以这样的话呢
[1229.27-1231.27] 破坏了生态平衡
[1231.27-1232.27] 侵犯了动物的权利
[1232.27-1234.27] 所以我们为了保护动物
[1234.27-1235.27] 维持地球环境
[1235.27-1237.27] 我们不能吃鲨鱼鱼翅
[1237.27-1238.27] 呃
[1238.27-1239.27] 没有杀戮就没有买卖
[1239.27-1240.27] 就没有杀戮
[1240.27-1241.27] 好吧
[1241.27-1242.27] 那你这时候换成人
[1242.27-1244.27] 你就糊涂了
[1244.27-1246.27] 你鼓励拐卖妇女
[1246.27-1248.27] 给他们找理由
[1248.27-1250.27] 不写言行俊法的
[1250.27-1251.27] 杀一净百
[1251.27-1252.27] 就会
[1252.27-1253.27] 有买卖
[1253.27-1255.27] 有买卖就有伤害
[1255.27-1256.27] 这个事就停不下来
[1256.27-1259.27] 所以在铁链女这个问题上
[1259.27-1261.27] 当然铁链女也是女性
[1261.27-1262.27] 所以今天不算跑点
[1262.27-1263.27] 我们多说几句
[1263.27-1265.27] 在铁链女这个问题上
[1265.27-1267.27] 没有灰色地带
[1267.27-1268.27] 要么是支持
[1268.27-1270.27] 要么是反对
[1270.27-1273.27] 必须旗帜鲜明的反对
[1273.27-1274.27] 因为你任何支持
[1274.27-1277.27] 任何试图加以合理化的
[1277.27-1279.27] 哪怕是一个字的言词
[1279.27-1280.27] 言词
[1280.27-1282.27] 都会误导这个社会的价值观
[1282.27-1286.27] 都会鼓励和纵容对女性的买卖
[1286.27-1289.27] 就会有人为了这种利益
[1289.27-1292.27] 不择手段的进行捆绑和伤害
[1292.27-1295.27] 所以弱势群体就会失去他的权利
[1295.27-1298.27] 就会失去他的人基本人权生存权
[1298.27-1300.27] 被锁在地下室里
[1300.27-1302.27] 天天操天天让他生孩子
