[0.91-2.21] 哈喽,大家好
[398.25-399.25] 气得你大妈恨死你
[399.25-401.25] 这你搞错了
[401.25-403.25] 像我们这样做过点事的人
[403.25-404.25] 基本上跑出来以后
[404.25-405.25] 或者移民出来以后
[405.25-407.25] 他不愿意抛头露面
[407.25-408.25] 为什么呢
[408.25-411.25] 有句中国老话叫
[411.25-413.25] 少年打虎
[413.25-414.25] 年老让猫
[414.25-415.25] 就这个道理
[415.25-417.25] 因为你的心
[417.25-420.25] 会随着你的获得
[420.25-422.25] 和你的富有
[422.25-424.25] 变得非常柔软
[424.25-425.25] 而你的心
[425.25-427.25] 只有在你失去
[427.25-428.25] 和愤怒中
[428.25-430.25] 才会变得坚硬
[430.25-433.25] 坚硬的心才能够做创新
[433.25-434.25] 满嘴跑火车
[434.25-435.25] 又来火车了
[435.25-436.25] 没事
[436.25-437.25] 巴菲特的火车
[437.25-439.25] 太平洋铁路
[439.25-441.25] 继续喷
[441.25-443.25] 所以他一定不会出来
[443.25-444.25] 不是他的事上不上
[444.25-445.25] 上得了台面
[445.25-447.25] 我也11年我没出来
[447.25-449.25] 我出来是机缘巧合
[449.25-451.25] 是因为真是被翟副主席
[451.25-452.25] 给刺激了
[452.25-453.25] 有钱没钱子
[453.25-454.25] 缺不缺钱了
[454.25-455.25] 咱不说了
[455.25-456.25] 我告诉你
[456.25-457.25] 你这个大哥
[457.25-458.25] 特别简单
[458.25-460.25] 他公司的副总裁
[460.25-461.25] 火了
[461.25-462.25] 20万了
[462.25-463.25] 而且在网上说
[463.25-464.25] 他是同性恋
[464.25-465.25] 他一定出来
[465.25-466.25] 他一定出来
[466.25-467.25] 他上不了
[467.25-468.25] 上得了台面
[468.25-469.25] 他都出来
[469.25-470.25] 棺材板就摁不住了
[470.25-471.25] 我去
[471.25-472.25] 我给他拼了
[472.25-473.25] 这是大老王事
[473.25-474.25] 是
[474.25-475.25] 他身上发生的特例
[475.25-477.25] 这得感谢翟副主席
[477.25-478.25] 所有人都感谢翟副主席
[478.25-480.25] 没有该翟副主席
[480.25-481.25] 我这棺材就是
[481.25-482.25] 就是
[482.25-483.25] 不会动土的
[483.25-484.25] 我不会出来的
[484.25-485.25] 7788
[485.25-486.25] 重要的是坚持你的
[486.25-488.25] 讲你喜欢讲的比什么都值
[488.25-490.25] 猜测听众喜欢不值得
[490.25-492.25] 80%的平均大多数
[492.25-493.25] 不值得问他们的意见
[493.25-494.25] 你挺牛逼
[494.25-495.25] 你是精英
[495.25-497.25] 你20%
[497.25-498.25] 我跟你说
[498.25-499.25] 以为自己20%的人
[499.25-500.25] 往往是80%
[500.25-502.25] 里边的后20%
[502.25-503.25] 就是
[503.25-504.25] 这个拍桌上
[504.25-505.25] 确实有一个人是傻逼
[505.25-508.25] 就是自己
[508.25-512.25] 但是我会讲我想讲的
[512.25-513.25] 我有一句人生信条
[513.25-514.25] 在我经商
[514.25-515.25] 在我做金融的时候
[515.25-518.25] 多年我老在开会的时候重复
[518.25-520.25] 我说真正的强者
[520.25-522.25] 不跟随潮流
[522.25-524.25] 我们制造潮流
[524.25-527.69] 我们想到一起去了
[527.69-529.69] 我会慢慢的按照我自己的节奏
[529.69-530.69] 想讲什么讲什么
[530.69-531.69] 我是有计划的
[531.69-534.69] 你们看村跑直输的根本不是今天录的
[534.69-535.69] 村跑直输
[535.69-538.69] 我每天一下一口气录了十来条
[538.69-541.69] 我在练习
[541.69-543.69] 所以老王做事是有板有眼
[543.69-544.69] 有章法
[544.69-546.69] 老谋深算
[546.69-549.69] 就算如此
[549.69-551.69] 来而不往非离也
[551.69-552.69] 大老王先蹭的人家
[552.69-555.69] 每天的帖子都生活在老宅的世界里
[555.69-557.69] 那么执着的批斗达到老宅
[557.69-559.69] 和文哥的感情杀绝有什么区别
[559.69-560.69] 这应该是个女士
[560.69-561.69] 特别的嫩
[561.69-563.69] 这个女士非常的柔软的一个心
[563.69-564.69] 你想多了
[564.69-566.69] 你想中了
[566.69-568.69] 首先不是我先蹭的人家
[568.69-570.69] 是她先蹭的我
[570.69-573.69] 她在中国资本市场风云录那一集里面
[573.69-575.69] 她说我老王是同情恋
[575.69-577.69] 然后男女通吃
[577.69-579.69] 然后我操完局以后
[579.69-582.69] 我还录下来给她看视频
[582.69-584.69] 这是她说的
[584.69-585.69] 你知道吧
[585.69-586.69] 网友有来告状
[586.69-587.69] 来上访
[587.69-588.69] 说王主席她骂你
[588.69-589.69] 我说不可能
[589.69-591.69] 她说你同情恋
[591.69-592.69] 我说不可能
[592.69-593.69] 我一看
[593.69-595.69] 真是我跟你说
[595.69-596.69] 看她视频有好多
[596.69-598.69] 好多我大学同学邻居什么的
[598.69-600.69] 人家都知道我是同情恋了
[600.69-603.69] 现在你这事就已经传出去了
[603.69-604.69] 所以我必须弄她
[604.69-605.69] 你知道吧
[605.69-606.69] 我必须蹭她
[606.69-607.69] 蹭她个一年半载的
[607.69-609.69] 而且说你说这个
[609.69-610.69] 为什么说你说中了
[610.69-611.69] 这就叫文化大革命了
[611.69-614.69] 那你是真不知道什么叫文化大革命
[614.69-616.69] 我蹭宅主席
[616.69-618.69] 我给她蹭出血来了吗
[618.69-619.69] 没有
[619.69-622.69] 她万一就是出了点血
[622.69-623.69] 我也赶紧拔出来
[623.69-624.69] 你知道吧
[624.69-626.69] 我弄点拔出来
[626.69-629.69] 然后不进去
[629.69-631.69] 让她慢慢的结痂
[631.69-632.69] 然后越长越厚
[632.69-633.69] 宅主席的
[633.69-635.69] 宅副主席的小脸皮挺嫩
[635.69-636.69] 小脸皮
[636.69-638.69] 就下边脸
[638.69-640.69] 我给她弄一年半来的
[640.69-642.69] 她就越长越厚
[642.69-646.69] 你知道西藏的法器有肉帘
[646.69-650.69] 宅副主席的下边就长出个肉帘
[650.69-652.69] 她以后做成什么
[652.69-653.69] 她做禅的时候
[653.69-654.69] 她不是练自然禅吗
[654.69-655.69] 她做禅的时候
[655.69-656.69] 她不用蒲团了
[656.69-657.69] 她是个肉蒲团
[657.69-658.69] 她自己自带蒲团
[658.69-659.69] 这是对她好
[659.69-660.69] 这不是赶尽杀绝
[660.69-662.69] 哪有这么赶尽杀绝
[662.69-663.69] 如果文化大革命都是这样
[663.69-665.69] 大家把把把把把把把把把
[665.69-666.69] 剪个单口
[666.69-667.69] 互相埋的
[667.69-669.69] 那不是文化大革命
[669.69-670.69] 那是今日脱口秀
[670.69-671.69] 十年大脱口秀
[671.69-672.69] 全民脱口秀
[672.69-673.69] 不是
[673.69-674.69] 你想多了
[674.69-676.69] 好女人
[676.69-677.69] 你是个好女人
[677.69-679.69] Lord Noya
[679.69-681.69] 老王真干货
[681.69-683.69] 以前宅副主席声称海外的
[683.69-684.69] 谁说他这个那个的
[684.69-686.69] 都要先告他
[686.69-687.69] 遇上您
[687.69-688.69] 她就没声了
[688.69-689.69] 变成了个小媳妇
[689.69-690.69] 老王真是又高又硬
[690.69-692.69] 血脉压制
[693.69-695.69] 东北有句粗话
[695.69-696.69] 叫拎着大鸡吧
[696.69-698.69] 吓唬小小姑娘
[698.69-699.69] 但是拎着大鸡吧
[699.69-700.69] 吓唬小姑娘说的就是
[700.69-702.69] 他原来那个情况
[702.69-703.69] 你知道吧
[703.69-704.69] 他一出来
[704.69-705.69] 海外有些人不了解
[705.69-706.69] 他就在这儿
[706.69-707.69] 评点宅副主席
[707.69-709.69] 那宅副主席能怪你们毛病
[709.69-710.69] 你小姑娘
[710.69-711.69] 宅副主席的点多
[711.69-713.69] 亮出来
[713.69-715.69] 疯了你们都
[715.69-718.69] 但是有个老淫妇躲在温哥华
[718.69-719.69] 他没想到
[719.69-720.69] 他要是想到
[720.69-722.69] 这儿有个大淫妇
[722.69-723.69] 他
[723.69-725.69] 他高低都不会讲那一集的
[725.69-726.69] 你知道吧
[726.69-728.69] 现在宅副主席
[728.69-730.69] 最后悔的就是他那天
[730.69-731.69] 说我
[731.69-733.69] 你这不是没事找事
[733.69-734.69] 把他说出来了
[734.69-735.69] 你这
[735.69-736.69] 所以他怎么告我
[736.69-737.69] 他没法告我
[737.69-738.69] 你这血脉压制
[738.69-739.69] 我一直用的是基因压制
[739.69-740.69] 怎么血脉了
[740.69-742.69] 我俩没有什么血脉关系
[742.69-743.69] 你这说什么话
[743.69-744.69] 血脉压制
[744.69-746.69] 没弄出血来
[746.69-748.69] 都用一种滑油了
[748.69-750.69] 咚咚啵
[750.69-751.69] 看您的
[751.69-752.69] 今天要大屏幕看的
[752.69-754.69] 您这720p刚发现
[754.69-756.69] 应该至少是1080p要不可惜了
[756.69-758.69] 谁给您做字幕
[758.69-759.69] 太丑了
[759.69-760.69] 大高要护脸
[760.69-761.69] 哎呀
[761.69-762.69] 咚咚啵
[762.69-763.69] 我代表
[763.69-765.69] 我代表归线人
[765.69-766.69] 发龟派气功灭了你
[766.69-768.69] 你事也太多了
[768.69-770.69] 我哑巴哑巴打
[770.69-772.69] 咚咚啵
[772.69-774.69] 人家是义工
[774.69-775.69] 人家给我弄英语
[775.69-776.69] 我都特别不好意思
[776.69-779.69] 你看大高要护脸上
[779.69-780.69] 另外是为什么720p
[780.69-781.69] 我不专业
[781.69-784.69] 我还没那么大手机内存
[784.69-787.69] 我心里说720p你们就够了
[787.69-788.69] 弄1080p
[788.69-789.69] 你们看我脸上的纹
[789.69-790.69] 又该看我的面相了
[790.69-792.69] 结果还被你发现了
[792.69-793.69] 行
[793.69-795.69] 我弄1080p
[795.69-797.69] 今天就弄好吗
[797.69-798.69] 然后我也不抹皮了
[798.69-799.69] 我现在满头大汗
[799.69-800.69] 刚换完机油
[800.69-802.69] 你可以研究我的面相
[802.69-803.69] 劳碌命
[803.69-804.69] 五
[804.69-805.69] 王老师您好
[805.69-806.69] 没听懂900个人
[806.69-808.69] 10元每人
[808.69-809.69] 进来充分换手后
[809.69-810.69] 1000个人手里
[810.69-811.69] 有些既无股票也没钱
[811.69-813.69] 这些人不就赔了吗
[813.69-814.69] 你是个小朋友吧
[814.69-816.69] 你应该是个大学生吧
[819.69-820.69] 你如果没到18岁
[820.69-823.69] 你不要看老王的节目
[823.69-825.69] 对你不好
[825.69-827.69] 我从来不鼓励一个7岁的小孩
[827.69-828.69] 看A片就是这个道理
[828.69-830.69] 他不但没学会正经的
[830.69-832.69] 他还不长个了
[832.69-834.69] 你这个思路还是
[834.69-836.69] 就是差的稍微远一点
[836.69-838.69] 我觉得你应该再多一些实践
[838.69-840.69] 我做的是底层工作
[840.69-841.69] 我做的是底层代码
[841.69-842.69] 就是说归纳归纳归纳
[842.69-845.69] 最后归纳到短短几个字
[845.69-846.69] 你不能把你的上层结构
[846.69-847.69] 往里边套
[847.69-848.69] 你知道吧
[848.69-849.69] 900个人充分换手
[849.69-852.69] 1000个人里边有100张股票
[852.69-853.69] 有的没股票
[853.69-854.69] 你就想成
[854.69-856.69] 他不能10个人合着买一股吗
[856.69-857.69] 对不对
[857.69-858.69] 他团起来买
[858.69-859.69] 他一个人买0.1股
[859.69-861.69] 不就可以充分换手
[861.69-862.69] 解决你的问题了吗
[862.69-863.69] 听懂了吗
[863.69-865.69] 他没有必要买一股股票
[865.69-866.69] 不是100个股票
[866.69-869.69] 他们10个人又团在一起买一股
[869.69-870.69] 合买一股
[870.69-872.69] 100个人团在一起合买一股
[872.69-873.69] 每个人买0.0一股
[873.69-874.69] 价格不就上去了吗
[874.69-877.69] 每个人手里边也都有一点资产
[877.69-878.69] 这才叫充分热交换
[878.69-879.69] 懂吗
[879.69-881.69] 那就不多给你解释了
[881.69-882.69] 这是数学问题
[882.69-883.69] 凯
[883.69-885.69] 这是老网友
[885.69-886.69] 国际资金洗钱
[886.69-887.69] 哇
[887.69-888.69] 那年多亏老王你提醒我
[888.69-890.69] 让我避了个坑
[890.69-891.69] 我记得这个事
[891.69-892.69] 但你可能还不太高兴
[892.69-893.69] 还给我犟嘴来着
[893.69-895.69] 觉得我挡了你发财的路子
[895.69-896.69] 老王说话不好听
[896.69-898.69] 但是不骗人
[898.69-900.69] 我让你避一避
[900.69-901.69] 别弄你就别弄
[901.69-903.69] 因为这事我都弄过
[903.69-904.69] 我告诉你
[904.69-905.69] 你们这些人
[905.69-906.69] 就是你这点钱
[906.69-908.69] 真的是不够人家骗的
[908.69-910.69] 人家翟副主席都不骗你们了
[910.69-911.69] 现在
[912.69-913.69] 公共国
[913.69-914.69] 公共国又来了
[914.69-915.69] 讲缠中说缠吧
[915.69-916.69] 能破300万
[916.69-917.69] 对了
[917.69-919.69] 他也是个同性恋
[919.69-921.69] 为什么要加个野字的
[921.69-922.69] 他是个同性恋就得了
[922.69-923.69] 为什么要加个野字
[923.69-925.69] 老王不是同性恋
[925.69-926.69] 我再次强调
[926.69-928.69] 翟山英你个王八蛋
[928.69-930.69] 你给我造成的国际舆论太大了
[930.69-931.69] 我要告你去
[931.69-932.69] 快告诉我你在哪
[932.69-933.69] 给我地址
[933.69-934.69] 你等我收船票
[934.69-935.69] 等收我船票
[936.69-939.69] 讲缠中说传破300万
[939.69-940.69] 第一破300万
[941.69-943.69] 是我人生的终极目标
[943.69-945.69] 你就让我破了终极目标之后
[945.69-946.69] 我干啥
[946.69-947.69] 第二缠中说缠
[947.69-948.69] 我真不理解
[948.69-949.69] 我不了解这个人
[949.69-950.69] 我不认识他
[951.69-953.69] 我之所以对缠中说缠充满了概念
[953.69-955.69] 就是因为我从开博客那一天
[955.69-957.69] 就有人说你这句话
[957.69-958.69] 你说说缠中说缠吧
[958.69-959.69] 缠中说缠是谁呀
[960.69-962.69] 没有说也是个朋友
[962.69-963.69] 练这句
[963.69-964.69] 但是前面那半句
[964.69-966.69] 所以就使我产生了强大的好奇心
[966.69-968.69] 我认真拜读了他所有的著作
[968.69-969.69] 他是个高手
[969.69-970.69] 二级上高手
[970.69-971.69] 而且他有哲学家的气质
[971.69-973.69] 我猜他是北大哲学系
[973.69-975.69] 中文系毕业的
[975.69-976.69] 这个人很传奇
[976.69-977.69] 但这个人死了
[979.69-980.69] 我没有发言权
[980.69-981.69] 我没有经历过
[981.69-983.69] 我没有跟他对过手
[983.69-985.69] 所以我没办法讲
[985.69-986.69] 我瞎这么讲
[986.69-988.69] 你就你说有意思吗
[988.69-989.69] 你就
[989.69-991.69] 你要是真愿意让我瞎气魄讲
[991.69-992.69] 我可以瞎讲
[992.69-993.69] 但是没有意思
[993.69-995.69] 下一个
[995.69-997.69] Lynkai613
[997.69-999.69] 这个放在币圈里更容易理解
[999.69-1000.69] 你懂
[1000.69-1002.69] 你是个高手
[1002.69-1003.69] 你是个高手
[1003.69-1005.69] 放在币圈里更容易理解
[1005.69-1006.69] 这句话是对的
[1006.69-1008.69] 因为我是归纳的底层逻辑
[1008.69-1009.69] 我讲股市的原理
[1009.69-1011.69] 牛市资金推动型牛市的原理
[1011.69-1012.69] 实际上不是股市
[1012.69-1015.69] 它是所有金融衍生品市场
[1015.69-1017.69] 记住敲黑板画重点
[1017.69-1019.69] 所有金融衍生品市场的
[1019.69-1021.69] 底层逻辑
[1021.69-1026.69] 你仔细回放我村知书13分钟的视频
[1026.69-1028.69] 我觉得值得你看10遍
[1028.69-1031.69] 其实那个视频里边有密码透出来
[1031.69-1032.69] 不是说的是股市
[1032.69-1034.69] 股市只是其中一个方面
[1034.69-1038.69] 电子盘所有的币圈都是一样的
[1038.69-1040.69] 我会讲币圈
[1040.69-1043.69] 我今天吹个牛逼挖个大坑
[1043.69-1045.69] 我讲完币圈交易所之后
[1045.69-1048.69] 你们就全知道什么赵首富
[1048.69-1049.69] 他在玩什么了
[1049.69-1051.69] 他真的是我的晚辈
[1051.69-1053.69] 我没玩是因为我有钱了
[1053.69-1054.69] 我懒了
[1054.69-1056.69] 我当时要是嗷嗷逮逮捕
[1056.69-1058.69] 币圈还有他什么事
[1058.69-1062.69] 币圈的所谓电子交易所
[1062.69-1064.69] 它跟股市是一回事
[1064.69-1067.69] 你只要明白开交易所的底层原理
[1067.69-1070.69] 你就是开什么比特币
[1070.69-1073.69] 什么这个币那个币
[1073.69-1076.69] 什么翡翠钻石
[1076.69-1078.69] 文玩字画邮票
[1078.69-1079.69] 邮币卡
[1079.69-1082.69] 甚至卖老王的内裤卖郭精子
[1082.69-1083.69] 都是一样的
[1083.69-1085.69] 老郭当时没有找我
[1085.69-1087.69] 老郭应该来温哥华找我
[1087.69-1089.69] 我给他弄洗胶索
[1089.69-1090.69] 就不用抓他
[1090.69-1091.69] SEC肯定不抓他了
[1091.69-1092.69] 他不懂
[1092.69-1093.69] 他手底下的人也不懂
[1093.69-1094.69] 等我讲完吧
[1094.69-1095.69] 好吧
[1095.69-1100.69] Lobster riding
[1100.69-1103.69] 龙虾骑乘者
[1103.69-1105.69] 股票只要不卖
[1105.69-1107.69] 无论怎么变动都谈不上盈亏
[1107.69-1108.69] 所以不能上杠杆
[1108.69-1109.69] 上杠杆会爆仓
[1109.69-1111.69] 那么就逼着你见盈亏
[1111.69-1112.69] 股市还是温和的
[1112.69-1113.69] 这又是个高手
[1113.69-1114.69] 他又完全懂了
[1114.69-1115.69] 他完全懂了
[1115.69-1117.69] 你说的是完全听懂了
[1117.69-1118.69] 作为王老师好开心
[1118.69-1119.69] 有你这样的学生
[1119.69-1120.69] 有你和刚才那个
[1120.69-1122.69] 你们就可以举一反三
[1122.69-1123.69] 融会贯通
[1123.69-1125.69] 又是翟老师说的名言
[1125.69-1126.69] 我也说不清楚
[1126.69-1128.69] 这句话是谁先说的
[1128.69-1129.69] 有可能是我在开会的时候
[1129.69-1131.69] 他小本本抄走了的
[1131.69-1132.69] 他抄了我好多话
[1132.69-1133.69] 脑子里有屎
[1133.69-1134.69] 融会贯通
[1134.69-1135.69] 举一反三
[1135.69-1136.69] 什么
[1136.69-1139.69] 真理就是那么简单的一句话
[1139.69-1140.69] 没讲明白真理
[1140.69-1141.69] 就是说他绕你
[1141.69-1142.69] 或者说他本身也没明
[1142.69-1144.69] 这都是从我这抄走的
[1144.69-1145.69] 还有那些案例
[1145.69-1146.69] 他那些资本运作案例
[1146.69-1148.69] 大部分都是绝大部分
[1148.69-1149.69] 99.9%
[1149.69-1150.69] 从我这拿的
[1150.69-1152.69] 股票只要不卖
[1152.69-1154.69] 说过了
