[2.29-3.31] Hello大家好
[534.75-535.51] 我们有钱人
[535.77-538.07] 一定要让没钱的人看到希望
[538.33-539.35] 我们才有安全
[540.37-541.65] 如果他们要不到钱
[542.17-543.19] 我们反而不安全
[544.73-545.23] 所以
[545.49-547.29] 是给他20还是50还是100
[547.55-548.05] 并不重要
[549.07-550.35] 让他走过来看到我
[551.13-552.91] 拿到他想拿到的东西走了
[553.17-553.69] 这最重要
[554.19-555.99] 我当时不理解这句话
[556.25-557.53] 我觉得他有点装逼
[557.79-560.59] 是为了跟我收割服的嫌疑
[561.63-562.65] 因为那时候我没钱
[562.91-564.43] 我刚刚离开Tiawei
[564.69-565.47] 我还很穷
[565.97-566.49] 那
[567.25-568.03] 但是后来
[568.33-570.63] 我越想他这个行为
[570.89-572.17] 我就越能理解
[573.45-576.51] 所谓天下不患寡而患不均
[577.03-578.83] 让穷人看到希望
[579.07-580.61] 富人才有安全
[581.13-582.91] 这是多么朴素
[583.17-584.71] 又多么简单的真理
[585.99-587.27] 所以从那天起
[587.53-588.81] 等我想明白这一天起
[589.07-589.83] 大家可以
[590.09-591.87] 想到直到今天在加拿大
[592.13-592.91] 在温哥华
[593.15-593.67] 只要
[593.93-597.25] 拦住我的要饭的无论他是真的是假的
[597.25-598.03] 包括十字路口
[598.33-598.83] 过路口的时候
[599.09-601.65] 他一定会得到我给他的零钱
[602.17-604.47] 我们用黄先生那么豪
[604.73-606.77] 但是这个习惯我跟他学会了
[609.53-611.57] 那讲这些故事就是说
[612.09-613.87] 海峡两岸
[615.41-616.43] 义母同胞
[617.45-618.49] 从根上说
[618.99-619.51] 是对的
[620.53-621.55] 我跟黄青楠
[622.07-623.85] 分别出生在台湾和大陆
[625.39-627.19] 时空交织了55年
[627.45-628.73] 55年之后
[628.97-630.01] 他出生55年之后
[630.31-630.81] 才出生55年
[631.07-632.09] 但是我们在
[632.35-633.37] 那时间点
[633.63-635.17] 在香港相识之后
[636.19-637.73] 两岸三地的
[638.25-640.29] 我们当时的那些人
[640.55-642.85] 没有任何一个人
[643.11-644.65] 觉得对方和自己
[644.89-646.17] 不是一国人
[647.71-649.77] 这就是2000年以前
[650.01-651.81] 中港台三地
[652.07-653.61] 主流人群的
[654.11-655.39] 真实的感应
[656.17-659.49] 我不知道今天的台湾青年人会不会不爱听
[660.31-661.07] 这些话
[661.33-662.61] 但是你们拉黑我之前
[662.87-663.89] 请你们相信
[664.15-667.47] 我说的每个字都只代表我自己而不代表共产党
[668.25-670.81] 我不是共产党派来的大外宣
[671.05-673.11] 如果是大外宣我死全家
[673.61-674.65] 我没有
[674.89-675.93] 我只是告诉你
[676.17-678.23] 我们真的是同文同种
[678.49-679.51] 同样的DNA
[679.77-682.07] 甚至我们吃的那些假中药
[682.33-686.41] 我根本不嗤之以鼻的那些中药配方都他妈完全一样
[688.44-688.94] 但是
[690.77-692.57] 当我眼看着香港
[692.87-694.15] 一步一步凋零
[694.91-695.69] 衰败
[696.97-697.99] 当我
[698.25-702.85] 离开北京国家体改委的那一次跟我的领导的
[703.87-704.65] 谈话
[705.67-707.45] 震碎我三观的时候
[707.97-709.77] 我知道我之前
[710.01-711.05] 对于世界
[711.29-713.35] 所有的认知可能都是错误
[714.37-716.93] 什么话把我三观震碎了呢
[718.47-720.01] 这个领导叫
[720.25-721.29] 安志文
[721.53-722.57] 如果你们
[722.87-723.63] 有扩展阅读的话
[723.89-725.17] 你们就可以
[725.43-727.47] 扩展阅读出来他是谁
[729.27-729.77] 安老呢
[730.55-733.11] 很不理解我为什么要辞职
[733.37-734.65] 所以决定跟我谈一谈
[735.41-737.45] 他说小王你为什么要走
[737.71-738.73] 我说
[738.99-741.05] 因为我觉得近生无望
[741.29-742.57] 也是实话
[742.83-745.39] 而我希望能够下海赚钱
[746.41-747.45] 安老笑了笑
[748.47-751.53] 他对于下海赚钱这个事儿未知可否
[752.29-752.81] 但是
[753.07-755.63] 他让我回忆一件事情就是我们在
[756.13-758.45] 一次北戴河出差的过程中
[759.47-760.75] 每年暑期都在北戴河
[761.51-764.85] 他有一次性之所致要在小贩那买一些
[765.35-766.63] 海鲜之类的
[767.41-767.91] 东西
[768.43-771.25] 小贩跟他报了一个价格之后他没有带钱
[771.49-774.31] 他让秘书拿钱他秘书姓邵小邵
[774.57-776.61] 拿了一张100元的
[776.87-778.41] 记住啊100元面值的人民币
[780.45-780.97] 安老
[780.97-783.01] 没有见过这张100元人民币
[783.53-786.09] 安老说你拿出来的是100元人民币吗
[786.61-787.37] 让我看看
[789.17-791.47] 这个是刺激了我了因为我也在
[791.73-793.25] 现场那个100元人民币
[793.51-797.61] 就是那个第一版的那种就是那个青灰色的四个老人头的100元人民币
[797.87-798.89] 不是后来的红的
[799.41-801.45] 其实已经用了很多年了
[802.99-806.83] 安老居然从来没有见过他一直以为是大团结是最大的面值
[807.33-809.13] 他还不是国家最高领导人
[809.13-812.45] 大家就知道钱在
[812.71-814.25] 共产党的这些高官
[814.77-816.05] 眼里
[816.29-818.61] 钱算个啥
[819.89-820.91] 当时他们真的是这样
[821.67-822.95] 你说他们是
[823.21-826.03] 清廉吗我第一反应觉得是他们好清廉
[826.79-828.59] 后来我才知道他们叫特供
[829.35-830.13] 这叫特权
[830.37-830.89] 不用钱
[831.15-832.17] 钱在他们这
[832.43-833.71] 那是秘书手里拿的东西
[834.47-835.49] 警卫员手里拿的东西
[836.01-836.77] 跟他没有关系
[839.13-841.43] 他当时跟我谈的时候说
[842.45-843.49] 钱就略过了
[844.25-846.05] 他说你知道你为什么尽声无望吗
[846.29-846.81] 我说我不知道
[847.07-848.09] 他说在我们党内
[849.37-851.17] 你要首先完成自己的异化
[852.19-853.73] 然后你就一帆风顺
[855.51-858.59] 他只能给我点到这我一直不知道自己
[858.85-863.45] 我完全没有听懂每一个汉字我都听懂了但是连成一个句子
[863.71-866.27] 说的像一个佛家祭语一样他灰身就走
[866.77-868.31] 未带走
[868.31-870.11] 未留下一片云彩
[870.61-872.67] 挥衣而去然后留在我
[872.91-875.23] 木讷在办公室反思
[875.47-877.79] 我做的哪儿不对吗什么叫异化呢
[879.07-880.09] 后来我才知道
[881.11-881.87] 我终于想明白了
[882.91-884.19] 人格的异化
[885.21-886.49] 安老只能说这么多
[888.03-888.53] 其实
[888.79-890.07] 翻译成人的语言
[890.59-891.61] 就是他妈的
[891.87-893.91] 你首先要变成不是人的东西
[894.67-896.21] 这才叫人格的异化
[896.47-898.27] 因为他一针见血的告诉我
[898.57-899.59] 你出身
[900.61-901.89] 不是我们这个
[902.67-903.17] level
[903.69-905.73] 所以你要想到我们这个level来
[905.99-907.79] 你首先要完成人格的异化
[908.03-910.35] 不要整天伤春悲秋
[910.59-911.63] 不要整天
[911.87-914.43] 因为他妈的天安门死了几个学生就哭
[915.47-916.99] 不要有人的情绪
[917.51-919.31] 不要觉得什么他妈的什么
[919.55-921.61] 赞助证这个制度是
[921.87-922.63] 邪恶的
[923.15-924.17] 不要觉得
[924.43-925.19] 警察
[925.45-927.23] 踢了几脚或者解放军
[927.49-928.27] 打了
[928.57-929.59] 挤棍子
[930.11-930.87] 蛊民
[931.39-934.19] 或者北京站的上访群众
[934.45-935.99] 你小玩先不干了
[936.75-938.81] 你要完成你的人格异化
[939.07-939.83] 就是这个意思
[940.35-942.39] 你要认清你不是人
[942.65-943.93] 你是人上人
[944.43-946.49] 或者你是神这个级别
[947.25-949.81] 你要是老把自己放在人的境界里
[950.07-951.35] 你到不了我们这个level
[953.12-957.98] 我相信安老跟我那段谈话也是发自内心的
[958.74-960.02] 他是为了我好
[960.54-964.38] 因为我毫不怀疑他自己人生中曾经
[964.64-966.68] 完成过这样的人格的异化
[967.20-968.22] 我扪心自问
[968.48-969.50] 我是个性情中人
[970.02-974.10] 我可能没有足够的道行去完成我的人格的异化
[974.36-975.38] 变得不是人
[975.64-976.92] 失去了人类的感情
[977.70-980.00] 而进入到那种权力漩涡中去
[981.02-981.54] 所以呢
[981.78-983.06] 我就离开了
[984.60-985.62] 离开之后
[986.90-987.94] 具备了这样的
[988.24-988.74] 思索
[989.00-990.02] 具备了这样的
[990.54-991.30] 认识之后
[991.82-992.58] 再看
[993.36-993.86] 共产党
[994.12-995.14] 再看那个政府
[996.68-997.46] 我就
[997.70-999.24] 真的不再相信他们
[1000.26-1001.80] 他们以前说的每一句话
[1002.06-1003.08] 包括我从小看看
[1003.34-1005.64] 我爸爸那个什么参考消息呀什么
[1005.90-1008.46] 这些杂志啊我首先是相信
[1009.74-1011.78] 然后在相信的基础上去怀疑
[1012.56-1013.58] 而从此之后
[1013.84-1014.86] 25岁之后
[1016.40-1017.94] 我是首先是怀疑
[1018.24-1020.54] 你要说服我
[1021.06-1022.08] 我才能相信
[1022.58-1023.62] 否则的话我认为
[1023.86-1025.40] 你们都是异化过的东西
[1025.92-1028.22] 你们说的每一个字连标点符号
[1028.48-1030.26] 都他妈是发自内心的
[1030.52-1032.82] 首先是要唬我们这些人矿
[1033.08-1033.60] 韭菜的
[1034.62-1037.70] 那个时候没有人矿韭菜这个新名词
[1038.46-1039.22] 但是一个意思
[1041.66-1042.42] 后来
[1042.94-1044.22] 一桩桩一件件
[1045.76-1046.52] 香港的故事
[1047.04-1048.82] 香港就这样一步一步的
[1049.90-1050.66] 同化
[1051.18-1051.68] 堕落
[1052.72-1053.48] 后来呢
[1053.74-1055.78] 我就有机会去了台湾
[1056.80-1060.14] 我这么讲吧我特别喜欢台湾
[1061.42-1063.46] 当我在台湾行走的时候
[1064.24-1067.30] 我听了桃园机场的广播
[1068.08-1069.60] 你们台湾人可能都已经
[1069.86-1071.14] 麻木了因为你们
[1071.40-1073.20] 对桃园机场的广播
[1073.44-1074.72] 可能不会往心里去
[1074.98-1077.80] 但是当我第一次踏入桃园机场的时候
[1078.06-1079.60] 我听到的是这样一段
[1079.90-1081.94] 我希望台湾同胞们
[1082.46-1084.00] 能够印证我的回忆
[1084.50-1085.02] 他说
[1085.78-1086.30] 一个
[1086.56-1088.86] 很浑厚很标准的
[1089.12-1089.88] 普通话
[1090.64-1093.20] 台湾腔的官方普通话说
[1093.46-1094.24] 台湾
[1094.48-1095.26] 只有
[1095.52-1098.32] 几百平方公里还是多少平方公里
[1098.58-1099.86] 很小的面积
[1100.12-1101.14] 我忘了那个数字了
[1101.40-1102.68] 但是他背后
[1102.94-1105.24] 代表的是整个中国
[1106.26-1107.04] 台湾
[1107.28-1109.60] 只有2300万人口
[1109.90-1110.92] 但是他
[1111.18-1112.72] 在世界上
[1112.96-1115.02] 代表的是整个中华文明
[1116.30-1117.58] 这是一个小小的岛
[1117.84-1119.62] 但是它承载着大大的文化
[1120.40-1121.68] 小小的人群
[1121.92-1123.72] 代表了大大的文明
[1125.00-1125.52] 哇
[1126.28-1129.10] 你们知道我在台北
[1129.36-1132.42] 桃园机场的哪一个听到这一段话的吗
[1134.22-1138.32] 台北故宫博物院在桃园机场的那个
[1138.56-1139.34] 售卖
[1139.60-1140.88] 小店听到的这句话
[1141.90-1144.72] 我忍了半天才不哭
[1146.00-1147.78] 因为我是个挺爱动感情的人
[1148.04-1150.60] 所以我在那买了王熙梦的
[1151.12-1152.90] 青绿山水图的
[1153.16-1154.44] 小样副本
[1154.96-1158.02] 又买了金门高亮酒又买了各种各样的小物
[1158.28-1160.08] 那是我第一次去台北
[1160.58-1163.40] 所以我对台湾的印象如此之好
[1164.18-1166.48] 当我在台湾的路上问路的时候
[1167.50-1168.52] 我享受到了
[1169.34-1170.88] 加拿大的感觉
[1171.90-1174.72] 在中国是绝对大陆是绝对没有这种感觉了
[1175.48-1178.82] 就是人民热情到恨不得把你带过去
[1179.58-1182.14] 以至于我问路有精神压力
[1182.40-1183.68] 因为我不想让人家把我带过去
[1184.44-1187.00] 哎呀说这个先生我实在是跟你说不清楚了
[1187.26-1189.30] 这样吧我今天时间也出租
[1189.56-1190.34] 我带你过去吧
[1190.84-1195.20] 然后跟着我走走走走好看到了那再一拐你到了然后人家走
[1195.46-1196.48] 这是我在台北
[1196.74-1197.76] 遇到的亲身经历
[1198.26-1199.30] 我之前是只有在加拿大
[1199.60-1200.36] 才遇到这样的事
[1200.62-1203.94] 因为我在加拿大问路的时候那些有的时候在地的白人会
[1204.20-1204.72] 会这么干
[1207.54-1208.56] 我回来
[1208.82-1210.86] 家里边以后我跟家人说
[1211.38-1213.42] 我说台湾的中国人是什么呢
[1213.94-1216.24] 他们是一群讲中文的加拿大人
[1217.26-1219.06] 就是台湾人的这种
[1219.30-1221.36] 淳朴和热情
[1222.12-1222.64] 他们
[1223.40-1225.46] 很像加拿大的人
[1225.70-1226.22] 就是白人
[1226.48-1228.26] 加拿大本地白人真的是那样
[1228.78-1232.10] 但是他跟我白人不同的跟我们加拿大人不同的是
[1232.36-1233.64] 他们讲的是中文
[1233.90-1234.92] 是地道的国语
[1235.18-1236.20] 比香港还要好
[1236.46-1239.26] 香港还有个粤语的问题你毕竟有语言障碍
[1239.52-1241.58] 但是在台湾你完全没有语言障碍
[1242.60-1243.10] 所以
[1243.62-1246.94] 我们家人从此以后就全部都变成了台湾粉
[1250.02-1250.78] 从此以后
[1251.56-1255.14] 我变成了坚定的台湾独立的支持者
[1255.90-1257.18] 老王你是不是好
[1257.18-1258.22] 你好吗
[1258.52-1259.02] 好矛盾呀
[1259.28-1261.34] 你说来说去什么清绿山水呀
[1261.58-1262.62] 五千年的文明
[1262.86-1266.70] 小小的岛14亿人群
[1266.96-1270.80] 映射在2300万的代表上你这不都是统一言论吗
[1271.06-1272.34] 为什么要讲
[1272.60-1274.90] 你忽然就变成180度大转弯
[1275.16-1276.94] 飙车你就支持台湾独立了
[1277.46-1278.22] 一点都不矛盾
[1279.76-1280.28] 如果
[1280.78-1282.58] 我们背靠的母国
[1282.84-1283.34] 中国大陆
[1283.86-1286.16] 是自由民主的法治之地
[1286.94-1287.96] 经济
[1288.26-1289.28] 高度繁荣
[1289.80-1291.58] 人民安居乐业
[1292.10-1293.64] 孩子从幼儿园
[1293.90-1294.40] 到
[1294.66-1295.94] 大学
[1296.20-1298.50] 全部都可以享受免费的教育
[1299.02-1301.06] 不用为了上一个什么重点高中
[1301.32-1304.64] 母亲妈妈都要跟校长去睡觉
[1305.16-1307.72] 不要为了进一个重点的小学
[1307.98-1309.50] 请全家之力
[1309.76-1312.58] 买全世界最贵的小破老的房子
[1312.84-1313.86] 所谓的学区房
[1314.38-1317.44] 掏空六个大人三个家庭的钱包
[1318.26-1322.86] 而当我们的老百姓有了病的时候哪怕他是一个农民
[1323.12-1324.92] 他都可以享受第一时间的
[1325.18-1327.22] 全免费的公费医疗
[1327.98-1330.04] 当我们的小朋友们散了学的时候
[1330.30-1332.34] 他们不用像那样去
[1332.60-1333.10] 去
[1333.36-1335.42] 发疯一样去读课外补习班
[1335.66-1337.72] 他们可以去社区中心的绿草
[1338.22-1339.50] 地上去踢踢足球
[1339.76-1342.06] 打打棒球打打篮球
[1343.86-1344.88] 如果是这样的大陆
[1345.40-1346.68] 我当然支持
[1347.44-1347.96] 统一
[1348.52-1350.30] 谁说台湾独立我跟谁翻脸
[1350.82-1351.34] 为什么
[1351.58-1353.38] 强大的国家我们有面子
[1353.90-1354.92] 我们还有里子
[1355.94-1357.48] 但是今天是那样吗
[1357.98-1358.50] 是那样吗
[1359.02-1360.54] 疫情三年发生了什么
[1361.06-1362.60] 跟我同一代的中国企业家
[1363.10-1365.42] 好不容易把公司做起来
[1366.70-1369.00] 我问你们我们的公司现在在哪
[1371.20-1372.24] 大笔一挥
[1372.74-1374.28] 没有实际控制人了
[1374.54-1375.56] 拿走了
[1376.08-1378.12] 出现任何社会问题
[1378.64-1379.66] 小笔一挥
[1380.22-1381.76] 都是贪婪的资本
[1382.26-1382.78] 呸
[1383.80-1384.56] 资本
[1385.34-1386.36] 在共产党这样的
[1386.62-1387.90] 独裁集权下边
[1388.40-1389.68] 只不过是一群
[1389.94-1392.00] 舔庸吸屌的小妾
[1393.52-1394.80] 什么权力都没有
[1395.84-1398.14] 只能陪着独裁者睡觉
[1398.90-1401.46] 给独裁者带来快感
[1401.98-1404.02] 而且独裁者只要不想要你
[1404.28-1405.04] 啪一脚踢走
[1406.08-1407.10] 换另一个小妾
[1408.64-1409.40] 资本
[1409.40-1411.20] 这样的地位的小妾们
[1411.70-1412.98] 能奴役人民吗
[1413.24-1417.30] 他比人民还要惨
[1417.56-1419.36] 人民至少没有得到过
[1419.62-1421.92] 小妾们是得到过还要给你拿走
[1422.42-1424.22] 人民至少没有去耕作过
[1424.48-1426.52] 小妾们是他妈耕出来的田
[1426.78-1427.80] 直接给你刮走
[1428.58-1429.60] 难道说的不对吗
[1431.64-1432.66] 所以在这样
[1432.92-1434.20] 百叶凋零
[1434.72-1435.74] 日趋
[1436.50-1440.10] 脑子愚民化编户齐民化的这样一个
[1440.34-1441.38] 中国制度下
[1441.62-1442.66] 你让我
[1442.96-1444.24] 看到了台湾
[1444.50-1447.06] 看到了这么美好的台湾这么美好的香港
[1447.56-1449.10] 正是因为我们同文同种
[1449.62-1453.20] 正是因为我们来自于同一片文明母国
[1454.22-1456.02] 我们读了书我们有了良心
[1456.26-1456.78] 我们这个时候
[1457.04-1458.82] 就像对我们的孩子一样
[1459.34-1460.36] 大船要沉
[1460.62-1463.94] 我真的爱我的孩子的话我会一脚把孩子踢到水里
[1464.20-1466.50] 网上救生衣告诉孩子你走的越远越好
[1467.78-1468.56] 这船已经沉了
[1469.06-1470.34] 不要跟爸爸
[1470.86-1472.40] 不要跟哥哥在一起沉
[1473.22-1474.50] 这才是大陆人民
[1474.74-1476.80] 面对台湾人民独立的
[1477.06-1478.34] 正常人的心态
[1479.36-1481.66] 我们都已经成这样的造型了
