[1.84-2.76] 哈喽 大家好
[2.76-5.40] 今天将是一期悲伤的节目
[358.92-360.12] 包括警方
[360.52-362.24] 都认为哎
[362.24-363.44] 这不是很正常的吗
[363.44-364.72] 就应该是这样
[364.72-366.10] 从来没有想过
[366.10-370.96] 随着另一个新的外部环境的变化而产生了新的问题
[372.34-374.34] 新的另一个外部条件的变化
[374.34-380.48] 温哥华的特色就是最近这几年大量的涌入了难民
[380.48-383.74] 尤其是来自不发达国家的难民啊
[383.74-386.62] 这个人真的是分三六九等的人
[386.62-387.94] 在出生的一天
[387.94-389.74] 也许大家都是一张白纸
[389.74-390.52] 都是重生品
[390.52-393.64] 但是随着这个社会环境对他的滋养
[393.64-395.08] 对他的浸润
[395.08-396.84] 当他成年这个过程中
[396.84-401.44] 人是会被文化DNA彻底改造的生物
[401.44-404.08] 这个跟自然生物是不一样的
[404.08-408.70] 那这几年大量的进入了中东地区的难民
[409.60-410.74] 中东地区
[410.74-413.02] 尤其是库尔德人
[413.02-417.00] 他这个民族实际上是一个教养
[417.00-420.26] 这个现代化的这个教育非常落后的
[420.26-420.50] 这样一种教育
[420.52-421.66] 是一个民族啊
[421.66-423.14] 这个这是事实
[423.14-425.38] 这个并不涉及到任何的歧视
[425.38-427.30] 我只是在描述事实
[427.30-429.58] 大家可以设身处地的想一想
[429.58-430.70] 对于中国观众来说
[430.70-433.90] 库尔德人似乎离你们非常的遥远
[433.90-436.28] 但是你想你是中国人
[436.28-437.74] 你就知道你的特点了
[437.74-438.64] 你是什么特点
[438.64-440.28] 你的文化基因是什么
[440.28-441.42] 自私
[441.42-442.60] 没有武德
[443.56-445.52] 爱沾小便宜
[445.52-446.84] 对不对
[446.84-447.96] 畏微而不怀德
[447.96-449.52] 这是中国人的文化基因的分子
[449.52-450.52] 这是中国人的文化基因的分子
[450.52-451.48] 负面
[451.48-451.72] 对吧
[451.72-452.98] 当然他有很多正面
[452.98-456.22] 比如说努力勤劳
[456.22-458.76] 为了赚钱可以不修星期六星期日啊
[458.76-461.18] 这个是卷娃
[461.18-462.10] 重视子女教育
[462.10-464.56] 这是中国人的文化基因
[464.56-467.20] 他这个素描图谱
[467.20-469.24] 当然低犯罪率也是中国人的特点
[469.24-472.12] 因为普遍雄性激素分泌不足嘛
[472.12-474.46] 所以他就武德和战斗力
[474.46-477.46] 武德和犯罪率其实是一个问题的两面
[478.92-480.50] 那么库尔德人
[480.52-482.38] 是什么样的基因图谱呢
[482.38-483.88] 我给大家描述一下
[483.88-485.96] 就是他的武德很充沛
[485.96-488.92] 他们是生活在伊拉克北部
[488.92-489.84] 土耳其
[491.02-494.76] 伊朗叙利亚交界地区的这么一个
[494.76-497.20] 山地部落民族
[497.20-498.88] 讲库尔德语
[498.88-500.56] 这个种族呢
[500.56-505.84] 一直没有成功的在现代社会建立一个统一的库尔德民族国家
[505.84-506.36] 所以呢
[506.36-510.48] 几乎是被分成了几份分摊在各个国
[510.52-514.72] 有国家列强中东列强的之间
[514.72-516.16] 伊朗也有库尔德人
[516.16-518.02] 伊拉克也有叙利亚也有
[518.02-522.76] 甚至在阿塞拜染阿塞拜疆和亚美尼亚交界的地方
[522.76-524.92] 他也有库尔德人存在
[524.92-530.02] 那他跟任何一个他的所所在的宗主国相对的关系来说
[530.02-531.52] 他都是少数民族
[531.52-534.88] 都是被欺欺负和歧视的民族
[534.88-536.12] 因为他住在山里
[536.12-540.38] 相对来说保持着一个原始有牧民族的这样一个生活习惯
[540.38-545.18] 所以他们的教育和教养以及礼貌程度是相对来说低的
[545.18-548.54] 当然也构成了他们的苦难
[548.54-553.72] 包括萨达姆对库尔德村庄的化学大屠杀呀
[553.72-559.18] 包括伊朗土耳其对库尔德人的打压呀
[559.18-560.74] 这个也是现实存在
[560.74-563.10] 那叙利亚战争中
[563.10-568.16] 库尔德人又是主要的难民发生地之一
[568.16-569.08] 所以呢
[569.08-569.84] 库尔德
[569.84-570.36] 大量的
[570.38-573.40] 库尔德难民流散到世界各地
[573.40-577.56] 加拿大作为一个世界难民的最积极的接纳者
[577.56-581.50] 因为这个国家是不起事任何一个落难的民族的
[581.50-583.32] 所以展开怀抱
[583.32-586.52] 接受了大量的库尔德难民
[586.52-590.66] 那么库尔德难民中男性的年轻难民
[590.66-595.46] 武德崇辈的同时又缺乏起码的礼仪教育
[595.46-599.38] 这个时候他们一个一个都变成了行走的小钢炮
[599.38-600.08] 在
[600.08-601.36] 种族意义上来说
[601.36-604.32] 确实是带来了很大的不稳定因素
[605.58-609.64] 而这个变化就是直接造成深小与悲剧的根源
[610.74-616.56] 那么在加拿大国家难民接纳体系中有两种模式
[616.56-617.84] 一种是国家行为
[617.84-620.48] 就是特鲁多的这种所谓政府的国家行为
[620.48-625.88] 他们和联合国的难民管理机构是高度统一高度合作了
[625.88-628.64] 那这样的公立机构
[628.64-632.48] 关注的是妇女和儿童优先
[632.48-637.10] 所以妇女和儿童老人会优先的安置进入加拿大
[637.10-641.88] 那么这样的公立机构呢
[641.88-643.70] 相对来说也比较苛刻
[643.70-645.04] 因为它有繁文汝节
[645.04-646.70] 你过不了这个筛子
[646.70-648.76] 你年轻人有劳动能力的
[648.76-651.18] 他可能就不会把你排到前面来
[651.18-656.86] 那这是加拿大的一套很成熟的公立的难民引入体系
[656.86-657.22] 还有一套难民引入体系的公立机构
[657.22-657.28] 还有一套难民引入体系的公立机构
[657.28-657.32] 还有一套难民引入体系的公立机构
[657.32-657.34] 还有一套难民引入体系的公立机构
[657.34-659.38] 还有一套难民引入体系呢
[659.38-661.18] 大家知之甚少了
[661.18-663.90] 我也是因为申小宇这个案子之后才知道
[663.90-668.74] 就是叫Private Sponsored Refugee Program
[668.74-672.22] 就是私人资助的难民计划
[672.22-675.04] 这个在加拿大移民部是有特殊通道的
[675.04-676.12] 什么意思呢
[676.12-677.80] 只要是你私人个人也好
[677.80-679.90] 私人组织也好
[679.90-681.70] 你有足够的资金
[681.70-684.16] 你能够指定提名
[684.16-686.98] 说我这个难民发生战争发生地的
[686.98-687.32] 这个人
[687.32-693.98] 我愿意资助他最少一年最多三年的生活费用全包了
[693.98-698.30] 那么这个人就不需要在公立难民营去排队
[698.30-701.96] 这个人就会优先被提名进入加拿大
[701.96-704.28] 而杀害申小宇的这个嫌疑犯
[704.28-709.82] 这个凶手就是这种渠道进来库尔德年轻的难民
[709.82-712.88] 十几二十岁的年龄就进来了
[712.88-715.94] 所以这个库尔德家庭
[715.94-716.72] 我们先说说
[716.72-719.54] 他是通过什么渠道进来的吧
[719.54-725.30] 他们是通过基督教教会赞助渠道进来的
[725.30-726.62] 这个基督教教会呢
[726.62-731.78] 还在温哥华当堂是一个非常有影响力的大的基督教教会
[732.96-733.82] 教堂
[733.82-737.12] 那么他的主要的教区有一部分是在Bowen Island
[737.12-738.32] 就是宝云岛
[738.32-742.88] 那宝云岛和温哥华的当堂离着十万八千里
[742.88-744.02] 你开车到不了
[744.02-745.46] 因为宝云岛是个岛
[745.46-746.42] 你必须要开车
[746.42-747.54] 先到码头
[747.54-749.00] 先到西门码头也好
[749.00-753.38] 这个任何一个小的当堂的私人码头也好
[753.38-757.96] 然后你要上船才能到宝云岛的码头下船
[757.96-764.32] 宝云岛和温哥华市中心物理距离大概有个二三十公里
[764.32-765.44] 这么一个物理距离
[765.44-769.52] 他坐落在温哥华的市中心的外海上肉眼可以看见
[770.96-776.40] 那宝云岛上面怎么会有市中心
[776.42-779.12] 这个教区的这个教会的居民呢
[779.12-780.02] 教民呢
[780.02-785.48] 是因为最近这几年温哥华的银发族老了以后
[785.48-786.80] 他叫Donsizing
[786.80-788.96] 就是他要把他的大房子卖掉
[788.96-789.50] 卖掉之后
[789.50-792.68] 手里拿着大把的现金去潇洒享受人生
[792.68-796.94] 但是他们又不能允许自己的居住条件和生活条件下降
[796.94-799.94] 那么他们就会在相对来说
[799.94-803.48] 相对市中心不是那么繁华的地方
[803.48-805.70] 平移置换一个好处
[806.42-810.98] 宝宅相对来说比较好的都是独立house或者townhouse
[810.98-812.32] 老人去搬到那去
[812.32-813.14] 但是价格呢
[813.14-814.82] 就比市中心的便宜的一大截
[814.82-816.82] 可能只是市中心的一个零头
[816.82-821.42] 比如说温哥华市中心的一个独栋别墅大概三百万加币
[821.42-824.48] 他卖掉他花大概一百万加币
[824.48-830.84] 他就能在宝云岛买到一个跟他在温哥华市中心同样级别的别墅
[830.84-833.48] 而宝云岛有大量的这样的银发族过去
[833.48-834.14] 他不用上班
[834.14-836.18] 所以他也不用通勤的困扰
[836.42-838.16] 那么他们住在那之后
[838.16-842.06] 本地的生活水平也跟着也就跟着进步了
[842.06-843.08] 超市啊
[843.08-843.80] 诊所啊
[843.80-845.56] 兜着配套都有
[845.56-848.12] 所以他们的就选择这种叫downsizing
[848.12-849.32] 就是往下走
[849.32-849.86] downsizing
[850.82-854.30] 那么宝云岛上就因为这个原因
[854.30-860.00] 迁移进入了大量的温哥华市中心的这种高收入的银发族
[860.00-861.86] 这些人有钱爱心泛滥
[861.86-863.74] 基督徒 虔诚的基督徒
[863.74-865.56] 所以他们就形成了
[865.56-872.88] 强大的私人基金去资助和提名
[872.88-874.92] 他们认为需要被提名
[874.92-877.54] 正在经受可怜的这样的
[878.84-879.30] 难民
[880.68-882.12] 那么凶手
[882.12-882.84] 易卜拉辛
[882.84-885.36] 凶手叫易卜拉辛阿里
[885.36-890.34] 易卜拉辛他的家庭有四个兄弟
[890.34-891.60] 他有四个兄弟
[891.60-895.44] 他的大哥大嫂和一群孩子是
[895.56-901.98] 通过联合国的难民计划优先进入温哥华
[901.98-903.06] 优先进入加拿大
[904.06-905.52] 那么我说错了
[905.52-906.78] 也可能是私人计划
[906.78-909.00] 这个我没有去校正
[909.00-911.64] 但是他大哥因为他年龄也大了
[911.64-914.58] 而且他非常符合这个难民的接纳标准
[914.58-915.36] 家里边有孩子
[915.36-916.56] 有女人有老人
[916.56-918.74] 所以他们进来了之后呢
[918.74-921.84] 就居住在了宝云岛那个社区里面
[921.84-922.78] 而这个大哥呢
[922.78-924.12] 表现非常好
[924.12-925.14] 他的家庭呢
[925.14-926.68] 也表现得非常好
[926.68-928.26] 而且他的家庭呢
[928.26-930.66] 应该是皈依了基督教
[930.66-933.30] 因为他们跟随了这个教区
[933.30-934.80] 不再是伊斯兰教徒
[934.80-935.34] 所以呢
[935.34-938.28] 他们有可能是对也可能是错
[938.28-939.90] 因为涉及到宗教信仰
[939.90-940.98] 在加拿大很敏感
[942.42-944.58] 公开媒体上不会提这个事啊
[944.58-946.74] 这是我老王猜的啊
[946.74-951.06] 那么易卜拉辛的哥哥大哥进来之后
[951.06-952.74] 赢得了reputation
[952.74-954.72] 就是名气名声
[954.72-955.14] 所以
[955.14-956.46] 所有的这些老人
[956.46-960.66] 这些资助者就关心他的大哥
[960.66-962.04] 说你还有没有痛苦
[962.04-963.12] 你的家人还在那边
[963.12-964.56] 他大哥说有
[964.56-971.58] 说我的二弟就是我们家老二和他的老婆孩子也卡在那个程序上
[971.58-972.78] 于是呢
[972.78-976.02] 这个私人机构就跳过了加拿大政府
[976.02-982.20] 直接把二弟和二弟的老婆以及家人给弄过来了
[982.20-982.76] 弄过来之后
[982.76-984.72] 他们表现也同样好
[984.72-986.94] 也生活在宝云岛那个街区上
[986.94-989.76] 你说老大老二是非常好的家庭
[989.76-991.62] 是很传统的
[993.06-995.34] 保守家庭多生孩子
[995.34-996.84] 然后认真学英语
[996.84-998.28] 认真融入当地的工作
[998.28-999.50] 这表现非常好
[1000.84-1003.02] 而这个时候就出了问题
[1003.02-1003.50] 为什么呢
[1003.50-1005.62] 因为这个私人机构的钱很多
[1005.62-1008.30] 资助易卜拉辛家的钱足够多
[1008.30-1010.66] 那有富裕怎么办呢
[1010.66-1012.90] 那作为大哥和二哥来说
[1012.90-1013.64] 是不是还有两个弟弟在那里呢
[1014.72-1016.82] 在那边虽然没有成家很年轻
[1016.82-1018.54] 但是也想来天堂啊
[1018.54-1019.40] 也想来加拿大
[1019.40-1022.22] 谁愿意卡在叙利亚那个难民营里面呢
[1023.54-1031.04] 所以这个就是易卜拉辛和他的三哥进入加拿大的途径
[1031.04-1032.88] 虽然他们两个很年轻
[1032.88-1034.52] 没有结婚
[1034.52-1037.34] 属于不属于难民范围之内
[1037.34-1040.28] 但是因为他们走的是私人的赞助
[1040.28-1043.16] 而这个私人教会的资金又非常充沛
[1043.16-1044.50] 而且以前呢
[1044.50-1046.56] 他们的这个reputation
[1046.56-1049.38] 他们的名气和口碑又非常好
[1049.38-1055.24] 所以他们就顺利的通过了加拿大的难民筛选体系进入了温哥华
[1055.24-1057.58] 为申小宇的劫难
[1058.48-1061.38] 完善了所有的前提和伏笔
[1062.56-1063.60] 进入温哥华以后
[1063.60-1070.02] 易卜拉辛也像任何一个进入加拿大融入加拿大的库尔德难民年轻人一样
[1070.02-1071.26] 积极的找工作
[1072.34-1073.66] 一把子体力劳动
[1073.66-1074.32] 所以呢
[1074.50-1077.92] 他就在申小宇出事了
[1077.92-1079.74] 本拿比市
[1079.74-1086.76] 离申小宇案发地点不到一公里的地方的一个建筑工地地盘上找到了一个建筑工的位置
[1086.76-1087.64] 他就在这
[1088.54-1089.98] 住下来打工了
[1091.50-1093.26] 直到那个晚上
[1093.26-1099.10] 性欲烧红烧红了头脑的易卜拉辛在本拿比公园
[1100.60-1101.62] 大家知道啊
[1101.62-1103.60] 加拿大这个地方一到晚上
[1103.60-1105.10] 他天黑的非常早
[1106.48-1109.24] 那天晚上大概八点到十点之间
[1109.24-1112.24] 易卜拉辛在公园小路上
[1113.26-1115.42] 烧红了自己性欲的眼睛
[1115.42-1116.80] 蜻蜓的时候
[1116.80-1120.10] 申小宇小宇作为一个完美的猎物出现在他眼前
[1121.00-1124.00] 小宇那天晚上在Tim Houghton的吃完饭
[1124.00-1126.70] Tim Houghton死的这个呃
[1126.70-1127.24] 这个
[1128.70-1129.16] 开门了
[1129.16-1133.04] 就是这个监控摄像头警方全部都调出来了
[1133.04-1134.68] 也在庭审中公布了
[1134.68-1148.44] 申小宇点了餐在那吃饭吃饭的同时还跟他哥哥用微信做视频聊天还问他哥哥你如果是被那个呃哈利波特的那个神学院呃收了的话你选择哪一个班呢
[1148.44-1150.52] 跟他哥哥非常好感情
[1150.52-1151.06] 然后呢
[1151.06-1154.84] 小宇在离开Tim Houghton死的时候有一个细节
[1154.84-1156.96] 全程摄像头都射到了
[1156.96-1158.24] 把垃圾认真分类
[1158.24-1159.66] 卫斯他扔到卫斯他里面
[1159.66-1162.08] 瑞塞扣扔到瑞塞扣里面
[1162.08-1168.68] 然后小宇出门的时候出Tim Houghton死门的时候正好有人进来小宇
[1168.68-1172.94] 这小姑娘拉着门让人进来再松手
[1172.94-1173.66] 这就是我说的
[1173.66-1175.20] 加拿大人会给你拉门的
[1175.20-1179.06] 即使小宇这样一个小弱小的小姑娘也有这样的意识
[1179.06-1181.76] 他那一年才十三四岁出事的时候
[1181.76-1183.50] 他已经会
[1183.50-1187.10] 他是个典型的加拿大傻白甜的小女孩
[1187.10-1188.02] 所以他不
[1188.02-1188.82] 知道危险
[1188.82-1190.66] 他的父母因为离婚
[1190.66-1196.66] 母亲因为没有时间去全程监护他也显然没有告诉小宇
[1196.66-1199.00] 这个世界变得越来越不安全了
[1199.00-1203.08] 以前我们认为安全的方式可能变得不再安全
[1203.08-1203.68] 所以
[1205.00-1207.96] 小宇从Tim Houghton出来以后
[1207.96-1210.36] 直奔加里尔去那个捷径
[1210.36-1211.86] 他选了捷径
[1211.86-1214.36] 他完全可以拐几个弯走大马路
[1214.36-1216.94] 因为那个是本拿比市中心
[1216.94-1217.90] 但是呢
[1217.90-1221.20] 市中心有那么他出事的那个大公园
[1221.20-1224.92] 有一条小路人迹罕至的大森林之间的小路
[1224.92-1226.84] 离他们家是最近的捷径
[1226.84-1228.82] 他他选了那条路
[1228.82-1231.58] 我们今天没有任何证据
[1231.58-1235.54] 但是我们可以想象这条路对于小宇来说根本不陌生
[1235.54-1238.60] 他可能早已经习惯一个人走这条小路了
[1239.80-1245.92] 而那天晚上他早十分钟晚五分钟可能都不会碰到伊布拉辛
[1245.92-1247.86] 但是就在那个节骨眼上
[1247.90-1249.90] 他碰到了伊布拉辛
[1249.90-1254.28] 而且这种案子完全没有办法破案
[1254.28-1257.48] 像我们加拿大这种有人权的国家
[1257.48-1260.70] 你不能挨个儿挨个儿放血挨个儿晒场
[1260.70-1262.24] 他是无罪推定为主
[1262.24-1266.48] 所以申小宇那天晚上被奸杀残暴的奸杀之后
[1266.48-1269.38] 他是随机作案
[1269.38-1274.58] 警方只能在他的数据库里找嫌疑犯
[1274.58-1275.74] 对不对
[1275.74-1277.56] 因为我们是皇家骑警的话
[1277.56-1277.88] 我们都会被捕
[1277.90-1280.00] 我们都知道有管片区有多少色魔
[1280.00-1280.84] 有多少王八蛋
[1280.84-1282.22] 因为坏人都是有管片区
[1282.22-1283.64] 可是大家不要忘了
[1283.64-1286.34] 伊布拉辛是一个18岁的小伙子
[1286.34-1289.52] 他刚刚登陆加拿大不到四个月那个时候
[1289.52-1291.30] 完全是一张白纸
[1291.30-1294.04] 在警方的数据库里根本不存在
[1294.04-1295.96] 他没有犯罪记录
[1295.96-1297.54] 甚至没有被拘留的记录
[1298.66-1301.60] 警方如何能看得到他呢
[1301.60-1304.00] 所以警方非常头痛
[1304.00-1307.56] 这也是我们在这个案子里面得到的一个新的信息
[1307.56-1311.30] 就是加拿大的警方非常尽职尽责
[1311.30-1314.50] 他们真的是很重视小雨案子
[1314.50-1315.44] 你不用找人
[1315.44-1317.94] 他们自己警官们自己都有女儿
[1317.94-1318.84] 都有同龄人
[1318.84-1320.54] 看到现场之后
[1320.54-1322.04] 真的是义愤填膺
[1322.04-1324.56] 所以警方用了这样的手段
[1325.28-1326.30] 用了这样的手段
[1326.30-1328.12] 找出来了伊布拉辛
[1328.12-1331.26] 没有用一年的时间就把他给找出来了
[1331.26-1334.14] 这在加拿大这样一切都是慢动作的
[1334.14-1335.54] 这样的一个国家里面
[1335.54-1337.54] 用一年的时间就把这样一个人找出来了
[1337.56-1340.94] 一个随机杀人犯从茫茫人海中宅出来
[1340.94-1342.72] 这个警方有多么重视
[1343.92-1344.58] 一语言表
[1346.32-1348.00] 怎么找出来
[1348.00-1350.04] 警方首先在他的数据库里
[1350.04-1351.18] 坏人数据库里找
[1351.18-1357.60] 因为深小雨体内留有罪犯的DNA经验和烟头之类的
[1357.60-1361.86] 就是就是指纹之类的这种生物特征
[1361.86-1363.90] 找不到没有
[1363.90-1367.32] 但是警方知道有一个最先进的
[1367.56-1372.72] 叫DNA基因图谱画像技术
[1372.72-1376.98] 这是这几年警方刚刚掌握的最新技术
[1376.98-1380.32] 所以警方拿他的DNA化验之后
[1380.32-1382.20] 知道这个人来自于中东
[1382.20-1383.46] 而且是上中东人
[1384.90-1387.42] 那他的族群就缩的非常小
[1387.42-1394.56] 进一步分析这个人的基因包含了强烈的库尔德基因片段
[1394.56-1396.48] 也就说这个人是个库尔德人
[1396.48-1397.22] 而这个就让你了解了
[1397.22-1397.42] 这个人的基因包含了强烈的库尔德基因片段 也就说这个人是个库尔德人 而这个就让你了解了
[1397.42-1399.34] 就让警方充满了信心
[1399.34-1404.08] 因为库尔德难民在加拿大在温哥华
[1404.08-1407.10] 数仅仅是以千计的
[1407.10-1408.18] 不是很多
[1408.18-1409.50] 他的基因样
[1409.50-1413.50] 他的那个总的样本池非常少
[1413.50-1415.54] 他如果是个白人或者是个中国人
[1415.54-1416.26] 这就坏了
[1416.26-1417.18] 不好找了
[1417.18-1419.62] 但他恰恰分析出来画出来
[1419.62-1421.68] 他有一个下巴大下巴
[1421.68-1424.42] 就是我们中国人讲的叫屁股下巴的库尔德人
[1424.42-1425.32] 精确的画出来
[1426.34-1427.08] 方点
[1427.08-1428.62] 粗眼眉
[1428.62-1429.90] 画出来之后
[1429.90-1434.00] 但是警方也不可能把所有的库尔德人都抓起来一个一个抽血呀
[1434.00-1436.56] 警方居然用了这样的手段
[1436.56-1437.84] 找了一个
[1437.84-1439.36] 库尔德
[1439.36-1442.44] 血源血统的警察做卧底
[1442.44-1445.52] 潜入到库尔德的教区里面
[1445.52-1447.04] 在库尔德人
[1447.04-1450.12] 组织各种聚会的时候这个警察
[1450.12-1454.08] 积极的赞助食品
[1454.08-1457.92] 套取所有库尔德人的DNA
[1457.92-1458.96] 这个警察
[1458.96-1461.52] 给所有的库尔德聚会
[1461.52-1463.06] 赞助热茶
[1463.06-1464.34] 这样就会有茶杯
[1464.34-1465.36] 喝了之后
[1465.36-1468.68] 你在咱们这种聚会里边喝了之后
[1468.68-1470.48] 你要把茶杯扔掉
[1470.48-1471.24] 扔回去
[1471.24-1472.28] recycle
[1472.28-1476.12] 这个警察把所有库尔德人用过的茶杯全部都recycle
[1476.12-1477.40] 在这个过程中
[1477.40-1478.42] 警方
[1478.42-1480.98] 一次又一次的提取他们的DNA
[1480.98-1483.02] 一共提取了上百个
[1483.02-1485.08] 几百个库尔德人的DNA
[1485.08-1485.84] 终于
[1485.84-1486.86] 终于
[1486.86-1488.92] 找到了大哥的DNA
[1488.96-1492.28] 就是易普拉辛那个最先来加拿大
[1492.28-1494.08] 表现得最好的那个大哥
[1494.08-1496.38] 有一次参加了
[1496.38-1498.68] 警方卧底组织的party
[1498.68-1500.74] 喝了茶留下了DNA
[1500.74-1502.02] 警方迅速比对
[1502.02-1503.04] 这是亲兄弟
[1503.04-1503.80] 所以
[1503.80-1505.60] 马上就锁定了他大哥
[1505.60-1508.42] 进而锁定了易普拉辛
