[1.17-3.83] 哈喽 大家好 今天讲干货
[3.83-7.25] 企业家点评 第一人黄光玉
[7.25-9.75] 先来一首定场诗
[368.95-370.23] 加价卖出去
[370.23-371.23] 你有个大飞
[371.23-373.15] 那么老黄黄总有个大飞
[373.15-376.01] 从他们在香港沙头角买了那份电器
[376.01-378.65] 拿回深圳都不用往北京运
[378.65-380.95] 大步翻一番
[380.95-383.05] 运到北京翻三番
[383.05-386.23] 咱们留学生出国要扛个冰箱回去
[386.23-388.15] 为什么日本冰箱便宜啊
[388.15-389.05] 比中国便宜多
[389.05-390.37] 扛回来好几倍
[390.37-391.61] 一转手就出去
[391.61-395.65] 就破电是那个时代的破电是卖两到四千人民币
[395.65-396.55] 八十年代
[396.55-397.55] 两到四千人
[397.55-400.31] 你现在电视也也不过就两到四千人民币
[400.31-402.31] 那就是破电是还要拍一下
[402.31-403.15] 才出人的那种
[404.83-408.37] 海尔张文敏就是因为把不合格的砸掉
[408.37-409.27] 不合格的砸掉
[409.27-410.15] 这不是很正常的
[410.15-414.01] 现在黄张文敏就是因为做了一个正常的事
[414.01-416.11] 他变成了中国质量最好的海尔电器
[417.05-418.31] 所以呢
[418.31-423.55] 这是第三波旋转木马电器也有了之后
[423.55-424.21] 哎呀
[424.21-425.77] 我继续享受我的人生
[425.77-426.53] 第四波是什么
[426.55-428.71] 你想想第四波是什么
[430.21-430.75] 我要开车
[430.75-432.01] 我要买车
[432.01-433.39] 所以中国呢
[433.39-435.97] 在两千年前后就进入了汽车社社会
[435.97-437.15] 家家都要买汽车
[437.15-437.65] 哎呦
[437.65-444.07] 那奇瑞QQ都出来了
[444.09-450.97] 第五第五轮什么有了汽车要什么房子不能两两三代人挤在一个房子里
[450.99-453.29] 所以房地产蓬勃发展
[454.55-456.59] 什么房子都能卖出去
[456.59-458.45] 这就是旋转木马理论
[459.05-461.55] 房子之后是什么
[461.55-463.59] 我当时说如果要是没有打断的话
[463.59-465.31] 房子之后肯定是奢侈品
[465.31-468.47] 人的精神奢侈品和物质奢侈品
[469.79-471.13] 那打断了没有了
[471.13-472.29] 现在开开倒车了
[472.29-473.55] 往回走了
[473.55-474.17] 所以呢
[475.73-480.81] 老黄在九十年代中期在做家电
[480.81-482.61] 你说他是不是正好在风口上
[482.61-483.59] 呜呜呜就起来了
[485.17-486.49] 起来之后他发现一个问题
[486.49-487.25] 这个人很聪明
[487.25-488.87] 他发现问题在心结口口
[489.05-491.05] 摆他那个国民电器
[491.05-492.09] 他发现了什么问题呢
[492.09-493.09] 那么摆不下
[494.09-496.01] 你回忆一下啊
[496.01-496.93] 1995年
[496.93-497.71] 如果岁数大的话
[497.71-498.15] 你回忆一下
[498.15-500.29] 1995年到1998年
[500.29-506.25] 这三年当我们有的钱开始去买电瓶箱洗衣机电视机
[506.25-507.83] 你遇到一个什么尴尬的问题呢
[507.83-509.27] 你在任何一个城市都是有问题
[509.27-510.59] 你只能去两种地方
[510.59-512.75] 一人民商场的电器柜台
[512.75-514.13] 人民商场都有个电器庄柜
[514.13-516.21] 摆着各个品牌的电器柜台
[516.21-517.63] 但是你在人民商场电器柜台
[517.63-518.89] 你有什么问题呢
[518.89-519.93] 型号不全
[519.93-521.35] 比如说海尔他摆两台
[521.35-522.53] 春兰的摆两台
[522.53-524.19] 可是春兰全系列有20台
[524.19-525.55] 你并不想要他这两台
[525.55-530.47] 那么还有一种业态是什么呢
[530.47-531.45] 只有这两种业态
[531.45-532.85] 还有专卖店
[532.85-534.57] 大城市集中大城市
[534.57-536.35] 有海尔春兰的专卖店
[536.35-538.27] 他们当时也走直销
[538.27-540.25] 他们想走企业直销
[540.25-544.03] 所以他们招拦了很多的地方的代理商经销商
[544.03-546.95] 经销商虽然这个品牌比较专一
[546.95-548.05] 没有别的品牌竞争
[548.05-549.93] 但是他的店都特别小
[550.17-552.57] 都是阳光福麻辣烫
[552.57-553.23] 他呀
[553.23-554.43] 而且他相当单一
[554.43-555.69] 他海尔只卖海尔
[555.69-557.13] 春兰只卖春兰
[557.13-558.39] 你这个县城也好
[558.39-559.71] 你这个地基市也好
[559.71-561.93] 你不一定都有
[561.93-562.47] 所以呢
[562.47-564.33] 当时呢就卡在这个位置上
[564.33-565.67] 没有人创新
[565.67-567.17] 没有人创新
[567.17-568.85] 创新这两个词
[568.85-571.47] 这里这个词非常难做
[571.47-572.41] 为什么呢
[572.41-573.27] 保暖私营域
[573.27-573.93] 他日子好过
[573.93-575.19] 他不创新
[575.19-576.87] 没有人会创新的
[576.87-578.89] 那这个两个业态在风口上
[578.89-579.73] 那钱
[579.73-580.17] 数
[580.17-583.47] 手都数累了
[583.47-584.55] 创个屁心呀
[586.43-588.15] 一千块钱的
[588.15-590.43] 海尔这面箱卖一千五
[590.43-591.57] 净赚五百
[591.57-592.95] 而且卖完再给海尔
[592.95-594.75] 他先压着这一千五
[594.75-595.93] 不一定啥时候结
[595.93-596.91] 三个月结有可能
[597.99-601.11] 所以他有什么动力去创新呢
[602.55-604.29] 但是黄光玉就有动力
[604.29-606.45] 因为黄光玉什么他都没有
[606.45-609.97] 他是一个潮州的一个白手起家的
[609.97-610.15] 年轻人
[610.17-612.51] 他岁数比我大不了几岁
[612.51-615.21] 熊心万丈二十几岁
[615.21-616.83] 所以他就琢磨
[616.83-620.19] 不能再在新街口付高租金了
[620.19-624.23] 在新街口国美电器就值所付的月租金
[624.23-627.81] 足够他去北京
[627.81-630.21] 兔子都不拉屎的地方
[630.21-636.38] 租一个倒闭了的工厂的厂房
[636.38-638.66] 因为倒闭了工厂的厂房
[638.66-640.60] 没人要
[640.60-641.88] 所以他就做了一个
[641.90-643.76] 那么他想如果
[644.84-646.58] 我退出核心繁华地带
[647.68-648.66] 进入到农村
[649.72-650.96] 卖电器行不行吗
[650.96-653.12] 这个非常伟大的探索
[653.12-655.26] 因为买电器都是往市中心去
[655.26-656.30] 他反其道行之
[656.30-658.88] 要去最偏僻的地方
[660.44-665.96] 租下来了北京第一个在四季青租下来一个破厂房
[665.96-666.38] 四层
[667.34-669.86] 带车库特别大
[669.86-671.70] 一楼给让他给改成车库啊
[671.70-672.60] 外边有大院子
[672.60-675.98] 都是车库停车位
[675.98-677.16] 他在这里边摆满
[678.22-679.60] 货品摆满
[679.60-679.98] 你想
[679.98-681.38] 因为他有的是地方
[681.38-687.92] 这他的营业面积超过全北京所有的两种业态之和还得乘以二
[687.92-689.66] 在他那个四季星那个地方
[690.62-692.00] 然后他摆满之后
[693.92-696.50] 他做广告投放非常精准
[696.50-697.82] 他只在汽车上打广告
[697.82-700.84] 因为有车的人他才有钱
[700.84-702.80] 而且他才能开车去
[702.98-704.42] 如果没车
[704.42-707.48] 那个时候可不像现在交交通和物流那么方便
[707.48-708.00] 没车
[708.00-709.58] 你北京老老头老太太
[709.58-710.60] 你想买个彩电
[710.60-711.50] 你坐公交车去
[711.50-712.70] 你怎么拉回来啊
[712.70-715.40] 所以你必须得有能力去接受到汽车
[715.40-719.04] 所以他在交通广播电台北京音乐台
[719.04-721.28] FM投放广告
[721.28-725.72] 广告词是买电器到国美花钱不后悔
[725.72-730.20] 如有差价双倍返还赌一件事
[730.20-732.92] 赌你几只要是花两三千四五千
[732.92-733.88] 买大件
[733.88-736.40] 你不在乎花这二十二十分钟的时间
[736.40-737.30] 三十分钟的时间
[737.30-741.66] 你开到四季青桥去省一千块钱呢
[741.66-745.81] 你赌赢了三个月就活起来
[747.31-754.39] 全北京的人都知道要买大件开车到四季青桥国美电器花钱不后悔
[754.39-755.01] 真便宜
[756.73-758.71] 为什么真便宜呢
[758.71-762.61] 电大气客科大气店宅副主席明年就是从这儿来的
[762.61-764.21] 是这处我交给他的
[764.23-765.79] 不是蹭的不是蹭的
[765.79-770.23] 电大气客科大气店就是国美案例得到的结
[770.23-771.07] 他电大了之后
[771.07-772.21] 他不是气客
[772.21-773.93] 他气上游
[773.93-774.75] 他气上游
[774.75-778.33] 但是知道以前在人民商场电器专柜的时候
[778.33-779.47] 商场就会压
[780.85-782.23] 生产厂家三个月的货款
[783.19-785.05] 老黄这么大的电
[786.35-788.61] 他能压你半年的货款
[788.61-793.71] 所以国美电器压这些电器生产企业的货款半年以上压
[794.23-799.03] 也就是说老黄的货虽然已经到了国美的商店里
[799.03-800.41] 但是他没有给钱
[800.41-801.43] 他没有给钱
[801.43-802.47] 他并没有给钱
[803.53-806.41] 可是您老来买电器
[806.41-809.81] 你是不是就得付现金呀
[809.81-810.75] 他左手没有花
[810.75-811.71] 右手钱就来了
[811.71-813.03] 你想黄文有什么东西
[813.03-814.53] 黄文有大量现金
[815.55-816.27] 大量现金
[816.27-817.83] 他就在这个业态的基础上
[817.83-819.03] 他用现金
[820.89-824.80] 变成了盈利工具
[824.80-826.20] 至于是不是放高利贷
[826.20-826.80] 这我今天不提了
[826.80-827.10] 不提
[827.10-827.88] 但是你想嘛
[828.84-831.92] 你在一九九八年一九九八年的时候
[831.92-835.58] 您在北京有三十个亿的现金趴在账上
[837.42-845.52] 你是N多金融机构房地产公司所有的赚钱行业的爹来找你
[845.52-848.10] 黄总就这么起来第一阶段
[848.10-848.88] 第一次创新
[850.50-851.22] 没没完
[852.54-855.24] 他又进行了紧接着就进行第二次创新
[855.24-856.80] 就是杀回闹市区
[856.80-859.14] 杀回人民商场
[859.14-863.20] 买一层整租商场楼层整层全给我
[863.20-865.68] 我要在这开国美电器
[865.68-867.18] 而且这就不是在北京了
[868.32-869.34] 培养大量人才
[869.34-874.44] 全国复制商场也没办法呀
[874.44-877.38] 因为商场的电器柜台全黄了
[877.38-878.64] 自打国美开业之后
[878.64-880.02] 一件也卖不出去
[880.02-881.04] 你不租给老黄
[881.04-882.02] 你怎么办
[882.02-884.70] 而且他还要多租租给他
[884.70-888.96] 这时候就也解决了没车那部分老百姓买电器的问题
[888.96-893.01] 还没完第三阶段
[893.01-896.97] 回到闹市之后买整楼干过敏
[897.93-902.13] 闹市整楼买下来或者长租下来做金融运作
[902.13-905.79] 因为这个楼买下来之后是可以抵押贷款各种金融放大
[907.55-909.11] 我记得是马店桥吧
[909.11-910.19] 他就有他的总店
[911.25-912.63] 那楼很大
[912.63-915.45] 那绝对是交通最繁华的地方
[915.45-917.19] 这不到几年
[917.19-918.99] 这不到六年
[918.99-920.19] 国民就起来五年
[920.19-921.03] 就起来了
[921.03-922.35] 这三个阶段的跳跃
[922.35-922.95] 他就完成了
[924.63-925.23] 紧接着
[926.55-927.87] 黄光玉呢
[927.87-929.37] 就去香港买壳
[929.37-931.05] 他又做了一次创新
[931.05-932.25] 这次创新我们俩认识的
[932.25-933.93] 那时候我在香港混
[933.93-935.55] 我离开铁业委
[935.55-936.75] 两千年离开铁业委
[936.75-942.21] 铁业委在香港的李福兆家族的企业做投资银行
[942.21-949.65] 中国区的首代老黄有个老乡叫詹培忠
[949.65-951.21] 詹培忠是香港股市的壳王
[951.21-954.81] 两千年詹培忠是一个非常特殊的时期
[954.81-956.49] 人的命好就好在这
[956.49-958.41] 黄光玉顺风顺水的时候
[958.41-959.85] 在北京想买壳
[959.85-961.59] 他本来是想在中国A股买壳
[961.59-963.57] 他去买宁城老轿
[963.57-964.53] 创了一头灰
[964.53-965.73] 因为宁城老轿是谁的
[965.73-966.39] 你们知道吧
[966.39-969.75] 你们也知道那也是吃骨头不吐渣的人
[969.75-971.95] 而且那个时候也在顺风顺水
[971.95-974.37] 那老黄怎么能占得了便宜呢
[974.37-974.79] 对不对
[974.79-976.27] 所以转头
[976.27-976.65] 香港
[977.65-980.25] 见到了他的同乡詹培忠
[980.25-980.67] 为什么说
[980.67-984.09] 两千年的詹培忠是个特殊的詹培忠
[984.09-988.47] 两千年的詹培忠愿意坐在咖啡厅里跟一只狗谈生意
[988.47-989.79] 香港壳王
[989.79-990.75] 为什么
[990.75-993.17] 因为他刚从赤竹监狱放出来
[993.17-996.05] 詹培忠因为操纵股市被抓起来
[996.05-997.11] 判刑了
[997.11-999.15] 而且没出所有非法所得
[999.15-1000.69] 两千年富富翁
[1000.69-1002.33] 詹培忠归零归零
[1002.33-1006.31] 从监狱里出来什么都没有空有一身本事
[1006.31-1008.47] 所以老詹当然愿意跟一个狗谈生意
[1008.47-1009.39] 何况来的不是狗
[1009.39-1010.65] 是自己的小童
[1010.65-1011.79] 临乡黄光玉呀
[1013.11-1015.15] 詹培忠手里有没有壳
[1015.15-1015.57] 有壳
[1015.57-1016.77] 壳不算非法收入
[1016.77-1018.15] 因为那壳也不值钱啊
[1018.15-1019.55] 那几分钱一股
[1019.55-1020.99] 那个还真是他手里的
[1022.11-1026.55] 叫零四九三精华自动化精华春梦的精华
[1026.55-1028.39] 还不叫那个名我也不知道啊
[1028.39-1031.27] 精华自动化壳
[1031.27-1032.25] 一个非常小的壳
[1032.25-1033.13] 非常静的壳
[1034.77-1035.33] 老花说
[1037.17-1039.41] 詹老板能不能让我借这个壳
[1039.41-1040.41] 詹老板说行啊
[1040.41-1041.07] 你给我钱吗
[1041.07-1042.21] 老黄说我没钱呀
[1044.21-1045.33] 詹培忠蒙逼了
[1045.33-1049.13] 你没钱来香港干什么
[1049.13-1050.69] 黄荣毅说我在干什么
[1050.69-1051.35] 干什么
[1051.35-1053.69] 我为什么要撞到这个这个壳里
[1054.83-1056.43] 詹培忠一听
[1056.43-1056.75] 哎呦
[1056.75-1058.49] 这个饼给我画的太诱人了
[1058.49-1061.37] 操我他妈现在也找不着有钱的来买
[1061.37-1062.33] 我也不能浪费了
[1062.33-1062.63] 不行
[1062.63-1063.77] 我们俩先弄一把
[1063.77-1066.07] 他弄一把他黄荣毅牛逼
[1066.07-1067.73] 他怎么不花钱买壳呢
[1069.25-1070.41] 我跟你讲
[1070.41-1071.15] 他哥在这个萧云路啊
[1071.15-1071.19] 他哥在这个萧云路啊
[1071.19-1071.69] 他哥在这个萧云路啊
[1071.69-1072.09] 他哥在这个萧云路啊
[1072.09-1074.85] 干了一个特别漂亮的写字楼
[1074.85-1077.95] 192000年98年盖好的
[1077.95-1079.19] 后来叫海航大厦吧
[1079.19-1082.25] 就海航或者叫海航大厦旁边叫呃
[1082.25-1083.57] 彭润大厦
[1083.57-1084.81] 彭润大厦就这名
[1084.81-1086.31] 彭润大厦非常好的地方
[1086.31-1086.75] 非常好
[1086.75-1087.65] 蓝色港湾附近
[1087.65-1088.15] 彭润大厦
[1089.45-1090.53] 那个时候2000年开业
[1090.53-1090.83] 哎呀
[1090.83-1091.49] 高端
[1091.49-1091.79] 哎呦
[1091.79-1092.57] high level
[1094.25-1096.17] 黄光玉那边开国美电器嘛
[1096.17-1098.09] 他也有点实力了
[1098.09-1099.41] 他哥虽然还是瞧不起他
[1099.41-1100.31] 但是呢
[1100.31-1101.19] 他就跟他哥说
[1101.19-1102.93] 你能不能租给我几间办公室
[1102.93-1104.01] 那还不行吗
[1104.01-1106.17] 你们租给外人都行租
[1107.49-1108.07] 黄文宇呢
[1108.07-1112.23] 就从他哥那儿租了几间办公室也不太大
[1112.23-1113.67] 几千平方米吧
[1113.67-1118.43] 一两千平方米租了大办公室
[1118.43-1120.05] 他这个办公室也做不满
[1121.73-1124.49] 但是那个地方的黄金立断未来非常看好
[1124.49-1126.77] 那时候中国冉冉受气
[1126.77-1127.61] 黄光玉呢
[1127.61-1129.53] 就把这个租约啊
[1129.53-1130.99] 把这个租金啊
[1130.99-1131.99] 给评估了一下
[1132.47-1135.05] 怎么说租约也能评估
[1135.05-1135.59] 没错
[1135.59-1138.65] 在香港的西方资本市场租约能评估什么意思呢
[1138.65-1140.33] 就是这个楼啊
[1140.33-1141.53] 这个楼面我租下来了
[1141.53-1142.97] 我是租户
[1142.97-1144.53] 但是我虽然是租户
[1144.53-1145.85] 但是我把租金都已经付了
[1147.03-1147.47] 所以呢
[1147.47-1149.33] 我是有权利使使这个房子的
[1149.33-1151.07] 甭管我这房子是转租出去
[1151.07-1155.47] 还是我自己用这个我付了钱租这个房子的这个代价
[1155.47-1156.83] 这是能折现的
[1158.51-1161.87] 这就叫租金租约折现
[1161.87-1162.45] 叫乙方权利
[1162.47-1163.07] 折现
[1164.21-1165.53] 乙方权益折现
[1165.53-1168.25] 这招是詹培忠给黄光玉出的
[1168.25-1169.43] 因为黄光玉不会
[1169.43-1173.03] 詹培忠亲自帮你捂的
[1173.03-1173.93] 磕绑给他捂的
[1176.29-1178.01] 租金多少钱一平米
[1179.27-1180.35] 比如说十块一平米
[1181.51-1187.88] 我哥给我的零售价永远忘记这个秘密
[1187.88-1190.14] 我觉得是四十块钱一平米
[1190.14-1193.04] 而且我觉得你应该把钱都付给你哥了
[1194.42-1196.40] 冰雪聪明小机灵鬼黄光玉
[1196.40-1198.38] 对我刚才说错了
[1198.38-1201.14] 我我记忆不好
[1201.14-1202.40] 您说对我想起来了
[1203.30-1205.70] 四十五块钱一一平米
[1205.70-1207.62] 而且我都付了二十年都付了
[1207.62-1209.54] 你不信你让我让我哥给你出证据
[1210.98-1212.96] 他把他左口袋付右口袋
[1212.96-1215.60] 他左手他做资金生意的
[1215.60-1217.46] 他他把三十个亿趴在账上
[1217.46-1219.08] 他左手给黄金黄俊钦
[1219.08-1223.34] 右手不用还黄王黄俊烈黄烈了吗
[1223.34-1226.42] 还那一段不让你看啊
[1226.42-1227.30] 火车又来了
[1227.30-1229.78] 把你板嘴跑火车他就来啊配合我
[1230.84-1235.64] 但是这边给你看租房子里边给你看话
[1235.64-1237.50] 我我哥把钱还我不告诉你
[1237.50-1240.74] 不告诉你哥俩好操我们俩的事乐意
[1241.76-1243.80] 但是我们俩这边那公事公办
[1245.42-1248.54] 他说您这租金是不是有点高啊
[1249.62-1252.68] 大哥两千年民不举官不纠
[1253.34-1255.50] 人高黄帝远谁他们去举报这事
[1255.50-1258.14] 再说了你举报这事有什么意义呢
[1258.14-1260.18] 全满大陆有谁懂啊
[1260.18-1261.52] 我还在香港混呢
[1261.52-1262.24] 我还没回来的
[1262.24-1263.84] 狼先平还没出现呢
[1263.84-1266.54] 没人懂宅宅山英宅副主席
[1266.54-1269.18] 当时可能还在什么什么哥华混
[1270.62-1274.04] 所以中国那时候真是老土大陆表述
[1274.04-1274.52] 没人懂
[1276.14-1277.64] 凭了多少多少钱呢
[1277.64-1278.84] 凭了大概十来个亿吧
[1278.84-1283.24] 不多十来个亿就这么就这么荒唐
[1283.24-1286.78] 十来个亿两个办公室啊
[1286.78-1291.22] 也放进了精华自动化增发新股购买这个合约
[1291.22-1295.14] 就变成了控股股东改名叫了国美电器
[1296.04-1302.02] 国民电器紧接着就把他在国内的这些门店什么烂七八糟的又评估一次
[1302.02-1302.26] 哎
[1302.26-1304.00] 那这回他熟了
[1304.00-1305.76] 他评估了88个亿港币
[1305.76-1307.00] 那时候港币比人民币还贵
[1308.32-1310.02] 88个亿港币是他自己评估
[1310.02-1311.50] 当然刚才我跟你讲了
[1311.50-1314.41] 刚才我跟你讲了
[1314.41-1316.99] 他那时候2000年他没来得及买楼啊
[1316.99-1320.17] 他那时候还在第一阶段和第二阶段的一部分
[1320.17-1322.75] 就是因为他98年刚开第一个大大卖场
[1322.75-1324.43] 就是农村大卖场
[1324.43-1326.35] 还没有完成包围城市战略
[1326.35-1328.57] 农村大卖场虽大
[1328.57-1330.81] 农村大卖场里的货都他妈是别人的
[1330.81-1331.75] 都是张睿敏啊
[1331.75-1332.83] 什么什么春兰呀
[1332.83-1334.51] 什么呃
[1334.51-1337.03] 董明珠人家的那不是你和老黄呢
[1337.03-1337.69] 没事
[1337.69-1338.71] 又忘了
[1339.85-1341.65] 老黄有现金
[1341.65-1342.79] 而且老黄是他们的爹
[1342.79-1344.35] 因为他们都一直需要老黄的渠道
[1344.35-1348.61] 出去老黄左手把现金给他们把票开出来
[1348.61-1349.33] 这还不容易
[1349.33-1352.45] 又说你继续压你再多压你点
[1352.45-1353.59] 所以呢
[1353.59-1355.23] 他通过财务手段
[1355.23-1363.09] 他通过财务手段合理合法的就把那些他申来的货变成了归他的货
[1363.09-1363.81] 哎呀
[1363.81-1368.01] 您说他一一点东西没有也不客观
[1368.01-1369.57] 有十个亿
[1369.57-1370.89] 称此十个亿吧
[1370.89-1372.69] 真正属于他的净资产
[1372.69-1373.05] 十个亿
[1373.05-1384.46] 我黄总评了88亿港币泡泡十倍
[1384.46-1392.25] 他说为什么他呸嗯吹十倍就能发出股票来了
[1392.25-1394.71] 香港资本上美国资本上成熟资本上
[1395.91-1397.23] 你吹一万倍都行
[1398.43-1400.53] 为什么那股票都是你自己的
[1400.53-1403.59] 你自己发行新股自己买
[1403.59-1404.43] 你也不用付钱
[1404.43-1406.21] 你就挂个价格就行了
[1406.21-1406.77] 你停牌价
[1406.77-1408.59] 比如说一港币股
[1408.59-1409.35] 你88亿
[1410.73-1411.19] 平估值
[1411.21-1413.53] 然后你就去香港的那个注册所
[1413.53-1416.55] 联交所注册88亿股新股
[1416.55-1418.65] 你就有了88亿股新股
[1418.65-1420.09] 联交所才不管你是不是骗子
[1420.09-1421.77] 联交所你们愿意交钱
[1421.77-1422.77] 你交listing费
[1422.77-1423.45] 嘿嘿
[1423.45-1426.69] 保洁人什么什么这个承销商
[1426.69-1427.89] 人家也收你钱
[1427.89-1428.61] 那人家收你钱
[1428.61-1429.81] 会计师律师都收你钱
[1429.81-1431.43] 比如说收完你钱
[1431.43-1433.05] 你爱卖出去卖不出去
[1433.05-1434.19] 卖不出去砸你手里
[1434.19-1435.93] 天天跌跌跌跌到一分钱
