[1.30-6.96] 哈喽,大家好,又见面了,长夜漫漫无心睡眠
[326.78-328.94] 我坐邮轮去阿拉斯加看见过
[328.94-329.34] 那个冰川
[329.36-331.22] 正在融合溶解的冰川啊
[332.48-340.04] 你能明显的感觉到现在的冰川实际上是在地球巨大的冰川历史中比较他这个舌头的话
[340.04-341.36] 他真的比较长
[341.36-342.74] 他虽然在往回缩
[342.74-344.62] 但是还是比较长
[344.62-346.48] 在历史的大潮中
[346.48-348.80] 在过去的这不用太久
[348.80-350.90] 就几百万年的这个时间里面
[350.90-355.64] 最近是一个小冰河期的一个相对温暖的时间
[357.26-357.86] 正好
[357.86-359.18] 在我邮轮
[359.18-359.34] 对
[359.34-367.80] 过做着加拿大地矿地质部门的两个华裔的专家夫妻俩就是做这个地质研究的
[368.80-370.58] 我当时就质疑他们这一点
[370.58-373.02] 我说你看你看冰川笑容程度
[373.02-375.02] 你看冰川里边的积累程度
[375.02-380.16] 你就能看到近现代就最近这几十年冰层上是有污染物
[380.16-386.28] 是我们排放人类排放的这些化石燃料使得冰层遭到污染
[386.28-388.22] 但是我说你再往下看
[388.22-389.16] 我会发现
[389.16-392.02] 大概在距今十万年左右的时候
[392.02-392.80] 那一层污染
[392.80-394.92] 我要比现在厚得多
[394.92-395.76] 再往下看
[395.76-398.16] 在距今将近一百万年的时候
[398.16-400.44] 那个污染物简直是人类
[400.44-401.64] 今天就是一个拿性
[402.60-403.44] 我看见了
[403.44-404.10] 你给我解释
[404.10-405.00] 他解释不了
[405.00-405.48] 他解释不了
[406.54-407.46] 那只能一个解释
[407.46-411.30] 就是当时全球的热带雨林森林都在燃烧
[411.30-413.76] 才能造成那么时候的污染物
[413.76-415.62] 当然还有一个可能就是
[416.64-417.60] 那是一代文明
[418.68-418.98] 那是文明
[418.98-419.76] 那是文明的痕迹
[419.76-421.98] 而那一代文明比我们要发达的多
[423.12-425.80] 所以如果我们发散思维的话
[427.30-428.40] 那你地球变暖
[428.40-430.74] 这可是不是个骗局呀
[430.74-434.70] 这个或者说地球一夜地球是在变变暖
[434.70-435.60] 但是地球变暖
[435.60-437.30] 地球真的hold不住吗
[437.30-438.58] 地球真的发烧了吗
[438.58-439.76] 不是吧
[439.76-441.06] 地球还在冬天呢
[441.06-442.62] 他就是发烧
[442.62-447.30] 离平均全球温暖期的温度差老远了
[447.30-447.92] 所以你这
[448.98-451.80] 对于老王来说我是不能接受的
[451.80-453.12] 我们在这儿飘远了
[453.12-454.26] 今天话题飘远了
[454.26-456.58] 那我们就再拉回来今天聊什么呢
[456.58-459.50] 就聊一下这个移民的三个阶段
[460.98-463.68] 我觉得从我的个人感觉来说呢
[463.68-465.72] 我们中国大陆这一波移民呢
[465.72-468.06] 我们有三个心理和生理适应阶段
[469.08-470.70] 听我们慢慢道来
[470.70-471.90] 第一个阶段
[471.90-474.42] 第一个阶段就是恐惧期
[474.42-478.52] 所有的你们即将润出来的和已经刚润出来的人
[478.52-480.26] 你们一定能理解我说的这个话
[480.26-483.92] 这个心理恐惧期不光是发生在你们的孩子身上
[483.92-485.12] 不光是小朋友
[485.12-487.52] 父母其实也有恐惧
[487.52-488.96] 就是我跟大家讲一下
[488.96-491.14] 我还是砸挂我自己
[491.14-493.96] 我2011年左右刚移民的时候
[493.96-495.38] 我天天健身
[495.38-497.30] 我天天健身
[497.30-498.98] 我那时候肌肉块比现在还要大
[498.98-499.48] 为什么呢
[499.48-500.44] 因为有不安全感
[500.44-502.04] 其实我扪心自问
[502.04-502.94] 我是有不安全感
[503.90-506.52] 我觉得我必须变得强壮一些
[506.52-507.20] 这样的话
[507.20-508.52] 一一真的有不安全感
[508.52-510.74] 有坏人什么零元购之类的
[510.74-512.42] 这个打进我们家的话
[512.42-514.82] 我至少不是手无缚鸡之力
[516.14-517.82] 至少是从体型上也好
[517.82-519.26] 从状态上也好
[519.26-520.84] 能给对方一定的威慑力
[520.84-524.06] 这个就是保护家人的这样一个本能
[524.06-525.38] 你看这是第一阶段
[525.38-526.84] 那么在这一阶段呢
[526.84-531.92] 我们我们趋向的这个这个行为模式呢
[531.92-538.52] 就是尽可能的在身边和周围复制自己以前曾经熟悉的生活环境
[538.52-542.18] 如果能够升级自己熟悉的生活环境的话
[542.18-543.84] 那就更好不过了
[543.84-547.50] 所以大量的像北京移民的话
[547.50-548.94] 他会选择本拿比
[548.94-553.90] 我们温哥华本拿比有些核心区高楼大厦特别漂亮
[553.90-555.34] 因为它像城市
[555.34-556.04] 他觉得啊
[556.04-557.38] 这个简直比北京还好
[557.38-558.34] 或者差不多
[558.34-560.04] 是个微缩版的北京上海
[560.04-561.38] 他们就会选那儿啊
[561.38-562.78] 这是大陆的新移民
[562.78-563.28] 为什么呢
[563.28-564.64] 因为温哥华是地路平原
[564.64-565.90] 它是个冲击平原
[565.90-567.34] 除了本拿比的山
[567.34-568.14] 山上有那个岩层的山
[568.14-568.52] 山上有那个岩层的山
[568.52-570.86] 岩层能造摩天大楼之外
[570.86-572.68] 其他的地方
[572.68-573.54] 你像列治文啊
[573.54-575.52] 之类的是造不了太高的楼的
[575.52-577.64] 因为全是浮土压出来的地
[577.64-579.12] 那你要是建楼的话
[579.12-579.68] 时间长了
[579.68-580.98] 楼就楼就歪了
[580.98-583.54] 所以如果你们在列治文这样的地方居住的话
[583.54-586.46] 你们会发现有很多很大的挡土墙
[586.46-589.86] 水泥块造出来的像城墙一样的东西
[589.86-591.12] 围成个四方形
[591.12-593.84] 大概有五六楼那么高啊
[593.84-596.52] 里边填满了那个沙子
[596.52-597.36] 那是干什么呢
[597.36-598.46] 那就是要盖一个
[598.46-598.50] 那就是要盖一个
[598.50-600.06] 还不是摩天大楼
[600.06-602.34] 盖个二十层左右十几层的楼
[602.34-603.76] 就要先干这件事
[603.76-607.32] 要把那个列治文的那个松软的地层啊
[607.32-608.58] 要给他先压压实
[608.58-609.86] 把里边的水都排出去
[609.86-614.06] 那个压的重量就是超过将来这个楼体的重量
[614.06-616.24] 压个至少要压半年
[616.24-617.64] 甚至要压一年的时间
[617.64-621.78] 然后让这个地形的这个地质变化变形结束
[621.78-625.18] 然后再把这个表面的沙子铲掉
[625.18-626.34] 在上面盖楼
[627.30-628.24] 而本拿比
[628.50-629.28] 就没这个问题
[629.28-630.54] 本拿比底下是岩石
[630.54-632.12] 他就可以直接盖上大楼
[632.12-637.56] 所以昨天我去那个amazing什么blandwood吧之类的那个地方
[637.56-638.64] 那我就感觉哇
[638.64-643.14] 那真的是像北京上海那种大的城市综合体的感觉啊
[643.14-645.02] 然后干了刚来的人就会觉得哇
[645.02-646.02] 这儿太好了
[646.02-647.12] 太安全了
[647.12-648.36] 你想我们刚来的时候
[648.36-650.04] 那时候本拿比还没有发展成这样
[650.04-651.12] 那如果发展成这样
[651.12-653.28] 可能我们也会选本拿比了
[653.28-654.78] 那我们就选了列治文
[654.78-655.50] 刚来的时候
[655.50-657.32] 我建议所有的新移民
[657.32-658.50] 如果你们选温哥华的话
[658.50-660.84] 我建议你们选列治文
[660.84-662.10] 为什么
[662.10-662.82] 有的人说哎
[662.82-665.50] 列治文是不是三幼知那呀
[665.50-668.12] 这个中国人的劣根性啊
[668.12-668.94] 这话说的
[669.88-670.98] 你就是中国人
[670.98-672.02] 你以为你自己是谁
[672.02-673.26] 心里没个B数
[673.26-675.54] 你就是那个你自己最想远离的人
[675.54-677.76] 所以你你你清醒点吧
[677.76-679.02] 你还到列治文去吧
[679.02-681.06] 列治文的普通老百姓都比你素质高
[681.06-681.54] 因为你呀
[681.54-682.68] 刚他们出来
[682.68-685.86] 人家好歹出来个五六年十来年几十年了
[685.86-687.54] 人家你就是再瞧不起人
[687.54-688.48] 人真的比你了
[688.50-689.50] 技术素质要高的
[689.50-693.04] 还还你们笑话我这两句英语
[693.04-694.10] 我是怕你们听不懂
[694.10-694.64] 哈哈
[694.64-695.70] 我承认我吹牛逼
[695.70-696.72] 我是有中国口音
[696.72-699.56] 但是我的听力绝对比你们大部分人好
[699.56-700.76] 我是杠杠的
[700.76-702.68] 这个高中英语八年级呀
[702.68-704.76] 我考进去的八年级
[704.76-706.48] 而且我呃入籍
[706.48-711.42] 我考四培罗考基本上都是八分以上九分
[711.42-713.92] 呃我我考试九分还是更高
[713.92-716.04] 反正我都我的分挺高的
[716.04-718.14] 所以这个呃
[718.14-719.52] 我的英语没有那么烂
[719.52-721.46] 我跟你们那个这边工作了十几年
[721.46-723.78] 那天天跟老外在一起的人比试差点
[723.78-726.02] 但是我们其实只差三天的时间
[726.02-728.28] 我只要天天跟老外在一起
[728.28-729.96] 只要是一个星期以后
[729.96-732.36] 你再听我讲就没有那些问题了
[732.36-734.64] 因为我天天在使用中文
[734.64-735.66] 而没有机会
[735.66-737.34] 没有什么机会讲英文
[737.34-739.20] 所以我偶然讲英文的话
[739.20-740.52] 我会有口音啊
[740.52-741.10] 我会有口音
[741.10-742.32] 但这个口音很快就过去
[742.32-745.14] 因为我的听力观已经过了
[745.14-745.40] 好了
[745.40-747.28] 我们不再呃不再说用不着的
[747.28-748.10] 就是说我们这个西
[748.10-751.70] 心理的这种不适应和恐惧会驱使我们的选择
[751.70-754.42] 那么解决这个问题的方法不是强扭啊
[754.42-757.60] 不是我一定按了刚来的时候我就我就要去奶奶帽
[757.60-759.26] 我就我就要去维多利亚
[759.26-761.24] 嗯那你你会很不快乐
[761.24-763.64] 你刚来的时候你还是最好选列治文
[763.64-765.54] 这样对你们的子女有好处
[765.54-770.00] 因为列治文一个小学班里边三十个孩子有二十个是中国人
[770.00-772.72] 他很容易找到玩伴
[772.72-775.10] 而你选择一个所谓的真正的白人去
[775.10-776.84] 没有三又费拉的
[776.84-777.96] 你孩子
[777.96-779.10] 会抑郁的
[779.10-781.28] 除非你孩子是个射牛
[781.28-781.80] 否则的话
[781.80-782.28] 小朋友
[782.28-783.54] 因为他更恐惧
[783.54-785.28] 他会没有朋友
[785.28-788.52] 有些女孩会陷入不说话的状态
[788.52-791.64] 真的不要把你的孩子给real啊
[791.64-793.08] real就是烤啊
[793.08-794.58] 这是在烤肉啊
[794.58-798.00] 所以你能能有列治文这样的一个小阶梯
[798.00-798.84] 为什么不用呢
[798.84-800.16] 本来比这样小阶梯
[800.16-802.72] 为什么要一把就草
[802.72-803.84] 你就像举杠铃一样
[803.84-804.36] 我操你呀
[804.36-807.18] 开开把第一把操抓举就是什么
[807.18-807.78] 三百公斤
[807.78-809.50] 那完了你胳膊也废了
[809.50-811.02] 人也会被砸死
[811.02-812.64] 所以真的是这个恐惧
[812.64-813.86] 这是第一期
[813.86-818.76] 第一期的解决办法就是尽可能的找你熟悉的环境切入
[818.76-820.20] 人生很漫长
[820.20-822.78] 你慢慢的你先在这过度过度
[822.78-824.40] 这是第一个阶段
[824.40-825.72] 第二个阶段就是什么
[825.72-826.98] 就是什么玩野了
[826.98-829.10] 为什么一发现有第一
[829.10-830.40] 这个国家没有种族歧视
[830.40-832.16] 还真的是没有种族歧视
[832.16-832.44] 第二
[832.44-833.94] 这个国家的本地人
[833.94-837.76] 无论是白人还是ABC都民风淳朴啊
[837.78-839.28] 你只要你会两句英语
[839.28-840.78] 他们都愿意帮助你
[840.78-847.62] 只要你去请对方领一一扎啤酒过去
[847.62-850.22] 给新邻居敲敲门放那儿
[850.22-851.88] 第二天一定会收到一束鲜花
[851.88-853.80] 就是非常文明
[853.80-854.60] 非常礼妙
[854.60-855.18] 然后呢
[855.18-856.56] 就欲望膨胀
[856.56-857.58] 第二个阶段什么呢
[857.58-860.28] 也越远越好
[860.28-862.50] 你比如像我们在温哥华地区的话
[862.50-864.02] 就奔兰里去了
[864.02-866.64] 甚至奔阿波斯福德去了
[866.64-867.34] 为什么
[867.34-868.24] 便宜啊
[868.24-868.84] 地大呀
[868.84-869.38] 在列治文
[869.38-870.64] 比如说你花两百万
[870.64-873.88] 你你只能买一个很局促的别墅
[873.88-877.18] 在阿波斯福德两百万能买十个英亩
[877.18-878.74] 哎呀我他十英亩
[878.74-880.60] 我他十英亩多少多少亩啊
[880.60-881.54] 六十多亩
[881.54-884.10] 将近七十亩的中国母啊
[884.10-887.62] 所以他们就也没有不安全感了
[887.62-888.22] 就也了
[889.12-891.16] 要走远要盖大房子
[891.16-892.38] 要远离人群
[892.38-896.92] 要享受北美的天高皇帝远享受自由
[896.92-900.28] 我们叫off grid off off off grid
[900.28-902.98] 就是城市那个供水供电那个片
[902.98-904.48] off grid off grid就是什么
[904.48-906.40] 就完全远离市政
[906.40-907.66] 去一切自给自足
[907.66-909.28] 这这些阶段我都经历过
[909.28-911.02] 而且穿一身猎装
[911.02-912.76] 肌肉线条辈漂亮
[912.76-914.06] 这个时候你会遇到什么问题
[914.06-914.62] 弟兄们啊
[914.62-916.60] 这个这问题我都遇到过
[916.60-920.32] 你的观念会回归中国封建传统
[921.28-924.14] 一尔顶百女真的是这样
[924.14-925.84] 当你真的出现在
[926.92-928.36] 农田农场的时候
[929.44-933.34] 弟兄我跟你们讲一个爷们你就会发现顶他妈的十个老娘们
[933.34-934.66] 真的是一尔顶百女
[934.66-935.50] 这是我的原话
[935.50-937.90] 我跟我我跟我孩子妈说
[937.90-940.18] 我说你看是不是一尔顶百女
[940.18-942.28] 为什么拖拉机坏了
[942.28-946.04] 你十七八岁的男孩子就能跟爸爸一起把拖拉机东西给搬起来
[946.04-947.92] 女孩真不行
[947.92-950.44] 他这是生理局限
[950.44-952.18] 所有的重型机械
[952.18-955.56] 他的设计全是用男性能拎起来
[955.56-956.86] 很能抓钻的洞
[956.86-959.08] 拧的洞为极限的
[960.08-962.50] 女士他就真的拧不动
[964.00-965.74] 你要说飞来杠精了
[965.74-970.96] 说女谁说女子不如男女子像贾玲那样也能拧得动
[972.04-972.76] 我不否认
[972.76-973.96] 可能那样也能拧得动
[973.96-977.44] 但是你希望你老婆变成那个样子吗
[977.44-978.40] 变成那个样子
[978.40-981.04] 你的人生的质量不会太高哦
[981.04-982.90] 而且晚上你很危险
[982.90-984.52] 所以男女还是有别
[984.52-986.84] 你还是希望你老婆在房间里烤烤面包
[986.86-987.90] 照顾照顾小朋友
[988.90-991.84] 做做早餐给你准备好香喷喷的晚餐
[991.84-996.82] 然后你臭汗流干活干的一天回家吃个热乎热乎饭
[996.82-997.36] 对不对
[997.36-999.04] 你是希望这样的人生吧
[999.04-999.94] 你没有儿子不行
[1001.14-1001.80] 听明白了
[1001.80-1002.94] 你没有儿子不行
[1002.94-1004.08] 买他们什么农场
[1004.08-1006.18] 什么农场你都买不了
[1006.18-1010.26] 你像我们文化有大富去萨省买农场
[1010.26-1013.14] 买麦子地玩的特别棒
[1013.14-1014.62] 现在都是五百A克
[1014.62-1015.72] 一千A克的规模了
[1015.72-1016.08] 为什么三个A克的规模了
[1016.08-1017.58] 三个儿子
[1017.58-1018.48] 而且都成年了
[1019.48-1022.44] 三个儿子每个都一米八五壮汉
[1022.44-1024.78] 加上他四个男四个汉子
[1024.78-1028.02] 那什么大型机械他都摆得转
[1028.02-1029.34] 什么联合收割机啊
[1029.34-1031.06] 大型拖拉机他都摆得转
[1031.06-1032.70] 你像我这就开春了
[1032.70-1034.08] 你们就能看见我的拖拉机
[1034.08-1035.80] 我拖拉机缩缩缩又缩
[1035.80-1038.28] 再缩拖拉机就变成割草机了
[1038.28-1041.58] 我那个是库巴塔九宝田最小的拖拉机
[1041.58-1043.12] 为什么大拖拉机
[1043.12-1044.22] 我一个人搞不定
[1044.22-1045.06] 我没有儿子
[1045.06-1045.72] 就这么简单
[1045.72-1046.92] 我不能雇个人
[1046.92-1047.52] 你雇个人
[1047.52-1048.54] 你不是就扯鸡蛋吗
[1048.54-1050.46] 就是就相当于你开个餐馆
[1050.46-1051.30] 你雇了个厨子
[1051.30-1053.82] 结果你挣的钱全是厨子的工资
[1053.82-1055.98] 你这老板就是嘴顶嘴
[1055.98-1058.44] 所以第二个阶段就是什么野了
[1058.44-1059.52] 但是玩了
[1059.52-1062.34] 但是就会发现受物理条件限制
[1063.50-1065.04] 第一你得足够强壮
[1065.04-1066.48] 第二你得有工科难
[1066.48-1068.34] 理工难的物质基础
[1068.34-1069.30] 就是知识基础
[1069.30-1071.28] 你得会动手
[1071.28-1071.84] 车工
[1071.84-1072.72] 钱工
[1072.72-1074.16] 电工
[1074.16-1074.92] 这个机修工
[1074.92-1076.48] 你都得懂一点
[1076.48-1077.20] 包括水
[1078.70-1079.64] 你不一定精通
[1079.64-1080.82] 你不一定有license
[1080.82-1082.60] 但是你DIY的能力必须有
[1082.60-1084.34] 你至少知道该怎么弄
[1084.34-1085.78] 这时候你才去雇人的话
[1085.78-1087.88] 你的效率是最高的
[1087.88-1091.60] 因为你可以把自己理解成为一个
[1091.60-1093.22] 你既是一个物业公司
[1093.22-1093.96] 什么物业公司
[1093.96-1096.10] 就是你们家的房子是个大独栋的房子
[1096.10-1097.72] 而且这边的房子特别大
[1099.46-1101.08] 你就是个物业公司啊
[1101.08-1103.80] 你从绿化到修房顶
[1103.80-1104.54] 到修
[1104.92-1106.48] 那是家里边这么家电
[1106.48-1108.94] 什么车库的推拉门坏了
[1108.94-1109.84] 弹簧断了
[1109.84-1112.24] 车库弹簧每隔十年就要断一次的
[1112.24-1113.38] 它是有寿命的
[1113.38-1117.52] 然后那个推拉机就是拉车库门的机器
[1117.52-1119.32] 这些东西你都要会修
[1120.34-1121.06] 你知道吗
[1121.06-1123.98] 你作为一个男人都要能handle得住
[1123.98-1126.04] 如果你不会修的话
[1126.04-1128.44] 你和你老婆都会有不安全感
[1128.44-1130.80] 你老婆的不安全感会非常强
[1130.80-1131.62] 因为坏了之后
[1131.62-1132.60] 打电话找工人
[1132.60-1134.28] 不一定工人随叫随到
[1134.28-1134.82] 尤其是
[1134.92-1137.68] 你住的远不是中国区列治文的工人随叫随到
[1137.68-1138.70] 因为那都是中国人
[1138.70-1140.74] 中国人永远不放假啊
[1140.74-1142.36] 抓起电话就能叫来
[1142.36-1145.42] 可是除了城市中心之外哪有啊
[1145.42-1146.86] 你就得等啊
[1146.86-1150.58] 所以你能想象在寒风中
[1150.58-1152.30] 你最冷的那几天
[1152.30-1155.30] 你家的暖气的锅炉坏了
[1155.30-1159.22] 也许只有锅炉的那个防冲击保护器也烧了
[1159.22-1160.56] 如果是你是工科男
[1160.56-1164.26] 你去亚马逊十家园能买俩
[1164.26-1166.96] 你用手工焊焊上装回去就好了
[1166.96-1169.42] 但是如果你不会你要等风机
[1169.42-1170.68] 你要换个风机的话
[1170.68-1172.96] 因为他在风机里边你你不懂的话
[1172.96-1173.86] 你拆不开的
[1173.86-1174.78] 你要换风机
[1174.78-1178.42] 第一风机两千加币或者一千多美元一台
[1179.36-1183.10] 第二你从美国原厂订风机
[1183.10-1185.56] 两个星期能到你家算快的啊
[1185.56-1186.76] 一个星期到两个星期吧
[1186.76-1187.60] 冬天啊
[1188.62-1189.86] 一个星期意味着什么
[1189.86-1192.40] 你们家的温度还能要吗
[1192.40-1193.40] 所以这个就是你
[1193.40-1196.28] 当你真正心野了以后离开城市之后
[1196.28-1199.94] 你必须具备的物质能力和人员能力
[1199.94-1203.06] 你这个时候就能充分理解到人是资源
[1203.06-1204.44] 儿子是资源
[1204.44-1208.22] 他真的是有个十五六岁的大儿子
[1208.22-1210.40] 那个就你能干很多事
[1210.40-1213.52] 而且你必须养大狗很大的狗
[1214.70-1216.34] 狗最好像狼那么大
[1216.34-1216.90] 为什么
[1216.90-1217.86] 你像我那农场里
[1217.86-1219.70] 我根本养不了鸡弟兄们
[1219.70-1220.66] 我也养不了羊
[1220.66-1222.16] 为什么我只要一打瞌睡
[1222.16-1223.32] 他们就没了
[1223.40-1224.60] 他们去哪了
[1224.60-1227.48] 有狼有舍利
[1227.48-1228.44] 有黑熊
[1229.58-1231.90] 呃有那个那个东西也挺凶的
[1231.90-1234.92] 就是那个特别可爱的干脆面
[1234.92-1236.78] 那玩意也吃鸡
[1236.78-1237.56] 还有狐狸
[1239.96-1242.28] 还有天生还有鹰鹰笋
[1242.28-1244.64] 这他妈的烈士动物太多了
[1244.64-1246.40] 因为这儿是自然界
[1246.40-1247.50] 你还不能打
[1247.50-1248.20] 你不能打
[1248.20-1249.02] 因为你打犯法
[1250.22-1251.84] 那你只能防
[1251.84-1253.28] 那就是有养驴
[1253.28-1253.90] 房的没错
[1253.90-1254.42] 你没听错
[1254.42-1256.58] 有养驴房的驴很凶的
[1256.58-1257.94] 呃有养草泥马房的
[1257.94-1260.00] 那个大草泥马是也很凶
[1260.00-1261.98] 但更多的是养狗养狗
[1261.98-1264.22] 那你想泰迪这就不好使了
[1264.22-1265.20] 什么泰迪啊
[1265.20-1266.04] 呃
[1266.04-1269.04] French那些那些小玩具狗就都不行了
[1269.04-1271.16] 就是至少得牧羊犬苏木
[1271.16-1272.60] 或者是黑贝
[1272.60-1276.14] 他就当然更大一点的就就更更安全了
[1276.14-1276.98] 有两只的话
[1276.98-1278.74] 那你这个农场就是科宝
[1278.74-1280.76] 你农场家畜无鱼
[1282.26-1283.26] 这就是没儿
[1283.28-1284.24] 儿子不行
[1284.24-1285.56] 没能力不行
[1285.56-1286.94] 我说我说的都是实在话
[1286.94-1287.90] 这是第二个阶段
[1287.90-1289.76] 你已经演了第三个阶段叫什么
[1289.76-1291.26] 小小家大世界
[1292.40-1293.60] 什么叫小家大世界呢
[1293.60-1295.14] 你们孩子们纷纷也都长大了
[1295.14-1296.06] 也都走了
[1296.06-1297.02] 不理你了
