[2.22-4.14] 哈喽 大家好 又见面了
[4.14-6.04] 昨天跟大家聊了聊钻石
[921.26-922.02] 之后我就看不见了
[922.78-923.56] 那
[923.82-925.10] 在
[925.60-926.62] 戴蒙德这个事上
[927.66-928.42] 也变成死穴
[928.42-928.94] 就是戴蒙德这个事儿
[929.20-930.48] 戴蒙德是不是经营性企业
[930.74-933.80] 戴蒙德实际控人到底是王中会毕立军还是你张蓓莉
[934.06-935.08] 你说得清楚吗
[935.34-938.92] 如果不是你张蓓莉的话戴蒙德怎么拿到那么多的特权
[939.18-939.94] 怎么
[940.20-942.26] 国家珠宝钻石鉴定的这个
[942.76-943.54] 这个
[943.78-944.82] 特权都在这
[945.84-946.60] 这个
[946.86-950.18] 毕立军作为中国珠宝玉石协会的后来的秘书长
[950.44-951.72] 他怎么是
[951.98-955.56] 戴蒙德公司的副总经理总经理王中会到底是什么人
[955.82-958.64] 这些东西都是经不起推敲的所以温总当时呢
[959.46-959.96] 责令
[960.74-962.26] 戴蒙德公司必须停业
[962.52-966.36] 所以戴蒙德公司经营的好好的没有任何问题
[967.38-968.42] 嘎然而止
[968.66-969.44] 退市
[969.70-970.46] 解散
[970.98-972.26] 就是因为
[972.76-974.30] 温家宝要当总理
[974.56-976.60] 而这个事儿是政敌攻击他的一张牌
[977.12-977.88] 所以戴蒙德
[978.14-980.96] 如日中天的时候就突然消失于人间了
[981.46-982.50] 就是这么一个过程
[982.74-984.80] 那王中会就好寂寞呀
[985.06-985.82] 好寂寞呀
[986.08-987.36] 干了一半干不成了
[987.36-988.90] 所以王中会就一直缩在那儿
[989.20-989.96] 做一些小买卖
[990.22-992.26] 他也不敢再大张旗鼓的做了
[992.52-994.82] 温家的新的白手套也不敢再用他们了
[995.08-997.14] 那毕立军就直接回保育师中心
[997.38-998.42] 继续做他领导去了
[998.66-1001.74] 那王中会不甘心做领导还想经商
[1002.00-1005.84] 他就又做了一些其他的生意包括买卖壳跟我谈之类的
[1006.10-1009.68] 缩在这个西单的这个山水宾馆
[1009.94-1012.74] 做一个战战兢兢如履薄冰
[1013.78-1015.06] 这样的一种状态
[1016.08-1018.64] 那后来温家找的新的白手套
[1018.94-1020.22] 就是沈栋啊
[1020.48-1022.78] 还有那个段伟红啊
[1023.04-1024.32] 那个女的
[1024.58-1026.36] 那就是后来的another story
[1026.62-1027.14] 后来的故事
[1027.38-1028.16] 就是
[1028.42-1031.22] 之前在温崛起的这段时间
[1031.48-1032.26] 张公
[1032.76-1035.84] 在保育师行业的这样一个崛起的过程中
[1036.10-1037.88] 用的人是王中会和毕立军
[1039.68-1042.24] 那紧随代孟哲起来的
[1042.50-1044.80] 在西安
[1045.30-1046.84] 西安还有一个
[1047.36-1048.90] 同样的民营企业上市公司
[1049.20-1050.74] 珠宝行业的叫达尔曼
[1051.24-1053.30] 这个公司的壳现在在王中会手里
[1054.06-1056.10] 那个达尔曼后来就是第一个
[1056.36-1058.92] 退市的这样一个珠宝企业叫ST达尔曼
[1059.18-1059.70] 后来就是
[1060.20-1062.76] 各种破产清算重整之类的
[1063.78-1065.06] 达尔曼是怎么来的
[1065.84-1068.40] 达尔曼的老板叫许什么林
[1068.66-1071.22] 我忘了他现在在加拿大在温哥华呢
[1071.72-1072.74] 这个哥们呢
[1073.52-1075.82] 他以前也是开这个五金店杂货铺的
[1076.34-1077.62] 后来就认识了王中会
[1077.86-1078.90] 那个是就
[1079.20-1081.76] 在王中会做代孟德的时候起家的时候
[1082.02-1083.80] 他达尔曼呢就在西安
[1084.06-1084.82] 因为西安是个旅游城市
[1085.08-1086.10] 他就想开珠宝店
[1086.36-1087.14] 开钻石店
[1087.38-1089.44] 就攀上了王中会这条大腿
[1089.70-1090.20] 就是
[1090.46-1091.22] 张公的这条大腿
[1091.74-1094.30] 那很快呢他就开始在西安
[1094.56-1096.60] 开各种各样的达尔曼的珠宝店
[1098.40-1100.70] 这个珠宝店开其实也没有什么
[1100.96-1102.74] 你就开开吧然后很快也上市了
[1103.00-1104.28] 大概也就是95年96年
[1104.80-1106.08] 他也上市了
[1106.34-1107.62] 因为他认识张公嘛
[1107.86-1108.90] 那么温总在后面
[1109.20-1110.98] 上市指标还不容易
[1111.50-1113.54] 拿到上市指标A股上市
[1114.06-1115.60] 上市圈了好多钱几个亿
[1115.86-1116.62] 但是呢
[1116.88-1119.18] 这个徐总和他老婆何总
[1119.44-1120.20] 和平乐和
[1121.22-1122.26] 何总呢就
[1122.50-1123.28] 就
[1123.54-1124.04] 比较
[1124.30-1125.58] 有润的意识
[1125.84-1127.88] 就是在90年代他们俩就想润
[1128.14-1129.16] 他们俩干什么了呢
[1129.42-1131.46] 现在在互联网上已经没有这个痕迹了
[1131.98-1132.50] 他们俩
[1132.74-1135.06] 是中国最早知道告时的秘密的人
[1135.82-1136.34] 告时
[1137.10-1138.12] 告时不是钻石
[1139.20-1140.74] 因为告时长得很像钻石
[1140.98-1142.52] 但是比钻石便宜得多
[1144.06-1146.36] 他们俩呢买了大量的告时
[1147.14-1148.66] 然后就说这是钻石
[1149.18-1151.48] 然后抵押给了华夏银行
[1151.74-1153.28] 然后华夏银行
[1153.54-1154.82] 把这些告时呢
[1155.06-1157.12] 作为资产
[1157.38-1159.68] 作为钻石资产
[1160.18-1163.52] 就发行了在西安发行了大量的理财产品
[1164.54-1166.84] 这说话的大概是1998年的事
[1167.36-1168.90] 1998年到2003年
[1169.20-1170.22] 23年之间这5年
[1170.98-1174.32] 达尔曼公司作为一个上市公司用它的A股
[1174.58-1175.86] 的增信信誉
[1176.10-1176.88] 和
[1177.14-1178.16] 假告时
[1178.92-1181.74] 在西安市场华夏银行
[1182.00-1185.06] 发行大量的钻石信托
[1186.10-1188.40] 中国最早的钻石信托
[1188.90-1190.18] 钻石理财产品
[1190.44-1191.46] 银行发行的
[1191.98-1194.28] 相对来说都是给
[1194.54-1195.82] 自然人发行
[1197.10-1198.12] 年收益很高
[1199.20-1199.70] 这是达尔曼做的
[1200.74-1202.52] 抵押物全是钻石
[1202.78-1204.32] 他妈一粒钻石都没有
[1205.08-1207.38] 所有的钻石都出了
[1208.42-1209.94] 钻石的证书
[1210.46-1211.22] 这世界
[1211.48-1212.26] 就这么乱
[1212.50-1213.78] 说多少老王说多少
[1214.04-1216.60] 老王现在因为我去过那天我已经忘了那个
[1216.86-1217.38] 具体数了
[1217.62-1219.94] 几十万克拉是有的
[1220.18-1221.46] 你没听错
[1221.72-1223.26] 几十万克拉是有的
[1223.52-1226.34] 一克拉一克拉不是几十是几十万
[1226.84-1228.12] 几十万克拉是有的
[1228.38-1229.66] 发行了几十亿人民币
[1231.20-1235.04] 那大家也可以想到那个钱去哪了那就就都运到加拿大了
[1235.54-1236.32] 然后呢
[1236.56-1239.38] 证监会就发现了因为达尔曼公司很快就自己
[1239.64-1240.92] 底债了他给他挖空了
[1241.18-1244.24] 他上市公司的钱就不停的进货钻石
[1244.50-1245.28] 向
[1245.52-1250.90] 卖家买钻石买来的全是钙石那卖家不用说卖家是谁卖家肯定是许总对不对
[1251.16-1254.24] 许总的左右手亲属们在卖给上市公司
[1254.48-1256.80] 钻石然后把钱从上市公司掏走
[1257.04-1258.08] 然后上市公司和
[1258.38-1259.40] 华尔银行发理财产品
[1259.66-1260.68] 忽悠来的资金
[1260.94-1262.48] 也都这么着掏走
[1262.72-1263.50] 掏走之后呢
[1264.00-1265.80] 上市公司窟窿填不平
[1266.06-1268.36] 过两三年这个账还不上他就
[1268.88-1269.64] 报亏损
[1269.90-1270.40] 报
[1270.66-1271.18] 债务
[1271.44-1273.22] 不良贷款不良债务
[1273.48-1275.52] 那引起了证监会的注意
[1275.78-1277.06] 和西安老百姓的抗议
[1278.08-1279.36] 成为当年的丑闻
[1279.62-1282.44] 应该这个事大概是00到03年之间
[1282.70-1285.00] 形成丑闻证监会立案查
[1285.52-1286.28] 公安
[1286.54-1287.56] 介入
[1287.82-1290.88] 移送公安公安侦查立案老许
[1291.40-1291.92] 就跑了
[1292.16-1292.68] 那个时候
[1292.94-1294.48] 大概是04、05年
[1294.98-1296.26] 许总就润了
[1296.52-1297.54] 他润得相当早
[1298.32-1300.10] 那润了之后这事就过去了
[1300.62-1302.92] 先过去了当时中国蒸蒸日上
[1303.18-1304.72] 银行也有的是
[1304.96-1306.76] 后来的钱去堵窟窿
[1307.02-1307.78] 所以呢这个
[1308.30-1309.32] 西安的这个
[1309.84-1312.40] 钻石信托的这个大窟窿
[1312.64-1314.44] 就被抹平于无形
[1314.70-1316.48] 甚至今天你在百度在谷歌
[1316.48-1320.58] 都已经找不到西安当时华夏银行钻石信托的痕迹了
[1322.12-1323.90] 当时我记得是发了8个亿的信托
[1324.16-1325.18] 我不知道我记得对不对
[1325.44-1327.24] 有西安本地的观众内行的
[1327.48-1329.02] 经历过那次
[1329.28-1331.32] 告实假钻石信托的
[1331.58-1333.64] 可以在我评论区或者写信提醒我
[1334.14-1334.92] 我记得是8个亿
[1335.16-1335.68] 没了
[1336.44-1337.48] 人民币啊
[1337.98-1339.00] 从那以后
[1339.26-1340.28] 从那天以后
[1340.54-1341.56] 从这个案子以后
[1342.08-1342.84] 钻石
[1343.36-1343.88] 被
[1344.38-1345.66] 所有的银行体系
[1345.92-1346.44] 银监会
[1347.00-1347.50] 禁止
[1347.76-1350.58] 作为银行贷款以及抵押的
[1350.84-1351.34] 抵押物
[1352.12-1353.40] 就是因为达尔曼干的
[1353.64-1354.92] 就是达尔曼
[1355.18-1357.74] 走自己的路让后人无路可走
[1358.00-1362.36] 我为什么知道这件事是因为我在做钻石我跟万子洪
[1362.60-1363.64] 搞那个
[1364.14-1365.42] 美克拉美的时候
[1365.68-1367.22] 那时候他没搞全城热恋
[1367.98-1370.80] 美克拉美在那个蓝色港湾的时候
