[10.58-15.58] 君子以自强不息 君子以厚德载悟
[15.58-18.58] 自强不息是我们干好事的时候的状态
[664.08-666.08] 你的那个传统有多少是必须改掉
[666.08-668.08] 有多少是必须保留的
[668.08-669.08] 之间这个度
[669.08-672.08] 直到今天还没有一个答案
[672.08-673.08] 大家还在切磋
[673.08-674.08] 还在探索
[674.08-675.08] 还在妥协
[675.08-676.08] 加拿大的历史
[676.08-678.08] 当你读到加拿大历史
[678.08-680.08] 你会发现它跟中国历史最大的区别是
[680.08-683.08] 中国的历史是一部战争史
[683.08-684.08] 大家不妥协
[684.08-685.08] 不是我要给你跪着
[685.08-686.08] 就你给我跪着
[686.08-687.08] 要不然咱们打一把
[687.08-688.08] 打一把
[688.08-690.08] 然后就哎呀打输了就跪下了
[690.08-692.08] 过两天就长起来
[692.08-693.08] 他又打一把
[693.08-695.08] 那加拿大的历史虽然不长
[695.08-698.08] 但是加拿大历史是一部谈判和妥协史
[698.08-700.08] 打仗的时间很短
[700.08-702.08] 或者几乎没有
[702.08-705.08] 兴罗奇姆的那几场战争
[705.08-707.08] 而且还都是很久以前的战争了
[707.08-710.08] 或者就是世界大战影响他的战争
[710.08-713.08] 他就参与全球的战争去了
[713.08-715.08] 他内部的内战就很少很少
[715.08-717.08] 然后内部的矛盾怎么解决
[717.08-718.08] 谈
[718.08-719.08] 就是坐下来谈
[719.08-720.08] 好
[720.08-721.08] 好处是什么呢
[721.08-724.08] 好处就是没有你死我活的解不开的子节
[724.08-726.08] 这个国家非常的平和
[726.08-728.08] 非常的怎么讲呢
[728.08-729.08] 效率低
[729.08-733.08] 这就是谈出来的国家的另外的一个
[733.08-735.08] 所谓的劣势
[735.08-736.08] 就是效率低
[736.08-738.08] 大家习惯了拉了
[738.08-739.08] 拉锯了
[739.08-742.08] 就是拉到这个平衡要失去了
[742.08-744.08] 才能达成妥协
[744.08-746.08] 从教师工会罢工
[746.08-749.08] 到加拿大的立法
[749.08-751.08] 这全都是这个过程
[751.08-754.08] 就是一谈就是几十年
[754.08-756.08] 就是甚至上百年的谈判
[756.08-759.08] 加拿大形成14个省的这个过程中
[759.08-762.08] 有些省份和加拿大中央政府之间的这个分裂
[762.08-764.08] 加入美国还是加入加拿大这个谈判
[764.08-766.08] 有的省份是谈了一百年的
[766.08-767.08] 所以这个
[767.08-769.08] 你在中国人的这个维度里边
[769.08-770.08] 谈你拿个皮谈呀
[770.08-771.08] 谈一百年
[771.08-773.08] 大军杀过去
[773.08-776.08] 就给我斩了
[776.08-778.08] 这是加拿大不这么玩
[778.08-780.08] 谈谈谈
[780.08-786.08] 唯一的一次因为统一或者分裂而发生的内战
[786.08-789.08] 就是梅蒂斯人曾经打过一次仗
[789.08-791.08] 梅蒂斯人那是在188几年
[791.08-793.08] 梅蒂斯人想独立
[793.08-795.08] 是在红河谷那个地区
[795.08-797.08] 就是那个牛仔那个地区红河谷
[797.08-800.08] 他们有个几百人上千人的军队
[800.08-802.08] 就那一支军队就很厉害
[802.08-803.08] 因为
[803.08-805.08] 大家都知道梅蒂斯人是什么概念
[805.08-807.08] 梅蒂斯人就是那个小
[807.08-809.08] 最夸的那种小牛仔
[809.08-810.08] 他妈的
[810.08-812.08] 那个一个梅蒂斯人的战斗力
[812.08-813.08] 因为一点不夸张
[813.08-815.08] 大概相当于五个白人
[815.08-817.08] 如果是华人
[817.08-820.08] 一个梅蒂斯人估计能干掉五十个华人
[820.08-823.08] 所以他们有一支两千人的军队就不得了了
[823.08-824.08] 太厉害了
[824.08-825.08] 这两千人激动性
[825.08-827.08] 你看一百多年前
[827.08-828.08] 那个马队
[828.08-830.08] 那个枪法
[830.08-832.08] 让加拿大头疼不已
[832.08-835.08] 所以加拿大为此成立了
[835.08-836.08] 叫西部骑警
[836.08-838.08] 就是今天的皇家骑警
[838.08-839.08] RCMP
[839.08-843.08] 皇家骑警的诞生就是为了镇压梅蒂斯那两千人
[843.08-845.08] 打了大概几年的仗
[845.08-846.08] 这个最后打出来了
[846.08-848.08] 没有军队打出来了一个警察
[848.08-852.08] RCMP就是打出来了一个武装警察
[852.08-854.08] 所以加拿大是这样一个国家
[854.08-856.08] 你看到的加拿大呢
[856.08-858.08] 是一个很和平的
[858.08-861.08] 没有什么死仇的
[861.08-862.08] 谈来谈去的
[862.08-866.08] 以妥协为最高境界的这么一个国家
[866.08-871.08] 还有就是西方社会为什么愿意接受那么多的难民
[871.08-874.08] 因为以前也和德国的本土同事聊过
[874.08-876.08] 他们并不反对接纳移民
[876.08-879.08] 虽然对于给予移民的特殊地位
[879.08-882.08] 或如比如犯罪的轻乏略有微词
[882.08-885.08] 加拿大接收了很多乌克兰难民
[885.08-888.08] 最近宣布接收巴勒斯坦裔加拿大人的亲属
[888.08-891.08] 这些我看有些华人发了一些牢骚
[891.08-894.08] 但我知道大部分西人应该是支持这些政策的
[894.08-895.08] 您是否就他们的文化思想
[895.08-897.08] 简单介绍一下原因
[897.08-899.08] 梁先生 梁武成
[899.08-901.08] 你这个问题问得非常好
[901.08-903.08] 这几乎是每个中国人都不能理解的
[903.08-905.08] 因为中国是一个五浊恶势
[905.08-907.08] 是一个互害社会
[907.08-909.08] 是一个丛林法则的社会
[909.08-912.08] 从丛林法则的体系下出来的人
[912.08-916.08] 是不能理解为什么一个天堂一样的国家
[916.08-920.08] 去接受五浊恶势的难民的
[920.08-922.08] 而且给难民那么好的好处
[922.08-924.08] 就是我们是一个纳税人
[924.08-925.08] 我们纳的税
[925.08-927.08] 你像我每年纳很多的税
[927.08-932.08] 纳的税都去支援这个难民了
[932.08-936.08] 难民所获得的待遇远远超过加拿大政府给我的待遇
[936.08-938.08] 因为加拿大政府认为我有权
[938.08-939.08] 有能力养活自己
[939.08-941.08] 所以几乎不给我任何待遇
[941.08-944.08] 也就是说包我的免费医疗
[944.08-947.08] 但是药啊什么我的洗牙呀
[947.08-949.08] 这个美容啊人家都不管
[949.08-951.08] 但是难民啊这些都管
[951.08-953.08] 这些都报销
[953.08-955.08] 洗牙的费用都给你报销
[955.08-958.08] 就是眼科的费用也给你报销
[958.08-959.08] 难民只要你是难民
[959.08-961.08] 甚至打车的费用都给你报销
[961.08-963.08] 因为你是难民你没有汽车
[963.08-965.08] 你不会开车那怎么办
[965.08-968.08] 加拿大政府是给钱让你去打车
[968.08-970.08] 给你配好出租车司机公司
[970.08-973.08] 每天服务你家的家庭
[973.08-975.08] 接送你的孩子上下学
[975.08-976.08] 你没车嘛
[976.08-978.08] 汽车社会必须有车
[978.08-982.52] 这就是加拿大政府给难民的待遇
[982.52-984.52] 我们开始不理解的时候
[984.52-989.52] 总觉得这是在歧视和压榨勤劳者和纳税人
[989.52-990.52] 对吧
[990.52-992.52] 就是讲秦叫什么
[992.52-993.52] 罚秦讲揽
[993.52-994.52] 不是
[994.52-997.52] 他的这个思维完全不是这样想的
[997.52-1002.52] 这个国家从第一天起每一个人都是难民
[1002.52-1006.52] 这个国家没有不是难民的人
[1006.52-1008.52] 这个国家除了印第安人
[1008.52-1010.52] 我们说不清楚人家的来历之外
[1010.52-1013.52] 所有的文明世界来这个国家的人
[1013.52-1017.52] 都是在他本国混不下去的
[1017.52-1019.52] 或者混不太好的
[1019.52-1022.52] 要么是宗教迫害难民
[1022.52-1024.52] 新教跑过来
[1024.52-1027.52] 要么是国家战争难民
[1027.52-1028.52] 乌克兰人跑过来
[1028.52-1030.52] 奥匈帝国德国人跑过来
[1030.52-1032.52] 中国人跑过来
[1032.52-1035.52] 所以这个国家的所有的继承者
[1035.52-1037.52] 只不过是你先来了50年100年
[1037.52-1041.52] 还是后来了50年100年的天涯沦落人
[1041.52-1043.52] 而天涯沦落人
[1043.52-1046.52] 到了这之后发现了一个道理
[1046.52-1047.52] 就是第一代
[1047.52-1051.52] 我们可能还带着我们身上的那些烙印
[1051.52-1054.52] 和那些不好的东西
[1054.52-1056.52] 那些不好的东西更像一个孩子
[1056.52-1058.52] 从小遭受虐待
[1058.52-1060.52] 他长大了之后他的心理创伤
[1060.52-1063.52] 但是到他的第二代第三代
[1063.52-1065.52] 在这样一个王道乐土下
[1065.52-1067.52] 大家愉快的生活的时候
[1067.52-1071.52] 第二代和第三代真的会变成加拿大人
[1071.52-1072.52] 跟你的
[1072.52-1076.52] 原生家庭完全两样子
[1076.52-1077.52] 而到了第三代第四代
[1077.52-1079.52] 他就是一个加拿大人
[1079.52-1080.52] 不分颜色
[1080.52-1082.52] 脑子里边全是一样的
[1082.52-1084.52] 而这个时候的加拿大人
[1084.52-1087.52] 是真正的高尚的尊重法律
[1087.52-1088.52] 遵守法律的
[1088.52-1090.52] 这样的一个真正的人
[1090.52-1091.52] 真人
[1091.52-1096.52] 所以加拿大政府和加拿大的主流社会
[1096.52-1099.52] 看到了这样的三代人的变化
[1099.52-1101.52] 所以我们愿意出钱出力
[1101.52-1103.52] 去让第一代人
[1103.52-1105.52] 天涯沦落人过来
[1105.52-1108.52] 给他们一个好的保护地
[1108.52-1110.52] 把他们保护起来
[1110.52-1113.52] 给他们充足的时间修养生息
[1113.52-1115.52] 抹平他的疤痕
[1115.52-1117.52] 让他的第二代和第三代
[1117.52-1119.52] 有机会成为真正的人
[1119.52-1122.52] 跟所有的人共享王道乐土
[1122.52-1125.52] 王道乐土不是某一个种族
[1125.52-1128.52] 或者某一群人的专属特权
[1128.52-1130.52] 而是全世界所有的人
[1130.52-1132.52] 都有权利得到的东西
[1132.52-1133.52] 他们没有得到
[1133.52-1135.52] 是上帝对他们的不公
[1135.52-1140.52] 而我们要让上帝荣耀
[1140.52-1143.52] 要在这个地球的这个角落
[1143.52-1145.52] 维持公义
[1145.52-1147.52] 让那个角落地球人
[1147.52-1149.52] 没有办法得到公正的
[1149.52-1151.52] 在这有机会得到公正
[1151.52-1153.52] 当然在这个过程中
[1153.52-1155.52] 会有鱼龙混杂的问题
[1155.52-1157.52] 会有打开窗户放进苍蝇的问题
[1157.52-1158.52] 比如说
[1158.52-1160.52] 难民里面就有一个王八蛋
[1160.52-1162.52] 祸害了我们中国的华裔小女孩
[1162.52-1163.52] 沈小雨
[1163.52-1165.52] 但是大家要注意
[1165.52-1166.52] 那个毕竟是少数
[1166.52-1168.52] 甚至是极少数
[1168.52-1170.52] 你不能因为那么一两个人
[1170.52-1172.52] 就把整个政策都毁灭
[1172.52-1174.52] 都改变
[1174.52-1176.52] 那么我们要接受的
[1176.52-1177.52] 就是这个观点
[1177.52-1179.52] 那么从我身体力行的感受来说
[1179.52-1181.52] 就是我身边有一些伊朗朋友
[1181.52-1185.52] 因为我在做一些地块开发呀
[1185.52-1187.52] 房子建设的时候呢
[1187.52-1189.52] 我会请一些外国人的
[1189.52-1192.52] 就是本地的这些engineer
[1192.52-1194.52] 这些工程师有license的工程师
[1194.52-1197.52] 我认识的几个结构工程师
[1197.52-1198.52] 和沿途工程师
[1198.52-1202.52] 还有环境工程师
[1202.52-1203.52] 他们就是伊朗人
[1203.52-1207.95] 伊朗裔的加拿大人
[1207.95-1208.95] 伊朗裔的加拿大人
[1208.95-1209.95] 我开始就是分不出来
[1209.95-1210.95] 他们是伊朗人
[1210.95-1211.95] 还是印度人
[1211.95-1212.95] 还是阿拉伯人
[1212.95-1214.95] 因为他们长得都是一个模子刻出来的
[1214.95-1216.95] 后来我们特别熟了以后
[1216.95-1219.95] 我才知道他们是伊朗裔的加拿大人
[1219.95-1220.95] 但是呢
[1220.95-1224.95] 伊朗裔是第二代的伊朗裔加拿大人
[1224.95-1226.95] 和很少他们老板是第一代
[1226.95-1229.95] 就是二十多岁十八九岁跑出来的
[1229.95-1231.95] 他们这些现在年轻的这些二十几岁的
[1231.95-1233.95] 全都是第二代的
[1233.95-1234.95] 首先从语言上来说
[1234.95-1236.95] 你已经分辨不出来
[1236.95-1238.95] 他们是不是纯的老外
[1238.95-1240.95] 就是纯的安格鲁萨克军人
[1240.95-1242.95] 他长得也越来越白
[1242.95-1244.95] 就是越来越像
[1244.95-1245.95] 本身他又都是白种人
[1245.95-1248.95] 所以你很难分清他究竟是伊朗人
[1248.95-1249.95] 还是意大利人
[1249.95-1250.95] 还是希腊人
[1250.95-1251.95] 他长得太像了
[1251.95-1253.95] 而且英语又讲那么好
[1253.95-1255.95] 所以他不告诉你我是伊朗裔的
[1255.95-1257.95] 你是不会通过他的口音
[1257.95-1260.95] 和他的行为分辨出他是伊朗裔的
[1260.95-1263.95] 那么这些人现在已经成为加拿大的主流
[1263.95-1265.95] 都是非常好的职业经理人
[1265.95-1268.95] 也非常的专业
[1268.95-1270.95] 而且也纳很多的税
[1270.95-1274.95] 因为他们的生意非常好
[1274.95-1277.95] 他们在给我讲他们逃难的过程中
[1277.95-1278.95] 令我善忍了一下
[1278.95-1281.95] 我跟大家开玩笑PR里边藏钻石
[1281.95-1283.95] 其实他们就是那一代人
[1283.95-1284.95] 就真的是那一代人出来
[1284.95-1288.95] 他们都是巴列维王朝的当年的贵族和主流
[1288.95-1290.95] 大厦将倾的时候
[1290.95-1294.95] 他们就像后来中国人往外润一样走线走
[1294.95-1298.95] 本来都是贵族有汽车有别墅的全扔掉
[1298.95-1300.95] 只能随身带些现金细软
[1300.95-1302.95] 珠宝往北山上跑
[1302.95-1306.95] 北山上是库尔德人和土耳其人
[1306.95-1307.95] 跑这一路
[1307.95-1310.95] 这一路就被抢劫一路
[1310.95-1313.95] 库尔德人和土耳其人以及亚美尼亚人
[1313.95-1316.95] 完全没有人性
[1316.95-1321.95] 把从平原上跑出来的伊朗的达官显贵们
[1321.95-1323.95] 他真的是男的
[1323.95-1324.95] 抢得干干净净
[1324.95-1326.95] 女的不会放过
[1326.95-1328.95] 我说什么意思不会放过
[1328.95-1330.95] 大家应该也都懂
[1330.95-1333.95] 这一路真的是血泪斑斓
[1333.95-1335.95] 就比我们走线到美国
[1335.95-1336.95] 今天的人要惨得多
[1336.95-1337.95] 因为那时候是战争年代
[1337.95-1341.95] 而且是70年代60年代更加落后的时代
[1341.95-1345.95] 没有通讯没有手机国际互联网的时代
[1345.95-1349.95] 他们的苦难外人不知道
[1349.95-1352.95] 杀了你埋了你埋在库尔德的大山里
[1352.95-1354.95] 你上哪叫冤
[1354.95-1359.95] 还好活着走到了欧洲能投亲靠友
[1359.95-1361.95] 第一站就是德国
[1361.95-1363.95] 他讲得很清楚第一站是德国
[1363.95-1365.95] 德国人就给他们先做一次筛选
[1365.95-1369.95] 有没有德国本地亲戚欧洲本地亲戚的
[1369.95-1370.95] 有的话呢
[1370.95-1371.95] 就给你们难民签证
[1371.95-1373.95] 你们投亲靠友去
