[0.37-1.39] 哈喽大家好
[268.20-269.32] 他这个人吧
[269.32-272.66] 他狗肚子里藏不住
[273.44-274.28] 二脸油
[274.28-274.82] 所以呢
[274.82-277.34] 这个他做事应该没有那个
[278.88-280.76] 动猪掀鸡的那个城府
[280.76-282.38] 所以他这是好事啊
[282.38-283.82] 因为这个人很好
[283.82-286.52] 宅副主席人其实做朋友来说是很够意思的
[286.52-287.12] 但是呢
[287.12-289.28] 就是他他就是想起来一阵子
[289.28-289.64] 你知道吧
[289.64-292.10] 咱们过去有老话想起来一阵子
[293.26-293.78] 所以呢
[293.78-296.50] 你要说他有什么移民的计划呀
[296.50-298.52] 什么的肯定没有
[298.52-299.24] 他肯定没有
[299.24-299.90] 所以呢
[299.90-301.88] 他们出了事得跑跑呢
[301.88-303.32] 他就得选那个免签的地方啊
[303.44-304.00] 这样好
[304.00-308.18] 迪拜是中国人拿着护照能直接飞的最方便的地方
[308.18-309.92] 所以他在迪拜也是可以理解的
[311.30-312.38] 那他到了迪拜
[312.38-317.06] 他说他在伦敦不排除他去欧盟和英国去访问了
[317.06-319.50] 就是visitor他visa他有
[319.50-321.08] 但你要说他住在伦敦
[321.08-322.40] 我为什么不信呢
[322.40-325.88] 就是因为他这个你看我这衣服
[325.88-326.78] 他是应季的
[326.78-327.26] 你知道吧
[327.26-329.24] 他他们在迪拜暖和
[329.24-330.26] 伦敦是很冷的
[330.26-331.88] 伦敦比加拿大冷
[331.88-332.96] 伦敦大概跟
[333.44-335.36] 呃加拿大最冷的那些城市差不多
[335.36-338.04] 现在就是你哪能耍这个单
[338.04-340.14] 拿那个抛楼杀这种领子
[340.14-340.28] 哎呀
[340.28-341.30] 也不好好运运
[341.30-344.10] 这个后边那个墙都是拽帽
[344.10-345.02] 拽帽你知道吧
[345.02-345.68] 拽帽
[345.68-348.98] 那这书架上三句清安贴贴皮的
[350.12-351.38] 太接地气了
[351.38-351.86] 宅
[351.86-352.62] 宅副主席
[352.62-356.96] 这明显是一个临时的这么一个巢穴
[356.96-359.06] 那宅副主席有可能藏在迪拜啊
[359.06-359.98] 这是我的判断
[359.98-361.52] 我没有任何证据啊
[361.52-363.28] 我因为二真的是二十年
[363.28-363.30] 没了
[363.30-363.96] 没联系他了
[363.96-365.22] 将近二十年没联系人家
[366.36-367.38] 但我很关心他
[367.38-369.10] 我怕他走到歪路上
[369.10-370.02] 收手吧
[370.02-370.44] 阿祖
[371.54-373.08] 外面都是成龙啊
[373.08-375.00] 你在国内你就弄弄了
[375.00-377.70] 你外边郭总统都进去了
[377.70-379.42] SEC天天盯着
[379.42-381.36] 所以你在迪拜卖房子
[381.36-382.32] 这可以
[382.32-382.98] 但是呢
[382.98-384.00] 我提醒你一下
[384.00-385.26] 老宅啊
[385.26-386.82] 因为你这个现在这个状态
[386.82-388.38] 你你仇家比较多
[388.38-389.52] 因为你骗了好
[389.52-391.08] 不是你那个卖过卖过
[392.58-393.00] 卖了
[393.00-393.30] 好多
[393.30-394.20] 人小盒子
[394.20-395.04] 他们还有股权
[395.04-396.54] 他们可能会找你
[396.54-398.94] 你在迪拜卖房子很容易就
[400.24-401.64] 就只有人家去过来了
[401.64-402.84] 你这不是傻吗
[402.84-404.64] 所以你你听我话
[404.64-406.80] 老王跟你这么多年好朋友
[406.80-407.94] 你做油管
[407.94-409.42] 你就踏踏实实挣点小钱
[409.42-409.92] 你做媒体
[409.92-410.76] 你有这个能力
[410.76-411.96] 你比我强呀
[411.96-412.62] 对着黑板
[412.62-414.06] 你就对着那个白板
[414.06-414.96] 哇
[414.96-417.18] 你就啊
[417.18-417.90] 那个同学啊
[417.90-419.40] 那个同学非常热闹
[419.40-420.24] 你比我强多了
[420.24-421.80] 我没这能力
[421.80-422.44] 我这个路
[422.44-423.00] 呃
[423.00-427.14] 视频油管我都紧张的嘚瑟都不会说
[427.14-428.58] 我得把家里人都撵走
[428.58-429.48] 找一没人地方
[429.48-431.28] 他角落里边露露
[431.28-433.38] 所以这个你呢
[433.38-435.06] 听我好言相劝
[435.06-436.38] 你不要折腾
[436.38-438.66] 你最近这一年你千万不要折腾
[438.66-439.56] 你就做你油管
[439.56-440.28] 你骂光俩
[440.28-442.56] 这可以你你你骂谁
[442.56-443.22] 你都可以骂
[443.22-445.43] 我也行
[445.43-446.75] 你你就是个骗子
[446.75-447.17] 可以
[447.17-448.25] 我就是骗子
[448.25-449.61] 天下金融一大片吗
[449.61-451.19] 我的骗子层次比较高吧
[451.19-452.51] 我不骗老百姓的钱
[452.51-454.01] 万我给你骗
[454.01-457.01] 我骗子都是五千万五个亿
[457.01-458.69] 那我敢吗
[458.69-459.25] 我骗完了
[459.25-460.49] 我还能在这录视频
[460.49-460.79] 我操
[460.79-462.11] 我还没给我追杀我
[462.11-462.47] 所以
[463.67-466.55] 老宅低调低调做人啊
[466.55-467.93] 老王跟你说正经话
[467.93-468.71] 你现在不理我
[468.71-469.63] 我给你喊话
[469.63-472.27] 低调做人不要卖房子
[472.27-475.37] 迪拜投资房地产的十大理由是
[475.37-476.29] 九派胡言
[476.29-477.41] 一派是真理
[477.41-479.45] 你往里边啊
[479.45-480.11] 我给你面子
[480.11-481.49] 九派真理一派胡言
[481.49-482.57] 为什么呢
[482.57-483.77] 这个
[484.01-486.47] 迪拜它毕竟是一个发展中国家
[486.47-487.73] 它不是发达国家
[488.75-489.77] 而且那个地方呢
[489.77-491.69] 它是一个人工扭曲的环境
[491.69-492.11] 你知道吧
[492.11-495.89] 它高度倚赖于石油资源
[495.89-499.01] 你天天咱们现在在研究新能源
[499.01-501.77] 这玩意不是你咱骂两句特斯拉什么电动车
[501.77-504.89] 你这能你叫螳臂当鞠
[504.89-506.57] 电动车就是方向
[506.57-507.11] 你知道吧
[507.11-508.73] 什么固态电池液态电池
[508.73-509.93] 你那玩意不是内行
[509.93-510.83] 你别瞎说了
[510.83-514.67] 潜艇上现在都在用锂电池
[514.67-517.19] 什么炸弹
[517.19-518.15] 你说的没错
[518.15-520.07] 早期一台电池确实炸弹
[520.07-522.65] 但是技术在突飞猛进
[522.65-523.13] 你知道吧
[523.13-523.97] 一路特斯拉
[523.97-525.11] always特斯拉
[525.11-528.05] 就是一天黑人永远黑什么
[528.05-529.13] 就是一样的
[529.13-531.89] 所以你这个方向这样
[531.89-532.91] 一旦是这样的话
[532.91-534.65] 石油价格是扛不住的
[534.65-536.57] 美元会重新锚定其他东西的
[536.57-540.59] 所以你这个中东地区的富豪们会回到骆驼上了
[540.59-544.19] 因为这帮傻逼运作他们的主权基金
[544.19-545.87] 他不是新加坡
[545.87-548.39] 老王建议有钱人去哪买房子
[548.39-552.09] 有钱人你技术地段地段地段一样的道理
[552.09-553.01] 李嘉诚去哪买
[553.01-554.33] 你去哪买
[554.33-555.71] 就这么几个地方
[555.71-556.85] 洛杉矶
[556.85-557.33] 美国
[558.65-560.69] 伦敦伦敦是对的
[560.69-562.09] 翟副主席如果真在伦敦
[562.09-563.19] 那你翟副主席这个
[563.19-565.79] 刚才我我骂你在伦敦在阿联酋的
[565.79-566.69] 那我小看你了
[566.69-568.83] 你在伦敦是这个
[568.83-569.93] 伦敦是可以的
[569.93-570.53] 然后
[570.59-575.51] 里加里加坡新加坡新加坡非常大家说哎呀
[575.51-577.31] 新加坡房子太贵了吧
[577.31-578.87] 新加坡房子太贵了
[578.87-582.92] 你还鼓动我们去新加坡买吗
[582.92-584.00] 贵是有道理的
[584.00-585.24] 贵是因为他值钱
[585.24-587.30] 新加坡冉冉升起
[587.30-588.26] 快速上升
[588.26-589.76] 他还会继续贵了
[589.76-593.12] 所有的两呃两岸的有钱的中国人
[593.12-596.60] 一旦有了动乱首选新加坡的
[596.60-601.10] 因为新加坡是说华语的唯一的发达法治国家
[601.10-602.18] 所以新加坡的房子
[602.18-605.44] 可以投资美加澳新新加坡啊
[605.44-608.08] 不是新西兰新加坡新西兰
[608.08-612.58] 那也可以这些一线无业联盟国家及新加坡
[612.58-614.56] 日本打个问号吧
[614.56-616.22] 因为日本他这个国家他有他的问题
[616.22-619.40] 以后我们先挖坑以后我会认真的说
[619.40-619.94] 日本啊
[619.94-620.84] 日本投资的问题
[622.52-623.72] 那你说我没钱啊
[623.72-624.62] 王总我没钱
[624.62-626.12] 我也想博你去哪
[626.12-628.04] 你他妈去基辅啊
[628.04-630.68] 基辅乌克兰都比他们的啊
[630.68-632.18] 阿联酋靠谱
[632.18-634.46] 那基辅为什么靠谱啊
[634.46-637.04] 因为俄罗斯你就赌俄罗斯战胜战败
[637.04-638.96] 俄罗斯只要战败解体
[638.96-641.18] 乌克兰加入欧盟就是个时间问题
[641.18-644.42] 他将是欧盟最穷的一个也是最便宜的几个国家
[644.42-647.06] 基辅大学附近是有很不错的房子的
[647.06-648.44] 尤其是在战争状态下
[648.44-649.62] 他是没人买没人卖的
[649.62-651.56] 而且外国人可以随便买
[651.56-652.32] 这样的话呢
[652.32-654.92] 你如果投资两个工具花不了几个钱
[654.92-656.90] 你命好能犯谁命好
[658.08-659.18] 这不是我的推荐啊
[659.18-661.14] 这个我就是我的认识
[661.14-662.06] 我的认识有限吧
[662.18-664.08] 老王经常干傻逼事
[664.08-665.36] 哎呀买错了
[665.36-666.30] 就买错了
[666.30-667.30] 经常
[667.30-669.36] 所以这个就是我的
[669.36-671.38] 咱们回到主题
[671.38-672.58] 飘远歪楼了
[672.58-674.08] 歪楼了
[674.08-676.38] 主要是念评论
[676.38-678.12] 念投入了啊
[678.12-679.70] 提到翟副主席就投入了
[679.70-680.98] 这不能提翟副主席
[680.98-681.36] 你知道吧
[681.36-683.14] 这是老王的这个
[683.14-686.84] 都能把我从这个
[687.98-690.70] 油管上激发出来的人
[690.70-692.16] 就只有真爱
[692.16-693.08] 只有真爱
[693.08-694.84] 只有翟副主席能做到
[694.84-696.16] 为什么呢
[696.16-696.84] 有句话呢
[696.84-702.01] 就是你熟悉的人最能刺激你
[702.01-705.53] 比如说老郭啊什么的
[705.53-707.85] 人家火人家什么
[707.85-708.73] 你都无所谓
[708.73-709.77] 你没有反应
[709.77-712.09] 但是老翟这一火
[712.09-712.69] 棺材板
[712.69-714.41] 老王的棺材板按不住了
[714.41-715.29] 出去
[715.29-717.01] 我跟他拼了
[717.01-718.29] 我我我比他强
[718.29-721.49] 我要证明自己一个道理
[721.49-722.33] 都是俗人
[722.33-723.73] 没有什么
[723.73-725.73] 呃
[725.73-726.73] 高人啊
[726.73-729.95] 大家都是俗人
[729.95-730.55] 哎呀
[730.55-731.51] 老哥都这个阶段
[731.51-733.15] 翟老刚出场
[733.15-735.03] 刚出台的时候也是惊为天人
[735.03-735.83] 口述历史
[735.83-736.91] 英雄怀旧
[736.91-739.55] 至那个无谓任性的青春岁月
[739.55-740.79] 这句话说的好
[740.79-744.75] 我昨天放一段是前天晚上录的那个黄光玉
[744.75-748.03] 那个我最后那么快的就是说完就走
[748.03-750.27] 没跟大家扯几句什么点赞
[750.27-751.23] 订阅小铃铛
[751.23-753.23] 没扯这个片汤话
[753.23-754.43] 不是说我牛逼
[754.43-755.19] 我有个性
[755.19-756.39] 是我他妈差点哭了
[756.39-756.79] 你知道吧
[756.79-759.31] 因为一说大运车过去了
[759.31-768.89] 彼此马上就算了
[768.89-770.53] 一个演员的自我修养
[770.53-771.73] 是吧
[771.73-775.89] 这么年轻都是才高八斗的
[775.89-776.89] 做油管
[776.89-778.69] 你说这什么社会
[778.69-781.94] 这什么国家呀
[781.94-783.82] 我第一次给王主席点名好激动
[783.82-785.30] 又好害怕
[785.30-788.70] 隐藏人物隐藏剧情才是推动情节发展的主线
[788.70-789.30] 说白了
[789.30-790.34] 中国的生意要做大
[790.34-792.98] 要么国企要么保留身份成为白手套
[792.98-794.66] 这说的也是实话啊
[794.66-794.94] 王总
[794.94-795.90] 牛逼听了三遍
[795.90-796.82] 确实牛逼啊
[796.82-797.34] 嗨屁
[797.34-797.54] 哎
[797.54-797.78] 哎
[797.78-798.10] 我操
[798.10-799.42] 你这是我真爱
[799.42-800.42] 你听三遍
[800.42-801.42] 我老婆都做不得好
[801.42-803.54] 我老婆一遍都听下去
[803.54-805.62] 期待老王视频里的钩子非常好奇
[805.62-806.10] 承认吧
[806.10-807.50] 你是坑王记的田坑
[807.50-807.74] 哎
[807.74-808.74] 谢谢
[808.74-809.98] 后面酒一般吗
[809.98-810.54] 的意思
[810.54-811.94] 是老王
[811.94-815.18] 普通人没有什么很贵的酒
[815.18-817.02] 就平时喝的酒
[817.02-818.46] 王总分析能力
[818.46-820.18] 这下压力给到翟副主席了
[820.18-822.58] 我以为墙内各页算卷的厉害
[822.58-824.90] 没想到高人之间也无形的内卷
[824.94-825.54] 哎
[825.54-827.10] 这个大家想错了啊
[827.10-829.70] 我希望吸翟副主席的粉
[829.70-831.66] 这是我的真实目的
[831.66-832.82] 确实吸他的粉
[832.82-835.50] 但是我不希望你们说取关翟主席
[835.50-836.74] 然后关注王副主席
[836.74-837.74] 哦
[837.74-839.70] 取关翟副主席
[839.70-840.78] 关注王主席
[840.78-841.46] 不要这样
[841.46-841.94] 不要这样
[841.94-843.66] 不要让我们俩内卷啊
[843.66-846.06] 不要让我们相杀
[846.06-847.82] 我们相爱就行了
[847.82-849.74] 就是同时关注
[849.74-850.66] 对比着看
[850.66-852.02] 我会评他的
[852.02-853.34] 他没反应
[853.34-853.70] 现在
[853.70-854.78] 因为他20万
[854.78-855.66] 我2000
[855.66-857.34] 他他们觉得自己牛逼
[857.34-858.50] 他有偶像包袱
[858.50-858.70] 哎呀
[858.70-859.50] 我要提老王
[859.50-861.22] 我不是擦
[861.22-862.02] 我吃亏了
[862.02-863.22] 我这主动给他引流
[863.22-864.06] 老翟你等着
[864.06-865.22] 我肯定能超过你
[865.22-866.06] 我操
[866.06-868.62] 到时候咱俩他妈的隔山互轰
[868.62-868.94] 我操
[868.94-870.14] 你躲在阿联酋
[870.14-872.14] 我希望你能去英国伦敦正壁
[872.14-873.14] 这我也希望你啊
[873.14-873.82] 能做到
[873.82-875.18] 做不到你来加拿大找我
[875.18-876.30] 我来帮你安排啊
[876.30-878.34] 我也我也认识一些资源
[878.34-879.46] 也许能帮上你啊
[879.46-880.62] 咱们俩隔空互轰
[880.62-881.06] 我操
[881.06-881.98] 咱们别见面了
[881.98-882.98] 翟主席
[882.98-883.62] 你说我
[883.62-884.46] 你说我是同性恋
[884.46-886.26] 明明就是你是同性恋
[887.34-887.70] 完了
[887.70-889.26] 咱俩最后坐实就是一对
[889.26-889.82] 他妈的
[889.82-890.74] 一有夫妻相
[890.74-891.22] 来的
[892.78-893.94] 老王看好理由
[893.94-895.34] 翟副主席快有反应了
[895.34-896.86] 他就已经高潮过去了
[896.86-898.10] 他现在就麻木了
[898.10-899.46] 他已经不看了
[899.46-900.46] 翟副不会反应的
[900.46-901.62] 哪怕湿的一塌糊涂
[901.62-902.26] 也不会反应
[902.26-904.90] 一反应流量就被周周吸星大法
[904.90-905.38] 吸走
[905.38-905.74] 嗯
[905.74-907.18] 他就是这么想的
[907.18-909.14] 他就是这么想的
[909.14-911.30] 想听黄光旭遇的后续
[911.30-912.14] 不能听啊
[912.14-912.66] 不能讲
[912.66-912.78] 你
[912.78-913.38] 没看
[913.38-915.06] 我刚才是真他妈眼睛红了
[915.06-915.58] 我操
[915.58-916.54] 再他妈讲
[916.54-918.86] 我就同病相怜
[918.86-919.26] 你知道吧
[919.26-921.30] 就是不是同病相怜
[921.30-921.62] 嗯
[921.62-922.90] 他进去14年
[922.90-924.46] 我是在这退休
[924.46-926.70] 做移民间待了11年
[926.70-929.58] 同类相怜
[930.10-931.58] 兔也不是兔壶
[931.58-934.22] 反正就是老狮子倒了
[934.22-935.94] 年轻的狮子看在旁边
[937.30-938.50] 心里不舒服
[939.22-940.82] 王主席果然有干货
[940.82-941.94] 早干关注了
[941.94-942.42] 有机会
[942.42-942.74] 再讲
[942.74-944.30] 袁宝锦和刘瀚
[944.30-946.62] 生意人怎么还搞起仇杀来了
[946.62-947.62] 这我确实知道
[947.62-948.70] 他俩的事我确实知道
[948.70-951.78] 因为保险大厦后来张维星买的
[951.78-953.14] 这个也听了不少
[953.14-955.26] 因为他还是在辽宁犯的事
[955.26-956.42] 我在辽宁公安什么的
[956.42-957.50] 我也都特熟
[957.50-959.38] 就不讲了
[959.38-961.38] 我也不是什么人都认识
[961.38-963.22] 我只我道听途说的
[963.22-963.62] 我不讲
[963.62-963.98] 不讲
[963.98-965.26] 咱们不是翟副主席
[965.26-967.74] 翟副主席全是道听途说的
[968.26-969.82] 我是亲身经历的
[969.82-970.86] 我真认识的
[970.86-971.86] 我真打过交道的
[971.86-972.42] 我讲
[972.42-973.46] 我打过交道的
[973.46-973.90] 我讲
[973.90-975.26] 这不打交道的
[975.26-976.54] 尽量别讲
[976.54-977.50] 那讲了之后
[977.50-978.54] 你讲不到点上
[978.54-978.98] 你说吧
[978.98-981.70] 这毁我的金字招牌
[982.50-983.30] 哼哼
[983.54-985.06] 翟副主席太惨了
[985.06-986.62] 被反复摩擦
[988.66-990.58] 摩擦摩擦
[991.42-992.38] 他才能高潮
[992.94-995.18] 期待大佬王点评郭文贵
[995.22-995.78] 马云
[995.78-996.26] 王健林
[996.26-996.74] 肖建华
[996.74-998.38] 叶简明等等一小撮
[998.38-999.34] 这是谁
[999.34-1000.14] 这是凯文
[1000.14-1000.98] 对凯文
[1000.98-1001.94] 你也太黑了
[1001.94-1003.70] 你他妈也太贪了
[1003.70-1004.06] 你把
[1004.06-1006.30] 这里边一个让我点
[1006.30-1007.62] 我这儿地震了
[1007.62-1009.26] 我说你把郭总统我敢点
[1009.62-1011.46] 我点他们就上我们家门口来
[1012.54-1014.10] 他一个当做ccp
[1014.46-1015.98] 我就擦你这
[1017.26-1019.26] 我就变黄河边子下来了
[1019.26-1019.86] 我就不点
[1019.86-1020.42] 不点
[1020.62-1021.94] 我这不沾
[1022.86-1023.66] 不蹭锅
[1023.66-1024.66] 不砸锅
[1024.86-1026.70] 不挺锅
[1027.62-1028.82] 有机会我跟你说说
[1028.82-1030.82] 我他们都说我捐款
[1030.82-1031.66] 那个是傻逼了
[1032.34-1032.86] 等吧
[1032.86-1033.90] 等到
[1034.06-1034.98] 20万粉的时候
[1034.98-1035.58] 我说说
[1037.30-1038.14] 200万粉的时候
[1038.14-1039.46] 我说说我不想说这个事
[1039.90-1040.58] 太丢人了
[1041.86-1043.66] 说话做金融的说话得算数
[1043.66-1044.26] 20万粉
[1044.26-1045.94] 20万粉
[1045.94-1048.74] 说牛师傅1984说话太慢了
[1048.74-1049.94] 倍速慢
[1049.94-1051.06] 吹牛逼
[1051.06-1052.02] 牛师傅1984
[1052.02-1053.38] 你怎么这么能吹牛逼
[1053.38-1054.86] 我讲黄光玉这些干货
[1054.86-1056.46] 其实上是你还倍速
[1056.46-1058.42] 不可能了
[1058.42-1059.86] 黄光玉都倍付不了
[1059.86-1061.06] 可能黄光玉能倍速
[1061.06-1061.62] 我擦
[1061.62-1063.42] 对这个里边这么多干货
[1063.42-1063.90] 这么多
[1063.90-1064.90] 草车灰线线头
[1064.90-1066.46] 你老背书一下去听
[1067.50-1067.98] 哎呀
[1067.98-1069.38] 那你就是
[1069.38-1070.86] 那你就是彻底没听懂
[1070.86-1072.10] 你就是
[1072.10-1073.22] 你当催眠曲了
[1073.74-1075.22] 想听老王对A股的看法
[1075.22-1076.58] 我会着重说
[1076.58-1078.26] 我会把A股反过来
[1078.26-1078.94] 覆过去
[1078.94-1080.70] 把屁眼里藏的一根线头
[1080.70-1081.54] 都给他说清楚
[1081.54-1082.70] 跟大家讲A股
[1082.70-1084.18] 那这不是我的本行吗
[1084.94-1085.90] 取关翟副主席
[1085.90-1086.62] 订阅王主席
[1086.62-1087.70] 翟副主席只说名词
[1087.70-1088.18] 不讲内容
[1088.18-1089.26] 就是在吹牛逼
[1089.26-1090.50] 不要取关翟主席
[1090.70-1091.66] 谁取关翟主席
[1091.66-1093.02] 显得王主席
[1093.02-1094.58] 太孙子了
[1094.58-1095.06] 不行
[1095.06-1095.78] 同时看
[1095.78-1097.46] 不沾沫你时间
[1097.46-1098.62] 你也别装逼
[1098.62-1099.94] 你多订一个
[1099.94-1101.02] 少订一个能咋地
[1101.02-1102.02] 你就是弄
[1102.02-1104.30] 这好像是压一个抬一个的
[1104.30-1106.34] 就是不好的习惯
[1106.62-1107.26] 养小孩
[1107.26-1108.10] 人家两个孩子
[1108.10-1108.50] 哎呀
[1108.50-1109.54] 你是更喜欢爸爸
[1109.54-1110.62] 还是更喜欢妈妈
[1110.62-1112.10] 你猜爸爸是更喜欢你
[1112.10-1113.22] 还是更喜欢妹妹
[1113.22-1114.46] 你不要问这些东西
[1114.46-1115.26] 不要
[1115.26-1116.82] 翟副主席王主席都好
[1116.82-1117.70] 嗯都好
[1117.94-1118.98] 做啥事要专业
[1118.98-1120.34] 影响品质可不行
[1120.34-1121.54] 生育忽大忽小
[1121.54-1122.70] 还有许多问题
[1122.70-1122.98] 请
[1122.98-1123.02] 请
[1123.02-1123.94]  I 请您花点小钱
[1123.94-1124.78] 请专业人员
[1124.78-1125.58] 你也省省心
[1125.58-1126.30] 不行
[1126.82-1127.38] 听得累
[1127.38-1128.26] 听得累滚
[1128.26-1128.82] 操
[1128.82-1129.66] 烦死我了
[1129.66-1130.10] 你
[1130.10-1131.30] 这才对不起
[1131.30-1131.98] 对不起
[1131.98-1133.26] 我为什么烦
[1133.26-1133.62] 哎呀
[1133.62-1134.54] 弄这些烂吉他东西
[1134.54-1135.02] 就这个
[1135.02-1135.30] 哎呦
[1135.30-1136.86] 我这儿又忘了插了
[1136.86-1137.26] 在这儿
[1137.26-1137.74] 啊啊啊
[1137.74-1138.82] 白活半天
[1138.82-1140.34] 没有声音了
[1140.34-1140.66] 怎么
[1140.66-1141.22] 哎呀
[1141.22-1142.34] 忘了插麦克风
[1142.34-1142.86] 所以
[1142.86-1143.58] 这个
[1143.98-1146.18] 你那个什么枪麦那是
[1146.18-1146.86] 对我来说
[1146.86-1148.06] 现阶段不现实
[1148.06-1148.50] 你是吧
[1148.50-1149.74] 我不是那种专业的
[1149.74-1150.34] 你王志安
[1150.34-1151.14] 你王菊
[1151.14-1151.94] 你干一辈子
