[2.00-3.28] hello 大家好
[3.28-4.04] 又见面了
[199.36-200.08] 说完圣诞节
[200.08-201.68] 今天两个主题
[201.68-203.72] 一个是朱令
[203.72-205.00] 我所亲历的朱令案
[205.00-207.76] 一个是继续给大家念信
[207.76-209.12] 这个星期的信
[209.12-210.64] 我念了一点点
[210.76-212.52] 我争取今天给大家念完
[212.52-213.04] 念不完
[213.04-213.80] 晚上再念
[213.80-215.24] 先说朱令
[216.12-217.48] 因为朱令去世了
[217.48-220.60] 我看网上很多油管大V都在提朱令
[220.60-222.04] 还有个文科男
[222.04-224.72] 著名的大V姚棍说
[224.72-225.64] 驼中毒
[225.64-226.52] 哈哈哈
[226.52-227.56] 那字念他
[227.56-228.96] 驼中毒去了
[228.96-230.44] 这个他中毒
[230.44-231.16] 朱令
[231.16-232.52] 我们是亲历者
[232.52-234.60] 我们是一代人
[234.60-236.84] 朱令是清华大学92级的
[236.84-238.48] 92清华化学系的
[238.48-240.72] 我是北立宫93级的
[240.76-244.40] 我们有很多的同学考到清华的
[244.40-249.52] 高中同学跟朱令都是一个圈子
[249.52-252.16] 所以我本人也是见过朱令的
[252.16-252.68] 为什么
[252.68-255.24] 因为他是清华大学民乐团的
[255.24-258.32] 他会弹古筝
[258.32-260.28] 他也学二胡古筝
[260.28-261.96] 他是民乐的
[261.96-265.76] 我是北立宫军乐团的首席小号
[265.76-268.88] 这是大家可能不是超级铁粉
[268.88-269.76] 他不知道的
[270.76-272.72] 在大学
[272.72-273.76] 你像北立宫
[273.76-276.20] 清华这样的学校
[276.20-276.92] 北航
[276.92-279.64] 他都有自己的学生的音乐团体
[279.64-281.96] 有军乐团和民乐团
[281.96-285.48] 民乐团就是私主
[285.48-288.28] 军乐团就是同管管弦
[288.28-291.52] 乐团之间互相交流
[291.52-295.72] 不分民乐军乐来往都很密切
[295.72-296.68] 它是一个圈
[296.68-299.36] 因为他的军乐和民乐的练习的地方
[299.36-300.60] 其实都在一个楼里面
[300.76-303.96] 我记得清华有一个水塔
[303.96-305.88] 他们在水塔附近的一个小楼里面练
[305.88-309.08] 我们在北立宫
[309.08-310.76] 我是首席小号
[310.76-313.28] 首席小号在军乐
[313.28-315.44] 尤其是管弦类的军乐里面
[315.44-316.04] 它的位置
[316.04-319.64] 首席小号的位置和首席小提琴是一样的
[319.64-320.36] 非常高的
[320.36-321.56] 同管部的No.1
[321.56-323.64] 因为我是从小就练的
[323.64-324.76] 小号
[324.76-325.72] 原号
[325.72-326.52] 巴力东
[326.52-327.24] 长号
[327.24-329.04] 我都是弄得非常好
[329.04-330.64] 我
[330.76-334.04] 拿起长号就比我们北立宫所有吹长号的孩子吹的都好
[334.04-335.92] 有一个深圳的孩子吹的还不错
[335.92-338.16] 他照我还是差那么一点点
[338.16-342.32] 所以朱令我印象特别深的见他
[342.32-347.68] 是1994年元旦前后
[347.68-350.68] 清华大学民乐团在北京音乐中心
[350.68-352.32] 有一次民乐表演
[353.24-354.44] 新年音乐会
[354.44-356.36] 我因为是北立宫金乐团
[356.36-357.56] 所以我有张票
[357.56-358.56] 我就去了
[358.56-359.24] 去了之后
[359.24-360.64] 朱令那一天
[360.64-363.80] 是白沙裙弹古筝
[363.80-364.88] 古筝独奏
[364.88-366.12] 弹得非常好
[366.12-367.36] 今天我回忆
[367.36-369.36] 他大概能够到古筝十级
[369.36-371.04] 古筝是个很讨巧的乐器
[371.04-371.68] 这就是古筝
[371.68-373.28] 后边这就是古筝
[373.28-376.20] 古筝是一个很讨巧的乐器
[376.20-377.52] 你好好练个三四年
[377.52-379.72] 你就能到个七八级
[379.72-380.20] 没问题
[380.20-381.92] 你练个六七年
[381.92-382.84] 如果你从小练
[382.84-383.88] 你就到十级了
[383.88-389.64] 所以那天朱令的个人独奏古筝
[389.64-390.52] 是非常成功的
[390.52-392.04] 表演非常成功
[392.04-394.24] 因为清华毕竟是个工科院校
[394.24-395.24] 它不是艺术类院校
[395.24-398.28] 所以他有很多孩子是到了清华以后
[398.28-399.28] 才开始学乐器
[399.28-400.40] 那就不行了
[400.40-401.92] 独奏那都难听死了
[401.92-403.76] 都不能独奏的
[403.76-406.12] 所以能到朱令那个水平
[406.36-407.20] 我判断
[407.20-408.04] 我当时就判断
[408.04-410.40] 他应该也是从小学中学
[410.40-412.24] 初中之前就开始学的
[412.24-416.12] 这侧面证明他的家境还是不错的
[416.12-418.80] 后来事实证明他家境确实不错
[418.80-419.64] 那
[420.52-422.00] 我们跟朱令
[422.00-424.48] 因为有一个共同的时空交叠
[424.48-426.08] 有些共同的朋友
[426.08-427.00] 比如说我的有朋友
[427.00-428.72] 就是直接就是朱令的姐妹
[428.72-432.96] 所以我们就知道这个事来龙去脉
[432.96-434.80] 因为没有不透风的墙
[434.80-436.28] 尤其是大学宿舍
[436.28-438.00] 没有秘密
[438.00-438.40] 为什么
[438.40-441.12] 就是那个年代的大学生
[441.12-443.20] 没有今天这么多
[443.20-444.32] 哪这么多
[444.32-445.20] 都毛了
[445.20-449.52] 我们那个时候大学生一届新生很少
[449.52-450.16] 一届
[450.52-452.08] 就是像清华那样的高校
[452.08-453.96] 一届就是1000多人
[453.96-455.96] 那分那么多个系
[455.96-458.08] 所以每个系没几个人
[458.08-460.44] 一个系也就是几十个人
[460.44-461.28] 这样的规模
[461.28-462.12] 全国各地来
[462.12-463.00] 平均一个省
[463.00-465.16] 大概就是一两个孩子
[465.16-466.92] 彼此之间都很熟
[466.92-468.56] 尤其是有社团的话
[468.56-469.84] 你比如说民乐团的话
[469.84-471.96] 那军乐团都互相很熟的
[471.96-474.52] 所以我可以告诉大家
[474.52-476.56] 我亲历的朱令的事情
[476.56-477.68] 这不掺假
[477.68-479.84] 那朱令呢
[479.84-480.48] 他确实
[480.52-482.00] 是比较有性格的人
[482.00-483.00] 比较个性
[483.00-483.80] 今天讲来说
[483.80-486.76] 这就会比较独生子女作风严重
[486.76-487.92] 他虽然不是独生的
[487.92-490.00] 但是他确实有独生子女的作风
[490.00-491.80] 他不太在乎其他的人
[491.80-493.40] 而那个年代上大学
[493.40-496.36] 不像后来有什么学生公寓什么的
[496.36-497.40] 那时候没有
[497.40-500.00] 好多人在一个房间住着
[500.00-501.32] 你想都是成年人了
[501.32-502.60] 18岁以后都成年了
[502.60-504.16] 你看我们北理工
[504.16-505.40] 我们那个时代
[505.40-507.16] 男生是8个人一个屋
[507.16-508.56] 女生6个人一个屋
[508.56-510.32] 非常局促
[510.32-512.24] 那个房间里边是没有洗手间的
[512.24-514.40] 就是那么一个小方格房间
[515.20-517.36] 摆两张床
[517.36-518.32] 高低床
[518.32-519.72] 中间放一个桌子
[519.72-521.28] 过人都得侧着点身
[521.28-522.80] 所以那个房间很小的
[522.80-523.88] 大概三四米宽
[523.88-524.92] 三米多宽
[524.92-526.60] 6米来长
[526.60-527.64] 就这么一个方格
[527.64-529.20] 这里边就跟牢房一样
[529.20-531.36] 这里边住着他妈的8个男孩
[531.36-532.36] 能没有矛盾
[532.56-533.24] 肯定有矛盾
[533.24-534.76] 因为你来自天南海北
[534.76-536.36] 学习成绩也千差万别
[536.36-538.36] 人生观价值观也未必相同
[538.36-539.80] 所以有的人想好好学习
[539.80-540.12] 有的人
[540.12-541.32] 他就不想好好学习
[541.32-542.80] 就是来躺平来混的
[542.80-545.48] 所以生活作息上肯定有问题
[545.48-546.00] 你晚上
[546.00-546.84] 比如说我们北立宫
[546.84-548.44] 晚上10点半是熄灯睡觉
[548.44-549.68] 他就是有人不睡觉
[549.68-550.36] 点着蜡烛
[550.36-550.92] 偷着电
[550.92-552.60] 在那打着手电
[552.60-553.48] 看小说
[553.48-555.84] 甚至有人在那听耳机
[555.84-557.48] 那个耳机漏音很厉害
[557.48-559.08] 那你说有没有影响
[559.08-560.28] 当然有影响
[560.80-562.52] 朱令他们那一届
[562.52-564.36] 据说是4个女生一个屋
[564.36-566.56] 他们92级的女生楼
[566.56-568.04] 4个女生一个屋
[570.12-573.64] 4个大女孩子在这样一个小屋里边
[573.64-574.52] 住高低床
[574.52-576.24] 你说没有矛盾吗
[576.24-577.04] 那肯定有矛盾
[577.04-578.80] 而朱令又是经常晚上宿舍
[578.80-579.96] 最后一个回去
[579.96-581.84] 洗漱他也不注意
[581.84-582.88] 叮当了响
[582.88-585.92] 所以剩下三个女孩就烦他
[585.92-588.68] 孙维及另外两个人就特别烦他
[589.76-590.76] 那两个孩子
[590.76-593.48] 那三个孩子就形成了一个帮派
[593.48-594.68] 就是排斥他
[594.68-598.00] 他又觉得自己长得好看
[598.24-600.08] 或者自己有文艺天分
[600.12-603.68] 有男朋友就有点瞧不起那三个
[603.68-604.52] 个儿又高
[604.52-608.28] 所以他就像个小仙鹤一样
[608.28-609.56] 小公主一样
[609.56-612.48] 就是跟那三个人搞不到一个糊里
[612.48-615.40] 然后那三个人就想让他休学
[615.40-619.44] 这跟贝智诚描述的事实过程是完全属实
[619.44-622.36] 然后那三个家伙的都是化学系的
[622.36-624.28] 拿毒物那是很方便的
[624.28-626.00] 就给想给他就下点毒
[626.00-627.52] 我就这么跟你讲
[627.52-628.56] 我们那个年代
[628.56-630.08] 各个学校的化学系
[630.08-632.16] 包括我们北理工的炸药系
[632.16-635.12] 那火工品管理危险品管理一塌糊涂
[635.12-636.60] 到处都是漏洞
[636.60-638.20] 为什么那个时代的大学生
[638.20-638.92] 一个是少
[638.92-640.00] 而一个素质高
[640.00-641.20] 确实是素质高
[641.20-642.40] 那确实是象牙塔
[642.40-645.04] 所以基本上都没有出过大事
[645.04-646.76] 或者还没出过大事
[647.84-651.32] 那化学系给寝室下毒
[652.00-654.08] 几乎是每年都有
[654.08-656.64] 不是朱令这一个事破天荒
[656.64-658.20] 而是每年都有
[658.20-659.92] 大家都很fashion
[660.08-661.96] 只不过没有毒死人
[661.96-664.20] 或者没有毒出事大事来
[664.20-667.20] 彼此之间堂门互相投个毒
[667.20-668.40] 发个暗器
[668.40-672.00] 这是各高校化学系经常发生的事情
[672.00-673.68] 只不过这个事都被摁住了
[673.68-676.12] 所以高校也有他的一套
[676.12-678.76] 摁这个事的方式
[678.76-680.48] 分管学生副校长和校长
[680.48-682.44] 党委书记太清楚这个事了
[682.44-685.88] 所以朱令这个事比较时尚
[685.88-687.52] 就在于他们用了新的毒物
[687.52-689.44] 就是那个时代金属
[689.44-689.92] 它还是比较强的
[690.08-691.00] 比较少见的
[691.00-693.36] 他们决定用它给他下一下毒
[693.36-694.56] 结果就第一次下毒
[694.56-695.52] 是下了两次
[695.52-696.20] 第一次下毒
[696.32-698.88] 就没想到朱令这个年轻的身体
[698.88-700.00] 他抵抗力很强
[700.00-701.32] 他摇摇晃晃
[701.32-702.36] 休息了一两个月
[702.36-703.24] 他又回来了
[703.24-704.28] 满血复活了
[704.28-704.88] 坏了
[705.64-707.36] 第二次要继续毒他
[707.36-708.88] 这三个姑娘继续毒他
[709.72-711.00] 就加大剂量
[711.00-714.04] 还是小孩子考虑问题不周全
[714.04-715.12] 为什么呢
[715.12-716.36] 你正常考虑
[716.36-717.44] 你是应该加大剂量
[717.44-718.72] 但是你可不要忘了
[718.72-720.04] 朱令是刚刚回忆了
[720.08-722.16] 一副大病无纲欲
[722.16-723.32] 他抵抗力
[723.32-724.48] 已经免疫系统
[724.48-727.36] 已经不像胃中毒之前那么强了
[727.36-728.48] 你这个时候保持剂量
[728.48-729.76] 就可以把它毒翻了
[729.76-731.20] 然后你这时候再加倍
[731.20-732.08] 那完毒子了
[732.08-734.24] 就一下子就毒出事来了
[734.52-735.44] 这三个孩子
[735.44-737.12] 实际上并没有想把它毒死
[737.12-738.52] 或者毒成今天这个样子
[738.52-741.28] 他们就是按照一贯的操作思维
[741.88-743.52] 一贯的堂门互相下毒
[743.52-744.52] 就是让他休学
[744.52-745.56] 让大病一场
[745.68-746.44] 休学就得了
[746.44-748.64] 休学我们不就清静了吗
[748.64-749.80] 宿舍就没有一个人
[749.80-750.80] 经常晚上10点半
[750.80-751.36] 11点回来
[751.36-752.08] 叮啦噹啦
[752.08-753.16] 把所有人吵醒
[753.16-754.68] 半夜一两点才睡
[755.20-758.16] 所以他们没有控制好剂量
[758.16-759.04] 就把他弄出事
[759.04-760.48] 弄出事这个事就大了
[760.64-761.48] 弄出事之后
[761.48-763.16] 贝智诚就报警
[763.36-767.40] 小贝报警弄这个事
[767.40-768.96] 包括全球
[769.88-773.24] 征求他中毒的各个
[773.24-774.68] 美国这边的医生
[774.68-775.76] 互联网会诊
[775.76-778.92] 这个都是贝智诚当时的一个创举
[778.92-782.28] 后来也是方舟子之流的攻击
[782.28-783.56] 贝智诚的一个重点
[784.68-786.24] 今天我可以证明
[786.24-787.72] 贝智诚是
[788.36-789.32] 按照我的亲历
[789.32-790.96] 贝智诚是非常干净
[790.96-791.80] 非常单纯的
[791.80-793.84] 他就是单纯的高中同学
[793.84-794.68] 大学同学
[794.68-796.24] 校友之间的感情
[796.24-799.08] 当然也有可能是一种朦朦胧胧的爱情
[799.08-801.36] 反正就是很合拍
[801.36-803.04] 很喜欢彼此之间
[803.04-805.04] 看到对方经受痛苦
[805.04-807.20] 第一反应就是一定要找到真凶
[807.20-808.52] 一定要把这个事弄
[808.52-810.12] 这个水落石出
[810.12-811.84] 而清华大学化学系
[811.84-813.28] 就像我刚才描述的
[813.28-814.84] 一共就那么几十个人
[814.84-815.40] 三十个
[815.40-816.76] 三十二三十个人
[816.76-817.76] 彼此之间
[817.76-820.08] 谁不知道谁发生了什么事
[820.08-820.84] 谁不清楚
[821.20-822.60] 实验室里有多少他
[822.60-823.40] 有多少毒物
[823.40-824.28] 化学毒物
[824.28-824.80] 都清楚
[824.80-827.28] 所以小贝得到这些信息并不难
[828.36-831.16] 所以他得到信息之后
[831.16-833.04] 从互联网上把这事喊出来
[833.04-835.12] 因为互联网当时还没有墙
[835.48-836.48] 没有防火墙
[836.48-838.32] 那么经过美国的这种
[838.32-840.00] 这种发酵出口短内销
[840.00-842.44] 得到了外界的关注
[842.44-844.28] 使得清华大学摁不住这个事
[844.28-845.48] 公安介入
[845.48-848.68] 这个都是被制程操作非常成功的地方
[848.68-850.36] 结果清华没认住
[850.36-851.72] 北京市公安局就介入了
[851.72-853.48] 真的把那三个女孩给抓走了
[854.48-855.12] 抓走了
[855.12-858.00] 你想他们三个小孩再成熟
[858.00-858.72] IQ再高
[858.72-860.32] 毕竟是小小孩
[860.60-861.64] 十七八岁
[861.64-863.16] 他们有什么社会经验
[863.16-864.36] 只要分开审
[864.36-868.20] 拿派出所那些分局行侦那些老炮
[868.32-871.28] 那不就是俩小时的事给炸出来了
[871.28-872.80] 当然分开审
[872.80-873.48] 你不交代
[873.84-875.00] 孙维已经交代了
[875.56-876.60] 就说你是主犯
[876.60-879.16] 所以就互相推水落石出
[880.00-880.80] 水落石出
[880.80-882.20] 本来这事就结案了
[882.32-885.64] 就移送检察机关起诉就得了
[885.64-887.60] 但是受到了两股阻力
[887.60-888.72] 第一股阻力
[888.72-890.56] 来自于清华大学的惯性
[890.56-893.28] 因为这个事一旦走陡楼出去
[893.28-897.40] 对清华的校形象影响
[897.40-898.28] 是毁灭性的
[898.32-901.88] 所以清华时任的分管学生的副校长
[901.88-903.48] 和校长和党委书记
[903.48-905.84] 绝对在这个事里边是有主要责任的
[905.84-908.60] 就是朱令这事不能真相大白
[908.60-911.72] 清华的校方的态度是有主要责任
[911.72-914.40] 校方的态度就是维护清华的表面光
[914.40-917.44] 这种事咱关上门来到内部解决
[917.44-919.40] 他就是这种思路
[919.40-921.44] 包括我加在一句私货
[921.44-922.88] 我捐北理工的200万
[922.88-926.88] 他们一盒奖学金没有给学生发一分钱的奖学金
[926.88-927.56] 然后
[927.56-928.84] 我在开了油管之后
[928.84-929.64] 我开推特之后
[929.64-930.68] 我要闹
[930.68-932.04] 他们的校长
[932.04-933.40] 就是现任的北理工校长
[933.40-934.48] 虽然没有拿我的钱
[934.48-935.36] 因为我都不认识他们
[935.36-936.88] 都是后新起来的
[936.88-938.84] 我捐款都十多年以前的事了
[938.84-939.52] 给我打电话
[939.52-940.04] 摁这个事
[940.04-941.40] 都是要维护表面光
[941.72-944.60] 所有的校领导都是这种思路
[945.20-947.56] 这是次要
[947.56-948.60] 这不是主要的
[948.96-950.84] 主要因为他影响不了
[950.84-953.16] 清华大学影响不了北京市管局
[953.16-954.64] 什么是主要
[954.64-956.36] 就是因为孙的爷爷
[956.36-957.20] 这个孙齐悦
[957.20-957.36] 还是孙远
[957.36-958.08] 这个孙悦齐
[958.08-961.84] 这个人跟江泽民是有默逆之交
[961.84-964.32] 他跟江泽民是有绝对的关系
[964.32-965.52] 江泽民这个事
[965.52-966.36] 这个人大家知道
[966.36-967.36] 老江就是异地
[967.36-968.16] 他够意思
[968.16-970.96] 他对所有的他身边的人都照顾备至
[970.96-976.24] 所以当孙爷爷给江办求助的时候
[976.24-978.24] 江办就给北京市公安局打电话
[978.24-979.20] 把这事压一压
[979.20-981.16] 把事大事化小
[981.16-983.36] 不要再办了
[983.36-984.12] 到此为止
[984.12-987.00] 当时北京市的公安局的局长
[987.00-991.56] 北京市公安局的几个设这个案子的主要的干警和警官
[991.56-992.60] 心意难平
[992.60-995.16] 因为这些警官也有女儿
[995.16-995.96] 也有孩子
[995.96-996.92] 他看到这个事
[996.92-998.68] 警官当然知道是怎么回事了
[998.68-1000.04] 都已经审出来了
[1000.04-1001.80] 笔录都在这呢
[1001.80-1003.52] 那已经录完口供了
[1003.52-1005.16] 那你这东西本来是铁案
[1005.16-1006.76] 你就是不了了之
[1006.76-1007.64] 他压不住
[1007.76-1010.52] 所以他们违规把这个信息都透露给了
[1010.52-1013.60] 贝志诚和朱的家属
[1013.60-1014.60] 朱令的家属
[1014.60-1016.88] 希望家属通过其他的渠道
[1017.00-1019.24] 再炒一轮能够对抗一下
[1019.24-1021.44] 但是显然就失败了
[1021.44-1026.28] 因为二一九九四年九五年时代的这个时代的将办
[1026.28-1028.60] 就相当于今天的习办
[1028.60-1034.56] 那你北京市公安局小小的几个警官怎么可能对抗啊
[1034.56-1035.64] 那不可能
[1035.64-1037.60] 扒了你颈皮就算好的
[1037.60-1039.32] 没准还给你判几年
[1039.32-1040.16] 所以呢
[1040.16-1042.44] 这些警官也是胳膊拧不过大腿
[1042.44-1043.08] 只能低头
[1044.36-1046.32] 我们就知道
[1046.32-1049.48] 中国共产党这个体系一贯如此
[1049.48-1050.68] 就压根没有法治
[1050.68-1051.64] 一直是人质
[1051.64-1053.20] 你刚知道吗
[1053.20-1057.32] 只不过是那就说明你就是个小撒撒髓
[1057.32-1058.68] 你什么都不是
[1058.68-1059.32] 你才知道
[1059.32-1062.24] 你还以为中国是一个法治国家
[1062.24-1065.36] 中国共产党是一个非常开明的集体领导
[1065.36-1069.32] 非常严密的这么一个很棒的政治组织
[1069.32-1070.36] 那是你是个傻逼
[1070.36-1071.32] 你看看朱令
[1071.32-1072.48] 那是哪年的事
[1073.20-1075.96] 那可今今上一点关系都没有
[1076.32-1077.52] 朱那时候还没出来
[1077.52-1078.80] 那不一样是这样
[1078.80-1080.80] 江已经是最开明的领导人了
[1080.80-1082.44] 还他们是打电话干涉司法
[1083.24-1085.28] 所以这些北京市的公安领导
[1085.28-1087.12] 透露了这些信息之后
[1087.12-1091.32] 这些信息又通过小贝等朱令的身边
[1091.32-1093.60] 这些热心同学热心人
[1093.60-1094.84] 在网上发酵过
[1094.84-1095.84] 那时候还有天涯
[1095.84-1097.36] 那个时候还没有墙
[1097.36-1099.76] 所以北京市公安局的这些警官们
[1099.76-1101.28] 实际上后来也吃了瓜烙
[1102.08-1104.20] 仕途都受到了影响
[1104.20-1105.48] 那这些人的名字
[1105.48-1106.92] 如果有心之人扩展阅读
[1106.92-1108.20] 实际上是能查出来的
[1108.72-1110.12] 这个事有过一次转机
[1110.12-1111.96] 就是江下雪胡上来
[1112.44-1113.52] 就是10年以后
[1114.16-1116.36] 10年以后江胡开始斗
[1116.92-1118.60] 这个时候如果要把这个案子
[1118.60-1120.28] 借助江胡斗的政治背景
[1120.28-1121.48] 翻出来是有可能的
[1121.48-1125.60] 所以我看到贝志诚和朱令的这些好朋友们
[1125.60-1127.56] 又在2000年前后
[1127.56-1128.92] 又干了这么一轮这件事
[1129.76-1131.48] 那个时候我们都已经参加工作了
[1131.48-1132.96] 孙维也参加工作了
[1132.96-1135.44] 孙维当时在一个外企上班
[1135.48-1138.04] 孙维当时已经认为这个事过去了
[1138.24-1139.16] 已经10多年了
[1139.24-1140.84] 没有人再翻这个事10年了
[1142.04-1143.68] 他没想到又来了一轮
[1144.44-1145.96] 互联网翻这个案
[1145.96-1147.40] 他毕竟做贼心虚
[1147.72-1151.28] 所以他当时就紧急办他的出国移民
[1151.64-1152.68] 移民就走了
[1153.80-1156.12] 2004年05年以后
[1157.12-1158.20] 他就开始办移民
[1158.20-1159.68] 大概07 08年
[1159.68-1160.44] 孙维就走了
[1160.44-1161.60] 去了美国还是去澳洲
[1161.60-1162.28] 我们就不知道了
[1162.28-1163.56] 因为毕竟不是一个圈子了
[1165.48-1166.64] 在这个过程中
[1168.64-1170.64] 互联网不断的在发酵
[1170.64-1173.76] 试图让这个案子真相大白
[1173.76-1174.44] 沉冤得雪
[1174.44-1177.20] 孙维一方面跑路
[1177.20-1179.88] 另一方面方舟子为首的
[1179.88-1181.60] 所谓的当年的网络大V
[1181.60-1183.72] 把这个事水彻底搅混
[1183.72-1186.12] 方舟子之前
[1186.68-1189.84] 他扮演着一个高级知识分子的形象
[1189.84-1190.60] 因为他是博士
[1190.84-1192.16] 他在博士之后
[1192.16-1194.92] 他利用他的什么生物学知识
[1194.92-1195.24] 啊
[1195.24-1199.12] 博士的理工科训练
[1199.48-1201.32] 杀入互联网
[1201.36-1202.40] 新语思
[1202.44-1203.68] 对时政
[1203.68-1204.68] 对于新闻
[1204.76-1206.56] 对于热点事件
[1206.56-1208.12] 因为他既讲英语
[1208.64-1209.68] 又会中文
[1209.72-1211.96] 他进行高屋建岭的知识分子
[1212.00-1213.20] 水平的点评
[1213.24-1216.96] 使得民智未开的中国老百姓
[1216.96-1218.24] 眼前豁然一亮
[1218.28-1218.92] 对不对
[1218.96-1220.92] 所以他当时是在新语思时代
[1220.92-1223.08] 他是扮演一个特别积极正面的作用的
[1224.16-1224.56] 也
[1224.56-1227.64] 因此建立了他的受众群体和铁粉群体
[1227.68-1230.12] 就相当于郎咸平
[1230.12-1231.04] 在我们这个行业
[1231.04-1233.60] 200几年方舟子崛起的时候
[1233.60-1235.76] 我们金融行业出了一个郎咸平
[1235.96-1238.52] 郎咸平对于财经分析
[1238.52-1240.68] 对于上市公司的资本运作分析
[1240.80-1241.96] 那是高屋建岭
[1241.96-1243.00] 水平非常高
[1243.04-1244.44] 他又用老百姓喜闻乐见
[1244.44-1245.52] 能够理解的话
[1245.56-1248.80] 来在公开的这些报刊上
[1248.80-1249.56] 在媒体上
[1249.56-1251.00] 网媒上发表文章
[1252.00-1253.40] 博客上发表文章
[1253.44-1254.36] 使得老百姓
[1254.36-1255.76] 第一次能够看懂
[1256.04-1257.96] 所谓玄秘的这种资本运作
[1258.00-1259.40] 所以郎咸平一下子
[1259.40-1260.84] 就是人鱼儿变得特别好
[1261.04-1261.68] 点评股市
[1261.68-1263.00] 点评中国经济的政策
[1263.00-1264.84] 点评上市公司很厉害
